Block,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/01102023/02012046/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/04042024/30042024/SJVN040424NR1694,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/01102023/14082046/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01042024/30042024/PTC/OA/32001,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/16042024/30042024/IEX_240323_06617,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/01042024/31072024/LT_MEJA_DELHI,NR/16042024/31052024/IEX_240323_06618
9,02:00-02:15,0,41,17.17,0,0,0,17.16,6.01,0,0,0,0,0,0,0,0,0,0,0,15,51.5,41,12.710000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.910000,9.650000,0.000000,0.000000,4.360000,272.770000,30.870000,87.020000,115.330000,30.870000,130.960000,5.050000,16.090000,48.240000

10,02:15-02:30,0,42.33,17.67,0,0,0,17.66,6.01,0,0,0,0,0,0,0,0,0,0,0,15.66,53,42.33,12.710000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.910000,9.650000,0.000000,0.000000,4.360000,272.770000,30.870000,87.020000,115.330000,30.870000,130.960000,5.050000,16.090000,48.240000

11,02:30-02:45,0,43.67,18.17,0,0,0,18.16,6.01,0,0,0,0,0,0,0,0,0,0,0,16,54.5,43.67,12.710000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.910000,9.650000,0.000000,0.000000,4.360000,272.770000,30.870000,87.020000,115.330000,30.870000,130.960000,3.490000,16.090000,48.240000

12,02:45-03:00,0,44.33,18.5,0,0,0,18.5,6.01,0,0,0,0,0,0,0,0,0,0,0,16.66,55.5,44.33,12.710000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.910000,9.650000,0.000000,0.000000,4.360000,272.770000,30.870000,87.020000,115.330000,30.870000,130.960000,4.430000,16.090000,48.240000

13,03:00-03:15,0,45,19,0,0,0,19,6.01,0,0,0,0,0,0,0,0,0,0,0,17.66,57,45,12.710000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.290000,9.650000,0.000000,0.000000,4.230000,272.770000,30.870000,87.020000,109.090000,30.870000,130.960000,4.430000,16.090000,48.240000

14,03:15-03:30,0,46,19.67,0,0,0,19.66,6.01,0,0,0,0,0,0,0,0,0,0,0,17.66,59,46,12.710000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.290000,9.650000,0.000000,0.000000,4.230000,272.770000,30.870000,87.020000,109.090000,30.870000,130.960000,4.430000,16.090000,48.240000

15,03:30-03:45,0,36.67,16.5,0,0,0,16.5,6.01,0,0,0,0,0,0,0,0,0,0,0,11.66,49.5,36.67,12.710000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.290000,9.650000,0.000000,0.000000,4.230000,272.770000,30.870000,87.020000,109.090000,30.870000,130.960000,4.430000,16.090000,48.240000

16,03:45-04:00,0,37,16.83,0,0,0,16.84,6.01,0,0,0,0,0,0,0,0,0,0,0,12,50.5,37,12.710000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.290000,9.650000,0.000000,0.000000,4.230000,272.770000,30.870000,87.020000,109.090000,30.870000,130.960000,4.430000,16.090000,48.240000

17,04:00-04:15,0,37.33,17.17,0,0,0,17.16,6.01,0,0,0,0,0,0,0,0,0,0,0,12.34,51.5,37.33,12.710000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.220000,9.650000,0.000000,0.000000,4.230000,272.770000,30.870000,87.020000,109.090000,30.870000,171.470000,4.430000,16.090000,48.240000

18,04:15-04:30,0,37.67,17.17,0,0,0,17.16,6.01,0,0,0,0,0,0,0,0,0,0,0,12.66,51.5,37.67,12.710000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.220000,9.650000,0.000000,0.000000,4.230000,272.770000,30.870000,87.020000,109.090000,30.870000,190.760000,4.430000,16.090000,48.240000

19,04:30-04:45,0,30.33,14.67,0,0,0,14.66,6.01,0,0,0,0,0,0,0,0,0,0,0,10,44,30.33,12.710000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.220000,9.650000,0.000000,0.000000,4.230000,272.770000,30.870000,87.020000,115.330000,30.870000,192.340000,4.430000,16.090000,48.240000

20,04:45-05:00,0,31.33,14.83,0,0,0,14.84,6.01,0,0,0,0,0,0,0,0,0,0,0,10.34,44.5,31.33,12.710000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.220000,9.650000,0.000000,0.000000,4.230000,272.770000,30.870000,87.020000,115.330000,30.870000,192.340000,4.430000,16.090000,48.240000

21,05:00-05:15,0,32.33,14.83,0,0,0,14.84,6.01,0,0,0,0,0,0,0,0,0,0.02,0,11,44.5,32.33,12.620000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.220000,9.650000,0.000000,0.000000,4.230000,272.770000,30.870000,87.020000,115.330000,30.870000,192.340000,4.260000,16.090000,48.240000

22,05:15-05:30,0,33.67,14.83,0,0,0,14.84,6.01,0,0.01,0,0,0,0,0,0,0,0.07,0,11,44.5,33.67,12.620000,29.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.220000,9.650000,0.000000,0.000000,4.230000,272.770000,30.870000,87.020000,115.330000,30.870000,192.340000,4.260000,16.090000,48.240000

23,05:30-05:45,0,26,11,0,0,0,11,6.01,0,0.03,0,0,0,0,0,0,0,0.15,0,8.66,33,26,12.620000,28.770000,0.000000,0.000000,41.000000,100.500000,0.000000,4.220000,9.650000,0.000000,0.000000,4.230000,272.770000,30.870000,87.020000,115.330000,30.870000,192.340000,4.260000,16.090000,48.240000

24,05:45-06:00,0,26.67,11.17,0,0,1.451558,11.16,6.01,0,0.05,0,0,0,0,0,0,0,0.26,0,9,33.5,26.67,12.620000,28.770000,0.000000,0.000000,41.000000,100.500000,0.000000,4.220000,9.650000,0.000000,0.000000,4.230000,272.770000,30.870000,87.020000,115.330000,30.870000,192.340000,4.260000,16.090000,48.240000

25,06:00-06:15,4.85,37.33,13.83,3.48,0,4.763838,13.84,6.01,1,0.67,0,0,0,0.1,0,0,0,3.37,0,9.34,41.5,37.33,12.520000,28.270000,0.000000,0.000000,41.000000,100.500000,0.000000,4.140000,9.650000,0.000000,0.000000,4.080000,272.770000,30.870000,87.020000,115.330000,30.870000,192.340000,4.260000,16.090000,48.240000

26,06:15-06:30,10.3,36.33,14.17,7.55,2,8.689864,14.16,6.01,1,1.33,0,1,0,1,0,0,0,6.63,0,9.66,42.5,36.33,12.520000,28.270000,0.000000,0.050000,41.000000,100.500000,0.040000,4.140000,9.650000,0.000000,0.040000,4.080000,272.770000,30.870000,87.020000,115.330000,30.870000,192.340000,4.260000,16.090000,48.240000

27,06:30-06:45,21.81,30.33,14.5,12.61,5,13.706994,14.5,6.01,4,2.18,0,1,0,2,1,0,0,10.89,0,10,43.5,30.33,12.520000,27.750000,0.000000,0.290000,41.000000,100.500000,0.280000,4.140000,9.650000,0.000000,0.280000,4.080000,272.770000,30.870000,87.020000,115.330000,30.870000,192.340000,4.260000,16.090000,48.240000

28,06:45-07:00,26.91,30.67,14.67,20.64,10,20.088004,14.66,6.01,7,3.36,0,3,0,3,3,0,1,16.79,0.27,10.34,44,30.67,12.520000,27.750000,0.000000,0.750000,41.000000,100.500000,0.740000,4.140000,9.650000,0.000000,0.740000,4.080000,272.770000,30.870000,87.020000,115.330000,30.870000,192.340000,4.260000,16.090000,48.240000

29,07:00-07:15,18.85,29.67,14.83,18.85,18.85,28.222574,14.84,6.01,18,5.79,0,7,0,5.5,7,0,3,28.95,11.67,10,44.5,29.67,12.520000,27.750000,0.000000,1.320000,41.000000,100.500000,1.280000,4.140000,9.650000,0.000000,1.280000,4.080000,272.770000,30.870000,44.290000,106.820000,30.870000,192.340000,4.110000,16.090000,48.240000

30,07:15-07:30,19.02,30.33,15,19.01,19.02,37.682056,15,6.01,25,8.45,0,10,0,9,13,0,7,42.27,15,9.66,45,30.33,12.520000,27.250000,0.000000,2.120000,41.000000,100.500000,2.060000,4.140000,9.650000,0.000000,2.060000,4.080000,272.770000,30.870000,44.290000,98.310000,30.870000,192.340000,4.110000,16.090000,48.240000

31,07:30-07:45,20.02,29.67,14.67,20.01,20.02,48.281352,14.66,6.01,32,11.45,0,13,0,13,20,0,10,57.25,20,11.66,44,29.67,11.060000,26.240000,0.000000,3.260000,41.000000,100.500000,3.180000,4.140000,9.650000,0.000000,3.180000,4.080000,272.770000,24.350000,44.290000,89.800000,30.870000,132.880000,4.110000,16.090000,48.240000

32,07:45:08:00,20.68,27.67,14.17,20.69,20.68,58.637098,14.16,6.01,49,14.37,0,21,0,16,27,0,14,71.86,24.19,11.34,42.5,27.67,11.060000,26.240000,0.000000,4.230000,41.000000,100.500000,4.130000,4.140000,9.650000,0.000000,4.130000,4.080000,272.770000,24.350000,44.290000,81.300000,30.870000,132.880000,4.110000,16.090000,48.240000

33,08:00-08:15,21.02,27.33,13.5,21.01,21.02,68.310904,13.5,6.01,70,18.13,0,30,0,20.85,32,0,16,90.67,32.21,11,40.5,27.33,11.060000,25.740000,0.000000,5.540000,41.000000,100.500000,5.410000,4.070000,9.650000,0.000000,5.410000,4.080000,231.530000,24.350000,33.760000,72.790000,30.870000,132.880000,4.110000,16.090000,48.240000

34,08:15-08:30,22.52,26,12.5,22.51,22.52,77.653482,12.5,6.01,84,21.76,0,36,0,25.02,40,0,20,108.78,40.36,10,37.5,26,11.060000,25.240000,0.000000,6.730000,41.000000,53.060000,6.570000,4.070000,9.650000,0.000000,6.570000,4.080000,192.940000,24.350000,33.760000,70.330000,30.870000,132.880000,4.110000,16.090000,48.240000

35,08:30-08:45,23.85,25.67,12.33,23.85,23.85,87.073996,12.34,6.01,98,25.6,0,42,0,26.13,47,0,23,127.98,48.05,9.34,37,25.67,11.060000,25.240000,0.000000,7.960000,41.000000,53.060000,7.770000,4.070000,9.650000,0.000000,7.770000,4.080000,150.020000,24.350000,33.760000,70.330000,30.870000,114.580000,4.110000,16.090000,48.240000

36,08:45:09:00,23.85,25,11.83,23.85,23.85,96.182766,11.84,6.01,112,29.11,0,48,0,29.44,53,0,27,145.58,55.38,8.66,35.5,25,11.060000,24.730000,0.000000,9.120000,41.000000,53.060000,8.890000,4.070000,9.650000,0.000000,8.890000,4.080000,150.020000,24.350000,33.760000,70.330000,30.870000,95.000000,4.110000,16.090000,48.240000

37,09:00:09:15,25.35,24.33,11.17,25.35,25.35,109.383176,11.16,6.01,123,32.38,0,52,0,32.52,59,0,29,161.92,62.28,8.34,33.5,24.33,10.960000,24.730000,0.000000,10.290000,41.000000,53.060000,10.040000,0.000000,9.650000,0.000000,10.040000,3.990000,150.020000,25.440000,33.760000,70.330000,25.440000,95.000000,4.110000,16.090000,48.240000

38,09:15-09:30,25.68,23.33,10.83,25.69,25.68,115.744702,10.84,6.01,137,35.54,0,58,0,35.21,65,0,33,177.71,68.72,8.34,32.5,23.33,10.960000,24.220000,0.000000,11.390000,41.000000,53.060000,11.120000,0.000000,9.650000,0.000000,11.120000,3.990000,150.020000,25.440000,33.760000,70.330000,25.440000,95.000000,4.110000,16.090000,48.240000

39,09:30-09:45,26.18,22.33,10.5,26.19,26.18,121.511966,10.5,6.01,144,38.64,0,61,0,37.84,72,0,36,193.19,74.7,8.34,31.5,22.33,10.960000,24.220000,0.000000,12.260000,41.000000,53.060000,11.970000,0.000000,9.650000,0.000000,11.970000,3.990000,150.020000,25.440000,33.760000,70.330000,25.440000,95.000000,3.490000,16.090000,48.240000

40,09:45-10:00,26.18,21.67,10,26.19,26.18,125.467218,10,6.01,158,41.59,0,67,0,40.04,80,0,40,207.93,80.01,8.34,30,21.67,10.960000,24.220000,0.000000,13.140000,41.000000,53.060000,12.820000,0.000000,9.650000,0.000000,12.820000,3.990000,150.020000,25.440000,33.760000,70.330000,25.440000,95.000000,2.720000,16.090000,48.240000

41,10:00-10:15,26.35,21,10.17,26.35,26.35,128.555432,10.16,6.01,172,44.06,0,73,0,41.96,82,0,41,220.28,84.62,8.34,30.5,21,10.780000,24.220000,0.000000,13.890000,41.000000,53.060000,13.550000,0.000000,9.650000,0.000000,13.550000,3.990000,150.020000,25.440000,33.760000,70.330000,25.440000,95.000000,2.320000,16.090000,48.240000

42,10:15-10:30,26.35,21.33,10.5,26.35,26.35,131.76055,10.5,6.01,179,45.82,0,76,0,43.8,88,0,44,229.09,88.8,8.34,31.5,21.33,10.780000,24.220000,0.000000,14.540000,41.000000,53.060000,14.180000,0.000000,9.650000,0.000000,14.180000,3.990000,150.020000,25.440000,33.760000,70.330000,25.440000,95.000000,1.940000,16.090000,48.240000

43,10:30-10:45,26.68,27.33,10.67,26.69,26.68,131.22474,10.66,6.01,189,46.19,0,81,0,45,93,0,47,230.95,91.13,8.34,32,27.33,10.780000,24.220000,0.000000,15.180000,41.000000,53.060000,14.810000,0.000000,9.650000,0.000000,14.810000,3.990000,150.020000,25.440000,33.760000,70.330000,25.440000,95.000000,1.940000,16.090000,48.240000

44,10:45-11:00,26.68,27,11,26.69,26.68,132.812686,11,6.01,193,46.19,0,82,0,45.5,93,0,47,230.95,91.96,8.34,33,27,10.780000,24.220000,0.000000,15.600000,41.000000,53.060000,15.220000,0.000000,9.650000,0.000000,15.220000,3.990000,150.020000,25.440000,33.760000,70.330000,25.440000,95.000000,1.550000,16.090000,48.240000

45,11:00-11:15,26.85,43.33,11,26.85,26.85,134.118114,11,6.01,193,46.19,0,82,0,45.5,93,0,47,230.95,92.08,8.34,33,43.33,10.680000,25.240000,0.000000,15.810000,41.000000,53.060000,15.420000,0.000000,9.650000,0.000000,15.420000,3.430000,150.020000,25.440000,33.760000,70.330000,25.440000,95.000000,3.880000,16.090000,48.240000

46,11:15-11:30,27.18,42.67,11.17,27.19,27.18,134.14734,11.16,6.01,193,46.19,0,82,0,45.5,93,0,47,230.95,92.04,8.34,33.5,42.67,10.680000,25.240000,0.000000,15.810000,41.000000,53.060000,15.420000,0.000000,9.650000,0.000000,15.420000,3.430000,150.020000,25.440000,33.760000,70.330000,25.440000,95.000000,4.030000,16.090000,48.240000

47,11:30-11:45,27.35,42.33,15.5,27.35,27.35,134.809796,15.5,6.01,193,46.19,0,82,0,45.5,93,0,47,230.95,92.12,15,46.5,42.33,10.680000,25.240000,0.000000,15.810000,41.000000,53.060000,15.420000,0.000000,9.650000,0.000000,15.420000,3.430000,150.020000,25.440000,33.760000,70.330000,25.440000,95.000000,4.030000,16.090000,48.240000

48,11:45-12:00,27.35,42,15.67,27.35,27.35,135.871674,15.66,6.01,193,46.19,0,82,0,45.5,93,0,47,230.95,92.3,14.66,47,42,10.680000,25.240000,0.000000,15.810000,41.000000,53.060000,15.420000,0.000000,9.650000,0.000000,15.420000,3.430000,150.020000,25.440000,33.760000,70.330000,25.440000,95.000000,4.030000,16.090000,48.240000

49,12:00-12:15,28.02,41.67,15.67,28.01,28.02,120.70338,15.66,6.01,193,46.19,0,82,0,45.5,93,0,47,230.95,92.4,11.34,47,41.67,10.590000,24.730000,0.000000,15.810000,41.000000,53.060000,15.420000,0.000000,9.650000,0.000000,15.420000,3.430000,150.020000,25.440000,33.760000,70.330000,25.440000,95.000000,4.030000,16.090000,48.240000

50,12:15-12:30,28.35,41.33,15.67,28.35,28.35,120.284474,15.66,6.01,193,46.19,0,82,0,45.5,93,0,47,230.95,92.36,11,47,41.33,10.590000,24.730000,0.000000,15.810000,41.000000,53.060000,15.420000,0.000000,9.650000,0.000000,15.420000,3.430000,150.020000,25.440000,33.760000,70.330000,25.440000,95.000000,4.030000,16.090000,48.240000

51,12:30-12:45,28.35,37.67,15.67,28.35,28.35,118.102266,15.66,6.41,193,46.19,0,82,0,45.5,93,0,47,230.95,87.69,13.34,47,37.67,10.590000,24.730000,0.000000,15.810000,41.000000,53.060000,15.420000,0.000000,9.650000,0.000000,15.420000,3.430000,150.020000,27.400000,33.760000,70.330000,27.400000,88.750000,4.030000,16.090000,48.240000

52,12:45-13:00,28.18,37,15.67,28.19,28.18,114.975084,15.66,6.81,193,46.19,0,82,0,45.5,93,0,47,230.95,87.64,13.34,47,37,10.590000,24.730000,0.000000,15.810000,41.000000,53.060000,15.420000,0.000000,9.650000,0.000000,15.420000,3.430000,150.020000,27.400000,33.760000,70.330000,27.400000,88.750000,4.030000,16.090000,48.240000

53,13:00-13:15,28.18,36.67,15.83,28.19,28.18,113.54301,15.84,7.41,189,45,0,81,0,45.5,93,0,47,225,87.54,13.66,47.5,36.67,10.500000,24.730000,0.000000,15.810000,41.000000,53.060000,15.420000,0.000000,9.650000,0.000000,15.420000,3.430000,150.020000,25.440000,38.590000,70.330000,25.440000,110.940000,4.510000,16.090000,48.240000

54,13:15-13:30,28.18,36,16,28.19,28.18,111.360802,16,8.21,189,44.17,0,81,0,45,93,0,47,220.83,87.54,13.66,48,36,10.500000,24.730000,0.000000,15.810000,41.000000,53.060000,15.420000,0.000000,9.650000,0.000000,15.420000,3.430000,150.020000,25.440000,38.590000,70.330000,25.440000,110.940000,4.510000,16.090000,48.240000

55,13:30-13:45,28.35,35.33,12.67,28.35,28.35,91.28254,12.66,11.01,189,43.33,0,81,0,43.74,93,0,47,216.67,87.44,12,38,35.33,10.500000,24.730000,0.000000,15.810000,41.000000,53.060000,15.420000,0.000000,9.650000,0.000000,15.420000,3.430000,150.020000,25.440000,38.590000,70.330000,25.440000,110.940000,4.510000,16.090000,48.240000

56,13:45-14:00,28.85,35,12.83,28.85,28.85,87.697484,12.84,11.41,189,42.92,0,81,0,43,93,0,47,214.63,87.49,12,38.5,35,10.500000,24.730000,0.000000,15.740000,41.000000,53.060000,15.360000,0.000000,9.650000,0.000000,15.360000,3.430000,150.020000,25.440000,38.590000,70.330000,25.440000,110.940000,4.510000,16.090000,48.240000

57,14:00-14:15,29.02,38.33,13,29.01,29.02,85.14508,13,14,189,42.08,0,81,0,42.5,94,0,47,210.42,87.35,12.34,39,38.33,10.500000,22.710000,0.000000,15.490000,41.000000,53.060000,15.110000,0.000000,9.650000,0.000000,15.110000,3.520000,150.020000,25.440000,38.590000,70.330000,25.980000,110.940000,4.510000,16.090000,48.240000

58,14:15-14:30,29.02,38.67,13.5,29.01,29.02,82.680354,13.5,14.8,189,41.58,0,81,0,42,93,0,47,207.89,87.01,12.34,40.5,38.67,10.500000,22.710000,0.000000,14.970000,41.000000,53.060000,14.610000,0.000000,9.650000,0.000000,14.610000,3.520000,150.020000,25.440000,38.590000,70.330000,25.980000,110.940000,4.510000,16.090000,48.240000

59,14:30-14:45,29.02,33.33,11.83,29.01,29.02,79.54343,11.84,15.6,172,41.42,0,73,0,41.5,82,0,41,207.1,86.35,11,35.5,33.33,10.500000,22.710000,0.000000,14.110000,41.000000,53.060000,13.770000,0.000000,9.650000,0.000000,13.770000,3.520000,192.940000,25.980000,38.590000,70.330000,25.980000,159.180000,4.510000,16.090000,48.240000

60,14:45-15:00,29.02,33.33,12,29.01,29.02,74.652946,12,16.4,161,41.6,0,69,0,39.98,77,0,38,207.99,84.56,11.34,36,33.33,10.500000,22.710000,0.000000,13.490000,41.000000,53.060000,13.160000,0.000000,9.650000,0.000000,13.160000,3.520000,231.530000,25.980000,38.590000,70.330000,25.980000,139.880000,4.510000,16.090000,48.240000

61,15:00-15:15,29.02,38,12.17,29.01,29.02,73.30855,12.16,17,151,39.76,0,64,0,38.06,72,0,36,198.8,80.95,11.66,36.5,38,10.590000,23.220000,0.000000,12.990000,41.000000,51.190000,12.660000,0.000000,9.650000,0.000000,12.660000,3.620000,272.770000,25.980000,38.180000,70.330000,25.980000,174.530000,4.660000,16.090000,48.240000

62,15:15-15:30,29.18,39,12.5,29.19,29.18,67.784836,12.5,17,140,38.16,0,60,0,35.44,67,0,33,190.82,76.2,12,37.5,39,10.590000,23.220000,0.000000,12.320000,41.000000,51.190000,12.020000,0.000000,9.650000,0.000000,12.020000,3.620000,272.770000,25.980000,38.180000,70.330000,25.980000,174.530000,4.660000,16.090000,48.240000

63,15:30-15:45,29.35,40,13,29.35,29.35,62.270864,13,17,133,36.79,0,57,0,33.1,60,0,30,183.98,71.08,12.66,39,40,10.590000,23.720000,0.000000,11.570000,41.000000,53.060000,11.280000,0.000000,9.650000,0.000000,11.280000,3.620000,272.770000,25.980000,38.590000,70.330000,25.980000,201.490000,4.660000,16.090000,48.240000

64,15:45-16:00,29.68,41.33,13.5,29.69,29.68,55.013074,13.5,17,119,34.81,0,51,0,30.42,57,0,28,174.03,65.69,13.34,40.5,41.33,10.590000,23.720000,0.000000,10.440000,41.000000,53.060000,10.180000,0.000000,9.650000,0.000000,10.180000,3.620000,272.770000,25.980000,38.590000,70.330000,25.980000,201.490000,4.660000,16.090000,48.240000

65,16:00-16:15,29.68,40,14.17,29.69,29.68,47.501992,14.16,19,105,26.71,0,45,0,27.36,50,0,25,133.54,60.07,14.34,42.5,40,10.680000,23.220000,0.000000,9.230000,41.000000,82.000000,9.010000,0.000000,9.650000,0.000000,9.010000,3.710000,272.770000,25.980000,49.110000,115.330000,25.980000,249.720000,4.810000,16.090000,48.240000

66,16:15-16:30,29.68,40.33,14.67,29.69,29.68,40.585172,14.66,18.6,91,25.05,0,39,0,24.17,43,0,22,125.24,54.16,15.34,44,40.33,10.680000,23.220000,0.000000,8.430000,41.000000,100.500000,8.220000,0.000000,9.650000,0.000000,8.220000,3.710000,272.770000,25.980000,68.090000,115.330000,25.980000,261.920000,4.810000,16.090000,48.240000

67,16:30-16:45,29.68,40.67,15.33,29.69,29.68,34.43797,15.34,18.4,77,22.19,0,33,0,20.65,37,0,18,110.95,47.96,16.66,46,40.67,10.680000,23.720000,0.000000,7.280000,41.000000,100.500000,7.110000,0.000000,9.650000,0.000000,7.110000,3.710000,272.770000,25.980000,68.090000,115.330000,25.980000,261.920000,4.810000,16.090000,48.240000

