Column1,Block,NR/2025/32455/A/98943,NR/2025/34022/C,NR/2025/31049/A/98978,NR/2025/34169/C,NR/2025/31048/A/98977,NR/2025/32610/A/98957,NR/2025/29992/A/98609,NR/2025/34024/C,NR/2025/34025/C,NR/2025/32262/A/98555,NR/2025/29440/A/98546,NR/2025/31421/A/98998,NR/2025/32375/A/98994,NR/2025/32559/A/98958,NR/2025/32004/A/98963,NR/2025/32556/A/98959,NR/2025/31045/A/98976,NR/2025/34058/C,NR/2025/33955/A/99015,NR/2025/34059/C,GNA/NR/2025/08/01/3698,NR/2025/33469/A/98582,NR/2025/33670/A/99017,NR/2025/34062/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/33656/A/98970,NR/2025/34063/C,NR/2025/34167/C,NR/2025/34069/C,NR/2025/32397/A/98492,NR/2025/34055/C,GNA/NR/2025/08/01/6209,NR/2025/31043/A/98975,NR/2025/34057/C,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/5784,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5126,GNARE/SR/2025/08/21/8605,NR/2025/32534/A/98914,NR/2025/33637/A/98666,GNARE/NR/2024/12/20/3668,NR/2025/32535/A/98915,NR/2025/32535/A/98916,NR/2025/33632/A/98670,NR/2025/32532/A/98911,NR/2025/32599/A/98637,NR/2025/33633/A/98668,NR/2025/32532/A/98912,NR/2025/32534/A/98913,NR/2025/34068/C,Total
9,02:00-02:15,0,28.96,0,0,96.53,26.32,44.4,0,0,54.3,0.63,48.26,48.26,26.32,106.18,26.32,0,0,14.48,0,14.62,12.55,82.05,0,14.13,164.1,193.06,0,0,8.69,0,96.53,96.53,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1495.3599999999997

10,02:15-02:30,0,28.96,0,0,96.53,26.32,44.4,0,0,54.3,0.63,48.26,48.26,26.32,106.18,26.32,0,0,14.48,0,14.62,12.55,82.05,0,14.13,164.1,193.06,0,0,8.69,0,96.53,96.53,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1495.3599999999997

11,02:30-02:45,0,28.96,0,0,96.53,26.32,44.4,0,0,54.3,0.63,48.26,48.26,26.32,106.18,26.32,0,0,14.48,0,14.62,12.55,82.05,0,14.13,164.1,193.06,0,0,8.69,0,96.53,96.53,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1495.3599999999997

12,02:45-03:00,0,28.96,0,0,96.53,26.32,44.4,0,0,54.3,0.63,48.26,48.26,26.32,106.18,26.32,0,0,14.48,0,14.62,12.55,82.05,0,14.13,164.1,193.06,0,0,8.69,0,96.53,96.53,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1495.3599999999997

13,03:00-03:15,0,28.96,0,0,96.53,26.32,44.4,0,0,54.3,0.53,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,12.55,82.05,0,14.13,164.1,193.06,0,0,8.69,0,96.53,96.53,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1465.9399999999998

14,03:15-03:30,0,28.96,0,0,96.53,26.32,44.4,0,0,54.3,0.53,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,12.55,82.05,0,14.13,164.1,193.06,0,0,8.69,0,96.53,96.53,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1465.9399999999998

15,03:30-03:45,0,28.96,0,0,96.53,26.32,44.4,0,0,54.3,0.53,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,12.55,82.05,0,14.13,164.1,193.06,0,0,8.69,0,96.53,96.53,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1465.9399999999998

16,03:45-04:00,0,28.96,0,0,96.53,26.32,44.4,0,0,54.3,0.53,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,12.55,82.05,0,14.13,164.1,193.06,0,0,8.69,0,96.53,96.53,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1465.9399999999998

17,04:00-04:15,0,28.96,0,0,0,26.32,44.4,0,0,0,0.53,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,12.55,82.05,0,18.76,164.1,193.06,0,0,8.69,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1223.2099999999998

18,04:15-04:30,0,28.96,0,0,0,26.32,44.4,0,0,0,0.53,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,12.55,82.05,0,18.76,164.1,193.06,0,0,8.69,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1223.2099999999998

19,04:30-04:45,0,28.96,0,0,0,26.32,44.4,0,0,0,0.53,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,12.55,82.05,0,18.76,164.1,193.06,0,0,8.69,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1223.2099999999998

20,04:45-05:00,0,28.96,0,0,0,26.32,44.4,0,0,0,0.53,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,12.55,82.05,0,18.76,164.1,193.06,0,0,8.69,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1223.2099999999998

21,05:00-05:15,0,28.96,0,0,0,26.32,44.4,0,0,0,0.53,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,12.55,82.05,0,18.76,164.1,193.06,0,0,8.69,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1223.2099999999998

22,05:15-05:30,0,28.96,0,0,0,26.32,44.4,0,0,0,0.53,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,12.55,82.05,0,18.76,164.1,193.06,0,0,8.69,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1223.2099999999998

23,05:30-05:45,0,28.96,0,0,0,26.32,44.4,0,0,0,0.53,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,11.58,82.05,0,18.76,164.1,193.06,0,0,8.69,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1222.2399999999998

24,05:45-06:00,0,28.96,0,0,0,26.32,44.4,0,0,0,0.53,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,11.58,82.05,0,18.76,164.1,193.06,0,0,8.69,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1222.2399999999998

25,06:00-06:15,0,28.96,0,0,0,26.32,44.4,0,0,0,0.82,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,11.58,82.05,0,18.76,164.1,193.06,0,0,0,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,0.02,0,0,0,0,2,0,0,0,0,1215.86

26,06:15-06:30,0,28.96,0,0,0,26.32,44.4,0,0,0,0.82,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,11.58,82.05,0,18.76,164.1,193.06,0,0,0,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,1.85,0,0,0,0,5,0,0,0,0,1220.6899999999998

27,06:30-06:45,0,28.96,0,0,0,26.32,44.4,0,0,0,0.82,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,11.58,82.05,0,18.76,164.1,193.06,0,0,0,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,4.97,0.04,0,0,0.16,9,0,0,0.08,0.84,1228.9299999999998

28,06:45-07:00,0,28.96,0,0,0,26.32,44.4,0,0,0,0.82,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,11.58,82.05,0,18.76,164.1,193.06,0,0,0,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,7.81,0.07,0,0,0.26,16,0,0,0.14,1.38,1239.5

29,07:00-07:15,0,28.96,0,0,0,26.32,44.4,0,0,0,0.87,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,11.58,82.05,0,18.76,164.1,193.06,0,0,0,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,11.86,0.19,0,0,0.38,21,0,0,0.19,1.98,1249.49

30,07:15-07:30,0,28.96,0,0,0,26.32,44.4,0,0,0,0.87,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,11.58,82.05,0,18.76,164.1,193.06,0,0,0,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,16.49,0.19,0,0,0.39,28,0,0,0.19,2.98,1262.13

31,07:30-07:45,0,28.96,0,0,0,26.32,44.4,0,0,0,0.87,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,11.58,82.05,0,18.76,164.1,193.06,0,0,0,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,21.58,0.19,0,0,0.39,39,0,0,0.19,3.87,1279.11

32,07:45-08:00,0,28.96,0,0,0,26.32,44.4,0,0,0,0.87,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,11.58,82.05,0,18.76,164.1,193.06,0,0,0,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.04,0,27.08,0.19,0.03,0,0.48,49,0,0.06,0.29,5.27,1296.3299999999997

33,08:00-08:15,0,28.96,0,0,0,26.32,44.4,0,0,0,0.97,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,11.58,82.05,0,18.76,164.1,193.06,0,0,0,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.17,1.64,32.97,0.19,0.14,1.16,0.48,60,0,0.22,0.29,6.21,1317.4600000000003

34,08:15-08:30,0,28.96,0,0,0,26.32,44.4,0,0,0,0.97,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,11.58,82.05,0,18.76,164.1,193.06,0,0,0,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.3,1.64,39.1,0.19,0.26,1.16,0.48,70,0,0.39,0.29,8.56,1336.36

35,08:30-08:45,0,28.96,0,0,0,26.32,44.4,0,0,0,0.97,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,13.51,82.05,0,18.76,164.1,193.06,0,0,0,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.43,1.64,45.2,0.19,0.38,1.16,0.48,81,0,0.56,0.29,5.9,1353.1500000000003

36,08:45-09:00,0,28.96,0,0,0,26.32,44.4,0,0,0,0.97,48.26,48.26,26.32,76.86,26.32,0,0,14.48,0,14.62,13.51,82.05,0,18.76,164.1,193.06,0,0,0,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.6,1.64,51.26,0.19,0.6,1.16,0.48,95,0,0.85,0.29,5.9,1373.8899999999999

37,09:00-09:15,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.77,1.64,46.67,0.19,0.68,1.16,0.48,105,0,0.97,0.29,5.9,1426.2100000000003

38,09:15-09:30,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.77,1.64,50,0.19,0.68,1.16,0.48,119,0,0.97,0.29,6.88,1444.5200000000002

39,09:30-09:45,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.77,1.64,65,0.19,0.68,1.16,0.48,137,0,0.97,0.29,6.88,1477.5200000000002

40,09:45-10:00,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.77,1.64,68.33,0.19,0.68,1.16,0.48,151,0,0.97,0.29,7.86,1495.83

41,10:00-10:15,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.77,1.64,82.78,0.19,0.68,1.16,0.48,161,1.45,0.97,0.29,7.86,1521.73

42,10:15-10:30,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.66,1.64,86.63,0.19,0.57,1.16,0.48,172,1.45,0.95,0.29,7.86,1536.34

43,10:30-10:45,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.39,1.64,90.48,0.19,0.39,1.16,0.48,182,1.45,0.58,0.29,11.57,1553.0800000000002

44,10:45-11:00,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.39,1.64,92.12,0.19,0.39,1.16,0.48,189,1.45,0.58,0.29,12.86,1563.0100000000002

45,11:00-11:15,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.39,1.64,92,0.19,0.39,1.16,0.48,189,1.45,0.58,0.29,14.13,1564.1600000000003

46,11:15-11:30,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.39,1.64,92,0.19,0.39,1.16,0.48,189,1.45,0.58,0.29,15.58,1565.6100000000001

47,11:30-11:45,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.39,1.64,92,0.19,0.39,1.16,0.48,189,1.45,0.58,0.29,16.96,1566.9900000000002

48,11:45-12:00,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.39,1.64,92,0.19,0.39,1.16,0.48,189,1.45,0.58,0.29,18.24,1568.2700000000002

49,12:00-12:15,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.39,1.64,92,0.19,0.39,1.16,0.48,175,1.45,0.58,0.29,19.31,1555.3400000000001

50,12:15-12:30,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.39,1.64,92,0.19,0.39,1.16,0.48,175,1.45,0.58,0.29,19.31,1555.3400000000001

