Column1,Block,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6528,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/8058,NR/30092023/31122025/SH-07,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/20/5216,GNA/WR/2025/01/01/9606,NR/30092023/26122029/SH-06,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/01/3945,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/8625,NR/2025/24838/A/51507,NER/2024/2820/A/51555,NR/2024/24508/A/51549,NR/2024/24614/A/51550,NR/2024/24434/A/51281,NR/2024/24435/A/51280,NR/2025/24839/A/51509,NR/2025/25083/C,NR/2024/24418/A/51261,NR/2025/24837/A/51502,SR/2024/15456/A/51284,NR/2025/25084/C,NR/2024/24566/A/51272,NR/2024/24507/A/51548,NR/2025/25074/C,NR/2025/25075/C,WR/2024/25501/A/51566,NR/2025/25073/C,Total
3,00:30-00:45,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.42,0,0,0,31,0,0,25,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,403.42

4,00:45-01:00,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.42,0,0,0,31,0,0,25,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,403.42

5,01:00-01:15,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,25,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,399.98

6,01:15-01:30,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,25,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,399.98

7,01:30-01:45,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,25,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,399.98

8,01:45-02:00,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,25,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,399.98

9,02:00-02:15,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,398.06

10,02:15-02:30,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,398.06

11,02:30-02:45,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,398.06

12,02:45-03:00,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,398.06

13,03:00-03:15,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,398.06

14,03:15-03:30,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,398.06

15,03:30-03:45,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,398.06

16,03:45-04:00,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,398.06

17,04:00-04:15,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,398.06

18,04:15-04:30,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,398.06

19,04:30-04:45,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,398.06

20,04:45-05:00,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0,0,8.74,0,0,9.62,0,0,0.38,0,0,0,5.77,17.31,0,0,0,0,398.06

21,05:00-05:15,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,25,0,0,0,38.46,8.74,0,0,16.35,0,0,0.43,0,0,0,5.77,17.31,0,0,0,0,445.22

22,05:15-05:30,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,25,0,0,0,38.46,8.74,0,0,16.35,0,0,0.43,0,0,0,5.77,17.31,0,0,0,0,445.22

23,05:30-05:45,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,25,0,0,0,38.46,8.74,0,0,16.35,0,0,0.43,0,0,0,5.77,17.31,0,0,0,0,445.22

24,05:45-06:00,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,25,0,0,0,38.46,8.74,0,0,16.35,0,0,0.43,0,0,0,5.77,17.31,0,0,0,0,445.22

25,06:00-06:15,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,28.85,0,0,0,38.46,8.74,0,0,16.35,0,0,0.38,0,326.94,0,5.77,17.31,0,0,0,0,775.96

26,06:15-06:30,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,28.85,0,0,0,38.46,8.74,0,0,16.35,0,0,0.38,0,326.94,0,5.77,17.31,0,0,0,0,775.96

27,06:30-06:45,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,23.38,0,0,0,32,0,0,30.77,0,0,0,38.46,8.74,0,0,16.35,0,0,0.38,0,326.94,0,5.77,17.31,0,0,0,0,779.28

28,06:45-07:00,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,19.31,0,0,0,32,0,0,30.77,0,0,0,38.46,8.74,0,0,16.35,0,0,0.38,0,326.94,0,5.77,17.31,0,0,0,30.77,805.9799999999999

29,07:00-07:15,36.54,48.08,19.23,8.65,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,32,90.39,9.62,0,32,5.77,7.69,36.54,0,50,0,38.46,14.42,0,0,16.35,0,0,0.87,0,125.01,0,5.77,28.85,0,0,0,57.7,984.4700000000001

30,07:15-07:30,36.54,48.08,19.23,8.65,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,32,90.39,9.62,0,32,5.77,7.69,36.54,0,50,0,38.46,14.42,0,0,16.35,0,0,0.87,0,125.01,0,5.77,28.85,0,0,0,57.7,984.4700000000001

31,07:30-07:45,36.54,48.08,19.23,8.65,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,32,90.39,9.62,0,32,5.77,7.69,36.54,0,50,0,38.46,14.42,0,0,16.35,0,0,0.87,0,125.01,0,5.77,28.85,0,0,0,57.7,984.4700000000001

32,07:45-08:00,36.54,48.08,19.23,8.65,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,32,90.39,9.62,0,32,5.77,7.69,36.54,0,50,0.02,38.46,14.42,0,0,16.35,0.01,0,0.87,0.02,125.01,0,5.77,28.85,0,0,0,57.7,984.5200000000001

33,08:00-08:15,36.54,48.08,19.23,14.42,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,32,90.39,9.62,0,32,5.77,7.69,43.27,0,50,0.06,38.46,14.42,0,0,16.35,0.05,0,0.87,0.09,0,0,5.77,28.85,0,0,0,78.85,893.3100000000001

34,08:15-08:30,36.54,48.08,19.23,14.42,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,32,90.39,9.62,0,32,5.77,7.69,43.27,0,50,0.06,38.46,14.42,0,0,16.35,0.05,0,0.87,0.09,0,0,5.77,28.85,0,0,0,88.47,902.9300000000001

35,08:30-08:45,36.54,48.08,19.23,14.42,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,32,90.39,9.62,0,32,5.77,7.69,43.27,0,50,0.09,38.46,14.42,0,0,16.35,0.06,0,0.87,0.12,0,0,5.77,28.85,0,0,0,69.24,883.7700000000001

36,08:45-09:00,36.54,48.08,19.23,14.42,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,32,90.39,9.62,0,32,5.77,7.69,43.27,0,50,0.14,38.46,14.42,0,0,16.35,0.1,0,0.87,0.19,0,0,5.77,28.85,0,0,0,78.85,893.5400000000002

37,09:00-09:15,36.54,48.08,19.23,14.42,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,32,90.39,9.62,0,32,5.77,7.69,43.27,0,0,0.19,0,0,0,3.85,16.35,0.13,14.42,0.87,0.26,0,38.46,5.77,0,14.42,28.85,0,112.51,895.6200000000001

38,09:15-09:30,36.54,48.08,19.23,14.42,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,32,90.39,9.62,0,32,5.77,7.69,43.27,0,0,0.23,0,0,0,3.85,16.35,0.15,14.42,0.87,0.35,0,38.46,5.77,0,14.42,28.85,0,112.51,895.7700000000001

39,09:30-09:45,36.54,48.08,19.23,14.42,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,23.38,90.39,9.62,0,32,5.77,7.69,43.27,0,0,0.27,0,0,0,3.85,16.35,0.18,14.42,0.87,0.4,0,38.46,5.77,0,14.42,28.85,0,112.51,887.27

40,09:45-10:00,36.54,48.08,19.23,14.42,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,23.38,90.39,9.62,0,32,5.77,7.69,43.27,0,0,0.3,0,0,0,3.85,16.35,0.2,14.42,0.87,0.45,0,38.46,5.77,0,14.42,28.85,0,112.51,887.3700000000001

41,10:00-10:15,36.54,48.08,19.23,14.42,1.29,0,20.19,28.85,0,48.08,31.73,36.54,26.92,26.42,0,0,0,32,0,0,43.27,0,0,0.37,0,7.88,6.55,4.81,16.35,0.21,3.65,0.87,0.47,0,38.46,5.77,28.85,0,0,0,0,527.8

42,10:15-10:30,36.54,48.08,19.23,14.42,1.29,0,20.19,28.85,0,48.08,31.73,36.54,26.92,26.42,0,0,0,32,0,0,43.27,0,0,0.38,0,7.88,6.55,4.81,16.35,0.28,5.58,0.87,0.55,0,38.46,5.77,28.85,0,0,0,0,529.89

43,10:30-10:45,34.62,48.08,19.23,14.42,1.29,0,20.19,28.85,0,48.08,31.73,34.62,26.92,26.42,0,0,0,32,0,0,36.54,0,0,0.56,0,7.88,6.55,4.81,16.35,0.39,7.89,0.87,0.8,0,38.46,5.77,28.85,0,0,0,0,522.17

44,10:45-11:00,34.62,48.08,19.23,14.42,1.29,0,20.19,28.85,0,48.08,31.73,34.62,26.92,26.42,0,0,0,32,0,0,36.54,0,0,0.63,0,7.88,6.55,4.81,16.35,0.44,10.29,0.87,0.89,0,38.46,5.77,28.85,0,0,0,0,524.78

45,11:00-11:15,34.62,48.08,19.23,14.42,1.29,0,20.19,28.85,0,48.08,31.73,34.62,26.92,26.42,0,0,0,32,0,0,36.54,0,0,0.67,0,14.42,0,6.73,16.35,0.38,12.21,0.87,0.96,0,38.46,5.77,28.85,0,0,0,0,528.66

46,11:15-11:30,34.62,48.08,19.23,14.42,1.29,0,20.19,28.85,0,48.08,31.73,34.62,26.92,26.42,0,0,0,32,0,0,36.54,0,0,0.67,0,14.42,0,6.73,16.35,0.38,13.46,0.87,0.96,0,38.46,5.77,28.85,0,0,0,0,529.91

47,11:30-11:45,34.62,48.08,19.23,14.42,1.29,0,20.19,28.85,0,48.08,31.73,34.62,26.92,26.42,0,0,0,26.99,0,0,36.54,0,0,0.53,0,14.42,0,6.73,16.35,0.38,10,0.87,0.76,0,38.46,5.77,28.85,0,0,0,0,521.1

48,11:45-12:00,34.62,48.08,19.23,14.42,1.29,0,20.19,28.85,0,48.08,31.73,34.62,26.92,26.42,0,0,0,26.99,0,0,36.54,0,0,0.58,0,14.42,0,6.73,16.35,0.38,12.6,0.87,0.82,0,38.46,5.77,28.85,0,0,0,0,523.8100000000001

49,12:00-12:15,30.77,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,30.77,26.92,26.99,0,0,0,26.99,0,0,30.77,0,0,0.62,0,14.42,0,6.73,16.35,0.38,14.33,0.87,0.88,0,38.46,5.77,28.85,0,0,0,0,506.97

50,12:15-12:30,30.77,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,30.77,26.92,26.99,0,0,0,26.99,0,0,30.77,0,0,0.65,0,14.42,0,6.73,16.35,0.38,14.33,0.87,0.94,0,38.46,5.77,28.85,0,0,0,0,507.06

51,12:30-12:45,30.77,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,30.77,26.92,26.99,0,0,0,26.99,0,0,30.77,0,0,0.65,0,14.42,0,6.73,16.35,0.38,14.33,0.87,0.94,0,38.46,5.77,28.85,0,0,0,0,507.06

52,12:45-13:00,30.77,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,30.77,26.92,26.99,0,0,0,26.99,0,0,30.77,0,0,0.65,0,14.42,0,6.73,16.35,0.38,14.33,0.87,0.94,0,38.46,5.77,28.85,0,0,0,0,507.06

53,13:00-13:15,30.77,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,30.77,26.92,26.99,0,0,0,26.99,0,0,30.77,0,0,0.65,0,14.42,0,5.77,16.35,0.38,14.33,0.77,0.94,0,38.46,5.77,28.85,0,0,0,0,505.99999999999994

54,13:15-13:30,30.77,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,30.77,26.92,26.99,0,0,0,26.99,0,0,30.77,0,0,0.67,0,14.42,0,5.77,16.35,0.38,14.33,0.77,0.96,0,38.46,5.77,28.85,0,0,0,0,506.03999999999996

55,13:30-13:45,30.77,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,30.77,26.92,26.99,0,0,0,26.99,0,0,30.77,0,0,0.67,0,14.42,0,5.77,16.35,0.38,14.42,0.77,0.96,0,38.46,5.77,28.85,0,0,0,0,506.13

56,13:45-14:00,30.77,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,30.77,26.92,26.99,0,0,0,26.99,0,0,30.77,0,0,0.67,0,14.42,0,5.77,16.35,0.38,14.42,0.77,0.96,0,38.46,5.77,28.85,0,0,0,0,506.13

57,14:00-14:15,30.77,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,30.77,26.92,26.99,0,0,0,26.99,0,0,30.77,0,0,0.67,0,14.42,0,4.81,16.35,0.35,14.42,0.77,0.96,0,38.46,5.77,28.85,0,0,0,0,505.14000000000004

58,14:15-14:30,30.77,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,30.77,26.92,26.99,0,0,0,26.99,0,0,30.77,0,0,0.67,0,14.42,0,4.81,16.35,0.42,14.42,0.77,0.96,0,38.46,5.77,28.85,0,0,0,0,505.21000000000004

59,14:30-14:45,30.77,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,30.77,26.92,26.99,0,0,0,26.99,0,0,30.77,0,0,0.67,0,14.42,0,4.81,16.35,0.42,14.42,0.77,0.96,0,38.46,5.77,28.85,0,0,0,0,505.21000000000004

60,14:45-15:00,30.77,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,30.77,26.92,26.99,0,0,0,26.99,0,0,30.77,0,0,0.67,0,14.42,0,4.81,16.35,0.42,14.42,0.77,0.96,0,38.46,5.77,28.85,0,0,0,0,505.21000000000004

61,15:00-15:15,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0.67,0,14.42,0,4.81,16.35,0.48,14.42,0.67,0.96,0,38.46,5.77,28.85,0,0,0,0,482.1000000000001

62,15:15-15:30,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0.67,0,14.42,0,4.81,16.35,0.38,14.42,0.67,0.96,0,38.46,5.77,28.85,0,0,0,0,482.00000000000006

63,15:30-15:45,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0.67,0,14.42,0,4.81,16.35,0.48,14.42,0.67,0.96,0,38.46,5.77,28.85,0,0,0,0,482.1000000000001

64,15:45-16:00,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0.67,0,14.42,0,4.81,16.35,0.48,14.42,0.67,0.96,0,38.46,5.77,28.85,0,0,0,0,482.1000000000001

65,16:00-16:15,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0.67,0,14.42,0,2.88,16.35,0.48,14.42,0.48,0.96,0,38.46,5.77,28.85,0,0,0,0,479.9800000000001

66,16:15-16:30,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0.63,0,14.42,0,2.88,16.35,0.36,14.42,0.48,0.89,0,38.46,5.77,28.85,0,0,0,0,479.75000000000006

67,16:30-16:45,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0.54,0,14.42,0,2.88,16.35,0.31,14.42,0.48,0.76,0,38.46,5.77,28.85,0,0,0,0,479.4800000000001

68,16:45-17:00,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,0,26.99,0,0,23.08,0,0,0.43,0,14.42,0,2.88,16.35,0.25,14.42,0.48,0.62,0,38.46,5.77,28.85,0,0,0,0,479.1700000000001

69,17:00-17:15,36.54,48.08,19.23,14.42,1.29,0,20.19,28.85,0,48.08,31.73,36.54,26.92,26.99,0,0,0,26.99,0,0,43.27,0,0,0.29,0,14.42,0,0.96,16.35,0.16,0,0.48,0.4,0,0,5.77,28.85,0,0,0,0,476.80000000000007

70,17:15-17:30,36.54,48.08,19.23,14.42,1.29,0,20.19,28.85,0,48.08,31.73,36.54,26.92,26.99,0,0,0,26.99,0,0,43.27,0,0,0.21,0,14.42,0,0.96,16.35,0.13,0,0.48,0.31,0,0,5.77,28.85,0,0,0,16.35,492.95000000000005

71,17:30-17:45,36.54,48.08,19.23,14.42,1.29,0,20.19,28.85,0,48.08,31.73,36.54,26.92,24.67,0,0,0,24.67,0,0,43.27,0,0,0.14,0,14.42,0,0.96,16.35,0.09,0,0.48,0.21,0,0,5.77,28.85,0,0,0,35.58,507.33

72,17:45-18:00,36.54,48.08,19.23,14.42,1.29,0,20.19,28.85,0,48.08,31.73,36.54,26.92,19.31,0,0,0,32,0,0,43.27,0,0,0.04,0,14.42,0,0.96,16.35,0.02,0,0.48,0.06,0,0,5.77,28.85,0,0,0,35.58,508.98

73,18:00-18:15,36.54,48.08,19.23,14.42,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,32,90.39,9.62,30,32,5.77,7.69,43.27,50,50,0.02,38.46,14.42,0,0,16.35,0.01,0,0.48,0.02,134.62,0,5.77,28.85,0,0,38.46,35.58,1102.58

74,18:15-18:30,36.54,48.08,19.23,14.42,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,32,90.39,9.62,30,32,5.77,7.69,43.27,50,50,0,38.46,14.42,0,0,16.35,0,0,0.48,0,134.62,0,5.77,28.85,0,0,38.46,35.58,1102.53

75,18:30-18:45,36.54,48.08,19.23,14.42,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,32,90.39,9.62,30,32,5.77,7.69,43.27,50,50,0,38.46,14.42,0,0,16.35,0,0,0.48,0,134.62,0,5.77,28.85,0,0,38.46,35.58,1102.53

76,18:45-19:00,36.54,48.08,19.23,14.42,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,32,90.39,9.62,30,32,5.77,7.69,43.27,50,50,0,38.46,14.42,0,0,16.35,0,0,0.48,0,134.62,0,5.77,28.85,0,0,38.46,0,1066.95

