Time,Block,ER/2023/9140/C,NR/2023/14900/D,NR/2023/11470/A,NR/2023/13983/F,NR/2023/14923/C,NR/2023/14901/D,NR/2023/13573/A,NR/2023/11325/A,NR/2023/11654/A,NR/2023/13284/A,NR/2023/11328/A,NR/2023/14688/F,NR/2023/11954/A,NR/2023/13283/A,NR/2023/13858/A,NR/2023/14187/F,NR/2023/11697/A,NR/2023/14925/C,NR/2023/13983/F/II,NR/2023/14906/C,NR/2023/11458/A,NR/2023/14932/C,NR/2023/14922/C,NR/2023/14921/C,NR/2023/12646/A,NR/2023/14924/C,NR/2023/11315/A,NR/2023/14915/C,NR/2023/14688/F/II,NR/2023/13859/A,NR/2023/11739/A,NR/2023/11203/A,NR/2023/11469/A,NR/2023/14946/C,NR/2023/14902/D,NR/2023/14903/D,Total

3,00:30-00:45,0.000000,0,21.230000,0.630000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,0.000000,36.420000,24.140000,84.470000,3.860000,36.780000,19.600000,0.240000,0.970000,98.470000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,0.000000,24.140000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1278.26

4,00:45-01:00,0.000000,0,21.230000,0.630000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,0.000000,36.420000,24.140000,84.470000,3.860000,36.780000,19.600000,0.240000,0.970000,98.470000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,0.000000,24.140000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1278.26

5,01:00-01:15,0.000000,0,21.230000,0.490000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,0.000000,36.420000,24.140000,84.470000,3.860000,36.780000,19.600000,0.180000,0.970000,98.470000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,0.000000,24.140000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1278.06

6,01:15-01:30,0.000000,0,21.230000,0.490000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,0.000000,36.420000,24.140000,84.470000,3.860000,36.780000,19.600000,0.180000,0.970000,98.470000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,0.000000,24.140000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1278.06

7,01:30-01:45,0.000000,0,21.230000,0.490000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,0.000000,36.420000,24.140000,84.470000,3.860000,36.780000,19.600000,0.180000,0.970000,98.470000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,0.000000,24.140000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1278.06

8,01:45-02:00,0.000000,0,21.230000,0.490000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,0.000000,36.420000,24.140000,84.470000,3.860000,36.780000,19.600000,0.180000,0.970000,98.470000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,0.000000,24.140000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1278.06

9,02:00-02:15,0.000000,0,21.230000,0.420000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,0.000000,36.420000,24.140000,84.470000,3.860000,36.780000,19.600000,0.160000,0.970000,98.470000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,0.000000,24.140000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1277.97

10,02:15-02:30,0.000000,0,21.230000,0.420000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,0.000000,36.420000,24.140000,84.470000,3.860000,36.780000,19.600000,0.160000,0.970000,98.470000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,0.000000,24.140000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1277.97

11,02:30-02:45,0.000000,0,21.230000,0.420000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,0.000000,36.420000,24.140000,84.470000,3.860000,36.780000,19.600000,0.160000,0.970000,98.470000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,0.000000,24.140000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1277.97

12,02:45-03:00,0.000000,0,21.230000,0.420000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,0.000000,36.420000,24.140000,84.470000,3.860000,36.780000,19.600000,0.160000,0.970000,98.470000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,0.000000,24.140000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1277.97

13,03:00-03:15,0.000000,0,21.230000,0.530000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,20.270000,0.000000,24.140000,84.470000,3.860000,36.780000,19.600000,0.000000,0.000000,98.470000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,3.860000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1217.42

14,03:15-03:30,0.000000,0,21.230000,0.530000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,20.270000,0.000000,24.140000,84.470000,3.860000,36.780000,19.600000,0.000000,0.000000,98.470000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,3.860000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1217.42

15,03:30-03:45,0.000000,0,21.230000,0.530000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,20.270000,0.000000,24.140000,84.470000,3.860000,36.780000,19.600000,0.000000,0.000000,98.470000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,3.860000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1217.42

16,03:45-04:00,0.000000,0,21.230000,0.530000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,20.270000,0.000000,24.140000,84.470000,3.860000,36.780000,19.600000,0.000000,0.000000,98.470000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,3.860000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1217.42

17,04:00-04:15,0.000000,0,21.230000,0.530000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,36.780000,19.600000,0.000000,0.000000,98.470000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1217.43

18,04:15-04:30,0.000000,0,21.230000,0.530000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,36.780000,19.600000,0.000000,0.000000,98.470000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1217.43

19,04:30-04:45,0.000000,0,21.230000,0.530000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,36.780000,19.600000,0.000000,0.000000,98.470000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1217.43

20,04:45-05:00,0.000000,0,21.230000,0.530000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,36.780000,19.600000,0.000000,0.000000,98.470000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1217.43

21,05:00-05:15,0.000000,0,21.230000,0.530000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,36.780000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1099.36

22,05:15-05:30,0.000000,0,21.230000,0.530000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,36.780000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1099.36

23,05:30-05:45,0.000000,0,21.230000,0.530000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,36.780000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1099.36

24,05:45-06:00,0.000000,0,21.230000,0.530000,0.000000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,36.780000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1099.36

25,06:00-06:15,0.000000,0,21.230000,0.680000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,1.4,0.6,978.91

26,06:15-06:30,0.000000,0,21.230000,0.680000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,6.3,2.7,985.91

27,06:30-06:45,0.000000,0,21.230000,0.680000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,10.5,4.5,992.88

28,06:45-07:00,0.000000,0,21.230000,0.680000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,17.5,7.5,1002.88

29,07:00-07:15,0.000000,0.25,21.230000,0.680000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,3.860000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,31.5,13.5,1023.13

30,07:15-07:30,0.000000,0.49,21.230000,0.680000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,3.860000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,38.5,16.5,1033.37

31,07:30-07:45,0.000000,0.72,21.230000,0.680000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,3.860000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,49,21,1048.6

32,07:45:08:00,0.000000,0.82,21.230000,0.680000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,3.860000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,56.7,24.3,1059.7

33,08:00-08:15,50.000000,1,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,3.860000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,63,27,1119.17

34,08:15-08:30,50.000000,1.52,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,3.860000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,73.5,31.5,1134.69

35,08:30-08:45,50.000000,2.2,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,3.860000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,84,36,1150.37

36,08:45:09:00,50.000000,2.1,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,3.860000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,92.4,39.6,1162.27

37,09:00:09:15,50.000000,1.58,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,3.860000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,101.5,43.5,1198.89

38,09:15-09:30,50.000000,1.86,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,114.1,48.9,1220.07

39,09:30-09:45,50.000000,2.41,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,122.5,52.5,1232.62

40,09:45-10:00,50.000000,2.66,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,129.5,55.5,1242.87

41,10:00-10:15,50.000000,2.7,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,6.760000,90.750000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,140,60,1348.66

42,10:15-10:30,50.000000,4.4,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,6.760000,90.750000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,143.5,61.5,1355.36

43,10:30-10:45,50.000000,4.54,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,6.760000,90.750000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,147,63,1360.5

44,10:45-11:00,50.000000,3.9,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,6.760000,90.750000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,154,66,1369.86

45,11:00-11:15,50.000000,3.27,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,6.760000,90.750000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,161,69,1379.23

46,11:15-11:30,50.000000,3.9,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,6.760000,90.750000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,168,72,1389.86

47,11:30-11:45,50.000000,3.12,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,6.760000,90.750000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,168,72,1389.08

48,11:45-12:00,50.000000,1.7,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,6.760000,90.750000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,171.5,73.5,1392.66

49,12:00-12:15,50.000000,4.05,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,6.760000,90.750000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,171.5,73.5,1395.01

50,12:15-12:30,50.000000,2.7,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,7.720000,90.750000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,171.5,73.5,1394.62

51,12:30-12:45,50.000000,1.21,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,7.720000,90.750000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,171.5,73.5,1393.13

52,12:45-13:00,50.000000,3.99,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,7.720000,90.750000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,171.5,73.5,1395.91

53,13:00-13:15,50.000000,2.68,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,7.720000,90.750000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,170.8,73.2,1393.6

54,13:15-13:30,50.000000,2.94,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,7.720000,90.750000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,161,69,1379.86

55,13:30-13:45,50.000000,3.68,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,7.720000,90.750000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,157.5,67.5,1375.6

56,13:45-14:00,50.000000,3.6,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,7.720000,90.750000,0.000000,6.760000,0.000000,0.000000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,150.5,64.5,1365.52

57,14:00-14:15,0.000000,3.45,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,7.720000,106.190000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,133,57,1328.91

58,14:15-14:30,0.000000,2.24,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,7.720000,106.190000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,126,54,1317.7

59,14:30-14:45,0.000000,2.11,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,7.720000,106.190000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,115.5,49.5,1302.57

60,14:45-15:00,0.000000,1.53,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,7.720000,106.190000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,106.4,45.6,1288.99

61,15:00-15:15,0.000000,3.1,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,7.720000,106.190000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,101.5,43.5,1283.56

62,15:15-15:30,0.000000,4.26,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,7.720000,106.190000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,99.4,42.6,1281.72

