Column1,Block,NR/2025/26755/A/72671,NR/2025/26335/A/72821,GNARE/NR/2024/12/20/3668,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/2474,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/26291/A/73181,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/4138,NR/2025/27001/C,NR/2025/26191/A/72721,NR/2025/27003/C,NR/2025/26336/A/72820,NR/2025/26004/A/72723,NR/2025/26996/C,NR/2025/26085/A/72650,NR/2025/26997/C,NR/2025/26785/A/72715,NR/2025/26999/C,NR/2025/26082/A/73230,NR/2025/25860/A/73158,NR/2025/26822/A/73167,NR/2025/25859/A/73159,NR/2025/26991/C,NR/2025/26825/A/73166,NR/2025/26153/A/72677,NR/2025/26101/A/72864,NR/2025/26993/C,NR/2025/26829/A/73161,NR/2025/26289/A/73183,NR/2025/26689/A/72799,NR/2025/26986/C,NR/2025/26232/A/73189,NR/2025/26994/C,NR/2025/26970/C,NR/2025/26379/A/73151,NR/2025/25967/A/73152,NR/2025/26928/C,NR/2025/26828/A/73163,NR/2025/26924/C,NR/2025/26930/C,NR/2025/26265/A/73185,NR/2025/26233/A/73187,NR/2025/26925/C,NR/2025/26932/C,NR/2025/27004/C,NR/2025/26827/A/73165,NR/2025/25861/A/73157,NR/2025/26879/A/72837,NR/2025/26926/C,NR/2025/26940/C,NR/2025/27006/C,NR/2025/26005/A/72752,NR/2025/26202/A/73229,NR/2025/26927/C,Total
3,00:30-00:45,0,0,0,0,28.89,28.89,10.59,5.78,14.44,192.6,0,67.41,14.44,0,24.08,13.48,96.3,17.51,30,11.33,24.08,30,0,54.1,48.15,0,221.49,48.15,0,0.77,0,0,0,47.19,144.45,8.75,96.3,88.33,26.26,62.6,0,57.78,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,0,33.7,0,0,0,48.15,96.3,0,2494.1200000000003

4,00:45-01:00,0,0,0,0,28.89,28.89,10.59,5.78,14.44,192.6,0,67.41,14.44,0,24.08,13.48,96.3,17.51,30,11.33,24.08,30,0,54.1,48.15,0,221.49,48.15,0,0.77,0,0,0,47.19,144.45,8.75,96.3,88.33,26.26,62.6,0,57.78,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,0,33.7,0,0,0,48.15,96.3,0,2494.1200000000003

5,01:00-01:15,0,0,0,0,28.89,28.89,10.59,5.78,14.44,192.6,0,67.41,14.44,0,24.08,13.48,96.3,17.51,30,11.25,24.08,30,0,54.1,48.15,0,221.49,48.15,0,0.67,0,0,0,47.19,144.45,8.75,96.3,88.33,26.26,62.6,0,57.78,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,0,33.7,0,0,0,48.15,96.3,0,2493.9400000000005

6,01:15-01:30,0,0,0,0,28.89,28.89,10.59,5.78,14.44,192.6,0,67.41,14.44,0,24.08,13.48,96.3,17.51,30,11.25,24.08,30,0,54.1,48.15,0,221.49,48.15,0,0.67,0,0,0,47.19,144.45,8.75,96.3,88.33,26.26,62.6,0,57.78,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,0,33.7,0,0,0,48.15,96.3,0,2493.9400000000005

7,01:30-01:45,0,0,0,0,28.89,28.89,10.59,5.78,14.44,192.6,0,67.41,14.44,0,24.08,13.48,96.3,17.51,30,11.25,24.08,30,0,54.1,48.15,0,221.49,48.15,0,0.67,0,0,0,47.19,144.45,8.75,96.3,88.33,26.26,62.6,0,57.78,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,0,33.7,0,0,0,48.15,96.3,0,2493.9400000000005

8,01:45-02:00,0,0,0,0,28.89,28.89,10.59,5.78,14.44,192.6,0,67.41,14.44,0,24.08,13.48,96.3,17.51,30,11.25,24.08,30,0,54.1,48.15,0,221.49,48.15,0,0.67,0,0,0,47.19,144.45,8.75,96.3,88.33,26.26,62.6,0,57.78,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,0,33.7,0,0,0,48.15,96.3,0,2493.9400000000005

9,02:00-02:15,0,0,0,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,30,11.15,24.08,25.4,0,54.1,48.15,0,221.49,48.15,0,0.63,0,0,0,47.19,144.45,8.75,96.3,88.33,26.26,62.6,0,57.78,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,33.7,0,0,0,48.15,96.3,0,2372.6800000000003

10,02:15-02:30,0,0,0,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,30,11.15,24.08,25.4,0,54.1,48.15,0,221.49,48.15,0,0.63,0,0,0,47.19,144.45,8.75,96.3,88.33,26.26,62.6,0,57.78,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,33.7,0,0,0,48.15,96.3,0,2372.6800000000003

11,02:30-02:45,0,0,0,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,26.5,11.15,24.08,26.5,0,54.1,48.15,0,221.49,48.15,0,0.63,0,0,0,47.19,144.45,8.75,96.3,88.33,26.26,62.6,0,57.78,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,33.7,0,0,0,48.15,96.3,0,2370.28

12,02:45-03:00,0,0,0,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,26.5,11.15,24.08,26.5,0,54.1,48.15,0,221.49,48.15,0,0.63,0,0,0,47.19,144.45,8.75,96.3,88.33,26.26,62.6,0,57.78,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,33.7,0,0,0,48.15,96.3,0,2370.28

13,03:00-03:15,0,0,0,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,26.5,11.06,24.08,26.5,0,54.1,48.15,0,221.49,48.15,0,0.48,0,0,0,47.19,144.45,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,33.7,0,0,0,48.15,96.3,0,2223.93

14,03:15-03:30,0,0,0,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,26.5,11.06,24.08,26.5,0,54.1,48.15,0,221.49,48.15,0,0.48,0,0,0,47.19,144.45,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,33.7,0,0,0,48.15,96.3,0,2223.93

15,03:30-03:45,0,0,0,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,26.5,11.06,24.08,26.5,0,54.1,48.15,0,221.49,48.15,0,0.48,0,0,0,47.19,144.45,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,33.7,0,0,0,48.15,96.3,0,2223.93

16,03:45-04:00,0,0,0,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,26.5,11.06,24.08,26.5,0,54.1,48.15,0,221.49,48.15,0,0.48,0,0,0,47.19,144.45,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,33.7,0,0,0,48.15,96.3,0,2223.93

17,04:00-04:15,0,0,0,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,26.93,10.87,24.08,26.93,0,54.1,48.15,28.89,221.49,48.15,0,0.48,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,2075.3399999999997

18,04:15-04:30,0,0,0,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,26.93,10.87,24.08,26.93,0,54.1,48.15,28.89,221.49,48.15,0,0.48,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,2075.3399999999997

19,04:30-04:45,0,0,0,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,30,10.87,24.08,26.26,0,54.1,48.15,28.89,221.49,48.15,0,0.48,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,2077.74

20,04:45-05:00,0,0,0,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,30,10.87,24.08,26.26,0,54.1,48.15,28.89,221.49,48.15,0,0.48,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,2077.74

21,05:00-05:15,0,0,0,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,30,10.6,24.08,26.26,0,54.1,48.15,28.89,221.49,48.15,0,0.48,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,2077.47

22,05:15-05:30,0,0,0.02,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,30,10.6,24.08,26.26,0,54.1,48.15,28.89,221.49,48.15,0,0.48,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,2077.49

23,05:30-05:45,0,0,0.12,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,30,10.6,24.08,26.26,0,54.1,48.15,28.89,221.49,48.15,0,0.48,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,5.78,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,2076.6299999999997

24,05:45-06:00,0,0,0.13,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,30,10.6,24.08,26.26,0,54.1,48.15,28.89,221.49,48.15,0,0.48,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,5.78,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,2076.64

25,06:00-06:15,0,0,0.68,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,26.93,10.41,24.08,26.93,0,54.1,48.15,28.89,221.49,48.15,0,0.58,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,4.82,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,2073.74

26,06:15-06:30,0,0,1.44,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,26.93,10.41,24.08,26.93,0,54.1,48.15,28.89,221.49,48.15,0,0.58,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,4.82,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,2074.4999999999995

27,06:30-06:45,0,1,4.78,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,26.93,10.41,24.08,26.93,0,54.1,48.15,28.89,221.49,48.15,0,0.58,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,4.82,0,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,1884.3099999999995

28,06:45-07:00,0,4,7.97,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,26.93,10.41,24.08,26.93,0,54.1,48.15,28.89,221.49,48.15,0,0.58,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,4.82,0,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,1890.4999999999995

29,07:00-07:15,0,14,11.99,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,26.93,10.23,24.08,26.93,0,54.1,48.15,28.89,0,48.15,0,0.67,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,4.82,0,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,1682.9399999999996

30,07:15-07:30,0,28,17.19,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,26.93,10.23,24.08,26.93,0,54.1,48.15,28.89,0,48.15,0,0.67,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,4.82,0,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,1702.1399999999994

31,07:30-07:45,0,42,23.38,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,26.93,10.23,24.08,26.93,0,54.1,48.15,28.89,0,48.15,0,0.67,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,4.82,0,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,1722.3299999999995

32,07:45-08:00,0,56,30.25,0,28.89,0,10.59,0,0,192.6,0,0,14.44,96.3,24.08,13.48,96.3,17.51,26.93,10.23,24.08,26.93,0,54.1,48.15,28.89,0,48.15,0,0.67,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,4.82,0,4.82,0,0,192.6,192.6,0,8.75,0,0,0,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,1743.1999999999994

33,08:00-08:15,7.7,70,37.64,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.93,10.04,24.08,26.93,0,54.1,48.15,28.89,0,48.15,0,0.96,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,4.82,96.3,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,1868.6899999999996

34,08:15-08:30,7.7,88,45.09,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.93,10.04,24.08,26.93,0,54.1,48.15,28.89,0,48.15,0,0.96,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,4.82,96.3,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,1894.1399999999994

35,08:30-08:45,7.7,105,52.52,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.93,10.04,24.08,26.93,0,54.1,48.15,28.89,0,48.15,0,0.96,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,4.82,96.3,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,1918.5699999999995

36,08:45-09:00,7.7,123,60.1,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.93,10.04,24.08,26.93,0,54.1,48.15,28.89,0,48.15,0,0.96,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,0,0,26.26,48.15,4.82,96.3,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,0,0,0,0,0,48.15,96.3,0,1944.1499999999994

37,09:00-09:15,10.59,137,67.46,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.94,9.86,0,26.94,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,96.3,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2021.1999999999998

38,09:15-09:30,10.59,151,73.73,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.94,9.86,0,26.94,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2079.99

39,09:30-09:45,10.59,165,79.76,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.94,9.86,0,26.94,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2100.02

40,09:45-10:00,10.59,179,85.45,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.94,9.86,0,26.94,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2119.7100000000005

