Block,Time Block,RAPPB,NLCEXP,NLCIIST1,NJPC,NLCIIST2,RAMPUR,NLCTS2EXP,RAPPC,NNTPP,NAPP,NTPL,PARBATI3,TelanganaSTPP,TEHRI,CHAMERA3,BSIUL,CHAMERA2,DHAULIGNGA,BRBCL,DADRT2,FSTPP I & II,DULHASTI,CHAMERA1,KOTESHWR,MAPS,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KUDGI,KHSTPP-II,KHSTPP-I,KGSU3AND4,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_GF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_CRF,URI,URI2,UNCHAHAR2,UNCHAHAR3,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,KGSU1AND2,JHAJJAR,TALA,RIHAND2,SASAN,RIHAND1,TANDA2,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,RSTPSU7,TALST2,SALAL,SEWA2,SINGRAULI,TANAKPUR,RIHAND3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,20.42,0,74.48,20.7,6.31,27.45,38.93,10.07,365.45,11.08,52.1,27.21,37.42,0,0,0,3.88,1.39,0,76.83,34.9,0,0,0,0,0,0,0,0,0,0,0,0,0,48.65,35.2,23.28,0,11.85,0,0,0,182.46,9.68,90.08,223.36,29.81,0,0,0,0,0,0,0,81.03,11.22,116.03,12.59,85.63,0,0,0,0,0

7,01:30-01:45,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,20.42,0,74.48,20.7,6.31,27.45,38.93,10.87,365.45,11.08,52.1,27.21,37.42,0,0,0,3.88,1.39,0,64.12,29.67,0,0,0,0,0,0,0,0,0,0,0,0,0,48.65,35.2,23.28,0,11.85,0,0,0,182.46,9.68,90.08,223.36,29.81,0,0,0,0,0,0,0,50.63,11.22,116.03,12.59,85.63,0,0,0,0,0

8,01:45-02:00,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,20.42,0,74.48,20.7,6.31,27.45,38.93,8.87,365.45,11.08,52.1,27.21,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,35.2,23.28,0,11.85,0,0,0,182.46,9.68,90.08,223.36,29.81,0,0,0,0,0,0,0,50.63,11.22,116.03,12.59,85.63,0,0,0,0,0

9,02:00-02:15,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,20.42,0,74.48,20.7,6.31,27.45,38.93,8.2,365.45,11.08,52.1,27.21,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,35.2,23.28,0,11.85,0,0,0,182.46,9.68,90.08,223.36,29.81,0,0,0,0,0,0,0,50.63,11.22,116.03,12.59,85.63,0,0,0,0,0

10,02:15-02:30,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,20.42,0,74.48,20.7,6.31,27.45,38.93,8.6,365.45,11.08,52.1,27.21,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,35.2,23.28,0,11.85,0,0,0,182.46,9.68,90.08,223.36,29.81,0,0,0,0,0,0,0,50.63,5.61,116.03,12.59,85.63,0,0,0,0,0

11,02:30-02:45,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,6.81,0,74.48,20.7,6.31,27.45,38.93,9.93,365.45,11.08,52.1,27.21,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,35.2,23.28,0,11.85,0,0,0,182.46,9.68,90.08,223.36,29.81,0,0,0,0,0,0,0,50.63,0,116.03,12.59,85.63,0,0,0,0,0

12,02:45-03:00,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,6.81,0,74.48,20.7,6.31,27.45,38.93,12.28,365.45,11.08,52.1,27.21,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,35.2,23.28,0,11.85,0,0,0,182.46,9.68,90.08,223.36,29.81,0,0,0,0,0,0,0,50.63,0,116.03,12.59,85.63,0,0,0,0,0

13,03:00-03:15,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,6.81,0,74.48,20.7,6.31,27.45,38.93,13.32,365.45,11.08,52.1,27.21,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,23.28,0,11.85,0,0,0,182.46,9.97,90.08,223.36,29.81,0,0,0,0,0,0,0,50.63,0,116.03,11.53,85.63,0,0,0,0,0

14,03:15-03:30,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,6.81,0,74.48,20.7,6.31,27.45,38.93,10.98,365.45,11.08,52.1,27.21,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,48.65,32.91,23.28,0,11.85,0,0,0,182.46,9.97,90.08,223.36,29.81,0,0,0,0,0,0,0,50.63,0,116.03,11.53,85.63,0,0,0,0,0

15,03:30-03:45,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,6.81,0,74.48,20.7,6.31,27.45,38.93,11.07,365.45,11.08,52.1,27.21,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,48.65,32.91,23.28,0,11.85,0,0,0,182.46,9.97,90.08,223.36,29.81,0,0,0,0,0,0,0,50.63,0,116.03,11.53,85.63,0,0,0,0,0

16,03:45-04:00,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,6.81,0,74.48,20.7,6.31,27.45,38.93,13.88,365.45,11.08,52.1,13.61,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,48.65,32.91,23.28,0,11.85,0,0,0,182.46,9.97,90.08,223.36,29.81,0,0,0,0,0,0,0,50.63,0,116.03,11.53,85.63,0,0,0,0,0

17,04:00-04:15,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,6.81,0,74.48,20.7,6.31,27.45,38.93,14.2,365.45,11.08,52.1,13.61,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,21.17,0,11.85,0,0,0,182.46,9.68,90.08,223.36,29.81,0,0,0,0,0,0,0,50.63,0,116.03,11.53,85.63,0,0,0,0,0

18,04:15-04:30,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,6.81,0,74.48,20.7,6.31,27.45,38.93,14,365.45,11.08,52.1,13.61,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,21.17,0,11.85,0,0,0,182.46,9.68,90.08,223.36,29.81,0,0,0,0,0,0,0,50.63,0,116.03,11.53,85.63,0,0,0,0,0

19,04:30-04:45,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,6.81,0,74.48,20.7,6.31,27.45,38.93,14.55,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,21.17,0,11.85,0,0,0,182.46,9.68,90.08,223.36,29.81,0,0,0,0,0,0,0,50.63,0,116.03,11.53,85.63,0,0,0,0,0

20,04:45-05:00,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,6.81,0,74.48,20.7,6.31,27.45,38.93,18.13,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,48.65,32.91,21.17,0,11.85,0,0,0,182.46,9.68,90.08,223.36,29.81,0,0,0,0,0,0,0,50.63,0,116.03,11.53,85.63,0,0,0,0,0

21,05:00-05:15,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,6.81,0,74.48,20.7,6.31,27.45,38.93,19.37,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,48.65,32.91,21.17,0,11.85,0,0,0,182.46,9.59,90.08,223.36,29.81,0,0,0,0,0,0,0,61.91,0,116.03,11.53,85.63,0,0,0,0,0

22,05:15-05:30,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,6.81,0,74.48,20.7,6.31,27.45,38.93,19.37,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,42.77,32.91,21.17,0,11.85,0,0,0,182.46,9.59,90.08,223.36,29.81,0,0,0,0,0,0,0,81.03,0,116.03,11.53,85.63,0,0,0,0,0

23,05:30-05:45,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,10.89,0,74.48,20.7,6.31,27.45,38.93,19.37,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,21.17,0,11.85,0,0,0,182.46,9.59,90.08,223.36,29.81,0,0,0,0,0,0,0,81.03,0,116.03,0,85.63,0,0,0,0,0

24,05:45-06:00,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,52.41,0,74.48,20.7,6.31,27.45,38.93,17.86,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,21.17,0,11.85,0,0,0,182.46,9.32,90.08,223.36,29.81,0,0,0,0,0,0,0,81.03,0,116.03,0,85.63,0,0,0,0,0

25,06:00-06:15,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,52.41,0,74.48,20.7,6.31,27.45,38.93,19.07,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,20.16,0,11.85,0,0,0,182.46,9.11,90.08,223.36,29.81,0,0,0,0,0,0,0,81.03,0,116.03,0,85.63,0,0,0,0,0

26,06:15-06:30,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,52.41,0,74.48,20.7,6.31,27.45,38.93,19.37,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,20.16,0,11.85,0,0,0,182.46,9.11,90.08,223.36,29.81,0,0,0,0,0,0,0,81.03,0,116.03,0,85.63,0,0,0,0,0

27,06:30-06:45,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,52.41,0,74.48,20.7,12.63,27.45,38.93,19.37,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,20.16,0,11.85,0,0,0,182.46,9.11,90.08,223.36,29.81,0,0,0,0,0,0,0,81.03,0,116.03,0,85.63,0,0,0,0,0

28,06:45-07:00,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,52.41,0,74.48,20.7,12.63,27.45,38.93,19.37,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,20.16,0,11.85,0,0,0,182.46,9.11,90.08,223.36,29.81,0,0,0,0,0,0,0,50.63,0,116.03,0,85.63,0,0,0,0,0

29,07:00-07:15,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,52.41,0,74.48,20.7,12.63,27.45,38.93,18.78,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,15.99,0,11.85,0,0,0,182.46,9.02,90.08,223.36,29.81,0,0,0,0,0,0,0,50.63,0,116.03,0,85.63,0,0,0,0,0

30,07:15-07:30,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,34.03,0,74.48,20.7,12.63,27.45,38.93,17.94,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,15.99,0,11.85,0,0,0,182.46,9.02,90.08,223.36,29.81,0,0,0,0,0,0,0,50.63,0,116.03,0,85.63,0,0,0,0,0

31,07:30-07:45,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,34.03,0,74.48,20.7,12.63,27.45,38.93,16.01,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,15.99,0,11.85,0,0,0,182.46,8.46,90.08,223.36,29.81,0,0,0,0,0,0,0,50.63,0,116.03,0,85.63,0,0,0,0,0

32,07:45-08:00,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,34.03,0,74.48,20.7,12.63,27.45,38.93,15.45,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,15.99,0,11.85,0,0,0,182.46,8.46,90.08,223.36,29.81,0,0,0,0,0,0,0,50.63,0,116.03,0,85.63,0,0,0,0,0

33,08:00-08:15,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,31.31,0,74.48,20.7,12.63,27.45,38.93,15.55,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,15.99,0,11.85,0,0,0,182.46,8.46,90.07,223.36,29.82,0,0,0,0,0,0,0,50.63,0,119.92,0,85.63,0,0,0,0,0

34,08:15-08:30,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,31.31,0,74.48,20.7,12.63,27.45,38.93,17.4,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,15.99,0,11.85,0,0,0,182.46,8.46,90.09,223.36,29.82,0,0,0,0,0,0,0,50.63,0,119.92,0,85.62,0,0,0,0,0

35,08:30-08:45,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,31.31,0,74.48,20.7,12.63,27.45,38.93,19.37,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,15.99,0,11.85,0,0,0,182.46,8.46,77.63,223.36,29.8,0,0,0,0,0,0,0,50.63,0,94.03,0,69.98,0,0,0,0,0

36,08:45-09:00,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,31.31,0,74.48,20.7,12.63,27.45,38.93,19.37,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,15.99,0,11.85,0,0,0,182.46,8.46,76.1,223.36,29.82,0,0,0,0,0,0,0,50.63,0,88.29,0,64.88,0,0,0,0,0

37,09:00-09:15,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,31.31,0,74.48,20.7,6.31,27.45,38.93,19.37,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,15.99,0,11.85,0,0,0,182.46,10.02,76.1,223.36,29.81,0,0,0,0,0,0,0,50.63,0,88.29,0,64.83,0,0,0,0,0

38,09:15-09:30,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,31.31,0,74.48,20.7,6.31,27.45,38.93,19.37,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,32.91,15.99,0,11.85,0,0,0,182.46,10.02,76.1,223.36,29.81,0,0,0,0,0,0,0,50.63,0,88.29,0,64.83,0,0,0,0,0

39,09:30-09:45,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,28.59,0,74.48,20.7,6.31,27.45,38.93,19.37,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,28.63,15.99,0,11.85,0,0,0,182.46,10.02,76.09,223.36,29.81,0,0,0,0,0,0,0,50.63,0,88.29,0,64.87,0,0,0,0,0

40,09:45-10:00,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,28.59,0,74.48,20.7,6.31,27.45,38.93,19.26,365.45,11.08,52.1,0,37.42,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,28.63,15.99,0,11.85,0,0,0,182.46,10.02,76.94,223.36,30.18,0,0,0,0,0,0,0,50.63,0,88.29,0,67.97,0,0,0,0,0

41,10:00-10:15,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,29.95,0,74.48,20.7,6.31,27.45,38.93,19.37,365.45,11.08,52.1,0,28.07,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,25.76,15.99,0,11.85,0,0,0,182.46,10.02,76.94,223.36,30.18,0,0,0,0,0,0,0,50.63,0,88.29,0,67.97,0,0,0,0,0

42,10:15-10:30,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,29.95,0,74.48,20.7,6.31,27.45,38.93,19.04,365.45,11.08,52.1,0,28.07,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,48.65,25.76,15.99,0,11.85,0,0,0,182.46,10.02,76.94,223.36,30.18,0,0,0,0,0,0,0,50.63,0,88.29,0,67.97,0,0,0,0,0

43,10:30-10:45,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,29.95,0,74.48,20.7,6.31,27.45,38.93,16.41,365.45,11.08,52.1,0,28.07,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,48.65,25.76,15.99,0,11.85,0,0,0,182.46,10.02,91.62,223.36,30.18,0,0,0,0,0,0,0,50.63,0,88.29,0,86.86,0,0,0,0,0

44,10:45-11:00,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,29.95,0,74.48,20.7,6.31,27.45,38.93,15.51,365.45,11.08,52.1,0,28.07,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,48.65,25.76,15.99,0,11.85,0,0,0,182.46,10.02,91.62,223.36,30.18,0,0,0,0,0,0,0,50.63,0,88.29,0,86.86,0,0,0,0,0

45,11:00-11:15,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,20.42,0,74.48,20.7,6.31,27.45,38.93,17.99,365.45,11.08,52.1,0,28.07,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,25.76,15.99,0,11.85,0,0,0,182.46,10.54,91.62,223.36,30.18,0,0,0,0,0,0,0,50.63,0,107.66,0,86.86,0,0,0,0,0

46,11:15-11:30,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,20.42,0,74.48,20.7,6.31,27.45,38.93,14.9,365.45,11.08,52.1,0,28.07,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,25.76,15.99,0,11.85,0,0,0,182.46,10.54,91.62,223.36,30.18,0,0,0,0,0,0,0,50.63,0,112.5,0,86.86,0,0,0,0,0

47,11:30-11:45,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,20.42,0,74.48,20.7,6.31,27.45,38.93,13.73,365.45,11.08,52.1,0,28.07,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,25.76,15.99,0,11.85,0,0,0,182.46,10.54,92.59,223.36,31.1,0,0,0,0,0,0,0,50.63,0,118.04,0,88.75,0,0,0,0,0

48,11:45-12:00,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,20.42,0,74.48,20.7,6.31,27.45,38.93,15.31,365.45,11.08,52.1,0,28.07,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,25.76,15.99,0,11.85,0,0,0,182.46,10.54,92.59,223.36,31.1,0,0,0,0,0,0,0,50.63,0,120.62,0,88.75,0,0,0,0,0

49,12:00-12:15,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,20.42,0,74.48,20.7,6.31,27.45,38.93,16.39,365.45,11.08,52.1,0,28.07,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,25.76,15.99,0,11.85,0,0,0,182.46,10.54,92.59,223.36,31.1,0,0,0,0,0,0,0,50.63,0,103.51,0,88.75,0,0,0,0,0

50,12:15-12:30,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,20.42,0,66.7,20.7,6.31,27.45,38.93,17.91,365.45,11.08,52.1,0,28.07,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,25.76,15.99,0,11.85,0,0,0,182.46,10.54,92.59,223.36,31.1,0,0,0,0,0,0,0,50.63,0,88.99,0,88.75,0,0,0,0,0

51,12:30-12:45,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,20.42,0,66.7,20.7,6.31,27.45,38.93,16.73,365.45,11.08,52.1,0,28.07,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,25.76,15.99,0,11.85,0,0,0,182.46,10.54,92.59,223.36,31.1,0,0,0,0,0,0,0,50.63,0,88.99,0,67.97,0,0,0,0,0

52,12:45-13:00,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,20.42,0,66.7,20.7,6.31,27.45,38.93,16.34,365.45,11.08,52.1,0,28.07,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,25.76,15.99,0,11.85,0,0,0,182.46,10.54,92.59,223.36,31.1,0,0,0,0,0,0,0,50.63,0,88.99,0,67.97,0,0,0,0,0

53,13:00-13:15,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,20.42,0,66.7,20.7,6.31,27.45,38.93,16.33,365.45,11.08,52.1,0,28.07,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,28.63,15.99,0,11.85,0,0,0,182.46,10.54,87.59,223.36,31.1,0,0,0,0,0,0,0,50.63,0,88.99,0,67.97,0,0,0,0,0

54,13:15-13:30,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,20.42,0,66.7,20.7,6.31,27.45,38.93,19.37,365.45,11.08,52.1,0,28.07,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,28.63,15.99,0,11.85,0,0,0,182.46,10.54,84.69,223.36,31.1,0,0,0,0,0,0,0,50.63,0,88.99,0,67.97,0,0,0,0,0

55,13:30-13:45,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,20.42,0,66.7,20.7,6.31,27.45,38.93,19.37,365.45,11.08,52.1,0,28.07,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,28.63,15.99,0,11.85,0,0,0,182.46,10.54,84.69,223.36,31.1,0,0,0,0,0,0,0,50.63,0,88.99,0,67.97,0,0,0,0,0

56,13:45-14:00,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,20.42,0,66.7,20.7,6.31,27.45,38.93,17.93,365.45,11.08,52.1,0,28.07,0,0,0,3.88,1.39,0,52.67,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,28.63,15.99,0,11.85,0,0,0,182.46,10.54,84.69,223.36,31.1,0,0,0,0,0,0,0,50.63,0,88.99,0,67.97,0,0,0,0,0

57,14:00-14:15,0,0,0,161.84,0,3.43,0,58.33,0,44.26,0,20.42,0,66.7,20.7,6.31,27.45,38.93,17.65,365.45,11.08,52.1,0,28.07,0,0,0,3.88,1.39,0,61.7,28.75,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,28.63,15.99,0,11.85,0,0,0,182.46,10.54,91.05,223.36,30.73,0,0,0,0,0,0,0,50.63,0,120.62,0,87.52,0,0,0,0,0

