Column1,Block,NR/2024/23639/A/41595,NR/2024/23640/A/41594,GNA/NR/2024/10/16/2350,NR/2024/23384/A/41563,GNA/NR/2024/10/01/3642,NR/2024/23382/A/41730,NR/2024/23743/C,NR/2024/23694/A/41593,GNA/NR/2024/10/01/6101,NR/2024/23383/A/41557,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/23745/C,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/8106,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/9072,NR/30092023/31122025/SH-07,GNA/NR/2024/10/16/4393,Total
25,06:00-06:15,0,0,0,6.75,26.28,24.83,0,2.89,26.28,0.53,4.23,0,0,8.76,26.91,8.76,26.28,26.91,0,189.41

26,06:15-06:30,0,0,0,6.75,26.28,24.83,0,2.89,26.28,0.53,4.23,0,0,8.76,26.91,8.76,26.28,26.91,0,189.41

27,06:30-06:45,0,0,0,6.75,26.28,24.83,0,2.89,26.28,0.53,4.23,0,0,8.76,26.91,8.76,26.28,26.91,0,189.41

28,06:45-07:00,0,0,0,6.75,26.28,24.83,0,2.89,26.28,0.53,4.23,0.16,0,8.76,26.91,8.76,26.28,26.91,0,189.57

29,07:00-07:15,0,0,0,6.75,26.28,24.83,0,2.89,26.28,0.58,4.23,0.39,0,8.76,26.91,8.76,26.28,26.91,0,189.85

30,07:15-07:30,0,0,0,6.75,26.28,24.83,0,2.89,26.28,0.58,4.23,0.87,0,8.76,26.91,8.76,26.28,26.91,0,190.33

31,07:30-07:45,0,0,0,6.75,26.28,24.83,0,2.89,26.28,0.58,4.23,1.45,0,8.76,26.91,8.76,26.28,26.91,0,190.91

32,07:45-08:00,0,0,0,6.75,26.28,24.83,0,2.89,26.28,0.58,4.23,1.73,0,8.76,26.91,8.76,26.28,26.91,0,191.19

33,08:00-08:15,0,0,0,6.75,26.28,24.83,0,2.89,26.28,0.96,4.23,2.51,0,8.76,26.91,8.76,26.28,26.91,0,192.35

34,08:15-08:30,0,0,0,6.75,26.28,24.83,0,2.89,26.28,0.96,4.23,2.8,0,8.76,26.91,8.76,26.28,26.91,0,192.64

35,08:30-08:45,0,0,0,6.75,26.28,24.83,0,2.89,26.28,0.96,4.23,3.37,0,8.76,26.91,8.76,26.28,26.91,0,193.21

36,08:45-09:00,0,0,0,6.75,26.28,24.83,0,2.89,26.28,0.96,4.23,3.76,0,8.76,26.91,8.76,26.28,26.91,0,193.6

37,09:00-09:15,42.41,10.6,0,6.75,26.28,24.83,0,2.89,26.28,0.87,4.23,4.34,0,8.76,26.91,8.76,26.28,26.91,0,247.09999999999997

38,09:15-09:30,42.41,10.6,0,6.75,26.28,24.83,0,2.89,26.28,0.87,4.23,4.63,0,8.76,26.91,8.76,26.28,26.91,0,247.38999999999996

39,09:30-09:45,42.41,10.6,0,6.75,26.28,24.83,0,2.89,26.28,0.87,4.23,4.82,0,8.76,26.91,8.76,26.28,26.91,0,247.57999999999996

40,09:45-10:00,42.41,10.6,0,6.75,26.28,24.83,0,2.89,26.28,0.87,4.23,5.16,0,8.76,26.91,8.76,26.28,26.91,0,247.91999999999996

41,10:00-10:15,42.41,10.6,0,6.75,26.28,24.83,0,2.89,26.28,0.87,4.23,5.35,0,8.76,26.91,8.76,26.28,26.91,0,248.10999999999996

42,10:15-10:30,42.41,10.6,0,6.75,26.28,24.83,0,2.89,26.28,0.87,4.23,5.73,0,8.76,26.91,8.76,26.28,26.91,0,248.48999999999995

43,10:30-10:45,42.41,10.6,0,6.75,26.28,24.83,115.66,2.89,26.28,0.87,4.23,6.02,0,8.76,26.91,8.76,26.28,26.91,0,364.44

44,10:45-11:00,42.41,10.6,0,6.75,26.28,24.83,115.66,2.89,26.28,0.87,4.23,6.17,0,8.76,26.91,8.76,26.28,26.91,0,364.59

45,11:00-11:15,42.41,10.6,0,6.75,26.28,24.83,115.66,2.89,26.28,0.87,4.23,6.31,0,8.76,26.91,8.76,26.28,26.91,0,364.72999999999996

46,11:15-11:30,42.41,10.6,0,6.75,26.28,24.83,115.66,2.89,26.28,0.87,4.23,6.55,0,8.76,26.91,8.76,26.28,26.91,0,364.96999999999997

47,11:30-11:45,42.41,10.6,0,6.75,26.28,24.83,115.66,2.89,26.28,0.87,4.23,6.89,0,8.76,26.91,8.76,26.28,26.91,0,365.31

48,11:45-12:00,42.41,10.6,0,6.75,26.28,24.83,115.66,2.89,26.28,0.87,4.23,7.13,0,8.76,26.91,8.76,26.28,26.91,0,365.55

49,12:00-12:15,42.41,10.6,0,6.75,26.28,24.83,115.66,2.89,26.28,0.87,4.14,7.37,0,8.76,26.91,8.76,26.28,26.91,0,365.7

50,12:15-12:30,42.41,10.6,0,6.75,26.28,24.83,115.66,2.89,26.28,0.87,4.14,7.66,0,8.76,26.91,8.76,26.28,26.91,0,365.98999999999995

51,12:30-12:45,42.41,10.6,0,6.75,26.28,24.83,115.66,2.89,26.28,0.87,4.14,7.9,0,8.76,26.91,8.76,26.28,26.91,0,366.22999999999996

52,12:45-13:00,42.41,10.6,0,6.75,26.28,24.83,115.66,2.89,26.28,0.87,4.14,8.19,0,8.76,26.91,8.76,26.28,26.91,0,366.5199999999999

53,13:00-13:15,42.41,10.6,0,6.75,26.28,24.83,96.38,2.89,26.28,0.77,4.14,8.56,0,8.76,26.91,8.76,26.28,26.91,0,347.51000000000005

54,13:15-13:30,42.41,10.6,0,6.75,26.28,24.83,96.38,2.89,26.28,0.77,4.14,8.34,0,8.76,26.91,8.76,26.28,26.91,0,347.29

55,13:30-13:45,42.41,10.6,0,6.75,26.28,24.83,96.38,2.89,26.28,0.77,4.14,8.1,0,8.76,26.91,8.76,26.28,26.91,0,347.05

56,13:45-14:00,42.41,10.6,0,6.75,26.28,24.83,96.38,2.89,26.28,0.77,4.14,7.85,0,8.76,26.91,8.76,26.28,26.91,0,346.8

57,14:00-14:15,42.41,10.6,0,6.75,26.28,24.83,96.38,2.89,26.28,0.92,4.14,7.71,0,8.76,26.91,8.76,26.28,26.91,0,346.81

58,14:15-14:30,42.41,10.6,0,6.75,26.28,24.83,96.38,2.89,26.28,0.92,4.14,7.5,0,8.76,23.76,8.76,26.28,23.76,0,340.29999999999995

59,14:30-14:45,42.41,10.6,0,6.75,26.28,24.83,48.19,2.89,26.28,0.92,4.14,6.94,0,8.76,26.91,8.76,26.28,26.91,0,297.84999999999997

60,14:45-15:00,42.41,10.6,0,6.75,26.28,24.83,48.19,2.89,26.28,0.92,4.14,6.41,0,8.76,26.91,8.76,26.28,26.91,0,297.32

61,15:00-15:15,42.41,10.6,0,6.75,26.28,24.83,48.19,2.89,26.28,0.92,4.14,5.59,0,8.76,26.91,8.76,26.28,26.91,0,296.49999999999994

62,15:15-15:30,42.41,10.6,0,6.75,26.28,24.83,48.19,2.89,26.28,0.92,4.14,4.72,0,8.76,25.19,8.76,26.28,25.19,0,292.18999999999994

63,15:30-15:45,42.41,10.6,0,6.75,26.28,24.83,48.19,2.89,26.28,0.92,4.14,3.86,0,8.76,25.19,8.76,26.28,25.19,0,291.33

64,15:45-16:00,42.41,10.6,0,6.75,26.28,24.83,48.19,2.89,26.28,0.92,4.14,3.37,0,8.76,25.19,8.76,26.28,25.19,0,290.84

65,16:00-16:15,32.77,10.6,0,6.75,26.28,24.83,48.19,2.89,26.28,0.77,4.14,2.8,0,8.76,26.91,8.76,26.28,26.91,0,283.92

66,16:15-16:30,23.13,10.6,0,6.75,26.28,24.83,146.5,2.89,26.28,0.77,4.14,2.33,0,8.76,26.91,8.76,26.28,26.91,0,372.11999999999995

67,16:30-16:45,13.49,10.6,0,6.75,26.28,24.83,146.5,2.89,26.28,0.77,4.14,2.17,0,8.76,25.19,8.76,26.28,25.19,0,358.87999999999994

68,16:45-17:00,7.71,10.6,0,6.75,26.28,24.83,146.5,2.89,26.28,0.77,4.14,0.93,0,8.76,25.19,8.76,26.28,25.19,0,351.85999999999996

69,17:00-17:15,0,0,0,6.75,26.28,29.2,146.5,2.89,37.23,0.72,4.14,0.53,0,8.76,8.78,8.76,26.28,8.78,0,315.5999999999999

70,17:15-17:30,0,0,0,6.75,26.28,29.2,146.5,2.89,37.23,0.72,4.14,0.33,0,8.76,8.78,8.76,26.28,8.78,0,315.4

71,17:30-17:45,0,0,0,6.75,26.28,29.2,146.5,2.89,37.23,0.72,4.14,0.29,0,8.76,25.19,8.76,26.28,25.19,0,348.18

72,17:45-18:00,0,0,0,6.75,26.28,29.2,146.5,2.89,37.23,0.72,4.14,0.08,0,8.76,25.19,8.76,26.28,25.19,0,347.96999999999997

73,18:00-18:15,0,0,0,6.75,26.28,29.2,146.5,2.89,37.23,0.72,4.14,0,125,8.76,23.45,8.76,26.28,32,0,477.9599999999999

74,18:15-18:30,0,0,0,6.75,26.28,29.2,146.5,2.89,37.23,0.72,4.14,0,125,8.76,23.45,8.76,26.28,32,0,477.9599999999999

75,18:30-18:45,0,0,0,6.75,26.28,29.2,146.5,2.89,37.23,0.72,4.14,0,125,8.76,32,8.76,26.28,32,0,486.51

76,18:45-19:00,0,0,0,6.75,26.28,29.2,146.5,2.89,37.23,0.72,4.14,0,125,8.76,32,8.76,26.28,32,0,486.51

77,19:00-19:15,0,0,0,6.75,26.28,29.2,146.5,2.89,37.23,0.67,4.23,0,125,8.76,32,8.76,26.28,32,0,486.54999999999995

78,19:15-19:30,0,0,0,6.75,26.28,29.2,146.5,2.89,37.23,0.67,4.23,0,125,8.76,32,8.76,26.28,32,0,486.54999999999995

79,19:30-19:45,0,0,0,6.75,26.28,29.2,146.5,2.89,37.23,0.67,4.23,0,125,8.76,31.5,8.76,26.28,31.5,0,485.54999999999995

80,19:45-20:00,0,0,0,6.75,26.28,29.2,146.5,2.89,37.23,0.67,4.23,0,125,8.76,31.5,8.76,26.28,31.5,0,485.54999999999995

81,20:00-20:15,0,0,0,6.75,26.28,29.2,146.5,2.89,37.23,0.67,4.23,0,200,8.76,3.78,8.76,26.28,3.78,0,505.1099999999999

82,20:15-20:30,0,0,0,6.75,26.28,29.2,146.5,2.89,37.23,0.67,4.23,0,200,8.76,3.78,8.76,26.28,3.78,0,505.1099999999999

83,20:30-20:45,0,0,0,6.75,26.28,29.2,146.5,2.89,37.23,0.67,4.23,0,200,8.76,3.78,8.76,26.28,3.78,0,505.1099999999999

84,20:45-21:00,0,0,0,6.75,26.28,29.2,146.5,2.89,37.23,0.67,4.23,0,200,8.76,3.78,8.76,26.28,3.78,0,505.1099999999999

85,21:00-21:15,0,0,0,6.75,26.28,24.83,48.19,2.89,26.28,0.72,4.23,0,200,8.76,8.78,8.76,26.28,8.78,0,401.52999999999986

86,21:15-21:30,0,0,0,6.75,26.28,24.83,48.19,2.89,26.28,0.72,4.23,0,200,8.76,8.78,8.76,26.28,8.78,0,401.52999999999986

87,21:30-21:45,0,0,0,6.75,26.28,24.83,48.19,2.89,26.28,0.72,4.23,0,200,8.76,18.78,8.76,26.28,18.78,0,421.52999999999986

88,21:45-22:00,0,0,0,6.75,26.28,24.83,48.19,2.89,26.28,0.72,4.23,0,200,8.76,13.78,8.76,26.28,13.78,0,411.52999999999986

89,22:00-22:15,0,0,47.56,6.75,26.28,24.83,48.19,2.89,26.28,0.67,4.14,0,200,8.76,15.96,8.76,26.28,15.96,142.69,605.9999999999999

90,22:15-22:30,0,0,47.56,6.75,26.28,24.83,48.19,2.89,26.28,0.67,4.14,0,200,8.76,15.96,8.76,26.28,15.96,142.69,605.9999999999999

91,22:30-22:45,0,0,47.56,6.75,26.28,24.83,48.19,2.89,26.28,0.67,4.14,0,200,8.76,11.58,8.76,26.28,11.58,142.69,597.2399999999999

92,22:45-23:00,0,0,47.56,6.75,26.28,24.83,48.19,2.89,26.28,0.67,4.14,0,200,8.76,11.58,8.76,26.28,11.58,142.69,597.2399999999999

93,23:00-23:15,0,0,47.56,6.75,26.28,24.83,48.19,2.89,26.28,0.58,4.14,0,200,8.76,0,8.76,26.28,0,142.69,573.99

94,23:15-23:30,0,0,47.56,6.75,26.28,24.83,48.19,2.89,26.28,0.58,4.14,0,200,8.76,0,8.76,26.28,0,142.69,573.99

95,23:30-23:45,0,0,47.56,6.75,26.28,24.83,48.19,2.89,26.28,0.58,4.14,0,200,8.76,0,8.76,26.28,0,142.69,573.99

96,23:45-24:00,0,0,47.56,6.75,26.28,24.83,48.19,2.89,26.28,0.58,4.14,0,200,8.76,0,8.76,26.28,0,142.69,573.99

