Column1,Block,NR/2024/24071/A/44826,NR/2024/24060/A/45017,NR/2024/23952/A/44812,NR/2024/24097/A/44822,NR/2024/24186/C,NR/2024/24088/A/44829,NR/2024/24187/C,NR/2024/24052/A/44825,NR/2024/24051/A/44824,WR/2024/25054/A/44993,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1599,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/1766,NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,GNA/NR/2024/12/01/3428,NR/30092023/26122029/SH-06,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/2197,Total

50,12:15-12:30,6.73,28.85,0.82,7.69,14.43,0,32.89,3.85,0,0,1.92,8.66,0,150,25.97,0,25.97,0,0,8.66,0,0,25.97,342.40999999999997

51,12:30-12:45,6.73,28.85,0.82,7.69,22.12,0,26.06,3.85,0,0,1.92,8.66,0,150,25.97,0,25.97,0,0,8.66,0,0,25.97,343.27

52,12:45-13:00,6.73,28.85,0.82,7.69,22.12,0,25.97,3.85,0,0,1.92,8.66,0,150,25.97,0,25.97,0,0,8.66,0,0,25.97,343.18000000000006

53,13:00-13:15,5.77,28.85,0.77,7.69,22.12,0,26.06,3.85,0,0,1.92,8.66,0,150,25.97,0,25.97,0,0,8.66,0,0,25.97,342.26

54,13:15-13:30,5.77,28.85,0.77,7.69,22.12,0,26.06,3.85,0,0,1.92,8.66,0,150,25.97,0,25.97,0,0,8.66,0,0,25.97,342.26

55,13:30-13:45,5.77,28.85,0.77,7.69,22.12,0,26.16,3.85,0,0,1.92,8.66,0,150,25.97,0,25.97,0,0,8.66,0,0,25.97,342.36

56,13:45-14:00,5.77,28.85,0.77,7.69,22.12,0,26.16,3.85,0,0,1.92,8.66,0,150,25.97,0,25.97,0,0,8.66,0,0,25.97,342.36

57,14:00-14:15,4.81,28.85,0.77,7.69,22.12,0,26.25,3.85,0,0,1.92,8.66,0,150,25.97,0,25.97,0,0,8.66,0,0,25.97,341.49

58,14:15-14:30,4.81,28.85,0.77,7.69,22.12,0,26.25,3.85,0,0,1.92,8.66,0,150,25.97,0,25.97,0,0,8.66,0,0,25.97,341.49

59,14:30-14:45,4.81,28.85,0.77,7.69,22.12,0,26.25,3.85,0,0,1.92,8.66,0,150,25.97,0,25.97,0,0,8.66,0,0,25.97,341.49

60,14:45-15:00,4.81,28.85,0.77,7.69,9.62,0,36.45,3.85,0,0,1.92,8.66,0,150,25.97,0,25.97,0,0,8.66,0,0,25.97,339.19000000000005

61,15:00-15:15,4.81,28.85,0.63,7.69,9.62,0,33.66,3.85,0,0,1.92,8.66,0,150,25.97,0,25.97,0,0,8.66,0,0,25.97,336.26

62,15:15-15:30,4.81,28.85,0.63,7.69,9.62,0,30.49,3.85,0,0,1.92,8.66,0,150,25.97,0,25.97,0,0,8.66,0,0,25.97,333.09000000000003

63,15:30-15:45,4.81,28.85,0.63,7.69,9.62,0,27.12,3.85,0,0,1.92,8.66,0,150,31.74,0,31.74,0,0,8.66,0,0,31.74,347.03000000000003

64,15:45-16:00,4.81,28.85,0.63,7.69,9.62,0,23.47,3.85,0,0,1.92,8.66,0,150,31.74,0,31.74,0,0,8.66,0,0,31.74,343.38000000000005

65,16:00-16:15,2.89,28.85,0.48,7.69,16.64,0,19.81,3.85,0,0,1.92,8.66,0,150,31.74,0,31.74,0,0,8.66,0,0,31.74,344.67

66,16:15-16:30,2.89,28.85,0.48,7.69,9.62,0,16.06,3.85,0,0,1.92,8.66,0,150,31.74,0,31.74,0,0,8.66,0,0,31.74,333.90000000000003

67,16:30-16:45,2.89,28.85,0.48,7.69,9.62,0,12.41,3.85,0,0,1.92,9.62,0,150,36.54,0,36.54,0,0,9.62,0,0,36.54,346.57000000000005

68,16:45-17:00,2.89,28.85,0.48,7.69,9.52,0,8.94,3.85,0,0,1.92,9.62,0,150,36.54,0,36.54,0,0,9.62,0,0,36.54,343.00000000000006

69,17:00-17:15,0.96,28.85,0.48,7.69,0,3.85,0,3.85,0,0,1.92,12.5,0,150,37.51,0,37.51,0,0,12.5,0,0,37.51,335.13

70,17:15-17:30,0.96,28.85,0.48,7.69,0,3.85,0,3.85,0,0,1.92,12.5,0,150,37.51,0,37.51,0,0,12.5,0,0,37.51,335.13

71,17:30-17:45,0.96,28.85,0.48,7.69,0,3.85,0,3.85,0,0,1.92,12.5,0,150,37.51,0,37.51,0,0,12.5,0,0,37.51,335.13

72,17:45-18:00,0.96,28.85,0.48,7.69,0,3.85,0,3.85,0,0,1.92,12.5,0,150,37.51,0,37.51,0,0,12.5,0,0,37.51,335.13

73,18:00-18:15,0,28.85,0.53,7.69,0,3.85,0,3.85,0,38.47,1.92,12.5,0,150,37.51,0,37.51,0,150,12.5,0,50,37.51,572.69

74,18:15-18:30,0,28.85,0.53,7.69,0,3.85,0,3.85,0,38.47,1.92,12.5,0,150,37.51,0,37.51,0,150,12.5,0,50,37.51,572.69

75,18:30-18:45,0,28.85,0.53,7.69,0,3.85,0,3.85,0,38.47,1.92,12.5,0,150,37.51,0,37.51,0,150,12.5,0,50,37.51,572.69

76,18:45-19:00,0,28.85,0.53,7.69,0,3.85,0,3.85,0,38.47,1.92,12.5,0,150,37.51,0,37.51,0,150,12.5,0,50,37.51,572.69

77,19:00-19:15,0,28.85,0.53,7.69,0,3.85,0,3.85,0,38.47,1.92,8.66,0,150,37.51,0,37.51,0,150,8.66,0,50,37.51,565.01

78,19:15-19:30,0,28.85,0.53,7.69,0,3.85,0,3.85,0,38.47,1.92,8.66,0,150,37.51,0,37.51,0,150,8.66,0,50,37.51,565.01

79,19:30-19:45,0,28.85,0.53,7.69,0,3.85,0,3.85,0,38.47,1.92,8.66,0,150,37.51,0,37.51,0,150,8.66,0,50,37.51,565.01

80,19:45-20:00,0,28.85,0.53,7.69,0,3.85,0,3.85,0,38.47,1.92,8.66,0,150,37.51,0,37.51,0,150,8.66,0,50,37.51,565.01

81,20:00-20:15,0,28.85,0.53,7.69,0,3.85,0,3.85,0,38.47,1.92,8.66,0,150,34.62,0,34.62,0,250,8.66,0,50,34.62,656.3399999999999

82,20:15-20:30,0,28.85,0.53,7.69,0,3.85,0,3.85,0,38.47,1.92,8.66,0,150,34.62,0,34.62,0,250,8.66,0,50,34.62,656.3399999999999

83,20:30-20:45,0,28.85,0.53,7.69,0,3.85,0,3.85,0,38.47,1.92,8.66,0,150,34.62,0,34.62,0,250,8.66,0,50,34.62,656.3399999999999

84,20:45-21:00,0,28.85,0.53,7.69,0,3.85,0,3.85,0,38.47,1.92,8.66,0,150,34.62,0,34.62,0,250,8.66,0,50,34.62,656.3399999999999

85,21:00-21:15,0,28.85,0.53,7.69,0,3.85,0,3.85,0,38.47,1.92,8.66,0,150,31.74,0,31.74,0,250,8.66,0,50,31.74,647.6999999999999

86,21:15-21:30,0,28.85,0.53,7.69,0,3.85,0,3.85,0,38.47,1.92,8.66,0,150,31.74,0,31.74,0,250,8.66,0,50,31.74,647.6999999999999

87,21:30-21:45,0,28.85,0.53,7.69,0,3.85,0,3.85,0,38.47,1.92,8.66,0,150,31.74,0,31.74,0,250,8.66,0,50,31.74,647.6999999999999

88,21:45-22:00,0,28.85,0.53,7.69,0,3.85,0,3.85,0,38.47,1.92,8.66,0,150,31.74,0,31.74,0,250,8.66,0,50,31.74,647.6999999999999

89,22:00-22:15,0,28.85,0.48,7.69,0,0.96,0,2.89,0,38.47,1.92,8.66,95.13,150,25.97,31.71,25.97,0,250,8.66,0,50,25.97,753.3299999999999

90,22:15-22:30,0,28.85,0.48,7.69,0,0.96,0,2.89,0,38.47,1.92,8.66,95.13,150,25.97,31.71,25.97,0,250,8.66,0,50,25.97,753.3299999999999

91,22:30-22:45,0,28.85,0.48,7.69,0,0.96,0,2.89,0,38.47,1.92,8.66,95.13,150,25.97,31.71,25.97,0,250,8.66,0,50,25.97,753.3299999999999

92,22:45-23:00,0,28.85,0.48,7.69,0,0.96,0,2.89,0,38.47,1.92,8.66,95.13,150,25.97,31.71,25.97,0,250,8.66,0,50,25.97,753.3299999999999

93,23:00-23:15,0,28.85,0.43,7.69,0,0.96,0,2.89,0,38.47,1.92,8.66,95.13,150,25.97,31.71,25.97,0,250,8.66,0,50,25.97,753.28

94,23:15-23:30,0,28.85,0.43,7.69,0,0.96,0,2.89,0,38.47,1.92,8.66,95.13,150,25.97,31.71,25.97,0,250,8.66,0,50,25.97,753.28

95,23:30-23:45,0,28.85,0.43,7.69,0,0.96,0,2.89,0,38.47,1.92,8.66,95.13,150,25.97,31.71,25.97,0,250,8.66,0,50,25.97,753.28

96,23:45-24:00,0,28.85,0.43,7.69,0,0.96,0,2.89,0,38.47,1.92,8.66,95.13,150,25.97,31.71,25.97,0,250,8.66,0,50,25.97,753.28

