Time,Block,NR/2023/13254/A,NR/2023/16077/A,NR/2023/17440/C,NR/2023/13148/A,NR/2023/17441/C,NR/2023/17450/C,NR/2023/17456/C,NR/2023/16291/F,NR/2023/17427/D,NR/2023/13150/A,NR/2023/17457/C,NR/2023/13165/A,NR/2023/13387/A,NR/2023/16191/A,NR/2023/17460/C,NR/2023/16185/A,NR/2023/15770/A,NR/2023/16073/A,NR/2023/17429/D,NR/2023/17444/C,NR/2023/13253/A,NR/2023/13383/A,NR/2023/17442/C,NR/2023/17449/C,NR/2023/17445/C,NR/2023/13385/A,NR/2023/13168/A,NR/2023/17447/C,Total
20,04:45-05:00,19.610000,85.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.580000,0,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.470000,48.330000,36.830000,5.050000,0.000000,0.000000,50.020000,34.800000,0,754.22

21,05:00-05:15,19.610000,85.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.580000,0,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.470000,48.330000,36.830000,5.050000,0.000000,0.000000,50.020000,34.800000,0,754.22

22,05:15-05:30,19.610000,85.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.580000,0,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.470000,48.330000,36.830000,5.050000,0.000000,0.000000,50.020000,34.800000,0,754.22

23,05:30-05:45,19.610000,85.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.580000,0,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.470000,48.330000,36.830000,5.050000,0.000000,0.000000,50.020000,34.800000,0,754.22

24,05:45-06:00,19.610000,85.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.580000,0,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.470000,48.330000,36.830000,5.050000,0.000000,0.000000,50.020000,34.800000,0,754.22

25,06:00-06:15,19.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680000,0,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.380000,48.330000,0.000000,5.050000,0.000000,0.000000,50.020000,34.800000,0,631.47

26,06:15-06:30,19.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680000,0,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.380000,48.330000,0.000000,5.050000,0.000000,0.000000,50.020000,34.800000,0,631.47

27,06:30-06:45,19.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680000,0,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.380000,48.330000,0.000000,4.030000,0.000000,0.000000,50.020000,34.800000,0,630.45

28,06:45-07:00,19.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680000,0,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.380000,48.330000,0.000000,4.030000,0.000000,0.000000,50.020000,34.800000,0,630.45

29,07:00-07:15,19.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680000,0.15,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.380000,48.330000,0.000000,4.030000,0.000000,0.000000,50.020000,34.800000,0,630.6

30,07:15-07:30,19.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680000,0.35,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.380000,48.330000,0.000000,4.030000,0.000000,0.000000,50.020000,34.800000,0,630.8

31,07:30-07:45,19.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680000,0.31,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.380000,48.330000,0.000000,4.030000,18.000000,0.000000,50.020000,34.800000,0,648.76

32,07:45:08:00,19.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680000,0.44,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.380000,48.330000,0.000000,4.030000,18.000000,0.000000,50.020000,34.800000,0,648.89

33,08:00-08:15,19.610000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.970000,0.71,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.290000,48.330000,0.000000,4.030000,18.000000,0.000000,50.020000,34.800000,0,679.36

34,08:15-08:30,19.610000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.970000,1.02,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.290000,48.330000,0.000000,4.030000,18.000000,0.000000,50.020000,34.800000,0,679.67

35,08:30-08:45,19.610000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.970000,1.59,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.290000,48.330000,0.000000,5.050000,18.000000,0.000000,50.020000,34.800000,0,681.26

36,08:45:09:00,19.610000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,0.970000,2.47,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.290000,48.330000,0.000000,5.050000,18.000000,0.000000,50.020000,34.800000,0,682.14

37,09:00:09:15,19.610000,0.000000,29.000000,0.000000,8.220000,30.000000,0.000000,0.970000,2.34,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.290000,48.330000,0.000000,6.050000,18.000000,0.000000,50.020000,34.800000,15.95,736.18

38,09:15-09:30,19.610000,0.000000,29.000000,0.000000,8.220000,30.000000,0.000000,0.970000,2.68,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.290000,48.330000,0.000000,6.050000,18.000000,0.000000,50.020000,34.800000,15.95,736.52

39,09:30-09:45,19.610000,0.000000,29.000000,0.000000,8.220000,30.000000,0.000000,0.970000,3.95,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.290000,48.330000,0.000000,6.050000,18.000000,0.000000,50.020000,34.800000,15.95,737.79

40,09:45-10:00,19.610000,0.000000,29.000000,0.000000,8.220000,30.000000,0.000000,0.970000,6.27,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.290000,48.330000,0.000000,7.070000,18.000000,0.000000,50.020000,34.800000,15.95,741.13

41,10:00-10:15,19.610000,0.000000,29.000000,0.000000,8.220000,30.000000,0.000000,0.970000,8.16,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.200000,48.330000,0.000000,7.070000,18.000000,0.000000,50.020000,34.800000,15.95,742.93

42,10:15-10:30,19.610000,0.000000,29.000000,0.000000,8.220000,30.000000,0.000000,0.970000,8.47,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.200000,48.330000,0.000000,7.070000,18.000000,0.000000,50.020000,34.800000,15.95,743.24

43,10:30-10:45,19.610000,0.000000,29.000000,0.000000,8.220000,30.000000,0.000000,0.970000,5.11,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.200000,48.330000,0.000000,7.070000,18.000000,0.000000,50.020000,34.800000,15.95,739.88

44,10:45-11:00,19.610000,0.000000,29.000000,0.000000,8.220000,30.000000,0.000000,0.970000,4.81,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.200000,48.330000,0.000000,7.070000,18.000000,0.000000,50.020000,34.800000,15.95,739.58

45,11:00-11:15,19.610000,0.000000,29.000000,0.000000,8.220000,30.000000,0.000000,0.970000,6.85,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.200000,48.330000,0.000000,9.080000,18.000000,0.000000,50.020000,34.800000,15.95,743.63

46,11:15-11:30,19.610000,0.000000,29.000000,0.000000,8.220000,30.000000,0.000000,0.970000,6.35,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.200000,48.330000,0.000000,9.080000,18.000000,0.000000,50.020000,34.800000,15.95,743.13

47,11:30-11:45,19.610000,0.000000,29.000000,0.000000,8.220000,30.000000,0.000000,0.970000,4.8,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.200000,48.330000,0.000000,9.080000,18.000000,0.000000,50.020000,34.800000,15.95,741.58

48,11:45-12:00,19.610000,0.000000,29.000000,0.000000,8.220000,30.000000,0.000000,0.970000,4.24,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.200000,48.330000,0.000000,9.080000,18.000000,0.000000,50.020000,34.800000,15.95,741.02

49,12:00-12:15,19.610000,0.000000,29.000000,0.000000,8.220000,30.000000,0.000000,0.970000,5.91,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.200000,48.330000,0.000000,8.070000,18.000000,0.000000,50.020000,34.800000,15.95,741.68

50,12:15-12:30,19.610000,0.000000,29.000000,0.000000,8.220000,30.000000,0.000000,0.970000,5.91,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.200000,48.330000,0.000000,8.070000,18.000000,0.000000,50.020000,34.800000,15.95,741.68

51,12:30-12:45,19.610000,0.000000,29.000000,0.000000,8.220000,30.000000,0.000000,0.970000,5.41,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.200000,48.330000,0.000000,8.070000,18.000000,0.000000,50.020000,34.800000,15.95,741.18

52,12:45-13:00,19.610000,0.000000,29.000000,0.000000,8.220000,30.000000,0.000000,0.970000,8.03,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.200000,48.330000,0.000000,8.070000,18.000000,0.000000,50.020000,34.800000,15.95,743.8

53,13:00-13:15,19.610000,0.000000,29.000000,0.000000,8.220000,0.000000,0.000000,0.970000,4.65,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.290000,48.330000,0.000000,8.070000,0.000000,0.000000,50.020000,34.800000,15.95,692.51

54,13:15-13:30,19.610000,0.000000,29.000000,0.000000,8.220000,0.000000,0.000000,0.970000,3.49,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.290000,48.330000,0.000000,8.070000,0.000000,0.000000,50.020000,34.800000,15.95,691.35

55,13:30-13:45,19.610000,0.000000,29.000000,0.000000,8.220000,0.000000,0.000000,0.970000,3.76,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.290000,48.330000,0.000000,8.070000,0.000000,0.000000,50.020000,34.800000,15.95,691.62

56,13:45-14:00,19.610000,0.000000,29.000000,0.000000,8.220000,0.000000,0.000000,0.970000,2.63,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.290000,48.330000,0.000000,8.070000,0.000000,38.660000,50.020000,34.800000,15.95,729.15

57,14:00-14:15,19.610000,0.000000,29.000000,0.000000,8.220000,0.000000,0.000000,0.970000,3.08,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.380000,48.330000,0.000000,8.070000,0.000000,58.000000,50.020000,34.800000,15.95,749.03

58,14:15-14:30,19.610000,0.000000,29.000000,0.000000,8.220000,0.000000,0.000000,0.970000,6.89,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.380000,48.330000,0.000000,8.070000,0.000000,58.000000,50.020000,34.800000,15.95,752.84

59,14:30-14:45,19.610000,0.000000,29.000000,0.000000,8.220000,0.000000,0.000000,0.970000,8.14,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.380000,48.330000,0.000000,8.070000,0.000000,70.560000,50.020000,34.800000,15.95,766.65

60,14:45-15:00,19.610000,0.000000,29.000000,0.000000,8.220000,0.000000,0.000000,0.970000,6.72,63.020000,0.000000,22.230000,100.040000,42.050000,96.660000,38.660000,62.830000,24.160000,112.610000,7.380000,48.330000,0.000000,8.070000,0.000000,74.430000,50.020000,34.800000,15.95,865.76

61,15:00-15:15,19.610000,0.000000,29.000000,0.000000,8.220000,0.000000,0.000000,0.870000,4.24,63.020000,0.000000,22.230000,100.040000,42.050000,127.590000,38.660000,62.830000,24.160000,112.610000,7.570000,48.330000,0.000000,8.070000,0.000000,76.360000,50.020000,34.800000,15.95,896.23

62,15:15-15:30,19.610000,0.000000,29.000000,0.000000,8.220000,0.000000,0.000000,0.870000,5.29,63.020000,0.000000,22.230000,100.040000,42.050000,159.490000,38.660000,62.830000,24.160000,112.610000,7.570000,48.330000,0.000000,8.070000,0.000000,76.360000,50.020000,34.800000,15.95,929.18

63,15:30-15:45,19.610000,0.000000,29.000000,0.000000,8.220000,0.000000,0.000000,0.870000,6.73,63.020000,0.000000,22.230000,100.040000,42.050000,202.020000,38.660000,62.830000,24.160000,112.610000,7.570000,48.330000,0.000000,8.070000,0.000000,76.360000,50.020000,34.800000,15.95,973.15

64,15:45-16:00,19.610000,0.000000,29.000000,0.000000,8.220000,0.000000,0.000000,0.870000,5.28,63.020000,0.000000,22.230000,100.040000,42.050000,220.380000,38.660000,62.830000,24.160000,112.610000,7.570000,48.330000,0.000000,8.070000,0.000000,76.360000,50.020000,34.800000,15.95,990.06

65,16:00-16:15,19.610000,0.000000,29.000000,0.000000,8.220000,0.000000,0.000000,0.820000,4.98,63.020000,0.000000,22.230000,100.040000,42.050000,241.650000,38.660000,62.830000,24.160000,112.610000,7.750000,48.330000,0.000000,8.070000,0.000000,76.360000,50.020000,34.800000,15.95,1011.16

66,16:15-16:30,19.610000,0.000000,29.000000,0.000000,8.220000,0.000000,0.000000,0.820000,3.07,63.020000,0.000000,22.230000,100.040000,42.050000,258.080000,38.660000,62.830000,24.160000,112.610000,7.750000,48.330000,0.000000,8.070000,0.000000,76.360000,50.020000,34.800000,15.95,1025.68

67,16:30-16:45,19.610000,0.000000,29.000000,0.000000,8.220000,0.000000,0.000000,0.820000,0.93,63.020000,0.000000,22.230000,100.040000,42.050000,280.310000,38.660000,62.830000,24.160000,112.610000,7.750000,48.330000,0.000000,8.070000,0.000000,76.360000,50.020000,34.800000,15.95,1045.77

68,16:45-17:00,19.610000,0.000000,29.000000,0.000000,8.220000,0.000000,0.000000,0.820000,0.36,63.020000,0.000000,22.230000,100.040000,42.050000,265.820000,38.660000,62.830000,24.160000,112.610000,7.750000,48.330000,0.000000,8.070000,0.000000,81.190000,50.020000,34.800000,15.95,1035.54

69,17:00-17:15,19.610000,0.000000,0.000000,0.000000,0.000000,0.000000,48.330000,0.820000,0.22,63.020000,96.660000,22.230000,100.040000,42.050000,172.050000,38.660000,62.830000,24.160000,112.610000,7.940000,48.330000,0.000000,8.070000,0.000000,48.330000,50.020000,34.800000,0,1000.78

70,17:15-17:30,19.610000,0.000000,0.000000,0.000000,0.000000,0.000000,48.330000,0.820000,0.22,63.020000,96.660000,22.230000,100.040000,42.050000,181.720000,38.660000,62.830000,24.160000,112.610000,7.940000,48.330000,0.000000,8.070000,0.000000,48.330000,50.020000,34.800000,0,1010.45

71,17:30-17:45,19.610000,0.000000,0.000000,0.000000,0.000000,0.000000,48.330000,0.820000,0.22,63.020000,96.660000,22.230000,100.040000,42.050000,202.020000,38.660000,62.830000,24.160000,112.610000,7.940000,48.330000,0.000000,8.070000,0.000000,48.330000,50.020000,34.800000,0,1030.75

72,17:45-18:00,19.610000,0.000000,0.000000,0.000000,0.000000,0.000000,48.330000,0.820000,0,63.020000,96.660000,22.230000,100.040000,42.050000,194.290000,38.660000,62.830000,24.160000,112.610000,7.940000,48.330000,0.000000,8.070000,0.000000,48.330000,50.020000,34.800000,0,1022.8

73,18:00-18:15,19.610000,0.000000,0.000000,36.470000,0.000000,0.000000,96.660000,0.820000,0,63.020000,96.660000,22.230000,100.040000,42.050000,295.780000,38.660000,62.830000,0.000000,112.610000,8.030000,48.330000,0.000000,8.070000,0.000000,0.000000,50.020000,34.800000,0,1136.69

74,18:15-18:30,19.610000,0.000000,0.000000,36.470000,0.000000,0.000000,96.660000,0.820000,0,63.020000,96.660000,22.230000,100.040000,42.050000,284.180000,38.660000,62.830000,0.000000,112.610000,8.030000,48.330000,0.000000,8.070000,0.000000,0.000000,50.020000,34.800000,0,1125.09

75,18:30-18:45,19.610000,0.000000,0.000000,36.470000,0.000000,0.000000,96.660000,0.820000,0,63.020000,96.660000,22.230000,100.040000,42.050000,289.010000,38.660000,62.830000,0.000000,112.610000,8.030000,48.330000,0.000000,8.070000,0.000000,0.000000,50.020000,34.800000,0,1129.92

76,18:45-19:00,19.610000,0.000000,0.000000,36.470000,0.000000,0.000000,96.660000,0.820000,0,63.020000,96.660000,22.230000,100.040000,42.050000,297.710000,38.660000,62.830000,0.000000,112.610000,8.030000,48.330000,0.000000,8.070000,0.000000,0.000000,50.020000,34.800000,0,1138.62

77,19:00-19:15,19.610000,0.000000,0.000000,36.470000,0.000000,0.000000,193.320000,0.820000,0,63.020000,115.990000,22.230000,100.040000,42.050000,152.720000,38.660000,62.830000,0.000000,112.610000,7.940000,48.330000,0.000000,8.070000,0.000000,0.000000,50.020000,34.800000,0,1109.53

78,19:15-19:30,19.610000,0.000000,0.000000,36.470000,0.000000,0.000000,193.320000,0.820000,0,63.020000,115.990000,22.230000,100.040000,42.050000,158.520000,38.660000,62.830000,0.000000,112.610000,7.940000,48.330000,0.000000,8.070000,0.000000,0.000000,50.020000,34.800000,0,1115.33

79,19:30-19:45,19.610000,0.000000,0.000000,36.470000,0.000000,0.000000,193.320000,0.820000,0,63.020000,115.990000,22.230000,100.040000,42.050000,175.920000,38.660000,62.830000,0.000000,112.610000,7.940000,48.330000,0.000000,8.070000,0.000000,0.000000,50.020000,34.800000,0,1132.73

80,19:45-20:00,19.610000,0.000000,0.000000,36.470000,0.000000,0.000000,193.320000,0.820000,0,63.020000,115.990000,22.230000,100.040000,42.050000,189.450000,38.660000,62.830000,0.000000,112.610000,7.940000,48.330000,0.000000,8.070000,0.000000,0.000000,50.020000,34.800000,0,1146.26

81,20:00-20:15,19.610000,0.000000,0.000000,36.470000,0.000000,0.000000,193.320000,0.770000,0,63.020000,115.990000,22.230000,100.040000,42.050000,194.290000,38.660000,62.830000,0.000000,112.610000,7.840000,48.330000,0.000000,8.070000,0.000000,0.000000,50.020000,34.800000,0,1150.95

