Block,Time,URI,URI2,RIHAND2,RIHAND3,SEWA2,SINGRAULI,TANAKPUR,TEHRI,UNCHAHAR1,UNCHAHAR3,SALAL,SINGRAULI_HYDRO,UNCHAHAR2,UNCHAHAR4,TANDA2,NAPP,PARBATI3,RAMPUR,RAPPB,RIHAND1,CHAMERA1,CHAMERA2,DADRT2,DULHASTI,JHAJJAR,KISHANGANGA,KOTESHWR,KOLDAM,NJPC,RAPPC,CHAMERA3,DHAULIGNGA,BSIUL,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,SIMHST2,NTPL,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,MAPS,FSTPP I & II,KHSTPP-I,KHSTPP-II,TALA,BRBCL,SASAN
36,08:45:09:00,39.744,37.89052,124.384996,130.580717,0,123.615054,12.0414,63.745048,20.131611,27.63898,79.37622,1.212818,44.906625,0,5.534085,49.243676,16.783217,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,9.274803,179.962454,67.990882,34.831253,43.536137,13.0416,0,0,0,50.833423,0,81.47076,0,0,0,61.92938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.261,15.00135,348.975

37,09:00:09:15,39.744,37.89052,124.384996,130.580717,0,123.615054,12.0414,63.745048,20.131611,27.63898,79.37622,1.212818,44.906625,0,5.534085,49.243676,16.783217,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,9.274803,179.962454,67.990882,34.831253,43.536137,6.5208,0,0,0,50.833423,0,80.112914,0,0,0,61.92938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.261,15.00135,348.975

38,09:15-09:30,39.744,37.89052,124.384996,130.580717,0,123.615054,12.0414,63.745048,20.131611,27.63898,79.37622,1.212818,44.906625,0,5.534085,49.243676,16.783217,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,6.956103,179.962454,67.990882,34.831253,43.536137,6.5208,0,0,0,50.833423,0,80.112914,0,0,0,61.92938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.261,15.00135,348.975

39,09:30-09:45,39.744,37.89052,124.384996,130.580717,0,123.615054,12.0414,63.745048,22.630299,27.63898,79.37622,1.212818,44.906625,0,5.534085,49.243676,16.783217,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,6.956103,179.962454,67.990882,34.831253,43.536137,6.5208,0,0,0,50.833423,0,80.112914,0,0,0,61.92938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.261,15.00135,344.25

40,09:45-10:00,39.744,37.89052,124.384996,130.580717,0,123.615054,12.0414,63.745048,22.630299,27.63898,79.37622,1.212818,44.906625,0,5.534085,49.243676,16.783217,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,3.864502,179.962454,67.990882,34.831253,43.536137,6.5208,0,0,0,50.833423,0,80.112914,0,0,0,61.92938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.261,15.00135,344.25

41,10:00-10:15,47.472,37.89052,124.384996,130.580717,0,123.615054,7.686,63.745048,22.630299,27.63898,79.37622,1.212818,44.906625,0,5.534085,49.243676,4.272092,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,1.873697,179.962454,67.990882,34.831253,43.536137,6.5208,0,0,0,50.833423,0,80.112914,0,0,0,61.92938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.702,15.00135,344.25

42,10:15-10:30,47.472,37.89052,124.384996,130.580717,0,123.615054,7.686,63.745048,22.630299,27.63898,79.37622,1.212818,44.906625,0,5.534085,49.243676,4.272092,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,1.873697,179.962454,67.990882,34.831253,43.536137,6.5208,0,0,0,50.833423,0,80.112914,0,0,0,61.92938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.702,15.00135,344.25

43,10:30-10:45,47.472,37.89052,124.384996,130.580717,0,123.615054,5.6364,63.745048,22.630299,27.63898,79.37622,1.212818,44.906625,0,5.534085,49.243676,4.272092,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,0,179.962454,67.990882,34.831253,43.536137,6.5208,0,0,0,50.833423,0,80.112914,0,0,0,61.92938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.702,15.00135,344.25

