Block,Time Block,DULHASTI,RAMPUR,RIHAND3,RAPPC,PARBATI3,RIHAND2,RIHAND1,RAPPB,RAPPD,NLCEXP,NLCIIST1,NJPC,NLCIIST2,MAPS,NLCTS2EXP,NNTPP,NAPP,NTPL,PARBATI2,BSIUL,CHAMERA3,DHAULIGNGA,CHAMERA2,DADRT2,CHAMERA1,BRBCL,KUDGI,KOTESHWR,KGSU1AND2,KHSTPP-II,KKNP,KGSU3AND4,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,JHAJJAR,FSTPP I & II,DADRI_RF,ANTA_LF,AURY_CRF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,ANTA_RF,AURY_GF,DADRI_CRF,SINGRAULI_HYDRO,UNCHAHAR3,TALST2,TANAKPUR,TelanganaSTPP,SINGRAULI,UNCHAHAR2,TALA,URI,URI2,TEHRI,UNCHAHAR1,UNCHAHAR4,TANDA2,ANTA_GF,VALLURNTECL,ANTA_CRF,SIMHST2,SASAN,SIMHST1,SALAL,SEWA2,RSTPSU1TO6,RSTPSU7,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
29,07:00-07:15,57.21,2.87,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,72.15,0,0,0,0,24.53,0,15.89,0,17.71,10.53,31.28,515.17,40.53,19.23,0,10.03,0,142.59,0,0,0,4.61,8.3,43.78,406.5,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,1.72,0,144.55,42.32,0,48.3,33.98,24.22,20.81,1.63,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

30,07:15-07:30,57.21,2.87,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,72.15,0,0,0,0,24.53,0,15.89,0,17.71,10.53,31.28,467.1,40.53,19.23,0,10.03,0,142.59,0,0,0,2.31,8.3,43.78,329.58,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,1.72,0,144.55,42.78,0,48.3,33.98,24.22,20.81,1.63,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

31,07:30-07:45,57.21,2.87,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,72.15,0,0,0,0,24.53,0,15.89,0,17.71,10.53,31.28,345.63,27.02,19.23,0,10.03,0,142.59,0,0,0,2.08,8.3,43.78,329.89,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,1.72,0,144.55,42.78,0,48.3,33.98,11.87,20.81,2.13,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

32,07:45-08:00,57.21,2.87,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,72.15,0,0,0,0,24.53,0,15.89,0,17.71,10.53,31.28,329.44,25.02,19.23,0,10.03,0,142.59,0,0,0,0,8.3,43.78,324.05,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,1.72,0,126.48,42.78,0,48.3,33.98,11.65,20.81,2.13,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

33,08:00-08:15,57.21,1.8,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,45.23,0,0,0,0,24.53,0,15.89,0,0,10.53,31.28,329.44,24.31,19.23,0,10.03,0,122.9,0,0,0,0,8.3,37.73,251.76,15.09,0,0,0,0,0,0,0,0,0,0,0.96,18.59,0,2.95,0,126.48,29.68,0,47.77,33.98,0,13.91,2.13,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

34,08:15-08:30,57.21,1.8,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,45.23,0,0,0,0,24.53,0,15.89,0,0,10.53,31.28,329.44,12.15,19.23,0,10.03,0,122.9,0,0,0,0,8.3,37.73,251.76,15.09,0,0,0,0,0,0,0,0,0,0,0.96,18.59,0,2.95,0,126.48,29.68,0,47.77,33.98,0,13.91,2.13,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

35,08:30-08:45,57.21,1.8,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,45.23,0,0,0,0,24.53,0,15.89,0,0,10.53,31.28,329.44,11.69,19.23,0,10.03,0,122.9,0,0,0,0,8.3,37.73,203.61,15.09,0,0,0,0,0,0,0,0,0,0,0.96,18.59,0,2.95,0,126.48,29.68,0,47.77,33.98,0,13.91,2.13,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

36,08:45-09:00,57.21,1.06,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,26.6,0,0,0,0,24.53,0,15.89,0,0,10.53,15.64,329.44,11.69,19.23,0,10.03,0,122.9,0,0,0,0,8.3,37.73,203.61,15.09,0,0,0,0,0,0,0,0,0,0,0.96,18.59,0,2.95,0,126.48,29.68,0,47.77,33.98,0,13.91,2.13,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

37,09:00-09:15,57.21,1.06,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,26.6,0,0,0,0,24.53,0,15.89,0,0,0,15.64,287.13,0,19.23,0,10.03,0,122.9,0,0,0,0,8.3,37.73,191.21,15.09,0,0,0,0,0,0,0,0,0,0,0.96,16.01,0,2.95,0,126.44,23.8,0,15.92,37.08,0,11.86,1.19,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

38,09:15-09:30,57.21,1.06,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,26.6,0,0,0,0,24.53,0,15.89,0,0,0,15.64,287.13,0,19.23,0,10.03,0,122.9,0,0,0,0,8.3,37.73,123.91,15.09,0,0,0,0,0,0,0,0,0,0,0.96,16.01,0,2.95,0,126.44,23.8,0,5.31,37.08,0,11.86,1.19,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

39,09:30-09:45,57.21,1.06,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,26.6,0,0,0,0,24.53,0,15.89,0,0,0,15.64,287.13,0,19.23,0,10.03,0,122.9,0,0,0,0,8.3,37.73,123.91,15.09,0,0,0,0,0,0,0,0,0,0,0.96,16.01,0,1.72,0,126.44,23.8,0,5.31,37.08,0,11.86,1.19,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

40,09:45-10:00,57.21,1.06,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,26.6,0,0,0,0,24.53,0,15.89,0,0,0,15.64,287.13,0,19.23,0,10.03,0,122.9,0,0,0,0,8.3,37.73,104.68,15.09,0,0,0,0,0,0,0,0,0,0,0.96,16.01,0,1.72,0,126.44,23.8,0,15.92,37.08,0,11.86,1.19,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

41,10:00-10:15,57.21,1.06,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,26.6,0,0,0,0,24.53,0,21.67,0,0,0,0,287.13,0,19.23,0,10.03,0,122.9,0,0,0,0,8.3,37.73,104.68,12.56,0,0,0,0,0,0,0,0,0,0,0.96,16.01,0,1.72,0,144.55,23.8,0,50.34,33.98,0,11.86,1.19,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

42,10:15-10:30,57.21,1.06,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,26.6,0,0,0,0,24.53,0,21.67,0,0,0,0,287.13,0,19.23,0,10.03,0,122.9,0,0,0,0,8.3,37.73,104.68,12.56,0,0,0,0,0,0,0,0,0,0,0.96,16.01,0,1.72,0,144.55,23.8,0,50.34,33.98,0,11.86,1.19,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

43,10:30-10:45,57.21,1.06,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,26.6,0,0,0,0,24.53,0,21.67,0,0,0,0,287.13,0,19.23,0,10.03,0,114.41,0,0,0,0,8.3,29.08,104.68,9.6,0,0,0,0,0,0,0,0,0,0,0.96,16.01,0,1.72,0,126.44,23.8,0,50.34,33.98,0,12.97,1.19,3.94,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

44,10:45-11:00,57.21,1.06,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,26.6,0,0,0,0,24.53,0,21.67,0,0,0,0,287.13,0,17.87,0,10.03,0,114.41,0,0,0,0,8.3,29.08,104.68,9.6,0,0,0,0,0,0,0,0,0,0,0.96,16.01,0,1.72,0,126.44,23.8,0,50.34,33.98,0,12.97,1.19,3.94,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

45,11:00-11:15,57.21,1.06,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,26.6,0,0,0,0,24.53,0,21.67,0,0,0,0,287.13,0,18.11,0,10.03,0,114.41,0,0,0,0,8.3,29.08,104.68,11.62,0,0,0,0,0,0,0,0,0,0,0.96,16.01,0,1.72,0,126.44,26.32,0,50.34,33.98,0,12.97,1.19,4.45,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

46,11:15-11:30,57.21,1.06,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,26.6,0,0,0,0,24.53,0,21.67,0,0,0,0,287.13,0,17.17,0,10.03,0,114.41,0,0,0,0,8.3,29.08,104.68,11.62,0,0,0,0,0,0,0,0,0,0,0.96,16.01,0,1.72,0,126.44,26.32,0,50.34,33.98,0,12.97,1.19,5.3,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

47,11:30-11:45,57.21,1.06,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,26.6,0,0,0,0,24.53,0,21.67,0,0,0,0,287.13,0,19.23,0,10.03,0,120.99,0,0,0,0,8.3,37.73,104.68,15.09,0,0,0,0,0,0,0,0,0,0,0.96,16.01,0,1.72,0,126.44,26.32,0,47.77,33.98,0,12.97,1.19,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

48,11:45-12:00,57.21,1.06,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,26.6,0,0,0,0,24.53,0,21.67,0,0,0,0,287.13,0,19.23,0,10.03,0,138.6,0,0,0,0,8.3,37.73,104.68,15.09,0,0,0,0,0,0,0,0,0,0,0.96,16.01,0,1.72,0,126.44,26.32,0,47.77,33.98,0,12.97,1.19,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

49,12:00-12:15,57.21,1.06,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,26.6,0,0,0,0,24.53,0,21.67,0,0,0,0,287.13,0,19.23,0,10.03,0,142.59,0,0,0,0,8.3,37.73,104.68,15.09,0,0,0,0,0,0,0,0,0,0,0.96,16.01,0,1.72,0,126.44,26.32,0,47.77,33.98,0,12.97,1.19,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

50,12:15-12:30,57.21,1.06,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,26.6,0,0,0,0,24.53,0,21.67,0,0,0,0,287.13,0,19.23,0,10.03,0,142.59,0,0,0,0,8.3,37.73,104.68,15.09,0,0,0,0,0,0,0,0,0,0,0.96,16.01,0,1.72,0,126.44,26.32,0,47.77,33.98,0,12.97,1.19,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

51,12:30-12:45,57.21,1.06,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,26.6,0,0,0,0,24.53,0,21.67,0,0,0,0,287.13,0,19.23,0,10.03,0,142.59,0,0,0,0,8.3,37.73,104.68,15.09,0,0,0,0,0,0,0,0,0,0,0.96,16.01,0,1.72,0,126.44,26.32,0,47.77,33.98,0,12.97,1.19,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

52,12:45-13:00,57.21,1.06,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,26.6,0,0,0,0,24.53,0,21.67,0,0,0,0,287.13,0,19.23,0,10.03,0,142.59,0,0,0,0,8.3,37.73,104.68,15.09,0,0,0,0,0,0,0,0,0,0,0.96,20.51,0,1.72,0,126.44,32.18,0,47.77,33.98,0,15.84,2.13,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

53,13:00-13:15,57.21,1.06,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,26.6,0,0,0,0,24.53,0,21.67,0,0,0,0,287.13,0,19.23,0,10.03,0,128.77,0,0,0,0,8.3,37.73,104.68,15.09,0,0,0,0,0,0,0,0,0,0,0.96,20.51,0,1.11,0,126.44,32.57,0,47.77,33.98,0,15.84,2.13,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

54,13:15-13:30,57.21,1.06,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,26.6,0,0,0,0,24.53,0,21.67,0,0,0,0,287.13,0,19.23,0,10.03,0,122.9,0,0,0,0,8.3,37.73,104.68,15.09,0,0,0,0,0,0,0,0,0,0,0.96,20.51,0,1.11,0,126.44,32.57,0,47.77,33.98,0,15.84,2.13,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

