Column1,Block,GNA/NR/2025/05/01/4138,NR/30092023/31122025/SH-07,NR/2025/26804/C,NR/2025/26799/C,NR/2025/26849/C,NR/2025/26801/C,NR/2025/26855/C,NR/2025/26800/C,NR/2025/26856/C,NR/30092023/26122029/SH-06,NR/2025/26802/C,NR/2025/26853/C,NR/2025/26803/C,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9154,GNA/ER/2025/05/15/7367,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7902,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/2069,NR/2025/26236/A/71862,GNARE/NR/2024/12/20/3668,NR/2025/26335/A/71995,NR/2025/26202/A/72378,NR/2025/26153/A/71864,NR/2025/25858/A/72271,NR/2025/26336/A/71994,NR/2025/26291/A/72342,NR/2025/25855/A/72270,NR/2025/26197/A/72328,NR/2025/26191/A/71921,NR/2025/26233/A/72345,NR/2025/26689/A/71968,NR/2025/26198/A/72327,NR/2025/26200/A/72325,NR/2025/26085/A/71884,NR/2025/26201/A/72324,NR/2025/26101/A/72019,NR/2025/26002/A/72272,NR/2025/26199/A/72326,NR/2025/26265/A/72344,NR/2025/26289/A/72343,NR/2025/26312/A/71860,NR/2025/26232/A/72346,Total
3,00:30-00:45,0,30,0,0,165.64,0,14.44,0,54.1,30,0,0,0,0,0,5.78,67.41,192.6,144.45,191,28.89,13.48,28.89,10.87,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,0,134.82,24.08,144.45,14.59,48.15,4.82,6.74,43.77,14.59,0.77,37.21,0,0,43.77,96.3,48.15,0,4.82,2064.49

4,00:45-01:00,0,30,0,0,165.64,0,14.44,0,54.1,30,0,0,0,0,0,5.78,67.41,192.6,144.45,224,28.89,13.48,28.89,10.87,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,0,134.82,24.08,144.45,14.59,48.15,4.82,6.74,43.77,14.59,0.77,37.21,0,0,43.77,96.3,48.15,0,4.82,2097.49

5,01:00-01:15,0,30,0,0,165.64,0,14.44,0,54.1,30,0,0,0,0,0,5.78,67.41,192.6,144.45,272,28.89,13.48,28.89,10.79,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,0,134.82,24.08,144.45,14.59,48.15,4.82,6.74,43.77,14.59,0.67,37.21,0,0,43.77,96.3,48.15,0,4.82,2145.31

6,01:15-01:30,0,30,0,0,165.64,0,14.44,0,54.1,30,0,0,0,0,0,5.78,67.41,192.6,144.45,302,28.89,13.48,28.89,10.79,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,0,134.82,24.08,144.45,14.59,48.15,4.82,6.74,43.77,14.59,0.67,37.21,0,0,43.77,96.3,48.15,0,4.82,2175.3100000000004

7,01:30-01:45,0,30,0,0,165.64,0,14.44,0,54.1,30,0,0,0,0,0,5.78,67.41,192.6,144.45,323,28.89,13.48,28.89,10.79,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,0,134.82,24.08,144.45,14.59,48.15,4.82,6.74,43.77,14.59,0.67,37.21,0,0,43.77,96.3,48.15,0,4.82,2196.3100000000004

8,01:45-02:00,0,30,0,0,165.64,0,14.44,0,54.1,30,0,0,0,0,0,5.78,67.41,192.6,144.45,356,28.89,13.48,28.89,10.79,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,0,134.82,24.08,144.45,14.59,48.15,4.82,6.74,43.77,14.59,0.67,37.21,0,0,43.77,96.3,48.15,0,4.82,2229.3100000000004

9,02:00-02:15,0,30,0,0,165.64,0,14.44,0,54.1,0,0,0,0,0,0,0,0,192.6,144.45,267,28.89,13.48,0,10.6,14.44,0,192.6,28.94,10.59,96.3,0,0,0,96.3,62.6,0,134.82,24.08,144.45,14.59,48.15,4.82,6.74,43.77,14.59,0.63,37.21,0,0,43.77,0,48.15,0,4.82,1993.5599999999997

10,02:15-02:30,0,30,0,0,165.64,0,14.44,0,54.1,0,0,0,0,0,0,0,0,192.6,144.45,306,28.89,13.48,0,10.6,14.44,0,192.6,28.94,10.59,96.3,0,0,0,96.3,62.6,0,134.82,24.08,144.45,14.59,48.15,4.82,6.74,43.77,14.59,0.63,37.21,0,0,43.77,0,48.15,0,4.82,2032.5599999999997

11,02:30-02:45,0,30,0,0,165.64,0,14.44,0,54.1,0,0,0,0,0,0,0,0,192.6,144.45,335,28.89,13.48,0,10.6,14.44,0,192.6,28.94,10.59,96.3,0,0,0,96.3,62.6,0,134.82,24.08,144.45,14.59,48.15,4.82,6.74,43.77,14.59,0.63,37.21,0,0,43.77,0,48.15,0,4.82,2061.56

12,02:45-03:00,0,30,0,0,165.64,0,14.44,0,54.1,0,0,0,0,0,0,0,0,192.6,144.45,365,28.89,13.48,0,10.6,14.44,0,192.6,28.94,10.59,96.3,0,0,0,96.3,62.6,0,134.82,24.08,144.45,14.59,48.15,4.82,6.74,43.77,14.59,0.63,37.21,0,0,43.77,0,48.15,0,4.82,2091.56

13,03:00-03:15,0,30,0,0,165.64,0,14.44,0,54.1,15.25,0,0,0,0,0,0,0,192.6,144.45,381,28.89,13.48,0,10.51,14.44,0,192.6,28.94,10.59,96.3,0,0,0,96.3,62.6,0,134.82,24.08,144.45,14.59,48.15,4.82,6.74,43.77,14.59,0.48,37.21,0,0,43.77,0,48.15,0,4.82,2122.57

14,03:15-03:30,0,30,0,0,165.64,0,14.44,0,54.1,15.25,0,0,0,0,0,0,0,192.6,144.45,381,28.89,13.48,0,10.51,14.44,0,192.6,28.94,10.59,96.3,0,0,0,96.3,62.6,0,134.82,24.08,144.45,14.59,48.15,4.82,6.74,43.77,14.59,0.48,37.21,0,0,43.77,0,48.15,0,4.82,2122.57

15,03:30-03:45,0,30,0,0,165.64,0,14.44,0,54.1,15.25,0,0,0,0,0,0,0,192.6,144.45,381,28.89,13.48,0,10.51,14.44,0,192.6,28.94,10.59,96.3,0,0,0,96.3,62.6,0,134.82,24.08,144.45,14.59,48.15,4.82,6.74,43.77,14.59,0.48,37.21,0,0,43.77,0,48.15,0,4.82,2122.57

16,03:45-04:00,0,30,0,0,165.64,0,14.44,0,54.1,15.25,0,0,0,0,0,0,0,192.6,144.45,381,28.89,13.48,0,10.51,14.44,0,192.6,28.94,10.59,96.3,0,0,0,96.3,62.6,0,134.82,24.08,144.45,14.59,48.15,4.82,6.74,43.77,14.59,0.48,37.21,0,0,43.77,0,48.15,0,4.82,2122.57

17,04:00-04:15,0,30,0,0,165.64,0,14.44,0,54.1,25.4,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,10.41,14.44,0,192.6,28.94,10.59,96.3,0,0,0,96.3,62.6,0,134.82,24.08,0,14.59,48.15,4.82,6.74,43.77,14.59,0.48,37.21,0,0,43.77,0,48.15,0,4.82,1607.1699999999996

18,04:15-04:30,0,30,0,0,165.64,0,14.44,0,54.1,25.4,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,10.41,14.44,0,192.6,28.94,10.59,96.3,0,0,0,96.3,62.6,0,134.82,24.08,0,14.59,48.15,4.82,6.74,43.77,14.59,0.48,37.21,0,0,43.77,0,48.15,0,4.82,1607.1699999999996

19,04:30-04:45,0,30,0,0,165.64,0,14.44,0,54.1,25.4,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,10.41,14.44,0,192.6,28.94,10.59,96.3,0,0,0,96.3,62.6,0,134.82,24.08,0,14.59,48.15,4.82,6.74,43.77,14.59,0.48,37.21,0,0,43.77,0,48.15,0,4.82,1607.1699999999996

20,04:45-05:00,0,30,0,0,165.64,0,14.44,0,54.1,25.4,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,10.41,14.44,0,192.6,28.94,10.59,96.3,0,0,0,96.3,62.6,0,134.82,24.08,0,14.59,48.15,4.82,6.74,43.77,14.59,0.48,37.21,0,0,43.77,0,48.15,0,4.82,1607.1699999999996

21,05:00-05:15,0,30,0,0,165.64,0,14.44,0,54.1,25.4,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,10.32,14.44,0,192.6,28.94,10.59,96.3,0,0,0,96.3,62.6,0,134.82,24.08,0,14.59,48.15,4.82,6.74,43.77,14.59,0.48,37.21,0,0,43.77,0,48.15,0,4.82,1607.0799999999997

22,05:15-05:30,0,30,0,0,165.64,0,14.44,0,54.1,25.4,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,10.32,14.44,0,192.6,28.94,10.59,96.3,0,0.02,0,96.3,62.6,0,134.82,24.08,0,14.59,48.15,4.82,6.74,43.77,14.59,0.48,37.21,0,0,43.77,0,48.15,0,4.82,1607.0999999999997

23,05:30-05:45,0,30,0,0,165.64,0,14.44,0,54.1,25.4,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,10.32,14.44,0,192.6,28.94,10.59,96.3,0,0.12,0,96.3,62.6,0,134.82,24.08,0,14.59,48.15,4.82,5.78,43.77,14.59,0.48,37.21,0,0,43.77,0,48.15,0,4.82,1606.2399999999998

24,05:45-06:00,0,30,0,0,165.64,0,14.44,0,54.1,25.4,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,10.32,14.44,0,192.6,28.94,10.59,96.3,0,0.13,0,96.3,62.6,0,134.82,24.08,0,14.59,48.15,4.82,5.78,43.77,14.59,0.48,37.21,0,0,43.77,0,48.15,0,4.82,1606.2499999999998

25,06:00-06:15,0,26.5,0,0,165.64,0,14.44,0,54.1,26.5,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,10.23,14.44,0,192.6,28.94,10.59,96.3,0,0.68,0,96.3,62.6,0,134.82,24.08,0,14.59,48.15,4.82,4.82,43.77,14.59,0.58,37.21,0,0,43.77,0,48.15,0,4.82,1603.4499999999996

26,06:15-06:30,0,26.5,0,0,165.64,0,14.44,0,54.1,26.5,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,10.23,14.44,0,192.6,28.94,10.59,96.3,0,1.44,0,96.3,62.6,0,134.82,24.08,0,14.59,48.15,4.82,4.82,43.77,14.59,0.58,37.21,0,0,43.77,0,48.15,0,4.82,1604.2099999999998

27,06:30-06:45,0,26.5,0,0,165.64,0,14.44,0,54.1,26.5,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,10.23,14.44,0,192.6,28.94,10.59,96.3,0,4.78,1,96.3,62.6,0,134.82,24.08,0,14.59,48.15,4.82,4.82,43.77,14.59,0.58,37.21,0,0,43.77,0,48.15,0,4.82,1608.5499999999997

28,06:45-07:00,0,26.5,0,0,0,0,14.44,0,54.1,26.5,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,10.23,14.44,0,192.6,28.94,10.59,96.3,0,7.97,4,96.3,62.6,0,134.82,24.08,0,14.59,48.15,4.82,4.82,43.77,14.59,0.58,37.21,0,0,43.77,0,48.15,0,4.82,1449.0999999999997

29,07:00-07:15,0,26.5,0,0,0,0,14.44,0,54.1,26.5,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,10.14,14.44,0,192.6,28.94,10.59,96.3,0,11.99,14,96.3,62.6,0,0,24.08,0,14.59,48.15,4.82,4.82,43.77,14.59,0.67,37.21,0,0,43.77,0,48.15,0,4.82,1328.2999999999997

30,07:15-07:30,0,26.5,0,0,0,0,14.44,0,54.1,26.5,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,10.14,14.44,0,192.6,28.94,10.59,96.3,0,17.19,28,96.3,62.6,0,0,24.08,0,14.59,48.15,4.82,4.82,43.77,14.59,0.67,37.21,0,0,43.77,0,48.15,0,4.82,1347.4999999999998

31,07:30-07:45,0,26.5,0,0,0,0,14.44,0,54.1,26.5,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,10.14,14.44,0,192.6,28.94,10.59,96.3,0,23.38,42,96.3,62.6,0,0,24.08,0,14.59,48.15,4.82,4.82,43.77,14.59,0.67,37.21,0,0,43.77,0,48.15,0,4.82,1367.6899999999998

32,07:45-08:00,0,26.5,0,0,19.26,0,14.44,0,54.1,26.5,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,10.14,14.44,0,192.6,28.94,10.59,96.3,0,30.25,56,96.3,62.6,0,0,24.08,0,14.59,48.15,4.82,4.82,43.77,14.59,0.67,37.21,0,0,43.77,0,48.15,0,4.82,1407.8199999999997

33,08:00-08:15,0,26.5,0,0,19.26,0,14.44,0,54.1,26.5,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.96,14.44,0,192.6,28.94,10.59,0,7.7,37.64,81,96.3,62.6,0,0,24.08,0,14.59,48.15,4.82,4.82,43.77,14.59,0.96,37.21,0,0,43.77,96.3,48.15,0,4.82,1448.0199999999998

34,08:15-08:30,0,26.5,0,0,19.26,0,14.44,0,54.1,26.5,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.96,14.44,0,192.6,28.94,10.59,0,7.7,45.09,91,96.3,62.6,0,0,24.08,0,14.59,48.15,4.82,4.82,43.77,14.59,0.96,37.21,0,0,43.77,96.3,48.15,0,4.82,1465.4699999999998

35,08:30-08:45,0,26.5,0,0,115.56,0,14.44,0,54.1,26.5,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.96,14.44,0,192.6,28.94,10.59,0,7.7,52.52,105,96.3,62.6,0,0,24.08,0,14.59,48.15,4.82,4.82,43.77,14.59,0.96,37.21,0,0,43.77,96.3,48.15,0,4.82,1583.1999999999998

36,08:45-09:00,0,26.5,0,0,115.56,0,14.44,0,54.1,26.5,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.96,14.44,0,192.6,28.94,10.59,0,7.7,60.1,123,96.3,62.6,0,0,24.08,0,14.59,48.15,4.82,4.82,43.77,14.59,0.96,37.21,0,0,43.77,96.3,48.15,0,4.82,1608.78

37,09:00-09:15,0,26.61,0,52.96,115.56,48.15,14.44,96.3,54.1,26.61,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.86,14.44,0,192.6,28.94,10.59,0,10.59,67.46,140,96.3,62.6,0,0,0,0,14.59,48.15,4.82,5.78,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1690.0699999999997

38,09:15-09:30,0,26.61,0,52.96,115.56,48.15,14.44,96.3,54.1,26.61,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.86,14.44,0,192.6,28.94,10.59,0,10.59,73.73,151,96.3,62.6,0,0,0,0,14.59,48.15,4.82,5.78,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1707.3399999999997

39,09:30-09:45,0,26.61,0,52.96,115.56,48.15,14.44,96.3,54.1,26.61,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.86,14.44,0,192.6,28.94,10.59,0,10.59,79.76,161,96.3,62.6,0,0,0,0,14.59,48.15,4.82,5.78,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1723.3699999999997

40,09:45-10:00,0,26.61,0,52.96,115.56,48.15,14.44,96.3,54.1,26.61,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.86,14.44,0,192.6,28.94,10.59,0,10.59,85.45,175,96.3,62.6,0,0,0,0,14.59,48.15,4.82,5.78,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1743.0599999999997

41,10:00-10:15,0,26.61,0,52.96,115.56,48.15,14.44,96.3,54.1,26.61,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.76,14.44,0,192.6,28.94,10.59,0,12.52,90.57,189,96.3,62.6,0,0,0,0,14.59,48.15,4.82,5.78,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1764.0099999999998

42,10:15-10:30,0,26.61,0,52.96,163.71,48.15,14.44,96.3,54.1,26.61,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.76,14.44,0,192.6,28.94,10.59,0,12.52,95.32,193,96.3,62.6,0,0,0,0,14.59,48.15,4.82,5.78,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1820.9099999999996

43,10:30-10:45,0,26.61,0,52.96,163.71,48.15,14.44,96.3,54.1,26.61,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.76,14.44,0,192.6,28.94,10.59,0,12.52,99.57,196,96.3,62.6,0,0,0,0,14.59,48.15,4.82,5.78,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1828.1599999999996

44,10:45-11:00,0,26.61,0,52.96,163.71,48.15,14.44,96.3,54.1,26.61,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.76,14.44,0,192.6,28.94,10.59,0,12.52,100,203,96.3,62.6,0,0,0,0,14.59,48.15,4.82,5.78,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1835.5899999999997

45,11:00-11:15,0,26.61,0,52.96,163.71,48.15,14.44,96.3,54.1,26.61,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.58,14.44,0,192.6,28.94,10.59,0,13.48,100,207,96.3,62.6,0,0,0,0,14.59,48.15,4.82,6.74,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1841.3299999999997

46,11:15-11:30,0,26.61,0,52.96,163.71,48.15,14.44,96.3,54.1,26.61,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.58,14.44,0,192.6,28.94,10.59,0,13.48,100,210,96.3,62.6,0,0,0,0,14.59,48.15,4.82,6.74,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1844.3299999999997

47,11:30-11:45,0,26.61,0,52.96,163.71,48.15,14.44,96.3,54.1,26.61,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.58,14.44,0,192.6,28.94,10.59,0,13.48,100,210,96.3,62.6,0,0,0,0,14.59,48.15,4.82,6.74,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1844.3299999999997

48,11:45-12:00,0,26.61,0,52.96,163.71,48.15,14.44,96.3,54.1,26.61,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.58,14.44,0,192.6,28.94,10.59,0,13.48,100,210,96.3,62.6,0,0,0,0,14.59,48.15,4.82,6.74,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1844.3299999999997

49,12:00-12:15,0,26.7,0,52.96,163.71,48.15,14.44,96.3,54.1,26.7,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.5,14.44,0,192.6,28.94,10.59,0,13.48,100,210,96.3,62.6,0,0,0,0,14.59,48.15,4.82,6.74,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1844.4299999999998

50,12:15-12:30,0,26.7,0,52.96,163.71,48.15,14.44,96.3,54.1,26.7,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.5,14.44,0,192.6,28.94,10.59,0,13.48,100,210,96.3,62.6,0,0,0,0,14.59,48.15,4.82,6.74,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1844.4299999999998

51,12:30-12:45,0,26.7,0,52.96,163.71,48.15,14.44,96.3,54.1,26.7,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.5,14.44,0,192.6,28.94,10.59,0,13.48,100,210,96.3,62.6,0,0,0,0,14.59,48.15,4.82,6.74,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1844.4299999999998

52,12:45-13:00,0,26.7,0,52.96,163.71,48.15,14.44,96.3,54.1,26.7,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.5,14.44,0,192.6,28.94,10.59,0,13.48,100,210,96.3,62.6,0,0,0,0,14.59,48.15,4.82,6.74,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1844.4299999999998

53,13:00-13:15,0,26.7,0,52.96,163.71,48.15,14.44,96.3,54.1,26.7,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.4,14.44,0,192.6,28.94,10.59,0,13.48,100,210,96.3,62.6,0,0,0,0,14.59,48.15,4.82,6.74,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1844.3299999999997

54,13:15-13:30,0,26.7,0,52.96,163.71,48.15,14.44,96.3,54.1,26.7,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.4,14.44,0,192.6,28.94,10.59,0,13.48,100,210,96.3,62.6,0,0,0,0,14.59,48.15,4.82,6.74,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1844.3299999999997

