Column1,Block,NR/2025/24837/A/50589,NR/2025/24839/A/50595,NR/2025/24981/C,NR/2025/24838/A/50592,NR/2024/24434/A/50351,NR/2025/24980/C,NER/2024/2820/A/50620,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/8058,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/01/5531,GNA/WR/2025/01/01/9606,NR/30092023/26122029/SH-06,GNA/NR/2025/01/20/2470,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/20/5216,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6775,SR/2024/15456/A/50313,NR/2024/24418/A/50354,GNA/NR/2025/01/01/3945,NR/30092023/31122025/SH-07,WR/2024/25501/A/50623,NR/2024/24508/A/50656,NR/2025/24972/C,NR/2024/24507/A/50883,NR/2024/24614/A/50657,NR/2025/24973/C,NR/2025/24974/C,NR/2024/24566/A/50328,NR/2024/24435/A/50350,GNA/NR/2025/01/01/7459,NR/2024/24507/A/50655,GNA/NR/2025/01/01/6528,Total
3,00:30-00:45,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.17999999999995

4,00:45-01:00,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.17999999999995

5,01:00-01:15,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.17999999999995

6,01:15-01:30,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.17999999999995

7,01:30-01:45,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.17999999999995

8,01:45-02:00,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.17999999999995

9,02:00-02:15,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.17999999999995

10,02:15-02:30,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.17999999999995

11,02:30-02:45,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.17999999999995

12,02:45-03:00,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.17999999999995

13,03:00-03:15,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.29,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.0999999999999

14,03:15-03:30,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.29,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.0999999999999

15,03:30-03:45,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.29,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.0999999999999

16,03:45-04:00,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.29,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.0999999999999

17,04:00-04:15,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.17999999999995

18,04:15-04:30,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.17999999999995

19,04:30-04:45,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.17999999999995

20,04:45-05:00,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.17999999999995

21,05:00-05:15,0,0,0,0,0,0,38.43,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.43,23.06,0,0,8.73,0,0,0,0,0,5.76,16.33,23.06,14.28,8.65,402.37999999999994

22,05:15-05:30,0,0,0,0,0,0,38.43,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.43,23.06,0,0,8.73,0,0,0,0,0,5.76,16.33,23.06,14.28,8.65,402.37999999999994

23,05:30-05:45,0,0,0,0,0,0,38.43,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.43,23.06,0,0,8.73,0,0,0,0,0,5.76,16.33,23.06,14.28,8.65,402.37999999999994

24,05:45-06:00,0,0,0,0,0,0,38.43,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.43,23.06,0,0,8.73,0,0,0,0,0,5.76,16.33,23.06,14.28,8.65,402.37999999999994

25,06:00-06:15,0,0,0,0,0,0,38.43,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,24.02,326.64,0.38,43.23,0,0,8.73,0,0,0,0,0,5.76,16.33,24.02,14.28,8.65,751.06

26,06:15-06:30,0,0,0,0,0,0,38.43,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,24.02,326.64,0.38,43.23,0,0,8.73,0,0,0,0,0,5.76,16.33,24.02,14.28,8.65,751.06

27,06:30-06:45,0,0,0,0,0,0,38.43,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,24.02,326.64,0.38,43.23,0,0,8.73,0,0,0,0,0,5.76,16.33,24.02,14.28,8.65,751.06

28,06:45-07:00,0,0,0,0,0,0,38.43,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,24.02,326.64,0.38,43.23,0,0,8.73,0,0,0,0,0,5.76,16.33,24.02,14.28,8.65,751.06

29,07:00-07:15,0,0,0,0,0,0,38.43,48.04,30.74,5.76,48.04,26.9,50,7.69,28.82,0,0,96.07,0,20.17,9.61,1.29,19.21,90.31,48.04,34.59,124.89,0.86,43.23,0,0,14.41,0,0,0,0,0,5.76,16.33,34.59,14.28,14.41,872.47

30,07:15-07:30,0,0,0,0,0,0,38.43,48.04,30.74,5.76,48.04,26.9,50,7.69,28.82,0,0,96.07,0,20.17,9.61,1.29,19.21,90.31,48.04,34.59,124.89,0.86,43.23,0,0,14.41,0,0,0,0,0,5.76,16.33,34.59,14.28,14.41,872.47

31,07:30-07:45,0,0,0,0,0,0,38.43,48.04,30.74,5.76,48.04,26.9,50,7.69,28.82,0,0,96.07,0,20.17,9.61,1.29,19.21,90.31,48.04,36.51,124.89,0.86,43.23,0,0,14.41,0,0,0,0,0,5.76,16.33,36.51,14.28,14.41,876.31

32,07:45-08:00,0.01,0.01,0,0.01,0,0,38.43,48.04,30.74,5.76,48.04,26.9,50,7.69,28.82,0,0,96.07,0,20.17,9.61,1.29,19.21,90.31,48.04,36.51,124.89,0.86,43.23,0,0,14.41,0,0,0,0,0,5.76,16.33,36.51,14.28,14.41,876.3399999999999

33,08:00-08:15,0.05,0.02,0,0.04,0,0,38.43,48.04,30.74,5.76,48.04,26.9,50,7.69,28.82,0,0,96.07,0,20.17,9.61,1.37,19.21,90.31,48.04,36.51,0,0.86,43.23,0,0,14.41,78.35,0,0,0,0,5.76,16.33,36.51,14.28,14.41,829.9599999999999

34,08:15-08:30,0.11,0.05,0,0.08,0,0,38.43,48.04,30.74,5.76,48.04,26.9,50,7.69,28.82,0,0,96.07,0,20.17,9.61,1.37,19.21,90.31,48.04,36.51,0,0.86,43.23,0,0,14.41,78.35,0,0,0,0,5.76,16.33,36.51,14.28,14.41,830.09

35,08:30-08:45,0.21,0.11,0,0.15,0,0,38.43,48.04,30.74,5.76,48.04,26.9,50,7.69,28.82,0,0,96.07,0,20.17,9.61,1.37,19.21,90.31,48.04,36.51,0,0.86,43.23,0,0,14.41,78.35,0,0,0,0,5.76,16.33,36.51,14.28,14.41,830.3199999999999

36,08:45-09:00,0.26,0.12,0,0.19,0,0,38.43,48.04,30.74,5.76,48.04,26.9,50,7.69,28.82,0,0,96.07,0,20.17,9.61,1.37,19.21,90.31,48.04,36.51,0,0.86,43.23,0,0,14.41,78.35,0,0,0,0,5.76,16.33,36.51,14.28,14.41,830.42

37,09:00-09:15,0.36,0.17,0,0.26,3.84,0,0,48.04,30.74,5.76,48.04,26.9,0,7.69,28.82,0,0,96.07,0,20.17,9.61,1.37,19.21,90.31,48.04,36.51,0,0.86,43.23,0,0,0,78.35,0,0,14.41,14.28,5.76,16.33,36.51,0,14.41,746.0500000000001

38,09:15-09:30,0.86,0.38,0,0.58,3.84,0,0,48.04,30.74,5.76,48.04,26.9,0,7.69,28.82,0,0,96.07,0,20.17,9.61,1.37,19.21,90.31,48.04,36.51,0,0.86,43.23,0,0,0,78.35,0,0,14.41,14.28,5.76,16.33,36.51,0,14.41,747.08

39,09:30-09:45,0.86,0.38,0,0.58,3.84,0,0,48.04,30.74,5.76,48.04,26.9,0,7.69,28.82,0,0,96.07,0,20.17,9.61,1.37,19.21,90.31,48.04,36.51,0,0.86,43.23,0,0,0,78.35,0,0,14.41,14.28,5.76,16.33,36.51,0,14.41,747.08

40,09:45-10:00,0.86,0.38,0,0.58,3.84,0,0,48.04,30.74,5.76,48.04,26.9,0,7.69,28.82,0,0,96.07,0,20.17,9.61,1.37,19.21,90.31,48.04,36.51,0,0.86,43.23,0,0,0,78.35,0,0,14.41,14.28,5.76,16.33,36.51,0,14.41,747.08

41,10:00-10:15,0.86,0.38,38.43,0.58,4.8,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,36.51,0,0.86,43.23,0,0,7.87,78.35,0,6.54,0,0,5.76,16.33,36.51,14.28,14.41,560.6999999999999

42,10:15-10:30,0.86,0.38,38.43,0.58,4.8,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,36.51,0,0.86,43.23,0,0,7.87,0,0,6.54,0,0,5.76,16.33,36.51,14.28,14.41,482.35

43,10:30-10:45,0.86,0.38,38.43,0.58,4.8,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,36.51,0,0.86,43.23,0,0,7.87,0,0,6.54,0,0,5.76,16.33,36.51,14.28,14.41,482.35

44,10:45-11:00,0.86,0.38,38.43,0.58,4.8,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,36.51,0,0.86,43.23,0,0,7.87,0,0,6.54,0,0,5.76,16.33,36.51,14.28,14.41,482.35

45,11:00-11:15,0.86,0.38,38.43,0.58,6.72,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.29,19.21,0,48.04,36.51,0,0.86,36.51,0,0,14.41,0,0,0,0,0,5.76,16.33,36.51,14.28,14.41,477.46999999999997

46,11:15-11:30,0.86,0.38,38.43,0.58,6.72,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.29,19.21,0,48.04,36.51,0,0.86,36.51,0,0,14.41,0,0,0,0,0,5.76,16.33,36.51,14.28,14.41,477.46999999999997

47,11:30-11:45,0.86,0.38,38.43,0.58,6.72,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.29,19.21,0,48.04,36.51,0,0.86,36.51,0,0,14.41,0,0,0,0,0,5.76,16.33,36.51,14.28,14.41,477.46999999999997

48,11:45-12:00,0.86,0.38,38.43,0.58,6.72,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.29,19.21,0,48.04,36.51,0,0.86,36.51,0,0,14.41,0,0,0,0,0,5.76,16.33,36.51,14.28,14.41,477.46999999999997

49,12:00-12:15,0.86,0.38,38.43,0.58,6.72,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,31.7,0,0.86,31.7,0,0,14.41,0,0,0,0,0,5.76,16.33,31.7,14.28,8.65,457.3599999999999

50,12:15-12:30,0.86,0.38,38.43,0.58,6.72,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,31.7,0,0.86,31.7,0,0,14.41,0,0,0,0,0,5.76,16.33,31.7,14.28,8.65,457.3599999999999

51,12:30-12:45,0.86,0.38,38.43,0.58,6.72,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,31.7,0,0.86,31.7,0,0,14.41,0,0,0,0,0,5.76,16.33,31.7,14.28,8.65,457.3599999999999

52,12:45-13:00,0.96,0.38,38.43,0.67,6.72,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,31.7,0,0.86,31.7,0,0,14.41,0,0,0,0,0,5.76,16.33,31.7,14.28,8.65,457.5499999999999

53,13:00-13:15,0.96,0.38,38.43,0.67,5.76,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,31.7,0,0.77,31.7,0,0,14.41,0,0,0,0,0,5.76,16.33,31.7,14.28,8.65,456.4999999999999

54,13:15-13:30,0.86,0.38,38.43,0.67,5.76,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,31.7,0,0.77,31.7,0,0,14.41,0,0,0,0,0,5.76,16.33,31.7,14.28,8.65,456.3999999999999

55,13:30-13:45,0.86,0.38,38.43,0.67,5.76,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,31.7,0,0.77,31.7,0,0,14.41,0,0,0,0,0,5.76,16.33,31.7,14.28,8.65,456.3999999999999

56,13:45-14:00,0.86,0.38,38.43,0.67,5.76,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,31.7,0,0.77,31.7,0,0,14.41,0,0,0,0,0,5.76,16.33,31.7,14.28,8.65,456.3999999999999

57,14:00-14:15,0.96,0.38,38.43,0.67,4.8,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,28.82,0,0.77,31.7,0,0,14.41,0,0,0,0,0,5.76,16.33,28.82,14.28,8.65,449.7799999999999

58,14:15-14:30,0.96,0.38,38.43,0.67,4.8,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,28.82,0,0.77,31.7,0,0,14.41,0,0,0,0,0,5.76,16.33,28.82,14.28,8.65,449.7799999999999

59,14:30-14:45,0.86,0.38,38.43,0.67,4.8,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,28.82,0,0.77,31.7,0,0,14.41,0,0,0,0,0,5.76,16.33,28.82,14.28,8.65,449.6799999999999

60,14:45-15:00,0.86,0.38,38.43,0.67,4.8,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,28.82,0,0.77,31.7,0,0,14.41,0,0,0,0,0,5.76,16.33,28.82,14.28,8.65,449.6799999999999

61,15:00-15:15,0.86,0.38,38.43,0.67,4.8,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.29,19.21,0,48.04,28.82,0,0.67,31.7,0,0,14.41,0,0,0,0,0,5.76,16.33,28.82,14.28,8.65,449.49999999999994

62,15:15-15:30,0.96,0.38,38.43,0.67,4.8,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.29,19.21,0,48.04,28.82,0,0.67,31.7,0,0,14.41,0,0,0,0,0,5.76,16.33,28.82,14.28,8.65,449.59999999999997

63,15:30-15:45,0.96,0.38,38.43,0.67,4.8,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.29,19.21,0,48.04,28.82,0,0.67,31.7,0,0,14.41,0,0,0,0,0,5.76,16.33,28.82,14.28,8.65,449.59999999999997

64,15:45-16:00,0.92,0.37,38.43,0.64,4.8,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.29,19.21,0,48.04,28.82,0,0.67,31.7,0,0,14.41,0,0,0,0,0,5.76,16.33,28.82,14.28,8.65,449.5199999999999

65,16:00-16:15,0.79,0.32,38.43,0.56,2.88,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,28.82,0,0.48,23.06,0,0,14.41,0,0,0,0,0,5.76,16.33,28.82,14.28,8.65,438.59

66,16:15-16:30,0.68,0.27,38.43,0.48,2.88,14.41,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,28.82,0,0.48,23.06,0,0,14.41,0,0,0,0,0,5.76,16.33,28.82,14.28,8.65,438.34999999999997

67,16:30-16:45,0.53,0.23,31.41,0.41,2.88,19.79,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,28.82,0,0.48,23.06,0,0,14.41,0,0,0,0,0,5.76,16.33,28.82,14.28,8.65,436.44999999999993

68,16:45-17:00,0.42,0.18,25.55,0.33,2.88,14.99,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,28.82,0,0.48,23.06,0,0,14.41,0,0,0,0,0,5.76,16.33,28.82,14.28,14.41,431.31

69,17:00-17:15,0.3,0.13,0,0.23,0.96,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,36.51,0,0.48,43.23,0,0,14.41,0,1.21,0,0,0,5.76,16.33,36.51,14.28,14.41,425.34

70,17:15-17:30,0.2,0.09,0,0.13,0.96,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,36.51,0,0.48,43.23,0,0,14.41,0,2.48,0,0,0,5.76,16.33,36.51,14.28,14.41,426.37000000000006

71,17:30-17:45,0.12,0.06,0,0.08,0.96,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,36.51,0,0.48,43.23,0,0,14.41,0,3.5,0,0,0,5.76,16.33,36.51,14.28,14.41,427.23

72,17:45-18:00,0.06,0.03,0,0.04,0.96,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,36.51,0,0.48,43.23,0,0,14.41,0,4.26,0,0,0,5.76,16.33,36.51,14.28,14.41,427.86

73,18:00-18:15,0,0,0,0,0,0,38.43,48.04,30.74,5.76,48.04,26.9,50,7.69,28.82,30,0,96.07,50,20.17,9.61,1.37,19.21,90.31,48.04,36.51,134.5,0.48,43.23,0,38.43,14.41,0,5.01,0,0,0,5.76,16.33,36.51,14.28,14.41,1009.06

74,18:15-18:30,0,0,0,0,0,0,38.43,48.04,30.74,5.76,48.04,26.9,50,7.69,28.82,30,0,96.07,50,20.17,9.61,1.37,19.21,90.31,48.04,36.51,134.5,0.48,43.23,0,38.43,14.41,0,5.52,0,0,0,5.76,16.33,36.51,14.28,14.41,1009.5699999999999

75,18:30-18:45,0,0,0,0,0,0,38.43,48.04,30.74,5.76,48.04,26.9,50,7.69,28.82,30,0,96.07,50,20.17,9.61,1.37,19.21,90.31,48.04,36.51,134.5,0.48,43.23,0,38.43,14.41,0,5.52,0,0,0,5.76,16.33,36.51,14.28,14.41,1009.5699999999999

