Time,Block,NR/2023/11204/A,NR/2023/14687/C,NR/2023/13983/F,NR/2023/11315/A,NR/2023/14114/F,NR/2023/13983/F/II,NR/2023/11469/A,NR/2023/13573/A,NR/2023/14668/C,NR/2023/14117/F,NR/2023/11892/A,NR/2023/13859/A,NR/2023/11524/A,NR/2023/14657/D,NR/2023/11203/A,NR/2023/13858/A,NR/2023/14113/F,NR/2023/11205/A,NR/2023/11521/A,NR/2023/13573/A/II,NR/2023/11458/A,NR/2023/13284/A,NR/2023/14136/F,NR/2023/11697/A,NR/2023/11470/A,NR/2023/14120/F,NR/2023/13283/A,NR/2023/14121/F,NR/2023/14119/F,NR/2023/14655/D,NR/2023/14115/F,NR/2023/13283/A/II,NR/2023/14118/F,NR/2023/11328/A,NR/2023/14187/F,NR/2023/11654/A,NR/2023/14661/D,NR/2023/12646/A,NR/2023/11739/A,NR/2023/11325/A,NR/2023/14658/D,NR/2023/11954/A,NR/2023/14659/D,NR/2023/11264/A,NR/2023/14116/F,ER/2023/8939/C,NR/2023/14669/C,NR/2023/14653/D,Total

3,00:30-00:45,82.960000,0.000000,0.000000,22.190000,0.000000,0.870000,84.870000,3.280000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,231.610000,48.230000,59.420000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,1.260000,0.000000,0.000000,192.920000,0.000000,22.850000,0.000000,48.230000,3.860000,257.550000,0,23.080000,28.880000,24.120000,0.000000,36.390000,0,0.000000,0.000000,31.000000,0.000000,0,1999.03

4,00:45-01:00,82.960000,0.000000,0.000000,22.190000,0.000000,0.870000,84.870000,3.280000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,231.610000,48.230000,59.420000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,1.260000,0.000000,0.000000,192.920000,0.000000,22.850000,0.000000,48.230000,3.860000,257.550000,0,23.080000,28.880000,24.120000,0.000000,36.390000,0,0.000000,0.000000,31.000000,0.000000,0,1999.03

5,01:00-01:15,82.960000,0.000000,0.000000,22.190000,0.000000,0.680000,84.870000,3.280000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,231.610000,48.230000,59.420000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,1.260000,0.000000,0.000000,192.920000,0.000000,22.850000,0.000000,48.230000,3.860000,257.550000,0,23.080000,28.880000,24.120000,0.000000,36.390000,0,0.000000,0.000000,31.000000,0.000000,0,1998.84

6,01:15-01:30,82.960000,0.000000,0.000000,22.190000,0.000000,0.680000,84.870000,3.280000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,231.610000,48.230000,59.420000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,1.260000,0.000000,0.000000,192.920000,0.000000,22.850000,0.000000,48.230000,3.860000,257.550000,0,23.080000,28.880000,24.120000,0.000000,36.390000,0,0.000000,0.000000,31.000000,0.000000,0,1998.84

7,01:30-01:45,82.960000,0.000000,0.000000,22.190000,0.000000,0.680000,84.870000,3.280000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,231.610000,48.230000,59.420000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,1.260000,0.000000,0.000000,192.920000,0.000000,22.850000,0.000000,48.230000,3.860000,257.550000,0,23.080000,28.880000,24.120000,0.000000,36.390000,0,0.000000,0.000000,31.000000,0.000000,0,1998.84

8,01:45-02:00,82.960000,0.000000,0.000000,22.190000,0.000000,0.680000,84.870000,3.280000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,231.610000,48.230000,59.420000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,1.260000,0.000000,0.000000,192.920000,0.000000,22.850000,0.000000,48.230000,3.860000,257.550000,0,23.080000,28.880000,24.120000,0.000000,36.390000,0,0.000000,0.000000,31.000000,0.000000,0,1998.84

9,02:00-02:15,82.960000,0.000000,0.000000,22.190000,0.000000,0.580000,84.870000,3.280000,5.790000,0.000000,66.460000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,231.610000,48.230000,59.420000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,1.260000,0.000000,0.000000,192.920000,0.000000,22.850000,0.000000,48.230000,3.860000,257.550000,0,23.080000,28.880000,24.120000,18.330000,36.390000,0,0.000000,0.000000,31.000000,30.000000,0,2085.65

10,02:15-02:30,82.960000,0.000000,0.000000,22.190000,0.000000,0.580000,84.870000,3.280000,5.790000,0.000000,66.460000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,231.610000,48.230000,59.420000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,1.260000,0.000000,0.000000,192.920000,0.000000,22.850000,0.000000,48.230000,3.860000,257.550000,0,23.080000,28.880000,24.120000,18.330000,36.390000,0,0.000000,0.000000,31.000000,30.000000,0,2085.65

11,02:30-02:45,82.960000,0.000000,0.000000,22.190000,0.000000,0.580000,84.870000,3.280000,5.790000,0.000000,66.460000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,231.610000,48.230000,59.420000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,1.260000,0.000000,0.000000,192.920000,0.000000,22.850000,0.000000,48.230000,3.860000,257.550000,0,23.080000,28.880000,24.120000,18.330000,36.390000,0,0.000000,0.000000,31.000000,30.000000,0,2085.65

12,02:45-03:00,82.960000,0.000000,0.000000,22.190000,0.000000,0.580000,84.870000,3.280000,5.790000,0.000000,66.460000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,231.610000,48.230000,59.420000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,1.260000,0.000000,0.000000,192.920000,0.000000,22.850000,0.000000,48.230000,3.860000,257.550000,0,23.080000,28.880000,24.120000,18.330000,36.390000,0,0.000000,0.000000,31.000000,30.000000,0,2085.65

13,03:00-03:15,48.230000,0.000000,0.280000,22.190000,0.000000,0.250000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,231.610000,48.230000,62.700000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,0,0.000000,28.880000,24.120000,18.330000,0.000000,0,0.000000,0.000000,5.000000,30.000000,0,1898.95

14,03:15-03:30,48.230000,0.000000,0.280000,22.190000,0.000000,0.250000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,231.610000,48.230000,62.700000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,0,0.000000,28.880000,24.120000,18.330000,0.000000,0,0.000000,0.000000,5.000000,30.000000,0,1898.95

15,03:30-03:45,48.230000,0.000000,0.280000,22.190000,0.000000,0.250000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,231.610000,48.230000,62.700000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,0,0.000000,28.880000,24.120000,18.330000,0.000000,0,0.000000,0.000000,5.000000,30.000000,0,1898.95

16,03:45-04:00,48.230000,0.000000,0.280000,22.190000,0.000000,0.250000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,231.610000,48.230000,62.700000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,0,0.000000,28.880000,24.120000,18.330000,0.000000,0,0.000000,0.000000,5.000000,30.000000,0,1898.95

17,04:00-04:15,48.230000,0.000000,0.530000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,231.610000,48.230000,62.700000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,0,0.000000,28.880000,24.120000,18.330000,0.000000,0,0.000000,0.000000,0.000000,30.000000,0,1893.95

18,04:15-04:30,48.230000,0.000000,0.530000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,231.610000,48.230000,62.700000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,0,0.000000,28.880000,24.120000,18.330000,0.000000,0,0.000000,0.000000,0.000000,30.000000,0,1893.95

19,04:30-04:45,48.230000,0.000000,0.530000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,231.610000,48.230000,62.700000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,0,0.000000,28.880000,24.120000,18.330000,0.000000,0,0.000000,0.000000,0.000000,30.000000,0,1893.95

20,04:45-05:00,48.230000,0.000000,0.530000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,231.610000,48.230000,62.700000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,0,0.000000,28.880000,24.120000,18.330000,0.000000,0,0.000000,0.000000,0.000000,30.000000,0,1893.95

21,05:00-05:15,48.230000,0.000000,0.530000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,231.610000,48.230000,62.700000,0.000000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,0,0.000000,28.880000,24.120000,18.330000,0.000000,0,0.000000,0.000000,0.000000,30.000000,0,1795.56

22,05:15-05:30,48.230000,0.000000,0.530000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,231.610000,48.230000,62.700000,0.000000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,0,0.000000,28.880000,24.120000,18.330000,0.000000,0,0.000000,0.000000,0.000000,30.000000,0,1795.56

23,05:30-05:45,48.230000,0.000000,0.530000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,231.610000,48.230000,62.700000,0.000000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,0,0.000000,28.880000,24.120000,18.330000,0.000000,0,0.000000,0.000000,0.000000,30.000000,0,1795.56

24,05:45-06:00,48.230000,0.000000,0.530000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,231.610000,48.230000,62.700000,0.000000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,0,0.000000,28.880000,24.120000,18.330000,0.000000,0,0.000000,0.000000,0.000000,30.000000,0,1795.56

25,06:00-06:15,7.720000,0.000000,0.680000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,0.000000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,1.4,0.000000,28.880000,24.120000,18.330000,0.000000,0.6,0.000000,0.000000,0.000000,30.000000,0,1448.74

26,06:15-06:30,7.720000,0.000000,0.680000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,0.000000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,6.3,0.000000,28.880000,24.120000,18.330000,0.000000,2.7,0.000000,0.000000,0.000000,30.000000,0,1455.74

27,06:30-06:45,7.720000,0.000000,0.680000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,0.000000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,10.5,0.000000,28.880000,24.120000,18.330000,0.000000,4.5,0.000000,0.000000,0.000000,30.000000,0.14,1461.88

28,06:45-07:00,7.720000,0.000000,0.680000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,0.000000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,17.5,0.000000,28.880000,24.120000,18.330000,0.000000,7.5,0.000000,0.000000,0.000000,30.000000,0.58,1472.32

29,07:00-07:15,7.720000,0.000000,0.680000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,0.000000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,24.5,0.000000,28.880000,24.120000,18.330000,0.000000,10.5,0.000000,0.000000,0.000000,30.000000,0.94,1441.2

30,07:15-07:30,7.720000,0.000000,0.680000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,0.000000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,24.5,0.000000,28.880000,24.120000,18.330000,0.000000,10.5,0.000000,0.000000,0.000000,30.000000,1.05,1441.31

31,07:30-07:45,7.720000,0.000000,0.680000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,0.000000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,38.5,0.000000,28.880000,24.120000,18.330000,0.000000,16.5,0.000000,0.000000,0.000000,30.000000,1.23,1461.49

32,07:45:08:00,7.720000,0.000000,0.680000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,0.000000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,52.5,0.000000,28.880000,24.120000,18.330000,0.000000,22.5,0.000000,0.000000,0.000000,30.000000,1.41,1481.67

33,08:00-08:15,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,0.000000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,65.1,0.000000,28.880000,24.120000,18.330000,0.000000,27.9,0.000000,0.000000,0.000000,30.000000,2.01,1500.55

34,08:15-08:30,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,0.000000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,73.5,0.000000,28.880000,24.120000,18.330000,0.000000,31.5,0.000000,0.000000,0.000000,30.000000,2.58,1513.12

35,08:30-08:45,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,0.000000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,77,0.000000,28.880000,24.120000,18.330000,0.000000,33,0.000000,0.000000,0.000000,30.000000,3.03,1518.57

36,08:45:09:00,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,0.000000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,95.9,0.000000,28.880000,24.120000,18.330000,0.000000,41.1,0.000000,0.000000,0.000000,30.000000,3.35,1545.89

37,09:00:09:15,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,0.000000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,112,0.000000,28.880000,24.120000,18.330000,0.000000,48,0.000000,0.000000,0.000000,30.000000,3.89,1593.55

38,09:15-09:30,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,0.000000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,122.5,0.000000,28.880000,24.120000,18.330000,0.000000,52.5,0.000000,0.000000,0.000000,30.000000,4.02,1608.68

39,09:30-09:45,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,0.000000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,131.6,0.000000,28.880000,24.120000,18.330000,0.000000,56.4,0.000000,0.000000,0.000000,30.000000,3.07,1620.73

40,09:45-10:00,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,0.000000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,141.4,0.000000,28.880000,24.120000,18.330000,0.000000,60.6,0.000000,0.000000,0.000000,30.000000,4.65,1636.31

41,10:00-10:15,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,90.670000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,150.5,0.000000,28.880000,24.120000,18.330000,0.000000,64.5,0.000000,0.000000,50.000000,30.000000,4.37,1789.7

42,10:15-10:30,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,90.670000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,171.5,0.000000,28.880000,24.120000,18.330000,0.000000,73.5,0.000000,0.000000,50.000000,30.000000,3.68,1819.01

43,10:30-10:45,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,90.670000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,178.5,0.000000,28.880000,24.120000,18.330000,0.000000,76.5,0.000000,0.000000,50.000000,30.000000,4.15,1829.48

44,10:45-11:00,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,90.670000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,178.5,0.000000,28.880000,24.120000,18.330000,0.000000,76.5,0.000000,0.000000,50.000000,30.000000,4.73,1830.06

