Column1,Block,GNA/NR/2024/10/01/4083,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/06/7115,GNA/NR/2024/10/06/1802,GNA/NR/2024/10/01/8106,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/6101,NR/2024/23389/A/40005,NR/2024/23532/C,NR/2024/23356/A/40006,GNA/NR/2024/10/01/3642,NR/2024/23215/A/40115,NR/2024/23397/A/40028,NR/2024/23382/A/40137,NR/2024/23446/A/40134,NR/2024/23414/A/39973,NR/2024/23383/A/39980,NR/2024/23384/A/40061,NR/2024/23524/C,Total
18,04:15-04:30,54.36,18.98,6.37,96.64,96.64,8.78,18.98,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.43,6.76,173.95,608.31

19,04:30-04:45,54.36,20.28,6.37,96.64,96.64,8.78,20.28,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.43,6.76,173.95,610.9100000000001

20,04:45-05:00,54.36,24.08,6.37,96.64,96.64,8.78,24.08,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.43,6.76,173.95,618.51

21,05:00-05:15,54.36,24.08,6.37,96.64,96.64,8.78,24.08,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.48,6.76,173.95,618.56

22,05:15-05:30,54.36,24.08,6.37,96.64,96.64,8.78,24.08,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.48,6.76,173.95,618.56

23,05:30-05:45,54.36,26.87,6.37,96.64,96.64,8.78,26.87,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.48,6.76,173.95,624.14

24,05:45-06:00,54.36,26.87,6.37,96.64,96.64,8.78,26.87,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.48,6.76,173.95,624.14

25,06:00-06:15,0,26.87,6.37,96.64,96.64,8.78,26.87,8.78,26.35,26.35,0,0,0,26.35,0,2.9,17.57,0,0,0.53,6.76,173.95,551.7099999999999

26,06:15-06:30,0,26.87,6.37,96.64,96.64,8.78,26.87,8.78,26.35,26.35,0,0,0,26.35,0,2.9,17.57,0,0,0.53,6.76,173.95,551.7099999999999

27,06:30-06:45,0,25.43,6.37,96.64,96.64,8.78,25.43,8.78,26.35,26.35,0,0.12,0,26.35,0,2.9,17.57,0,0,0.53,6.76,173.95,548.9499999999999

28,06:45-07:00,0,26.54,6.37,96.64,96.64,8.78,26.54,8.78,26.35,26.35,0,0.64,0,26.35,0,2.9,17.57,0,0,0.53,6.76,173.95,551.6899999999999

29,07:00-07:15,0,24.8,6.37,96.64,96.64,8.78,24.8,8.78,26.35,26.35,0,1.18,0,26.35,0,2.9,17.57,0,0,0.58,6.76,173.95,548.8

30,07:15-07:30,0,24.8,6.37,96.64,96.64,8.78,24.8,8.78,26.35,26.35,0,1.79,0,26.35,0,2.9,17.57,0,0,0.58,6.76,173.95,549.41

31,07:30-07:45,0,26.87,6.37,96.64,96.64,8.78,26.87,8.78,26.35,26.35,0,2.49,0,26.35,0,2.9,17.57,0,0,0.58,6.76,173.95,554.25

32,07:45-08:00,0,26.87,6.37,96.64,96.64,8.78,26.87,8.78,26.35,26.35,0,3.2,0,26.35,0,2.9,17.57,0,0,0.58,6.76,173.95,554.9599999999999

33,08:00-08:15,0,26.87,6.37,96.64,96.64,8.78,26.87,8.78,26.35,26.35,0,3.91,0,26.35,0,2.9,17.57,0,0,0.97,6.76,222.27,604.38

34,08:15-08:30,0,26.87,6.37,96.64,96.64,8.78,26.87,8.78,26.35,26.35,0,4.62,0,26.35,0,2.9,17.57,0,0,0.97,6.76,222.27,605.09

35,08:30-08:45,0,26.87,6.37,96.64,96.64,8.78,26.87,8.78,26.35,26.35,0,5.24,0,26.35,0,2.9,17.57,0,0,0.97,6.76,222.27,605.71

36,08:45-09:00,0,26.87,6.37,96.64,96.64,8.78,26.87,8.78,26.35,26.35,0,5.81,0,26.35,0,2.9,17.57,0,0,0.97,6.76,222.27,606.28

37,09:00-09:15,0,26.87,6.27,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,6.48,10.63,26.35,0,2.9,0,17.57,6.76,0.87,0,222.27,659.9

38,09:15-09:30,0,26.87,6.27,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,6.95,10.63,26.35,0,2.9,0,17.57,6.76,0.87,0,222.27,660.37

39,09:30-09:45,0,26.87,6.27,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,7.41,10.63,26.35,0,2.9,0,17.57,6.76,0.87,0,222.27,660.83

40,09:45-10:00,0,26.87,6.27,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,7.74,10.63,26.35,0,2.9,0,17.57,6.76,0.87,0,222.27,661.16

41,10:00-10:15,0,26.87,6.27,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,5.69,10.63,26.35,0,2.9,0,17.57,6.76,0.87,0,222.27,659.11

42,10:15-10:30,0,26.87,6.27,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,6.33,10.63,26.35,0,2.9,0,17.57,6.76,0.87,0,222.27,659.75

43,10:30-10:45,0,26.87,6.27,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,4.88,10.63,26.35,0,2.9,0,17.57,6.76,0.87,0,222.27,658.3

44,10:45-11:00,0,26.87,6.27,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,6.38,10.63,26.35,0,2.9,0,17.57,6.76,0.87,0,222.27,659.8

45,11:00-11:15,0,26.87,6.27,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,8.49,10.63,26.35,0,2.9,0,17.57,6.76,0.87,0,222.27,661.91

46,11:15-11:30,0,26.87,6.27,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,7.38,10.63,26.35,0,2.9,0,17.57,6.76,0.87,0,222.27,660.8

47,11:30-11:45,0,26.87,6.27,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,9.13,10.63,26.35,0,2.9,0,17.57,6.76,0.87,0,222.27,662.55

48,11:45-12:00,0,26.87,6.27,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,9.07,10.63,26.35,0,2.9,0,17.57,6.76,0.87,0,222.27,662.49

49,12:00-12:15,0,26.87,6.18,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,9.04,10.63,26.35,0,2.9,0,17.57,6.76,0.87,0,222.27,662.37

50,12:15-12:30,0,26.87,6.18,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,5.77,10.63,26.35,0,2.9,0,17.57,6.76,0.87,0,222.27,659.0999999999999

51,12:30-12:45,0,26.87,6.18,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,6.94,10.63,26.35,0,2.9,0,17.57,6.76,0.87,0,222.27,660.27

52,12:45-13:00,0,26.87,6.18,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,5.87,10.63,26.35,0,2.9,0,17.57,6.76,0.87,0,222.27,659.1999999999999

53,13:00-13:15,0,26.87,6.18,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,8.16,10.63,26.35,0,2.9,0,17.57,6.76,0.77,0,222.27,661.39

54,13:15-13:30,0,26.87,6.18,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,9.05,10.63,26.35,0,2.9,0,17.57,6.76,0.77,0,222.27,662.28

55,13:30-13:45,0,26.87,6.18,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,8.18,10.63,26.35,0,2.9,0,17.57,6.76,0.77,0,222.27,661.41

56,13:45-14:00,0,26.87,6.18,96.64,96.64,8.78,26.87,8.78,26.35,26.35,42.52,8.23,10.63,26.35,0,2.9,0,17.57,6.76,0.77,0,222.27,661.4599999999999

57,14:00-14:15,0,24.8,6.37,96.64,96.64,8.78,24.8,8.78,26.35,26.35,42.52,8.44,10.63,26.35,0,2.9,0,17.57,6.76,0.92,0,222.27,657.87

58,14:15-14:30,0,24.8,6.37,96.64,96.64,8.78,24.8,8.78,26.35,26.35,42.52,8.18,10.63,26.35,0,2.9,0,17.57,6.76,0.92,0,222.27,657.61

59,14:30-14:45,0,24.8,6.37,96.64,96.64,8.78,24.8,8.78,26.35,26.35,42.52,7.86,10.63,26.35,0,2.9,0,17.57,6.76,0.92,0,222.27,657.29

60,14:45-15:00,0,24.8,6.37,96.64,96.64,8.78,24.8,8.78,26.35,26.35,42.52,7.39,10.63,26.35,0,2.9,0,17.57,6.76,0.92,0,222.27,656.8199999999999

61,15:00-15:15,0,24.8,6.6,96.64,96.64,8.78,24.8,8.78,26.35,26.35,42.52,6.79,10.63,26.35,0,2.9,0,17.57,6.76,0.92,0,222.27,656.45

62,15:15-15:30,0,24.8,6.6,96.64,96.64,8.78,24.8,8.78,26.35,26.35,42.52,6.33,10.63,26.35,0,2.9,0,17.57,6.76,0.92,0,222.27,655.99

63,15:30-15:45,0,24.8,6.6,96.64,96.64,8.78,24.8,8.78,26.35,26.35,42.52,4.36,10.63,26.35,0,2.9,0,17.57,6.76,0.92,0,222.27,654.02

64,15:45-16:00,0,24.8,6.6,96.64,96.64,8.78,24.8,8.78,26.35,26.35,42.52,5.01,10.63,26.35,0,2.9,0,17.57,6.76,0.92,0,222.27,654.67

65,16:00-16:15,0,24.8,6.6,96.64,96.64,8.78,24.8,8.78,26.35,26.35,42.52,4.64,10.63,26.35,0,2.9,17.57,0,0,0.77,6.76,222.27,654.15

66,16:15-16:30,0,24.8,6.6,96.64,96.64,8.78,24.8,8.78,26.35,26.35,40.78,3.73,10.63,26.35,0,2.9,17.57,0,0,0.77,6.76,222.27,651.5

67,16:30-16:45,0,24.8,6.6,96.64,96.64,8.78,24.8,8.78,26.35,26.35,32.95,3.2,10.63,26.35,0,2.9,17.57,0,0,0.77,6.76,222.27,643.14

68,16:45-17:00,0,24.8,6.6,96.64,96.64,8.78,24.8,8.78,26.35,26.35,26.09,2.53,10.63,26.35,0,2.9,17.57,0,0,0.77,6.76,222.27,635.6099999999999

69,17:00-17:15,0,3,6.6,96.64,96.64,8.78,3,8.78,26.35,26.35,0,1.46,0,26.35,0,2.9,17.57,0,0,0.72,6.76,222.27,554.17

70,17:15-17:30,0,3,6.6,96.64,96.64,8.78,3,8.78,26.35,26.35,0,1.01,0,26.35,0,2.9,17.57,0,0,0.72,6.76,222.27,553.72

71,17:30-17:45,0,3,6.6,96.64,96.64,8.78,3,8.78,26.35,26.35,0,0.51,0,26.35,0,2.9,17.57,0,0,0.72,6.76,222.27,553.22

72,17:45-18:00,0,3,6.6,96.64,96.64,8.78,3,8.78,26.35,26.35,0,0.32,0,26.35,0,2.9,17.57,0,0,0.72,6.76,222.27,553.03

73,18:00-18:15,0,3,6.6,96.64,96.64,8.78,3,8.78,26.35,26.35,0,0.12,0,26.35,0,2.9,17.57,0,0,0.72,6.76,222.27,552.83

74,18:15-18:30,0,3,6.6,96.64,96.64,8.78,3,8.78,26.35,26.35,0,0,0,26.35,0,2.9,17.57,0,0,0.72,6.76,222.27,552.71

75,18:30-18:45,0,3,6.6,96.64,96.64,8.78,3,8.78,26.35,26.35,0,0,0,26.35,0,2.9,17.57,0,0,0.72,6.76,222.27,552.71

76,18:45-19:00,0,3,6.6,96.64,96.64,8.78,3,8.78,26.35,26.35,0,0,0,26.35,0,2.9,17.57,0,0,0.72,6.76,222.27,552.71

77,19:00-19:15,0,3,6.46,96.64,96.64,8.78,3,8.78,26.35,26.35,0,0,0,26.35,0,2.9,17.57,0,0,0.68,6.76,222.27,552.53

78,19:15-19:30,0,3,6.46,96.64,96.64,8.78,3,8.78,26.35,26.35,0,0,0,26.35,0,2.9,17.57,0,0,0.68,6.76,222.27,552.53

79,19:30-19:45,0,3,6.46,96.64,96.64,8.78,3,8.78,26.35,26.35,0,0,0,26.35,0,2.9,17.57,0,0,0.68,6.76,222.27,552.53

80,19:45-20:00,0,3,6.46,96.64,96.64,8.78,3,8.78,26.35,26.35,0,0,0,26.35,0,2.9,17.57,0,0,0.68,6.76,222.27,552.53

81,20:00-20:15,0,0,6.46,96.64,96.64,8.78,8.94,8.78,26.35,26.35,0,0,0,26.35,0,2.9,17.57,0,0,0.68,6.76,222.27,555.47

82,20:15-20:30,0,0,6.46,96.64,96.64,8.78,13.41,8.78,26.35,26.35,0,0,0,26.35,0,2.9,17.57,0,0,0.68,6.76,222.27,559.94

83,20:30-20:45,0,0,6.46,96.64,96.64,8.78,16.76,8.78,26.35,26.35,0,0,0,26.35,0,2.9,17.57,0,0,0.68,6.76,222.27,563.2900000000001

84,20:45-21:00,0,0,6.46,96.64,96.64,8.78,22.35,8.78,26.35,26.35,0,0,0,26.35,0,2.9,17.57,0,0,0.68,6.76,222.27,568.88

85,21:00-21:15,0,19.43,6.37,96.64,96.64,8.78,28,8.78,26.35,26.35,0,0,0,26.35,0,2.9,17.57,0,0,0.72,6.76,222.27,593.9100000000001

86,21:15-21:30,0,19.43,6.37,96.64,96.64,8.78,28,8.78,26.35,26.35,0,0,0,26.35,0,2.9,17.57,0,0,0.72,6.76,222.27,593.9100000000001

87,21:30-21:45,0,22.22,6.37,96.64,96.64,8.78,30,8.78,26.35,26.35,0,0,0,26.35,0,2.9,17.57,0,0,0.72,6.76,222.27,598.7

88,21:45-22:00,0,22.22,6.37,96.64,96.64,8.78,30,8.78,26.35,26.35,0,0,0,26.35,0,2.9,17.57,0,0,0.72,6.76,222.27,598.7

89,22:00-22:15,54.36,17.06,6.27,96.64,96.64,8.78,30,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.68,6.76,222.27,665.88

90,22:15-22:30,54.36,17.06,6.27,96.64,96.64,8.78,30,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.68,6.76,222.27,665.88

91,22:30-22:45,54.36,24.56,6.27,96.64,96.64,8.78,30,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.68,6.76,222.27,673.38

92,22:45-23:00,54.36,24.56,6.27,96.64,96.64,8.78,30,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.68,6.76,222.27,673.38

93,23:00-23:15,54.36,26.15,6.18,96.64,96.64,8.78,30,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.58,6.76,222.27,674.78

94,23:15-23:30,54.36,26.15,6.18,96.64,96.64,8.78,30,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.58,6.76,222.27,674.78

95,23:30-23:45,54.36,26.15,6.18,96.64,96.64,8.78,30,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.58,6.76,222.27,674.78

96,23:45-24:00,54.36,26.15,6.18,96.64,96.64,8.78,30,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.58,6.76,222.27,674.78

