Block,Time Block,KGSU3AND4,KHSTPP-II,KKNP,KISHANGANGA,KHSTPP-I,JHAJJAR,KGSU1AND2,KOTESHWR,BSIUL,CHAMERA3,CHAMERA2,DHAULIGNGA,FSTPP I & II,BRBCL,DULHASTI,DADRT2,CHAMERA1,ANTA_LF,ANTA_CRF,ANTA_GF,AURY_RF,ANTA_RF,DADRI_LF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,AURY_CRF,DADRI_RF,PARBATI3,SIMHST2,RIHAND3,SALAL,SEWA2,RAPPB,RIHAND2,RIHAND1,SASAN,RAMPUR,RSTPSU1TO6,RAPPC,NTPL,RSTPSU7,SIMHST1,TALA,SINGRAULI,TANAKPUR,TALST2,SINGRAULI_HYDRO,URI2,UNCHAHAR3,TelanganaSTPP,TEHRI,UNCHAHAR2,URI,TANDA2,VALLURNTECL,UNCHAHAR1,UNCHAHAR4,MAPS,NLCIIST1,NAPP,NLCIIST2,KUDGI,NLCTS2EXP,NLCEXP,NNTPP,NJPC,KKNPPU2,KOLDAM,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
9,02:00-02:15,0,52.24,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,12.66,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,91.84,60.75,402.31,0,0,51.81,0,0,0,0,108.63,0,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,52.24,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,11.73,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,91.84,60.75,402.31,0,0,51.81,0,0,0,0,108.63,0,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,59.67,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,12.97,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,91.84,60.75,402.31,0,0,51.81,0,0,0,0,108.63,0,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,59.67,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,13.5,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,91.84,60.75,402.31,0,0,51.81,0,0,0,0,108.63,0,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,59.67,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,15.55,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,91.84,60.75,402.31,0,0,51.81,0,0,0,0,108.63,0,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,59.67,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,15.26,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,91.84,60.75,402.31,0,0,51.81,0,0,0,0,108.63,0,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0,59.67,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,18.09,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,91.84,60.75,402.31,0,0,51.81,0,0,0,0,108.63,0,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,0,59.67,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,17.82,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,91.84,60.75,402.31,0,0,51.81,0,0,0,0,108.63,0,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,0,59.67,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,19.21,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,0,59.67,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,18.63,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,0,59.67,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,19.21,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,0,59.67,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,19.21,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,13.94,0,14.95,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,0,59.67,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,19.21,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,13.94,0,14.95,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,0,59.67,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,19.21,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,13.94,0,29.9,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,0,59.67,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,19.21,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,13.94,0,29.9,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,22.47,0,0,0,0,0,0,0

24,05:45-06:00,0,80.26,0,0,23.83,349.16,0,8.53,0,0,0,0,13.58,19.21,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,18.82,0,29.9,29.42,1.07,0,0,7.02,0,0,0,42.07,0,0,0,0,0,22.47,0,0,0,0,0,0,0

25,06:00-06:15,0,92.6,0,0,30.84,437.54,0,8.53,0,0,0,0,19.98,19.21,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,18.82,0,29.9,29.42,1.07,0,0,7.02,0,0,0,42.07,0,0,0,0,0,44.95,0,0,0,0,0,0,0

26,06:15-06:30,0,94.98,0,0,32.37,489.06,0,17.05,0,0,3.2,0,19.98,19.21,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,25.35,0,29.9,40.72,1.07,0,0,9.87,0,0,0,42.07,0,0,0,0,0,67.41,0,0,0,0,0,0,0

27,06:30-06:45,0,94.98,0,0,32.37,567.19,0,25.58,2.11,9.29,5.12,7.61,19.98,19.21,15.83,483.73,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,25.35,0,44.85,40.72,3.18,0,0,9.87,0,0,0,42.07,0,0,0,0,0,89.88,0,0,0,0,0,0,0

28,06:45-07:00,0,94.98,0,0,32.37,628.59,0,37.52,12.53,18.62,25.3,26.33,19.98,19.21,31.66,531.77,11.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,7.59,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,25.35,0,59.79,40.72,3.18,0,0,9.87,0,0,0,42.07,0,0,0,0,0,112.36,0,0,0,0,0,0,0

29,07:00-07:15,0,94.98,0,0,32.37,628.59,0,37.52,12.53,18.62,25.3,26.33,19.98,19.21,31.66,579.8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,7.59,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,25.35,0,59.79,40.72,3.18,0,0,9.87,0,0,0,42.07,0,0,0,0,0,112.36,0,0,0,0,0,0,0

30,07:15-07:30,0,94.98,0,0,32.37,628.59,0,37.52,12.53,18.62,25.3,26.33,19.98,19.21,31.66,627.84,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,8.92,7.59,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,25.35,0,59.79,40.72,3.18,0,0,9.87,0,0,0,42.07,0,0,0,0,0,112.36,0,0,0,0,0,0,0

31,07:30-07:45,0,108.36,0,0,32.37,628.59,0,37.52,12.53,18.62,25.3,26.33,19.98,19.21,31.66,656.22,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,40.19,7.87,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,25.35,0,59.79,40.72,25.45,0,0,9.87,0,0,0,42.07,0,0,0,0,0,112.36,0,0,0,0,0,0,0

32,07:45-08:00,0,110.86,0,0,32.37,628.59,0,37.52,12.53,18.62,25.3,26.33,19.98,19.21,31.66,656.29,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,40.19,7.87,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,25.35,0,59.79,40.72,25.45,0,0,9.87,0,0,0,42.07,0,0,0,0,0,112.36,0,0,0,0,0,0,0

33,08:00-08:15,0,115.01,0,0,32.37,550.23,0,37.52,12.53,18.62,25.3,26.33,19.98,18.67,31.66,656.29,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,40.19,7.87,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,5.53,0,0,4.14,25.35,0,59.79,40.72,25.45,0,0,9.87,0,0,0,42.07,0,0,0,0,0,89.88,0,0,0,0,0,0,0

34,08:15-08:30,0,115.89,0,0,32.37,550.23,0,37.52,12.53,18.62,25.3,15.35,19.98,19.21,31.66,656.29,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,40.19,7.87,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,5.53,0,0,10.34,25.35,0,59.79,40.72,25.45,0,0,9.87,0,0,0,42.07,0,0,0,0,0,89.88,0,0,0,0,0,0,0

35,08:30-08:45,0,120.04,0,0,32.37,550.23,0,18.95,2.11,9.29,3.84,7.61,19.98,19.21,15.83,656.29,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,40.19,0,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,5.53,0,0,10.34,25.35,0,59.79,40.72,6.37,0,0,9.87,0,0,0,42.07,0,0,0,0,0,67.41,0,0,0,0,0,0,0

36,08:45-09:00,0,120.93,0,0,32.37,550.23,0,8.53,0,0,0,0,19.98,19.21,15.83,656.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,40.19,0,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,5.53,0,0,10.34,25.35,0,44.85,40.72,3.18,0,0,9.87,0,0,0,42.07,0,0,0,0,0,67.41,0,0,0,0,0,0,0

37,09:00-09:15,0,116.47,0,0,32.37,550.23,0,8.53,0,0,0,0,19.98,19.21,15.83,627.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,8.92,0,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,5.53,0,0,4.14,25.35,0,44.85,40.72,3.18,0,0,9.87,0,0,0,42.07,0,0,0,0,0,44.95,0,0,0,0,0,0,0

38,09:15-09:30,0,116.47,0,0,32.37,550.23,0,8.53,0,0,0,0,19.98,19.21,15.83,579.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,402.31,0,0,51.81,0,0,0,0,121.01,5.53,0,0,4.14,25.35,0,29.9,40.72,3.18,0,0,9.87,0,0,0,42.07,0,0,0,0,0,44.95,0,0,0,0,0,0,0

39,09:30-09:45,0,119.95,0,0,32.37,550.23,0,8.53,0,0,0,0,19.98,19.21,0,531.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,25.35,0,29.9,40.72,3.18,0,0,9.87,0,0,0,42.07,0,0,0,0,0,44.95,0,0,0,0,0,0,0

40,09:45-10:00,0,119.95,0,0,32.37,550.23,0,8.53,0,0,0,0,19.98,19.21,0,444.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,25.35,0,29.9,40.72,3.18,0,0,9.87,0,0,0,42.07,0,0,0,0,0,44.95,0,0,0,0,0,0,0

41,10:00-10:15,0,123.45,0,0,32.37,498.95,0,8.53,0,0,0,0,19.98,19.21,0,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0,0,0,10.34,25.35,0,29.9,40.72,25.45,0,0,9.87,0,0,0,42.07,0,0,0,0,0,22.47,0,0,0,0,0,0,0

42,10:15-10:30,0,123.45,0,0,32.37,395.71,0,8.53,0,0,0,0,18.23,19.21,0,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0,0,0,10.34,22.76,0,29.9,36.14,25.45,0,0,9.09,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

43,10:30-10:45,0,127.77,0,0,32.37,368.27,0,8.53,0,0,0,0,17.79,18.43,0,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0,0,0,10.34,22.76,0,29.9,36.14,25.45,0,0,9.09,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

44,10:45-11:00,0,127.77,0,0,32.37,349.16,0,8.53,0,0,0,0,17.79,16.39,0,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,22.76,0,29.9,36.14,3.18,0,0,9.09,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

45,11:00-11:15,0,127.77,0,0,28.95,349.16,0,8.53,0,0,0,0,17.79,16.64,0,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,22.76,0,29.9,36.14,3.18,0,0,9.09,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

46,11:15-11:30,0,127.77,0,0,28.95,349.16,0,8.53,0,0,0,0,17.79,17.34,0,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,22.76,0,29.9,36.14,3.18,0,0,9.09,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

47,11:30-11:45,0,142.35,0,0,28.95,349.16,0,8.53,0,0,0,0,17.79,16.79,0,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,22.76,0,29.9,36.14,3.18,0,0,9.09,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

48,11:45-12:00,0,124.41,0,0,28.95,349.16,0,8.53,0,0,0,0,17.79,19.21,0,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,22.76,0,29.9,36.14,3.18,0,0,9.09,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

49,12:00-12:15,0,109.04,0,0,23.83,349.16,0,8.53,0,0,0,0,13.58,19.21,0,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,19.14,0,29.9,29.42,1.07,0,0,7.25,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

50,12:15-12:30,0,121.69,0,0,23.83,349.16,0,8.53,0,0,0,0,13.58,19.21,0,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,18.82,0,14.95,29.42,1.07,0,0,7.02,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

51,12:30-12:45,0,121.69,0,0,23.83,349.16,0,8.53,0,0,0,0,13.58,19.13,0,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,18.82,0,14.95,29.42,1.07,0,0,7.02,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

52,12:45-13:00,0,121.69,0,0,23.83,349.16,0,8.53,0,0,0,0,13.58,19.21,0,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0,0,0,4.14,18.82,0,14.95,29.42,1.07,0,0,7.02,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

53,13:00-13:15,0,80.38,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,19.21,0,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0.49,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

54,13:15-13:30,0,80.38,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,19.21,0,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0.49,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

55,13:30-13:45,0,69.17,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,19.21,0,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0.49,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

56,13:45-14:00,0,69.17,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,19.21,0,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0.49,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

57,14:00-14:15,0,63.41,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,19.09,0,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0.49,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

58,14:15-14:30,0,63.41,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,19.21,0,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0.49,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

59,14:30-14:45,0,63.41,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,19.21,0,291.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0.49,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

60,14:45-15:00,0,63.41,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,19.21,0,291.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0.49,0,0,4.14,13.94,0,14.95,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

61,15:00-15:15,0,63.41,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,19.21,0,360.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0.49,0,0,4.14,13.94,0,14.95,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

62,15:15-15:30,0,63.41,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,19.21,0,360.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,114.08,88.38,389.08,0,0,51.81,0,0,0,0,121.01,0.49,0,0,4.14,13.94,0,14.95,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

