Time,Block,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/21152/A/26940,NR/2024/21500/A/27108,NR/2024/20711/A/27281,NR/2024/20966/A/26941,NR/2024/20573/A/27188,NR/2024/21072/A/27227,NR/2024/21160/A/27005,NR/2024/21062/A/27183,NR/2024/21023/A/26977,NR/2024/21183/A/27253,NR/2024/19779/A/27093,NR/2024/21531/C,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21199/A/26976,NR/2024/21144/A/26975,NR/2024/21173/A/27016,NR/2024/21540/C,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/15072024/15072024/IEX_240714_01531_1,NR/2024/21550/C,NR/2024/21113/A/27225,NR/2024/21096/A/27218,NR/2024/21089/A/27226,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/20574/A/27187,NR/2024/21227/A/27214,NR/2024/21210/A/26961,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/20877/A/27237,NR/2024/21158/A/27009,NR/2024/21150/A/27003,NR/2024/21141/A/26959,NR/30092023/31122025/SH-07,NR/2024/21243/A/26972,NR/2024/21186/A/27236,NR/2024/21108/A/27212,NR/01072024/15072024/NR/01072024/15072024/717759,NR/30092023/26122029/SH-06,NR/2024/21104/A/27213,NR/2024/21103/A/27215,NR/2024/21156/A/27007,NR/2024/21530/C,NR/2024/21099/A/26958,NR/2024/21529/C,NR/01072024/31072024/R2,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/20930/A/27163,NR/2024/21153/A/27008,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21087/A/27019,NR/2024/21148/A/27002,NR/2024/21159/A/27006,NR/2024/21146/A/27004,NR/2024/21142/A/26960,NR/2024/21238/A/27258,NR/2024/20688/A/27021,NR/2024/21075/A/27256,NR/2024/21076/A/27252,NR/2024/21528/C,NR/15072024/15072024/IEX_240714_01529,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21485/A/27280,NR/2024/21339/A/26963,NR/01102023/23072042/L_NR_2012_04,Total
3,00:30-00:45,0,0,1.920000,7.680000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.620000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,144.060000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,12.150000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,47.500000,32.000000,134.460000,48.020000,23.930000,192.080000,32.000000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,38.420000,12.650000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2439.36

4,00:45-01:00,0,0,1.920000,7.680000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.620000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,144.060000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,12.150000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,47.500000,32.000000,134.460000,48.020000,23.930000,192.080000,32.000000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,38.420000,12.650000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2439.36

5,01:00-01:15,0,0,1.920000,7.680000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.580000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,12.150000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,47.500000,32.000000,134.460000,48.020000,23.930000,192.080000,32.000000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,38.420000,12.650000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2295.26

6,01:15-01:30,0,0,1.920000,7.680000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.580000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,12.150000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,47.500000,32.000000,134.460000,48.020000,23.930000,192.080000,32.000000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,38.420000,12.650000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2295.26

7,01:30-01:45,0,0,1.920000,6.720000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.580000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,12.150000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,47.500000,32.000000,134.460000,48.020000,23.930000,192.080000,32.000000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,38.420000,12.650000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2294.3

8,01:45-02:00,0,0,1.920000,6.720000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.580000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,12.150000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,47.500000,32.000000,134.460000,48.020000,23.930000,192.080000,32.000000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,38.420000,12.650000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2294.3

9,02:00-02:15,0,0,1.920000,6.720000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.580000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,47.500000,32.000000,134.460000,48.020000,23.930000,192.080000,32.000000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,38.420000,12.650000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2282.15

10,02:15-02:30,0,0,1.920000,6.720000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.580000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,47.500000,32.000000,134.460000,48.020000,23.930000,192.080000,32.000000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,38.420000,12.650000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2282.15

11,02:30-02:45,0,0,1.920000,5.760000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.580000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,47.500000,26.910000,134.460000,48.020000,23.930000,192.080000,32.000000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,38.420000,12.650000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2276.1

12,02:45-03:00,0,0,1.920000,5.760000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.580000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,47.500000,26.910000,134.460000,48.020000,23.930000,192.080000,32.000000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,38.420000,12.650000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2276.1

13,03:00-03:15,0,0,1.920000,5.760000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.530000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,12.650000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2185.04

14,03:15-03:30,0,0,1.920000,5.760000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.530000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,12.650000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2185.04

15,03:30-03:45,0,0,1.920000,5.760000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.530000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,12.650000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2185.04

16,03:45-04:00,0,0,1.920000,6.720000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.530000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,12.650000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2186

17,04:00-04:15,0,0,1.920000,6.720000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.530000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,12.200000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2185.55

18,04:15-04:30,0,0,1.920000,6.720000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.530000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,12.200000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2185.55

19,04:30-04:45,0,0,1.920000,6.720000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.530000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,12.200000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2185.55

20,04:45-05:00,0,0,1.920000,6.720000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.530000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,12.200000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2185.55

21,05:00-05:15,0,0,1.920000,6.720000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.530000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,24.010000,37.100000,96.040000,18.010000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,12.200000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2142.33

22,05:15-05:30,0,0,1.920000,6.720000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.530000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,24.010000,37.100000,96.040000,18.010000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,12.200000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2142.33

23,05:30-05:45,0,0,1.920000,5.760000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.530000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,24.010000,37.100000,96.040000,18.010000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,12.200000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2141.37

24,05:45-06:00,0,0,1.920000,5.760000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.530000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,24.010000,37.100000,96.040000,18.010000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,12.200000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2141.37

25,06:00-06:15,0,0,1.920000,5.760000,96.040000,4.800000,0.000000,37.100000,0.970000,0.000000,0.000000,21.130000,0.670000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,24.010000,37.100000,96.040000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2069.02

26,06:15-06:30,0,0,1.920000,5.760000,96.040000,4.800000,0.000000,37.100000,0.970000,0.000000,0.000000,21.130000,0.670000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,24.010000,37.100000,96.040000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2069.02

