Column1,Block,GNA/NR/2024/09/23/7704,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/23/4543,NR/2024/23248/C,GNARE/SR/2024/09/23/7579,NR/2024/23118/A/38598,NR/2024/21658/A/38351,NR/2024/22754/A/38558,NR/2024/22803/A/38604,NR/2024/22820/A/38332,NR/2024/23254/C,NR/2024/23119/A/38600,NR/2024/23121/A/38601,NR/2024/23217/A/38545,NR/2024/23122/A/38599,NR/2024/23271/C,NR/2024/23257/C,NR/2024/23258/C,NR/2024/22874/A/38603,NR/2024/22848/A/38575,NR/2024/23038/A/38328,NR/2024/22835/A/38630,GNA/NR/2024/09/01/7908,NR/2024/23213/A/38543,NR/2024/23214/A/38541,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/16/2535,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,Total
4,00:45-01:00,0,8.8,96.77,0,176.12,0,8.8,0.87,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,32.9,24.19,17.5,2.42,145.16,10.71,31.5,31.5,1108.56

5,01:00-01:15,0,8.8,96.77,0,176.12,0,8.8,0.68,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,32.9,24.19,17.5,2.42,145.16,10.63,31.5,31.5,1108.2900000000002

6,01:15-01:30,0,8.8,96.77,0,176.12,0,8.8,0.68,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,32.9,24.19,17.5,2.42,145.16,10.63,31.5,31.5,1108.2900000000002

7,01:30-01:45,0,8.8,96.77,0,176.12,0,8.8,0.68,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,32.9,24.19,17.5,2.42,145.16,10.63,31.5,31.5,1108.2900000000002

8,01:45-02:00,0,8.8,96.77,0,176.12,0,8.8,0.68,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,32.9,24.19,17.5,2.42,145.16,10.63,31.5,31.5,1108.2900000000002

9,02:00-02:15,0,8.8,96.77,0,176.12,0,8.8,0.68,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,32.9,24.19,17.5,2.42,145.16,10.63,31.5,31.5,1108.2900000000002

10,02:15-02:30,0,8.8,96.77,0,176.12,0,8.8,0.68,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,32.9,24.19,17.5,2.42,145.16,10.63,31.5,31.5,1108.2900000000002

11,02:30-02:45,0,8.8,96.77,0,176.12,0,8.8,0.68,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,32.9,24.19,17.5,2.42,145.16,10.63,0,31.5,1076.7900000000002

12,02:45-03:00,0,8.8,96.77,0,176.12,0,8.8,0.68,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,32.9,24.19,17.5,2.42,145.16,10.63,0,31.5,1076.7900000000002

13,03:00-03:15,0,8.8,96.77,0,176.12,0,8.8,0.63,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,145.16,10.53,0,0,1012.2399999999999

14,03:15-03:30,0,8.8,96.77,0,176.12,0,8.8,0.63,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,145.16,10.53,0,0,1012.2399999999999

15,03:30-03:45,0,8.8,96.77,0,176.12,0,8.8,0.63,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,145.16,10.53,0,0,1012.2399999999999

16,03:45-04:00,0,8.8,96.77,0,176.12,0,8.8,0.63,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,145.16,10.53,0,0,1012.2399999999999

17,04:00-04:15,0,8.8,96.77,0,176.12,0,8.8,0.58,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,145.16,10.53,0,2.78,1014.9699999999999

18,04:15-04:30,0,8.8,96.77,0,176.12,0,8.8,0.58,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,145.16,10.53,0,2.78,1014.9699999999999

19,04:30-04:45,0,8.8,96.77,0,176.12,0,8.8,0.58,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,145.16,10.53,2.78,2.78,1017.7499999999999

20,04:45-05:00,0,8.8,96.77,0,176.12,0,8.8,0.58,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,145.16,10.53,2.78,2.78,1017.7499999999999

21,05:00-05:15,0,8.8,96.77,0,176.12,0,8.8,0.58,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,145.16,10.53,2.78,2.78,1017.7499999999999

22,05:15-05:30,0,8.8,96.77,0,176.12,0,8.8,0.58,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,145.16,10.53,2.78,2.78,1017.7499999999999

23,05:30-05:45,0,8.8,96.77,0,176.12,0,8.8,0.58,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,145.16,10.53,2.78,2.78,1017.7499999999999

24,05:45-06:00,0,8.8,96.77,0,176.12,0,8.8,0.58,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,145.16,10.53,2.78,2.78,1017.7499999999999

25,06:00-06:15,0,8.8,96.77,0,176.12,0,8.8,0.68,0,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,0,10.44,0,31.5,844.11

26,06:15-06:30,0,8.8,96.77,0,176.12,0,8.8,0.68,0,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,0,10.44,0,31.5,844.11

27,06:30-06:45,0,8.8,96.77,0,193.54,0,8.8,0.68,0,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,0,10.44,0,31.5,861.5300000000001

28,06:45-07:00,0,8.8,96.77,0,193.54,0,8.8,0.68,0,96.77,4.84,30,26.39,26.39,5.81,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,0,10.44,0,31.5,860.57

29,07:00-07:15,0,8.8,96.77,0,193.54,0,8.8,0.68,0,96.77,4.84,30,26.39,26.39,5.81,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,0,10.44,0,31.5,860.57

30,07:15-07:30,0,8.8,96.77,0,193.54,0,8.8,0.68,0,96.77,4.84,30,26.39,26.39,5.81,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,0,10.44,0,31.5,860.57

31,07:30-07:45,0,8.8,96.77,0,193.54,0,8.8,0.68,0,96.77,4.84,30,26.39,26.39,5.81,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,0,10.44,0,31.5,860.57

32,07:45-08:00,0,0,96.77,0,193.54,0,8.8,0.68,0,96.77,4.84,30,26.39,26.39,5.81,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,0,10.44,0,31.5,851.7700000000001

33,08:00-08:15,0,0,96.77,0,145.16,0,8.8,0.97,0,96.77,4.84,30,26.39,26.39,5.81,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,0,10.34,0,32,804.08

34,08:15-08:30,0,0,96.77,0,145.16,0,8.8,0.97,0,96.77,4.84,30,26.39,26.39,5.81,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,0,10.34,0,32,804.08

35,08:30-08:45,0,0,96.77,0,145.16,0,8.8,0.97,0,96.77,4.84,30,26.39,26.39,5.81,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,0,10.34,2.78,2.78,777.64

36,08:45-09:00,0,0,96.77,0,145.16,0,8.8,0.97,0,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,0,10.34,2.78,2.78,778.6

37,09:00-09:15,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,6.77,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.34,2.78,2.78,875.8

38,09:15-09:30,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,7.74,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.34,2.78,2.78,876.77

39,09:30-09:45,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,7.74,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.34,2.78,2.78,876.77

40,09:45-10:00,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,7.74,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.34,2.78,2.78,876.77

41,10:00-10:15,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,7.74,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.34,2.78,2.78,876.77

42,10:15-10:30,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,7.74,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.34,2.78,2.78,876.77

43,10:30-10:45,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,8.71,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.34,2.78,2.78,877.7399999999999

44,10:45-11:00,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,8.71,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.34,2.78,2.78,877.7399999999999

45,11:00-11:15,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,8.71,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.26,2.78,2.78,877.6599999999999

46,11:15-11:30,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,9.68,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.26,2.78,2.78,878.6299999999999

47,11:30-11:45,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,9.68,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.26,2.78,2.78,878.6299999999999

48,11:45-12:00,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,9.68,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.26,2.78,2.78,878.6299999999999

49,12:00-12:15,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,9.68,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.26,2.78,2.78,878.6299999999999

50,12:15-12:30,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,9.68,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.26,2.78,2.78,878.6299999999999

51,12:30-12:45,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,9.68,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.26,2.78,2.78,878.6299999999999

52,12:45-13:00,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,9.68,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.26,2.78,2.78,878.6299999999999

53,13:00-13:15,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,9.68,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.26,2.78,2.78,878.6299999999999

54,13:15-13:30,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,9.68,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.26,2.78,2.78,878.6299999999999

55,13:30-13:45,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,9.68,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.26,2.78,2.78,878.6299999999999

56,13:45-14:00,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,9.68,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.26,2.78,2.78,878.6299999999999

57,14:00-14:15,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,9.68,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.34,2.78,2.78,878.7099999999999

58,14:15-14:30,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,9.68,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.34,2.78,2.78,878.7099999999999

59,14:30-14:45,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,9.68,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.34,0,0,873.15

60,14:45-15:00,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,9.68,37.38,0,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.34,0,0,873.15

61,15:00-15:15,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.53,0,0,875.28

62,15:15-15:30,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.53,0,0,875.28

63,15:30-15:45,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.53,30.37,0,905.65

64,15:45-16:00,0,0,96.77,0,145.16,0,12.46,0.97,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.53,30.37,0,905.65

65,16:00-16:15,0,0,96.77,0,145.16,0,12.46,0.87,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,0,0,48.38,84.36,3.87,90.96,21.77,10.66,42.63,0,24.19,24.78,2.42,0,10.71,30,0,905.36

66,16:15-16:30,0,0,96.77,0,224.51,0,12.46,0.87,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,0,0,48.38,84.36,3.87,90.96,21.77,10.66,36.82,0,24.19,24.78,2.42,0,10.71,30,0,978.9

67,16:30-16:45,0,0,96.77,0,224.51,0,12.46,0.87,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,0,0,48.38,84.36,3.87,90.96,21.77,10.66,30.52,0,24.19,24.78,2.42,0,10.71,30,0,972.5999999999999

68,16:45-17:00,0,0,96.77,0,224.51,0,12.46,0.87,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,0,0,48.38,84.36,3.87,90.96,21.77,10.66,23.74,0,24.19,24.78,2.42,0,10.71,30,0,965.8199999999999

69,17:00-17:15,0,0,96.77,0,224.51,0,12.46,0.82,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,24.78,2.42,0,10.9,30,0,931.56

70,17:15-17:30,0,0,96.77,0,224.51,0,12.46,0.82,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,24.78,2.42,0,10.9,30,0,931.56

71,17:30-17:45,0,0,96.77,0,224.51,0,12.46,0.82,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,24.78,2.42,0,10.9,30,0,931.56

72,17:45-18:00,0,0,96.77,0,224.51,0,12.46,0.82,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,24.78,2.42,0,10.9,30,0,931.56

73,18:00-18:15,0,0,96.77,0,224.51,0,12.46,0.82,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,24.78,2.42,0,11.09,31,0,932.75

74,18:15-18:30,0,0,96.77,0,224.51,0,12.46,0.82,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,0,0,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,24.78,2.42,0,11.09,31,0,932.75

75,18:30-18:45,42,0,96.77,0,224.51,25,12.46,0.82,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,0,193.54,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,24.78,2.42,0,11.09,31,0,1193.2899999999997

76,18:45-19:00,42,0,96.77,0,224.51,25,12.46,0.82,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,0,193.54,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,24.78,2.42,0,11.09,31,0,1193.2899999999997

77,19:00-19:15,42,0,96.77,58.06,224.51,30,12.46,0.82,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,87.09,193.54,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,24.78,2.42,0,11.18,31,31,1374.53

78,19:15-19:30,42,0,96.77,58.06,224.51,30,12.46,0.82,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,87.09,193.54,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,24.78,2.42,0,11.18,31,31,1374.53

79,19:30-19:45,42,0,96.77,58.06,224.51,30,12.46,0.82,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,87.09,193.54,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,24.78,2.42,0,11.18,31,31,1374.53

80,19:45-20:00,42,0,96.77,58.06,224.51,30,12.46,0.82,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,87.09,193.54,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,24.78,2.42,0,11.18,31,31,1374.53

81,20:00-20:15,42,0,96.77,58.06,224.51,30,12.46,0.77,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,87.09,193.54,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,24.78,2.42,0,10.53,32,32,1375.83

82,20:15-20:30,42,0,96.77,58.06,224.51,30,12.46,0.77,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,87.09,193.54,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,24.78,2.42,0,10.53,32,32,1375.83

83,20:30-20:45,42,0,96.77,58.06,195.48,30,12.46,0.77,0,96.77,4.84,30,37.38,37.38,9.68,37.38,1.94,87.09,193.54,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,24.78,2.42,0,10.53,32,32,1346.8

84,20:45-21:00,42,0,96.77,58.06,195.48,30,12.46,0.77,0,96.77,4.84,30,37.38,37.38,8.71,37.38,2.9,87.09,193.54,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,24.78,2.42,0,10.53,32,32,1346.79

85,21:00-21:15,42,0,96.77,58.06,195.48,30,8.8,0.77,0,96.77,4.84,30,26.39,26.39,8.71,26.39,2.9,87.09,193.54,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,0,10.44,32,32,1302.79

86,21:15-21:30,42,0,96.77,58.06,195.48,30,8.8,0.77,0,96.77,4.84,30,26.39,26.39,8.71,26.39,2.9,87.09,193.54,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,0,10.44,32,32,1302.79

87,21:30-21:45,42,0,96.77,58.06,195.48,30,8.8,0.77,0,96.77,4.84,30,26.39,26.39,8.71,26.39,2.9,87.09,193.54,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,0,10.44,32,32,1302.79

88,21:45-22:00,42,0,96.77,58.06,195.48,30,8.8,0.77,0,96.77,4.84,30,26.39,26.39,8.71,26.39,2.9,87.09,193.54,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,0,10.44,32,32,1302.79

