Time,Block,NR/01102023/02012046/L_NR_2021_17,NR/2024/21441/C,NR/01102023/14082046/L_NR_2021_16,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/30092023/26122029/SH-06,NR/2024/21023/A/26306,NR/2024/20688/A/26391,NR/2024/21159/A/26182,NR/2024/21312/A/25994,NR/2024/21199/A/26304,NR/2024/21144/A/26302,NR/2024/21148/A/26183,NR/2024/21062/A/26210,NR/2024/21339/A/26123,NR/2024/21238/A/26438,NR/2024/21076/A/26432,NR/2024/21160/A/26190,NR/01102023/23072042/L_NR_2012_04,NR/2024/21376/A/26462,NR/2024/21186/A/26407,NR/10072024/10072024/IEX_240709_01453,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/20877/A/26408,NR/2024/20574/A/26366,NR/2024/21087/A/26389,NR/2024/21440/C,NR/2024/19779/A/26088,NR/2024/21141/A/26130,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/20711/A/26464,NR/2024/21183/A/26434,NR/2024/21096/A/26420,NR/2024/21150/A/26184,NR/2024/20966/A/26080,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21158/A/26193,NR/2024/21103/A/26417,NR/2024/21104/A/26415,NR/2024/21173/A/26387,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/15072024/NR/01072024/15072024/717759,NR/2024/21152/A/26079,NR/2024/21439/C,NR/2024/21108/A/26414,NR/2024/21210/A/26128,NR/30092023/31122025/SH-07,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21153/A/26187,NR/2024/21099/A/26131,NR/2024/21146/A/26185,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/R2,NR/2024/21243/A/26148,NR/2024/21113/A/26396,NR/2024/21469/C,NR/2024/20573/A/26367,NR/2024/21089/A/26397,NR/2024/21072/A/26398,NR/2024/21156/A/26186,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21142/A/26129,NR/2024/21227/A/26416,NR/2024/21075/A/26433,NR/2024/20930/A/26344,Total

3,00:30-00:45,0,0,0,14.530000,31.030000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.630000,47.640000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,31.030000,32.750000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,12.190000,11.700000,0.000000,2435.11

4,00:45-01:00,0,0,0,14.530000,31.030000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.630000,47.640000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,31.030000,32.750000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,12.190000,11.700000,0.000000,2435.11

5,01:00-01:15,0,0,0,14.530000,31.030000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.580000,47.640000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,31.030000,32.750000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,12.190000,11.700000,0.000000,2435.06

6,01:15-01:30,0,0,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.580000,47.640000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,32.000000,32.750000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,12.190000,11.700000,0.000000,2437

7,01:30-01:45,0,0,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.580000,47.640000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,32.000000,32.750000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,12.190000,11.700000,0.000000,2437

8,01:45-02:00,0,0,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.580000,47.640000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,32.000000,32.750000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,12.190000,11.700000,0.000000,2437

9,02:00-02:15,0,0,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.580000,47.640000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,32.000000,32.750000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2424.81

10,02:15-02:30,0,0,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.580000,47.640000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,32.000000,32.750000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2424.81

11,02:30-02:45,0,0,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.580000,47.640000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,32.000000,32.750000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2424.81

12,02:45-03:00,0,0,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.580000,47.640000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,32.000000,32.750000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2424.81

13,03:00-03:15,0,0,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.530000,0.000000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,32.000000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2344.37

14,03:15-03:30,0,0,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.530000,0.000000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,32.000000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2344.37

15,03:30-03:45,0,0,0,14.530000,26.870000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.530000,0.000000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2334.11

16,03:45-04:00,0,0,0,14.530000,26.870000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.530000,0.000000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2334.11

17,04:00-04:15,0,0,0,14.530000,26.870000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.530000,0.000000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2334.11

18,04:15-04:30,0,0,0,14.530000,26.870000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.530000,0.000000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2334.11

19,04:30-04:45,0,0,0,14.530000,26.870000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.530000,0.000000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2334.11

20,04:45-05:00,0,0,0,14.530000,26.870000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.530000,0.000000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2334.11

21,05:00-05:15,0,0,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.530000,0.000000,81.880000,15.320000,96.330000,18.010000,72.250000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,25.960000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2102.32

22,05:15-05:30,0,0,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.530000,0.000000,81.880000,15.320000,96.330000,18.010000,72.250000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,25.960000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2102.32

23,05:30-05:45,0,0,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.530000,0.000000,81.880000,15.320000,96.330000,18.010000,72.250000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,25.960000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2102.32

24,05:45-06:00,0,0,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.530000,0.000000,81.880000,15.320000,96.330000,18.010000,72.250000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,25.960000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2102.32

25,06:00-06:15,0,0,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.670000,0.000000,81.880000,15.320000,96.330000,18.010000,72.250000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,25.960000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2030.21

26,06:15-06:30,0,0,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.670000,0.000000,81.880000,15.320000,96.330000,18.010000,72.250000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,25.960000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2030.21

27,06:30-06:45,0,0.35,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.670000,0.000000,81.880000,15.320000,96.330000,18.010000,72.250000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,25.960000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2030.56

28,06:45-07:00,0,0.92,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.670000,0.000000,81.880000,15.320000,96.330000,18.010000,72.250000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,25.960000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2031.13

