Column1,Block,NR/30092023/31122025/SH-07,GNA/WR/2024/11/01/4200,GNA/NR/2024/11/01/5428,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/1868,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/3646,NR/2024/23908/C,GNA/NR/2024/11/01/9061,GNA/NR/2024/11/01/9042,WR/2024/24788/A/43001,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/5444,NR/30092023/26122029/SH-06,NR/2024/23769/A/42880,NR/2024/23809/A/42879,NR/2024/23420/A/42877,NR/2024/23919/C,NR/2024/23920/C,NR/2024/23926/C,Total
37,09:00-09:15,3,0,28.92,0,0,8.68,8.68,0,0,28.92,17.35,0,3.13,28.92,3,5.78,4.82,0.87,4.43,28.92,24.1,199.52

38,09:15-09:30,3,0,28.92,0,0,8.68,8.68,0,0,28.92,17.35,0,3.13,28.92,3,5.78,4.82,0.87,4.96,28.92,24.1,200.05000000000004

39,09:30-09:45,3,0,28.92,0,0,8.68,8.68,0,0,28.92,17.35,0,3.13,28.92,3,5.78,4.82,0.87,5.43,21.4,24.1,193.00000000000003

40,09:45-10:00,3,0,28.92,0,0,8.68,8.68,0,0,28.92,17.35,0,3.13,28.92,3,5.78,4.82,0.87,5.87,21.89,24.1,193.93000000000004

41,10:00-10:15,3,0,36.64,0,0,8.68,8.68,0,0,36.64,17.35,0,3.13,36.64,3,5.78,4.82,0.87,6.29,22.56,24.1,218.17999999999998

42,10:15-10:30,3,0,36.64,0,0,8.68,8.68,0,0,36.64,17.35,0,3.13,36.64,3,5.78,4.82,0.87,6.66,23.43,24.1,219.42

43,10:30-10:45,3,0,36.64,0,0,8.68,8.68,0,0,36.64,17.35,0,3.13,36.64,3,5.78,4.82,0.87,7.04,24.3,24.1,220.67

44,10:45-11:00,3,0,35.67,0,0,12.53,12.53,0,0,35.67,17.35,0,3.13,35.67,3,5.78,4.82,0.87,7.3,25.16,24.1,226.58

45,11:00-11:15,3,0,35.67,0,0,12.53,12.53,0,0,35.67,17.35,0,3.13,35.67,3,5.78,4.82,0.87,7.53,25.55,24.1,227.20000000000002

46,11:15-11:30,3,0,35.67,0,0,12.53,12.53,0,0,35.67,17.35,0,3.13,35.67,3,5.78,4.82,0.87,7.65,26.03,24.1,227.8

47,11:30-11:45,3,0,35.67,0,0,12.53,12.53,0,0,35.67,17.35,0,3.13,35.67,3,5.78,4.82,0.87,7.77,26.61,24.1,228.50000000000003

48,11:45-12:00,3,0,34.71,0,0,12.53,12.53,0,0,34.71,17.35,0,3.13,34.71,3,5.78,4.82,0.87,7.79,27.19,24.1,226.22

49,12:00-12:15,3,0,34.71,0,0,12.53,12.53,0,0,34.71,17.35,0,3.13,34.71,3,5.78,4.82,0.87,8.1,27.38,24.1,226.72

50,12:15-12:30,3,0,34.71,0,0,12.53,12.53,0,0,34.71,17.35,0,3.13,34.71,3,5.78,4.82,0.87,8.07,27.57,24.1,226.88

51,12:30-12:45,18.08,0,34.71,0,0,12.53,12.53,0,0,34.71,17.35,0,3.13,34.71,18.08,5.78,4.82,0.87,8,27.96,24.1,257.36

52,12:45-13:00,26.87,0,34.71,0,0,12.53,12.53,0,0,34.71,17.35,0,3.13,34.71,26.87,5.78,4.82,0.87,7.82,28.25,24.1,275.05

53,13:00-13:15,26.87,0,34.71,0,0,12.53,12.53,0,0,34.71,17.35,0,3.04,34.71,26.87,5.78,4.82,0.77,7.76,28.54,24.1,275.09

54,13:15-13:30,26.87,0,34.71,0,0,12.53,12.53,0,0,34.71,17.35,0,3.04,34.71,26.87,5.78,4.82,0.77,7.54,28.63,24.1,274.96

55,13:30-13:45,26.87,0,34.71,0,0,12.53,12.53,0,0,34.71,17.35,0,3.04,34.71,26.87,5.78,4.82,0.77,7.32,28.73,24.1,274.84

56,13:45-14:00,26.87,0,34.71,0,0,12.53,12.53,0,0,34.71,17.35,0,3.04,34.71,26.87,5.78,4.82,0.77,6.84,28.54,24.1,274.17

57,14:00-14:15,26.87,0,34.71,0,0,12.53,12.53,0,0,34.71,17.35,0,3.04,34.71,26.87,5.78,4.82,0.96,6.68,28.54,24.1,274.2

58,14:15-14:30,26.87,0,34.71,0,0,12.53,12.53,0,0,34.71,17.35,0,3.04,34.71,26.87,5.78,4.82,0.96,6.42,28.83,24.1,274.23

59,14:30-14:45,26.87,0,34.71,0,0,12.53,12.53,0,0,34.71,17.35,0,3.04,34.71,26.87,5.78,4.82,0.96,5.63,28.83,24.1,273.44

60,14:45-15:00,26.87,0,34.71,0,0,12.53,12.53,0,0,34.71,17.35,0,3.04,34.71,26.87,5.78,4.82,0.96,5.34,28.92,24.1,273.24

61,15:00-15:15,26.87,0,34.71,0,0,12.53,12.53,0,0,34.71,17.35,0,3.04,34.71,26.87,5.78,4.82,0.87,4.97,28.92,24.1,272.78000000000003

62,15:15-15:30,26.87,0,34.71,0,0,12.53,12.53,0,0,34.71,17.35,0,3.04,34.71,26.87,5.78,4.82,0.87,4.34,28.92,24.1,272.15000000000003

63,15:30-15:45,26.87,0,34.71,0,0,12.53,12.53,0,0,34.71,17.35,0,3.04,34.71,26.87,5.78,4.82,0.87,3.78,28.92,24.1,271.59000000000003

64,15:45-16:00,26.87,0,34.71,0,0,12.53,12.53,0,0,34.71,17.35,0,3.04,34.71,26.87,5.78,4.82,0.87,3.13,24.97,24.1,266.99

65,16:00-16:15,26.3,0,36.64,0,0,11.57,11.57,0,0.96,36.64,17.35,0,3.04,36.64,26.3,5.78,4.82,0.77,2.51,20.63,24.1,265.62

66,16:15-16:30,26.3,0,36.64,0,0,11.57,11.57,0,0.96,36.64,17.35,0,3.04,36.64,26.3,5.78,4.82,0.77,2.02,16.29,9.26,245.95

67,16:30-16:45,26.3,0,36.64,0,0,11.57,11.57,0,0.96,36.64,17.35,0,3.04,36.64,26.3,5.78,4.82,0.77,1.52,11.86,4.15,235.91

68,16:45-17:00,21.28,0,36.64,0,0,11.57,11.57,0,0.96,36.64,17.35,0,3.04,36.64,21.28,5.78,4.82,0.77,1.06,7.81,0,217.21

69,17:00-17:15,32,0,36.64,0,0,11.57,11.57,0,0.96,36.64,17.35,0,3.04,36.64,32,5.78,4.82,0.58,0.67,0,0,230.25999999999996

70,17:15-17:30,32,0,36.64,0,0,11.57,11.57,0,0.96,36.64,17.35,0,3.04,36.64,32,5.78,4.82,0.58,0.36,0,0,229.95

71,17:30-17:45,32,0,36.64,0,0,11.57,11.57,0,1.93,36.64,17.35,0,3.04,36.64,32,5.78,4.82,0.58,0.13,0,0,230.69

72,17:45-18:00,32,0,36.64,0,0,11.57,11.57,0,1.93,36.64,17.35,0,3.04,36.64,32,5.78,4.82,0.58,0,0,0,230.56

73,18:00-18:15,32,50,36.64,150,0,11.57,11.57,0,1.93,36.64,17.35,38.56,3.04,36.64,32,5.78,4.82,0.63,0,0,0,469.16999999999996

74,18:15-18:30,32,50,36.64,150,0,11.57,11.57,0,1.93,36.64,17.35,38.56,3.04,36.64,32,5.78,4.82,0.63,0,0,0,469.16999999999996

75,18:30-18:45,32,50,36.64,150,0,11.57,11.57,0,1.93,36.64,17.35,38.56,3.04,36.64,32,5.78,4.82,0.63,0,0,0,469.16999999999996

76,18:45-19:00,32,50,36.64,150,0,11.57,11.57,0,1.93,36.64,17.35,38.56,3.04,36.64,32,5.78,4.82,0.63,0,0,0,469.16999999999996

77,19:00-19:15,32,50,36.64,150,0,11.57,11.57,0,1.93,36.64,17.35,38.56,3.13,36.64,32,5.78,4.82,0.63,0,0,0,469.25999999999993

78,19:15-19:30,32,50,36.64,150,0,11.57,11.57,0,1.93,36.64,17.35,38.56,3.13,36.64,14.56,5.78,4.82,0.63,0,0,0,451.81999999999994

79,19:30-19:45,23.28,50,36.64,150,0,11.57,11.57,0,1.93,36.64,17.35,38.56,3.13,36.64,23.28,5.78,4.82,0.63,0,0,0,451.82

80,19:45-20:00,26.87,50,36.64,150,0,11.57,11.57,0,1.93,36.64,17.35,38.56,3.13,36.64,26.87,5.78,4.82,0.63,0,0,0,458.99999999999994

81,20:00-20:15,26.87,50,26.03,200,0,12.53,11.57,0,1.93,26.03,17.35,38.56,3.13,26.03,26.87,5.78,4.82,0.63,0,0,0,478.12999999999994

82,20:15-20:30,26.87,50,26.03,200,0,12.53,11.57,0,1.93,26.03,17.35,38.56,3.13,26.03,26.87,5.78,4.82,0.63,0,0,0,478.12999999999994

83,20:30-20:45,26.87,50,26.03,200,0,12.53,11.57,0,1.93,26.03,17.35,38.56,3.13,26.03,26.87,5.78,4.82,0.63,0,0,0,478.12999999999994

84,20:45-21:00,26.87,50,26.03,200,0,12.53,11.57,0,1.93,26.03,17.35,38.56,3.13,26.03,26.87,5.78,4.82,0.63,0,0,0,478.12999999999994

85,21:00-21:15,26.87,50,26.03,200,0,12.53,11.57,0,0.96,26.03,17.35,38.56,3.13,26.03,26.87,5.78,4.82,0.63,0,0,0,477.1599999999999

86,21:15-21:30,26.87,50,26.03,200,0,12.53,11.57,0,0.96,26.03,17.35,38.56,3.13,26.03,26.87,5.78,4.82,0.63,0,0,0,477.1599999999999

87,21:30-21:45,26.87,50,26.03,200,0,12.53,11.57,0,0.96,26.03,17.35,38.56,3.13,26.03,26.87,5.78,4.82,0.63,0,0,0,477.1599999999999

88,21:45-22:00,26.87,50,26.03,200,0,12.53,11.57,0,0.96,26.03,17.35,38.56,3.13,26.03,26.87,5.78,4.82,0.63,0,0,0,477.1599999999999

89,22:00-22:15,24.8,50,26.03,200,261.61,12.53,11.57,87.2,0.96,26.03,17.35,38.56,3.13,26.03,24.8,5.78,4.82,0.63,0,0,0,821.83

90,22:15-22:30,24.8,50,26.03,200,261.61,12.53,11.57,87.2,0.96,26.03,17.35,38.56,3.13,26.03,24.8,5.78,4.82,0.63,0,0,0,821.83

91,22:30-22:45,26.87,50,26.03,200,261.61,12.53,11.57,87.2,0,26.03,17.35,38.56,3.13,26.03,26.87,5.78,4.82,0.63,0,0,0,825.01

92,22:45-23:00,26.87,50,26.03,200,261.61,12.53,11.57,87.2,0,26.03,17.35,38.56,3.13,26.03,26.87,5.78,4.82,0.63,0,0,0,825.01

93,23:00-23:15,26.87,50,26.03,200,261.61,12.53,11.57,87.2,0,26.03,17.35,38.56,3.13,26.03,26.87,5.78,4.82,0.63,0,0,0,825.01

94,23:15-23:30,26.87,50,26.03,200,261.61,12.53,11.57,87.2,0,26.03,17.35,38.56,3.13,26.03,26.87,5.78,4.82,0.63,0,0,0,825.01

95,23:30-23:45,26.87,50,26.03,200,261.61,12.53,11.57,87.2,0,26.03,17.35,38.56,3.13,26.03,26.87,5.78,4.82,0.63,0,0,0,825.01

96,23:45-24:00,26.87,50,26.03,200,261.61,12.53,11.57,87.2,0,26.03,17.35,38.56,3.13,26.03,26.87,5.78,4.82,0.63,0,0,0,825.01

