Column1,Block,NR/2025/25020/C,NR/2025/25021/C,NR/2025/24839/A/50881,NR/2025/24837/A/50877,NR/2025/24838/A/50879,NR/2024/24434/A/50816,NR/2024/24508/A/51135,NR/2024/24614/A/51134,NR/2024/24435/A/50815,NR/2024/24566/A/50807,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/7459,NR/2025/25015/C,GNA/NR/2025/01/01/3945,NR/2024/24507/A/51136,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/20/4698,NR/2025/25016/C,SR/2024/15456/A/50819,GNA/NR/2025/01/01/8058,NR/2025/25017/C,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/01/5531,WR/2024/25501/A/51113,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/20/9333,NER/2024/2820/A/51110,NR/2024/24418/A/50849,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/6528,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/8738,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,Total
3,00:30-00:45,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,25,25,0,25,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,366.18999999999994

4,00:45-01:00,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,25,25,0,25,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,366.18999999999994

5,01:00-01:15,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,25,25,0,25,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,366.18999999999994

6,01:15-01:30,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,25,25,0,25,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,366.18999999999994

7,01:30-01:45,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,25,25,0,25,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,366.18999999999994

8,01:45-02:00,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,25,25,0,25,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,366.18999999999994

9,02:00-02:15,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,23.08,23.08,0,23.08,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,360.42999999999995

10,02:15-02:30,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,23.08,23.08,0,23.08,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,360.42999999999995

11,02:30-02:45,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,23.08,23.08,0,23.08,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,360.42999999999995

12,02:45-03:00,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,23.08,23.08,0,23.08,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,360.42999999999995

13,03:00-03:15,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,23.08,23.08,0,23.08,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,360.42999999999995

14,03:15-03:30,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,23.08,23.08,0,23.08,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,360.42999999999995

15,03:30-03:45,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,23.08,23.08,0,23.08,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,360.42999999999995

16,03:45-04:00,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,23.08,23.08,0,23.08,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,360.42999999999995

17,04:00-04:15,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,23.08,23.08,0,23.08,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,360.42999999999995

18,04:15-04:30,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,23.08,23.08,0,23.08,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,360.42999999999995

19,04:30-04:45,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,23.08,23.08,0,23.08,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,360.42999999999995

20,04:45-05:00,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,23.08,23.08,0,23.08,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,360.42999999999995

21,05:00-05:15,0,0,0,0,0,0,8.74,0,16.35,5.77,19.23,23.08,23.08,0,23.08,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,38.46,0.43,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,405.66999999999996

22,05:15-05:30,0,0,0,0,0,0,8.74,0,16.35,5.77,19.23,23.08,23.08,0,23.08,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,38.46,0.43,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,405.66999999999996

23,05:30-05:45,0,0,0,0,0,0,8.74,0,16.35,5.77,19.23,23.08,23.08,0,23.08,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,38.46,0.43,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,405.66999999999996

24,05:45-06:00,0,0,0,0,0,0,8.74,0,16.35,5.77,19.23,23.08,23.08,0,23.08,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,38.46,0.43,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,405.66999999999996

25,06:00-06:15,0,0,0,0,0,0,8.74,0,16.35,5.77,19.23,25.96,25.96,0,25.96,17.31,20.19,0,0,0,0,326.94,26.92,0,0,28.85,0,0,0,38.46,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,741.2000000000002

26,06:15-06:30,0,0,0,0,0,0,8.74,0,16.35,5.77,19.23,25.96,25.96,0,25.96,17.31,20.19,0,0,0,0,326.94,26.92,0,0,28.85,0,0,0,38.46,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,741.2000000000002

27,06:30-06:45,0,0,0,0,0,0,8.74,0,16.35,5.77,19.23,28.85,28.85,0,28.85,17.31,20.19,0,0,0,0,326.94,26.92,0,0,28.85,0,0,0,38.46,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,749.8700000000001

28,06:45-07:00,0,0,0,0,0,0,8.74,0,16.35,5.77,19.23,28.85,28.85,19.23,28.85,17.31,20.19,0,0,0,0,326.94,26.92,0,0,28.85,0,0,0,38.46,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,769.1

29,07:00-07:15,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,34.62,34.62,57.7,43.27,28.85,20.19,5.77,96.16,7.69,0,125.01,26.92,0,90.39,28.85,0,9.62,30.77,38.46,0.87,50,8.65,0,1.29,48.08,48.08,48.08,0,0,0,939.7100000000002

30,07:15-07:30,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,34.62,34.62,57.7,43.27,28.85,20.19,5.77,96.16,7.69,0,125.01,26.92,0,90.39,28.85,0,9.62,30.77,38.46,0.87,50,8.65,0,1.29,48.08,48.08,48.08,0,0,0,939.7100000000002

31,07:30-07:45,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,34.62,34.62,57.7,43.27,28.85,20.19,5.77,96.16,7.69,0,125.01,26.92,0,90.39,28.85,0,9.62,30.77,38.46,0.87,50,8.65,0,1.29,48.08,48.08,48.08,0,0,0,939.7100000000002

32,07:45-08:00,0,0,0.02,0.03,0.02,0,14.42,0,16.35,5.77,19.23,34.62,34.62,57.7,43.27,28.85,20.19,5.77,96.16,7.69,0,125.01,26.92,0,90.39,28.85,0,9.62,30.77,38.46,0.87,50,8.65,0,1.29,48.08,48.08,48.08,0,0,0,939.7800000000001

33,08:00-08:15,0,0,0.04,0.08,0.06,0,14.42,0,16.35,5.77,19.23,36.54,36.54,96.16,43.27,28.85,20.19,5.77,96.16,7.69,0,0,26.92,0,90.39,28.85,0,9.62,30.77,38.46,0.87,50,8.65,0,1.29,48.08,48.08,48.08,0,0,0,857.1800000000001

34,08:15-08:30,0,0,0.09,0.18,0.12,0,14.42,0,16.35,5.77,19.23,36.54,36.54,96.16,43.27,28.85,20.19,5.77,96.16,7.69,0,0,26.92,0,90.39,28.85,0,9.62,30.77,38.46,0.87,50,8.65,0,1.29,48.08,48.08,48.08,0,0,0,857.3900000000001

35,08:30-08:45,0,0,0.15,0.31,0.23,0,14.42,0,16.35,5.77,19.23,36.54,36.54,96.16,43.27,28.85,20.19,5.77,96.16,7.69,0,0,26.92,0,90.39,28.85,0,9.62,30.77,38.46,0.87,50,14.42,0,1.29,48.08,48.08,48.08,0,0,0,863.46

36,08:45-09:00,0,0,0.21,0.43,0.33,0,14.42,0,16.35,5.77,19.23,36.54,36.54,96.16,43.27,28.85,20.19,5.77,96.16,7.69,0,0,26.92,0,90.39,28.85,0,9.62,30.77,38.46,0.87,50,14.42,0,1.29,48.08,48.08,48.08,0,0,0,863.7400000000001

37,09:00-09:15,0,0,0.27,0.61,0.41,3.85,0,0,16.35,5.77,19.23,36.54,36.54,125.01,43.27,0,20.19,5.77,96.16,7.69,28.85,0,26.92,14.42,90.39,28.85,0,9.62,30.77,0,0.87,0,14.42,0,1.29,48.08,48.08,48.08,0,0,0,808.3000000000001

38,09:15-09:30,0,0,0.33,0.74,0.49,3.85,0,0,16.35,5.77,19.23,36.54,36.54,125.01,43.27,0,20.19,5.77,96.16,7.69,28.85,0,26.92,14.42,90.39,28.85,0,9.62,30.77,0,0.87,0,14.42,0,1.29,48.08,48.08,48.08,0,0,0,808.5700000000002

39,09:30-09:45,14.42,38.46,0.38,0.87,0.58,3.85,0,0,16.35,5.77,19.23,36.54,36.54,125.01,43.27,0,20.19,5.77,96.16,7.69,28.85,0,26.92,14.42,90.39,28.85,0,9.62,30.77,0,0.87,0,14.42,0,1.29,48.08,48.08,48.08,0,0,0,861.72

40,09:45-10:00,14.42,38.46,0.38,0.96,0.58,3.85,0,0,16.35,5.77,19.23,36.54,36.54,125.01,43.27,0,20.19,5.77,96.16,7.69,28.85,0,26.92,14.42,90.39,28.85,0,9.62,30.77,0,0.87,0,14.42,0,1.29,48.08,48.08,48.08,0,0,0,861.81

41,10:00-10:15,14.42,38.46,0.38,0.96,0.58,4.81,7.88,6.55,16.35,5.77,19.23,33.66,33.66,0,43.27,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.87,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,485.84000000000003

42,10:15-10:30,14.42,38.46,0.38,0.96,0.58,4.81,7.88,6.55,16.35,5.77,19.23,33.66,33.66,0,43.27,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.87,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,485.84000000000003

43,10:30-10:45,14.42,38.46,0.33,0.83,0.58,4.81,7.88,6.55,16.35,5.77,19.23,31.73,31.73,0,43.27,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.87,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,481.8

44,10:45-11:00,14.42,38.46,0.33,0.82,0.58,4.81,7.88,6.55,16.35,5.77,19.23,31.73,31.73,0,43.27,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.87,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,481.78999999999996

45,11:00-11:15,14.42,38.46,0.38,0.96,0.67,6.73,14.42,0,16.35,5.77,19.23,29.81,29.81,0,28.85,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.87,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,465.71999999999997

46,11:15-11:30,14.42,38.46,0.38,0.96,0.67,6.73,14.42,0,16.35,5.77,19.23,29.81,29.81,0,28.85,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.87,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,465.71999999999997

47,11:30-11:45,14.42,38.46,0.38,0.96,0.67,6.73,14.42,0,16.35,5.77,19.23,29.81,29.81,0,28.85,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.87,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,465.71999999999997

48,11:45-12:00,14.42,38.46,0.38,0.96,0.67,6.73,14.42,0,16.35,5.77,19.23,29.81,29.81,0,28.85,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.87,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,465.71999999999997

49,12:00-12:15,14.42,38.46,0.38,0.96,0.67,6.73,14.42,0,16.35,5.77,19.23,28.85,28.85,0,28.85,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.87,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,463.79999999999995

50,12:15-12:30,14.42,38.46,0.38,0.96,0.67,6.73,14.42,0,16.35,5.77,19.23,28.85,28.85,0,28.85,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.87,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,463.79999999999995

51,12:30-12:45,14.42,38.46,0.38,0.96,0.67,6.73,14.42,0,16.35,5.77,19.23,25.96,25.96,0,25.96,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.87,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,455.13

52,12:45-13:00,14.42,38.46,0.38,0.96,0.67,6.73,14.42,0,16.35,5.77,19.23,25.96,25.96,0,25.96,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.87,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,455.13

53,13:00-13:15,14.42,38.46,0.38,0.96,0.67,5.77,14.42,0,16.35,5.77,19.23,25.96,25.96,0,25.96,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.77,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,454.07

54,13:15-13:30,14.42,38.46,0.38,0.96,0.67,5.77,14.42,0,16.35,5.77,19.23,25.96,25.96,0,25.96,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.77,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,454.07

55,13:30-13:45,14.42,38.46,0.38,0.96,0.67,5.77,14.42,0,16.35,5.77,19.23,23.08,23.08,0,23.08,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.77,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,445.4299999999999

56,13:45-14:00,14.42,38.46,0.38,0.96,0.67,5.77,14.42,0,16.35,5.77,19.23,23.08,23.08,0,23.08,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.77,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,445.4299999999999

57,14:00-14:15,14.42,38.46,0.38,0.96,0.67,4.81,14.42,0,16.35,5.77,19.23,23.08,23.08,0,23.08,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.77,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,444.4699999999999

58,14:15-14:30,14.42,38.46,0.38,0.96,0.67,4.81,14.42,0,16.35,5.77,19.23,23.08,23.08,0,23.08,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.77,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,444.4699999999999

59,14:30-14:45,14.42,38.46,0.38,0.96,0.67,4.81,14.42,0,16.35,5.77,19.23,23.08,23.08,0,23.08,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.77,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,444.4699999999999

60,14:45-15:00,14.42,38.46,0.38,0.96,0.67,4.81,14.42,0,16.35,5.77,19.23,23.08,23.08,0,23.08,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.77,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,444.4699999999999

61,15:00-15:15,14.42,38.46,0.48,1.06,0.67,4.81,14.42,0,16.35,5.77,19.23,23.08,23.08,0,23.08,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.67,0,8.65,0,1.29,48.08,48.08,30.77,0,0,0,427.25999999999993

62,15:15-15:30,14.42,38.46,0.38,1.06,0.67,4.81,14.42,0,16.35,5.77,19.23,23.08,23.08,0,23.08,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.67,0,8.65,0,1.29,48.08,48.08,30.77,0,0,0,427.15999999999997

63,15:30-15:45,14.42,38.46,0.38,1.06,0.67,4.81,14.42,0,16.35,5.77,19.23,23.08,23.08,0,23.08,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.67,0,8.65,0,1.29,48.08,48.08,30.77,0,0,0,427.15999999999997

64,15:45-16:00,14.42,38.46,0.48,0.96,0.67,4.81,14.42,0,16.35,5.77,19.23,23.08,23.08,0,23.08,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.67,0,8.65,0,1.29,48.08,48.08,30.77,0,0,0,427.1599999999999

65,16:00-16:15,14.42,38.46,0.48,0.95,0.67,2.88,14.42,0,16.35,5.77,19.23,23.08,23.08,0,23.08,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.48,0,8.65,0,1.29,48.08,48.08,30.77,0,0,0,425.0299999999999

66,16:15-16:30,14.42,38.46,0.34,0.93,0.6,2.88,14.42,0,16.35,5.77,19.23,23.08,23.08,0,23.08,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.48,0,8.65,0,1.29,48.08,48.08,30.77,0,0,0,424.79999999999995

67,16:30-16:45,14.42,38.46,0.29,0.8,0.51,2.88,14.42,0,16.35,5.77,19.23,23.08,23.08,0,23.08,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.48,0,8.65,0,1.29,48.08,48.08,30.77,0,0,0,424.5299999999999

68,16:45-17:00,14.42,37.02,0.24,0.65,0.41,2.88,14.42,0,16.35,5.77,19.23,23.08,23.08,0,23.08,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.48,0,8.65,0,1.29,48.08,48.08,30.77,0,0,0,422.78999999999996

69,17:00-17:15,0,0,0.18,0.45,0.32,0.96,14.42,0,16.35,5.77,19.23,36.54,36.54,0,43.27,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.48,0,14.42,0,1.29,48.08,48.08,14.42,0,0,0,405.61000000000007

70,17:15-17:30,0,0,0.13,0.32,0.22,0.96,14.42,0,16.35,5.77,19.23,36.54,36.54,28.85,43.27,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.48,0,14.42,0,1.29,48.08,48.08,14.42,0,0,0,434.18000000000006

71,17:30-17:45,0,0,0.08,0.18,0.13,0.96,14.42,0,16.35,5.77,19.23,36.54,36.54,28.85,43.27,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.48,0,14.42,0,1.29,48.08,48.08,14.42,0,0,0,433.90000000000003

72,17:45-18:00,0,0,0.02,0.06,0.04,0.96,14.42,0,16.35,5.77,19.23,36.54,36.54,28.85,43.27,28.85,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.48,0,14.42,0,1.29,48.08,48.08,14.42,0,0,0,433.63000000000005

73,18:00-18:15,0,0,0.01,0.02,0.01,0,14.42,0,16.35,5.77,19.23,36.54,36.54,28.85,43.27,28.85,20.19,5.77,96.16,7.69,0,134.62,26.92,0,90.39,28.85,38.46,9.62,30.77,38.46,0.48,50,14.42,0,1.29,48.08,48.08,14.42,0,30,50,1014.5300000000001

74,18:15-18:30,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,36.54,36.54,28.85,43.27,28.85,20.19,5.77,96.16,7.69,0,134.62,26.92,0,90.39,28.85,38.46,9.62,30.77,38.46,0.48,50,14.42,0,1.29,48.08,48.08,14.42,0,30,50,1014.49

75,18:30-18:45,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,36.54,36.54,28.85,43.27,28.85,20.19,5.77,96.16,7.69,0,134.62,26.92,0,90.39,28.85,38.46,9.62,30.77,38.46,0.48,50,14.42,0,1.29,48.08,48.08,14.42,0,30,50,1014.49

76,18:45-19:00,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,36.54,36.54,0,43.27,28.85,20.19,5.77,96.16,7.69,0,134.62,26.92,0,90.39,28.85,38.46,9.62,30.77,38.46,0.48,50,14.42,0,1.29,48.08,48.08,14.42,0,30,50,985.6400000000001

