Time,Block,NR/2024/19739/A/17826,NR/2024/20098/C,NR/2024/19172/A/18332,NR/2024/20088/C,NR/2024/19656/A/17827,NR/2024/19485/A/18303,NR/2024/19764/A/17815,NR/2024/20066/C,NR/2024/18935/A/17686,NR/2024/18996/A/18274,NR/2024/18919/A/18252,NR/2024/19075/A/17794,NR/2024/20089/C,NR/2024/19043/A/17752,NR/2024/20027/C,NR/2024/19726/A/17778,NR/2024/18978/A/17666,NR/2024/18855/A/17834,NR/2024/19290/A/18331,NR/2024/20065/C,NR/2024/19115/A/17792,NR/2024/19024/A/17831,NR/2024/18976/A/17670,NR/2024/20061/C,NR/2024/20070/C,NR/2024/20053/C,NR/2024/18977/A/17668,NR/2024/19121/A/17833,NR/2024/18936/A/17683,NR/2024/19727/A/17780,NR/2024/19484/A/18302,NR/2024/19469/A/17828,NR/2024/19337/A/17829,NR/2024/19143/A/17787,NR/2024/18934/A/17687,NR/2024/19245/A/17830,NR/2024/19787/A/17797,NR/2024/20029/C,NR/2024/18986/A/17820,NR/2024/19483/A/18301,NR/2024/19030/A/17758,NR/2024/20072/C,NR/2024/20026/C,Total

3,00:30-00:45,0.970000,96.640000,115.970000,0.000000,0.000000,37.330000,0.000000,193.280000,0.000000,0.000000,9.660000,0.000000,289.920000,0.000000,111.430000,144.960000,0.000000,66.870000,67.650000,193.280000,0.000000,4.830000,0.000000,31.310000,96.640000,144.960000,0.000000,0.000000,0.000000,193.280000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,57.980000,0.530000,12.450000,0.000000,53.15,0,1964.35

4,00:45-01:00,0.970000,96.640000,115.970000,0.000000,0.000000,37.330000,0.000000,193.280000,0.000000,0.000000,9.660000,0.000000,289.920000,0.000000,111.430000,144.960000,0.000000,66.870000,67.650000,193.280000,0.000000,4.830000,0.000000,31.310000,96.640000,144.960000,0.000000,0.000000,0.000000,193.280000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,57.980000,0.530000,12.450000,0.000000,53.15,0,1964.35

5,01:00-01:15,0.970000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,144.960000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,144.960000,0.000000,0.000000,0.000000,193.280000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,57.980000,0.480000,12.450000,0.000000,0,0,1010.08

6,01:15-01:30,0.970000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,144.960000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,144.960000,0.000000,0.000000,0.000000,193.280000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,57.980000,0.480000,12.450000,0.000000,0,0,1010.08

7,01:30-01:45,0.970000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,144.960000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,144.960000,0.000000,0.000000,0.000000,193.280000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,57.980000,0.480000,12.450000,0.000000,0,0,1010.08

8,01:45-02:00,0.970000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,144.960000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,144.960000,0.000000,0.000000,0.000000,193.280000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,57.980000,0.480000,12.450000,0.000000,0,0,1010.08

9,02:00-02:15,0.970000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,72.480000,0.480000,12.450000,0.000000,0,0,541.38

10,02:15-02:30,0.970000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,72.480000,0.480000,12.450000,0.000000,0,0,541.38

11,02:30-02:45,0.970000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,72.480000,0.480000,12.450000,0.000000,0,0,541.38

12,02:45-03:00,0.970000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,72.480000,0.480000,12.450000,0.000000,0,0,541.38

13,03:00-03:15,0.970000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,72.480000,0.480000,12.450000,0.000000,0,0,541.38

14,03:15-03:30,0.970000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,72.480000,0.480000,12.450000,0.000000,0,0,541.38

15,03:30-03:45,0.970000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,72.480000,0.480000,12.450000,0.000000,0,0,541.38

16,03:45-04:00,0.970000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,72.480000,0.480000,12.450000,0.000000,0,0,541.38

17,04:00-04:15,0.970000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,72.480000,0.480000,12.450000,0.000000,0,0,541.38

18,04:15-04:30,0.970000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,72.480000,0.480000,12.450000,0.000000,0,0,541.38

19,04:30-04:45,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,72.480000,0.480000,12.450000,0.000000,0,0,540.41

20,04:45-05:00,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,72.480000,0.480000,12.450000,0.000000,0,0,540.41

21,05:00-05:15,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,72.480000,0.480000,12.450000,0.000000,0,0,538.41

22,05:15-05:30,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,72.480000,0.480000,12.450000,0.000000,0,0,538.41

23,05:30-05:45,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,72.480000,0.480000,12.450000,0.000000,0,0,538.41

24,05:45-06:00,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,9.660000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,72.480000,0.480000,12.450000,0.000000,0,0,538.41

25,06:00-06:15,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,72.480000,0.530000,12.450000,0.000000,0,0,528.8

26,06:15-06:30,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,72.480000,0.530000,12.450000,0.000000,0,0.17,528.97

27,06:30-06:45,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,72.480000,0.530000,12.450000,0.000000,0,0.6,529.4

28,06:45-07:00,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,72.480000,0.530000,12.450000,0.000000,0,0.93,529.73

29,07:00-07:15,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,72.480000,0.630000,12.450000,0.000000,0,1.32,530.22

30,07:15-07:30,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,72.480000,0.630000,12.450000,0.000000,0,1.82,530.72

31,07:30-07:45,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,72.480000,0.630000,12.450000,0.000000,0,2.38,531.28

32,07:45:08:00,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,72.480000,0.630000,12.450000,0.000000,0,3.02,531.92

33,08:00-08:15,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,72.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,48.320000,72.480000,0.970000,12.450000,0.000000,0,3.49,653.53

34,08:15-08:30,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,72.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,48.320000,72.480000,0.970000,12.450000,0.000000,0,3.94,653.98

35,08:30-08:45,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,72.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,48.320000,72.480000,0.970000,12.450000,0.000000,0,4.46,654.5

36,08:45:09:00,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,72.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,48.320000,72.480000,0.970000,12.450000,0.000000,0,5.02,655.06

37,09:00:09:15,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,72.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,48.320000,72.480000,0.970000,12.450000,0.000000,0,5.45,655.49

38,09:15-09:30,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,72.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,48.320000,72.480000,0.970000,12.450000,0.000000,0,6.06,656.1

39,09:30-09:45,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,72.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,48.320000,72.480000,0.970000,12.450000,0.000000,0,6.61,656.65

40,09:45-10:00,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,72.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,37.330000,0.000000,1.930000,0.000000,0.000000,0.000000,48.320000,72.480000,0.970000,12.450000,0.000000,0,7.05,657.09

41,10:00-10:15,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,72.480000,0.000000,5.800000,48.320000,0.000000,0.000000,0.000000,46.390000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,57.980000,66.870000,6.760000,0.000000,37.330000,3.870000,1.930000,0.000000,4.830000,0.000000,48.320000,72.480000,0.970000,12.450000,0.000000,0,7.54,831.53

42,10:15-10:30,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,72.480000,0.000000,5.800000,48.320000,0.000000,0.000000,0.000000,46.390000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,57.980000,66.870000,6.760000,0.000000,37.330000,3.870000,1.930000,0.000000,4.830000,0.000000,48.320000,72.480000,0.970000,12.450000,0.000000,0,7.83,831.82

43,10:30-10:45,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,72.480000,0.000000,5.800000,48.320000,0.000000,0.000000,0.000000,46.390000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,57.980000,66.870000,6.760000,0.000000,37.330000,3.870000,1.930000,0.000000,4.830000,0.000000,48.320000,72.480000,0.970000,12.450000,0.000000,0,8.27,832.26

44,10:45-11:00,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,72.480000,0.000000,5.800000,48.320000,0.000000,0.000000,0.000000,46.390000,111.430000,0.000000,0.000000,0.000000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,57.980000,66.870000,6.760000,0.000000,37.330000,3.870000,1.930000,0.000000,4.830000,0.000000,48.320000,72.480000,0.970000,12.450000,0.000000,0,8.65,832.64

45,11:00-11:15,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,72.480000,0.000000,5.800000,48.320000,0.000000,0.000000,0.000000,46.390000,111.430000,0.000000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,57.980000,0.000000,6.760000,0.000000,37.330000,3.870000,1.930000,0.000000,4.830000,0.000000,48.320000,72.480000,0.970000,12.450000,0.000000,0,9.02,833.01

46,11:15-11:30,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,72.480000,0.000000,5.800000,48.320000,0.000000,0.000000,0.000000,46.390000,111.430000,0.000000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,57.980000,0.000000,6.760000,0.000000,37.330000,3.870000,1.930000,0.000000,4.830000,0.000000,48.320000,72.480000,0.970000,12.450000,0.000000,0,8.87,832.86

47,11:30-11:45,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,72.480000,0.000000,5.800000,48.320000,0.000000,0.000000,0.000000,46.390000,111.430000,0.000000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,57.980000,0.000000,6.760000,0.000000,37.330000,3.870000,1.930000,0.000000,4.830000,0.000000,48.320000,72.480000,0.970000,12.450000,0.000000,0,9.11,833.1

48,11:45-12:00,0.000000,0.000000,115.970000,0.000000,0.000000,37.330000,72.480000,0.000000,5.800000,48.320000,0.000000,0.000000,0.000000,46.390000,111.430000,0.000000,0.000000,66.870000,67.650000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,57.980000,0.000000,6.760000,0.000000,37.330000,3.870000,1.930000,0.000000,4.830000,0.000000,48.320000,72.480000,0.970000,12.450000,0.000000,0,9.29,833.28

49,12:00-12:15,0.000000,0.000000,115.970000,0.000000,1.930000,37.330000,72.480000,0.000000,5.800000,48.320000,0.000000,19.330000,0.000000,46.390000,111.430000,0.000000,14.500000,66.870000,67.650000,0.000000,0.000000,4.830000,39.620000,0.000000,0.000000,0.000000,57.980000,0.000000,6.760000,0.000000,37.330000,1.930000,1.930000,0.000000,4.830000,1.930000,48.320000,72.480000,0.970000,12.450000,19.330000,0,9.33,928.02

50,12:15-12:30,0.000000,0.000000,115.970000,0.000000,1.930000,37.330000,72.480000,0.000000,5.800000,48.320000,0.000000,19.330000,0.000000,46.390000,111.430000,0.000000,14.500000,66.870000,67.650000,0.000000,0.000000,4.830000,39.620000,0.000000,0.000000,0.000000,57.980000,0.000000,6.760000,0.000000,37.330000,1.930000,1.930000,0.000000,4.830000,1.930000,48.320000,72.480000,0.970000,12.450000,19.330000,0,9.35,928.04

