Block,Time,ANTA_CRF,SEWA2,DADRT2,TANDA2,URI2,KOTESHWR,RIHAND3,ANTA_LF,TANAKPUR,SALAL,DADRI_CRF,TEHRI,AURY_GF,ANTA_RF,DADRI_LF,RAPPB,DHAULIGNGA,AURY_LF,RAMPUR,CHAMERA3,FSTPP I & II,KHSTPP-II,KHSTPP-I,SASAN,RIHAND2,CHAMERA1,AURY_CRF,DULHASTI,KOLDAM,RAPPC,UNCHAHAR1,DADRI_RF,UNCHAHAR4,CHAMERA2,BRBCL,DADRI_GF,UNCHAHAR2,TALA,NJPC,PARBATI3,URI,NAPP,RIHAND1,KISHANGANGA,JHAJJAR,SINGRAULI_HYDRO,AURY_RF,ANTA_GF,UNCHAHAR3,BSIUL,SINGRAULI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
17,04:00-04:15,0.000000,15.282514,361.658000,0.000000,29.918593,8.581158,119.584659,0.000000,0.000000,12.360194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.033470,132.731290,38.694022,404.950590,107.220960,0.000000,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,0.000000,19.340000,0.000000,22.550440,0.000000,0.000000,0.000000,33.094608,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,12.611227,134.712770,0,0,0,0,0

18,04:15-04:30,0.000000,15.282514,361.658000,0.000000,29.918593,8.581158,119.584659,0.000000,0.000000,12.360194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.033470,132.731290,38.694022,404.950590,107.220960,13.585731,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,0.000000,19.340000,0.000000,22.550440,0.000000,0.000000,0.000000,33.094608,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,12.611227,134.712770,0,0,0,0,0

19,04:30-04:45,0.000000,15.282514,361.658000,0.000000,29.918593,8.581158,119.584659,0.000000,0.000000,12.360194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.033470,132.731290,38.694022,404.950590,107.220960,13.585731,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,0.000000,19.340000,0.000000,22.550440,0.000000,18.314980,0.000000,33.094608,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,12.611227,134.712770,0,0,0,0,0

20,04:45-05:00,0.000000,15.282514,361.658000,0.000000,29.918593,8.581158,119.584659,0.000000,0.000000,12.360194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.311142,123.061290,38.694022,404.950590,107.220960,27.171462,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,0.000000,19.340000,0.000000,22.550440,0.000000,36.629960,0.000000,33.094608,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,12.611227,134.712770,0,0,0,0,0

21,05:00-05:15,0.000000,15.282514,361.658000,0.000000,29.918593,8.581158,119.584659,0.000000,0.000000,12.360194,0.000000,11.635911,0.000000,0.000000,0.000000,0.000000,8.814108,0.000000,0.000000,0.000000,13.311142,123.061290,38.694022,404.950590,107.220960,27.171462,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,0.000000,19.340000,0.000000,22.550440,0.000000,58.607936,0.000000,39.500016,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,12.611227,134.712770,0,0,0,0,0

