Column1,Block,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/16/2350,GNA/NR/2024/10/16/4393,NR/2024/23802/C,NR/2024/23787/C,NR/2024/23384/A/41947,NR/2024/23383/A/41948,NR/2024/23639/A/41991,NR/2024/23382/A/42102,NR/2024/23640/A/41990,GNA/NR/2024/10/01/9072,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/9582,Total
58,14:15-14:30,0,0,0,4.71,1.93,6.76,0.92,42.48,17.55,6.28,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,234.87000000000003

59,14:30-14:45,0,0,0,5.48,2.9,6.76,0.92,42.48,17.55,6.28,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,236.61000000000004

60,14:45-15:00,0,0,0,5.68,2.9,6.76,0.92,42.48,17.55,6.28,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,236.81000000000003

61,15:00-15:15,0,0,0,5.51,2.9,6.76,0.92,42.48,17.55,6.28,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,236.64000000000001

62,15:15-15:30,0,0,0,4.34,2.9,6.76,0.92,42.48,17.55,6.37,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,235.56000000000003

63,15:30-15:45,0,0,0,2.1,2.9,6.76,0.92,42.48,17.55,6.47,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,233.42

64,15:45-16:00,0,0,0,1.37,2.9,6.76,0.92,42.48,17.55,6.66,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,232.88000000000002

65,16:00-16:15,0,0,0,0.99,2.9,6.76,0.77,34.47,17.55,6.76,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,224.44000000000003

66,16:15-16:30,0,0,0,0.77,2.9,6.76,0.77,25.97,17.55,6.86,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,215.82000000000002

67,16:30-16:45,0,0,0,0.66,2.9,6.76,0.77,17.09,17.55,6.86,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,206.83

68,16:45-17:00,0,0,0,0.49,2.9,6.76,0.77,10.23,17.55,6.95,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,199.89000000000001

69,17:00-17:15,0,0,0,0.39,2.9,6.76,0.72,0,17.55,0,28.96,3.87,2.78,2.78,28.96,8.78,37.3,8.78,150.53

70,17:15-17:30,0,0,0,0.28,2.9,6.76,0.72,0,17.55,0,28.96,3.87,2.78,2.78,28.96,8.78,37.3,8.78,150.42

71,17:30-17:45,0,0,0,0.17,2.9,6.76,0.72,0,17.55,0,28.96,3.87,15.28,15.28,28.96,8.78,37.3,8.78,175.30999999999997

72,17:45-18:00,0,0,0,0.07,2.9,6.76,0.72,0,17.55,0,28.96,3.87,15.28,15.28,28.96,8.78,37.3,8.78,175.21

73,18:00-18:15,125,0,0,0,2.9,6.76,0.72,0,17.55,0,28.96,3.97,15.28,15.28,28.96,8.78,37.3,8.78,300.24

74,18:15-18:30,125,0,0,0,2.9,6.76,0.72,0,17.55,0,28.96,3.97,15.28,15.28,28.96,8.78,37.3,8.78,300.24

75,18:30-18:45,125,0,0,0,2.9,6.76,0.72,0,17.55,0,28.96,3.97,15.28,15.28,28.96,8.78,37.3,8.78,300.24

76,18:45-19:00,125,0,0,0,2.9,6.76,0.72,0,17.55,0,28.96,3.97,15.28,15.28,28.96,8.78,37.3,8.78,300.24

77,19:00-19:15,125,0,0,0,2.9,6.76,0.68,0,17.55,0,28.96,3.97,15.28,15.28,28.96,8.78,37.3,8.78,300.2

78,19:15-19:30,125,0,0,0,2.9,6.76,0.68,0,17.55,0,28.96,3.97,15.28,15.28,28.96,8.78,37.3,8.78,300.2

79,19:30-19:45,125,0,0,0,2.9,6.76,0.68,0,17.55,0,28.96,3.97,2.78,2.78,28.96,8.78,37.3,8.78,275.2

80,19:45-20:00,125,0,0,0,2.9,6.76,0.68,0,17.55,0,28.96,3.97,2.78,2.78,28.96,8.78,37.3,8.78,275.2

81,20:00-20:15,200,0,0,0,2.9,6.76,0.68,0,17.55,0,28.96,3.97,2.78,2.78,28.96,8.78,37.3,8.78,350.19999999999993

82,20:15-20:30,200,0,0,0,2.9,6.76,0.68,0,17.55,0,28.96,3.97,2.78,2.78,28.96,8.78,37.3,8.78,350.19999999999993

83,20:30-20:45,200,0,0,0,2.9,6.76,0.68,0,17.55,0,28.96,3.97,2.78,2.78,28.96,8.78,37.3,8.78,350.19999999999993

84,20:45-21:00,200,0,0,0,2.9,6.76,0.68,0,17.55,0,28.96,3.97,2.78,2.78,28.96,8.78,37.3,8.78,350.19999999999993

85,21:00-21:15,200,0,0,0,2.9,6.76,0.72,0,17.55,0,28.96,3.97,2.78,2.78,28.96,8.78,37.3,8.78,350.2399999999999

86,21:15-21:30,200,0,0,0,2.9,6.76,0.72,0,17.55,0,28.96,3.97,2.78,2.78,28.96,8.78,37.3,8.78,350.2399999999999

87,21:30-21:45,200,0,0,0,2.9,6.76,0.72,0,17.55,0,28.96,3.97,2.78,2.78,28.96,8.78,37.3,8.78,350.2399999999999

88,21:45-22:00,200,0,0,0,2.9,6.76,0.72,0,17.55,0,28.96,3.97,2.78,2.78,28.96,8.78,37.3,8.78,350.2399999999999

89,22:00-22:15,200,47.56,142.69,0,2.9,6.76,0.68,0,17.55,0,28.96,3.97,2.78,2.78,28.96,8.78,37.3,8.78,540.4499999999998

90,22:15-22:30,200,47.56,142.69,0,2.9,6.76,0.68,0,17.55,0,28.96,3.97,2.78,2.78,28.96,8.78,37.3,8.78,540.4499999999998

91,22:30-22:45,200,47.56,142.69,0,2.9,6.76,0.68,0,17.55,0,28.96,3.97,2.78,2.78,28.96,8.78,37.3,8.78,540.4499999999998

92,22:45-23:00,200,47.56,142.69,0,2.9,6.76,0.68,0,17.55,0,28.96,3.97,2.78,2.78,28.96,8.78,37.3,8.78,540.4499999999998

93,23:00-23:15,200,47.56,142.69,0,2.9,6.76,0.58,0,17.55,0,28.96,3.87,2.78,2.78,28.96,8.78,37.3,8.78,540.2499999999998

94,23:15-23:30,200,47.56,142.69,0,2.9,6.76,0.58,0,17.55,0,28.96,3.87,2.78,2.78,28.96,8.78,37.3,8.78,540.2499999999998

95,23:30-23:45,200,47.56,142.69,0,2.9,6.76,0.58,0,17.55,0,28.96,3.87,2.78,2.78,28.96,8.78,37.3,8.78,540.2499999999998

96,23:45-24:00,200,47.56,142.69,0,2.9,6.76,0.58,0,17.55,0,28.96,3.87,2.78,2.78,28.96,8.78,37.3,8.78,540.2499999999998

