Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/25517/A/58351,WR/2025/26427/A/58031,WR/2025/26582/A/58277,WR/2025/26499/A/58279,NR/2025/25159/A/57927,WR/2025/26426/A/58030,NR/2025/25617/C,NR/2025/25518/A/58353,NR/2025/25516/A/58349,NR/2025/25616/C,GNA/WR/2025/01/01/9606,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/3469,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/6891,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/8036,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/4651,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,Total
3,00:30-00:45,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.95,23.04,6.72,42,63.42,200,23.04,0,190.26,17.28,23.04,5.76,2.5,2.5,819.4699999999998

4,00:45-01:00,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.95,23.04,6.72,42,63.42,200,23.04,0,190.26,17.28,23.04,5.76,2.5,2.5,819.4699999999998

5,01:00-01:15,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.95,23.04,6.72,42,63.42,200,23.04,0,190.26,17.28,23.04,5.76,3,3,820.4699999999998

6,01:15-01:30,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.95,23.04,6.72,42,63.42,200,23.04,0,190.26,17.28,23.04,5.76,3,3,820.4699999999998

7,01:30-01:45,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.95,23.04,6.72,42,63.42,200,23.04,0,190.26,17.28,23.04,5.76,3,3,820.4699999999998

8,01:45-02:00,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.95,23.04,6.72,42,63.42,200,23.04,0,190.26,17.28,23.04,5.76,3,3,820.4699999999998

9,02:00-02:15,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.95,23.04,6.72,42,63.42,0,23.04,0,190.26,17.28,23.04,5.76,3,3,620.4699999999999

10,02:15-02:30,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.95,23.04,6.72,42,63.42,0,23.04,0,190.26,17.28,23.04,5.76,3,3,620.4699999999999

11,02:30-02:45,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.95,23.04,6.72,42,63.42,0,23.04,0,190.26,17.28,23.04,5.76,3,3,620.4699999999999

12,02:45-03:00,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.95,23.04,6.72,42,63.42,0,23.04,0,190.26,17.28,23.04,5.76,3,3,620.4699999999999

13,03:00-03:15,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.86,23.04,6.72,42,63.42,0,23.04,0,190.26,17.28,23.04,5.76,3,3,620.38

14,03:15-03:30,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.86,23.04,6.72,42,63.42,0,23.04,0,190.26,17.28,23.04,5.76,3,3,620.38

15,03:30-03:45,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.86,23.04,6.72,42,63.42,0,23.04,0,190.26,17.28,23.04,5.76,3,3,620.38

16,03:45-04:00,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.86,23.04,6.72,42,63.42,0,23.04,0,190.26,17.28,23.04,5.76,3,3,620.38

17,04:00-04:15,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.86,23.04,6.72,42,63.42,0,23.04,0,190.26,17.28,23.04,5.76,3,3,620.38

18,04:15-04:30,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.86,23.04,6.72,42,63.42,0,23.04,0,190.26,17.28,23.04,5.76,3,3,620.38

19,04:30-04:45,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.86,23.04,6.72,42,63.42,0,23.04,0,190.26,17.28,23.04,5.76,3.5,3.5,621.38

20,04:45-05:00,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.86,23.04,6.72,42,63.42,0,23.04,0,190.26,17.28,23.04,5.76,3.5,3.5,621.38

21,05:00-05:15,0,0,24,24,0,0.48,167.53,0,0,0,0,0,3.86,23.04,6.72,42,63.42,0,23.04,0,190.26,17.28,23.04,5.76,7,7,628.43

22,05:15-05:30,0,0,24,24,0,0.48,167.53,0,0,0,0,0,3.86,23.04,6.72,42,63.42,0,23.04,0,190.26,17.28,23.04,5.76,7,7,628.43

23,05:30-05:45,0,0,24,24,0,0.48,167.53,0,0,0,0,0,3.86,23.04,6.72,42,63.42,0,23.04,0,190.26,17.28,23.04,5.76,10,7,631.43

24,05:45-06:00,0,0,24,24,0,0.48,167.53,0,0,0,0,0,3.86,23.04,6.72,42,63.42,0,23.04,0,190.26,17.28,23.04,5.76,10,7,631.43

25,06:00-06:15,0,0,0,0,0,0.53,167.53,0,0,0,0,0,3.76,23.04,6.72,42,0,0,23.04,0,0,17.28,23.04,5.76,14,9.51,336.21

26,06:15-06:30,0,0,0,0,0,0.53,167.53,0,0,0,0,0,3.76,23.04,6.72,42,0,0,23.04,0,0,17.28,23.04,5.76,11.1,6.22,330.02000000000004

27,06:30-06:45,0.58,0,0,0,0,0.53,167.53,0,0,0,0,0,3.76,23.04,6.72,42,0,0,23.04,0,0,17.28,23.04,5.76,7,32,352.28000000000003

28,06:45-07:00,0.45,0,0,0,0,0.53,167.53,0,0,0,0,0,3.76,23.04,6.72,42,0,0,23.04,0,0,17.28,23.04,5.76,13.25,32,358.40000000000003

29,07:00-07:15,0.77,0,0,0,40.31,0.58,167.53,0,0,0,0,0,3.76,25.91,6.72,0,0,0,25.91,0,0,17.28,25.91,5.76,32,32,384.44

30,07:15-07:30,3.58,0,0,0,40.31,0.58,167.53,0,0,0,0,0,3.76,25.91,6.72,0,0,0,25.91,0,0,17.28,25.91,5.76,32,32,387.25000000000006

31,07:30-07:45,7.73,0,0,0,40.31,0.58,167.53,0,0,0,0,0,3.76,31.67,6.72,0,0,0,31.67,0,0,17.28,31.67,5.76,32,32,408.68

32,07:45-08:00,13.43,0,0,0,40.31,0.58,167.53,0,0,0,0,0,3.76,31.67,6.72,0,0,0,31.67,0,0,17.28,31.67,5.76,32,32,414.38000000000005

33,08:00-08:15,20.81,0,0,0,40.31,0.96,0,0,0,0,0,0,3.76,34.55,6.72,0,0,0,34.55,0,0,17.28,34.55,5.76,32,26.39,257.64

34,08:15-08:30,28.95,0.16,0,0,40.31,0.96,0,0,0.12,0.18,0,0,3.76,34.55,6.72,0,0,0,34.55,0,0,17.28,34.55,5.76,32,26.39,266.23999999999995

35,08:30-08:45,37.9,0.34,0,0,40.31,0.96,0,0,0.18,0.34,0,0,3.76,34.55,6.72,0,0,0,34.55,0,0,17.28,34.55,5.76,32,25.93,275.13

36,08:45-09:00,46.46,0.49,0,0,40.31,0.96,0,0,0.31,0.55,0,0,3.76,34.55,6.72,0,0,0,34.55,0,0,17.28,34.55,5.76,32,25.93,284.18

37,09:00-09:15,54.57,0.65,0,0,40.31,0.91,0,38.39,0.41,0.74,14.4,0,3.76,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,32,25.93,310.95

38,09:15-09:30,62.76,0.77,0,0,40.31,0.91,0,38.39,0.48,0.96,14.4,0,3.76,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,32,25.93,319.54999999999995

39,09:30-09:45,69.92,0.77,0,0,40.31,0.91,0,38.39,0.38,0.96,14.4,0,3.76,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,322.68

40,09:45-10:00,76.37,0.77,0,0,40.31,0.91,0,38.39,0.48,0.96,14.4,0,3.76,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,329.22999999999996

41,10:00-10:15,82.33,0.77,0,0,40.31,0.91,0,38.39,0.48,0.96,14.4,0,3.76,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,335.18999999999994

42,10:15-10:30,88.23,0.86,0,0,40.31,0.91,0,38.39,0.48,0.96,14.4,0,3.76,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,341.18

43,10:30-10:45,93.44,0.86,0,0,40.31,0.91,0,38.39,0.48,0.96,14.4,0,3.76,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,346.39000000000004

44,10:45-11:00,95.85,0.77,0,0,40.31,0.91,0,38.39,0.48,0.96,14.4,0,3.76,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,348.71

45,11:00-11:15,97.59,0.67,0,0,40.31,0.91,0,38.39,0.48,1.06,14.4,0,3.76,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,350.45

46,11:15-11:30,98.31,0.77,0,0,40.31,0.91,0,38.39,0.48,1.06,14.4,0,3.76,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,351.27

47,11:30-11:45,95.51,0.77,0,0,40.31,0.91,0,38.39,0.48,1.06,14.4,0,3.76,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,348.46999999999997

48,11:45-12:00,95.44,0.77,0,0,40.31,0.91,0,38.39,0.48,1.06,14.4,0,3.76,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,348.4

49,12:00-12:15,95.67,0.77,0,0,40.31,0.91,0,38.39,0.48,1.06,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,348.55

50,12:15-12:30,95.62,0.77,0,0,40.31,0.91,0,38.39,0.48,1.06,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,348.5

51,12:30-12:45,95.61,0.77,0,0,40.31,0.91,0,38.39,0.48,1.06,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,348.49

52,12:45-13:00,95.54,0.77,0,0,40.31,0.91,0,38.39,0.38,1.06,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,348.32

53,13:00-13:15,95.62,0.77,0,0,40.31,0.91,0,38.39,0.48,1.06,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,348.5

54,13:15-13:30,95.61,0.77,0,0,40.31,0.91,0,38.39,0.48,1.06,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,348.49

55,13:30-13:45,95.65,0.77,0,0,40.31,0.91,0,38.39,0.48,1.06,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,348.53000000000003

56,13:45-14:00,95.4,0.77,0,0,40.31,0.91,0,38.39,0.48,1.06,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,348.28000000000003

57,14:00-14:15,95.3,0.77,0,0,40.31,0.91,0,38.39,0.48,1.15,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,348.27000000000004

58,14:15-14:30,94.51,0.86,0,0,40.31,0.91,0,38.39,0.58,1.15,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,347.67

59,14:30-14:45,93.96,0.86,0,0,40.31,0.91,0,38.39,0.48,1.15,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,347.02000000000004

60,14:45-15:00,92.52,0.77,0,0,40.31,0.91,0,38.39,0.48,1.06,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,345.4

61,15:00-15:15,88.01,0.77,0,0,40.31,0.67,0,38.39,0.48,1.15,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,340.73999999999995

62,15:15-15:30,81.68,0.77,0,0,40.31,0.67,0,38.39,0.48,1.06,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,334.32

63,15:30-15:45,78.07,0.86,0,0,40.31,0.67,0,38.39,0.48,1.06,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,330.8

64,15:45-16:00,73.03,0.86,0,0,40.31,0.67,0,38.39,0.48,1.06,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,325.76

65,16:00-16:15,67.27,0.96,0,0,40.31,0.53,0,38.39,0.48,1.06,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,319.96

66,16:15-16:30,61.92,0.86,0,0,40.31,0.53,0,38.39,0.48,1.15,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,314.59999999999997

67,16:30-16:45,54.73,0.86,0,0,40.31,0.53,0,38.39,0.48,1.15,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,307.40999999999997

68,16:45-17:00,45.94,0.65,0,0,40.31,0.53,0,38.39,0.41,0.98,14.4,0,3.68,23.04,6.72,0,0,0,23.04,0,0,17.28,23.04,5.76,27,27,298.16999999999996

69,17:00-17:15,37.53,0.44,0,0,40.31,0.53,0,0,0.25,0.76,0,0,3.68,36.47,6.72,0,0,0,36.47,100,0,17.28,36.47,5.76,27,27,376.6700000000001

70,17:15-17:30,29.26,0.27,0,0,40.31,0.53,0,0,0.19,0.47,0,0,3.68,36.47,6.72,0,0,0,36.47,100,0,17.28,36.47,5.76,27,27,367.88

71,17:30-17:45,23.02,0.14,0,0,40.31,0.53,0,0,0.08,0.2,0,0,3.68,36.47,6.72,0,0,0,31.75,100,0,17.28,31.75,5.76,27,27,351.69

72,17:45-18:00,17.67,0,0,0,40.31,0.53,0,0,0,0,0,0,3.68,36.47,6.72,0,0,0,31.75,100,0,17.28,31.75,5.76,27,27,345.91999999999996

73,18:00-18:15,13.5,0,0,0,40.31,0.53,0,0,0,0,0,50,3.76,36.47,6.72,0,0,0,26.19,100,0,17.28,26.19,5.76,32,23.05,381.76

74,18:15-18:30,3.77,0,0,0,40.31,0.53,0,0,0,0,0,50,3.76,36.47,6.72,0,0,0,26.19,100,0,17.28,26.19,5.76,32,32,380.97999999999996

75,18:30-18:45,1.88,0,0,0,40.31,0.53,0,0,0,0,0,50,3.76,36.47,6.72,0,0,50,26.19,100,0,17.28,26.19,5.76,32,32,429.09

76,18:45-19:00,0.37,0,0,0,40.31,0.53,0,0,0,0,0,50,3.76,36.47,6.72,0,0,50,26.19,100,0,17.28,26.19,5.76,32,32,427.58

77,19:00-19:15,0.3,0,0,0,40.31,0.62,0,0,0,0,0,50,3.95,36.47,6.72,0,0,50,26.19,100,0,17.28,26.19,5.76,32,32,427.7899999999999

78,19:15-19:30,0.3,0,0,0,40.31,0.62,0,0,0,0,0,50,3.95,36.47,6.72,0,0,50,26.19,100,0,17.28,26.19,5.76,32,32,427.7899999999999

79,19:30-19:45,0,0,0,0,40.31,0.62,0,0,0,0,0,50,3.95,36.47,6.72,0,0,50,26.19,100,0,17.28,26.19,5.76,32,32,427.48999999999995

80,19:45-20:00,0,0,0,0,40.31,0.62,0,0,0,0,0,50,3.95,36.47,6.72,0,0,50,26.19,100,0,17.28,26.19,5.76,32,32,427.48999999999995

81,20:00-20:15,0,0,0,0,40.31,0.62,47.99,0,0,0,0,75,4.14,36.47,6.72,0,0,50,26.19,100,0,17.28,26.19,5.76,32,32,500.67

82,20:15-20:30,0,0,0,0,40.31,0.62,47.99,0,0,0,0,75,4.14,36.47,6.72,0,0,50,26.19,100,0,17.28,26.19,5.76,32,32,500.67

83,20:30-20:45,0,0,0,0,40.31,0.62,47.99,0,0,0,0,75,4.14,36.47,6.72,0,0,50,26.19,100,0,17.28,26.19,5.76,32,32,500.67

84,20:45-21:00,0,0,0,0,40.31,0.62,47.99,0,0,0,0,75,4.14,36.47,6.72,0,0,50,26.19,100,0,17.28,26.19,5.76,32,32,500.67

85,21:00-21:15,0,0,0,0,40.31,0.62,47.99,0,0,0,0,75,4.14,28.79,6.72,0,0,50,19.81,100,0,17.28,19.81,5.76,32,23.05,471.28

86,21:15-21:30,0,0,0,0,40.31,0.62,47.99,0,0,0,0,75,4.14,28.79,6.72,0,0,50,19.81,100,0,17.28,19.81,5.76,32,23.58,471.80999999999995

87,21:30-21:45,0,0,0,0,40.31,0.62,47.99,0,0,0,0,75,4.14,28.79,6.72,0,0,50,19.81,100,0,17.28,19.81,5.76,25.24,25.24,466.71

88,21:45-22:00,0,0,0,0,40.31,0.62,47.99,0,0,0,0,75,4.14,28.79,6.72,0,0,50,19.81,100,0,17.28,19.81,5.76,25.24,25.24,466.71

89,22:00-22:15,0,0,24,24,40.31,0.53,47.99,0,0,0,0,75,4.04,23.04,6.72,0,63.42,50,16.04,100,190.26,17.28,16.04,5.76,25.11,25.11,754.65

90,22:15-22:30,0,0,24,24,40.31,0.53,47.99,0,0,0,0,75,4.04,23.04,6.72,0,63.42,50,16.04,100,190.26,17.28,16.04,5.76,25.11,25.11,754.65

91,22:30-22:45,0,0,24,24,40.31,0.53,47.99,0,0,0,0,75,4.04,23.04,6.72,0,63.42,50,16.04,100,190.26,17.28,16.04,5.76,25.24,25.24,754.91

92,22:45-23:00,0,0,24,24,40.31,0.53,47.99,0,0,0,0,75,4.04,23.04,6.72,0,63.42,50,16.04,100,190.26,17.28,16.04,5.76,25.24,25.24,754.91

93,23:00-23:15,0,0,24,24,40.31,0.48,47.99,0,0,0,0,75,4.04,23.04,6.72,0,63.42,50,16.04,0,190.26,17.28,16.04,5.76,27,27,658.3799999999999

94,23:15-23:30,0,0,24,24,40.31,0.48,47.99,0,0,0,0,75,4.04,23.04,6.72,0,63.42,50,16.04,0,190.26,17.28,16.04,5.76,27,27,658.3799999999999

95,23:30-23:45,0,0,24,24,40.31,0.48,47.99,0,0,0,0,75,4.04,23.04,6.72,0,63.42,50,16.04,0,190.26,17.28,16.04,5.76,27,27,658.3799999999999

96,23:45-24:00,0,0,24,24,40.31,0.48,47.99,0,0,0,0,75,4.04,23.04,6.72,0,63.42,50,16.04,0,190.26,17.28,16.04,5.76,27,27,658.3799999999999

