Time,Block,NR/2023/13165/A,NR/2023/16291/F,NR/2023/17003/C,NR/2023/13254/A,NR/2023/16291/F/II,NR/2023/13253/A,NR/2023/13387/A,NR/2023/17029/C,NR/2023/15770/A,NR/2023/13242/A,NR/2023/16073/A,NR/2023/13385/A,NR/2023/13150/A,NR/2023/16191/A,NR/2023/16914/D,NR/2023/17008/C,NR/2023/16995/C,NR/2023/16077/A,NR/2023/13636/A,NR/2023/13383/A,NR/2023/13376/A,NR/2023/16865/F,NR/2023/13148/A,NR/2023/13908/A,NR/2023/16185/A,NR/2023/16520/F,NR/2023/16912/D,NR/2023/16437/F,NR/2023/13519/A,ER/2023/10818/C,NR/2023/16998/C,NR/2023/16991/D,WR/2023/19067/C,Total

3,00:30-00:45,22.310000,0.810000,10.000000,19.690000,0.060000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,4.040000,107.980000,19.230000,46.280000,20.370000,0.000000,36.610000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,25.000000,0,0,82.000000,1430.2

4,00:45-01:00,22.310000,0.810000,10.000000,19.690000,0.060000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,4.040000,107.980000,19.230000,46.280000,20.370000,0.000000,36.610000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,25.000000,0,0,82.000000,1430.2

5,01:00-01:15,22.310000,0.470000,9.910000,19.690000,0.160000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,4.040000,107.980000,19.230000,46.280000,20.370000,0.000000,36.610000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,25.000000,0,0,82.000000,1429.87

6,01:15-01:30,22.310000,0.470000,9.910000,19.690000,0.160000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,4.040000,107.980000,19.230000,46.280000,20.370000,0.000000,36.610000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,25.000000,0,0,82.000000,1429.87

7,01:30-01:45,22.310000,0.470000,9.910000,19.690000,0.160000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,4.040000,107.980000,19.230000,46.280000,20.370000,0.000000,36.610000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,25.000000,0,0,82.000000,1429.87

8,01:45-02:00,22.310000,0.470000,9.910000,19.690000,0.160000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,4.040000,107.980000,19.230000,46.280000,20.370000,0.000000,36.610000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,25.000000,0,0,82.000000,1429.87

9,02:00-02:15,22.310000,0.630000,9.820000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,4.040000,107.980000,19.230000,46.280000,20.370000,0.000000,36.610000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,25.000000,0,0,82.000000,1429.78

10,02:15-02:30,22.310000,0.630000,9.820000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,4.040000,107.980000,19.230000,46.280000,20.370000,0.000000,36.610000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,25.000000,0,0,82.000000,1429.78

11,02:30-02:45,22.310000,0.630000,9.820000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,4.040000,107.980000,19.230000,46.280000,20.370000,0.000000,36.610000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,25.000000,0,0,82.000000,1429.78

12,02:45-03:00,22.310000,0.630000,9.820000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,4.040000,107.980000,19.230000,46.280000,20.370000,0.000000,36.610000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,25.000000,0,0,82.000000,1429.78

13,03:00-03:15,22.310000,0.630000,9.720000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,107.980000,19.230000,46.280000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,25.000000,0,0,82.000000,1333.42

14,03:15-03:30,22.310000,0.630000,9.720000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,107.980000,19.230000,46.280000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,25.000000,0,0,82.000000,1333.42

15,03:30-03:45,22.310000,0.630000,9.720000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,107.980000,19.230000,46.280000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,25.000000,0,0,82.000000,1333.42

16,03:45-04:00,22.310000,0.630000,9.720000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,107.980000,19.230000,46.280000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,25.000000,0,0,82.000000,1333.42

17,04:00-04:15,22.310000,0.580000,9.630000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,107.980000,19.230000,46.280000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,25.000000,0,0,82.000000,1333.28

18,04:15-04:30,22.310000,0.580000,9.630000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,107.980000,19.230000,46.280000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,25.000000,0,0,82.000000,1333.28

19,04:30-04:45,22.310000,0.580000,9.630000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,107.980000,19.230000,46.280000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,25.000000,0,0,82.000000,1333.28

20,04:45-05:00,22.310000,0.580000,9.630000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,107.980000,19.230000,46.280000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,25.000000,0,0,82.000000,1333.28

21,05:00-05:15,22.310000,0.580000,9.540000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,107.980000,19.230000,46.280000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,25.000000,0,0,82.000000,1303.5

22,05:15-05:30,22.310000,0.580000,9.540000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,107.980000,19.230000,46.280000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,25.000000,0,0,82.000000,1303.5

23,05:30-05:45,22.310000,0.580000,9.540000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,107.980000,19.230000,46.280000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,25.000000,0,0,82.000000,1303.5

24,05:45-06:00,22.310000,0.580000,9.540000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,107.980000,19.230000,46.280000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,25.000000,0,0,82.000000,1303.5

25,06:00-06:15,22.310000,0.680000,9.450000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,0.000000,19.230000,0.000000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,25.000000,0,0,0.000000,1067.25

26,06:15-06:30,22.310000,0.680000,9.450000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,0.000000,19.230000,0.000000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,25.000000,0,0,0.000000,1067.25

27,06:30-06:45,22.310000,0.680000,9.450000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,0.000000,19.230000,0.000000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,25.000000,0,0.16,0.000000,1067.41

28,06:45-07:00,22.310000,0.680000,9.450000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,0.000000,19.230000,0.000000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,25.000000,0,0.56,0.000000,1067.81

29,07:00-07:15,22.310000,0.680000,9.270000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,0.000000,19.230000,0.000000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,0,0.93,0.000000,1043

30,07:15-07:30,22.310000,0.680000,9.270000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,0.000000,19.230000,0.000000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,0,1.51,0.000000,1043.58

31,07:30-07:45,22.310000,0.680000,9.270000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,0.000000,19.230000,0.000000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,0,2.12,0.000000,1044.19

32,07:45:08:00,22.310000,0.680000,9.270000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,3.030000,0.000000,19.230000,0.000000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,0,2.84,0.000000,1044.91

33,08:00-08:15,22.310000,0.970000,9.080000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,2.020000,0.000000,19.230000,0.000000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,0,3.43,0.000000,1044.59

34,08:15-08:30,22.310000,0.970000,9.080000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,2.020000,0.000000,19.230000,0.000000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,0,4.19,0.000000,1045.35

35,08:30-08:45,22.310000,0.970000,9.080000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,2.020000,0.000000,19.230000,0.000000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,0,4.78,0.000000,1045.94

36,08:45:09:00,22.310000,0.970000,9.080000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,2.020000,0.000000,19.230000,0.000000,20.370000,0.000000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,0,5.42,0.000000,1046.58

37,09:00:09:15,22.310000,0.970000,8.890000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,5.050000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,5.92,0.000000,1074.18

38,09:15-09:30,22.310000,0.970000,8.890000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,5.050000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,6.09,0.000000,1074.35

39,09:30-09:45,22.310000,0.970000,8.890000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,5.050000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,6.32,0.000000,1074.58

40,09:45-10:00,22.310000,0.970000,8.890000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,5.050000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,6.65,0.000000,1074.91

41,10:00-10:15,22.310000,0.970000,8.890000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,5.050000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,6.38,0.000000,1074.64

42,10:15-10:30,22.310000,0.970000,8.890000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,5.050000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,6.93,0.000000,1075.19

43,10:30-10:45,22.310000,0.970000,8.890000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,5.050000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,6.62,0.000000,1074.88

44,10:45-11:00,22.310000,0.970000,8.890000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,5.050000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,7.13,0.000000,1075.39

45,11:00-11:15,22.310000,0.970000,8.980000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,6.74,0.000000,1098.13

46,11:15-11:30,22.310000,0.970000,8.980000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,8.29,0.000000,1099.68

47,11:30-11:45,22.310000,0.970000,8.980000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,7.16,0.000000,1098.55

48,11:45-12:00,22.310000,0.970000,8.980000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,5.73,0.000000,1097.12

49,12:00-12:15,22.310000,0.970000,9.080000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,6.92,0.000000,1098.41

50,12:15-12:30,22.310000,0.970000,9.080000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,8.69,0.000000,1100.18

51,12:30-12:45,22.310000,0.970000,9.080000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,9.22,0.000000,1100.71

52,12:45-13:00,22.310000,0.970000,9.080000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,8,0.000000,1099.49

53,13:00-13:15,22.310000,0.970000,9.170000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,7.93,0.000000,1099.51

54,13:15-13:30,22.310000,0.970000,9.170000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,8.63,0.000000,1100.21

55,13:30-13:45,22.310000,0.970000,9.170000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,7,0.000000,1098.58

56,13:45-14:00,22.310000,0.970000,9.170000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,0.000000,0.000000,16.01,6.92,0.000000,1098.5

57,14:00-14:15,22.310000,0.970000,9.350000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,0.000000,16.01,8.44,0.000000,1158.84

58,14:15-14:30,22.310000,0.970000,9.350000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,0.000000,16.01,7.17,0.000000,1157.57

59,14:30-14:45,22.310000,0.970000,9.350000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,0.000000,16.01,5.26,0.000000,1155.66

60,14:45-15:00,22.310000,0.970000,9.350000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,0.000000,16.01,6.92,0.000000,1157.32

61,15:00-15:15,22.310000,0.870000,9.540000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,0.000000,16.01,5.82,0.000000,1156.31

62,15:15-15:30,22.310000,0.870000,9.540000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,0.000000,16.01,6.6,0.000000,1157.09

63,15:30-15:45,22.310000,0.870000,9.540000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,0.000000,16.01,4.26,0.000000,1154.75

64,15:45-16:00,22.310000,0.870000,9.540000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,18.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,0.000000,16.01,6.13,0.000000,1156.62

65,16:00-16:15,22.310000,0.820000,9.820000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,0.000000,16.01,4.42,0.000000,1137.14

66,16:15-16:30,22.310000,0.820000,9.820000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,0.000000,16.01,2.31,0.000000,1135.03

67,16:30-16:45,22.310000,0.820000,9.820000,19.690000,0.000000,48.510000,100.420000,0.000000,63.060000,0.000000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,10.090000,0.000000,19.230000,0.000000,20.370000,8.250000,0.000000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,0.000000,16.01,2.49,0.000000,1135.21

