Column1,Time,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,GNARE/NR/2024/12/20/3668,GNA/NR/2025/03/01/9482,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/3469,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,GNA/WR/2025/01/01/9606,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/8036,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,GNA/NR/2025/03/01/1906,NR/01102023/30042040/GNA_LT_36,GNA/SR/2025/03/01/7500,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/6891,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/4651,GNA/WR/2025/01/01/8625
23,05:30-05:45,2.58,0,41.67,21.17,63.49,0,15,21.17,41.66,0,0,0,0,0,0,0,0,0,0,0,17.35,31.29,6.27,6.75,0,32,0,1.95,0,2.3,23.41,23.41,0,272.49,1.69,260.78,115.26,23.41,0,0,42,237.82,79.27,86.93,32,8.67,0

24,05:45-06:00,2.74,0,41.33,21.67,64.99,0,15,21.67,41.34,0,0,0,0,0,0,0,0,0,0,0,17.35,31.29,6.27,6.75,0,32,0,1.95,0,2.3,23.41,23.41,0,272.49,1.69,260.78,115.26,23.41,0,0,42,237.82,79.27,86.93,32,8.67,0

25,06:00-06:15,2.74,8.11,33,17.5,52.5,7.64,15,17.5,33,0,0,0,0,0,0,0,0,0,0,0,17.35,31.29,6.18,6.75,0,32,0,1.78,0,2.23,23.41,23.41,0,272.49,1.69,260.78,115.26,23.41,0,0,42,0,0,86.93,32,8.67,0

26,06:15-06:30,2.58,15.6,32,17.5,52.5,15.16,14.34,17.5,32,0.08,0,0,0,0,0,0,0,0,0,0,17.35,30.78,6.18,6.75,0,32,0,1.78,0,2.23,23.41,23.41,0,272.49,1.69,260.78,115.26,23.41,0,0,42,0,0,86.93,32,8.67,0

27,06:30-06:45,2.58,23.1,32,17.5,52.5,22.44,11,17.5,32,3.42,1,0,0,0,0,0,0,0,0,0.04,17.35,30.28,6.18,6.75,0,32,0,1.78,0,2.23,23.41,23.41,0,272.49,1.69,260.78,115.26,23.41,0,0,42,0,0,86.93,32,8.67,0

28,06:45-07:00,2.58,29.2,32,17.5,52.5,29,11,17.5,32,8.53,4,1,2,1,0.23,0,1.12,1,1,0.08,17.35,29.27,6.18,6.75,0,32,0,1.78,0,2.23,23.41,23.41,0,272.49,1.69,260.78,115.26,23.41,0,0,42,0,0,86.93,32,8.67,0

29,07:00-07:15,2.74,32.4,27.33,14,42,32.41,11,14,27.34,15.31,9,4,3,3,0.91,1,4.55,7,3,0.4,17.35,29.27,6.09,6.75,0.12,32,0.12,1.78,0,2.23,28.91,28.91,0,272.49,1.59,260.78,106.75,28.91,0.12,0,0,0,0,86.93,32,8.67,0

30,07:15-07:30,2.76,32.71,29,14,42,32.72,11,14,29,23.8,14,7,7,5,2.05,3,10.23,10,5,2.83,17.35,28.77,6.09,6.75,0.26,32,0.26,1.78,0,2.23,28.91,28.91,0,272.49,1.59,260.78,98.25,28.91,0.26,0,0,0,0,86.93,32,8.67,0

31,07:30-07:45,2.76,33,32,14,42,33,11,14,32,33.48,22,14,11,5,3.64,6,18.2,10,9,5.83,17.35,28.77,6.09,6.75,1.12,32,1.12,1.78,0,2.23,28.91,28.91,0,272.49,1.59,260.78,89.75,28.91,1.12,0,0,0,0,86.93,32,8.67,0

32,07:45-08:00,2.8,31.9,36.67,14,42,31.9,11,14,36.66,43.76,28,25,18,8,7.92,10,39.59,17,14,13.2,17.35,28.77,6.09,6.75,2.34,32,2.34,1.78,0,2.23,28.91,28.91,0,272.49,1.59,260.78,81.25,28.91,2.34,0,0,0,0,86.93,32,8.67,0

33,08:00-08:15,2.58,33,20,14,42,33,11,14,20,54.15,33,56,28,17,12.41,24,62.03,33,20,23.5,17.35,28.77,6.09,6.75,3.79,32,3.79,1.78,0,2.3,31.8,31.8,0,231.29,1.59,212.59,72.74,31.8,3.79,0,0,0,0,63.24,32,8.67,0

34,08:15-08:30,2.58,33,20,14,42,33,9.66,14,20,64.58,33,70,38,20,16.72,30,83.61,40,25,31.77,17.35,28.77,6.09,6.75,5.29,32,5.29,1.78,0,2.3,31.8,31.8,0,192.74,1.59,194.89,70.28,31.8,5.29,0,0,0,0,63.24,32,8.67,0

35,08:30-08:45,2.58,33,20,12,36,33,8,12,20,74.54,33,88,47,25,21.68,37,108.42,50,29,40.54,17.35,28.77,6.09,6.75,6.79,32,6.79,1.78,0,2.3,31.8,31.8,0,149.86,1.59,194.89,70.28,31.8,6.79,0,0,0,0,63.24,32,8.67,0

36,08:45-09:00,2.58,33,20,12,36,33,7.34,12,20,84.24,33,105,55,28,25.75,45,128.72,57,32,49.05,17.35,28.77,6.09,6.75,8.31,32,8.31,1.78,0,2.3,31.8,31.8,0,149.86,1.59,194.89,70.28,31.8,8.31,0,0,0,0,63.24,32,8.67,0

37,09:00-09:15,2.58,33,14,10.83,32.51,33,7.34,10.83,14,93.57,33,123,63,32,32.36,52,161.8,63,34,57.34,17.35,29.27,5.99,6.75,9.82,32,9.82,1.78,0,2.3,31.8,31.8,0,149.86,1.59,194.89,70.28,31.8,9.82,0,0,0,0,63.24,32,8.67,0

38,09:15-09:30,2.58,33,14,11,33,33,7.34,11,14,102.21,33,140,70,35,36,60,179.99,70,36,65.15,17.35,29.27,5.99,6.75,11.09,32,11.09,1.78,0,2.3,31.8,31.8,0,149.86,1.59,194.89,70.28,31.8,11.09,0,0,0,0,63.24,32,8.67,0

39,09:30-09:45,2.58,33,14,7.83,23.51,33,7.34,7.83,14,110.28,33,154,77,38,39.54,66,197.7,77,39,72.4,17.35,29.27,5.99,6.75,12.31,25.87,12.31,1.78,0,2.3,31.8,31.8,0,149.86,1.59,163.83,70.28,31.8,12.31,0,0,0,0,42.4,32,8.67,0

40,09:45-10:00,2.58,33,14,8.5,25.5,33,7.34,8.5,14,117.66,33,168,83,41,43.04,72,215.2,83,41,78.84,17.35,29.27,5.99,6.75,13.34,25.87,13.34,1.78,0,2.3,31.8,31.8,0,149.86,1.59,134.92,70.28,31.8,13.34,0,0,0,0,42.4,32,8.67,0

41,10:00-10:15,2.58,33,14,7.5,22.5,33,7.34,7.5,14,124.22,33,182,87,45,45.91,78,229.56,90,43,90.91,17.35,29.27,5.91,6.75,14.47,25.87,14.47,2.18,0,2.46,31.8,31.8,0,192.74,1.69,134.92,70.28,31.8,14.47,0,0,0,0,42.4,32,8.67,0

42,10:15-10:30,2.58,33,14,7.5,22.5,33,7.34,7.5,14,129.84,33,193,91,47,48.57,82,242.84,93,45,95,17.35,29.27,5.91,6.75,15.29,25.87,15.29,2.18,0,2.46,31.8,31.8,0,231.29,1.69,134.92,70.28,31.8,15.29,0,0,0,0,42.4,32,8.67,0

43,10:30-10:45,2.58,33,14,7.5,22.5,33,3.34,7.5,14,134.71,33,200,94,48,49.17,85,245.83,97,48,98.33,17.35,29.27,5.91,6.75,16.03,25.87,16.03,2.18,0,2.46,31.8,31.8,0,231.29,1.69,134.92,70.28,31.8,16.03,0,0,0,0,42.4,32,8.67,0

44,10:45-11:00,2.58,33,14,7.5,22.5,33,3.34,7.5,14,138.52,33,203,95,50,49.17,87,245.83,100,48,100,17.35,29.27,5.91,6.75,16.71,25.87,16.71,2.18,0,2.46,31.8,31.8,0,231.29,1.69,134.92,70.28,31.8,16.71,0,0,0,0,42.4,32,8.67,0

45,11:00-11:15,2.58,33,14,7.5,22.5,33,3.34,7.5,14,141.78,33,207,98,50,49.17,88,245.83,100,49,100,17.35,29.27,6.18,6.75,17.32,25.87,17.32,2.18,0,2.3,36.62,36.62,0,231.29,1.69,134.92,70.28,36.62,17.32,0,0,0,0,42.4,32,8.67,0

46,11:15-11:30,2.58,33,14,7.5,22.5,33,3.34,7.5,14,144.5,33,210,98,50,49.17,90,245.83,100,49,100,17.35,29.27,6.18,6.75,17.86,25.87,17.86,2.18,0,2.3,36.62,36.62,0,231.29,1.69,134.92,70.28,36.62,17.86,0,0,0,0,42.4,32,8.67,0

47,11:30-11:45,2.58,33,14,7.5,22.5,33,6,7.5,14,146.66,33,210,98,50,49.17,90,245.83,100,49,100,17.35,29.78,6.18,6.75,17.86,25.87,17.86,2.18,0,2.3,36.62,36.62,0,192.74,1.69,134.92,70.28,36.62,17.86,0,0,0,0,42.4,32,8.67,0

48,11:45-12:00,2.58,33,14,7.5,22.5,33,6,7.5,14,148.43,33,210,98,50,49.17,90,245.83,100,50,100,17.35,29.78,6.18,6.75,17.86,25.87,17.86,2.18,0,2.3,36.62,36.62,0,149.86,1.69,134.92,70.28,36.62,17.86,0,0,0,0,42.4,32,8.67,0

49,12:00-12:15,2.58,33,14,7.5,22.5,33,6,7.5,14,149.92,33,210,98,50,49.17,90,245.83,100,50,100,17.35,30.78,6.18,6.75,17.86,25.87,17.86,2.33,0,2.38,36.62,36.62,0,149.86,1.77,134.92,70.28,36.62,17.86,0,0,0,0,42.4,32,8.67,0

50,12:15-12:30,2.58,33,14,7.5,22.5,33,6,7.5,14,150.6,33,210,98,50,49.17,90,245.83,100,50,100,17.35,30.78,6.18,6.75,17.86,25.87,17.86,2.33,0,2.38,36.62,36.62,0,149.86,1.77,134.92,70.28,36.62,17.86,0,0,0,0,42.4,32,8.67,0

51,12:30-12:45,2.74,33,19,7.5,22.5,33,6,7.5,19,150.74,33,210,98,50,49.17,90,245.83,100,50,100,17.35,30.78,6.18,6.75,17.86,25.87,17.86,2.33,0,2.38,36.62,36.62,0,149.86,1.77,134.92,70.28,36.62,17.86,0,0,0,0,42.4,32,8.67,0

52,12:45-13:00,2.82,33,18.33,7.5,22.5,33,6,7.5,18.34,150.46,33,210,98,50,49.17,90,245.83,100,50,100,17.35,30.78,6.18,6.75,17.86,25.87,17.86,2.33,0,2.38,36.62,36.62,0,149.86,1.77,134.92,70.28,36.62,17.86,0,0,0,0,42.4,32,8.67,0

53,13:00-13:15,2.88,33,17,7.5,22.5,33,6,7.5,17,149.34,33,210,98,50,49.17,90,245.83,100,50,100,17.35,29.78,6.09,6.75,17.86,25.87,17.86,2.33,0,2.53,36.62,36.62,0,149.86,1.77,134.92,70.28,36.62,17.86,0,0,0,0,42.4,32,8.67,0

54,13:15-13:30,2.9,33,16.33,7.5,22.5,33,6,7.5,16.34,153.81,33,210,98,50,49.17,90,245.83,100,50,100,17.35,29.78,6.09,6.75,17.86,25.87,17.86,2.33,0,2.53,36.62,36.62,0,149.86,1.77,134.92,70.28,36.62,17.86,0,0,0,0,42.4,32,8.67,0

55,13:30-13:45,7.6,33,15.67,7.5,22.5,33,6,7.5,15.66,153.81,33,210,98,50,49.17,90,245.83,100,50,100,17.35,29.78,6.09,6.75,17.86,25.87,17.86,2.33,0,2.53,36.62,36.62,0,149.86,1.77,134.92,70.28,36.62,17.86,0,0,0,0,42.4,32,8.67,0

56,13:45-14:00,7.6,33,15.67,7.5,22.5,33,6,7.5,15.66,149.33,33,210,98,50,49.17,90,245.83,100,49,100,17.35,29.78,6.09,6.75,17.86,25.87,17.86,2.33,0,2.53,36.62,36.62,0,149.86,1.77,163.83,70.28,36.62,17.86,0,0,0,0,42.4,32,8.67,0

57,14:00-14:15,9,33,15,7.5,22.5,33,8.34,7.5,15,146.71,33,210,97,49,49.17,90,245.83,98,48,100,17.35,29.78,6.09,6.75,17.86,25.87,17.86,2.49,0,2.69,36.62,36.62,0,149.86,1.77,194.89,70.28,36.62,17.86,0,0,0,0,63.24,32,8.67,0

58,14:15-14:30,11,33,14.67,7.5,22.5,33,8,7.5,14.66,143.3,33,210,95,48,49.17,90,245.83,95,48,100,17.35,30.28,6.09,6.75,17.41,25.87,17.41,2.49,0,2.69,36.62,36.62,0,149.86,1.87,194.89,70.28,36.62,17.41,0,0,0,0,63.24,32,8.67,0

59,14:30-14:45,9,33,14,7.5,22.5,33,7.66,7.5,14,138.33,33,196,93,46,49.17,84,245.83,92,47,100,17.35,30.78,6.09,6.75,16.72,25.87,16.72,2.49,0,2.69,36.62,36.62,0,149.86,1.87,194.89,70.28,36.62,16.72,0,0,0,0,63.24,32,8.67,0

60,14:45-15:00,9,33,14,7.5,22.5,33,7.34,7.5,14,127.92,33,189,92,45,49.17,81,245.83,90,45,100,17.35,31.29,6.09,6.75,16.12,25.87,16.12,2.49,0,2.69,36.62,36.62,0,192.74,1.87,194.89,70.28,36.62,16.12,0,0,0,0,63.24,32,8.67,0

61,15:00-15:15,9,33,14,7.5,22.5,33,7,7.5,14,121.69,33,186,90,44,49.14,79,245.71,88,43,99.88,17.35,30.28,5.99,6.75,15.45,25.87,15.45,2.49,0,2.77,36.62,36.62,0,231.29,1.87,194.89,70.28,36.62,15.45,0,0,0,0,63.24,32,8.67,0

62,15:15-15:30,9,33,14,7.5,22.5,33,6.66,7.5,14,114.09,33,175,86,42,46.93,75,234.66,85,41,98.45,17.35,30.78,5.99,6.75,14.62,25.87,14.62,2.49,0,2.77,36.62,36.62,0,272.49,1.87,194.89,70.28,36.62,14.62,0,0,0,0,63.24,32,8.67,0

63,15:30-15:45,9,33,14,7.5,22.5,33,6.34,7.5,14,105.92,33,165,83,40,43.64,70,218.2,80,39,91.29,17.35,30.78,5.99,6.75,13.7,25.87,13.7,2.49,0,2.77,36.62,36.62,0,272.49,1.87,194.89,70.28,36.62,13.7,0,0,0,0,63.24,32,8.67,0

64,15:45-16:00,9,33,14,7.5,22.5,33,6,7.5,14,97.16,33,154,76,37,41.05,66,205.23,73,36,86.59,17.35,30.78,5.99,6.75,12.64,25.87,12.64,2.49,0,2.77,36.62,36.62,0,272.49,1.87,194.89,70.28,36.62,12.64,0,0,0,0,63.24,32,8.67,0

65,16:00-16:15,13.01,33,14,7.5,22.5,33,6,7.5,14,87.13,33,140,68,33,37.87,60,189.36,67,34,79.84,17.35,31.29,5.99,6.75,11.55,25.87,11.55,2.64,0,2.92,36.62,36.62,0,272.49,1.97,167.39,70.28,36.62,11.55,0,0,0,0,55.58,32,8.67,0

66,16:15-16:30,12.81,33,14,7.5,22.5,33,6,7.5,14,77.78,33,123,62,30,34.01,52,170.06,60,30,73.89,17.35,31.29,5.99,6.75,10.29,25.87,10.29,2.64,0,2.92,36.62,36.62,0,272.49,1.97,167.39,70.28,36.62,10.29,0,0,0,0,55.58,32,8.67,0

67,16:30-16:45,12.81,33,14,7.5,22.5,33,6,7.5,14,67.66,33,105,54,27,30.59,45,152.93,53,27,65.76,17.35,31.29,5.99,6.75,7.94,25.87,7.94,2.64,0,2.46,36.62,36.62,0,272.49,1.97,167.39,70.28,36.62,7.94,0,0,0,0,55.58,32,8.67,0

68,16:45-17:00,12.41,33,14,7.5,22.5,33,6,7.5,14,55.39,33,88,45,22,26.14,37,130.7,44,25,59.83,17.35,31.29,5.99,6.75,6.72,25.62,6.72,2.64,0,2.46,36.62,36.62,0,272.49,1.97,200.81,70.28,36.62,6.72,0,0,0,0,66.09,32,8.67,0

69,17:00-17:15,11.81,33,14,7.5,22.5,33,6,7.5,14,43.52,32,70,37,17,22.19,30,110.93,33,21,49.43,17.35,31.29,6.09,6.75,5.41,25.51,5.41,2.64,0,2.46,36.62,36.62,0,272.49,1.97,260.78,70.28,36.62,5.41,0,0,0,0,86.93,32,8.67,100

70,17:15-17:30,11.41,33,14,7.5,22.5,32.23,6,7.5,14,32.22,16,53,31,12,18.71,22,93.55,23,16,42.09,17.35,31.29,6.09,6.75,4.06,25.51,4.06,2.64,0,2.46,36.62,36.62,0,272.49,1.97,260.78,66.13,36.62,4.06,0,0,0,0,86.93,32,8.67,100

71,17:30-17:45,11.21,21.01,14,7.5,22.5,19.77,6,7.5,14,21.42,7,35,22,9,14.17,15,70.88,17,9,32.82,17.35,31.29,6.09,6.75,2.82,25.51,2.82,2.64,0,2.46,36.62,36.62,0,272.49,1.97,260.78,66.13,36.62,2.82,0,0,0,0,86.93,32,8.67,100

72,17:45-18:00,11,11.44,14,7.5,22.5,10.36,6,7.5,14,11.97,1,18,13,5,10.29,7,51.45,10,7,24.39,17.35,31.29,6.09,6.75,1.65,15.39,1.65,2.64,0,2.46,36.62,36.62,0,272.49,1.97,260.78,66.13,36.62,1.65,0,0,0,0,86.93,32,8.67,100

73,18:00-18:15,10.4,0,14,7.5,22.5,0,6,7.5,14,4.96,0,7,8,3,6.69,3,33.48,5,5,16.39,17.35,31.29,6.27,6.75,0.81,15.39,0.81,2.72,50,2.69,36.62,36.62,0,272.49,1.97,260.78,74.63,36.62,0.81,0,0,0,0,86.93,32,0,100

74,18:15-18:30,10,0,14,7.5,22.5,0,6,7.5,14,3.6,0,4,5,1,3.82,1,19.09,2,3,10.39,17.35,31.29,6.27,6.75,0.25,0,0.25,2.72,50,2.69,36.62,36.62,0,272.49,1.97,260.78,83.14,36.62,0.25,0,0,0,0,86.93,32,0,100

75,18:30-18:45,9.8,0,14,7.5,22.5,0,6.34,7.5,14,1.17,0,1,2,0,1.73,0,8.64,1,1,5.39,17.35,31.29,6.27,6.75,0.05,31,0.05,2.72,50,2.69,36.62,36.62,0,272.49,1.97,260.78,115.26,36.62,0.05,50,0,0,0,86.93,31,0,100

76,18:45-19:00,9.6,0,14,7.5,22.5,0,7,7.5,14,0,0,0,1,0,0.42,0,2.1,0,0,0.29,17.35,31.29,6.27,6.75,0.04,31,0.04,2.72,50,2.69,36.62,36.62,0,272.49,1.97,260.78,115.26,36.62,0.04,50,0,0,0,86.93,31,0,100

77,19:00-19:15,9.2,0,14,7.5,22.5,0,7,7.5,14,0,0,0,0,0,0.17,0,0.83,0,0,0.12,17.35,31.29,6.46,6.75,0,31,0,2.72,50,2.69,36.62,36.62,0,272.49,1.97,260.78,115.26,36.62,0,50,0,0,0,86.93,31,0,100

78,19:15-19:30,9,0,14,7.5,22.5,0,7,7.5,14,0,0,0,0,0,0,0,0,0,0,0,17.35,31.29,6.46,6.75,0,31,0,2.72,50,2.69,36.62,36.62,0,272.49,1.97,260.78,115.26,36.62,0,50,0,0,0,86.93,31,0,100

