Time,Block,NR/2023/14815/C,NR/2023/13858/A,NR/2023/14807/D,NR/2023/14187/F,NR/2023/11739/A,NR/2023/13284/A,NR/2023/13859/A,NR/2023/11203/A,NR/2023/13573/A,NR/2023/14804/D,NR/2023/13983/F,NR/2023/11328/A,NR/2023/14688/F,NR/2023/11470/A,NR/2023/11469/A,NR/2023/14688/F/II,NR/2023/14810/C,NR/2023/14797/D,NR/2023/11325/A,NR/2023/14817/C,NR/2023/11458/A,NR/2023/14824/C,NR/2023/13283/A,NR/2023/11954/A,NR/2023/11654/A,NR/2023/11315/A,NR/2023/11697/A,NR/2023/13983/F/II,NR/2023/12646/A,NR/2023/14812/C,NR/2023/14796/D,NR/2023/14800/D,NR/2023/14803/D,Total
19,04:30-04:45,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.530000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,0.000000,152.410000,22.190000,36.750000,0.000000,0.000000,0.000000,0,0,0,1231.24

20,04:45-05:00,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.530000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,0.000000,152.410000,22.190000,36.750000,0.000000,0.000000,0.000000,0,0,0,1231.24

21,05:00-05:15,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.530000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,36.750000,0.000000,0.000000,0.000000,0,0,0,1132.85

22,05:15-05:30,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.530000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,36.750000,0.000000,0.000000,0.000000,0,0,0,1132.85

23,05:30-05:45,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.530000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,36.750000,0.000000,0.000000,0.000000,0,0,0,1132.85

24,05:45-06:00,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.530000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,36.750000,0.000000,0.000000,0.000000,0,0,0,1132.85

25,06:00-06:15,0.000000,84.400000,0.000000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.680000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,0,0.6,1.4,1012.5

26,06:15-06:30,0.000000,84.400000,0.000000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.680000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,0.1,2.7,6.3,1019.6

27,06:30-06:45,0.000000,84.400000,0.000000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.680000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,0.51,4.5,10.5,1026.01

28,06:45-07:00,0.000000,84.400000,0.000000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.680000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,0.89,7.5,17.5,1036.39

29,07:00-07:15,0.000000,84.400000,0.000000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.680000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,1.31,13.5,31.5,1052.95

30,07:15-07:30,0.000000,84.400000,0.000000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.680000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,1.77,16.5,38.5,1063.41

31,07:30-07:45,0.000000,84.400000,0.000000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.680000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,2.32,21,49,1078.96

32,07:45:08:00,0.000000,84.400000,18.330000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.680000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,2.79,25.5,59.5,1112.76

33,08:00-08:15,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,2.89,30,70,1148.49

34,08:15-08:30,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,3.09,36,84,1168.69

35,08:30-08:45,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,4.05,39,91,1179.65

36,08:45:09:00,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,4.15,43.5,101.5,1194.75

37,09:00:09:15,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,147.350000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,4.24,46.5,108.5,1177.94

38,09:15-09:30,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,147.350000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,4.34,55.5,129.5,1208.04

39,09:30-09:45,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,147.350000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,4.63,59.1,137.9,1220.33

40,09:45-10:00,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,147.350000,24.120000,0.000000,0.000000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,4.82,63,147,1233.52

41,10:00-10:15,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,147.350000,24.120000,0.000000,90.670000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,5.02,67.5,157.5,1339.39

42,10:15-10:30,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,147.350000,24.120000,0.000000,90.670000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,5.11,70.5,164.5,1349.48

43,10:30-10:45,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,147.350000,24.120000,0.000000,90.670000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,5.23,73.5,171.5,1359.6

44,10:45-11:00,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,147.350000,24.120000,0.000000,90.670000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,5.29,73.5,171.5,1359.66

45,11:00-11:15,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,147.350000,24.120000,0.000000,90.670000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,5.79,75,175,1365.16

46,11:15-11:30,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,147.350000,24.120000,0.000000,90.670000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,6.27,75,175,1365.64

47,11:30-11:45,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,147.350000,24.120000,0.000000,90.670000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,6.75,75,175,1366.12

48,11:45-12:00,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,147.350000,24.120000,0.000000,90.670000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,6.95,75,175,1366.32

49,12:00-12:15,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,192.920000,24.120000,0.000000,90.670000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,6.95,75,175,1411.89

50,12:15-12:30,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,192.920000,24.120000,0.000000,90.670000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,6.95,75,175,1411.89

51,12:30-12:45,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,192.920000,24.120000,0.000000,90.670000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,7.81,75,175,1412.75

52,12:45-13:00,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,192.920000,24.120000,0.000000,90.670000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,7.81,75,175,1412.75

53,13:00-13:15,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,192.920000,24.120000,0.000000,90.670000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,7.81,75,175,1412.75

54,13:15-13:30,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,192.920000,24.120000,0.000000,90.670000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,7.72,75,175,1412.66

55,13:30-13:45,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,192.920000,24.120000,0.000000,90.670000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,6.95,75,175,1411.89

56,13:45-14:00,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,0.000000,192.920000,24.120000,0.000000,90.670000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,6.27,75,175,1411.21

57,14:00-14:15,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,106.110000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,23.080000,30.000000,5.55,73.5,171.5,1449.46

58,14:15-14:30,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,106.110000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,23.080000,30.000000,5.31,69.9,163.1,1437.22

59,14:30-14:45,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,106.110000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,23.080000,30.000000,4.63,66.6,155.4,1425.54

60,14:45-15:00,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,106.110000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,23.080000,30.000000,3.86,63.6,148.4,1414.77

61,15:00-15:15,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,106.110000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,23.080000,30.000000,3.47,60,140,1402.38

62,15:15-15:30,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,106.110000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,23.080000,30.000000,2.89,58.5,136.5,1396.8

63,15:30-15:45,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,106.110000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,23.080000,30.000000,2.32,54,126,1381.23

64,15:45-16:00,0.000000,84.400000,8.680000,0.000000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.960000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,106.110000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,23.080000,30.000000,2.12,48,112,1361.03

65,16:00-16:15,0.000000,84.400000,8.680000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.820000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,106.110000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,23.080000,30.000000,1.93,45,105,1354.56

66,16:15-16:30,0.000000,84.400000,8.680000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.820000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,106.110000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,23.080000,30.000000,1.91,41.1,95.9,1341.54

67,16:30-16:45,0.000000,84.400000,8.680000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.820000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,106.110000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,23.080000,30.000000,1.84,36,84,1324.47

68,16:45-17:00,0.000000,84.400000,8.680000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,24.120000,0.820000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,106.110000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,23.080000,30.000000,1.45,31.5,73.5,1309.08

