Column1,Block,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/9606,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/03/01/7500,GNA/WR/2025/01/01/8625,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/4651,NR/2025/25159/A/55417,WR/2025/26427/A/55448,WR/2025/26582/A/55631,WR/2025/26499/A/55528,WR/2025/26426/A/55447,NR/2025/25438/C,GNARE/NR/2024/12/20/3668,NR/2025/25437/C,Total
36,08:45-09:00,0,0,7.82,0,0,25.87,32,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.96,0,0,40.37,0,0,33.38,0,269.77000000000004

37,09:00-09:15,0,0,7.73,0,0,25.87,32,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,26.24,42.17,26.53,304.27

38,09:15-09:30,0,0,7.73,0,0,25.87,32,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,34.22,50.96,18.65,313.15999999999997

39,09:30-09:45,0,0,7.73,0,0,25.87,32,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,59.36,14.42,321.56

40,09:45-10:00,0,0,7.73,0,0,25.87,32,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,67.55,14.42,329.75

41,10:00-10:15,0,0,7.55,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,74.56,10.67,328.94

42,10:15-10:30,0,0,7.55,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,80,11.34,335.04999999999995

43,10:30-10:45,0,0,7.55,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,86.79,12.79,343.29

44,10:45-11:00,0,0,7.55,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,92.17,14.32,350.2

45,11:00-11:15,0,0,6.9,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,96.67,14.42,354.15000000000003

46,11:15-11:30,0,0,6.9,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,96.67,14.42,354.15000000000003

47,11:30-11:45,0,0,6.9,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,96.67,14.42,354.15000000000003

48,11:45-12:00,0,0,6.9,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,96.67,14.42,354.15000000000003

49,12:00-12:15,0,0,6.72,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,96.67,14.42,353.97

50,12:15-12:30,0,0,6.72,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,96.67,14.42,353.97

51,12:30-12:45,0,0,6.72,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,96.67,14.42,353.97

52,12:45-13:00,0,0,6.72,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,96.67,14.42,353.97

53,13:00-13:15,0,0,6.54,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,96.67,14.42,353.79

54,13:15-13:30,0,0,6.54,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,96.67,14.42,353.79

55,13:30-13:45,0,0,6.54,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,96.67,14.42,353.79

56,13:45-14:00,0,0,6.54,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,96.67,14.42,353.79

57,14:00-14:15,0,0,6.54,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,100,14.42,357.12

58,14:15-14:30,0,0,6.54,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,100,14.42,357.12

59,14:30-14:45,0,0,6.54,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,99.45,14.42,356.57

60,14:45-15:00,0,0,6.54,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.91,0,0,40.37,0,38.45,96.01,14.42,353.13

61,15:00-15:15,0,0,6.54,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.67,0,0,40.37,0,38.45,90.95,14.42,347.83

62,15:15-15:30,0,0,6.54,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.67,0,0,40.37,0,38.45,85.41,14.42,342.29

63,15:30-15:45,0,0,6.54,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.67,0,0,40.37,0,38.45,75.46,14.42,332.34

64,15:45-16:00,0,0,6.54,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.67,0,0,40.37,0,38.45,70,14.42,326.88

65,16:00-16:15,0,0,6.54,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.53,0,0,40.37,0,37.3,63.55,15.57,320.29

66,16:15-16:30,0,0,6.54,0,0,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.53,0,0,40.37,0,31.15,56.84,21.73,313.59000000000003

67,16:30-16:45,0,0,6.54,0,0,26.99,26.99,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.53,0,0,40.37,0,24.71,49.66,21.53,326.69000000000005

68,16:45-17:00,0,0,6.54,0,0,26.99,26.99,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.53,0,0,40.37,0,18.26,42.53,17.5,309.08000000000004

69,17:00-17:15,0,0,6.54,0,100,26.99,26.99,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.53,0,0,40.37,0,0,35.46,0,366.24999999999994

70,17:15-17:30,0,0,6.54,0,100,26.99,26.99,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.53,0,0,40.37,0,0,28.18,0,358.96999999999997

71,17:30-17:45,0,0,6.54,0,100,26.99,26.99,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.53,0,0,40.37,0,0,17.1,0,347.89

72,17:45-18:00,0,0,6.54,0,100,26.99,26.99,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.53,0,0,40.37,0,0,11.18,0,341.96999999999997

73,18:00-18:15,0,100,6.34,0,100,32,25.87,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.53,0,0,40.37,0,0,6.56,0,441.0399999999999

74,18:15-18:30,0,100,6.34,0,100,32,25.87,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.53,0,0,40.37,0,0,1.97,0,436.44999999999993

75,18:30-18:45,0,100,6.34,50,100,32,32,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.53,0,0,40.37,0,0,0.78,0,491.39

76,18:45-19:00,0,100,6.34,50,100,32,32,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.53,0,0,40.37,0,0,0,0,490.61

77,19:00-19:15,0,100,6.34,50,100,32,32,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.62,0,0,40.37,0,0,0,0,490.70000000000005

78,19:15-19:30,0,100,6.34,50,100,32,32,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.62,0,0,40.37,0,0,0,0,490.70000000000005

79,19:30-19:45,0,100,6.34,50,100,31,31,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.62,0,0,40.37,0,0,0,0,488.70000000000005

80,19:45-20:00,0,100,6.34,50,100,32,32,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.62,0,0,40.37,0,0,0,0,490.70000000000005

81,20:00-20:15,0,100,6.34,50,100,26.99,26.99,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.62,0,0,40.37,48.06,0,0,0,528.74

82,20:15-20:30,0,100,6.34,50,100,26.99,26.99,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.62,0,0,40.37,48.06,0,0,0,528.74

83,20:30-20:45,0,100,6.34,50,100,26.99,26.99,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.62,0,0,40.37,48.06,0,0,0,528.74

84,20:45-21:00,0,100,6.34,50,100,26.99,26.99,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.62,0,0,40.37,48.06,0,0,0,528.74

85,21:00-21:15,0,100,6.34,50,100,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.62,0,0,40.37,48.06,0,0,0,501.82000000000005

86,21:15-21:30,0,100,6.34,50,100,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.62,0,0,40.37,48.06,0,0,0,501.82000000000005

87,21:30-21:45,0,100,6.34,50,100,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.62,0,0,40.37,48.06,0,0,0,501.82000000000005

88,21:45-22:00,0,100,6.34,50,100,26.99,26.99,23.07,23.07,0,0,23.07,17.3,8.65,7.29,0.62,0,0,40.37,48.06,0,0,0,501.82000000000005

89,22:00-22:15,0,100,6.34,50,100,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.53,24.03,24.03,40.37,48.06,0,0,0,803.4699999999998

90,22:15-22:30,0,100,6.34,50,100,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.53,24.03,24.03,40.37,48.06,0,0,0,803.4699999999998

91,22:30-22:45,0,100,6.34,50,100,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.53,24.03,24.03,40.37,48.06,0,0,0,803.4699999999998

92,22:45-23:00,0,100,6.34,50,100,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.53,24.03,24.03,40.37,48.06,0,0,0,803.4699999999998

93,23:00-23:15,0,100,6.34,50,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.48,24.03,24.03,40.37,48.06,0,0,0,703.4199999999998

94,23:15-23:30,0,100,6.34,50,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.48,24.03,24.03,40.37,48.06,0,0,0,703.4199999999998

95,23:30-23:45,0,100,6.34,50,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.48,24.03,24.03,40.37,48.06,0,0,0,703.4199999999998

96,23:45-24:00,0,100,6.34,50,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.48,24.03,24.03,40.37,48.06,0,0,0,703.4199999999998

