Block,Time Block,MAPS,NLCIIST1,NJPC,NLCIIST2,KOTESHWR,NAPP,NLCTS2EXP,KUDGI,NNTPP,NLCEXP,RAPPB,RIHAND2,SASAN,RIHAND1,RAMPUR,SIMHST1,SINGRAULI,RSTPSU1TO6,RAPPC,SIMHST2,RSTPSU7,NTPL,SALAL,SEWA2,RIHAND3,PARBATI3,KHSTPP-I,KHSTPP-II,DADRT2,CHAMERA3,JHAJJAR,KGSU1AND2,KGSU3AND4,BRBCL,CHAMERA2,CHAMERA1,BSIUL,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,TALST2,TANAKPUR,TelanganaSTPP,UNCHAHAR3,TALA,UNCHAHAR2,TEHRI,UNCHAHAR1,TANDA2,URI,VALLURNTECL,UNCHAHAR4,URI2,SINGRAULI_HYDRO,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
7,01:30-01:45,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,0,43.67,142.96,217.54,9.33,350.93,0,0,13.17,12.7,0,0,8.78,13.79,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,2.92,40.87,14.39,19.82,0,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,0,43.67,142.96,217.54,9.33,341.29,0,0,14.46,12.7,0,0,8.78,13.79,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,2.92,40.87,14.39,19.82,0,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,25.2,0,119.84,0,43.67,142.96,182.35,9.33,283.75,0,0,14.46,12.7,0,0,8.78,13.79,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,2.92,36.28,14.39,17.68,0,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,76.52,0,119.84,0,43.67,142.96,181.79,9.33,264.47,0,0,13.63,12.7,0,0,8.78,13.79,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,2.92,36.28,14.39,17.68,0,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,76.52,0,119.84,0,43.67,142.96,181.79,9.33,171.59,0,0,13.65,12.7,0,0,8.78,13.79,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,3.07,22.81,14.39,11.58,0,5.32,0,0,5.19,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,76.52,0,119.84,0,38.09,142.96,181.79,9.33,171.59,0,0,14.46,12.7,0,0,8.78,12.7,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,3.07,22.81,14.39,11.58,0,5.32,0,0,5.19,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,76.52,0,119.84,0,38.09,142.96,181.79,9.33,171.59,0,0,12.73,12.7,0,0,8.78,12.7,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,3.07,22.81,14.39,11.58,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,76.52,0,119.84,0,38.09,142.96,181.79,9.33,171.59,0,0,12.45,12.7,0,0,8.78,12.7,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,3.07,22.81,14.39,11.58,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,76.52,0,119.84,0,38.09,142.96,181.79,9.33,171.59,0,0,12.92,12.7,0,0,8.78,12.7,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,3.07,22.81,14.39,11.58,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,25.2,0,119.84,0,38.09,142.96,181.79,9.33,171.59,0,0,12.92,12.7,0,0,8.78,12.7,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,3.07,22.81,14.39,11.58,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,0,38.09,142.96,181.79,9.33,171.59,0,0,12.92,12.7,0,0,8.78,12.7,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,3.07,22.81,14.39,11.58,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,0,38.09,142.96,181.79,9.33,171.59,0,0,12.92,12.7,0,0,8.78,12.7,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,3.07,22.81,14.39,11.58,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,0,38.09,142.96,181.79,9.33,171.59,0,0,12.92,12.7,0,0,8.78,12.7,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,3.07,22.81,14.39,11.58,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,0,38.09,142.96,181.79,9.33,171.59,0,0,12.92,12.7,0,0,8.78,12.7,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,2.92,22.81,14.39,11.58,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,0,38.09,142.96,181.79,9.33,171.59,0,0,12.92,12.7,0,0,8.78,12.7,47.65,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,2.78,22.81,14.39,11.58,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,2.46,38.09,142.96,181.79,9.33,171.59,0,0,12.92,12.7,0,1.06,8.78,12.7,47.65,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,2.36,22.81,14.39,11.58,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,0,0,67.64,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,4.91,38.09,142.96,181.79,9.33,171.59,0,0,12.92,12.7,0,6.29,17.57,12.7,47.65,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,2.36,22.81,14.39,11.58,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,0,0,85.73,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,31.91,38.09,142.96,181.79,18.66,171.59,0,0,12.92,25.31,11.42,6.29,26.49,12.7,47.65,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.79,22.81,14.39,11.58,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,0,0,112.74,0,9.51,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,31.91,38.09,142.96,181.79,29.46,171.59,0,0,12.92,39.32,13.54,18.86,36.29,12.7,47.65,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,1.79,22.81,30.01,11.58,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

26,06:15-06:30,0,0,112.74,0,9.51,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,31.91,38.09,142.96,181.79,29.46,171.59,0,0,12.92,39.32,13.54,18.86,36.29,12.7,47.65,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,1.49,22.81,30.01,11.58,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

27,06:30-06:45,0,0,112.74,0,9.51,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,31.91,38.09,142.96,181.79,29.46,171.59,0,0,12.92,39.32,13.54,18.86,36.29,12.7,47.65,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.49,22.81,30.01,11.58,0,5.32,0,0,6.48,0,0,0,0,0,0,0,0,0,0

28,06:45-07:00,0,0,112.74,0,9.51,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,31.91,38.09,142.96,181.79,29.46,171.59,0,0,12.92,39.32,13.54,18.86,36.29,12.7,47.65,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.49,22.81,29.58,11.58,0,5.32,0,0,6.48,0,0,0,0,0,0,0,0,0,0

29,07:00-07:15,0,0,112.74,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,31.91,38.09,142.96,181.79,18.66,171.59,0,0,12.92,38.09,11.42,6.29,26.49,12.7,47.65,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.65,22.81,14.39,11.58,0,8.51,0,0,6.48,0,0,0,0,0,0,0,0,0,0

30,07:15-07:30,0,0,85.54,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,4.91,38.09,142.96,181.79,9.33,171.59,0,0,12.92,25.39,0,6.29,17.57,12.7,47.65,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.79,22.81,0,11.58,0,42.57,0,0,6.48,0,0,0,0,0,0,0,0,0,0

31,07:30-07:45,0,0,85.54,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,76.52,0,119.84,2.46,38.09,142.96,181.79,9.33,171.59,0,0,12.92,11.57,0,6.29,17.57,12.7,47.65,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.79,22.81,0,11.58,0,42.57,0,0,5.19,0,0,0,0,0,0,0,0,0,0

32,07:45-08:00,0,0,67.64,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,76.52,0,119.84,0,38.09,142.96,181.79,9.33,171.59,0,0,12.92,11.57,0,6.29,17.57,12.7,47.65,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,2.21,22.81,0,11.58,0,8.51,0,0,5.19,0,0,0,0,0,0,0,0,0,0

33,08:00-08:15,0,0,67.64,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,76.52,0,119.84,0,38.09,142.96,181.79,9.33,171.59,0,0,12.92,11.57,0,6.29,8.78,12.7,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,1.65,22.81,0,11.58,0,5.32,0,0,5.19,0,0,0,0,0,0,0,0,0,0

34,08:15-08:30,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,25.2,0,119.84,0,38.09,142.96,181.79,9.33,171.59,0,0,12.92,11.57,0,6.29,8.78,11.13,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,1.65,22.81,0,11.58,0,5.32,0,0,5.19,0,0,0,0,0,0,0,0,0,0

35,08:30-08:45,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,25.2,0,119.84,0,38.09,142.96,181.79,9.33,171.59,0,0,12.92,1.93,0,6.29,8.78,10.8,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.65,22.81,0,11.58,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

36,08:45-09:00,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,25.2,0,119.84,0,38.09,142.96,181.79,0,171.59,0,0,12.92,1.93,0,6.29,8.78,10.8,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.7,22.81,0,11.58,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

37,09:00-09:15,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,382.28,88.69,0,0,123.22,0,50.03,0,0,0,25.2,0,119.84,0,43.3,142.96,181.79,0,175.79,0,0,12.92,1.93,0,6.29,8.78,10.8,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.7,30.64,0,14.94,0,8.51,0,0,7.13,0,0,0,0,0,0,0,0,0,0

38,09:15-09:30,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,374.15,88.69,0,0,123.22,0,50.03,0,0,0,25.2,0,119.84,0,43.3,142.96,181.79,0,175.79,0,0,12.92,1.93,0,6.29,8.78,12.7,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.7,30.64,0,14.94,0,42.57,0,0,7.13,0,0,0,0,0,0,0,0,0,0

39,09:30-09:45,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,374.15,88.69,0,0,123.22,0,50.03,0,0,0,25.2,0,119.84,0,43.3,142.96,181.79,0,175.79,0,0,12.92,1.93,0,6.29,8.78,12.57,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0.99,40.87,0,19.82,0,42.57,0,0,7.13,0,0,0,0,0,0,0,0,0,0

40,09:45-10:00,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,374.15,88.69,0,0,123.22,0,50.03,0,0,0,25.2,0,119.84,0,43.3,142.96,181.79,0,175.79,0,0,12.92,1.93,0,6.29,8.78,12.73,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0.99,35.23,0,17.08,0,8.51,0,0,7.13,0,0,0,0,0,0,0,0,0,0

41,10:00-10:15,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,25.2,0,119.84,0,43.3,142.96,214.57,0,175.79,0,0,12.92,1.93,0,6.29,8.78,12.73,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.7,30.42,0,14.94,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

42,10:15-10:30,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,25.2,0,119.84,0,43.3,142.96,248.31,0,175.79,0,0,12.92,1.93,0,6.29,8.78,12.91,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.7,30.42,0,14.94,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

43,10:30-10:45,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,25.2,0,119.84,0,43.3,142.96,282.05,0,175.79,0,0,12.92,1.93,0,6.29,8.78,13.07,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.7,30.42,0,14.94,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

44,10:45-11:00,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,25.2,0,119.84,0,37.88,142.96,291.5,0,175.79,0,0,12.92,1.93,0,6.29,8.78,11.28,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.7,30.42,0,14.94,0,5.32,0,0,7.13,0,0,0,0,0,0,0,0,0,0

45,11:00-11:15,0,0,22.55,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,25.2,0,119.84,0,38.09,125.93,291.5,0,175.79,0,0,12.92,1.93,0,0,8.78,12.32,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.79,30.34,0,15.06,0,5.32,0,0,5.19,0,0,0,0,0,0,0,0,0,0

46,11:15-11:30,0,0,22.55,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,25.2,0,119.84,0,38.09,125.93,291.5,0,175.79,0,0,12.92,1.93,0,0,8.78,12.32,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.79,30.46,0,15.06,0,5.32,0,0,5.19,0,0,0,0,0,0,0,0,0,0

47,11:30-11:45,0,0,22.55,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,25.2,0,119.84,0,38.09,125.93,291.5,0,175.79,0,0,12.92,1.93,0,0,8.78,12.32,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.79,30.46,0,15.06,0,5.32,0,0,5.19,0,0,0,0,0,0,0,0,0,0

48,11:45-12:00,0,0,22.55,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,25.2,0,119.84,0,37.67,125.93,291.5,0,175.79,0,0,12.92,1.93,0,0,8.78,12.32,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.87,30.46,0,15.06,0,5.32,0,0,5.19,0,0,0,0,0,0,0,0,0,0

49,12:00-12:15,0,0,22.55,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,25.2,0,119.84,0,37.67,125.93,256.32,0,175.79,0,0,12.92,1.93,0,0,8.78,12.32,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.84,30.46,0,15.06,0,3.19,0,0,25.93,0,0,0,0,0,0,0,0,0,0

50,12:15-12:30,0,0,22.55,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,25.2,0,119.84,0,37.67,125.93,238.67,0,175.79,0,0,12.92,1.93,0,0,8.78,12.32,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1.95,30.46,0,15.06,0,3.19,0,0,25.93,0,0,0,0,0,0,0,0,0,0

51,12:30-12:45,0,0,22.55,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,0,37.67,125.93,238.67,0,175.79,0,0,12.92,1.93,0,0,8.78,12.32,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,2.27,30.46,0,15.06,0,3.19,0,0,25.93,0,0,0,0,0,0,0,0,0,0

52,12:45-13:00,0,0,22.55,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,0,37.67,125.93,238.67,0,175.79,0,0,12.92,1.93,0,0,8.78,12.32,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,2.36,30.46,0,15.06,0,3.19,0,0,25.93,0,0,0,0,0,0,0,0,0,0

53,13:00-13:15,0,0,22.55,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,0,37.67,125.93,248.31,0,175.79,0,0,12.92,1.93,0,0,8.78,12.32,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,2.04,30.46,0,15.06,0,6.39,0,0,25.93,0,0,0,0,0,0,0,0,0,0

54,13:15-13:30,0,0,22.55,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,0,37.67,125.93,248.31,0,175.79,0,0,12.92,1.93,0,0,8.78,12.32,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,2.15,30.46,0,15.06,0,6.39,0,0,25.93,0,0,0,0,0,0,0,0,0,0

55,13:30-13:45,0,0,22.55,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,0,38.09,125.93,248.31,0,175.79,0,0,12.92,1.93,0,0,8.78,15.08,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,2.15,30.46,0,15.06,0,6.39,0,0,5.19,0,0,0,0,0,0,0,0,0,0

56,13:45-14:00,0,0,22.55,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,0,38.09,125.93,238.67,0,175.79,0,0,12.92,1.93,0,0,8.78,15.08,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,2.25,30.46,0,15.06,0,6.39,0,0,5.19,0,0,0,0,0,0,0,0,0,0

57,14:00-14:15,0,0,22.55,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,0,38.09,125.93,227.47,0,174.57,0,0,12.92,1.93,0,0,8.78,15.08,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,2.25,30.26,0,14.96,0,6.39,0,0,4.67,0,0,0,0,0,0,0,0,0,0

58,14:15-14:30,0,0,22.55,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,0,38.09,133.64,217.83,0,174.57,0,0,12.92,1.93,0,0,8.78,15.08,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,2.29,30.26,0,14.96,0,6.39,0,0,4.67,0,0,0,0,0,0,0,0,0,0

59,14:30-14:45,0,0,22.55,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,0,43.3,142.96,237.11,0,263.26,0,0,12.92,1.93,0,0,8.78,17.85,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,2.29,35.86,0,17.48,0,6.39,0,0,4.67,0,0,0,0,0,0,0,0,0,0

60,14:45-15:00,0,0,22.55,0,8.55,40.15,0,0,0,0,0,114.48,374.15,63.62,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,0,43.3,142.96,256.39,0,292.18,0,0,12.92,1.93,0,0,8.78,17.85,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,2.21,35.86,0,17.48,0,6.39,0,0,4.67,0,0,0,0,0,0,0,0,0,0

