Column1,Block,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/8090,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,NR/2024/23119/A/39565,NR/2024/23121/A/39566,NR/2024/23411/C,NR/2024/23038/A/39244,NR/2024/23413/C,NR/2024/23217/A/39344,NR/2024/22803/A/39569,NR/2024/22848/A/39543,NR/2024/21658/A/39297,NR/2024/23122/A/39564,NR/2024/23118/A/39563,NR/2024/23388/C,NR/2024/22754/A/39524,NR/2024/23392/C,NR/2024/22874/A/39568,NR/2024/22835/A/39558,NR/2024/22820/A/39248,NR/2024/23410/C,Total
16,03:45-04:00,7.94,8.8,26.87,2.42,0,24.19,26.87,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.63,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1214.6399999999999

17,04:00-04:15,7.94,8.8,26.87,2.42,0,24.19,26.87,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.58,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1214.59

18,04:15-04:30,7.94,8.8,26.87,2.42,0,24.19,26.87,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.58,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1214.59

19,04:30-04:45,7.94,8.8,26.87,2.42,0,24.19,26.87,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.58,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1214.59

20,04:45-05:00,7.94,8.8,26.87,2.42,0,24.19,26.87,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.58,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1214.59

21,05:00-05:15,7.85,8.8,26.87,2.42,0,24.19,26.87,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.58,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1214.5

22,05:15-05:30,7.85,8.8,26.87,2.42,0,24.19,26.87,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.58,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1214.5

23,05:30-05:45,7.85,8.8,26.87,2.42,0,24.19,26.87,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.58,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1214.5

24,05:45-06:00,7.85,8.8,26.87,2.42,0,24.19,26.87,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.58,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1214.5

25,06:00-06:15,7.76,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.68,26.39,8.8,241.92,0,0.97,48.38,90.96,4.84,0,996.78

26,06:15-06:30,7.76,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.68,26.39,8.8,241.92,0,0.97,48.38,90.96,4.84,0.04,996.8199999999999

27,06:30-06:45,7.76,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.68,26.39,8.8,241.92,0,0.97,48.38,90.96,4.84,0.11,996.89

28,06:45-07:00,7.76,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,5.81,0,84.36,0.68,26.39,8.8,241.92,0,1.94,48.38,90.96,4.84,0.67,997.4599999999999

29,07:00-07:15,7.66,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,5.81,0,84.36,0.68,26.39,8.8,241.92,0,1.94,48.38,90.96,4.84,1.21,997.9

30,07:15-07:30,7.66,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,5.81,0,84.36,0.68,26.39,8.8,241.92,0,1.94,48.38,90.96,4.84,1.79,998.4799999999999

31,07:30-07:45,7.66,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,5.81,0,84.36,0.68,26.39,8.8,241.92,0,0.97,48.38,90.96,4.84,2.51,998.2299999999999

32,07:45-08:00,7.66,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,5.81,0,84.36,0.68,26.39,8.8,241.92,0,0.97,48.38,90.96,4.84,3.24,998.9599999999999

33,08:00-08:15,7.66,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,5.81,0,84.36,0.97,26.39,8.8,241.92,0,0.97,48.38,90.96,4.84,3.95,999.96

34,08:15-08:30,7.66,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,5.81,0,84.36,0.97,26.39,8.8,241.92,0,0.97,48.38,90.96,4.84,4.42,1000.43

35,08:30-08:45,7.66,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,5.81,0,84.36,0.97,26.39,8.8,241.92,0,0.97,48.38,90.96,4.84,5.16,1001.17

36,08:45-09:00,7.66,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,5.81,0,84.36,0.97,26.39,8.8,241.92,0,0.97,48.38,90.96,4.84,5.86,1001.87

37,09:00-09:15,7.58,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,5.81,0,84.36,0.97,26.39,8.8,241.92,0,0.97,48.38,90.96,4.84,6.01,1001.94

38,09:15-09:30,7.58,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,5.81,0,84.36,0.97,26.39,8.8,241.92,0,0.97,48.38,90.96,4.84,5.33,1001.2600000000001

39,09:30-09:45,7.58,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,5.81,0,84.36,0.97,26.39,8.8,241.92,0,0.97,48.38,90.96,4.84,7.16,1003.09

40,09:45-10:00,7.58,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,5.81,0,84.36,0.97,26.39,8.8,241.92,0,0.97,48.38,90.96,4.84,5.82,1001.7500000000001

41,10:00-10:15,7.58,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,5.81,0,84.36,0.97,26.39,8.8,241.92,0,0.97,48.38,90.96,4.84,5.49,1001.4200000000001

42,10:15-10:30,7.58,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,5.81,0,84.36,0.97,26.39,8.8,241.92,0,0.97,48.38,90.96,4.84,6.66,1002.59

43,10:30-10:45,7.58,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,5.81,0,84.36,0.97,26.39,8.8,241.92,0,0.97,48.38,90.96,4.84,7.89,1003.82

44,10:45-11:00,7.58,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,5.81,0,84.36,0.97,26.39,8.8,241.92,0,0.97,48.38,90.96,4.84,8.68,1004.61

45,11:00-11:15,7.48,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,5.81,0,84.36,0.97,26.39,8.8,241.92,0,0.97,48.38,90.96,4.84,7.46,1003.2900000000001

46,11:15-11:30,7.48,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,5.81,0,84.36,0.97,26.39,8.8,241.92,0,0.97,48.38,90.96,4.84,9.57,1005.4000000000001

47,11:30-11:45,7.48,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.97,26.39,8.8,241.92,0,0,48.38,90.96,4.84,8.16,1003.9799999999999

48,11:45-12:00,7.48,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.97,26.39,8.8,241.92,0,0,48.38,90.96,4.84,8.06,1003.8799999999999

49,12:00-12:15,7.48,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.97,26.39,8.8,241.92,0,0,48.38,90.96,4.84,6.69,1002.51

50,12:15-12:30,7.48,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.97,26.39,8.8,241.92,0,0,48.38,90.96,4.84,6.14,1001.9599999999999

51,12:30-12:45,7.48,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.97,26.39,8.8,241.92,0,0,48.38,90.96,4.84,4.26,1000.0799999999999

52,12:45-13:00,7.48,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.97,26.39,8.8,241.92,0,0,48.38,90.96,4.84,7.28,1003.0999999999999

53,13:00-13:15,7.48,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.97,26.39,8.8,241.92,0,0,48.38,90.96,4.84,5.43,1001.2499999999999

54,13:15-13:30,7.48,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.97,26.39,8.8,241.92,0,0,48.38,90.96,4.84,7.58,1003.4

55,13:30-13:45,7.48,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.97,26.39,8.8,241.92,0,0,48.38,90.96,4.84,5.95,1001.77

56,13:45-14:00,7.48,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.97,26.39,8.8,241.92,0,0,48.38,90.96,4.84,5.12,1000.9399999999999

57,14:00-14:15,7.58,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.97,26.39,8.8,241.92,0,0,48.38,90.96,4.84,5.41,1001.3299999999999

58,14:15-14:30,7.58,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.97,26.39,8.8,241.92,0,0,48.38,90.96,4.84,5.45,1001.37

59,14:30-14:45,7.58,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.97,26.39,8.8,241.92,0,0,48.38,90.96,4.84,7.67,1003.5899999999999

60,14:45-15:00,7.58,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.97,26.39,8.8,241.92,0,0,48.38,90.96,4.84,5.69,1001.61

61,15:00-15:15,7.66,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.97,26.39,8.8,241.92,0,0,48.38,90.96,4.84,5.93,1001.93

62,15:15-15:30,7.66,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.97,26.39,8.8,241.92,0,0,48.38,90.96,4.84,6.4,1002.4

63,15:30-15:45,7.66,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,7.74,0,84.36,0.97,26.39,8.8,241.92,0,0,48.38,90.96,4.84,4.09,1001.0600000000001

64,15:45-16:00,7.66,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,7.74,0,84.36,0.97,26.39,8.8,241.92,0,1.94,48.38,90.96,4.84,1.98,1000.8900000000001

65,16:00-16:15,7.85,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,7.74,0,84.36,0.87,26.39,8.8,241.92,0,1.94,48.38,90.96,4.84,4.14,1003.14

66,16:15-16:30,7.85,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,21.77,26.39,26.39,30,3.87,163.11,7.74,0,84.36,0.87,26.39,8.8,241.92,0,1.94,48.38,90.96,4.84,4.28,1003.28

67,16:30-16:45,7.85,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,7.74,0,84.36,0.87,26.39,8.8,241.92,0,1.94,48.38,90.96,4.84,2.25,979.48

68,16:45-17:00,7.85,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,7.74,0,84.36,0.87,26.39,8.8,241.92,0,1.94,48.38,90.96,4.84,1.48,978.71

69,17:00-17:15,8.04,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,7.74,0,84.36,0.82,26.39,8.8,241.92,0,1.94,48.38,90.96,4.84,0.93,978.3000000000001

70,17:15-17:30,8.04,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,7.74,0,84.36,0.82,26.39,8.8,241.92,0,1.94,48.38,90.96,4.84,0.71,978.0800000000002

71,17:30-17:45,8.04,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,7.74,0,84.36,0.82,26.39,8.8,241.92,0,1.94,48.38,90.96,4.84,0.54,977.9100000000001

72,17:45-18:00,8.04,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,7.74,0,84.36,0.82,26.39,8.8,241.92,0,1.94,48.38,90.96,4.84,0.36,977.7300000000001

73,18:00-18:15,8.5,8.8,24.8,2.42,0,24.19,24.8,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,7.74,0,84.36,0.82,26.39,8.8,241.92,0,2.9,48.38,90.96,4.84,0.16,974.81

74,18:15-18:30,8.5,8.8,24.8,2.42,0,24.19,24.8,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,7.74,0,84.36,0.82,26.39,8.8,241.92,0,2.9,48.38,90.96,4.84,0,974.65

75,18:30-18:45,8.5,8.8,24.8,2.42,0,24.19,24.8,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,7.74,0,84.36,0.82,26.39,8.8,241.92,0,2.9,48.38,90.96,4.84,0,974.65

76,18:45-19:00,8.5,8.8,24.8,2.42,0,24.19,24.8,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,8.71,0,84.36,0.82,26.39,8.8,241.92,0,1.94,48.38,90.96,4.84,0,974.6600000000001

77,19:00-19:15,8.59,8.8,16.98,2.42,0,24.19,16.98,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,8.71,0,84.36,0.82,26.39,8.8,241.92,0,2.9,48.38,90.96,4.84,0,960.0699999999999

78,19:15-19:30,8.59,8.8,16.98,2.42,0,24.19,16.98,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,8.71,0,84.36,0.82,26.39,8.8,241.92,0,2.9,48.38,90.96,4.84,0,960.0699999999999

79,19:30-19:45,8.59,8.8,16.98,2.42,0,24.19,16.98,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,8.71,0,84.36,0.82,26.39,8.8,241.92,0,2.9,48.38,90.96,4.84,0,960.0699999999999

80,19:45-20:00,8.59,8.8,16.98,2.42,0,24.19,16.98,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,8.71,0,84.36,0.82,26.39,8.8,241.92,0,2.9,48.38,90.96,4.84,0,960.0699999999999

81,20:00-20:15,8.5,8.8,23.28,2.42,0,24.19,23.28,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,8.71,0,84.36,0.77,26.39,8.8,241.92,0,2.9,48.38,90.96,4.84,0,972.5299999999999

82,20:15-20:30,8.5,8.8,23.28,2.42,0,24.19,23.28,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,8.71,0,84.36,0.77,26.39,8.8,241.92,0,2.9,48.38,90.96,4.84,0,972.5299999999999

83,20:30-20:45,8.5,8.8,23.28,2.42,0,24.19,23.28,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,8.71,0,84.36,0.77,26.39,8.8,241.92,0,2.9,48.38,90.96,4.84,0,972.5299999999999

84,20:45-21:00,8.5,8.8,23.28,2.42,0,24.19,23.28,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,8.71,0,84.36,0.77,26.39,8.8,241.92,0,2.9,48.38,90.96,4.84,0,972.5299999999999

85,21:00-21:15,8.5,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,8.71,0,84.36,0.77,26.39,8.8,241.92,0,2.9,48.38,90.96,4.84,0,979.7099999999999

86,21:15-21:30,8.5,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,8.71,0,84.36,0.77,26.39,8.8,241.92,0,2.9,48.38,90.96,4.84,0,979.7099999999999

87,21:30-21:45,8.5,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,8.71,0,84.36,0.77,26.39,8.8,241.92,0,2.9,48.38,90.96,4.84,0,979.7099999999999

88,21:45-22:00,8.5,8.8,26.87,2.42,0,24.19,26.87,17.5,0,96.77,0,26.39,26.39,30,3.87,163.11,8.71,0,84.36,0.77,26.39,8.8,241.92,0,2.9,48.38,90.96,4.84,0,979.7099999999999

89,22:00-22:15,8.41,8.8,24.08,2.42,0,24.19,24.08,17.5,163.3,96.77,0,26.39,26.39,30,3.87,163.11,8.71,0,84.36,0.77,26.39,8.8,241.92,54.43,1.94,48.38,90.96,4.84,0,1190.81

90,22:15-22:30,8.41,8.8,24.08,2.42,0,24.19,24.08,17.5,163.3,96.77,0,26.39,26.39,30,3.87,163.11,8.71,0,84.36,0.77,26.39,8.8,241.92,54.43,1.94,48.38,90.96,4.84,0,1190.81

91,22:30-22:45,8.41,8.8,24.08,2.42,0,24.19,24.08,17.5,163.3,96.77,0,26.39,26.39,30,3.87,163.11,8.71,0,84.36,0.77,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1189.84

92,22:45-23:00,8.41,8.8,24.08,2.42,0,24.19,24.08,17.5,163.3,96.77,0,26.39,26.39,30,3.87,163.11,7.74,0,84.36,0.77,26.39,8.8,241.92,54.43,1.94,48.38,90.96,4.84,0,1189.84

93,23:00-23:15,8.23,8.8,24.08,2.42,0,24.19,24.08,17.5,163.3,96.77,0,26.39,26.39,30,3.87,163.11,7.74,0,84.36,0.77,26.39,8.8,241.92,54.43,1.94,48.38,94.25,4.84,0,1192.95

94,23:15-23:30,8.23,8.8,24.08,2.42,0,24.19,24.08,17.5,163.3,96.77,0,26.39,26.39,30,3.87,163.11,7.74,0,84.36,0.77,26.39,8.8,241.92,54.43,1.94,48.38,94.25,4.84,0,1192.95

95,23:30-23:45,8.23,8.8,18.98,2.42,0,24.19,18.98,17.5,163.3,96.77,0,26.39,26.39,30,3.87,163.11,7.74,0,84.36,0.77,26.39,8.8,241.92,54.43,1.94,48.38,94.25,4.84,0,1182.75

96,23:45-24:00,8.23,8.8,18.98,2.42,0,24.19,18.98,17.5,163.3,96.77,0,26.39,26.39,30,3.87,163.11,7.74,0,84.36,0.77,26.39,8.8,241.92,54.43,1.94,48.38,94.25,4.84,0,1182.75

