Block,Time,NR/16022024/29022024/HP-40,NR/01022024/29022024/79,NR/16022024/29022024/HP-38,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05406,NR/01022024/29022024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/20022024/20022024/DD20240220NR22887,NR/01102023/31052040/LT-31,NR/19022024/29022024/NVVN/OA/16907,NR/16022024/29022024/HP-36,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05420,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,NR/16022024/29022024/HP-45,NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01012024/31032024/ ChanjuII,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05713,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05718,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05714,NR/01102023/31102037/L_NR_2019_11,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02012046/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_16,NR/01022024/29022024/SJVN010224NR1469,NR/01022024/29022024/SJVN010224NR1468,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,NR/01102023/14082046/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,WR/01102023/16072048/L_NR_2022_08,SR/14022024/29022024/SJVN140224NR1518
13,03:00-03:15,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,35.130000,6.740000,25.930000,32.760000,52.030000,16.320000,184.990000,0.000000,2.020000,1.240000,112.730000,18.310000,11.560000,6.740000,8.190000,1.340000,25.930000,5.780000,0.950000,0,0,48.41,17.69,0,0,0,0,0,9.06,48.41,0,17.68,0,0,0,0,53.06,0,0,0,0,9.32,0

14,03:15-03:30,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,35.130000,6.740000,25.930000,32.760000,52.030000,16.320000,184.990000,0.000000,2.020000,1.240000,112.730000,18.310000,11.560000,6.740000,8.190000,1.340000,25.930000,5.780000,0.950000,0,0,46.89,17.45,0,0,0,0,0,8.91,46.89,0,17.45,0,0,0,0,52.35,0,0,0,0,8.97,0

15,03:30-03:45,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,35.130000,6.740000,25.930000,32.370000,52.990000,16.320000,184.990000,0.000000,2.020000,1.240000,112.730000,18.310000,11.560000,6.740000,8.190000,1.340000,25.930000,5.780000,0.950000,0,0,44.47,17.1,0,0,0,0,0,8.76,44.47,0,17.1,0,0,0,0,51.31,0,0,0,0,8.57,0

16,03:45-04:00,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,35.130000,6.740000,25.930000,32.370000,52.990000,16.320000,184.990000,0.000000,2.020000,1.240000,112.730000,18.310000,11.560000,6.740000,8.190000,1.340000,25.930000,5.780000,0.950000,0,0,42.37,16.66,0,0,0,0,0,8.68,42.37,0,16.66,0,0,0,0,49.98,0,0,0,0,8.66,0

17,04:00-04:15,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,35.130000,6.740000,25.930000,32.370000,52.990000,16.320000,184.990000,0.000000,2.020000,1.240000,117.550000,18.310000,11.560000,6.740000,8.190000,1.340000,25.930000,5.780000,0.950000,0,0,40.45,14.25,0,0,0,0,0,8.73,40.45,0,14.25,0,0,0,0,42.75,0,0,0,0,8.22,0

18,04:15-04:30,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,35.130000,6.740000,25.930000,32.370000,52.990000,16.320000,184.990000,0.000000,2.020000,1.240000,117.550000,18.310000,11.560000,6.740000,8.190000,1.340000,25.930000,5.780000,0.950000,0,0,37.38,14.35,0,0,0,0,0,8.51,37.38,0,14.36,0,0,0,0,43.06,0,0,0,0,8.2,0

19,04:30-04:45,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,35.130000,6.740000,25.930000,32.370000,52.990000,16.320000,184.990000,0.000000,2.020000,1.240000,117.550000,18.310000,11.560000,6.740000,8.190000,1.340000,25.930000,5.780000,0.950000,0,0,35.02,14.55,0,0,0,0,0,8.32,35.02,0,14.56,0,0,0,0,43.65,0,0,0,0,7.86,0

20,04:45-05:00,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,35.130000,6.740000,25.930000,32.370000,52.990000,16.320000,211.970000,0.000000,2.020000,1.240000,146.450000,18.310000,11.560000,6.740000,8.190000,1.340000,25.930000,5.780000,0.950000,0,0,34.08,14.84,0,0,0,0,0,8.3,34.08,0,14.84,0,0,0,0,44.53,0,0,0,0,7.66,0

21,05:00-05:15,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,39.380000,6.740000,25.930000,51.330000,57.810000,16.320000,246.660000,0.000000,2.020000,1.090000,194.630000,18.310000,11.560000,6.740000,8.190000,1.340000,25.930000,5.780000,0.950000,0,0,32.97,14.79,0,0,0,0,0,7.01,32.97,0,14.8,0,0,0,0,44.37,0,0,0,0,7.49,0

22,05:15-05:30,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,43.630000,6.740000,25.930000,75.050000,52.990000,16.320000,246.660000,0.000000,2.020000,1.090000,242.800000,18.310000,11.560000,6.740000,8.190000,1.340000,25.930000,5.780000,0.950000,0,0,32.16,14.65,0,0,0,0,0,7.01,32.16,0,14.65,0,0,0,0,43.94,0,0,0,0,7.17,0

23,05:30-05:45,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,33.050000,6.740000,25.930000,75.050000,57.810000,16.320000,246.660000,0.000000,2.020000,1.090000,260.720000,18.310000,11.560000,6.740000,8.190000,1.340000,25.930000,5.780000,0.950000,0,0,31.1,14.54,0,0,0,0,0,7.01,31.1,0,14.53,0,0,0,0,43.61,0,0,0,0,7.14,0

24,05:45-06:00,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,37.300000,6.740000,25.930000,75.050000,57.810000,16.320000,246.660000,0.000000,2.020000,1.090000,260.720000,18.310000,11.560000,6.740000,8.190000,1.340000,25.930000,5.780000,0.950000,0,0,30.07,14.35,0,0,0,0,0,7.01,30.07,0,14.33,0,0,0,0,43.04,0,0,0,0,7.09,0

25,06:00-06:15,39.110000,96.350000,0.000000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,48.180000,0.000000,0.000000,41.550000,6.740000,30.830000,75.050000,84.790000,0.000000,246.660000,0.000000,1.930000,0.690000,260.720000,18.310000,11.560000,6.740000,8.190000,1.340000,30.830000,5.780000,0.950000,0,0,29.56,13.97,0,0,0,0,0,7.01,29.56,0,13.98,0,0,0,0,41.92,0,0,0,0,12.52,0

26,06:15-06:30,39.110000,96.350000,0.000000,0.000000,4.820000,96.350000,23.120000,0.000000,0.000000,48.180000,0.000000,0.000000,57.790000,6.740000,30.830000,75.050000,84.790000,0.000000,246.660000,0.000000,1.930000,0.690000,260.720000,18.310000,11.560000,6.740000,8.190000,1.340000,30.830000,5.780000,0.950000,0,0,27.54,13.52,0,0,0,0,0,7.01,27.54,0,13.53,0,0,0,0,40.57,0,0,0,0.01,12.83,0

27,06:30-06:45,39.110000,96.350000,0.000000,0.000000,4.820000,96.350000,23.120000,0.000000,0.000000,48.180000,0.000000,0.000000,57.790000,6.740000,30.830000,75.050000,99.840000,0.000000,246.660000,0.000000,1.930000,0.690000,260.720000,18.310000,11.560000,6.740000,8.190000,1.340000,30.830000,5.780000,0.950000,1.77,0,29.63,13.02,0,0,0,0,0.5,7.01,29.63,0,13.02,0,0,0,1.8,39.06,0,0,0,0.01,12.54,0

28,06:45-07:00,39.110000,96.350000,0.000000,0.000000,4.820000,96.350000,23.120000,0.000000,0.000000,48.180000,0.000000,0.000000,57.790000,6.740000,30.830000,86.910000,99.840000,0.000000,246.660000,0.000000,1.930000,0.690000,260.720000,18.310000,11.560000,6.740000,8.190000,1.340000,30.830000,5.780000,0.950000,5.22,0,28.83,12.62,0,0,0,0,2,7.01,28.83,0.496842,12.62,0,0,0,5.76,37.85,0,0,0,0.02,12.61,0

29,07:00-07:15,39.110000,96.350000,0.000000,0.000000,4.820000,96.350000,22.160000,96.350000,0.000000,48.180000,0.000000,0.000000,57.790000,6.740000,30.830000,86.910000,99.840000,0.000000,246.660000,0.000000,1.930000,0.690000,260.720000,18.310000,11.560000,6.740000,8.190000,1.340000,30.830000,5.780000,0.950000,11.64,0,27.77,12.18,0,0,0,0,7,7.01,27.77,4.276738,12.18,1,0.5,0,12.94,36.53,0,0,0.22,1.08,8.34,0

30,07:15-07:30,39.110000,96.350000,0.000000,0.000000,4.820000,96.350000,22.160000,96.350000,0.090000,48.180000,0.000000,0.090000,57.790000,6.740000,30.830000,86.910000,99.840000,0.000000,246.660000,0.090000,1.930000,0.690000,260.720000,18.310000,11.560000,6.740000,8.190000,1.340000,30.830000,5.780000,0.950000,20.35,0,26.73,11.74,1,0,0,0,13,7.01,26.73,10.560328,11.73,4,1,0,21.93,35.21,0,1,0.39,1.95,8.34,0

31,07:30-07:45,39.110000,96.350000,0.000000,0.000000,4.820000,96.350000,21.200000,96.350000,0.410000,48.180000,0.000000,0.410000,57.790000,6.740000,30.830000,86.910000,99.840000,0.000000,246.660000,0.420000,1.930000,0.690000,260.720000,18.310000,11.560000,6.740000,8.190000,1.340000,30.830000,5.780000,0.950000,27.5,0,26.23,11.34,3,0,0,0.33,25,7.01,26.23,17.38947,11.35,11,2,1,31.52,34.03,0,4,1.56,7.78,8.34,0

32,07:45:08:00,39.110000,96.350000,0.000000,0.000000,4.820000,96.350000,21.200000,96.350000,1.110000,48.180000,0.000000,1.110000,57.790000,6.740000,30.830000,86.910000,99.840000,0.000000,246.660000,1.140000,1.930000,0.690000,260.720000,18.310000,11.560000,6.740000,8.190000,1.340000,30.830000,5.780000,0.950000,30.17,0,26.12,10.93,8,0,0,4.98,30.16,7.01,26.12,25.18307,10.93,18,5,4,30.17,32.78,0,7,5.12,25.63,8.34,0

33,08:00-08:15,39.110000,48.180000,0.000000,0.000000,4.820000,96.350000,21.200000,96.350000,2.070000,48.180000,0.000000,2.070000,57.790000,6.740000,30.830000,86.910000,99.840000,0.000000,246.660000,2.130000,1.930000,0.690000,260.720000,18.310000,11.560000,6.740000,8.190000,1.340000,0.000000,5.780000,0.950000,30.33,0,26.42,11.52,17,0,0,10.21,30.34,10.16,26.42,34.895844,11.52,25,8.1,8,30.33,34.56,0,10,6.23,31.13,8.34,0

34,08:15-08:30,39.110000,48.180000,0.000000,0.000000,4.820000,96.350000,21.200000,96.350000,3.260000,48.180000,0.000000,3.260000,57.790000,6.740000,30.830000,86.910000,99.840000,0.000000,246.660000,3.340000,1.930000,0.690000,260.720000,18.310000,11.560000,6.740000,8.190000,1.340000,0.000000,5.780000,0.950000,30.33,0,26.62,12.2,27,0,0,19.75,30.34,10.12,26.62,46.362178,12.21,46,13.44,13,30.33,36.62,0,19,9.59,47.93,8.34,0

35,08:30-08:45,39.110000,48.180000,0.000000,0.000000,4.820000,96.350000,21.200000,96.350000,4.780000,48.180000,0.000000,4.780000,57.790000,6.740000,30.830000,86.910000,99.840000,0.000000,246.660000,4.910000,1.930000,0.690000,260.720000,18.310000,11.560000,6.740000,8.190000,1.110000,0.000000,5.780000,0.950000,32,0,28.4,10.33,39,0,0,29.09,32,10.06,28.4,58.763744,10.34,63,16.81,19,32,31,0,27,11.87,59.37,8.34,0

36,08:45:09:00,39.110000,48.180000,0.000000,0.000000,4.820000,96.350000,20.230000,96.350000,6.190000,48.180000,0.000000,6.190000,57.790000,6.740000,30.830000,86.910000,99.840000,0.000000,246.660000,6.340000,1.930000,0.690000,260.720000,18.310000,11.560000,6.740000,8.190000,1.110000,0.000000,5.780000,0.950000,32,0,30.46,10.67,48,0,0,38.29,32,10.06,30.46,71.204278,10.66,81,22.61,24,32,32,0,34,15.65,78.27,8.34,0

37,09:00:09:15,39.110000,48.180000,0.000000,0.000000,4.820000,96.350000,20.230000,96.350000,7.440000,48.180000,0.000000,7.440000,57.790000,6.740000,30.830000,86.910000,99.840000,0.000000,246.660000,7.620000,1.930000,0.690000,260.720000,18.310000,11.560000,6.740000,8.190000,1.110000,30.830000,5.780000,0.950000,32,0,32.39,11,57,0,0,46.85,32,8.21,32.39,82.807,11,95,26.31,28,32,33,0,40,18.94,94.73,8.34,0

38,09:15-09:30,39.110000,48.180000,0.000000,0.000000,4.820000,96.350000,20.230000,96.350000,8.600000,48.180000,0.000000,8.600000,57.790000,6.740000,30.830000,86.910000,99.840000,0.000000,246.660000,8.810000,1.930000,0.690000,260.720000,18.310000,11.560000,6.740000,8.190000,1.110000,30.830000,5.780000,0.950000,32,0,33.73,11.33,64,0,0,54.55,32,8.19,33.73,93.825202,11.34,112,29.64,32,32,34,0,48,22.57,112.83,8.34,0

39,09:30-09:45,39.110000,48.180000,0.000000,0.000000,4.820000,96.350000,0.000000,96.350000,9.710000,48.180000,0.000000,9.710000,57.790000,6.740000,30.830000,86.910000,99.840000,0.000000,246.660000,9.950000,1.930000,0.690000,260.720000,18.310000,11.560000,6.740000,8.190000,1.110000,25.370000,5.780000,0.950000,32,0,34.81,11.67,69,0,0,61.74,32,8.13,34.81,104.015334,11.66,119,32.78,35,32,35,0,51,33.42,167.11,8.34,0

40,09:45-10:00,39.110000,48.180000,0.000000,0.000000,4.820000,96.350000,0.000000,96.350000,10.720000,48.180000,0.000000,10.720000,57.790000,6.740000,30.830000,75.050000,79.010000,0.000000,246.660000,10.980000,1.930000,0.690000,260.720000,18.310000,11.560000,6.740000,8.190000,1.110000,25.370000,5.780000,0.950000,32.5,0,35.85,12.17,76,0,0,68.39,32.5,8.11,35.85,113.328686,12.16,133,36.44,38,32.5,36.5,0,57,37.37,186.87,9,0

41,10:00-10:15,39.110000,48.180000,0.000000,0.000000,4.820000,96.350000,0.000000,0.000000,11.560000,48.180000,0.000000,11.560000,57.790000,6.740000,30.830000,75.050000,79.010000,0.000000,246.660000,11.840000,1.930000,0.660000,260.720000,18.310000,11.560000,6.740000,8.190000,1.110000,25.370000,5.780000,0.950000,32.5,0,29.67,12.5,77,0,0,74.45,32.5,7.21,29.67,121.58016,12.5,147,38.94,38,32.5,37.5,0,63,40.78,203.91,9.66,24.09

42,10:15-10:30,39.110000,48.180000,0.000000,0.000000,4.820000,96.350000,0.000000,0.000000,13.050000,48.180000,0.000000,13.050000,57.790000,6.740000,30.830000,75.050000,99.840000,0.000000,246.660000,13.370000,1.930000,0.660000,260.720000,18.310000,11.560000,6.740000,8.190000,1.110000,25.370000,5.780000,0.950000,32.5,0,30.33,13.33,83,0,0,79.94,32.5,7.21,30.33,128.535948,13.34,161,41.11,42,32.5,40,0,69,43.96,219.81,10.34,24.09

43,10:30-10:45,39.110000,48.180000,0.000000,0.000000,4.820000,96.350000,0.000000,0.000000,13.790000,48.180000,0.000000,13.790000,57.790000,6.740000,30.830000,75.050000,79.010000,0.000000,246.660000,14.130000,1.930000,0.930000,260.720000,18.310000,11.560000,6.740000,8.190000,1.110000,25.370000,5.780000,0.950000,32.5,0,20,10,87,0,0,84.62,32.5,7.21,20,134.907216,10,172,43.08,43,32.5,30,0,73,45.94,229.7,8.66,24.09

44,10:45-11:00,39.110000,48.180000,0.000000,0.000000,4.820000,96.350000,0.000000,0.000000,14.460000,48.180000,0.000000,14.460000,57.790000,6.740000,30.830000,75.050000,70.340000,0.000000,246.660000,14.810000,1.930000,0.930000,260.720000,18.310000,11.560000,6.740000,8.190000,1.110000,25.370000,5.780000,0.950000,32.5,0,20,10,90,0,0,88.37,32.5,7.21,20,143.684758,10,179,44.86,45,32.5,30,0,76,46.67,233.33,8.66,24.09

45,11:00-11:15,39.110000,96.350000,0.000000,0.000000,4.820000,96.350000,0.000000,0.000000,15.080000,48.180000,0.000000,15.080000,57.790000,6.740000,30.830000,75.050000,99.240000,0.000000,258.220000,15.460000,1.930000,0.930000,260.720000,18.310000,11.560000,6.740000,8.190000,1.110000,25.370000,5.780000,0.950000,32.5,0,20,10,90,0,0,91.05,32.5,7.21,20,148.000464,10,179,45,45,32.5,30,0,76,45.83,229.17,8.66,24.09

46,11:15-11:30,39.110000,96.350000,0.000000,0.000000,4.820000,96.350000,0.000000,0.000000,15.600000,48.180000,0.000000,15.600000,57.790000,6.740000,30.830000,75.050000,99.840000,0.000000,270.980000,16.000000,1.930000,0.930000,226.350000,18.310000,11.560000,6.740000,8.190000,1.110000,25.370000,5.780000,0.950000,32.5,0,20.67,10,91,0,0,91.96,32.5,7.21,20.67,151.87778,10,186,45.5,45,32.5,30,0,79,45.83,229.17,8.66,24.09

47,11:30-11:45,39.110000,96.350000,0.000000,0.000000,4.820000,96.350000,0.000000,0.000000,16.020000,48.180000,0.000000,16.020000,57.790000,6.740000,25.930000,75.050000,70.930000,0.000000,270.980000,16.430000,1.930000,0.930000,226.350000,18.310000,11.560000,6.740000,8.190000,1.110000,25.930000,5.780000,0.950000,32.5,0,21.33,10.36,91,0,0,92,32.5,7.21,21.33,154.498378,10.34,189,46,46,32.5,31.07,0,81,46.67,233.33,8.7,24.09

48,11:45-12:00,39.110000,96.350000,0.000000,0.000000,4.820000,96.350000,0.000000,0.000000,16.290000,48.180000,0.000000,16.290000,57.790000,6.740000,25.930000,75.050000,70.340000,0.000000,270.980000,16.700000,1.930000,0.930000,226.350000,18.310000,11.560000,6.740000,8.190000,1.110000,25.930000,5.780000,0.950000,32.5,0,23.33,11.06,93,0,0,91.99,32.5,7.21,23.33,156.55394,11.06,196,46.5,47,32.5,33.18,0,84,46.67,233.33,9.3,24.09

49,12:00-12:15,39.110000,96.350000,0.000000,0.000000,4.820000,96.350000,0.000000,0.000000,16.490000,48.180000,0.000000,16.490000,57.790000,6.740000,25.930000,75.050000,99.840000,0.000000,270.980000,16.910000,1.930000,0.930000,226.350000,18.310000,11.560000,6.740000,8.190000,1.160000,25.930000,5.780000,0.950000,32.5,0,25,10.46,93,0,0,91.97,32.5,7.21,25,157.888594,10.45,196,47,47,32.5,31.38,0,84,46.67,233.33,11.66,24.09

