Block,Time,AURY_GF,NAPP,RAMPUR,ANTA_GF,KOTESHWR,UNCHAHAR2,URI2,TANDA2,SEWA2,TANAKPUR,AURY_CRF,JHAJJAR,TEHRI,KOLDAM,DADRI_CRF,RIHAND2,UNCHAHAR1,SINGRAULI,DADRI_LF,DULHASTI,ANTA_LF,SINGRAULI_HYDRO,SALAL,BSIUL,ANTA_RF,DADRT2,DADRI_RF,RIHAND1,CHAMERA2,KISHANGANGA,ANTA_CRF,RAPPC,NJPC,DHAULIGNGA,RAPPB,AURY_LF,UNCHAHAR3,CHAMERA3,PARBATI3,URI,DADRI_GF,CHAMERA1,UNCHAHAR4,RIHAND3,AURY_RF,KAWAS-RLNG,KAWAS-zLIQ,RSTPSU1TO6,GANDHAR-RLNG,MOUDA_II,VALLURNTECL,KHARGONE-I,VSTPS IV,KGSU3AND4,KHSTPP-II,BRBCL,NTPL,MOUDA,GANDHAR-APM,SASAN,MAPS,FSTPP I & II,KAWAS-ComGas,TAPS-II,NLCEXP,SOLAPUR,GANDHAR-ComGas,GANDHAR-NAPM,LARA-I,KGSU1AND2,KSTPS I&II,NLCIIST2,KSTPS7,GADARWARA-I,VSTPS I,NLCTS2EXP,NLCIIST1,TALST2,SIPAT I,SIPAT II,NNTPP,TALA,KAPS,KUDGI,KAWAS-NAPM,KKNP,VSTPS V,KAWAS-APM,RSTPSU7,VSTPS II,VSTPS III,SIMHST2,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,0.000000,46.660082,0.000000,0.000000,8.812865,42.752489,35.210761,3.944705,17.465872,0.247105,0.000000,417.279158,47.978374,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,34.743219,12.642280,0.000000,353.094908,0.000000,45.235146,44.776114,6.112886,0.000000,62.950813,0.000000,0.000000,0.000000,0.000000,22.429640,21.518384,0.000000,51.110784,0.000000,27.101215,0.000000,123.890121,0.000000,0.000000,0.000000,7.15,0.000000,3.363787,3.44,3.393268,2.570658,2.10,142.278820,12.963511,3.65,1.856470,0.000000,283.201312,0.23,19.994085,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.680725,1.47,1.285329,2.001685,2.201510,0.00,0.98,2.92,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,43.616137,0,0,0,0,0

7,01:30-01:45,0.000000,46.660082,0.000000,0.000000,8.812865,42.752489,35.210761,3.944705,17.465872,0.247105,0.000000,347.835158,47.978374,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,34.743219,12.642280,0.000000,353.109389,0.000000,45.235146,44.776114,6.112886,0.000000,62.950813,0.000000,0.000000,0.000000,0.000000,22.429640,21.518384,0.000000,51.110784,0.000000,13.550608,0.000000,123.890121,0.000000,0.000000,0.000000,7.29,0.000000,3.363787,3.44,3.393268,2.570658,2.10,142.278820,11.923208,3.65,1.856470,0.000000,283.201312,0.23,19.994085,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.680725,1.47,1.285329,2.001685,2.211722,0.00,0.98,2.92,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,43.616137,0,0,0,0,0

8,01:45-02:00,0.000000,46.660082,0.000000,0.000000,8.812865,42.752489,35.210761,3.944705,17.465872,0.247105,0.000000,347.835158,35.983780,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,34.743219,12.642280,0.000000,354.364353,0.000000,45.235146,44.776114,6.112886,0.000000,62.950813,0.000000,0.000000,0.000000,0.000000,22.429640,21.518384,0.000000,48.448764,0.000000,0.000000,0.000000,123.890121,0.000000,0.000000,0.000000,7.45,0.000000,3.363787,3.44,3.393268,2.570658,2.10,142.278820,12.253530,3.65,1.856470,0.000000,283.201312,0.23,19.994085,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.680725,1.47,1.285329,2.001685,2.211845,0.00,0.98,2.92,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,43.616137,0,0,0,0,0

9,02:00-02:15,0.000000,46.660082,0.000000,0.000000,8.812865,42.752489,35.210761,3.944705,17.465872,1.482629,0.000000,337.085613,0.000000,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,47.071458,12.642280,0.000000,353.950369,0.000000,45.235146,44.776114,6.112886,0.000000,62.950813,0.000000,0.000000,0.000000,0.000000,15.426888,21.518384,0.000000,48.448764,0.000000,0.000000,0.000000,123.890121,0.000000,0.000000,0.000000,7.60,0.000000,3.363787,3.44,3.393268,2.570658,2.10,142.278820,11.670374,3.65,1.856470,0.000000,283.201312,0.23,19.994085,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.680725,1.47,1.285329,2.001685,2.211845,0.00,0.98,2.92,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,43.616137,0,0,0,0,0

10,02:15-02:30,0.000000,46.660082,0.000000,0.000000,8.812865,42.752489,35.210761,3.944705,17.465872,1.482629,0.000000,337.085613,0.000000,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,47.071458,12.642280,0.000000,353.937461,0.000000,45.235146,44.776114,6.112886,0.000000,62.950813,0.000000,0.000000,0.000000,0.000000,15.426888,21.518384,0.000000,48.448764,0.000000,0.000000,0.000000,123.890121,0.000000,0.000000,0.000000,7.66,0.000000,3.363787,3.44,3.393268,2.570658,2.10,142.278820,13.715052,3.65,1.856470,0.000000,283.201312,0.23,19.994085,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.680725,1.47,1.285329,2.001685,2.211845,0.00,0.98,2.92,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,43.616137,0,0,0,0,0

11,02:30-02:45,0.000000,46.660082,0.000000,0.000000,8.812865,42.752489,35.210761,3.944705,17.465872,1.235524,0.000000,337.085613,0.000000,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,47.071458,12.642280,0.000000,353.509446,0.000000,45.235146,44.776114,6.112886,0.000000,62.950813,0.000000,0.000000,0.000000,0.000000,15.426888,10.759192,0.000000,48.448764,0.000000,0.000000,0.000000,123.890121,0.000000,0.000000,0.000000,7.67,0.000000,3.363787,3.44,3.393268,2.570658,2.10,142.278820,13.703997,3.65,1.856470,0.000000,283.201312,0.23,19.994085,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.680725,1.47,1.285329,2.001685,2.211845,0.00,0.98,2.92,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,43.616137,0,0,0,0,0

12,02:45-03:00,0.000000,46.660082,0.000000,0.000000,8.812865,42.752489,35.210761,3.944705,17.465872,1.235524,0.000000,337.085613,0.000000,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,47.071458,12.642280,0.000000,353.495920,0.000000,45.235146,44.776114,6.112886,0.000000,62.950813,0.000000,0.000000,0.000000,0.000000,15.426888,10.759192,0.000000,48.448764,0.000000,0.000000,0.000000,123.890121,0.000000,0.000000,0.000000,7.67,0.000000,3.363787,3.44,3.393268,2.570658,2.10,142.278820,13.754973,3.65,1.856470,0.000000,283.201312,0.23,19.994085,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.680725,1.47,1.285329,2.001685,2.211845,0.00,0.98,2.92,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,43.616137,0,0,0,0,0

13,03:00-03:15,0.000000,46.660082,0.000000,0.000000,8.812865,28.317431,30.441153,3.944705,17.465872,1.235524,0.000000,336.121113,0.000000,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,47.071458,12.642280,0.000000,353.509446,0.000000,45.235146,29.760103,6.112886,0.000000,62.950813,0.000000,0.000000,0.000000,0.000000,15.426888,10.759192,0.000000,48.448764,0.000000,0.000000,0.000000,123.890121,0.000000,0.000000,0.000000,7.67,0.000000,3.363787,3.44,3.393268,2.570658,2.10,142.278820,13.534587,3.65,1.856470,0.000000,290.037206,0.23,14.106198,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.680725,1.47,1.285329,2.001685,2.211845,0.00,0.98,2.92,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,29.281641,0,0,0,0,0

14,03:15-03:30,0.000000,46.660082,0.000000,0.000000,8.812865,28.317431,30.441153,3.944705,17.465872,1.235524,0.000000,336.121113,0.000000,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,47.071458,12.642280,0.000000,353.495920,0.000000,45.235146,29.760103,6.112886,0.000000,62.950813,0.000000,0.000000,0.000000,0.000000,15.426888,10.759192,0.000000,48.448764,0.000000,0.000000,0.000000,123.890121,0.000000,0.000000,0.000000,7.67,0.000000,3.363787,3.44,3.393268,2.570658,2.10,142.278820,12.584772,3.65,1.856470,0.000000,297.487969,0.23,14.106198,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.680725,1.47,1.285329,2.001685,2.211845,0.00,0.98,2.92,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,29.281641,0,0,0,0,0

15,03:30-03:45,0.000000,46.660082,0.000000,0.000000,8.812865,28.317431,30.441153,3.944705,17.465872,0.000000,0.000000,336.121113,0.000000,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,47.071458,12.642280,0.000000,363.775069,0.000000,45.235146,29.760103,6.112886,0.000000,62.950813,0.000000,0.000000,0.000000,0.000000,15.426888,10.759192,0.000000,48.448764,0.000000,0.000000,0.000000,123.890121,0.000000,0.000000,0.000000,7.67,0.000000,3.363787,3.44,3.393268,2.570658,2.10,142.278820,14.457243,3.65,1.856470,0.000000,298.392188,0.23,14.106198,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.622448,1.47,1.285329,2.001685,2.211845,0.00,0.98,2.92,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,29.281641,0,0,0,0,0

16,03:45-04:00,0.000000,46.660082,0.000000,0.000000,8.812865,28.317431,30.441153,3.944705,17.465872,0.000000,0.000000,336.121113,0.000000,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,47.071458,12.642280,0.000000,363.772993,0.000000,45.235146,29.760103,6.112886,0.000000,62.950813,0.000000,0.000000,0.000000,0.000000,15.426888,10.759192,0.000000,48.448764,0.000000,0.000000,0.000000,123.890121,0.000000,0.000000,0.000000,7.67,0.000000,3.363787,3.44,3.393268,2.570658,2.10,142.278820,14.467514,3.65,1.856470,0.000000,298.392188,0.23,14.106198,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.622448,1.47,1.285329,2.001685,2.211845,0.00,0.98,2.92,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,29.281641,0,0,0,0,0

17,04:00-04:15,0.000000,46.660082,0.000000,0.000000,8.812865,28.317431,30.441153,3.944705,17.465872,0.000000,0.000000,336.121113,0.000000,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,47.071458,12.642280,0.000000,363.775069,0.000000,45.235146,14.804518,6.112886,0.000000,62.950813,0.000000,0.000000,0.000000,0.000000,15.426888,10.759192,0.000000,48.448764,0.000000,0.000000,0.000000,123.890121,0.000000,0.000000,0.000000,7.67,0.000000,3.363787,0.00,3.393268,2.570658,2.10,142.278820,14.467514,3.65,1.856470,0.000000,298.392188,0.23,14.106198,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.622448,1.48,1.285329,2.001685,2.231982,0.00,0.48,0.00,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,29.281641,0,0,0,0,0

18,04:15-04:30,0.000000,46.660082,0.000000,0.000000,8.812865,28.317431,30.441153,3.944705,17.465872,0.000000,0.000000,336.121113,0.000000,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,47.071458,12.642280,0.000000,363.772993,0.000000,45.235146,14.804518,6.112886,0.000000,62.950813,0.000000,0.000000,0.000000,0.000000,15.426888,10.759192,0.000000,48.448764,0.000000,0.000000,0.000000,123.890121,0.000000,0.000000,0.000000,7.67,0.000000,3.363787,0.00,3.393268,2.570658,2.10,142.278820,14.467514,3.65,1.856470,0.000000,298.392188,0.23,14.106198,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.622448,1.48,1.285329,2.001685,2.232517,0.00,0.48,0.00,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,29.281641,0,0,0,0,0

19,04:30-04:45,0.000000,46.660082,0.639762,0.000000,8.812865,28.317431,30.441153,3.944705,17.465872,0.000000,0.000000,336.121113,0.000000,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,67.244940,12.642280,0.000000,363.775069,0.000000,45.235146,14.804518,6.112886,0.000000,62.950813,20.749983,0.000000,0.000000,0.000000,15.426888,10.759192,0.000000,48.448764,0.000000,0.000000,0.000000,123.890121,0.000000,0.000000,0.000000,7.67,0.000000,3.363787,0.00,3.393268,2.570658,2.10,142.278820,14.467514,3.65,1.856470,0.000000,298.392188,0.23,14.106198,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.622448,1.54,1.285329,2.001685,2.232517,0.00,0.52,0.00,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,29.281641,0,0,0,0,0

20,04:45-05:00,0.000000,46.660082,0.674035,0.000000,8.812865,28.317431,30.441153,3.944705,17.465872,0.000000,0.000000,336.121113,0.000000,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,67.244940,12.642280,0.000000,363.772993,0.000000,45.235146,14.804518,6.112886,0.000000,62.950813,21.994982,0.000000,0.000000,0.000000,15.426888,10.759192,0.000000,48.448764,0.000000,13.486604,0.000000,123.890121,0.000000,0.000000,0.000000,7.67,0.000000,3.363787,0.00,3.393268,2.570658,2.10,142.278820,14.467514,3.65,1.856470,0.000000,298.392188,0.23,14.106198,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.622448,1.55,1.285329,2.001685,2.232517,0.00,0.54,0.00,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,29.281641,0,0,0,0,0

21,05:00-05:15,0.000000,46.660082,1.576556,0.000000,8.812865,28.317431,30.441153,3.944705,17.465872,0.000000,0.000000,336.121113,0.000000,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,67.244940,12.642280,0.000000,352.772148,0.000000,45.235146,14.804518,6.112886,0.000000,62.950813,51.252458,0.000000,0.000000,0.000000,15.426888,10.759192,0.000000,48.448764,0.000000,13.486604,0.000000,123.890121,0.000000,0.000000,0.000000,7.67,0.000000,3.363787,0.00,3.393268,2.570658,2.10,142.278820,14.467514,3.65,1.856470,0.000000,298.392188,0.23,14.106198,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.622448,1.55,1.285329,2.001685,2.232517,0.00,0.54,0.00,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,29.281641,0,0,0,0,0

22,05:15-05:30,0.000000,46.660082,1.576556,0.000000,8.812865,28.317431,30.441153,3.944705,17.465872,0.000000,0.000000,388.060722,0.000000,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,67.244940,12.642280,0.000000,352.757562,0.000000,45.235146,14.804518,6.112886,0.000000,62.950813,51.252458,0.000000,0.000000,0.000000,15.426888,10.759192,0.000000,48.448764,0.000000,27.049402,0.000000,123.890121,0.000000,0.000000,0.000000,7.67,0.000000,3.363787,0.00,3.393268,2.570658,2.10,142.278820,14.467514,3.65,1.856470,0.000000,298.392188,0.23,14.106198,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.622448,1.55,1.285329,2.001685,2.232517,0.00,0.54,0.00,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,29.281641,0,0,0,0,0

23,05:30-05:45,0.000000,46.660082,1.576556,0.000000,8.812865,28.317431,30.441153,3.944705,17.465872,0.000000,0.000000,493.921303,0.000000,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,47.071458,12.642280,0.000000,350.552338,0.000000,45.235146,14.804518,6.112886,0.000000,62.950813,51.252458,0.000000,0.000000,0.000000,15.426888,10.759192,0.000000,48.448764,0.000000,27.049402,0.000000,123.890121,0.000000,0.000000,0.000000,7.67,0.000000,3.363787,0.00,3.393268,2.570658,2.10,142.278820,14.467514,3.65,1.856470,0.000000,298.392188,0.23,14.106198,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.622448,1.55,1.285329,2.001685,2.232517,0.00,0.54,0.00,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,29.281641,0,0,0,0,0

24,05:45-06:00,0.000000,46.660082,2.364833,0.000000,8.812865,42.749395,30.441153,3.944705,17.465872,0.000000,0.000000,621.576488,0.000000,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,47.071458,12.642280,0.000000,353.228591,0.000000,45.235146,14.804518,6.112886,0.000000,62.950813,76.878687,0.000000,0.000000,0.000000,19.376323,10.759192,0.000000,48.448764,0.000000,27.049402,0.000000,123.890121,0.000000,0.000000,0.000000,7.67,0.000000,3.363787,0.00,3.393268,2.570658,2.10,142.278820,14.467514,3.65,1.856470,0.000000,298.392188,0.23,19.994085,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.622448,1.59,1.285329,2.001685,2.232517,0.00,0.56,0.00,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,43.614690,0,0,0,0,0

25,06:00-06:15,0.000000,46.660082,2.364833,0.000000,8.812865,42.752489,30.441153,3.944705,17.465872,0.000000,0.000000,588.158705,0.000000,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,47.071458,12.642280,0.000000,351.382153,0.000000,66.658569,14.804518,6.112886,0.000000,62.950813,76.878687,10.084994,0.000000,0.000000,15.644891,10.759192,0.000000,48.448764,0.000000,27.049402,0.000000,123.890121,0.000000,0.000000,0.000000,7.67,0.000000,3.363787,0.00,3.393268,2.570658,2.10,142.278820,14.467514,3.65,1.856470,0.000000,298.392188,0.23,19.994085,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.622448,1.59,1.285329,2.001685,2.232517,0.00,0.56,0.00,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,43.614690,0,0,0,0,0

26,06:15-06:30,0.000000,46.660082,2.364833,0.000000,8.812865,42.752489,30.441153,3.944705,17.465872,0.000000,0.000000,479.652455,0.000000,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,47.071458,12.642280,0.000000,351.365483,0.000000,71.684903,14.804518,6.112886,0.000000,62.950813,76.878687,20.169989,0.000000,0.000000,15.426888,10.759192,0.000000,48.448764,0.000000,27.049402,0.000000,123.890121,0.000000,0.000000,0.000000,7.67,0.000000,3.363787,0.00,3.393268,2.570658,2.10,142.278820,14.467514,3.65,1.856470,0.000000,298.392188,0.23,19.994085,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.622448,1.59,1.285329,2.001685,2.232517,0.00,0.56,0.00,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,43.614690,0,0,0,0,0

