Block,Time,L_NR_2019_19,L_NR_2012_01,SH-06,LT-31,L_NR_2012_02,L_NR_2020_02,L_NR_2012_04,LT-35,LT-59,LT-36,LT-05,L_NR_2022_10,L_NR_2018_61,L_NR_2021_13,L_NR_2019_07,L_NR_2022_09,L_NR_2020_06,L_NR_2021_16,L_NR_2020_05,LT_MEJA_Delhi,L_NR_2022_08,L_NR_2021_15,L_NR_2019_06,L_NR_2021_14,L_NR_2012_07,L_NR_2019_11,L_NR_2021_12,SH-07,L_NR_2019_05,L_NR_2021_17,L_NR_2020_07
8,01:45-02:00,0.000000,51.220000,30.930000,0.000000,101.480000,4.370000,149.500000,0.000000,3.580000,0.000000,70.540000,15.75,3.63,0,0,15.75,9.92,0,29.76,5.810000,5.83,0,0,0,36.400000,3.770000,0,30.930000,0,0,9.93

9,02:00-02:15,0.000000,51.220000,30.930000,0.000000,101.480000,4.370000,149.500000,0.000000,3.500000,0.000000,70.540000,18.09,3.17,0,0,18.09,9.74,0,29.23,5.810000,5.63,0,0,0,36.400000,3.610000,0,30.930000,0,0,9.75

10,02:15-02:30,0.000000,51.220000,30.930000,0.000000,101.480000,4.370000,149.500000,0.000000,3.500000,0.000000,70.540000,17.93,2.94,0,0,17.93,9.75,0,29.25,5.810000,5.54,0,0,0,36.400000,3.610000,0,30.930000,0,0,9.76

11,02:30-02:45,0.000000,51.220000,30.930000,0.000000,101.480000,4.370000,149.500000,0.000000,3.500000,0.000000,70.540000,18.03,2.93,0,0,18.03,9.79,0,29.36,5.810000,5.49,0,0,0,36.400000,3.610000,0,30.930000,0,0,9.78

12,02:45-03:00,0.000000,51.220000,30.930000,0.000000,101.480000,4.370000,149.500000,0.000000,3.500000,0.000000,70.540000,17.56,2.82,0,0,17.56,9.7,0,29.11,5.810000,4.29,0,0,0,36.400000,3.610000,0,30.930000,0,0,9.72

13,03:00-03:15,0.000000,51.220000,30.930000,0.000000,101.480000,4.370000,149.500000,0.000000,3.420000,0.000000,70.540000,12.51,2.83,0,0,12.51,7.01,0,21.02,5.810000,4.31,0,0,0,36.400000,3.610000,0,30.930000,0,0,7

14,03:15-03:30,0.000000,51.220000,30.930000,0.000000,101.480000,4.370000,149.500000,0.000000,3.420000,0.000000,70.540000,12.42,3,0,0,12.42,7.14,0,21.41,5.810000,4.21,0,0,0,36.400000,3.610000,0,30.930000,0,0,7.12

15,03:30-03:45,0.000000,51.220000,30.930000,0.000000,101.480000,4.370000,149.500000,0.000000,3.420000,0.000000,70.540000,12.58,2.81,0,0,12.58,7.07,0,21.22,5.810000,4.15,0,0,0,36.400000,3.610000,0,30.930000,0,0,7.09

16,03:45-04:00,0.000000,51.220000,30.930000,0.000000,101.480000,4.370000,149.500000,0.000000,3.420000,0.000000,70.540000,12.57,2.85,0,0,12.57,7.04,0,21.12,5.810000,4.16,0,0,0,36.400000,3.610000,0,30.930000,0,0,7.04

17,04:00-04:15,0.000000,51.220000,30.930000,0.000000,101.480000,4.270000,149.500000,0.000000,3.420000,0.000000,70.540000,12.39,2.84,0,0,12.39,7.03,0,21.1,5.810000,4.13,0,0,0,36.400000,3.610000,0,30.930000,0,0,7.05

18,04:15-04:30,0.000000,51.220000,30.930000,0.000000,101.480000,4.270000,149.500000,0.000000,3.420000,0.000000,70.540000,12.34,3,0,0,12.34,7.1,0,21.3,5.810000,3.97,0,0,0,36.400000,3.610000,0,30.930000,0,0,7.1

19,04:30-04:45,0.000000,51.220000,30.930000,0.000000,101.480000,4.270000,149.500000,0.000000,3.420000,0.000000,70.540000,12.39,2.93,0,0,12.39,7.03,0,21.08,5.810000,3.74,0,0,0,36.400000,3.610000,0,30.930000,0,0,7.02

20,04:45-05:00,0.000000,51.220000,30.930000,0.000000,101.480000,4.270000,149.500000,0.000000,3.420000,0.000000,70.540000,12.63,2.82,0,0,12.63,6.97,0,20.92,5.810000,3.6,0,0,0,36.400000,3.610000,0,30.930000,0,0,6.98

21,05:00-05:15,0.000000,51.220000,30.930000,0.000000,101.480000,4.270000,149.500000,0.000000,3.420000,0.000000,70.540000,27.03,2.96,0,0,27.03,6.61,0,19.83,5.810000,3.39,0,0,0,36.400000,3.610000,0,30.930000,0,0,6.61

22,05:15-05:30,0.000000,51.220000,30.930000,0.000000,101.480000,4.270000,149.500000,0.000000,3.420000,0.000000,70.540000,26.86,2.92,0,0,26.86,6.18,0,18.56,5.810000,3.16,0,0,0,36.400000,3.610000,0,30.930000,0,0,6.19

23,05:30-05:45,0.000000,51.220000,30.930000,0.000000,101.480000,4.270000,149.500000,0.000000,3.580000,0.000000,70.540000,26.23,2.93,0,0,26.23,6.01,0,18.03,5.810000,2.92,0,0,0,36.400000,3.610000,0,30.930000,0,0,6.02

24,05:45-06:00,1.960000,51.220000,30.930000,0.000000,101.480000,4.270000,149.500000,0.000000,3.580000,0.000000,70.540000,32.37,2.87,0,0,32.37,5.46,0.02,16.39,5.810000,2.82,0,0,0,36.400000,3.610000,0,30.930000,0,0.01,5.47

25,06:00-06:15,7.030000,51.220000,30.930000,0.020000,101.480000,4.270000,149.500000,0.020000,3.580000,0.020000,70.540000,31.89,2.86,0.07,1.34,31.89,10.06,1.37,30.17,5.810000,4.31,0.16,5.99,0.03,36.400000,3.610000,0.35,30.930000,2.53,0.69,10.06

26,06:15-06:30,12.230000,51.220000,30.930000,0.130000,101.480000,4.270000,149.500000,0.130000,3.580000,0.130000,70.540000,28.18,6.07,0.74,3.71,28.18,9.98,4.26,29.93,5.810000,4.18,0.86,12.7,0.03,36.400000,3.610000,3.73,30.930000,7.3,2.13,9.97

27,06:30-06:45,17.940000,51.220000,30.930000,0.490000,101.480000,4.270000,149.500000,0.490000,3.580000,0.500000,70.540000,25.45,6.47,1.87,10.73,25.45,9.58,8.08,28.73,5.810000,3.9,1.93,20.93,1.19,36.400000,3.610000,9.36,30.930000,14.16,4.04,9.56

28,06:45-07:00,25.050000,51.220000,30.930000,1.030000,101.480000,4.270000,149.500000,1.030000,3.580000,1.060000,70.540000,21.98,6.85,3.38,16.6,21.98,9.17,12.89,27.5,5.810000,3.94,3.7,32.59,3.5,36.400000,3.610000,16.93,30.930000,24.97,6.45,9.17

29,07:00-07:15,33.360000,51.220000,30.930000,1.780000,101.480000,4.270000,149.500000,1.780000,3.500000,1.830000,70.540000,18.14,6.71,5.71,24.9,18.14,8.91,23.33,26.73,5.810000,4.02,6.15,33,6.85,36.400000,3.540000,28.58,30.930000,33,11.67,8.9

30,07:15-07:30,42.430000,51.220000,30.930000,2.720000,101.480000,4.270000,149.500000,2.720000,3.500000,2.790000,70.540000,16.31,6.85,8.52,31,16.31,8.52,36.67,25.57,5.810000,3.87,9.23,31,11.41,36.400000,3.540000,42.59,30.930000,31,18.33,8.53

31,07:30-07:45,51.770000,51.220000,30.930000,3.960000,101.480000,4.270000,149.500000,3.960000,3.500000,4.060000,70.540000,15,7.09,11.96,31,15,8.23,46,24.68,5.810000,3.99,12.48,31,18.96,36.400000,3.540000,59.81,30.930000,31,23,8.23

32,07:45:08:00,60.480000,51.220000,30.930000,5.180000,101.480000,4.270000,149.500000,5.180000,3.500000,5.310000,70.540000,14.15,6.98,15.78,31,14.15,7.89,56.67,23.66,5.810000,4.01,15.91,31,26.09,36.400000,3.540000,78.88,30.930000,31,28.33,7.87

33,08:00-08:15,68.380000,51.220000,30.930000,6.350000,101.480000,4.180000,149.500000,6.350000,3.500000,6.500000,70.540000,13,11.45,19.97,31.34,13,7.57,64.67,22.69,5.810000,3.94,25.39,31.33,34,36.400000,3.540000,99.84,30.930000,31.33,32.33,7.56

34,08:15-08:30,76.090000,51.220000,30.930000,7.520000,101.480000,4.180000,149.500000,7.520000,3.500000,7.720000,70.540000,12.01,10.81,24.26,31.34,12.01,7.29,72.67,21.88,5.810000,3.93,29.97,31.33,42.63,36.400000,3.540000,121.32,30.930000,31.33,36.33,7.3

35,08:30-08:45,84.060000,51.220000,30.930000,8.530000,101.480000,4.180000,149.500000,8.530000,3.500000,8.750000,70.540000,11.72,10.27,28.29,31.34,11.72,7.33,78.67,21.98,5.810000,4,34.23,31.33,48.94,36.400000,3.540000,141.47,30.930000,31.33,39.33,7.31

36,08:45:09:00,92.060000,51.220000,30.930000,9.760000,101.480000,4.180000,149.500000,9.760000,3.500000,10.000000,70.540000,11.35,9.69,32.02,31.34,11.35,7.14,82,21.42,5.810000,3.96,37.82,31.33,56.51,36.400000,3.540000,160.11,30.930000,31.33,41,7.13

37,09:00:09:15,100.790000,51.220000,30.930000,10.790000,101.480000,4.180000,149.500000,10.790000,3.420000,11.060000,70.540000,10.91,8.39,35.6,31.34,10.91,7.12,84.67,21.38,5.810000,3.91,40.46,31.33,62.63,36.400000,3.540000,177.98,30.930000,31.33,42.33,7.13

38,09:15-09:30,107.000000,51.220000,30.930000,11.540000,101.480000,4.180000,149.500000,11.540000,3.420000,11.830000,70.540000,11.51,7.93,38.91,31.34,11.51,7.11,88.67,21.33,5.810000,4.04,42.6,31.33,69.11,36.400000,3.540000,194.53,30.930000,31.33,44.33,7.1

39,09:30-09:45,111.750000,51.220000,30.930000,12.370000,101.480000,4.180000,149.500000,12.370000,3.420000,12.680000,70.540000,11.48,6.88,35.08,31.34,11.48,7.09,92.67,21.27,5.810000,4.04,43.28,31.33,74.87,36.400000,3.540000,175.42,30.930000,31.33,46.33,7.1

40,09:45-10:00,115.820000,51.220000,30.930000,13.200000,101.480000,4.180000,193.300000,13.200000,3.420000,13.540000,70.540000,11.39,6.98,37.54,31.34,11.39,7.09,96.67,21.27,5.810000,3.9,45.89,31.33,79.88,36.400000,3.540000,187.71,30.930000,31.33,48.33,7.1

41,10:00-10:15,119.330000,51.220000,30.930000,13.940000,115.980000,4.000000,231.960000,13.940000,3.420000,14.290000,70.540000,11.29,6.56,40.04,31.34,11.29,7.09,96.67,21.27,5.810000,3.91,48.11,31.33,84.73,36.400000,3.690000,200.21,30.930000,31.33,48.33,7.1

42,10:15-10:30,121.600000,51.220000,30.930000,14.580000,162.070000,4.000000,271.830000,14.580000,3.420000,14.950000,70.540000,11.3,6.43,42.54,31.34,11.3,7.09,94,21.27,5.810000,3.87,49.51,31.33,89.26,36.400000,3.690000,212.71,30.930000,31.33,47,7.1

43,10:30-10:45,122.840000,51.220000,30.930000,15.120000,101.480000,4.000000,271.830000,15.120000,3.580000,15.500000,70.540000,11.31,6.5,43.37,31.34,11.31,7.09,91.34,21.27,5.810000,3.95,50,31.33,92.35,36.400000,3.690000,216.88,30.930000,31.33,45.66,7.1

44,10:45-11:00,123.380000,51.220000,30.930000,15.590000,101.480000,4.000000,271.830000,15.590000,3.580000,15.980000,70.540000,11.32,6.57,44.21,31.34,11.32,7.09,89.34,21.27,5.810000,3.88,50,31.33,93.87,36.400000,3.690000,221.04,30.930000,31.33,44.66,7.1

45,11:00-11:15,122.020000,51.220000,30.930000,16.000000,101.480000,4.000000,271.830000,16.000000,3.580000,16.400000,70.540000,11.33,8.05,45.87,31.34,11.33,7.09,88.67,21.27,5.810000,3.94,50,31.33,94.95,36.400000,3.690000,229.38,30.930000,31.33,44.33,7.1

46,11:15-11:30,117.770000,51.220000,30.930000,16.330000,101.480000,4.000000,271.830000,16.330000,3.580000,16.730000,70.540000,11.35,7.65,45.87,31.34,11.35,7.09,87.34,21.27,5.810000,3.93,50,31.33,95.51,36.400000,3.690000,229.38,30.930000,31.33,43.66,7.1

47,11:30-11:45,112.560000,51.220000,33.830000,16.550000,101.480000,4.000000,271.830000,16.550000,3.580000,16.960000,70.540000,11.37,7.25,45.87,31.34,11.37,7.09,86.67,21.27,5.810000,3.96,50,31.33,95.58,36.400000,3.690000,229.38,33.830000,31.33,43.33,7.1

48,11:45-12:00,108.410000,51.220000,33.830000,16.890000,101.480000,4.000000,271.830000,16.890000,3.580000,17.320000,70.540000,11.39,7.05,45.87,31.34,11.39,7.09,86,21.27,5.810000,3.89,50,31.33,95.56,36.400000,3.690000,229.38,33.830000,31.33,43,7.1

49,12:00-12:15,105.250000,51.220000,30.930000,16.930000,101.480000,3.950000,271.830000,16.930000,3.500000,17.350000,70.540000,11.41,6.85,45.87,31.34,11.41,7.09,86,21.27,5.810000,3.99,50,31.33,95.55,36.400000,3.690000,229.38,30.930000,31.33,43,7.1

50,12:15-12:30,94.380000,51.220000,30.930000,16.960000,101.480000,3.950000,271.830000,16.960000,3.500000,17.380000,70.540000,11.53,12.01,45.87,31.34,11.53,7.09,85.34,21.27,5.810000,4.04,50,31.33,95.58,36.400000,3.690000,229.38,30.930000,31.33,42.66,7.1

51,12:30-12:45,83.750000,51.220000,35.280000,16.940000,101.480000,3.950000,271.830000,16.940000,3.500000,17.360000,70.540000,11.65,12.12,45.87,31.34,11.65,7.21,85.34,21.63,5.810000,4.03,50,31.33,95.56,36.400000,3.690000,229.38,35.280000,31.33,42.66,7.21

52,12:45-13:00,73.220000,51.220000,35.760000,16.990000,101.480000,3.950000,231.960000,16.990000,3.500000,17.410000,70.540000,11.77,12.19,45.87,31.34,11.77,7.43,85.34,22.3,5.810000,4.28,50,31.33,95.53,36.400000,3.690000,229.38,35.760000,31.33,42.66,7.44

53,13:00-13:15,68.630000,51.220000,36.240000,16.910000,101.480000,3.950000,193.300000,16.910000,3.500000,17.340000,70.540000,11.85,12.78,45.87,31.34,11.85,7.77,85.34,23.32,5.810000,4.76,50,31.33,95.43,36.400000,3.690000,229.38,36.240000,31.33,42.66,7.77

54,13:15-13:30,71.540000,51.220000,36.240000,16.810000,101.480000,3.950000,193.300000,16.810000,3.500000,17.220000,70.540000,12.17,18.1,42.54,31.34,12.17,8.12,86,24.35,5.810000,5.23,50,31.33,95.38,36.400000,3.690000,212.71,36.240000,31.33,43,8.11

55,13:30-13:45,73.920000,51.220000,36.240000,16.600000,101.000000,3.950000,231.960000,16.600000,3.500000,17.020000,70.540000,27.45,18.06,42.54,31.34,27.45,8.44,86.67,25.33,5.810000,5.82,50,31.33,95.42,36.400000,3.690000,212.71,36.240000,31.33,43.33,8.44

56,13:45-14:00,79.830000,51.220000,36.240000,16.180000,101.480000,3.950000,271.830000,16.180000,3.500000,16.580000,70.540000,28.6,18.05,42.54,31.34,28.6,8.87,87.34,26.62,5.810000,6.58,50,31.33,95.18,36.400000,3.690000,212.72,36.240000,31.33,43.66,8.88

57,14:00-14:15,84.410000,51.220000,61.860000,15.920000,101.480000,4.040000,231.960000,15.920000,3.500000,16.330000,70.540000,29.84,18,40.87,31.34,29.84,15.91,88,47.74,5.810000,8.46,48.24,31.33,94.23,36.400000,3.690000,204.38,61.860000,31.33,44,15.91

58,14:15-14:30,85.740000,51.220000,61.860000,15.620000,101.480000,4.040000,193.300000,15.620000,3.500000,16.020000,70.540000,31.12,17.99,40.04,31.34,31.12,17.1,85.34,51.31,5.810000,10.46,47.37,31.33,93.65,36.400000,3.690000,200.21,61.860000,31.33,42.66,17.11

59,14:30-14:45,82.560000,51.220000,61.860000,13.420000,101.480000,4.040000,231.960000,13.420000,3.500000,13.760000,70.540000,31.5,17.94,39.21,31.34,31.5,17.65,82.67,52.94,5.810000,12.03,46.05,31.33,92.52,36.400000,3.690000,196.04,61.860000,31.33,41.33,17.64

60,14:45-15:00,76.720000,51.220000,61.860000,12.950000,101.480000,4.040000,231.960000,12.950000,3.500000,13.270000,70.540000,31.9,17.74,44.21,31.34,31.9,17.72,77.34,53.15,5.810000,13.26,44.49,31.33,90.64,36.400000,3.690000,221.04,61.860000,31.33,38.66,17.72

61,15:00-15:15,70.420000,51.220000,61.860000,12.370000,101.480000,4.140000,231.960000,12.370000,3.580000,12.680000,70.540000,32.29,17.47,40.93,31.34,32.29,18.33,72.67,54.98,5.810000,14.71,42.52,31.33,86.34,36.400000,3.850000,204.63,61.860000,31.33,36.33,18.32

62,15:15-15:30,66.210000,51.220000,61.860000,11.630000,101.480000,4.140000,231.960000,11.630000,3.580000,11.920000,70.540000,43.32,6.76,36.89,31.34,43.32,18.07,68,54.2,5.810000,10.04,40.31,31.33,81.39,36.400000,3.850000,184.47,61.860000,31.33,34,18.06

63,15:30-15:45,61.880000,51.220000,61.860000,11.040000,101.480000,4.140000,231.960000,11.040000,3.580000,11.310000,70.540000,42.72,6.6,34.73,31.34,42.72,15.94,64.67,47.83,5.810000,10.11,39.47,31.33,76.8,36.400000,3.850000,173.63,61.860000,31.33,32.33,15.94

64,15:45-16:00,58.340000,51.220000,61.860000,10.250000,101.480000,4.140000,231.960000,10.250000,3.580000,10.510000,70.540000,42.21,6.7,32.79,31.34,42.21,16.09,62.67,48.27,5.810000,10.12,37.05,31.33,70.84,36.400000,3.850000,163.95,61.860000,31.33,31.33,16.09

65,16:00-16:15,54.100000,51.220000,43.490000,9.260000,101.480000,4.230000,271.830000,9.260000,3.650000,9.490000,70.540000,41.58,6.71,31.15,31.34,41.58,16.33,60.67,48.98,5.810000,8.32,34.31,31.33,64.85,36.400000,3.850000,155.75,43.490000,31.33,30.33,16.32

66,16:15-16:30,48.170000,51.220000,37.690000,8.600000,101.480000,4.230000,271.830000,8.600000,3.650000,8.810000,70.540000,40.96,6.72,20.89,31.34,40.96,16.07,56,48.2,5.810000,8.34,31.07,31.33,58.83,36.400000,3.850000,104.47,37.690000,31.33,28,16.06

67,16:30-16:45,40.660000,51.220000,30.930000,7.470000,101.480000,4.230000,271.830000,7.470000,3.650000,7.660000,70.540000,40.34,6.77,19.23,31.34,40.34,16.08,46.67,48.25,5.810000,8.36,27.14,31.33,52.2,36.400000,3.850000,96.13,30.930000,31.33,23.33,16.08

68,16:45-17:00,32.390000,51.220000,30.930000,6.450000,101.480000,4.230000,271.830000,6.450000,3.650000,6.610000,70.540000,39.73,6.79,15.87,31.34,39.73,16.52,40,49.57,5.810000,8.21,23.24,31.33,45.05,36.400000,3.850000,79.38,30.930000,31.33,20,16.53

69,17:00-17:15,24.930000,51.220000,30.930000,5.430000,99.540000,4.320000,271.830000,5.430000,3.650000,5.560000,70.540000,54.09,6.64,11.92,23.05,54.09,21.07,37.34,63.22,5.810000,8.49,19.6,33,37.57,36.400000,3.850000,59.63,30.930000,33,18.66,21.07

70,17:15-17:30,18.630000,51.220000,30.930000,4.400000,114.040000,4.320000,271.830000,4.400000,3.650000,4.500000,70.540000,53.31,6.66,13.56,13.83,53.31,21.03,32.67,63.08,5.810000,8.89,15.97,33,30.43,36.400000,3.850000,67.79,30.930000,21.16,16.33,21.02

71,17:30-17:45,13.570000,57.990000,26.090000,3.400000,140.800000,4.320000,271.830000,3.400000,3.650000,3.480000,70.540000,52.54,6.71,10.66,8.06,52.54,29.77,26.67,89.31,5.810000,9.26,12.53,18.59,23.19,36.400000,3.850000,53.29,26.090000,9.32,13.33,29.77

72,17:45-18:00,9.070000,72.490000,26.090000,2.500000,140.800000,4.320000,271.830000,2.500000,3.650000,2.570000,70.540000,51.75,6.64,8.17,2.49,51.75,29.06,20,87.18,5.810000,9.88,9.19,11.79,16.32,36.400000,3.850000,40.83,26.090000,4.66,10,29.07

73,18:00-18:15,5.080000,57.990000,26.090000,1.680000,189.120000,4.600000,271.830000,1.680000,3.730000,1.720000,70.540000,51,6.68,6.05,0,51,27.88,13.33,83.65,5.810000,9.95,6.31,0,10.47,36.400000,3.850000,30.25,26.090000,0,6.67,27.88

74,18:15-18:30,2.430000,86.980000,26.090000,1.180000,200.950000,4.600000,271.830000,1.180000,3.730000,1.210000,70.540000,56.87,6.67,3.77,0,56.87,26.71,6.67,80.12,5.810000,10.14,4,0,6.05,36.400000,3.850000,18.86,26.090000,0,3.33,26.7

75,18:30-18:45,0.910000,101.240000,26.090000,0.000000,200.950000,4.600000,271.830000,0.000000,3.730000,0.000000,70.540000,56.21,6.72,2.24,0,56.21,25.05,3.33,75.14,5.810000,9.87,1.74,0,3.01,36.400000,3.850000,11.23,26.090000,0,1.67,25.05

76,18:45-19:00,0.090000,101.240000,26.090000,0.000000,200.950000,4.600000,271.830000,0.000000,3.730000,0.000000,70.540000,54.76,6.78,1.02,0,54.76,23.05,1.33,69.14,5.810000,9.42,0.38,0,0.93,49.200000,3.850000,5.08,26.090000,0,0.67,23.05

77,19:00-19:15,0.000000,101.240000,26.090000,0.000000,200.950000,4.600000,271.830000,0.000000,3.730000,0.000000,66.370000,50.29,6.65,0.27,0,50.29,20.88,0.24,62.63,5.810000,9.23,0,0,0.03,36.730000,3.850000,1.36,26.090000,0,0.12,20.88

78,19:15-19:30,0.000000,101.240000,26.090000,0.000000,200.950000,4.600000,271.830000,0.000000,3.730000,0.000000,66.370000,46.78,9.36,0.02,0,46.78,19.6,0,58.79,5.810000,9.69,0,0,0.03,36.730000,3.850000,0.09,26.090000,0,0,19.6

79,19:30-19:45,0.000000,101.240000,26.090000,0.000000,152.620000,4.600000,271.830000,0.000000,3.730000,0.000000,66.370000,55.85,9.16,0,0,55.85,28.6,0,85.79,5.810000,14.11,0,0,0.03,36.730000,4.080000,0,26.090000,0,0,28.6

80,19:45-20:00,0.000000,101.240000,26.090000,0.000000,138.870000,4.600000,271.830000,0.000000,3.730000,0.000000,66.370000,55.05,9.01,0,0,55.05,28.07,0,84.21,5.810000,13.77,0,0,0,36.730000,4.080000,0,26.090000,0,0,28.08

81,20:00-20:15,0.000000,101.240000,26.090000,0.000000,103.420000,4.650000,271.830000,0.000000,3.890000,0.000000,66.370000,53.85,8.18,0,0,53.85,27.36,0,82.07,5.810000,13.22,0,0,0,36.730000,4.080000,0,26.090000,0,0,27.36

82,20:15-20:30,0.000000,101.240000,26.090000,0.000000,103.420000,4.650000,271.830000,0.000000,3.890000,0.000000,70.540000,53.24,7.88,0,0,53.24,27.02,0,81.04,5.810000,12.55,0,0,0,36.730000,4.080000,0,26.090000,0,0,27.01

83,20:30-20:45,0.000000,101.240000,26.090000,0.000000,138.870000,4.650000,271.830000,0.000000,3.890000,0.000000,70.540000,52.91,7.63,0,0,52.91,26.15,0,78.44,5.810000,12.18,0,0,0,49.200000,4.000000,0,26.090000,0,0,26.14

84,20:45-21:00,0.000000,101.240000,26.090000,0.000000,138.870000,4.650000,271.830000,0.000000,3.890000,0.000000,70.540000,52.07,17.81,0,0,52.07,25.46,0,76.38,5.810000,11.58,0,0,0,49.200000,4.000000,0,26.090000,0,0,25.45

85,21:00-21:15,0.000000,101.240000,26.090000,0.000000,138.870000,4.650000,271.830000,0.000000,4.120000,0.000000,70.540000,50.92,16.8,0,0,50.92,24.95,0,74.85,5.810000,11.44,0,0,0,49.200000,4.000000,0,26.090000,0,0,24.95

86,21:15-21:30,0.000000,101.240000,26.090000,0.000000,138.870000,4.650000,271.830000,0.000000,4.120000,0.000000,70.540000,50.45,15.81,0,0,50.45,18.44,0,55.31,5.810000,10.97,0,0,0,49.200000,4.000000,0,26.090000,0,0,18.43

87,21:30-21:45,0.000000,101.240000,26.090000,0.000000,138.870000,4.650000,271.830000,0.000000,4.120000,0.000000,70.540000,41.87,14.94,0,0,41.87,17.94,0,53.81,5.810000,8.44,0,0,0,49.200000,4.000000,0,26.090000,0,0,17.93

88,21:45-22:00,0.000000,101.240000,26.090000,0.000000,138.870000,4.650000,271.830000,0.000000,4.120000,0.000000,70.540000,39.71,14,0,0,39.71,17.56,0,52.69,5.810000,8.39,0,0,0,49.200000,4.000000,0,26.090000,0,0,17.56

89,22:00-22:15,0.000000,101.240000,26.090000,0.000000,138.870000,4.550000,271.830000,0.000000,4.040000,0.000000,70.540000,38.28,13.13,0,0,38.28,17.3,0,51.9,5.810000,8.11,0,0,0,49.200000,4.000000,0,26.090000,0,0,17.31

90,22:15-22:30,0.000000,101.240000,26.090000,0.000000,138.870000,4.550000,271.830000,0.000000,4.040000,0.000000,70.540000,38.77,12.75,0,0,38.77,16.35,0,49.05,5.810000,7.95,0,0,0,49.200000,4.000000,0,26.090000,0,0,16.35

91,22:30-22:45,0.000000,101.240000,21.150000,0.000000,138.870000,4.550000,271.830000,0.000000,4.270000,0.000000,70.540000,39.18,12.35,0,0,39.18,15.64,0,46.93,5.810000,7.68,0,0,0,49.200000,4.000000,0,21.150000,0,0,15.65

92,22:45-23:00,0.000000,101.240000,7.730000,0.000000,138.870000,4.550000,271.830000,0.000000,4.270000,0.000000,70.540000,38.98,11.39,0,0,38.98,15.25,0,45.76,5.810000,7.51,0,0,0,49.200000,4.000000,0,7.730000,0,0,15.26

93,23:00-23:15,0.000000,101.240000,0.030000,0.000000,138.870000,4.500000,271.830000,0.000000,4.270000,0.000000,70.540000,38.63,10.41,0,0,38.63,14.97,0,44.92,3.460000,7.51,0,0,0,49.200000,3.850000,0,0.030000,0,0,14.98

94,23:15-23:30,0.000000,101.240000,0.030000,0.000000,138.870000,4.500000,271.830000,0.000000,4.270000,0.000000,70.540000,38.09,9.57,0,0,38.09,14.52,0,43.56,3.460000,7.38,0,0,0,49.200000,3.850000,0,0.030000,0,0,14.51

95,23:30-23:45,0.000000,101.240000,0.030000,0.000000,138.870000,4.500000,271.830000,0.000000,4.270000,0.000000,70.540000,37.67,8.73,0,0,37.67,14.1,0,42.31,3.460000,7.16,0,0,0,49.200000,3.850000,0,0.030000,0,0,14.1

