Block,Time Block,NLCEXP,NJPC,NAPP,MAPS,SIMHST2,KUDGI,SASAN,SIMHST1,SALAL,SEWA2,KOLDAM,KOTESHWR,KKNPPU2,RSTPSU7,RSTPSU1TO6,RIHAND3,RIHAND2,RAPPD,RAMPUR,RIHAND1,RAPPC,RAPPB,KKNP,KHSTPP-II,KISHANGANGA,PARBATI3,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,PARBATI2,NTPL,URI,TEHRI,TANDA2,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,TALST2,URI2,TANAKPUR,UNCHAHAR3,TelanganaSTPP,TALA,UNCHAHAR2,KGSU3AND4,JHAJJAR,KGSU1AND2,KHSTPP-I,DHAULIGNGA,CHAMERA3,DADRT2,FSTPP I & II,DULHASTI,NNTPP,NLCIIST1,NLCTS2EXP,NLCIIST2,SINGRAULI,SINGRAULI_HYDRO,CHAMERA2,CHAMERA1,BSIUL,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,0,106.61,24.95,0,0,0,330.53,0,0,18.21,9.24,10.05,0,0,0,125.99,120.01,21.21,4.24,93.66,66.04,0,0,142.86,8.31,35.48,0,0,0,0,0,0,0,0,0,0,0,0,28.96,0,37.22,32.93,1.87,16.12,0,0.59,0,36.7,0,20.35,0,0,32.66,0,356.71,0,44.15,10.55,33.72,87.86,20.04,57.32,0,0,0,0,144.82,0.96,47.02,40.6,18.84,10.73,0,0,0,0,0

7,01:30-01:45,0,106.61,24.95,0,0,0,330.53,0,0,18.21,9.24,10.05,0,0,0,125.99,120.01,21.21,4.24,93.66,66.04,0,0,142.86,8.31,35.48,0,0,0,0,0,0,0,0,0,0,0,0,28.96,0,37.22,32.93,1.87,16.12,0,0.59,0,36.7,0,20.35,0,0,33.2,0,299.31,0,44.15,10.55,33.72,83.96,20.04,57.32,0,0,0,0,144.82,0.96,47.02,40.6,18.84,11.79,0,0,0,0,0

8,01:45-02:00,0,106.61,24.95,0,0,0,330.53,0,0,18.21,9.24,10.05,0,0,0,125.99,120.01,21.21,4.24,93.66,66.04,0,0,142.86,8.31,35.48,0,0,0,0,0,0,0,0,0,0,0,0,28.96,0,37.22,22.26,1.87,16.12,0,0.59,0,36.7,0,20.35,0,0,33.2,0,253.07,0,44.15,10.55,33.72,83.96,20.04,57.32,0,0,0,0,144.82,0.96,47.02,40.6,18.84,10.45,0,0,0,0,0

9,02:00-02:15,0,106.61,24.95,0,0,0,330.53,0,0,18.21,9.24,10.05,0,0,0,125.99,120.01,21.21,4.24,93.66,66.04,0,0,114.8,8.31,32.52,0,0,0,0,0,0,0,0,0,0,0,0,36.19,0,37.22,22.26,0.93,16.21,0,0.59,0,36.7,0,20.74,0,0,33.49,0,253.07,0,35.35,10.55,33.72,83.96,16.07,57.32,0,0,0,0,144.82,0.96,47.02,40.6,18.84,11.75,0,0,0,0,0

10,02:15-02:30,0,106.61,24.95,0,0,0,330.53,0,0,12.15,9.24,10.05,0,0,0,125.99,120.01,21.21,4.24,93.66,66.04,0,0,114.8,8.31,32.52,0,0,0,0,0,0,0,0,0,0,0,0,36.19,0,37.22,22.26,0.93,16.21,0,0.59,0,36.7,0,20.74,0,0,33.49,0,253.07,0,35.35,10.55,33.72,83.96,16.07,57.32,0,0,0,0,144.82,0.96,47.02,40.6,18.84,12.06,0,0,0,0,0

11,02:30-02:45,0,106.61,24.95,0,0,0,330.53,0,0,12.15,9.24,10.05,0,0,0,125.99,120.01,21.21,4.24,93.66,66.04,0,0,114.8,8.31,32.52,0,0,0,0,0,0,0,0,0,0,0,0,36.19,0,47.86,22.26,0.93,13.68,0,0.59,0,36.7,0,18.88,0,0,27.43,0,253.07,0,35.35,10.55,33.72,83.96,16.07,57.32,0,0,0,0,144.82,0.96,47.02,40.6,18.84,16.04,0,0,0,0,0

12,02:45-03:00,0,106.61,24.95,0,0,0,330.53,0,0,12.15,9.24,10.05,0,0,0,125.99,120.01,21.21,4.24,93.66,66.04,0,0,114.8,8.31,32.52,0,0,0,0,0,0,0,0,0,0,0,0,36.19,0,47.86,22.26,0.93,13.68,0,0.59,0,36.7,0,18.88,0,0,27.43,0,253.07,0,35.35,10.55,33.72,83.96,16.07,57.32,0,0,0,0,144.82,0.96,47.02,40.6,18.84,16.85,0,0,0,0,0

13,03:00-03:15,0,106.61,24.95,0,0,0,330.53,0,0,12.15,4.61,10.05,0,0,0,125.99,120.01,21.21,4.24,64.99,66.04,0,0,114.8,8.31,32.52,0,0,0,0,0,0,0,0,0,0,0,0,36.19,0,47.86,22.26,0.93,13.68,0,0.59,0,36.7,0,18.88,0,0,27.43,0,253.07,0,35.35,10.55,33.72,83.96,16.07,57.32,0,0,0,0,130.67,0.96,47.02,40.6,18.84,15.5,0,0,0,0,0

14,03:15-03:30,0,106.61,24.95,0,0,0,330.53,0,0,12.15,4.61,10.05,0,0,0,125.99,120.01,21.21,4.24,64.99,66.04,0,0,114.8,8.31,32.52,0,0,0,0,0,0,0,0,0,0,0,0,36.19,0,47.86,22.26,0.93,13.68,0,0.59,0,36.7,0,18.88,0,0,27.43,0,253.07,0,35.35,10.55,33.72,83.96,16.07,57.32,0,0,0,0,130.67,0.96,47.02,40.6,18.84,15.35,0,0,0,0,0

15,03:30-03:45,0,106.61,24.95,0,0,0,330.53,0,0,12.15,4.61,10.05,0,0,0,125.99,120.01,21.21,4.24,64.99,66.04,0,0,114.8,8.31,35.48,0,0,0,0,0,0,0,0,0,0,0,0,36.19,0,47.86,11.14,0.93,15.63,0,0.59,0,36.7,6.04,19.8,0,0,30.39,0,253.07,0,35.35,10.55,33.72,83.96,16.07,57.32,0,0,0,0,130.67,0.96,47.02,40.6,18.84,17.38,0,0,0,0,0

16,03:45-04:00,0,106.61,24.95,0,0,0,330.53,0,0,12.15,4.61,10.05,0,0,0,125.99,96.42,21.21,4.24,64.99,66.04,0,0,114.8,8.31,35.48,0,0,0,0,0,0,0,0,0,0,0,0,36.19,0,47.86,11.14,0.93,15.94,0,0.59,0,36.7,6.04,20.34,0,0,31.01,0,253.07,0,35.35,10.55,33.72,83.96,16.07,57.32,0,0,0,0,130.67,0.96,47.02,40.6,18.84,18.38,0,0,0,0,0

17,04:00-04:15,0,106.61,24.95,0,0,0,330.53,0,0,12.15,4.61,10.05,0,0,0,125.99,120.01,21.21,4.24,64.99,66.04,0,0,114.8,8.31,35.48,0,0,0,0,0,0,0,0,0,0,0,0,36.19,0,47.86,11.14,0.93,13.48,0,0.59,0,36.7,6.04,18,0,0,27.69,0,251.82,0,35.35,10.55,33.72,83.96,16.07,57.32,0,0,0,0,130.67,0.96,47.02,40.6,18.84,18.73,0,0,0,0,0

18,04:15-04:30,0,106.61,24.95,0,0,0,330.53,0,0,12.15,4.61,10.05,0,0,0,125.99,120.01,21.21,4.24,64.99,66.04,0,0,114.8,8.31,35.48,0,0,0,0,0,0,0,0,0,0,0,0,36.19,0,47.86,11.14,0.93,13.48,0,0.59,0,36.7,6.04,18,0,0,27.69,0,251.82,0,35.35,10.55,33.72,83.96,16.07,57.32,0,0,0,0,130.67,0.96,47.02,40.6,18.84,18.72,0,0,0,0,0

19,04:30-04:45,0,106.61,24.95,0,0,0,330.53,0,0,12.15,4.46,10.05,0,0,0,125.99,120.01,21.21,4.24,64.99,66.04,0,0,114.8,8.31,35.48,0,0,0,0,0,0,0,0,0,0,0,0,36.19,0,47.86,11.14,0.93,13.48,0,0.59,0,36.7,6.04,18,0,0,27.69,0,251.82,0,35.35,10.55,33.72,83.96,16.07,57.32,0,0,0,0,130.67,0.96,47.02,40.6,18.84,19.26,0,0,0,0,0

20,04:45-05:00,0,106.61,24.95,0,0,0,330.53,0,0,12.15,2.15,10.05,0,0,0,125.99,120.01,21.21,4.24,64.99,66.04,0,0,114.8,8.31,35.48,0,0,0,0,0,0,0,0,0,0,0,0,36.19,0,47.86,11.14,1.59,13.54,0,0.59,0,36.7,6.04,19.06,0,0,27.69,0,251.82,0,35.35,10.55,33.72,83.96,16.07,57.32,0,0,0,0,130.67,0.96,47.02,40.6,18.84,19.27,0,0,0,0,0

21,05:00-05:15,0,118.69,24.95,0,0,0,341.36,0,0,12.15,2.15,10.05,0,0,0,125.99,120.01,21.21,4.71,64.99,66.04,0,0,114.8,8.31,35.48,0,0,0,0,0,0,0,0,0,0,0,0,36.19,0,47.86,11.14,0.89,13.48,0,0.59,0,36.7,0.49,17.3,0,0,27.69,0,231.48,0,35.35,21.08,33.72,47.35,16.07,57.32,0,0,0,0,130.67,0.96,47.02,40.6,18.84,19.27,0,0,0,0,0

22,05:15-05:30,0,118.69,24.95,0,0,0,356.27,0,0,12.15,2.15,10.05,0,0,0,125.99,120.01,21.21,4.71,64.99,66.04,0,0,114.8,8.31,35.48,0,0,0,0,0,0,0,0,0,0,0,0,36.19,0,47.86,11.14,0.93,13.48,0,0.59,0,36.7,0.49,17.3,0,0,27.69,0,231.48,0,35.35,21.08,33.72,47.35,16.07,57.32,0,0,0,0,130.67,0.96,47.02,40.6,18.84,19.27,0,0,0,0,0

23,05:30-05:45,0,118.69,24.95,0,0,0,367.71,0,0,12.15,0,10.05,0,0,0,125.99,96.42,21.21,4.71,64.99,66.04,0,0,114.8,8.31,36.95,0,0,0,0,0,0,0,0,0,0,0,0,28.96,0,46.79,22.26,1.59,13.54,0,0.59,0,36.7,0.49,18.54,0,0,28.75,0,231.48,0,35.35,21.08,33.72,47.35,16.07,57.32,0,0,0,0,130.67,0.96,47.02,40.6,18.84,19.27,0,0,0,0,0

24,05:45-06:00,0,118.69,24.95,0,0,0,373.12,0,0,12.15,0,10.05,0,0,0,125.99,96.42,21.21,4.71,64.99,66.04,0,0,114.8,8.31,36.95,0,0,0,0,0,0,0,0,0,0,0,0,28.96,0,46.79,33.4,1.59,13.54,0,0.59,0,36.7,0.49,18.54,0,0,27.69,0,231.48,0,35.35,21.08,22.47,47.35,16.07,57.32,0,0,0,0,130.67,0.96,47.02,40.6,18.84,19.27,0,0,0,0,0

25,06:00-06:15,0,118.69,24.95,0,0,0,378.54,0,0,12.15,0,10.05,0,0,0,125.99,96.42,21.21,4.71,64.99,66.04,0,0,114.8,8.31,36.95,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,46.79,33.4,0.93,14.51,0,0.59,0,36.7,0.49,17.3,0,0,27.69,0,231.48,0,35.35,21.08,22.47,47.35,16.07,57.32,0,0,0,0,130.67,0.96,47.02,40.6,18.84,19.27,0,0,0,0,0

26,06:15-06:30,0,118.69,24.95,0,0,0,383.96,0,0,12.15,0,10.05,0,0,0,125.99,96.42,21.21,4.71,64.99,66.04,0,0,114.8,8.31,36.95,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,46.79,33.4,1.59,15.11,0,0.59,0,36.7,0.49,18.54,0,0,27.69,0,231.48,0,35.35,21.08,22.47,47.35,16.07,57.32,0,0,0,0,130.67,0.96,47.02,40.6,18.84,19.27,0,0,0,0,0

27,06:30-06:45,0,118.69,24.95,0,0,0,389.38,0,0,12.15,0,10.05,0,0,0,92.87,96.42,21.21,4.71,64.99,66.04,0,0,114.8,8.31,36.95,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,46.79,33.4,1.59,13.23,0,1.36,0,36.7,0.49,15.97,0,0,24.05,0,231.48,0,35.35,21.08,22.47,47.35,16.07,57.32,0,0,0,0,130.67,0.96,47.02,40.6,18.84,19.27,0,0,0,0,0

28,06:45-07:00,0,118.69,24.95,0,0,0,394.79,0,0,12.15,0,10.05,0,0,0,92.87,96.42,21.21,4.71,64.99,66.04,0,0,114.8,8.31,36.95,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,46.79,33.4,1.59,11.88,0,0.59,0,36.7,0.49,14.66,0,0,23.84,0,231.48,0,35.35,21.08,22.47,47.35,16.07,57.32,0,0,0,0,130.67,0.96,47.02,40.6,18.84,19.27,0,0,0,0,0

29,07:00-07:15,0,118.69,24.95,0,0,0,403.4,0,0,12.15,0,10.05,0,0,0,90.2,94.02,21.21,4.71,62.84,66.04,0,0,114.8,8.31,32.52,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,46.79,33.4,1.59,11.88,0,0.59,0,36.7,0,14.66,0,0,23.84,0,231.48,0,30.55,21.08,22.47,47.35,11.78,57.32,0,0,0,0,126.27,0.96,47.02,40.6,18.84,19.27,0,0,0,0,0

30,07:15-07:30,0,118.69,24.95,0,0,0,403.4,0,0,12.15,0,10.05,0,0,0,90.2,94.02,21.21,4.71,62.84,66.04,0,0,114.8,8.31,32.52,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,46.79,33.4,1.59,11.88,0,0.59,0,36.7,0,14.66,0,0,23.84,0,231.48,0,24.58,21.08,22.47,47.35,10.72,57.32,0,0,0,0,126.27,0.96,47.02,40.6,18.84,18.51,0,0,0,0,0

31,07:30-07:45,0,118.69,24.95,0,0,0,403.4,0,0,18.21,0,10.05,0,0,0,122.96,116.71,21.21,4.71,62.61,66.04,0,0,96.81,8.31,32.52,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,46.79,33.4,1.59,11.88,0,0.59,0,36.7,0,14.66,0,0,23.84,0,231.48,0,24.58,21.08,22.47,47.35,10.72,57.32,0,0,0,0,140.42,0.96,47.02,40.6,18.84,19.26,0,0,0,0,0

32,07:45-08:00,0,118.69,24.95,0,0,0,403.4,0,0,18.21,0,10.05,0,0,0,122.96,116.71,21.21,4.71,50.59,66.04,0,0,78.58,8.31,32.52,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,46.79,22.26,1.59,11.88,0,0.59,0,36.7,0,14.66,0,0,23.84,0,231.48,0,24.58,21.08,22.47,47.35,10.72,57.32,0,0,0,0,140.42,0.96,47.02,27.07,18.84,19.27,0,0,0,0,0

33,08:00-08:15,0,106.61,24.95,0,0,0,403.4,0,0,18.21,0,10.05,0,0,0,122.96,116.71,21.21,4.24,79.49,66.04,0,0,78.58,8.31,32.52,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,46.79,22.26,1.59,11.88,0,0.59,0,36.7,0,14.66,0,0,23.84,0,231.48,0,24.58,21.08,22.47,47.35,10.72,57.32,0,0,0,0,140.42,0.96,47.02,12.18,12.56,19.27,0,0,0,0,0

34,08:15-08:30,0,106.61,24.95,0,0,0,403.4,0,0,18.21,0,10.05,0,0,0,122.96,117.61,21.21,4.24,79.26,66.04,0,0,78.58,8.31,32.52,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,46.79,10.83,1.59,11.88,0,0.59,0,36.7,0,14.66,0,0,23.84,0,219.92,0,24.58,21.08,22.47,47.35,10.72,57.32,0,0,0,0,140.42,0.96,47.02,12.18,12.56,19.27,0,0,0,0,0

35,08:30-08:45,0,106.61,24.95,0,0,0,403.4,0,0,18.21,0,10.05,0,0,0,123.32,117.61,21.21,4.24,79.26,66.04,0,0,105.12,8.31,19.21,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,46.79,10.83,3.04,12.04,0,0.59,0,36.7,0,15.79,0,0,26.33,0,219.92,0,32.62,21.08,22.47,47.35,14.1,57.32,0,0,0,0,140.42,0.96,47.02,9.6,12.56,19.27,0,0,0,0,0

36,08:45-09:00,0,106.61,24.95,0,0,0,403.4,0,0,18.21,0,10.05,0,0,0,123.32,101.81,21.21,4.24,79.26,66.04,0,0,105.12,8.31,18.92,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,46.79,0,3.04,12.04,0,0.59,0,36.7,0,15.79,0,0,26.33,0,171.76,0,32.62,21.08,22.47,47.35,14.1,57.32,0,0,0,0,121.85,0.96,47.02,0,12.56,19.27,0,0,0,0,0

37,09:00-09:15,0,106.61,24.95,0,0,0,403.4,0,0,18.21,0,10.05,0,0,0,123.32,101.81,21.21,4.24,79.26,66.04,0,0,105.12,8.31,22.18,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,46.79,0,3.04,12.04,0,0.59,0,36.7,6.04,15.79,0,0,26.33,0,171.76,0,32.62,10.55,22.47,47.35,14.1,57.32,0,0,0,0,121.85,0.96,47.02,0,12.56,19.27,0,0,0,0,0

38,09:15-09:30,0,106.61,24.95,0,0,0,403.4,0,0,18.21,0,10.05,0,0,0,123.32,101.81,21.21,4.24,79.26,66.04,0,0,105.12,8.31,22.18,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,46.79,0,3.04,12.04,0,0.59,0,36.7,6.04,15.79,0,0,26.33,0,171.76,0,32.62,10.55,22.47,47.35,14.1,57.32,0,0,0,0,121.85,0.96,47.02,0,12.56,18.89,0,0,0,0,0

39,09:30-09:45,0,106.61,24.95,0,0,0,403.4,0,0,18.21,0,10.05,0,0,0,123.32,101.81,21.21,4.24,79.26,66.04,0,0,105.12,8.31,22.18,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,46.79,0,3.04,11.99,0,0.59,0,36.7,1.48,15.79,0,0,26.19,0,142.86,0,32.62,0,22.47,47.35,14.1,57.32,0,0,0,0,121.85,0.96,47.02,0,12.56,19.27,0,0,0,0,0

40,09:45-10:00,0,80.06,24.95,0,0,0,403.4,0,0,18.21,0,10.05,0,0,0,123.32,101.81,21.21,3.18,79.26,66.04,0,0,105.12,8.31,22.18,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,46.79,0,3.04,11.99,0,0.59,0,36.7,1.48,15.79,0,0,26.19,0,142.86,0,32.62,0,11.24,47.35,14.1,57.32,0,0,0,0,121.85,0.96,47.02,0,12.56,19.27,0,0,0,0,0

41,10:00-10:15,0,53.3,24.95,0,0,0,403.4,0,0,18.21,0,10.05,0,0,0,123.32,101.81,21.21,2.11,79.26,66.04,0,0,105.12,8.31,18.92,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,46.79,0,3.04,12.66,0,0.59,0,36.7,1.48,15.79,0,0,26.19,0,123.59,0,32.62,0,11.24,47.35,14.1,57.32,0,0,0,0,121.85,0.96,47.02,0,12.56,19.27,0,0,0,0,0

42,10:15-10:30,0,0,24.95,0,0,0,403.4,0,0,18.21,0,10.05,0,0,0,123.32,101.81,21.21,0,79.26,66.04,0,0,105.12,8.31,18.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.79,0,3.04,12.66,0,0.59,0,36.7,1.48,15.79,0,0,26.19,0,123.59,0,32.62,0,11.24,47.35,14.1,57.32,0,0,0,0,121.85,0.96,47.02,0,12.56,19.27,0,0,0,0,0

43,10:30-10:45,0,0,24.95,0,0,0,403.4,0,0,18.21,0,10.05,0,0,0,113.42,88.29,21.21,0,79.26,66.04,0,0,105.12,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.79,0,3.04,12.66,0,0.59,0,36.7,1.48,15.79,0,0,26.1,0,123.59,0,32.62,0,11.24,47.35,14.1,57.32,0,0,0,0,106.06,0.96,31.34,0,12.56,19.27,0,0,0,0,0

44,10:45-11:00,0,0,24.95,0,0,0,403.4,0,0,18.21,0,10.05,0,0,0,113.42,88.29,21.21,0,79.26,66.04,0,0,105.12,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.79,0,3.04,12.66,0,0.59,0,36.7,1.48,15.79,0,0,26.1,0,123.59,0,32.62,0,11.24,47.35,14.1,57.32,0,0,0,0,106.06,0.96,31.34,0,12.56,18.85,0,0,0,0,0

45,11:00-11:15,0,0,24.95,0,0,0,403.4,0,0,18.21,0,10.05,0,0,0,118.19,94.27,21.21,0,79.26,66.04,0,0,105.12,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.79,0,3.04,12.66,0,0.59,0,36.7,1.48,15.79,0,0,28.43,0,123.59,0,32.62,0,11.24,47.35,14.1,57.32,0,0,0,0,121.85,0.96,31.34,0,12.56,18.5,0,0,0,0,0

46,11:15-11:30,0,0,24.95,0,0,0,403.4,0,0,18.21,0,10.05,0,0,0,118.19,94.27,21.21,0,79.26,66.04,0,0,105.12,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.79,0,3.04,12.66,0,0.59,0,36.7,1.48,15.79,0,0,28.43,0,123.59,0,32.62,0,11.24,47.35,14.1,57.32,0,0,0,0,121.85,0.96,31.34,0,12.56,19.26,0,0,0,0,0

47,11:30-11:45,0,0,24.95,0,0,0,403.4,0,0,12.15,0,10.05,0,0,0,118.19,94.27,21.21,0,79.26,66.04,0,0,96.62,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.79,0,2.08,12.66,0,0.59,0,36.7,1.48,15.79,0,0,28.43,0,123.59,0,28.04,0,11.24,47.35,10.72,57.32,0,0,0,0,121.85,0.96,31.34,0,12.56,19.14,0,0,0,0,0

48,11:45-12:00,0,0,24.95,0,0,0,403.4,0,0,12.15,0,10.05,0,0,0,118.19,94.27,21.21,0,79.26,66.04,0,0,96.62,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.79,0,1.59,12.66,0,0.59,0,36.7,1.48,15.79,0,0,28.43,0,123.59,0,28.04,0,11.24,47.35,10.72,57.32,0,0,0,0,121.85,0.96,31.34,0,12.56,19.27,0,0,0,0,0

49,12:00-12:15,0,0,24.95,0,0,0,403.4,0,0,6.07,0,10.05,0,0,0,118.19,94.27,21.21,0,79.26,66.04,0,0,96.62,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.79,0,1.59,12.66,0,0.59,0,36.7,1.48,15.79,0,0,28.43,0,123.59,0,28.04,0,11.24,47.35,10.72,57.32,0,0,0,0,121.85,0.96,31.34,0,12.56,19.27,0,0,0,0,0

50,12:15-12:30,0,0,24.95,0,0,0,403.4,0,0,0,0,10.05,0,0,0,118.19,94.27,21.21,0,79.26,66.04,0,0,96.62,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.79,0,1.59,12.66,0,0.59,0,36.7,1.48,15.79,0,0,28.43,0,123.59,0,28.04,0,11.24,47.35,10.72,57.32,0,0,0,0,121.85,0.96,31.34,0,12.56,19.27,0,0,0,0,0

51,12:30-12:45,0,0,24.95,0,0,0,403.4,0,0,0,0,10.05,0,0,0,115.87,90.57,21.21,0,79.26,66.04,0,0,105.12,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.79,0,3.04,12.66,0,0.59,0,36.7,1.48,15.79,0,0,28.43,0,123.59,0,32.62,0,11.24,47.35,14.83,57.32,0,0,0,0,121.85,0.96,31.34,0,12.56,19.27,0,0,0,0,0

52,12:45-13:00,0,0,24.95,0,0,0,403.4,0,0,0,0,0,0,0,0,115.87,90.57,21.21,0,79.26,66.04,0,0,105.12,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.79,0,3.04,12.66,0,0.59,0,36.7,1.48,15.79,0,0,28.43,0,123.59,0,32.62,0,11.24,47.35,14.83,38.22,0,0,0,0,121.85,0.96,31.34,0,12.56,19.27,0,0,0,0,0

53,13:00-13:15,0,0,24.95,0,0,0,403.4,0,0,0,0,0,0,0,0,115.87,90.57,21.21,0,79.26,66.04,0,0,105.12,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.79,0,3.04,12.66,0,0.59,0,36.7,1.48,15.79,0,0,28.43,0,123.59,0,32.62,0,11.24,47.35,14.83,38.22,0,0,0,0,121.85,0.96,15.67,0,12.56,19.27,0,0,0,0,0

54,13:15-13:30,0,0,24.95,0,0,0,403.4,0,0,0,0,0,0,0,0,115.87,90.57,21.21,0,79.26,66.04,0,0,105.12,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.79,0,3.04,12.66,0,0.59,0,36.7,1.48,15.79,0,0,28.43,0,142.86,0,32.62,0,11.24,47.35,14.83,38.22,0,0,0,0,121.85,0.96,15.67,0,12.56,19.27,0,0,0,0,0

