Column1,Block,GNA/NR/2025/02/16/1676,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/9969,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/2594,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2025/02/01/2143,GNA/SR/2025/02/01/6460,NR/30092023/26122029/SH-06,GNA/NR/2025/02/16/1380,NR/2025/25267/A/54779,GNARE/NR/2024/12/20/3668,NR/2025/25265/A/54776,NR/2025/25266/A/54755,GNA/NR/2025/02/01/4863,NR/2025/25382/C,NR/2025/25381/C,NR/2025/25070/A/54951,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NR/2024/24418/A/54659,WR/2025/26047/A/54807,GNA/WR/2025/01/01/8625,Total
62,15:15-15:30,0,8.65,23.07,0,23.07,1.29,32,23.07,75,25.65,0,0.48,77.11,0.77,1.06,8.65,38.45,14.42,14.28,0,0,0.67,0,0,367.68999999999994

63,15:30-15:45,0,8.65,23.07,0,23.07,1.29,32,23.07,75,25.65,0,0.38,85.89,0.67,0.96,8.65,38.45,14.42,14.28,0,0,0.67,0,0,376.16999999999996

64,15:45-16:00,0,8.65,23.07,0,23.07,1.29,32,23.07,75,25.65,0,0.38,79.91,0.58,0.87,8.65,38.45,14.42,14.28,0,0,0.67,0,0,370.01

65,16:00-16:15,0,8.65,23.07,0,23.07,1.38,32,23.07,75,25.65,0,0.29,72.14,0.58,0.77,8.65,38.45,14.42,14.28,0,0,0.53,0,0,361.9999999999999

66,16:15-16:30,0,8.65,23.07,0,23.07,1.38,32,23.07,75,25.65,0,0.29,64.12,0.48,0.67,8.65,38.45,14.42,14.28,0,0,0.53,0,0,353.78

67,16:30-16:45,0,8.65,23.07,0,23.07,1.38,32,23.07,75,25.65,0,0.19,55.1,0.38,0.48,8.65,33.16,19.71,14.28,0,0,0.53,0,0,344.36999999999995

68,16:45-17:00,0,8.65,43.26,0,23.07,1.38,32,23.07,75,23.19,0,0.16,45.48,0.24,0.32,8.65,24.71,24.51,14.28,0,0,0.53,0,0,348.4999999999999

69,17:00-17:15,0,8.65,43.26,0,23.07,1.38,32,23.07,75,23.19,0,0.1,36.8,0.1,0.14,8.65,0,0,14.28,0,0,0.53,0,0,290.2199999999999

70,17:15-17:30,0,8.65,43.26,0,23.07,1.38,32,23.07,75,23.19,0,0.02,26.03,0.04,0.04,8.65,0,0,14.28,0,0,0.53,0,0,279.2099999999999

71,17:30-17:45,0,8.65,43.26,0,23.07,1.38,32,23.07,75,32,0,0,17.42,0,0,8.65,0,0,14.28,0,0,0.53,0,0,279.3099999999999

72,17:45-18:00,0,8.65,43.26,0,23.07,1.38,32,23.07,75,32,0,0,9.55,0,0,8.65,0,0,14.28,0,0,0.53,0,0,271.43999999999994

73,18:00-18:15,0,8.65,43.26,0,23.07,1.38,31,23.07,75,31,0,0,4.28,0,0,8.65,0,0,14.28,50,200,0.53,38.45,0,552.62

74,18:15-18:30,0,8.65,43.26,0,23.07,1.38,31,23.07,75,31,0,0,0.31,0,0,8.65,0,0,14.28,50,200,0.53,38.45,0,548.65

75,18:30-18:45,0,8.65,43.26,50,23.07,1.38,31,23.07,75,31,0,0,0.01,0,0,8.65,0,0,14.28,50,200,0.53,38.45,0,598.3499999999999

76,18:45-19:00,0,8.65,43.26,50,23.07,1.38,31,23.07,75,31,0,0,0,0,0,8.65,0,0,14.28,50,200,0.53,38.45,0,598.3399999999999

77,19:00-19:15,0,8.65,43.26,50,23.07,1.38,31,23.07,75,31,0,0,0,0,0,8.65,0,0,14.28,50,200,0.62,38.45,0,598.43

78,19:15-19:30,0,8.65,43.26,50,23.07,1.38,31,23.07,75,31,0,0,0,0,0,8.65,0,0,14.28,50,200,0.62,38.45,0,598.43

79,19:30-19:45,0,8.65,43.26,50,23.07,1.38,31,23.07,75,31,0,0,0,0,0,8.65,0,0,14.28,50,200,0.62,38.45,0,598.43

80,19:45-20:00,0,8.65,43.26,50,23.07,1.38,31,23.07,75,31,0,0,0,0,0,8.65,0,0,14.28,50,200,0.62,38.45,0,598.43

81,20:00-20:15,0,8.65,43.26,50,23.07,1.38,32,23.07,75,32,0,0,0,0,0,8.65,0,0,14.28,50,150,0.62,38.45,0,550.43

82,20:15-20:30,0,8.65,43.26,50,23.07,1.38,32,23.07,75,32,0,0,0,0,0,8.65,0,0,14.28,50,150,0.62,38.45,0,550.43

83,20:30-20:45,0,8.65,23.07,50,23.07,1.38,32,23.07,75,32,0,0,0,0,0,8.65,0,0,14.28,50,150,0.62,38.45,0,530.24

84,20:45-21:00,0,8.65,23.07,50,23.07,1.38,32,23.07,75,32,0,0,0,0,0,8.65,0,0,14.28,50,150,0.62,38.45,0,530.24

85,21:00-21:15,0,8.65,23.07,50,23.07,1.38,32,23.07,75,25.65,0,0,0,0,0,8.65,0,0,14.28,50,150,0.58,38.45,0,523.8499999999999

86,21:15-21:30,0,8.65,23.07,50,23.07,1.38,32,23.07,75,25.65,0,0,0,0,0,8.65,0,0,14.28,50,150,0.58,38.45,0,523.8499999999999

87,21:30-21:45,0,8.65,23.07,50,23.07,1.38,32,23.07,75,25.65,0,0,0,0,0,8.65,0,0,14.28,50,150,0.58,38.45,0,523.8499999999999

88,21:45-22:00,0,8.65,23.07,50,23.07,1.38,32,23.07,75,25.65,0,0,0,0,0,8.65,0,0,14.28,50,150,0.58,38.45,0,523.8499999999999

89,22:00-22:15,47.56,8.65,23.07,50,23.07,1.29,32,23.07,75,25.65,15.85,0,0,0,0,8.65,0,0,14.28,50,150,0.53,38.45,0,587.1199999999999

90,22:15-22:30,47.56,8.65,23.07,50,23.07,1.29,32,23.07,75,25.65,15.85,0,0,0,0,8.65,0,0,14.28,50,150,0.53,38.45,0,587.1199999999999

91,22:30-22:45,47.56,8.65,23.07,50,23.07,1.29,32,23.07,75,25.65,15.85,0,0,0,0,8.65,0,0,14.28,50,150,0.53,38.45,0,587.1199999999999

92,22:45-23:00,47.56,8.65,23.07,50,23.07,1.29,32,23.07,75,25.65,15.85,0,0,0,0,8.65,0,0,14.28,50,150,0.53,38.45,0,587.1199999999999

93,23:00-23:15,47.56,8.65,23.07,50,23.07,1.29,32,23.07,75,25.65,15.85,0,0,0,0,8.65,0,0,14.28,50,150,0.48,38.45,0,587.0699999999999

94,23:15-23:30,47.56,8.65,23.07,50,23.07,1.29,32,23.07,75,25.65,15.85,0,0,0,0,8.65,0,0,14.28,50,150,0.48,38.45,0,587.0699999999999

95,23:30-23:45,47.56,8.65,23.07,50,23.07,1.29,32,23.07,75,25.65,15.85,0,0,0,0,8.65,0,0,14.28,50,150,0.48,38.45,0,587.0699999999999

96,23:45-24:00,47.56,8.65,23.07,50,23.07,1.29,32,23.07,75,25.65,15.85,0,0,0,0,8.65,0,0,14.28,50,150,0.48,38.45,0,587.0699999999999

