Column1,Block,GNA/NR/2024/09/01/8090,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/7119,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/6020,NR/2024/23119/A/39419,NR/2024/22754/A/39386,NR/2024/23121/A/39420,NR/2024/22848/A/39400,NR/2024/22835/A/39436,NR/2024/22820/A/39110,NR/2024/23122/A/39418,NR/2024/22803/A/39425,NR/2024/23118/A/39416,NR/2024/23391/C,NR/2024/23378/C,NR/2024/23379/C,NR/2024/23217/A/39174,NR/2024/21658/A/39079,NR/2024/22874/A/39424,NR/2024/23038/A/39106,NR/2024/23375/C,NR/2024/23214/A/39171,NR/2024/23213/A/39169,NR/2024/23377/C,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/9821,Total
3,00:30-00:45,8.8,24.08,24.08,21.77,17.5,8.59,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.87,48.38,3.87,241.92,0,0,0,24.19,32.9,1339.6200000000001

4,00:45-01:00,8.8,24.08,24.08,21.77,17.5,8.59,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.87,48.38,3.87,241.92,0,0,0,24.19,32.9,1339.6200000000001

5,01:00-01:15,8.8,24.08,24.08,21.77,17.5,8.5,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.68,48.38,3.87,241.92,0,0,0,24.19,32.9,1339.3400000000001

6,01:15-01:30,8.8,24.08,24.08,21.77,17.5,8.5,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.68,48.38,3.87,241.92,0,0,0,24.19,32.9,1339.3400000000001

7,01:30-01:45,8.8,26.91,26.91,21.77,17.5,8.5,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.68,48.38,3.87,241.92,0,0,0,24.19,32.9,1345

8,01:45-02:00,8.8,26.91,26.91,21.77,17.5,8.5,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.68,48.38,3.87,241.92,0,0,0,24.19,32.9,1345

9,02:00-02:15,8.8,26.91,26.91,21.77,17.5,8.41,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.68,48.38,3.87,241.92,0,0,0,24.19,32.9,1344.91

10,02:15-02:30,8.8,26.91,26.91,21.77,17.5,8.41,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.68,48.38,3.87,241.92,0,0,0,24.19,32.9,1344.91

11,02:30-02:45,8.8,26.91,26.91,21.77,17.5,8.41,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.68,48.38,3.87,241.92,0,0,0,24.19,32.9,1344.91

12,02:45-03:00,8.8,26.91,26.91,21.77,17.5,8.41,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.68,48.38,3.87,241.92,0,0,0,24.19,32.9,1344.91

13,03:00-03:15,8.8,26.91,26.91,21.77,17.5,8.41,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.63,48.38,3.87,241.92,0,0,0,24.19,0,1311.96

14,03:15-03:30,8.8,26.91,26.91,21.77,17.5,8.41,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.63,48.38,3.87,241.92,0,0,0,24.19,0,1311.96

15,03:30-03:45,8.8,26.91,26.91,21.77,17.5,8.41,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.63,48.38,3.87,241.92,0,0,0,24.19,0,1311.96

16,03:45-04:00,8.8,26.91,26.91,21.77,17.5,8.41,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.63,48.38,3.87,241.92,0,0,0,24.19,0,1311.96

17,04:00-04:15,8.8,26.91,26.91,21.77,17.5,8.31,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.58,48.38,3.87,241.92,0,0,0,24.19,0,1311.8100000000002

18,04:15-04:30,8.8,26.91,26.91,21.77,17.5,8.31,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.58,48.38,3.87,241.92,0,0,0,24.19,0,1311.8100000000002

19,04:30-04:45,8.8,26.91,26.91,21.77,17.5,8.31,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.58,48.38,3.87,241.92,0,0,0,24.19,0,1311.8100000000002

20,04:45-05:00,8.8,26.91,26.91,21.77,17.5,8.31,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.58,48.38,3.87,241.92,0,0,0,24.19,0,1311.8100000000002

21,05:00-05:15,8.8,26.91,26.91,21.77,17.5,8.23,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.58,48.38,3.87,241.92,0,0,0,24.19,0,1311.73

22,05:15-05:30,8.8,26.91,26.91,21.77,17.5,8.23,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.58,48.38,3.87,241.92,0,0,0,24.19,0,1311.73

23,05:30-05:45,8.8,26.91,26.91,21.77,17.5,8.23,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.58,48.38,3.87,241.92,0,0,0,24.19,0,1311.73

24,05:45-06:00,8.8,26.91,26.91,21.77,17.5,8.23,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.58,48.38,3.87,241.92,0,0,0,24.19,0,1311.73

25,06:00-06:15,8.8,26.91,26.91,21.77,17.5,8.23,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.68,48.38,3.87,241.92,0,0,0,24.19,0,1094.1

26,06:15-06:30,8.8,26.91,26.91,21.77,17.5,8.23,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.68,48.38,3.87,241.92,0,0,0,24.19,0,1094.1

27,06:30-06:45,8.8,26.91,26.91,21.77,17.5,8.23,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0,163.11,30,6.77,0.68,48.38,3.87,241.92,0,0,0.02,24.19,0,1093.1499999999999

28,06:45-07:00,8.8,26.91,26.91,21.77,17.5,8.23,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,5.81,0.68,48.38,3.87,241.92,0,0,0.42,24.19,0,1093.56

29,07:00-07:15,8.8,26.91,26.91,21.77,17.5,8.13,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,5.81,0.68,48.38,3.87,241.92,0,0,0.69,24.19,0,1093.73

30,07:15-07:30,8.8,26.91,26.91,21.77,17.5,8.13,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,5.81,0.68,48.38,3.87,241.92,0,0,1.32,24.19,0,1094.36

31,07:30-07:45,8.8,26.91,26.91,21.77,17.5,8.13,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,5.81,0.68,48.38,3.87,241.92,0,0,2.19,24.19,0,1095.23

32,07:45-08:00,8.8,26.91,26.91,21.77,17.5,8.13,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,5.81,0.68,48.38,3.87,241.92,0,0,2.1,24.19,0,1095.1399999999999

33,08:00-08:15,8.8,26.91,26.91,21.77,17.5,8.04,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,5.81,0.97,48.38,3.87,241.92,0,0,1.39,24.19,0,1094.63

34,08:15-08:30,8.8,26.91,26.91,21.77,17.5,8.04,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,5.81,0.97,48.38,3.87,241.92,0,0,1.62,24.19,0,1095.83

35,08:30-08:45,8.8,26.91,26.91,21.77,17.5,8.04,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,5.81,0.97,48.38,3.87,241.92,0,0,3.11,24.19,0,1097.32

36,08:45-09:00,8.8,26.91,26.91,21.77,17.5,8.04,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.97,48.38,3.87,241.92,0,0,4.03,24.19,0,1098.23

37,09:00-09:15,8.8,26.91,26.91,21.77,17.5,7.94,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.97,48.38,3.87,241.92,42.63,10.66,5.47,24.19,0,1152.8600000000001

38,09:15-09:30,8.8,26.91,26.91,21.77,17.5,7.94,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0,163.11,30,7.74,0.97,48.38,3.87,241.92,42.63,10.66,5.68,24.19,0,1153.0700000000002

39,09:30-09:45,8.8,26.91,26.91,21.77,17.5,7.94,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,7.74,0.97,48.38,3.87,241.92,42.63,9.11,6.52,24.19,0,1153.33

40,09:45-10:00,8.8,26.91,26.91,21.77,17.5,7.94,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,7.74,0.97,48.38,3.87,241.92,42.63,9.59,4.44,24.19,0,1151.73

41,10:00-10:15,8.8,26.91,26.91,21.77,17.5,7.94,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,7.74,0.97,48.38,3.87,241.92,42.63,8.91,5.04,24.19,0,1152.6200000000001

42,10:15-10:30,8.8,26.91,26.91,21.77,17.5,7.94,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,7.74,0.97,48.38,3.87,241.92,42.63,9.11,5.19,24.19,0,1152.97

43,10:30-10:45,8.8,26.91,26.91,21.77,17.5,7.94,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,8.71,0.97,48.38,3.87,241.92,42.63,9.2,5.47,24.19,0,1155.2700000000002

44,10:45-11:00,8.8,26.91,26.91,21.77,17.5,7.94,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,8.71,0.97,48.38,3.87,241.92,42.63,9.3,5.91,24.19,0,1155.8100000000002

45,11:00-11:15,8.8,26.91,26.91,21.77,17.5,7.94,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,8.71,0.97,48.38,3.87,241.92,42.63,9.79,7.4,24.19,0,1157.7900000000002

46,11:15-11:30,8.8,26.91,26.91,21.77,17.5,7.94,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,9.68,0.97,48.38,3.87,241.92,42.63,10.08,6.6,24.19,0,1157.29

47,11:30-11:45,8.8,26.91,26.91,21.77,17.5,7.94,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,9.68,0.97,48.38,3.87,241.92,42.63,10.37,6.02,24.19,0,1157

48,11:45-12:00,8.8,26.91,26.91,21.77,17.5,7.94,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,9.68,0.97,48.38,3.87,241.92,42.63,10.37,4.97,24.19,0,1155.95

49,12:00-12:15,8.8,26.91,26.91,21.77,17.5,7.85,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,9.68,0.97,48.38,3.87,241.92,42.63,10.37,6.44,24.19,0,1157.3300000000002

50,12:15-12:30,8.8,26.91,26.91,21.77,17.5,7.85,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,9.68,0.97,48.38,3.87,241.92,42.63,10.37,5.8,24.19,0,1156.69

51,12:30-12:45,8.8,26.91,26.91,21.77,17.5,7.85,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,9.68,0.97,48.38,3.87,241.92,42.63,10.27,5.95,24.19,0,1156.7400000000002

52,12:45-13:00,8.8,26.91,26.91,21.77,17.5,7.85,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,9.68,0.97,48.38,3.87,241.92,42.63,10.27,9.11,24.19,0,1159.9

53,13:00-13:15,8.8,26.91,26.91,21.77,17.5,7.85,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,9.68,0.97,48.38,3.87,241.92,42.63,10.27,8.26,24.19,0,1159.0500000000002

54,13:15-13:30,8.8,26.91,26.91,21.77,17.5,7.85,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,9.68,0.97,48.38,3.87,241.92,42.63,10.17,5.34,24.19,0,1156.0300000000002

55,13:30-13:45,8.8,26.91,26.91,21.77,17.5,7.85,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,9.68,0.97,48.38,3.87,241.92,42.63,10.08,5.52,24.19,0,1156.1200000000001

56,13:45-14:00,8.8,26.91,26.91,21.77,17.5,7.85,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,9.68,0.97,48.38,3.87,241.92,42.63,9.88,7.7,24.19,0,1158.1000000000004

57,14:00-14:15,8.8,26.91,26.91,21.77,17.5,7.94,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,9.68,0.97,48.38,3.87,241.92,42.63,9.69,4.65,24.19,0,1154.9500000000003

58,14:15-14:30,8.8,26.91,26.91,21.77,17.5,7.94,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,9.68,0.97,48.38,3.87,241.92,42.63,9.4,6.06,24.19,0,1156.0700000000002

59,14:30-14:45,8.8,26.91,26.91,21.77,17.5,7.94,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,9.68,0.97,48.38,3.87,241.92,42.63,9.2,0.83,24.19,0,1150.64

60,14:45-15:00,8.8,26.91,26.91,21.77,17.5,7.94,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,9.68,0.97,48.38,3.87,241.92,42.63,9.01,0.79,24.19,0,1150.41

61,15:00-15:15,8.8,26.91,26.91,21.77,17.5,8.04,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,9.68,0.97,48.38,3.87,241.92,42.63,9.01,1.94,24.19,0,1151.66

62,15:15-15:30,8.8,26.91,26.91,21.77,17.5,8.04,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,9.68,0.97,48.38,3.87,241.92,42.63,8.82,1.47,24.19,0,1151.96

63,15:30-15:45,8.8,26.91,26.91,21.77,17.5,8.04,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,9.68,0.97,48.38,3.87,241.92,42.63,8.72,0.6,24.19,0,1150.99

64,15:45-16:00,8.8,26.91,26.91,21.77,17.5,8.04,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,9.68,0.97,48.38,3.87,241.92,42.63,8.53,1.45,24.19,0,1151.65

65,16:00-16:15,8.8,26.91,26.91,21.77,17.5,8.23,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,9.68,0.87,48.38,3.87,241.92,42.63,8.33,0.4,24.19,0,1150.49

66,16:15-16:30,8.8,26.91,26.91,21.77,17.5,8.23,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,9.68,0.87,48.38,3.87,241.92,42.63,7.85,0.38,24.19,0,1149.99

67,16:30-16:45,8.8,26.91,26.91,21.77,17.5,8.23,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,9.68,0.87,48.38,3.87,241.92,39.92,7.17,0.63,24.19,0,1146.8500000000001

68,16:45-17:00,8.8,26.91,26.91,21.77,17.5,8.23,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,9.68,0.87,48.38,3.87,241.92,33.43,6.59,0.27,24.19,0,1139.4199999999998

69,17:00-17:15,8.8,26.91,26.91,21.77,17.5,8.41,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,9.68,0.82,48.38,3.87,241.92,0,0,0.24,24.19,0,1099.5

70,17:15-17:30,8.8,26.91,26.91,21.77,17.5,8.41,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,9.68,0.82,48.38,3.87,241.92,0,0,0.19,24.19,0,1099.45

71,17:30-17:45,8.8,26.91,26.91,21.77,17.5,8.41,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,9.68,0.82,48.38,3.87,241.92,0,0,0.11,24.19,0,1099.37

72,17:45-18:00,8.8,25.74,25.74,21.77,17.5,8.41,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,9.68,0.82,48.38,3.87,241.92,0,0,0.02,24.19,0,1096.9399999999998

73,18:00-18:15,8.8,25.74,25.74,21.77,17.5,8.5,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,9.68,0.82,48.38,3.87,241.92,0,0,0,24.19,0,1097.01

74,18:15-18:30,8.8,25.74,25.74,21.77,17.5,8.5,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,9.68,0.82,48.38,3.87,241.92,0,0,0,24.19,0,1097.01

75,18:30-18:45,8.8,32,5.95,21.77,17.5,8.5,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,9.68,0.82,48.38,3.87,241.92,0,0,0,24.19,0,1083.48

76,18:45-19:00,8.8,32,5.95,21.77,17.5,8.5,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,9.68,0.82,48.38,3.87,241.92,0,0,0,24.19,0,1083.48

77,19:00-19:15,8.8,32,5.95,21.77,17.5,8.59,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,9.68,0.82,48.38,3.87,241.92,0,0,0,24.19,0,1083.57

78,19:15-19:30,8.8,32,5.95,21.77,17.5,8.59,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,9.68,0.82,48.38,3.87,241.92,0,0,0,24.19,0,1083.57

79,19:30-19:45,8.8,32,5.95,21.77,17.5,8.59,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,9.68,0.82,48.38,3.87,241.92,0,0,0,24.19,0,1083.57

80,19:45-20:00,8.8,32,5.95,21.77,17.5,8.59,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,9.68,0.82,48.38,3.87,241.92,0,0,0,24.19,0,1083.57

81,20:00-20:15,8.8,32,32,21.77,17.5,8.59,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,9.68,0.77,48.38,3.87,241.92,0,0,0,24.19,0,1108.61

82,20:15-20:30,8.8,32,32,21.77,17.5,8.59,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,9.68,0.77,48.38,3.87,241.92,0,0,0,24.19,0,1108.61

83,20:30-20:45,8.8,32,32,21.77,17.5,8.59,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,9.68,0.77,48.38,3.87,241.92,0,0,0,24.19,0,1108.61

84,20:45-21:00,8.8,32,32,21.77,17.5,8.59,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,8.71,0.77,48.38,3.87,241.92,0,0,0,24.19,0,1108.6

85,21:00-21:15,8.8,32,32,21.77,17.5,8.5,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,8.71,0.77,48.38,3.87,241.92,0,0,0,24.19,0,1108.51

86,21:15-21:30,8.8,32,32,21.77,17.5,8.5,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,8.71,0.77,48.38,3.87,241.92,0,0,0,24.19,0,1108.51

87,21:30-21:45,8.8,0,32,21.77,17.5,8.5,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,8.71,0.77,48.38,3.87,241.92,0,0,0,24.19,0,1076.51

88,21:45-22:00,8.8,0,32,21.77,17.5,8.5,0,2.42,96.77,26.39,0,26.39,84.36,90.96,4.84,26.39,96.77,8.8,2.9,163.11,30,8.71,0.77,48.38,3.87,241.92,0,0,0,24.19,0,1076.51

89,22:00-22:15,8.8,0,24.08,21.77,17.5,8.41,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,8.71,0.77,48.38,3.87,241.92,0,0,0,24.19,0,1284.3000000000002

90,22:15-22:30,8.8,0,24.08,21.77,17.5,8.41,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,8.71,0.77,48.38,3.87,241.92,0,0,0,24.19,0,1284.3000000000002

