Column1,Block,WR/2025/27361/A/67418,NR/2025/26208/C,WR/2025/27350/A/66949,NR/2025/26209/C,NR/2025/26210/C,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/66933,NR/2025/26205/C,NR/2025/26206/C,NR/2025/26211/C,NR/2025/25947/A/67409,NR/2025/25948/A/67408,NR/2025/26031/A/67128,NR/2025/26183/C,NR/2025/26085/A/67180,NR/2025/25945/A/67410,NR/2025/25955/A/67407,NR/2025/26207/C,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/2139,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/16/4327,NR/30092023/31122025/SH-07,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/16/2341,GNA/SR/2025/04/01/2597,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6216,NR/2025/26204/C,Total
3,00:30-00:45,24.04,8.37,0,3.85,12.31,0,0,0,4.13,11.15,26.22,8.74,3.85,213.45,0.48,26.22,17.48,10.29,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,9.2,48.08,72.11,32,21.9,19.23,52.5,32,9.62,2.88,9.62,20.38,920.62

4,00:45-01:00,24.04,8.37,0,3.85,11.83,0,0,0,4.13,11.06,26.22,8.74,3.85,213.45,0.48,26.22,17.48,10.19,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,9.2,48.08,72.11,32,21.9,19.23,52.5,32,9.62,2.88,9.62,20.48,920.0500000000001

5,01:00-01:15,24.04,8.37,0,3.85,11.44,0,0,0,4.13,10.96,26.22,8.74,3.85,213.45,0.48,26.22,17.48,9.04,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,9.11,48.08,72.11,32,21.9,19.23,52.5,32,9.62,2.88,9.62,20.19,918.0300000000001

6,01:15-01:30,24.04,8.37,0,3.85,11.06,0,0,0,4.13,10.86,26.22,8.74,3.85,213.45,0.48,26.22,17.48,7.79,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,9.11,48.08,72.11,32,21.9,19.23,52.5,32,9.62,2.88,9.62,19.71,915.82

7,01:30-01:45,24.04,8.37,0,3.85,10.67,0,0,0,4.13,10.77,26.22,8.74,3.85,213.45,0.48,26.22,17.48,7.69,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,9.11,48.08,72.11,32,21.9,19.23,52.5,32,9.62,2.88,9.62,19.23,914.76

8,01:45-02:00,24.04,8.37,0,3.85,10.77,0,0,0,4.13,10.67,26.22,8.74,3.85,213.45,0.48,26.22,17.48,7.79,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,9.11,48.08,72.11,32,21.9,19.23,52.5,32,9.62,2.88,9.62,18.75,914.38

9,02:00-02:15,24.04,8.37,96.15,3.85,10.86,0,0,0,3.75,7.5,26.22,8.74,3.85,213.45,0.48,26.22,17.48,7.31,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,9.02,48.08,72.11,32,21.9,19.23,0,32,9.62,2.88,9.62,17.31,952.56

10,02:15-02:30,24.04,8.37,96.15,3.85,10.86,0,0,0,3.75,6.63,26.22,8.74,3.85,213.45,0.48,26.22,17.48,7.88,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,9.02,48.08,72.11,32,21.9,19.23,0,32,9.62,2.88,9.62,16.83,951.7800000000001

11,02:30-02:45,24.04,8.37,96.15,3.85,10.86,0,0,0,3.75,6.35,26.22,8.74,3.85,213.45,0.48,26.22,17.48,8.94,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,9.02,48.08,72.11,32,21.9,19.23,0,32,9.62,2.88,9.62,16.63,952.36

12,02:45-03:00,24.04,8.37,96.15,3.85,10.58,0,0,0,3.75,6.15,26.22,8.74,3.85,213.45,0.48,26.22,17.48,7.88,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,9.02,48.08,72.11,32,21.9,19.23,0,32,9.62,2.88,9.62,16.54,950.73

13,03:00-03:15,24.04,7.4,96.15,3.85,10.29,0,0,0,3.75,6.06,26.22,8.74,3.85,213.45,0.43,26.22,17.48,7.02,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.84,48.08,72.11,32,21.9,19.23,0,32,9.62,2.88,9.62,11.73,943.48

14,03:15-03:30,24.04,7.4,96.15,3.85,10,0,0,0,3.75,6.06,26.22,8.74,3.85,213.45,0.43,26.22,17.48,6.25,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.84,48.08,72.11,32,21.9,19.23,0,32,9.62,2.88,9.62,11.73,942.4200000000001

15,03:30-03:45,24.04,7.4,96.15,3.85,9.71,0,0,0,3.75,6.06,26.22,8.74,3.85,213.45,0.43,26.22,17.48,5.38,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.84,48.08,72.11,32,21.9,19.23,0,0,9.62,2.88,9.62,11.73,909.2600000000001

16,03:45-04:00,24.04,7.4,96.15,3.85,9.71,0,0,0,3.75,6.06,26.22,8.74,3.85,213.45,0.43,26.22,17.48,5.48,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.84,48.08,72.11,32,21.9,19.23,0,0,9.62,2.88,9.62,11.73,909.3600000000001

17,04:00-04:15,24.04,24.04,96.15,3.85,9.62,0,0,0,3.75,6.44,26.22,8.74,3.85,213.45,0.48,26.22,17.48,5.19,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.74,48.08,72.11,32,21.9,19.23,0,0,9.62,2.88,9.62,13.17,927.39

18,04:15-04:30,24.04,24.04,96.15,3.85,9.52,0,0,0,3.75,6.63,26.22,8.74,3.85,223.07,0.48,26.22,17.48,4.71,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.74,48.08,72.11,32,21.9,19.23,0,0,9.62,2.88,9.62,13.85,937.3000000000001

19,04:30-04:45,24.04,24.04,96.15,3.85,9.42,0,0,0,3.75,6.63,26.22,8.74,3.85,223.07,0.48,26.22,17.48,4.42,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.74,48.08,72.11,32,21.9,19.23,0,0,9.62,2.88,9.62,14.23,937.2900000000001

20,04:45-05:00,24.04,24.04,96.15,3.85,9.23,0,0,0,3.75,6.63,26.22,8.74,3.85,223.07,0.48,26.22,17.48,3.94,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.74,48.08,72.11,32,21.9,19.23,0,0,9.62,2.88,9.62,16.25,938.64

21,05:00-05:15,24.04,24.04,96.15,3.85,9.04,0,0,0,3.75,6.63,26.22,8.74,3.85,223.07,0.48,26.22,17.48,3.46,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.65,48.08,72.11,32,21.9,19.23,0,0,9.62,2.88,9.62,16.15,937.78

22,05:15-05:30,24.04,24.04,96.15,3.85,8.94,0,0,0,3.75,6.63,26.22,8.74,3.85,223.07,0.48,26.22,17.48,2.98,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.65,48.08,72.11,32,21.9,19.23,0,0,9.62,2.88,9.62,15.96,937.0100000000001

23,05:30-05:45,24.04,24.04,96.15,3.85,8.85,0,0,0,3.75,6.63,26.22,8.74,3.85,223.07,0.48,26.22,17.48,2.69,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.65,48.08,72.11,32,21.9,19.23,0,0,9.62,2.88,9.62,15.38,936.05

24,05:45-06:00,24.04,24.04,96.15,3.85,8.46,0,0,0,3.75,6.63,26.22,8.74,3.85,223.07,0.48,26.22,17.48,2.21,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.65,48.08,72.11,32,21.9,19.23,0,0,9.62,2.88,9.62,14.71,934.51

25,06:00-06:15,24.04,24.04,96.15,3.85,8.17,0,0,0,3.75,5.29,26.22,8.74,3.85,223.07,0.58,26.22,17.48,1.92,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.56,48.08,72.11,32,21.9,19.23,0,0,9.62,2.88,9.62,12.88,930.7699999999999

26,06:15-06:30,24.04,24.04,96.15,3.85,8.17,0.25,0,0,3.75,4.52,26.22,8.74,3.85,223.07,0.58,26.22,17.48,1.83,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.56,48.08,72.11,32,21.9,19.23,0,0,9.62,2.88,9.62,12.79,930.0699999999998

27,06:30-06:45,24.04,24.04,96.15,3.85,8.17,2.53,0,0,3.75,4.52,26.22,8.74,3.85,242.3,0.58,26.22,17.48,2.69,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.56,48.08,72.11,32,21.9,19.23,0,0,9.62,2.88,9.62,11.92,951.5699999999999

28,06:45-07:00,24.04,24.04,96.15,3.85,8.17,6.17,0,0,3.75,4.52,26.22,8.74,3.85,242.3,0.58,26.22,17.48,1.44,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.56,48.08,72.11,32,21.9,19.23,0,17.6,9.62,2.88,9.62,11.35,970.99

29,07:00-07:15,24.04,24.04,96.15,3.85,8.17,10.29,0,0,3.75,4.52,26.22,8.74,3.85,242.3,0.62,26.22,17.48,0.58,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.46,48.08,72.11,32,28.84,19.23,0,24.32,9.62,2.88,9.62,9.23,985.7300000000001

30,07:15-07:30,24.04,24.04,96.15,3.85,8.17,15.82,0,0,3.75,4.52,26.22,8.74,3.85,242.3,0.62,26.22,17.48,0.48,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.46,48.08,72.11,32,28.84,19.23,0,24.32,9.62,2.88,9.62,5.29,987.2200000000003

31,07:30-07:45,24.04,24.04,96.15,3.85,8.17,22.4,0,0,3.75,4.52,26.22,8.74,3.85,242.3,0.62,26.22,17.48,0.48,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.46,48.08,72.11,32,28.84,19.23,0,24.32,9.62,2.88,9.62,0,988.5100000000002

32,07:45-08:00,24.04,24.04,96.15,3.85,8.17,30.13,0,0,3.75,4.52,26.22,8.74,3.85,242.3,0.62,26.22,17.48,0.48,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.46,48.08,72.11,32,28.84,19.23,0,24.32,9.62,2.88,9.62,0,996.2400000000002

33,08:00-08:15,24.04,24.04,0,3.85,8.17,38.08,3.85,0,3.37,4.52,26.22,8.74,3.85,223.07,0.96,26.22,17.48,0.38,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.37,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,888.43

34,08:15-08:30,24.04,0,0,0,0,45.89,3.85,0,0,0,26.22,8.74,3.85,223.07,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.37,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,851.91

35,08:30-08:45,24.04,0,0,0,0,53.54,3.85,0,0,0,26.22,8.74,3.85,223.07,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.37,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,859.56

36,08:45-09:00,24.04,0,0,0,0,60.94,3.85,0,0,0,26.22,8.74,3.85,223.07,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.37,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,866.96

37,09:00-09:15,24.04,0,0,0,0,67.76,6.73,0,0,0,26.22,8.74,3.85,223.07,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.28,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,876.5699999999999

38,09:15-09:30,24.04,0,0,0,0,74.23,6.73,0,0,0,26.22,8.74,3.85,223.07,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.28,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,883.04

39,09:30-09:45,24.04,0,0,0,0,80.32,6.73,0,0,0,26.22,8.74,3.85,223.07,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.28,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,889.13

40,09:45-10:00,24.04,0,0,0,0,86.24,6.73,0,0,0,26.22,8.74,3.85,223.07,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.28,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,895.05

41,10:00-10:15,24.04,0,0,0,0,91.36,6.73,0,0,0,26.22,8.74,3.85,232.68,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.19,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,909.69

42,10:15-10:30,24.04,0,0,0,0,94.81,6.92,0,0,0,26.22,8.74,3.85,232.68,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.19,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,913.33

43,10:30-10:45,24.04,0,0,0,0,97.82,8.65,0,0,0,26.22,8.74,3.85,232.68,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.19,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,918.07

44,10:45-11:00,24.04,0,0,0,0,99.6,7.98,0,0,0,26.22,8.74,3.85,232.68,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.19,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,919.1800000000001

45,11:00-11:15,24.04,0,0,0,0,100,7.98,0,0,0,26.22,8.74,3.85,232.68,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.1,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,919.49

46,11:15-11:30,24.04,0,0,0,0,100,7.98,0,0,0,26.22,8.74,3.85,232.68,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.1,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,919.49

47,11:30-11:45,24.04,0,0,0,0,100,7.98,0,0,0,26.22,8.74,3.85,232.68,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.1,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,919.49

48,11:45-12:00,24.04,0,0,0,0,100,7.98,0,0,0,26.22,8.74,3.85,232.68,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.1,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,919.49

49,12:00-12:15,24.04,0,0,0,0,100,7.98,0,0,0,26.22,8.74,3.85,232.68,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.01,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,919.4

50,12:15-12:30,24.04,0,0,0,0,100,7.98,0,0,0,26.22,8.74,3.85,232.68,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.01,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,919.4

51,12:30-12:45,24.04,0,0,0,0,100,7.98,0,0,0,26.22,8.74,3.85,232.68,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.01,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,919.4

52,12:45-13:00,24.04,0,0,0,0,100,7.98,0,0,0,26.22,8.74,3.85,232.68,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,8.01,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,919.4

53,13:00-13:15,24.04,0,0,0,0,100,7.98,0,0,0,26.22,8.74,3.85,232.68,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,7.91,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,919.3

54,13:15-13:30,24.04,0,0,0,0,100,7.98,0,0,0,26.22,8.74,3.85,232.68,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,7.91,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,919.3

55,13:30-13:45,24.04,0,0,0,0,100,7.98,0,0,0,26.22,8.74,3.85,232.68,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,7.91,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,919.3

56,13:45-14:00,24.04,0,0,0,0,100,7.98,0,0,0,26.22,8.74,3.85,232.68,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,7.91,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,919.3

57,14:00-14:15,24.04,0,0,0,0,100,7.12,0,0,0,26.22,8.74,3.85,232.68,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,7.83,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,918.36

58,14:15-14:30,24.04,0,0,0,0,99.2,7.12,0,0,0,26.22,8.74,3.85,232.68,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,7.83,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,917.5600000000001

59,14:30-14:45,24.04,0,0,0,0,98.36,5.58,0,0,0,26.22,8.74,3.85,232.68,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,7.83,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,915.1800000000001

60,14:45-15:00,24.04,0,0,0,0,95.68,6.83,0,0,0,26.22,8.74,3.85,213.45,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,7.83,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,894.52

61,15:00-15:15,24.04,0,0,0,0,91.37,6.15,0,0,0,26.22,8.74,3.85,213.45,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,7.73,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,889.4300000000001

62,15:15-15:30,24.04,0,0,0,0,85.37,6.06,0,0,0,26.22,8.74,3.85,213.45,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,7.73,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,883.34

63,15:30-15:45,24.04,0,0,0,0,84.22,6.15,0,0,0,26.22,8.74,3.85,213.45,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,7.73,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,882.28

64,15:45-16:00,24.04,0,0,0,0,77.98,6.15,0,0,0,26.22,8.74,3.85,213.45,0.96,26.22,17.48,0,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,7.73,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,876.0400000000001

65,16:00-16:15,24.04,0,0,0,0,72.3,3.46,0,0,0,26.22,8.74,4.81,213.45,0.82,26.22,17.48,0,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,7.91,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,918.67

66,16:15-16:30,24.04,0,0,0,0,65.45,3.56,0,0,0,26.22,8.74,4.81,213.45,0.82,26.22,17.48,0,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,7.91,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,911.92

67,16:30-16:45,24.04,0,0,0,0,53,3.56,0,0,0,26.22,8.74,4.81,213.45,0.82,26.22,17.48,0,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,7.91,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,899.47

68,16:45-17:00,24.04,0,0,0,0,46.23,3.37,0,0,0,26.22,8.74,4.81,213.45,0.82,26.22,17.48,0,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,7.91,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,892.51

69,17:00-17:15,24.04,11.25,0,3.08,8.17,39.5,0,0,4.13,5.96,26.22,8.74,4.81,213.45,0.67,26.22,17.48,3.08,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,8.1,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,918.12

70,17:15-17:30,24.04,11.25,0,3.08,8.17,32.26,0,0,4.13,7.98,26.22,8.74,4.81,242.3,0.67,26.22,17.48,2.98,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,8.1,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,941.6500000000001

71,17:30-17:45,24.04,11.25,0,3.08,8.17,24.67,0,0,4.13,8.17,26.22,8.74,4.81,242.3,0.67,26.22,17.48,2.88,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,8.1,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,934.1500000000001

72,17:45-18:00,24.04,11.25,0,3.08,8.17,17.38,0,0,4.13,8.46,26.22,8.74,4.81,271.14,0.67,26.22,17.48,2.79,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,8.1,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,0,955.9

