Column1,Time,NR/01102023/30042040/GNA_LT_36,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,NR/30092023/26122029/SH-06,WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/6020,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/6566,NR/30092023/31122025/SH-07,GNA/NR/2024/09/16/2535,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7119
9,02:00-02:15,0,10.73,100.97,70.64,0,0,3.99,29.77,87.42,206.97,0,32,43.33,29.81,10.66,0,13.34,43.33,0,0,0,0,0,13.33,0,0,0,40,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.69,32.95,17.52

10,02:15-02:30,0,10.73,100.97,70.64,0,0,3.99,29.77,76.85,216.66,0,32,42.67,29.61,10.66,0,13.34,42.67,0,0,0,0,0,13.33,0,0,0,40,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.69,32.95,17.52

11,02:30-02:45,0,10.73,100.97,70.64,0,0,3.99,29.27,76.85,196.4,0,32,41.67,29.21,11,0,13.34,41.67,0,0,0,0,0,13.33,0,0,0,40,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.69,32.95,17.52

12,02:45-03:00,0,10.73,100.97,70.64,0,0,3.99,29.27,76.85,186.71,0,32,42.67,29.81,10.66,0,13.34,42.67,0,0,0,0,0,13.33,0,0,0,40,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.69,32.95,17.52

13,03:00-03:15,0,10.64,100.97,70.64,0,0,3.99,28.26,76.85,238.02,0,32,43,30.01,11.66,0,13,43,0,0,0,0,0,13,0,0,0,39,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.59,0,17.52

14,03:15-03:30,0,10.64,100.97,70.64,0,0,3.99,28.26,76.85,242.86,0,32,41.67,29.81,11.66,0,12.66,41.67,0,0,0,0,0,12.67,0,0,0,38,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.59,0,17.52

15,03:30-03:45,0,10.64,100.97,70.64,0,0,3.99,28.26,76.85,242.86,0,32,49.33,20.01,14,0,16.66,49.33,0,0,0,0,0,16.67,0,0,0,50,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.59,0,17.52

16,03:45-04:00,0,10.64,100.97,70.64,0,0,3.99,28.26,76.85,238.02,0,32,48.33,19.61,13.34,0,16.16,48.33,0,0,0,0,0,16.17,0,0,0,48.5,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.59,0,17.52

17,04:00-04:15,0,10.64,100.97,70.64,0,0,3.99,28.26,76.85,233.17,0,32,47,19.01,13.34,0,15.66,47,0,0,0,0,0,15.67,0,0,0,47,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.5,0,17.52

18,04:15-04:30,0,10.64,100.97,70.64,0,0,3.99,28.26,76.85,233.17,0,32,45,18.41,12.66,0,15.16,45,0,0,0,0,0,15.17,0,0,0,45.5,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.5,0,17.52

19,04:30-04:45,0,10.64,87.23,70.64,0,0,3.99,28.26,76.85,231.23,0,32,43.33,18.01,6.66,0,11.66,43.33,0,0,0,0,0,11.67,0,0,0,35,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.5,0,17.52

20,04:45-05:00,0,10.64,87.23,70.64,0,0,3.99,28.26,76.85,233.17,0,32,41.67,17.41,6.66,0,10.84,41.67,0,0,0,0,0,10.83,0,0,0,32.5,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.5,0,17.52

21,05:00-05:15,0,10.54,87.23,70.64,0,0,3.99,28.26,76.85,177.01,0,32,29.67,16.81,6.66,0,10,29.67,0,0,0,0,0,10,0,0,0,30,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.41,0,17.52

22,05:15-05:30,0,10.54,87.23,70.64,0,0,3.99,28.26,76.85,233.17,0,32,28.33,16.21,6.66,0,9.16,28.33,0,0,0,0,0,9.17,0,0,0,27.5,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.41,0,17.52

23,05:30-05:45,0,10.54,100.97,70.64,0,0,3.99,28.26,76.85,242.86,0,32,14.67,15.41,6.66,0,8.34,14.67,0,0,0,0,0,8.33,0,0,0,25,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.41,0,17.52

24,05:45-06:00,0,10.54,100.97,70.64,0,0,3.99,29.27,76.85,242.86,0,32,14.67,14.01,6.66,0,7.34,14.67,0,0,0,0,0,7.33,0,0,0,22,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.41,0,17.52

25,06:00-06:15,0,10.36,100.97,70.64,0,0,3.99,29.27,87.42,263.14,0,32,14.67,21.01,6.66,0.05,7.16,14.67,0,3.4,1,13.27,1,7.17,0,0,0,21.5,0,13.02,1,8.81,82.38,274.04,18.51,2.13,20.6,32,0,0,5.31,0,17.52

26,06:15-06:30,0,10.36,100.97,70.64,0,0,3.99,29.27,87.42,263.14,0,32,14.67,20.61,6.66,0.46,7.16,14.67,1,8.6,4,23.33,1,7.17,0,0,0,21.5,1,22.9,2,8.81,82.38,274.04,18.51,2.13,20.6,32,0,0,5.31,0,17.52

27,06:30-06:45,0.45,10.36,100.97,66.47,0.44,0,3.99,29.27,87.42,263.14,0,32,14.67,20.01,6.66,1.01,7.16,14.67,3,11.2,7,32.14,3,7.17,1.06,2,0.21,21.5,3,31.53,5,8.81,82.38,274.04,18.51,2.13,20.6,32,0,0.44,5.31,0,17.52

28,06:45-07:00,0.8,10.36,100.97,66.47,0.78,0,3.99,28.77,87.42,263.14,0,32,14.67,19.41,6.66,1.51,7.16,14.67,4,14.7,14,32.15,6,7.17,5.18,3,1.03,21.5,7,33,8,8.81,82.38,274.04,18.51,2.13,20.6,32,0,0.78,5.31,0,17.52

29,07:00-07:15,1.35,10.36,100.97,70.64,1.32,0,3.99,28.26,57.86,206.97,0,32,14.67,16.81,6.66,2.01,7.16,14.67,5,18.1,21,33,9,7.17,11.99,5,2.4,21.5,10,33,10,8.81,82.38,232.61,18.51,2.13,20.6,32,0,1.32,5.22,0,17.52

30,07:15-07:30,2.11,10.36,100.97,70.64,2.06,0,3.99,28.26,57.86,186.71,0,32,14.67,16.21,6.66,2.54,7.16,14.67,7,25.1,32,33,13,7.17,21.66,8,4.33,21.5,13,33,15,8.81,82.38,274.04,18.51,2.13,20.6,32,0,2.06,5.22,0,17.52

31,07:30-07:45,3.05,10.36,100.97,70.64,2.97,0,3.99,28.26,57.86,172.17,0,32,14.67,15.21,6.66,4,7.16,14.67,9,32.67,42,32.66,18,7.17,35.18,11,7.03,21.5,17,32.67,18,8.81,82.38,274.04,18.51,2.13,20.6,32,0,2.97,5.22,0,17.52

32,07:45-08:00,3.76,10.36,96.92,70.64,3.67,0,3.99,28.77,57.86,172.17,0,32,14.67,14.41,6.66,4.6,7.16,14.67,12,33,53,33,22,7.17,52.18,16,10.43,21.5,20,33,25,8.81,82.38,274.04,18.51,2.13,20.6,32,0,3.67,5.22,0,17.52

33,08:00-08:15,4.81,10.27,72.84,70.64,4.7,0,3.99,28.26,57.86,172.17,0,32,14.67,13.21,6.66,5.5,7.16,14.67,15,33,67,33,28,7.17,70.5,20,14.1,21.5,24,33,32,8.81,82.38,232.61,18.51,2.13,20.6,0,0,4.7,5.13,0,17.52

34,08:15-08:30,5.94,10.27,67.84,70.64,5.8,0,3.99,28.77,57.86,172.17,0,32,14.67,12.21,6.66,6.83,7.16,14.67,19,33,81,33,34,7.17,90.54,23,18.11,21.5,31,33,39,8.81,82.38,193.84,18.51,2.13,20.6,0,0,5.8,5.13,0,17.52

35,08:30-08:45,7.02,10.27,67.84,70.64,6.85,0,3.99,28.77,57.86,172.17,0,0,14.67,15.41,6.66,8.26,7.16,14.67,22,33,92,33,40,7.17,108.7,26,21.74,21.5,38,33,46,8.81,82.38,193.84,18.51,2.13,20.6,0,0,6.85,5.13,0,17.52

36,08:45-09:00,8.13,10.27,67.84,70.64,7.93,0,3.99,27.76,57.86,172.17,0,0,14.67,15.01,6.66,9.77,7.16,14.67,25,33,106,33,46,7.17,130.63,29,26.13,21.5,45,33,53,8.81,82.38,193.84,18.51,2.13,20.6,0,0,7.93,5.13,0,17.52

37,09:00-09:15,9.09,10.27,72.84,70.64,8.86,0,3.99,27.76,57.86,172.17,0,0,14.67,14.81,6.66,11.44,7.16,14.67,28,33,120,33,52,7.17,151.65,33,30.33,21.5,53,33,60,12.48,82.38,193.84,18.51,2.13,20.6,0,0,8.86,5.03,0,24.82

38,09:15-09:30,10.05,10.27,72.84,70.64,9.81,0,3.99,25.23,57.86,172.17,0,0,14.67,14.41,6.66,13.32,7.16,14.67,32,33,134,33,58,7.17,167.88,35,33.57,21.5,58,33,66,12.48,82.38,193.84,18.51,2.13,20.6,0,0,9.81,5.03,0,24.82

39,09:30-09:45,11.02,10.27,72.84,70.64,10.74,0,3.99,25.23,57.86,172.17,0,0,14.67,14.01,6.66,15.08,7.16,14.67,35,33,147,33,63,7.17,183.28,39,36.66,21.5,66,33,72,12.48,82.38,232.61,18.51,2.13,20.6,0,0,10.74,5.03,0,24.82

40,09:45-10:00,12.24,10.27,72.84,70.64,11.95,0,3.99,25.23,57.86,172.17,0,0,14.67,13.01,6.66,16.52,7.16,14.67,37,33,158,33,67,7.17,198.34,40,39.67,21.5,73,33,77,12.48,82.38,274.04,18.51,2.13,20.6,0,0,11.95,5.03,0,24.82

41,10:00-10:15,12.91,10.09,72.84,70.64,12.6,0,3.99,26.74,57.86,172.17,0,0,14.67,12.01,6.66,17.37,7.16,14.67,39,33,165,33,70,7.17,210.78,41,42.16,21.5,78,33,83,12.48,82.38,274.04,18.51,2.13,20.6,0,0,12.6,5.03,0,24.82

42,10:15-10:30,14.11,10.09,72.84,70.64,13.77,0,3.99,26.24,57.86,172.17,0,0,16,11.2,6.66,17.74,7.16,16,41,33,172,33,73,7.17,222.42,43,44.48,21.5,82,33,87,12.48,82.38,274.04,18.51,2.13,20.6,0,0,13.77,5.03,0,24.82

43,10:30-10:45,14.65,10.09,72.84,70.64,14.3,0,3.99,26.24,57.86,172.17,0,0,14.33,10,6.66,18.02,7.16,14.33,43,33,179,33,76,7.17,233.33,44,46.67,21.5,86,33,90,12.48,82.38,274.04,18.51,2.13,20.6,0,0,14.3,5.03,0,24.82

44,10:45-11:00,15.65,10.09,72.84,70.64,15.27,0,3.99,26.24,57.86,172.17,0,0,14.33,9,6.66,18.23,7.16,14.33,44,33,186,33,79,7.17,233.33,45,46.67,21.5,89,33,93,12.48,82.38,274.04,18.51,2.13,20.6,0,0,15.27,5.03,0,24.82

45,11:00-11:15,15.93,9.99,100.97,70.64,15.55,0,3.99,26.24,57.86,172.17,0,0,14.33,9,6.66,18.83,7.16,14.33,45,33,189,33,81,7.17,233.33,45,46.67,21.5,90,33,95,12.48,82.38,274.04,18.51,2.13,20.6,0,0,15.55,4.94,0,24.82

46,11:15-11:30,16.19,9.99,100.97,70.64,15.8,0,3.99,26.24,57.86,172.17,0,0,14.33,9,6.66,19.82,7.16,14.33,45,33,193,33,82,7.17,233.33,46,46.67,21.5,90,33,95,12.48,82.38,232.61,18.51,2.13,20.6,0,0,15.8,4.94,0,24.82

47,11:30-11:45,16.31,9.99,100.97,70.64,15.92,0,3.99,26.24,57.86,172.17,0,0,14.33,9,6.66,20.74,7.16,14.33,45,33,193,33,82,7.17,233.33,47,46.67,21.5,91,33,95,12.48,82.38,232.61,18.51,2.13,20.6,0,0,15.92,4.94,0,24.82

48,11:45-12:00,16.31,9.99,100.97,70.64,15.92,0,3.99,26.24,57.86,172.17,0,0,14.33,9,6.66,21.6,7.16,14.33,45,33,193,33,82,7.17,233.33,47,46.67,21.5,91,33,95,12.48,82.38,232.61,18.51,2.13,20.6,0,0,15.92,4.94,0,24.82

49,12:00-12:15,16.31,9.99,100.97,70.64,15.92,0,3.99,26.24,57.86,206.97,0,0,14.33,8.8,6.66,23.34,7.16,14.33,45,33,193,33,82,7.17,233.33,47,46.67,21.5,91,33,95,12.48,82.38,232.61,18.51,2.13,20.6,0,0,15.92,5.13,0,24.82

50,12:15-12:30,16.31,9.99,100.97,70.64,15.92,0,3.99,26.24,57.86,206.97,0,0,14.33,8.6,6.66,24.92,7.16,14.33,45,33,193,33,82,7.17,233.33,47,46.67,21.5,91,33,95,12.48,82.38,232.61,18.51,2.13,20.6,0,0,15.92,5.13,0,24.82

51,12:30-12:45,16.31,9.99,100.97,70.64,15.92,0,3.99,26.24,57.86,206.97,0,0,14.33,8,6.66,26.64,7.16,14.33,45,33,193,33,82,7.17,233.33,47,46.67,21.5,91,33,95,12.48,82.38,232.61,18.51,2.13,20.6,0,0,15.92,5.13,0,24.82

52,12:45-13:00,16.31,9.99,100.97,70.64,15.92,0,3.99,26.74,57.86,206.97,0,0,14.33,8,6.66,28.43,7.16,14.33,45,33,193,33,82,7.17,233.33,47,46.67,21.5,91,33,95,12.48,82.38,232.61,18.51,2.13,20.6,0,0,15.92,5.13,0,24.82

53,13:00-13:15,16.31,9.99,100.97,70.64,15.92,0,3.99,26.74,57.86,206.97,0,0,21,8,6.66,30.15,7.16,21,45,33,193,33,82,7.17,233.33,47,46.67,21.5,91,33,95,12.48,82.38,232.61,18.51,2.13,20.6,0,0,15.92,5.31,0,24.82

54,13:15-13:30,16.31,9.99,100.97,70.64,15.92,0,3.99,27.24,57.86,206.97,0,0,21.67,8,6.66,31.27,7.16,21.67,45,33,193,33,82,7.17,233.33,47,46.67,21.5,91,33,95,12.48,82.38,232.61,18.51,2.13,20.6,0,0,15.92,5.31,0,24.82

55,13:30-13:45,16.31,9.99,100.97,70.64,15.92,0,3.99,27.24,57.86,206.97,0,0,22.33,12.01,6.66,32.15,7.5,22.33,45,33,189,33,81,7.5,233.33,46,46.67,22.5,91,33,93,12.48,82.38,232.61,18.51,2.13,20.6,0,0,15.92,5.31,0,24.82

56,13:45-14:00,16.03,9.99,100.97,70.64,15.64,0,3.99,27.24,68.36,206.97,0,0,23,12.81,6.66,31.68,7.84,23,44,33,189,33,81,7.83,233.33,45,46.67,23.5,91,33,93,12.48,82.38,232.61,18.51,2.13,20.6,0,0,15.64,5.31,0,24.82

57,14:00-14:15,15.83,9.99,100.97,70.64,15.45,0,1.76,27.24,68.36,206.97,0,0,23.67,30.01,6.66,30.54,8.16,23.67,44,33,186,33,79,8.17,229.17,43,45.83,24.5,88,33,92,12.48,82.38,232.61,18.51,2.13,20.6,0,0,15.45,5.41,0,24.82

58,14:15-14:30,15.29,9.99,100.97,70.64,14.92,0,1.76,27.76,68.36,206.97,0,0,24,31.41,6.66,28.4,8.5,24,42,33,182,33,78,8.5,229.17,42,45.83,25.5,85,33,89,12.48,82.38,232.61,18.51,2.13,20.6,0,0,14.92,5.41,0,24.82

59,14:30-14:45,14.89,9.99,100.97,70.64,14.53,0,1.76,27.76,87.42,263.14,0,0,24.33,39.02,7,25.97,8.66,24.33,40,33,175,33,75,8.67,225,42,45,26,82,33,85,12.48,82.38,274.04,18.51,2.13,20.6,0,0,14.53,5.41,0,24.82

60,14:45-15:00,14.17,9.99,100.97,70.64,13.83,0,1.76,27.76,87.42,263.14,0,0,24.67,40.02,7,23.5,9,24.67,38,33,165,33,70,9,222.83,41,44.57,27,80,33,80,12.48,82.38,274.04,18.51,2.13,20.6,0,0,13.83,5.41,0,24.82

61,15:00-15:15,13.2,10.09,100.97,70.64,12.88,0,1.76,28.26,87.42,263.14,0,0,26.33,41.02,7.66,14.07,9.34,26.33,35,33,154,33,66,9.33,209.39,38,41.88,28,75,33,73,12.48,82.38,274.04,18.51,2.13,20.6,0,0,12.88,5.59,0,24.82

62,15:15-15:30,12.23,10.09,100.97,70.64,11.93,0,1.76,28.26,87.42,263.14,0,0,26.67,42.02,8,12.33,9.66,26.67,32,33,144,33,61,9.67,195.08,35,39.01,29,70,33,68,12.48,82.38,274.04,18.51,2.13,20.6,0,0,11.93,5.59,0,24.82

63,15:30-15:45,11.26,10.09,100.97,70.64,10.98,0,1.76,28.26,87.42,263.14,0,0,30.67,42.02,8.34,10.69,10,30.67,30,33,137,33,58,10,184.89,34,36.98,30,65,33,63,12.48,82.38,274.04,18.51,2.13,20.6,0,0,10.98,5.59,0,24.82

64,15:45-16:00,10.29,10.09,100.97,70.64,10.04,0,1.76,28.26,87.42,263.14,0,0,31.67,42.02,9,9.06,10.34,31.67,27,33,126,33,54,10.33,169.52,31,33.9,31,59,33,57,12.48,82.38,274.04,18.51,2.13,20.6,0,0,10.04,5.59,0,24.82

65,16:00-16:15,9.14,10.09,100.97,70.64,8.91,0,1.76,25.73,87.42,263.14,0,0,32,42.02,9,7.81,10.66,32,24,33,102,33,43,10.67,153.2,27,30.64,32,56,33,50,12.48,82.38,274.04,18.51,2.13,20.6,0,0,8.91,5.96,0,24.82

66,16:15-16:30,8.21,10.09,100.97,70.64,8.01,0,1.76,25.73,87.42,263.14,0,0,32.33,42.02,9,6.94,11.34,32.33,20,33,91,33,39,11.33,136.58,24,27.32,34,52,33,43,12.48,82.38,274.04,18.51,2.13,20.6,0,0,8.01,5.96,0,24.82

67,16:30-16:45,7.24,10.09,100.97,70.64,7.06,0,1.76,25.73,87.42,263.14,0,0,40,42.02,9,5.99,11.84,40,13,33,74,33,31,11.83,118.83,18,23.77,35.5,47,33,27,12.48,82.38,274.04,18.51,2.13,20.6,0,0,7.06,5.96,0,24.82

68,16:45-17:00,6.16,10.09,100.97,70.64,6.02,0,1.76,25.73,87.42,263.14,0,0,41.67,42.02,9.34,4.96,12.5,41.67,10,21.6,63,33,27,12.5,99.78,14,19.96,37.5,39,33,20,12.48,82.38,274.04,18.51,2.13,20.6,0,0,6.02,5.96,0,24.82

69,17:00-17:15,5.13,10.27,100.97,70.64,5,0,1.76,25.73,87.42,263.14,0,0,36,42.02,9.66,3.8,13.34,36,7,14.7,49,33,21,13.33,82.35,12,16.47,40,31,33,15,12.48,82.38,274.04,18.51,2.13,20.6,0,0,5,6.34,0,24.82

70,17:15-17:30,4.18,10.27,100.97,70.64,4.08,0,0,25.73,87.42,263.14,0,0,36.33,42.62,9.66,2.57,14.16,36.33,5,7.8,39,32.34,16,14.17,63.48,11,12.69,42.5,25,33,10,12.48,82.38,274.04,18.51,2.13,20.6,0,0,4.08,6.34,0,24.82

71,17:30-17:45,3.19,10.27,100.97,70.64,3.11,0,0,25.73,87.42,263.14,0,0,36.33,33.02,9.66,1.62,8.16,36.33,5,2.6,28,32.34,12,8.17,44.98,8,9,24.5,18,33,10,12.48,82.38,274.04,18.51,2.13,20.6,0,0,3.11,6.34,0,24.82

72,17:45-18:00,2.3,10.27,100.97,70.64,2.24,0,0,25.73,87.42,263.14,0,0,36,33.02,10,1.06,8.34,36,3,0,18,31.37,7,8.33,29.24,7,5.85,25,15,22.91,7,12.48,82.38,274.04,18.51,2.13,20.6,0,0,2.24,6.34,0,24.82

73,18:00-18:15,1.76,12.31,94.78,66.47,1.71,0,0,26.74,73.66,263.14,0,0,36,33.62,10.34,0.62,10.84,36,2,0,11,0,4,10.83,17.62,5,3.52,32.5,12,0,5,12.48,82.38,274.04,18.51,2.13,20.6,0,0,1.71,6.8,0,24.82

74,18:15-18:30,1.25,12.31,94.78,66.47,1.21,0,0,26.74,73.66,263.14,0,0,35.67,34.42,11,0.05,11,35.67,2,0,4,0,1,11,8.63,2,1.72,33,8,0,3,12.48,82.38,274.04,18.51,2.13,20.6,0,0,1.21,6.8,0,24.82

75,18:30-18:45,0.63,12.31,94.78,75.02,0.62,0,0,26.74,73.66,215.16,0,0,35.33,23.41,11.34,0,11.16,35.33,1,0,1,0,0,11.17,2.84,0,0.57,33.5,6,0,1,12.48,82.38,274.04,18.51,2.13,20.6,0,0,0.62,6.8,0,24.82

76,18:45-19:00,0.23,12.31,94.78,83.55,0.23,0,0,27.75,73.66,215.16,0,0,35.33,24.21,11.66,0,11.5,35.33,0,0,0,0,0,11.5,0.11,0,0.02,34.5,4,0,0,12.48,82.38,274.04,18.51,2.13,20.6,0,0,0.23,6.8,0,24.82

77,19:00-19:15,0,12.31,94.78,115.84,0,0,0,28.25,73.66,215.16,0,0,43.33,21.01,18.34,0,15.84,43.33,0,0,0,0,0,15.83,0,0,0,47.5,2,0,0,12.48,82.38,274.04,18.51,2.13,20.6,0,0,0,7.45,0,24.82

78,19:15-19:30,0,12.31,94.78,115.84,0,0,0,28.25,73.66,215.16,0,0,43.33,21.41,18.66,0,16,43.33,0,0,0,0,0,16,0,0,0,48,0,0,0,12.48,82.38,274.04,18.51,2.13,20.6,0,0,0,7.45,0,24.82

79,19:30-19:45,0,12.31,94.78,115.84,0,0,0,28.25,73.66,215.16,0,0,43,13.01,14.66,0,16.16,43,0,0,0,0,0,16.17,0,0,0,48.5,0,0,0,12.48,82.38,274.04,18.51,2.13,20.6,0,0,0,7.45,0,24.82

80,19:45-20:00,0,12.31,94.78,115.84,0,0,0,28.25,73.66,215.16,0,0,42.67,13.41,15.34,0,17,42.67,0,0,0,0,0,17,0,0,0,51,0,0,0,12.48,82.38,274.04,18.51,2.13,20.6,0,0,0,7.45,0,24.82

81,20:00-20:15,0,12.31,94.78,115.84,0,0,0,27.24,73.66,215.16,0,0,43,13.81,15.66,0,17.16,43,0,0,0,0,0,17.17,0,0,0,51.5,0,0,0,12.48,82.38,274.04,18.51,2.13,20.6,0,0,0,7.17,0,24.82

82,20:15-20:30,0,12.31,94.78,115.84,0,0,0,27.24,73.66,215.16,0,0,43,14.21,16.34,0,17.34,43,0,0,0,0,0,17.33,0,0,0,52,0,0,0,12.48,82.38,274.04,18.51,2.13,20.6,0,0,0,7.17,0,24.82

83,20:30-20:45,0,12.31,94.78,115.84,0,0,0,27.24,73.66,215.16,0,0,43.67,15.01,16.66,0,13.16,43.67,0,0,0,0,0,13.17,0,0,0,39.5,0,0,0,12.48,82.38,274.04,18.51,2.13,20.6,0,0,0,6.8,0,24.82

