Column1,Block,NR/2025/31136/A/89669,NR/2025/31743/C,NR/2025/31138/A/89677,NR/2025/31347/A/89145,NR/2025/29985/A/89296,NR/2025/31419/A/89273,NR/2025/31420/A/89272,GNARE/NR/2024/12/20/3668,NR/2025/31136/A/89670,NR/2025/31137/A/89672,NR/2025/31137/A/89673,NR/2025/31138/A/89675,NR/2025/30121/A/89148,NR/2025/31765/C,NR/2025/29167/A/89175,NR/2025/28728/A/89807,NR/2025/29439/A/89227,NR/2025/31766/C,NR/2025/30217/A/89563,NR/2025/30191/A/89146,NR/2025/27965/A/89809,NR/2025/30101/A/89661,NR/2025/29910/A/89570,NR/2025/29628/A/89572,NR/2025/27966/A/89811,NR/2025/30105/A/89564,NR/2025/29992/A/89245,NR/2025/29352/A/89679,NR/2025/31339/A/89293,NR/2025/31126/A/89250,NR/2025/31767/C,NR/2025/29440/A/89165,NR/2025/31768/C,NR/2025/30086/A/89565,NR/2025/27978/A/89665,NR/2025/30084/A/89566,NR/2025/29353/A/89676,NR/2025/30082/A/89649,NR/2025/29915/A/89174,NR/2025/30067/A/89737,NR/2025/30083/A/89567,NR/2025/31760/C,GNA/NR/2025/07/01/3109,NR/30092023/26122029/SH-06,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/16/5917,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8154,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/8139,NR/2025/31712/C,NR/2025/31726/C,NR/2025/31739/C,NR/2025/31740/C,NR/2025/31660/C,NR/2025/31703/C,NR/2025/31673/C,NR/2025/27975/A/89808,NR/2025/31769/C,NR/2025/31727/C,NR/2025/27973/A/89810,NR/2025/31659/C,NR/2025/31728/C,NR/2025/31754/C,NR/2025/31754/C/Alternate/1,NR/2025/31755/C,NR/2025/31752/C,Total
10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,54.08,81.72,0,0,7.69,48.07,96.14,0,19.23,105.75,0,17.48,44.22,28.6,134.6,12.5,0,0.67,0,26.22,96.14,26.22,81.72,48.07,20.43,204.3,8.74,0,19.23,30,163.44,15.24,49.03,43.7,81.72,26.17,20.74,17.3,134.84,0,0,0,0,0,0,0,0,0,0,96.14,0,0,96.75,95.53,0,0,2059.1500000000005

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,54.08,81.72,0,0,7.69,48.07,96.14,0,19.23,105.75,0,17.48,44.22,28.6,134.6,12.5,0,0.67,0,26.22,96.14,26.22,81.72,48.07,20.43,204.3,8.74,0,19.23,26.7,163.44,15.24,49.03,43.7,81.72,26.7,20.74,17.3,134.84,0,0,0,0,0,0,0,0,0,0,96.14,0,0,96.51,95.77,0,0,2056.3800000000006

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,54.08,81.72,0,0,7.69,48.07,96.14,0,19.23,105.75,0,17.48,44.22,28.6,134.6,12.5,0,0.67,0,26.22,96.14,26.22,81.72,48.07,20.43,204.3,8.74,0,19.23,26.7,163.44,15.24,49.03,43.7,81.72,26.7,20.74,17.3,134.84,0,0,0,0,0,0,0,0,0,0,96.14,0,0,98.15,94.13,0,0,2056.3800000000006

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,54.08,81.72,0,0,7.69,48.07,96.14,0,19.23,76.55,0,17.48,44.22,28.6,0,12.5,0,0.62,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,17.21,134.84,0,0,0,0,0,0,0,0,0,0,96.14,0,0,192.28,0,0,0,1618.6800000000005

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,54.08,81.72,0,0,7.69,48.07,96.14,0,19.23,76.55,0,17.48,44.22,28.6,0,12.5,0,0.62,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,17.21,134.84,0,0,0,0,0,0,0,0,0,0,96.14,0,0,192.28,0,0,0,1618.6800000000005

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,54.08,81.72,0,0,7.69,48.07,96.14,0,19.23,76.55,0,17.48,44.22,28.6,0,12.5,0,0.62,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,17.21,134.84,0,0,0,0,0,0,0,0,0,0,96.14,0,0,192.28,0,0,0,1618.6800000000005

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,54.08,81.72,0,0,7.69,48.07,96.14,0,19.23,76.55,0,17.48,44.22,28.6,0,12.5,0,0.62,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,17.21,134.84,0,0,0,0,0,0,0,0,0,0,96.14,0,0,192.28,0,0,0,1618.6800000000005

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,81.72,0,0,7.69,48.07,0,0,19.23,76.55,0,17.48,44.22,28.6,0,12.5,0,0.62,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,17.11,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1372.2200000000003

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,81.72,0,0,7.69,48.07,0,0,19.23,76.55,0,17.48,44.22,28.6,0,12.5,0,0.62,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,17.11,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1372.2200000000003

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,81.72,0,0,7.69,48.07,0,0,19.23,76.55,0,17.48,44.22,28.6,0,12.5,0,0.62,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,17.11,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1372.2200000000003

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,81.72,0,0,7.69,48.07,0,0,19.23,76.55,0,17.48,44.22,28.6,0,12.5,0,0.62,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,17.11,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1372.2200000000003

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,81.72,0,0,7.69,48.07,0,0,16.57,76.55,0,17.48,44.22,28.6,0,12.5,0,0.62,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,17.03,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1369.4800000000002

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,81.72,0,0,7.69,48.07,0,0,16.57,76.55,0,17.48,44.22,28.6,0,12.5,0,0.62,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,17.03,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1369.4800000000002

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,81.72,0,0,7.69,48.07,0,0,16.57,76.55,0,17.48,44.22,28.6,0,11.54,0,0.62,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,17.03,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1368.5200000000002

24,05:45-06:00,0,0,0,0,1,0,0,0.49,0,0,0,0,6.73,0,0,81.72,0,0,7.69,48.07,0,0,16.57,76.55,0,17.48,44.22,28.6,0,11.54,0,0.62,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,17.03,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1370.0100000000002

25,06:00-06:15,0,0,0,0,3,0,0,1.61,0.04,0.01,0,0.01,6.73,0,0,81.72,0,0,7.69,48.07,0,0,16.57,76.55,0,17.48,44.22,28.6,0,11.54,0,0.82,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,16.93,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1373.2900000000004

26,06:15-06:30,0,0,0,0,7,0,0,2.73,0.1,0.02,0,0.02,6.73,0,0,81.72,0,0,7.69,48.07,0,0,16.57,76.55,0,17.48,44.22,28.6,0,11.54,0,0.82,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,16.93,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1378.4900000000002

27,06:30-06:45,0,0.84,0,0,11,0,0,3.85,0.23,0.12,0,0.06,6.73,0,0,81.72,0,0,7.69,48.07,0,0,16.57,76.55,0,17.48,44.22,28.6,0,11.54,0,0.82,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,16.93,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1384.7200000000003

28,06:45-07:00,0.03,1.37,0.02,0,14,0,0,4.98,0.32,0.16,0.02,0.08,6.73,0,0,81.72,0,0,7.69,48.07,0,0,16.57,76.55,0,17.48,44.22,28.6,0,11.54,0,0.82,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,16.93,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1389.6000000000004

29,07:00-07:15,0.09,1.97,0.06,0,21,0,0,6.22,0.38,0.19,0.06,0.1,6.73,0,0,81.72,0,0,7.69,48.07,0,0,16.57,76.55,0,17.48,44.22,28.6,0,11.54,0,0.87,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,16.83,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1398.64

30,07:15-07:30,0.14,2.97,0.09,0,25,0,0,7.47,0.38,0.19,0.09,0.19,6.73,0,0,81.72,0,0,7.69,48.07,0,0,16.57,76.55,0,17.48,44.22,28.6,0,11.54,0,0.87,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,16.83,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1405.0900000000001

31,07:30-07:45,0.21,3.86,0.14,0,35,0,0,8.72,0.38,0.19,0.16,0.19,6.73,0,0,81.72,0,0,7.69,48.07,0,0,16.57,76.55,0,17.48,44.22,28.6,0,11.54,0,0.87,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,16.83,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1417.42

32,07:45-08:00,0.29,5.25,0.17,0,46,0,0,9.96,0.38,0.29,0.2,0.19,6.73,0,0,81.72,0,0,7.69,48.07,0,0,16.57,76.55,0,17.48,44.22,28.6,0,11.54,0,0.87,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,16.83,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1431.3000000000002

33,08:00-08:15,0.4,6.18,0.24,9.61,56,0,1.63,17.24,0.38,0.29,0.29,0.19,6.73,0,0,81.72,0,0,7.69,48.07,0,0,16.57,76.55,0,17.48,44.22,28.6,0,11.54,0,0.96,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,16.83,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1461.1100000000001

34,08:15-08:30,0.5,8.53,0.3,9.61,67,0,1.63,20.23,0.38,0.29,0.39,0.19,6.73,0,0,81.72,0,0,7.69,48.07,0,0,16.57,76.55,0,17.48,44.22,28.6,0,11.54,0,0.96,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,16.83,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1477.7100000000003

35,08:30-08:45,0.6,5.87,0.36,9.61,53,0,1.63,23.33,0.38,0.29,0.48,0.19,6.73,0,0,81.72,0,0,7.69,48.07,0,0,16.57,76.55,0,17.48,44.22,28.6,0,13.46,0,0.96,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,16.83,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1466.3200000000002

36,08:45-09:00,0.65,5.87,0.46,9.61,60,0,1.63,26.44,0.48,0.29,0.53,0.19,6.73,0,0,81.72,0,0,7.69,48.07,0,0,16.57,76.55,0,17.48,44.22,28.6,0,13.46,0,0.96,0,26.22,96.14,26.22,81.72,48.07,0,0,8.74,0,19.23,26.7,163.44,15.24,0,43.7,81.72,26.7,20.74,16.83,134.84,0,0,0,0,0,0,0,0,0,0,0,0,0,192.28,0,0,0,1476.7300000000002

37,09:00-09:15,0.88,5.87,0.62,9.61,67,0,1.63,30.81,0.48,0.29,0.71,0.19,0,14.57,0,0,0,43.7,0,0,0,0,0,0,0,0,0,28.6,0,13.46,28.91,0,7.69,0,0,0,81.72,0,0,0,0,0,19.23,26.75,163.44,15.24,0,43.7,81.72,26.75,20.74,13.16,134.84,81.72,0,76.55,16.57,48.07,48.07,44.22,0,37.15,0,0,6.73,0.96,192.28,0,0,96.14,1530.7700000000002

38,09:15-09:30,0.96,6.85,0.67,9.61,74,0,1.63,35.06,0.48,0.29,0.77,0.19,0,14.57,0,0,0,43.7,0,0,0,0,0,0,0,0,0,28.6,0,13.46,28.91,0,7.69,0,0,0,81.72,0,0,0,0,0,19.23,26.75,163.44,15.24,0,43.7,81.72,26.75,20.74,13.16,134.84,81.72,0,76.55,16.57,48.07,48.07,44.22,0,37.15,0,0,6.73,0.96,192.28,0,0,96.14,1543.19

39,09:30-09:45,0.96,6.85,0.67,9.61,77,0,1.63,39.21,0.48,0.29,0.77,0.19,0,14.57,0,0,0,43.7,0,0,0,0,0,0,0,0,0,28.6,0,13.46,28.91,0,7.69,0,0,0,81.72,0,0,0,0,0,19.23,26.75,163.44,15.24,0,43.7,81.72,26.75,20.74,13.16,134.84,81.72,0,76.55,16.57,48.07,48.07,44.22,0,37.15,0,0,6.73,0.96,192.28,0,0,96.14,1550.3400000000001

40,09:45-10:00,0.96,7.83,0.67,9.61,84,0,1.63,42.99,0.48,0.29,0.77,0.19,0,14.57,0,0,0,43.7,0,0,0,0,0,0,0,0,0,28.6,0,13.46,28.91,0,7.69,0,0,0,81.72,0,0,0,0,0,19.23,26.75,163.44,15.24,0,43.7,81.72,26.75,20.74,13.16,134.84,81.72,0,76.55,16.57,48.07,48.07,44.22,0,37.15,0,0,6.73,0.96,192.28,0,0,96.14,1562.1000000000001

