Block,Time,DADRI_RF,AURY_GF,NAPP,TANDA2,DADRI_GF,UNCHAHAR1,SINGRAULI,DADRI_LF,UNCHAHAR2,PARBATI3,RIHAND1,SEWA2,UNCHAHAR4,SINGRAULI_HYDRO,DADRI_CRF,AURY_RF,TEHRI,BSIUL,URI2,KOTESHWR,DHAULIGNGA,RIHAND2,URI,RAPPB,CHAMERA3,KOLDAM,SALAL,CHAMERA2,DADRT2,NJPC,AURY_LF,DULHASTI,TANAKPUR,RIHAND3,AURY_CRF,RAPPC,RAMPUR,UNCHAHAR3,CHAMERA1,JHAJJAR,ANTA_RF,KISHANGANGA,ANTA_LF,ANTA_GF,ANTA_CRF,FSTPP I & II,TALA,SASAN,KHSTPP-II,KHSTPP-I,BRBCL,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
19,04:30-04:45,0.000000,0.000000,37.993630,0.000000,0.000000,11.394186,122.560449,0.000000,18.142156,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,16.139056,6.335558,9.753036,8.578496,17.622748,93.042265,11.739605,0.000000,18.711136,0.000000,76.721759,25.462955,361.477864,113.059915,0.000000,47.790319,12.878764,87.373439,0.000000,49.437715,0.000000,13.130203,0.000000,328.678000,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,403.476412,72.646635,29.988097,19.334041,43.50,0,0,0,0,0

20,04:45-05:00,0.000000,0.000000,37.993630,0.000000,0.000000,11.394186,122.560449,0.000000,18.142156,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,16.139056,6.335558,9.753036,8.578496,17.622748,93.042265,11.739605,0.000000,18.711136,0.000000,76.721759,25.462955,361.477864,113.059915,0.000000,47.790319,12.878764,87.373439,0.000000,49.437715,0.000000,13.130203,0.000000,336.309774,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,403.476412,72.646635,29.988097,19.334041,43.50,0,0,0,0,0

21,05:00-05:15,0.000000,0.000000,37.993630,0.000000,0.000000,12.642019,122.560449,0.000000,18.142156,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,16.139056,6.335558,9.753036,8.578496,17.622748,93.042265,11.739605,0.000000,18.711136,0.000000,76.721759,25.462955,425.380094,113.059915,0.000000,47.790319,12.878764,87.373439,0.000000,49.437715,0.000000,15.180187,0.000000,444.085626,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,404.012629,72.646635,29.988097,19.334041,43.50,0,0,0,0,0

22,05:15-05:30,0.000000,0.000000,37.993630,0.000000,0.000000,12.642019,122.560449,0.000000,21.215295,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,14.616504,6.335558,9.753036,8.578496,17.622748,93.042265,11.739605,0.000000,18.711136,0.000000,76.721759,25.462955,429.642178,113.059915,0.000000,47.790319,12.878764,87.373439,0.000000,49.437715,0.000000,15.180187,0.000000,625.189154,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,404.020181,72.646635,29.988097,19.334041,43.50,0,0,0,0,0

23,05:30-05:45,0.000000,0.000000,37.993630,0.000000,0.000000,15.670594,122.560449,0.000000,21.215295,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,14.616504,6.335558,9.753036,8.578496,17.622748,93.042265,46.958419,0.000000,18.711136,0.000000,76.721759,25.462955,429.642178,113.059915,0.000000,47.790319,12.878764,87.373439,0.000000,49.437715,0.000000,19.140273,0.000000,625.189154,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,404.020181,72.646635,29.988097,19.334041,43.50,0,0,0,0,0

