Column1,Block,NR/2025/34298/C,NR/2025/32535/A/99742,NR/2025/32535/A/99741,GNARE/NR/2024/12/20/3668,NR/2025/32534/A/99740,NR/2025/33637/A/99474,NR/2025/32534/A/99739,NR/2025/33633/A/99503,NR/2025/32532/A/99738,NR/2025/33632/A/99477,NR/2025/32532/A/99737,NR/2025/32599/A/99409,NR/2025/34285/C,NR/2025/34300/C,NR/2025/34289/C,NR/2025/34303/C,NR/2025/34290/C,NR/2025/34291/C,NR/2025/34078/A/99386,NR/30092023/31122025/SH-07,NR/2025/34311/C,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5126,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/6209,NR/2025/34259/C,NR/2025/31043/A/99795,NR/2025/29992/A/99397,NR/2025/29440/A/99277,NR/2025/32556/A/99720,NR/2025/32004/A/99723,NR/2025/32455/A/99845,NR/2025/32397/A/99291,NR/2025/31421/A/99816,NR/2025/32559/A/99719,NR/2025/32375/A/99813,NR/2025/32610/A/99718,NR/2025/34260/C,NR/2025/34264/C,NR/2025/31045/A/99796,NR/2025/31048/A/99797,NR/2025/34256/C,NR/2025/32262/A/99313,NR/2025/31049/A/99798,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6187,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,19.31,0,62.74,44.4,0.87,24.13,106.18,48.26,8.69,48.26,24.13,48.26,24.13,0,67.57,0,62.74,135.14,54.3,0,67.57,0,15.3,8.69,20.83,17.38,1228.3500000000001

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,19.31,0,62.74,44.4,0.87,24.13,106.18,48.26,8.69,48.26,24.13,48.26,24.13,0,67.57,0,62.74,135.14,54.3,0,67.57,0,15.3,8.69,20.83,17.38,1228.3500000000001

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,19.31,0,62.74,44.4,0.63,24.13,106.18,48.26,8.69,48.26,24.13,48.26,24.13,0,67.57,0,62.74,135.14,54.3,0,67.57,0,15.3,8.69,20.83,17.38,1228.11

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,19.31,0,62.74,44.4,0.63,24.13,106.18,48.26,8.69,48.26,24.13,48.26,24.13,0,67.57,0,62.74,135.14,54.3,0,67.57,0,15.3,8.69,20.83,17.38,1228.11

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,19.31,0,62.74,44.4,0.63,24.13,106.18,48.26,8.69,48.26,24.13,48.26,24.13,0,67.57,0,62.74,135.14,54.3,0,67.57,0,15.3,8.69,20.83,17.38,1228.11

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,19.31,0,62.74,44.4,0.63,24.13,106.18,48.26,8.69,48.26,24.13,48.26,24.13,0,67.57,0,62.74,135.14,54.3,0,67.57,0,15.3,8.69,20.83,17.38,1228.11

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,67.57,0,62.74,44.4,0.63,24.13,106.18,0,8.69,48.26,24.13,48.26,24.13,0,67.57,0,62.74,135.14,54.3,0,67.57,0,15.3,8.69,20.83,17.38,1228.11

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,67.57,0,62.74,44.4,0.63,24.13,106.18,0,8.69,48.26,24.13,48.26,24.13,0,67.57,0,62.74,135.14,54.3,0,67.57,0,15.3,8.69,20.83,17.38,1228.11

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,67.57,0,62.74,44.4,0.63,24.13,106.18,0,8.69,48.26,24.13,48.26,24.13,0,67.57,0,62.74,135.14,54.3,0,67.57,0,15.3,8.69,20.83,17.38,1228.11

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,67.57,0,62.74,44.4,0.63,24.13,106.18,0,8.69,48.26,24.13,48.26,24.13,0,67.57,0,62.74,135.14,54.3,0,67.57,0,15.3,8.69,20.83,17.38,1228.11

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,67.57,0,62.74,44.4,0.53,24.13,76.86,0,8.69,48.26,24.13,48.26,24.13,0,67.57,0,62.74,135.14,54.3,0,67.57,0,15.3,8.69,20.83,17.38,1198.69

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,67.57,0,62.74,44.4,0.53,24.13,76.86,0,8.69,48.26,24.13,48.26,24.13,0,67.57,0,62.74,135.14,54.3,0,67.57,0,15.3,8.69,20.83,17.38,1198.69

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,67.57,0,62.74,44.4,0.53,24.13,76.86,0,8.69,48.26,24.13,48.26,24.13,0,67.57,0,62.74,135.14,54.3,0,67.57,0,15.3,8.69,20.83,17.38,1198.69

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,67.57,0,62.74,44.4,0.53,24.13,76.86,0,8.69,48.26,24.13,48.26,24.13,0,67.57,0,62.74,135.14,54.3,0,67.57,0,15.3,8.69,20.83,17.38,1198.69

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,67.57,0,0,44.4,0.53,24.13,76.86,0,8.69,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1018.9100000000001

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,67.57,0,0,44.4,0.53,24.13,76.86,0,8.69,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1018.9100000000001

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,67.57,0,0,44.4,0.53,24.13,76.86,0,8.69,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1018.9100000000001

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,67.57,0,0,44.4,0.53,24.13,76.86,0,8.69,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1018.9100000000001

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,67.57,0,0,44.4,0.53,24.13,76.86,0,8.69,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1018.9100000000001

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,67.57,0,0,44.4,0.53,24.13,76.86,0,8.69,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1018.9100000000001

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,67.57,0,0,44.4,0.53,24.13,76.86,0,8.69,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1016.98

24,05:45-06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,67.57,0,0,44.4,0.53,24.13,76.86,0,8.69,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1016.98

25,06:00-06:15,0,0,0.1,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,18.57,67.57,0,0,44.4,0.82,24.13,76.86,0,0,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1010.56

26,06:15-06:30,0,0,0.1,1.14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,18.57,67.57,0,0,44.4,0.82,24.13,76.86,0,0,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1013.0999999999999

27,06:30-06:45,0.84,0,0.1,2.9,0,0,0.01,0,0,0,0.01,6,0,0,0,0,0,0,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,18.57,67.57,0,0,44.4,0.82,24.13,76.86,0,0,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1018.72

28,06:45-07:00,1.38,0,0.1,4.17,0,0,0.03,0,0,0,0.03,11,0,0,0,0,0,0,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,18.57,67.57,0,0,44.4,0.82,24.13,76.86,0,0,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1025.57

29,07:00-07:15,1.98,0.19,0.1,6.14,0,0,0.01,0,0,0,0.01,18,0,0,0,0,0,0,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,18.76,67.57,0,0,44.4,0.87,24.13,76.86,0,0,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1035.53

30,07:15-07:30,2.98,0.19,0.1,8.35,0,0,0,0,0,0,0,25,0,0,0,0,0,0,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,18.76,67.57,0,0,44.4,0.87,24.13,76.86,0,0,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1045.72

31,07:30-07:45,3.87,0.19,0.1,10.7,0,0,0,0,0,0,0,25,0,0,0,0,0,0,9.65,0,193.06,33.79,16.89,8.69,19.31,16.89,18.76,67.57,0,0,44.4,0.87,24.13,76.86,0,0,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1047.99

32,07:45-08:00,5.27,0.19,0.1,13.2,0,0,0,0,0,0,0,32,0,0,0,0,0,0,9.65,0,193.06,33.79,16.89,8.69,19.31,16.89,18.76,67.57,0,0,44.4,0.87,24.13,76.86,0,0,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1058.8899999999999

33,08:00-08:15,6.21,0.19,0.1,16.02,0,1.64,0,0,0,1.16,0,39,0,0,0,0,0,0,9.65,0,193.06,33.79,16.89,8.69,19.31,16.89,18.76,67.57,0,0,44.4,0.97,24.13,76.86,0,0,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1072.55

34,08:15-08:30,8.56,0.19,0.1,18.94,0,1.64,0,0,0,1.16,0,46,0,0,0,0,0,0,9.65,0,193.06,33.79,16.89,8.69,19.31,16.89,18.76,67.57,0,0,44.4,0.97,24.13,76.86,0,0,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1084.8200000000002

35,08:30-08:45,5.9,0.19,0.1,21.79,0.04,1.64,0,0,0.06,1.16,0,53,0,0,0,0,0,0,9.65,0,193.06,33.79,16.89,8.69,19.31,16.89,18.76,67.57,0,0,44.4,0.97,24.13,76.86,0,0,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1092.1100000000001

36,08:45-09:00,5.9,0.19,0.1,24.58,0.09,1.64,0,0,0.14,1.16,0,60,0,0,0,0,0,0,9.65,0,193.06,33.79,16.89,8.69,19.31,16.89,18.76,67.57,0,0,44.4,0.97,24.13,76.86,0,0,48.26,24.13,48.26,24.13,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1102.03

37,09:00-09:15,5.9,0.19,0.1,27.32,0.12,1.64,0.1,0,0.15,1.16,0.19,74,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,18.11,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1119.42

38,09:15-09:30,6.88,0.19,0.1,30.07,0.08,1.64,0.1,0,0.14,1.16,0.29,81,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,18.11,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1130.2

39,09:30-09:45,6.88,0.19,0.1,32.75,0,1.64,0.1,0,0,1.16,0.29,74,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,18.11,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1125.66

40,09:45-10:00,7.86,0.19,0.1,35.36,0,1.64,0.1,0,0,1.16,0.19,76,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,18.11,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1131.15

41,10:00-10:15,7.86,0,0.01,46.67,0,1.64,0.1,1.45,0,1.16,0.02,60,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,15.06,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1124.4099999999999

42,10:15-10:30,7.86,0.01,0.04,50,0.01,1.64,0.1,1.45,0.02,1.16,0.07,63,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,15.06,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1130.86

43,10:30-10:45,11.57,0.06,0.1,50.67,0.08,1.64,0.1,1.45,0.1,1.16,0.29,46,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,15.06,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1118.72

44,10:45-11:00,12.86,0.12,0.1,53.83,0.14,1.64,0.1,1.45,0.22,1.16,0.29,49,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,15.06,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1126.4099999999999

45,11:00-11:15,14.13,0.19,0.1,57,0.25,1.64,0.1,1.45,0.32,1.16,0.29,35,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,15.06,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1117.1299999999999

46,11:15-11:30,15.58,0.26,0.1,57,0.35,1.64,0.1,1.45,0.43,1.16,0.29,39,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,15.06,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1122.86

47,11:30-11:45,16.96,0.14,0.1,58.58,0.18,1.64,0.1,1.45,0.22,1.16,0.29,32,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,15.06,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1118.32

48,11:45-12:00,18.24,0.16,0.1,58.58,0.22,1.64,0.1,1.45,0.33,1.16,0.29,32,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,15.06,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1119.77

49,12:00-12:15,19.43,0.15,0.1,58.58,0.2,1.64,0.1,1.45,0.31,1.16,0.29,32,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,18.76,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1124.61

50,12:15-12:30,19.73,0.15,0.1,58.83,0.21,1.64,0.1,1.45,0.32,1.16,0.29,32,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,18.76,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1125.18

51,12:30-12:45,19.99,0.15,0.1,59.74,0.21,1.64,0.1,1.45,0.58,1.16,0.29,32,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,18.76,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1126.61

52,12:45-13:00,20.27,0.17,0.1,59.95,0.23,1.64,0.1,1.45,0.58,1.16,0.29,32,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,18.76,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1127.14

53,13:00-13:15,8.84,0,0.1,60,0,1.64,0.1,1.45,0.58,1.16,0.29,21,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,19.22,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1104.82

54,13:15-13:30,8.84,0,0.1,59.82,0,1.64,0.1,1.45,0.58,1.16,0.29,21,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,19.22,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1104.64

55,13:30-13:45,8.84,0,0,59.69,0,1.64,0,1.45,0.58,1.16,0.29,21,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,19.22,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1104.31

56,13:45-14:00,8.84,0,0,60.86,0,1.64,0,1.45,0.58,1.16,0.29,21,76.86,48.26,24.13,48.26,24.13,24.13,10.62,0,193.06,33.79,16.89,8.69,19.31,16.89,19.22,67.57,0,0,44.4,0.97,0,0,0,0,0,0,0,0,0,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1105.48

