Block,Time,KOTESHWR,NLCEXP,NLCIIST2,SIMHST1,TALST2,UNCHAHAR1,UNCHAHAR3,URI,ANTA_RF,DADRI_CRF,BSIUL,KGSU1AND2,KHSTPP-II,KUDGI,NJPC,RIHAND2,TANDA2,UNCHAHAR2,DADRI_GF,CHAMERA1,DULHASTI,KHSTPP-I,KISHANGANGA,RAMPUR,RAPPB,RAPPD,TANAKPUR,TelanganaSTPP,VALLURNTECL,ANTA_CRF,NLCIIST1,PARBATI3,SEWA2,SINGRAULI_HYDRO,TEHRI,AURY_CRF,AURY_RF,DADRI_LF,BRBCL,NNTPP,RIHAND1,RSTPSU7,SASAN,ANTA_GF,ANTA_LF,AURY_GF,DADRT2,KKNPPU2,RAPPC,RIHAND3,TALA,CHAMERA2,CHAMERA3,DHAULIGNGA,FSTPP I & II,JHAJJAR,KOLDAM,NAPP,NLCTS2EXP,NTPL,PARBATI2,SIMHST2,SINGRAULI,UNCHAHAR4,KGSU3AND4,KKNP,MAPS,RSTPSU1TO6,SALAL,URI2,AURY_LF,DADRI_RF
32,07:45-08:00,10.43,0,0,0,0,21.94,27.68,36.43,51.17,0,13.04,0,148.3,0,138.33,124.58,5.7,45,0,0,59.5,45.53,8.63,5.5,0,21.66,0.51,0,0,0,0,16.88,18.9,1.08,21.34,0,78.08,0,15,0,97.23,0,393.75,0,0,0,688.92,0,69.07,130.79,4.41,32.53,23.33,10.95,14.3,670.67,0,25.64,0,0,16.53,0,150.34,3.2,0,0,0,0,63.92,38.1,0,98.4

33,08:00-08:15,10.43,0,0,0,0,21.94,27.68,36.43,51.17,0,13.04,0,148.3,0,110.67,124.58,5.7,45,0,0,59.5,45.53,8.63,4.4,0,21.66,0.51,0,0,0,0,16.88,18.9,1.08,10.67,0,78.08,0,15,0,97.23,0,393.75,0,0,0,688.92,0,69.07,130.79,1.47,32.53,23.33,10.95,14.3,670.67,0,25.64,0,0,16.53,0,150.34,3.2,0,0,0,0,63.92,38.1,0,98.4

34,08:15-08:30,10.43,0,0,0,0,21.94,27.68,36.43,51.17,0,13.04,0,148.3,0,110.67,124.58,5.7,45,0,0,59.5,45.53,8.63,4.4,0,21.66,0.51,0,0,0,0,16.88,18.9,1.08,0,0,78.08,0,15,0,97.23,0,393.75,0,0,0,688.92,0,69.07,130.79,1.47,32.53,23.33,10.95,14.3,670.67,0,25.64,0,0,16.53,0,150.34,3.2,0,0,0,0,63.92,38.1,0,98.4

35,08:30-08:45,10.43,0,0,0,0,21.94,27.68,36.43,51.17,0,13.04,0,148.3,0,110.67,124.58,5.7,45,0,0,59.5,45.53,8.63,4.4,0,21.66,0.51,0,0,0,0,16.88,18.9,1.08,0,0,78.08,0,15,0,97.23,0,393.75,0,0,0,688.92,0,69.07,130.79,1.47,32.53,11.67,10.95,14.3,650.67,0,25.64,0,0,16.53,0,150.34,3.2,0,0,0,0,63.92,38.1,0,98.4

36,08:45-09:00,10.43,0,0,0,0,21.94,27.68,36.43,51.17,0,13.04,0,148.3,0,82.99,124.58,5.7,45,0,0,59.5,45.53,8.63,3.29,0,21.66,0.51,0,0,0,0,16.88,18.9,1.08,0,0,78.08,0,15,0,97.23,0,393.75,0,0,0,688.92,0,69.07,130.79,1.47,32.53,11.67,10.95,14.3,650.67,0,25.64,0,0,16.53,0,150.34,3.2,0,0,0,0,63.92,38.1,0,98.4

37,09:00-09:15,10.43,0,0,0,0,21.94,27.68,36.43,51.17,0,13.04,0,148.3,0,82.99,124.58,5.7,45,0,0,59.5,45.53,8.63,3.29,0,21.66,6.27,0,0,0,0,16.88,18.9,1.08,0,0,78.08,0,15,0,97.23,0,393.75,0,0,0,688.92,0,69.07,130.79,1.47,32.53,11.67,10.95,14.3,620.67,0,25.64,0,0,16.53,0,150.34,3.2,0,0,0,0,63.92,38.1,0,98.4

38,09:15-09:30,10.43,0,0,0,0,21.94,27.68,36.43,51.17,0,13.04,0,148.3,0,55.33,124.58,5.7,45,0,0,59.5,45.53,8.63,2.19,0,21.66,6.27,0,0,0,0,16.88,18.9,1.08,0,0,78.08,0,15,0,97.23,0,393.75,0,0,0,688.92,0,69.07,130.79,1.47,32.53,11.67,10.95,14.3,620.67,0,25.64,0,0,11.28,0,150.34,3.2,0,0,0,0,63.92,38.1,0,98.4

39,09:30-09:45,10.43,0,0,0,0,21.94,27.68,36.98,51.17,0,13.04,0,148.3,0,48.73,124.58,5.7,45,0,0,59.5,45.53,8.63,1.94,0,21.66,6.27,0,0,0,0,4.29,18.9,1.08,0,0,78.08,0,15,0,97.23,0,405,0,0,0,688.92,0,69.07,130.79,1.47,32.53,11.67,10.95,14.3,610.67,0,25.64,0,0,11.28,0,150.34,3.2,0,0,0,0,63.92,38.1,0,98.4

40,09:45-10:00,10.43,0,0,0,0,21.94,27.68,36.98,51.17,0,13.04,0,148.3,0,27.66,124.58,5.7,45,0,0,59.5,45.53,8.63,1.1,0,21.66,6.27,0,0,0,0,4.29,18.9,1.08,0,0,78.08,0,15,0,97.23,0,405,0,0,0,688.92,0,69.07,130.79,1.47,32.53,11.67,10.95,14.3,580.67,0,25.64,0,0,11.28,0,150.34,3.2,0,0,0,0,63.92,38.1,0,98.4

41,10:00-10:15,10.43,0,0,0,0,21.94,27.68,36.98,51.17,0,13.04,0,148.3,0,27.66,124.58,5.7,45,0,0,59.5,45.53,8.63,1.1,0,21.66,0.51,0,0,0,0,4.29,18.9,1.08,0,0,78.08,0,15,0,97.23,0,405,0,0,0,688.92,0,69.07,130.79,1.47,16.27,11.67,0,14.3,580.67,0,25.64,0,0,11.28,0,150.34,3.2,0,0,0,0,51.13,38.1,0,98.4

42,10:15-10:30,10.43,0,0,0,0,21.94,27.68,36.98,51.17,0,13.04,0,148.3,0,27.66,124.58,5.7,45,0,0,59.5,45.53,8.63,1.1,0,21.66,0.51,0,0,0,0,4.29,18.9,1.08,0,0,78.08,0,15,0,97.23,0,405,0,0,0,688.92,0,69.07,130.79,1.47,16.27,11.67,0,14.3,580.67,0,25.64,0,0,11.28,0,150.34,3.2,0,0,0,0,51.13,38.1,0,98.4

43,10:30-10:45,10.43,0,0,0,0,21.94,27.68,36.98,51.17,0,6.52,0,148.3,0,27.66,124.58,5.7,45,0,0,59.5,45.53,8.63,1.1,0,21.66,0.51,0,0,0,0,0,18.9,1.08,0,0,78.08,0,15,0,97.23,0,405,0,0,0,688.92,0,69.07,130.79,3.39,16.27,11.67,0,14.3,580.67,0,25.64,0,0,11.28,0,150.34,3.2,0,0,0,0,51.13,38.1,0,98.4

44,10:45-11:00,10.43,0,0,0,0,21.94,27.68,36.98,51.17,0,6.52,0,148.3,0,27.66,124.58,5.7,45,0,0,59.5,45.53,8.63,1.1,0,21.66,0.51,0,0,0,0,0,12.61,1.08,0,0,78.08,0,15,0,97.23,0,408.38,0,0,0,688.92,0,69.07,130.79,3.39,16.27,11.67,0,14.3,580.67,0,25.64,0,0,11.28,0,150.34,3.2,0,0,0,0,51.13,38.1,0,98.4

45,11:00-11:15,10.43,0,0,0,0,21.94,27.68,36.98,50.51,0,6.52,0,148.3,0,27.66,124.58,5.7,45,0,0,59.5,45.53,8.63,1.1,0,21.66,0.51,0,0,0,0,0,12.61,1.08,0,0,78.08,0,15,0,97.23,0,411.75,0,0,0,688.92,0,69.07,130.79,3.39,16.27,11.67,0,14.3,580.67,0,25.64,0,0,0,0,150.34,3.2,0,0,0,0,51.13,38.1,0,98.4

46,11:15-11:30,10.43,0,0,0,0,21.94,27.68,36.98,50.51,0,6.52,0,148.3,0,27.66,124.58,5.7,45,0,0,59.5,45.53,8.63,1.1,0,21.66,0.51,0,0,0,0,0,6.3,1.08,0,0,78.08,0,15,0,97.23,0,416.25,0,0,0,688.92,0,69.07,130.79,3.39,16.27,11.67,0,14.3,580.67,0,25.64,0,0,0,0,150.34,3.2,0,0,0,0,51.13,38.1,0,98.4

47,11:30-11:45,10.43,0,0,0,0,21.94,27.68,36.98,50.51,0,6.52,0,148.3,0,27.66,124.58,5.7,45,0,0,59.5,45.53,8.63,1.1,0,21.66,0.51,0,0,0,0,0,0,1.08,0,0,78.08,0,15,0,97.23,0,416.25,0,0,0,688.92,0,69.07,130.79,3.39,16.27,0,0,14.3,580.67,0,25.64,0,0,0,0,150.34,3.2,0,0,0,0,51.13,38.1,0,98.4

48,11:45-12:00,10.43,0,0,0,0,21.94,27.68,36.98,50.51,0,6.52,0,148.3,0,27.66,124.58,5.7,45,0,0,59.5,45.53,8.63,1.1,0,21.66,0.51,0,0,0,0,0,0,1.08,0,0,78.08,0,15,0,97.23,0,416.25,0,0,0,688.92,0,69.07,130.79,3.39,0,0,0,14.3,580.67,0,25.64,0,0,0,0,150.34,3.2,0,0,0,0,51.13,38.1,0,98.4

49,12:00-12:15,10.43,0,0,0,0,21.94,27.68,36.98,49.86,0,6.52,0,148.3,0,27.66,124.58,5.7,45,0,0,59.5,45.53,8.63,1.1,0,21.66,0.51,0,0,0,0,0,0,1.08,0,0,78.08,0,15,0,97.23,0,416.25,0,0,0,688.92,0,69.07,130.79,3.39,0,0,0,14.3,367.11,0,25.64,0,0,0,0,150.34,3.2,0,0,0,0,51.13,38.1,0,98.4

50,12:15-12:30,10.43,0,0,0,0,21.94,27.68,36.98,49.86,0,6.52,0,148.3,0,27.66,124.58,5.7,45,0,0,59.5,45.53,8.63,1.1,0,21.66,0.51,0,0,0,0,0,0,1.08,0,0,78.08,0,15,0,97.23,0,416.25,0,0,0,688.92,0,69.07,130.79,3.39,0,0,0,14.3,393.78,0,25.64,0,0,0,0,150.34,3.2,0,0,0,0,51.13,38.1,0,98.4

51,12:30-12:45,10.43,0,0,0,0,21.94,27.68,36.98,49.86,0,6.52,0,148.3,0,27.66,124.58,5.7,45,0,0,59.5,45.53,8.63,1.1,0,21.66,0.51,0,0,0,0,0,0,1.08,0,0,78.08,0,15,0,97.23,0,416.25,0,0,0,688.92,0,69.07,130.79,2.94,0,0,0,14.3,380.44,0,25.64,0,0,0,0,150.34,3.2,0,0,0,0,38.35,38.1,0,98.4

52,12:45-13:00,10.43,0,0,0,0,21.94,27.68,36.98,49.86,0,6.52,0,148.3,0,55.33,124.58,5.7,45,0,0,59.5,45.53,8.63,2.19,0,21.66,0.51,0,0,0,0,0,0,1.08,0,0,78.08,0,15,0,97.23,0,416.25,0,0,0,688.92,0,69.07,130.79,2.94,0,0,0,14.3,380.44,0,25.64,0,0,0,0,150.34,3.2,0,0,0,0,38.35,38.1,0,98.4

53,13:00-13:15,10.43,0,0,0,0,21.94,27.68,36.98,49.86,0,6.52,0,148.3,0,82.99,124.58,5.7,45,0,0,59.5,45.53,8.63,3.29,0,21.66,0.51,0,0,0,0,0,0,1.08,0,0,78.08,0,15,0,97.23,0,416.25,0,0,0,688.92,0,69.07,130.79,2.94,0,0,0,14.3,380.44,0,25.64,0,0,0,0,150.34,3.2,0,0,0,0,51.13,38.1,0,98.4

54,13:15-13:30,10.43,0,0,0,0,21.94,27.68,36.98,49.209999999999994,0,6.52,0,148.3,0,110.67,124.58,5.7,45,0,0,59.5,45.53,8.63,4.4,0,21.66,0.51,0,0,0,0,0,0,1.08,0,0,78.08,0,15,0,97.23,0,416.25,0,0,0,688.92,0,69.07,130.79,2.94,0,0,0,14.3,380.44,0,25.64,0,0,0,0,150.34,3.2,0,0,0,0,51.13,38.1,0,98.4

55,13:30-13:45,10.43,0,0,0,0,21.94,27.68,36.98,49.209999999999994,0,6.52,0,148.3,0,110.67,124.58,5.7,45,0,0,59.5,45.53,8.63,4.4,0,21.66,0.51,0,0,0,0,0,0,1.08,0,0,78.08,0,15,0,97.23,0,416.25,0,0,0,688.92,0,69.07,130.79,2.94,0,0,0,14.3,380.44,0,25.64,0,0,0,0,150.34,3.2,0,0,0,0,51.13,38.1,0,98.4

