Column1,Block,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/2414,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6452,NR/2025/32532/A/96151,NR/2025/32535/A/96155,NR/2025/32652/A/96211,NR/2025/32857/A/96197,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/96152,NR/2025/32535/A/96156,NR/2025/32653/A/96209,NR/2025/32599/A/95913,NR/2025/32534/A/96153,NR/2025/32534/A/96154,NR/2025/33403/C,NR/2025/33408/C,NR/2025/33411/C,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/5126,NR/2025/32455/A/96317,NR/2025/31421/A/96299,NR/2025/32559/A/96236,NR/2025/32397/A/95774,GNA/NR/2025/08/01/1196,NR/2025/32702/A/95837,NR/2025/32375/A/96292,NR/2025/32610/A/96235,NR/2025/29440/A/95789,NR/2025/32556/A/96237,NR/2025/29992/A/95875,NR/2025/32004/A/96240,NR/2025/33375/C,NR/2025/33402/C,NR/2025/33376/C,NR/2025/33233/A/96319,NR/2025/33377/C,NR/2025/32554/A/96189,NR/2025/33358/C,NR/2025/32262/A/95800,NR/2025/33315/C,NR/2025/33379/C,NR/2025/32598/A/96324,NR/2025/33380/C,NR/2025/31041/A/96380,NR/2025/31046/A/96383,NR/2025/33381/C,NR/2025/31042/A/96381,NR/2025/31047/A/96382,Total
3,00:30-00:45,14.6,48.18,96.35,26.64,26.64,48.18,18.72,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,48.18,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.87,26.27,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,96.35,96.35,0,0,0,1538.62

4,00:45-01:00,14.6,48.18,96.35,26.64,26.64,48.18,18.72,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,48.18,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.87,26.27,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,96.35,96.35,0,0,0,1538.62

5,01:00-01:15,14.6,48.18,96.35,26.64,26.64,48.18,18.72,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,48.18,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.63,26.27,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,96.35,96.35,0,0,0,1538.3799999999999

6,01:15-01:30,14.6,48.18,96.35,26.64,26.64,48.18,18.72,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,48.18,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.63,26.27,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,96.35,96.35,0,0,0,1538.3799999999999

7,01:30-01:45,14.6,48.18,96.35,26.64,26.64,48.18,18.72,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,48.18,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.63,26.27,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,96.35,96.35,0,0,0,1538.3799999999999

8,01:45-02:00,14.6,48.18,96.35,26.64,26.64,48.18,18.72,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,48.18,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.63,26.27,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,96.35,96.35,0,0,0,1538.3799999999999

9,02:00-02:15,14.6,96.35,96.35,26.93,26.93,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,0,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.63,26.27,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,96.35,96.35,0,0,0,1538.77

10,02:15-02:30,14.6,96.35,96.35,26.93,26.93,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,0,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.63,26.27,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,96.35,96.35,0,0,0,1538.77

11,02:30-02:45,14.6,96.35,96.35,26.93,26.93,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,0,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.63,26.27,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,96.35,96.35,0,0,0,1538.77

12,02:45-03:00,14.6,96.35,96.35,26.93,26.93,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,0,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.63,26.27,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,96.35,96.35,0,0,0,1538.77

13,03:00-03:15,14.6,96.35,96.35,26.93,26.93,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,0,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.53,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,96.35,96.35,0,0,0,1509.3999999999999

14,03:15-03:30,14.6,96.35,96.35,26.93,26.93,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,0,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.53,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,96.35,96.35,0,0,0,1509.3999999999999

15,03:30-03:45,14.6,96.35,96.35,26.93,26.93,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,0,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.53,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,96.35,96.35,0,0,0,1509.3999999999999

16,03:45-04:00,14.6,96.35,96.35,26.93,26.93,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,0,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.53,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,96.35,96.35,0,0,0,1509.3999999999999

17,04:00-04:15,14.6,96.35,96.35,26.93,26.93,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,0,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.53,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1262.5

18,04:15-04:30,14.6,96.35,96.35,26.93,26.93,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,0,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.53,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1262.5

19,04:30-04:45,14.6,96.35,96.35,26.93,26.93,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,0,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.53,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1262.5

20,04:45-05:00,14.6,96.35,96.35,26.93,26.93,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,0,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.53,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1262.5

21,05:00-05:15,14.6,96.35,96.35,26.93,26.93,48.18,18.35,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,0,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.53,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1262.31

22,05:15-05:30,14.6,96.35,96.35,26.93,26.93,48.18,18.35,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,0,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.53,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1262.31

23,05:30-05:45,14.6,96.35,96.35,26.93,26.93,48.18,18.35,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,0,48.18,26.27,8.67,19.27,11.56,48.18,26.27,0.53,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1261.34

24,05:45-06:00,14.6,96.35,96.35,26.93,26.93,48.18,18.35,14.6,24.09,0,0,0,0,0.16,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,0,48.18,26.27,8.67,19.27,11.56,48.18,26.27,0.53,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1261.5

25,06:00-06:15,14.6,96.35,96.35,26.93,26.93,48.18,18.35,14.6,24.09,0.02,0,0,0,0.77,0,0,0,1,0,0,0,192.7,0,15.27,20.79,16.83,24.09,0,48.18,26.27,0,19.27,11.56,48.18,26.27,0.82,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1254.75

26,06:15-06:30,14.6,96.35,96.35,26.93,26.93,48.18,18.35,14.6,24.09,0.1,0.03,0,0,1.91,0,0,0,4,0.03,0,0,192.7,0,15.27,20.79,16.83,24.09,0,48.18,26.27,0,19.27,11.56,48.18,26.27,0.82,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1259.0300000000002

27,06:30-06:45,14.6,96.35,96.35,26.93,26.93,48.18,18.35,14.6,24.09,0.12,0.03,0,0,3.71,0,0,0,8,0.06,0,0,192.7,0.84,15.27,20.79,16.83,24.09,0,48.18,26.27,0,19.27,11.56,48.18,26.27,0.82,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1265.7200000000003

28,06:45-07:00,14.6,96.35,96.35,26.93,26.93,48.18,18.35,14.6,24.09,0.2,0.05,0,0,6.34,0,0,0,14,0.1,0,0,192.7,1.38,15.27,20.79,16.83,24.09,0,48.18,26.27,0,19.27,11.56,48.18,26.27,0.82,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1275.0300000000002

29,07:00-07:15,14.6,96.35,96.35,26.93,26.93,48.18,18.26,14.6,24.09,0.19,0.19,0,0,9.92,0,0,0,20,0.1,0,0,192.7,1.98,15.27,20.79,16.83,24.09,0,48.18,26.27,0,19.27,11.56,48.18,26.27,0.87,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1285.3000000000002

30,07:15-07:30,14.6,96.35,96.35,26.93,26.93,48.18,18.26,14.6,24.09,0.19,0.19,0,0,14.16,0,0,0,28,0.1,0,0,192.7,2.98,15.27,20.79,16.83,24.09,0,48.18,26.27,0,19.27,11.56,48.18,26.27,0.87,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1298.5400000000002

31,07:30-07:45,14.6,96.35,96.35,26.93,26.93,48.18,18.26,14.6,24.09,0.19,0.19,0,0,19.21,0.1,0.06,0,42,0.1,0.08,0,192.7,3.86,15.27,20.79,16.83,24.09,0,48.18,26.27,0,19.27,11.56,48.18,26.27,0.87,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1318.71

32,07:45-08:00,14.6,96.35,96.35,26.64,26.93,48.18,18.26,14.6,24.09,0.28,0.19,0,0,25.14,0.28,0.15,0,53,0.16,0.22,0,192.7,5.26,15.27,20.79,16.83,24.09,0,48.18,26.27,0,19.27,11.56,48.18,26.27,0.87,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1337.31

33,08:00-08:15,14.6,96.35,96.35,26.93,26.93,48.18,18.26,14.6,24.09,0.34,0.19,1.64,1.16,31.67,0.48,0.32,0,67,0.2,0.38,0,192.7,6.2,15.27,20.79,16.83,24.09,0,48.18,26.27,0,19.27,11.56,48.18,26.27,0.96,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1362.59

34,08:15-08:30,14.6,96.35,96.35,26.64,26.93,48.18,18.26,14.6,24.09,0.44,0.19,1.64,1.16,38.62,0.7,0.47,0,77,0.27,0.55,0,192.7,8.55,15.27,20.79,16.83,24.09,0,48.18,26.27,0,19.27,11.56,48.18,26.27,0.96,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1382.31

35,08:30-08:45,14.6,96.35,96.35,0,26.93,48.18,18.26,14.6,24.09,0.48,0.19,1.64,1.16,45.75,0.87,0.58,0,98,0.29,0.67,0,192.7,5.89,15.27,20.79,16.83,24.09,0,48.18,26.27,0,19.27,13.49,48.18,26.27,0.96,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1383.5300000000002

36,08:45-09:00,14.6,96.35,96.35,0,26.93,48.18,18.26,14.6,24.09,0.48,0.19,1.64,1.16,52.76,0.96,0.67,0,112,0.29,0.67,0,192.7,5.89,15.27,20.79,16.83,24.09,0,48.18,26.27,0,19.27,13.49,48.18,26.27,0.96,26.27,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,0,0,1404.72

37,09:00-09:15,14.6,96.35,96.35,26.94,26.94,48.18,18.26,14.6,24.09,0.48,0.19,1.64,1.16,59.05,0.96,0.67,0,126,0.29,0.77,48.18,192.7,5.89,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1498.06

38,09:15-09:30,14.6,96.35,96.35,26.94,26.94,48.18,18.26,14.6,24.09,0.48,0.19,1.64,1.16,64.5,0.96,0.67,0,140,0.29,0.77,48.18,192.7,6.87,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1518.49

39,09:30-09:45,14.6,96.35,96.35,26.94,26.94,48.18,18.26,14.6,24.09,0.48,0.19,1.64,1.16,72.9,0.96,0.67,0,151,0.29,0.77,48.18,192.7,6.87,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1537.89

40,09:45-10:00,14.6,96.35,96.35,26.94,26.94,48.18,18.26,14.6,24.09,0.48,0.19,1.64,1.16,78.46,0.96,0.67,0,161,0.29,0.77,48.18,192.7,7.84,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1554.42

41,10:00-10:15,14.6,96.35,96.35,26.94,26.94,48.18,18.44,14.6,24.09,0.48,0.19,1.64,1.16,82.97,0.96,0.67,1.45,172,0.29,0.77,48.18,192.7,7.84,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1571.56

42,10:15-10:30,14.6,96.35,96.35,26.94,26.94,48.18,18.44,14.6,24.09,0.48,0.19,1.64,1.16,87.29,0.96,0.67,1.45,179,0.29,0.77,48.18,192.7,7.84,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1582.88

43,10:30-10:45,14.6,96.35,96.35,26.94,26.94,48.18,18.44,14.6,24.09,0.48,0.19,1.64,1.16,91.35,0.67,0.39,1.45,186,0.29,0.48,48.18,192.7,11.55,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1596.7900000000002

44,10:45-11:00,14.6,96.35,96.35,26.94,26.94,48.18,18.44,14.6,24.09,0.48,0.19,1.64,1.16,95.07,0.67,0.39,1.45,189,0.29,0.48,48.18,192.7,12.83,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1604.79

45,11:00-11:15,14.6,96.35,96.35,26.94,26.94,48.18,18.44,14.6,24.09,0.48,0.19,1.64,1.16,97.73,0.67,0.39,1.45,196,0.29,0.48,48.18,192.7,14.11,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1615.73

46,11:15-11:30,14.6,96.35,96.35,26.94,26.94,48.18,18.44,14.6,24.09,0.48,0.19,1.64,1.16,99.96,0.67,0.39,1.45,196,0.29,0.48,48.18,192.7,15.55,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1619.4

47,11:30-11:45,14.6,96.35,96.35,26.94,26.94,48.18,18.44,14.6,24.09,0.48,0.19,1.64,1.16,100,0.67,0.39,1.45,196,0.29,0.48,48.18,192.7,16.93,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1620.82

48,11:45-12:00,14.6,96.35,96.35,26.94,26.94,48.18,18.44,14.6,24.09,0.48,0.19,1.64,1.16,100,0.67,0.39,1.45,196,0.29,0.48,48.18,192.7,18.21,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1622.1000000000001

49,12:00-12:15,14.6,96.35,96.35,26.95,26.95,48.18,18.44,14.6,24.09,0.48,0.19,1.64,1.16,100,0.67,0.39,1.45,186,0.29,0.48,48.18,192.7,19.4,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1613.31

50,12:15-12:30,14.6,96.35,96.35,26.95,26.95,48.18,18.44,14.6,24.09,0.48,0.19,1.64,1.16,100,0.67,0.39,1.45,186,0.29,0.48,48.18,192.7,19.69,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1613.6000000000001

51,12:30-12:45,14.6,96.35,96.35,26.95,26.95,48.18,18.44,14.6,24.09,0.48,0.19,1.64,1.16,100,0.67,0.39,1.45,193,0.29,0.48,48.18,192.7,19.95,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1620.8600000000001
