Column1,Block,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/jitpl,NR/30092023/26122029/SH-06,NR/2024/22058/A/30943,NR/2024/22052/A/30942,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21971/A/31185,NR/2024/22402/C,NR/2024/21658/A/30917,NR/2024/21860/A/31245,NR/2024/22404/C,NR/2024/21983/A/30930,NR/2024/21966/A/30944,NR/2024/21974/A/31186,NR/2024/21968/A/31182,NR/2024/21970/A/31183,NR/2024/21940/A/31201,NR/2024/22401/C,NR/2024/22409/C,NR/2024/21961/A/31150,NR/2024/22418/C,NR/2024/21954/A/31200,NR/2024/22228/A/31195,NR/2024/21814/A/31187,NR/30092023/31122025/SH-07,NR/2024/22042/A/30911,NR/01082024/15082024/APL-Raigarh,NR/2024/21943/A/31199,NR/2024/22383/C,NR/2024/21918/A/31145,NR/2024/21909/A/31115,NR/2024/22010/A/31137,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/21938/A/31152,NR/2024/22080/A/30775,NR/2024/22279/A/30956,NR/2024/22014/A/30912,NR/2024/21956/A/31203,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,Total
4,00:45-01:00,12.4,11.94,26.9071,0,0,15.91,37.2,163.93,0.63,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,9.63,4.81,1.93,67.4,38.52,1562.8842000000004

5,01:00-01:15,12.4,11.94,26.9071,0,0,15.91,37.2,163.93,0.58,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,9.63,4.81,1.93,67.4,38.52,1562.8342000000005

6,01:15-01:30,12.4,11.94,26.9071,0,0,15.91,37.2,163.93,0.58,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,9.63,4.81,1.93,67.4,38.52,1562.8342000000005

7,01:30-01:45,12.4,11.94,26.9071,0,0,15.91,37.2,163.93,0.58,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,9.63,4.81,1.93,67.4,38.52,1562.8342000000005

8,01:45-02:00,12.4,11.94,26.9071,0,0,15.91,37.2,163.93,0.58,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,9.63,4.81,1.93,67.4,38.52,1562.8342000000005

9,02:00-02:15,12.4,11.94,26.9071,0,0,18.66,37.2,163.93,0.58,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,9.63,4.81,1.93,67.4,38.52,1565.5842000000005

10,02:15-02:30,12.4,11.94,26.9071,0,0,18.66,37.2,163.93,0.58,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,9.63,4.81,1.93,67.4,38.52,1565.5842000000005

11,02:30-02:45,12.4,11.94,26.9071,0,0,18.66,37.2,163.93,0.58,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,9.63,4.81,1.93,67.4,38.52,1565.5842000000005

12,02:45-03:00,12.4,11.94,26.9071,0,0,18.66,37.2,163.93,0.58,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,9.63,4.81,1.93,67.4,38.52,1565.5842000000005

13,03:00-03:15,12.4,11.94,26.9071,0,0,18.2,37.2,163.93,0.58,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,8.67,4.81,1.93,67.4,0,1525.6442000000004

14,03:15-03:30,12.4,11.94,26.9071,0,0,18.2,37.2,163.93,0.58,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,8.67,4.81,1.93,67.4,0,1525.6442000000004

15,03:30-03:45,12.4,11.94,26.9071,0,0,18.2,37.2,163.93,0.58,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,8.67,4.81,1.93,67.4,0,1525.6442000000004

16,03:45-04:00,12.4,11.94,26.9071,0,0,18.2,37.2,163.93,0.58,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,8.67,4.81,1.93,67.4,0,1525.6442000000004

17,04:00-04:15,12.4,11.94,26.9071,0,0,18.2,37.2,163.93,0.53,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,8.67,4.81,1.93,67.4,0,1525.5942000000005

18,04:15-04:30,12.4,11.94,26.9071,0,0,18.2,37.2,163.93,0.53,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,8.67,4.81,1.93,67.4,0,1525.5942000000005

19,04:30-04:45,12.4,11.94,26.9071,0,0,18.2,37.2,163.93,0.53,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,7.7,4.81,1.93,67.4,0,1524.6242000000004

20,04:45-05:00,12.4,11.94,26.9071,0,0,18.2,37.2,163.93,0.53,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,7.7,4.81,1.93,67.4,0,1524.6242000000004

21,05:00-05:15,12.4,11.94,26.9071,0,0,17.74,37.2,163.93,0.53,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,7.7,4.81,1.93,24.07,0,1480.8342000000002

22,05:15-05:30,12.4,11.94,26.9071,0,0,17.74,37.2,163.93,0.53,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,7.7,4.81,1.93,24.07,0,1480.8342000000002

23,05:30-05:45,12.4,11.94,26.9071,0,0,17.74,37.2,163.93,0.53,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,7.7,4.81,1.93,24.07,0,1480.8342000000002

24,05:45-06:00,12.4,11.94,26.9071,0,0,17.74,37.2,163.93,0.53,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,7.7,4.81,1.93,24.07,0,1480.8342000000002

25,06:00-06:15,12.4,11.94,26.9071,0,0,17.74,37.2,163.93,0.63,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,0,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,0,7.7,4.81,1.93,24.07,0,1329.2642000000003

26,06:15-06:30,12.4,11.94,26.9071,0,0,17.74,37.2,163.93,0.63,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,0,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,0,7.7,4.81,1.93,24.07,0,1329.2642000000003

27,06:30-06:45,12.4,11.94,26.9071,0,0,17.74,37.2,163.93,0.63,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,0,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,0,8.67,4.81,1.93,24.07,0,1330.2342000000003

28,06:45-07:00,12.4,11.94,26.9071,0,0,17.74,37.2,163.93,0.63,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0.19,0,0,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,0,8.67,4.81,1.93,24.07,0,1330.4242000000004

29,07:00-07:15,12.4,11.94,26.9071,0,0,17.74,37.2,163.93,0.72,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0.48,0,0,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,0,8.67,4.81,1.93,24.07,0,1330.8042000000003

30,07:15-07:30,12.4,11.94,26.9071,0,0,17.74,37.2,163.93,0.72,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0.9,0,0,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,0,8.67,4.81,1.93,24.07,0,1331.2242000000003

31,07:30-07:45,12.4,11.94,26.9071,0,0,17.74,37.2,163.93,0.72,48.14,27.92,0,0,37.2,37.2,12.4,83.95,1.11,0,0,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,0,8.67,4.81,1.93,24.07,0,1331.4342000000004

32,07:45-08:00,12.4,11.94,26.9071,0,0,17.74,37.2,163.93,0.72,48.14,27.92,0,0,37.2,37.2,12.4,83.95,1.22,0,0,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,0,8.67,4.81,1.93,24.07,0,1331.5442000000003

33,08:00-08:15,12.4,11.94,26.9071,0,0,17.74,37.2,163.93,0.96,48.14,27.92,0,0,37.2,37.2,12.4,83.95,1.29,0,0,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,0,8.67,4.81,1.93,24.07,0,1331.8542000000002

34,08:15-08:30,12.4,11.94,26.9071,0,0,17.74,37.2,163.93,0.96,48.14,27.92,0,0,37.2,37.2,12.4,83.95,1.5,0,0,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,0,8.67,4.81,1.93,24.07,0,1332.0642000000003

35,08:30-08:45,12.4,11.94,26.9071,0,0,17.74,37.2,163.93,0.96,48.14,27.92,0,0,37.2,37.2,12.4,83.95,1.73,0,0,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,0,8.67,4.81,1.93,24.07,0,1332.2942000000003

36,08:45-09:00,12.4,11.94,26.9071,0,0,17.74,37.2,163.93,0.96,48.14,27.92,0,0,37.2,37.2,12.4,83.95,2.43,0,0,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,0,8.67,4.81,1.93,24.07,0,1332.9942

37,09:00-09:15,12.4,11.94,26.9071,10.59,19.35,17.74,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,3.05,10.78,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,9.63,4.81,1.93,24.07,0,1375.2941999999998

38,09:15-09:30,12.4,11.94,26.9071,10.59,24.94,17.74,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,3.27,13,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,9.63,4.81,1.93,24.07,0,1383.3242

39,09:30-09:45,12.4,11.94,26.9071,10.59,28.69,17.74,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,3.37,13.67,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,11.55,4.81,1.93,24.07,0,1389.7641999999998

40,09:45-10:00,12.4,11.94,26.9071,10.59,32.64,17.74,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,3.71,9.73,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,11.55,4.81,1.93,24.07,0,1390.1142

41,10:00-10:15,12.4,11.94,26.9071,10.59,34.47,17.55,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,3.85,7.9,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,11.55,4.81,1.93,24.07,0,1390.0641999999998

42,10:15-10:30,12.4,11.94,26.9071,10.59,37.07,17.55,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,4.04,5.3,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,11.55,4.81,1.93,24.07,0,1390.2541999999999

43,10:30-10:45,12.4,11.94,26.9071,10.59,41.4,17.55,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,4.2,0.96,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1391.3742

44,10:45-11:00,12.4,11.94,26.9071,10.59,42.37,17.55,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,4.43,0,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1391.6142

45,11:00-11:15,12.4,11.94,26.9071,10.59,42.37,17.55,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,4.68,0,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1391.8642

46,11:15-11:30,12.4,11.94,26.9071,10.59,42.37,17.55,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,5.01,0,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1392.1942

47,11:30-11:45,12.4,11.94,26.9071,10.59,42.37,16.36,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,5.2,0,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1391.1942

48,11:45-12:00,12.4,11.94,26.9071,10.59,42.37,16.36,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,5.39,0,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1391.3842

49,12:00-12:15,12.4,11.94,26.9071,10.59,42.37,16.36,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,5.66,0,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1391.6542

50,12:15-12:30,12.4,11.94,26.9071,10.59,42.37,16.36,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,5.97,0,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1391.9642

51,12:30-12:45,12.4,11.94,26.9071,10.59,42.37,16.36,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,7.13,0,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1393.1242

52,12:45-13:00,12.4,11.94,26.9071,10.59,42.37,16.36,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,8.09,0,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1394.0842

53,13:00-13:15,12.4,11.94,26.9071,10.59,42.37,16.36,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,8.67,0,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1394.6642

54,13:15-13:30,12.4,11.94,26.9071,10.59,42.37,16.36,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,9.24,0,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1395.2341999999999

55,13:30-13:45,12.4,11.94,26.9071,10.59,42.37,16.36,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,8.09,0,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1394.0842

56,13:45-14:00,12.4,11.94,26.9071,10.59,42.37,16.36,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,7.74,0,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1393.7341999999999

57,14:00-14:15,12.4,11.94,26.9071,10.59,42.37,15.44,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,6.84,0,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1391.9142

58,14:15-14:30,12.4,11.94,26.9071,10.59,42.37,15.44,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,6.16,0,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1391.2341999999999

59,14:30-14:45,12.4,11.94,26.9071,10.59,42.37,15.44,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,5.58,0,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1390.6542

60,14:45-15:00,12.4,11.94,26.9071,10.59,42.37,15.44,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,5.01,0,0,0,24,0,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1390.0842

61,15:00-15:15,12.4,11.94,26.9071,10.59,42.37,15.44,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,4.81,0,0,0,24,44.37,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1434.2541999999999

62,15:15-15:30,12.4,11.94,26.9071,10.59,38.32,15.44,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,4.43,4.04,0,0,24,44.37,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1433.8641999999998

63,15:30-15:45,12.4,11.94,26.9071,10.59,36.3,15.44,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,4.09,6.07,0,0,24,44.37,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1433.5342

64,15:45-16:00,12.4,11.94,26.9071,10.59,30.81,15.44,37.2,163.93,0.96,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,3.33,11.55,0,0,24,44.37,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1432.7641999999998

65,16:00-16:15,12.4,11.94,26.9071,10.59,29.37,15.44,37.2,163.93,0.82,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,2.98,13,0,0,24,44.37,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1432.2842

66,16:15-16:30,12.4,11.94,26.9071,10.59,26.38,15.44,37.2,163.93,0.82,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,2.5,14.15,0,0,24,44.37,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1429.9642

67,16:30-16:45,12.4,11.94,26.9071,10.59,21.95,15.44,37.2,163.93,0.82,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,2.31,11.84,0,0,24,44.37,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1423.0341999999998

