Column1,Block,NR/2025/28485/C,NR/2025/28478/C,NR/2025/28479/C,NR/2025/28480/C,NR/2025/28488/C,NR/2025/28482/C,NR/2025/28556/C,NR/2025/27356/A/79227,NR/2025/27622/A/79061,NR/2025/27162/A/79542,NR/2025/27726/A/79536,NR/2025/26889/A/79527,NR/2025/26563/A/79491,NR/2025/28504/C,NR/2025/28518/C,NR/2025/27499/A/79526,NR/2025/27242/A/79207,NR/2025/27167/A/79300,NR/2025/26569/A/79493,NR/2025/27168/A/79302,NR/2025/27727/A/79534,NR/2025/27724/A/79189,NR/2025/26570/A/79494,NR/2025/28407/C,NR/2025/27725/A/79537,NR/2025/28139/A/79221,NR/2025/28511/C,NR/2025/26952/A/79022,NR/2025/28138/A/79219,NR/2025/26085/A/79078,NR/2025/28439/C,NR/2025/26785/A/79071,NR/2025/26975/A/79543,NR/2025/28398/C,NR/2025/28505/C,NR/2025/27782/A/79532,NR/2025/26564/A/79492,NR/2025/28358/C,NR/2025/26777/A/79180,NR/2025/28359/C,NR/2025/26860/A/79451,NR/2025/27088/A/79569,NR/2025/28141/A/79225,NR/2025/28438/C,NR/2025/28140/A/79223,NR/2025/28512/C,NR/2025/28440/C,NR/2025/27462/A/79066,NR/2025/26561/A/79490,NR/2025/27281/A/79604,NR/2025/27157/A/79191,GNA/NR/2025/06/01/7762,NR/2025/27728/A/79535,NR/2025/26445/A/79577,GNA/NR/2025/06/01/2868,NR/2025/26861/A/79506,NR/2025/28552/C,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/11/1078,GNA/NR/2025/06/11/4898,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7786,NR/30092023/31122025/SH-07,GNA/NR/2025/06/11/3444,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/5280,GNARE/NR/2024/12/20/3668,Total
3,00:30-00:45,0,0,0,0,0,0,48.32,0,0,55.99,26.35,5.8,144.94,0,0,8.7,48.32,24.16,144.94,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.68,0,0,27.06,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,217.32,24.16,26.35,96.63,29.16,193.26,0,0,170.07,38.65,14.15,48.32,29.5,96.63,32,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2940.1500000000005

4,00:45-01:00,0,0,0,0,0,0,48.32,0,0,55.99,26.35,5.8,144.94,0,0,8.7,48.32,24.16,144.94,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.68,0,0,27.06,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,217.32,24.16,26.35,96.63,29.16,193.26,0,0,170.07,38.65,14.15,48.32,29.5,96.63,32,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2940.1500000000005

5,01:00-01:15,0,0,0,0,0,0,0,0,0,55.99,26.35,5.8,144.94,0,0,8.7,48.32,24.16,144.94,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.68,0,0,27.06,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,217.32,24.16,26.35,96.63,29.16,193.26,0,0,170.07,38.65,13.88,48.32,29.5,96.63,32,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2891.5600000000004

6,01:15-01:30,0,0,0,0,0,0,0,0,0,55.99,26.35,5.8,144.94,0,0,8.7,48.32,24.16,144.94,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.68,0,0,27.06,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,217.32,24.16,26.35,96.63,29.16,193.26,0,0,170.07,38.65,13.88,48.32,29.5,96.63,32,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2891.5600000000004

7,01:30-01:45,0,0,0,0,0,0,0,0,0,55.99,26.35,5.8,144.94,0,0,8.7,48.32,24.16,144.94,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.68,0,0,27.06,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,217.32,24.16,26.35,96.63,29.16,193.26,0,0,170.07,38.65,13.88,48.32,29.5,96.63,32,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2891.5600000000004

8,01:45-02:00,0,0,0,0,0,0,0,0,0,55.99,26.35,5.8,144.94,0,0,8.7,48.32,24.16,144.94,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.68,0,0,27.06,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,217.32,24.16,26.35,96.63,29.16,193.26,0,0,170.07,38.65,13.88,48.32,29.5,96.63,32,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2891.5600000000004

9,02:00-02:15,0,0,0,0,0,0,0,0,0,55.99,26.35,0,144.94,0,0,0,48.32,24.16,144.94,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.63,0,0,27.06,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,217.32,24.16,26.35,31.11,29.16,0,0,193.26,170.07,38.65,13.68,48.32,29.5,96.63,29.5,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2808.79

10,02:15-02:30,0,0,0,0,0,0,0,0,0,55.99,26.35,0,144.94,0,0,0,48.32,24.16,144.94,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.63,0,0,27.06,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,217.32,24.16,26.35,31.11,29.16,0,0,193.26,170.07,38.65,13.68,48.32,29.5,96.63,29.5,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2808.79

11,02:30-02:45,0,0,0,0,0,0,0,0,0,55.99,26.35,0,144.94,0,0,0,48.32,24.16,144.94,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.63,0,0,27.06,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,217.32,24.16,26.35,31.11,29.16,0,0,193.26,170.07,38.65,13.68,48.32,29.5,96.63,29.5,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2808.79

12,02:45-03:00,0,0,0,0,0,0,0,0,0,55.99,26.35,0,144.94,0,0,0,48.32,24.16,144.94,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.63,0,0,27.06,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,217.32,24.16,26.35,31.11,29.16,0,0,193.26,170.07,38.65,13.68,48.32,29.5,96.63,29.5,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2808.79

13,03:00-03:15,0,0,0,0,0,0,0,0,0,55.99,26.35,0,144.94,0,0,0,48.32,24.16,144.94,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.53,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,217.32,24.16,26.35,31.11,29.16,0,0,193.26,0,0,13.41,48.32,30,0,17.64,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2470.45

14,03:15-03:30,0,0,0,0,0,0,0,0,0,55.99,26.35,0,144.94,0,0,0,48.32,24.16,144.94,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.53,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,217.32,24.16,26.35,31.11,29.16,0,0,193.26,0,0,13.41,48.32,30,0,17.64,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2470.45

15,03:30-03:45,0,0,0,0,0,0,0,0,0,55.99,26.35,0,144.94,0,0,0,48.32,24.16,144.94,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.53,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,217.32,24.16,26.35,31.11,29.16,0,0,193.26,0,0,13.41,48.32,23.82,0,23.82,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2470.4500000000003

16,03:45-04:00,0,0,0,0,0,0,0,0,0,55.99,26.35,0,144.94,0,0,0,48.32,24.16,144.94,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.53,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,217.32,24.16,26.35,31.11,29.16,0,0,193.26,0,0,13.41,48.32,23.82,0,23.82,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2470.4500000000003

17,04:00-04:15,0,0,0,0,0,0,0,0,0,55.99,26.35,0,0,0,0,0,48.32,24.16,0,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.53,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,0,24.16,26.35,31.11,29.16,0,0,193.26,0,0,13.23,48.32,19.7,0,19.7,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,1954.8300000000002

18,04:15-04:30,0,0,0,0,0,0,0,0,0,55.99,26.35,0,0,0,0,0,48.32,24.16,0,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.53,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,0,24.16,26.35,31.11,29.16,0,0,193.26,0,0,13.23,48.32,23.82,0,23.82,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,1963.07

19,04:30-04:45,0,0,0,0,0,0,0,0,0,55.99,26.35,0,0,0,0,0,48.32,24.16,0,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.53,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,0,24.16,26.35,31.11,29.16,0,0,193.26,0,0,13.23,48.32,23.82,0,23.82,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,1963.07

20,04:45-05:00,0,0,0,0,0,0,0,0,0,55.99,26.35,0,0,0,0,0,48.32,24.16,0,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.53,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,0,24.16,26.35,31.11,29.16,0,0,193.26,0,0,13.23,48.32,23.82,0,23.82,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,1963.07

21,05:00-05:15,0,0,0,0,0,0,0,0,0,55.99,26.35,0,0,0,0,0,48.32,24.16,0,24.16,26.35,10.63,0,0,8.78,0,67.64,0,0,0.63,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,0,0,0,102.36,0,9.66,144.94,24.88,0,24.16,26.35,31.11,29.16,0,0,193.26,0,0,13.13,48.32,26.93,0,26.93,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,1732.5500000000004

22,05:15-05:30,0,0,0,0,0,0,0,0,0,55.99,26.35,0,0,0,0,0,48.32,24.16,0,24.16,26.35,10.63,0,0,8.78,0,67.64,0,0,0.63,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,0,0,0,102.36,0,9.66,144.94,24.88,0,24.16,26.35,31.11,29.16,0,0,193.26,0,0,13.13,48.32,26.93,0,26.93,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,1732.5500000000004

23,05:30-05:45,0,0,0,0,0,0,0,0,0,55.99,26.35,0,0,0,0,0,48.32,24.16,0,24.16,26.35,10.63,0,0,8.78,0,67.64,0,0,0.63,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,0,0,0,102.36,0,9.66,144.94,24.88,0,24.16,26.35,31.11,29.16,0,0,193.26,0,0,13.13,48.32,26.93,0,26.93,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,1732.5500000000004

24,05:45-06:00,0,0,0,0,0,0,0,0,0,55.99,26.35,0,0,0,0,0,48.32,24.16,0,24.16,26.35,9.66,0,0,8.78,0,67.64,0,0,0.63,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,0,0,0,102.36,0,9.66,144.94,24.88,0,24.16,26.35,31.11,29.16,0,0,193.26,0,0,13.13,48.32,26.93,0,26.93,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,1731.5800000000004

25,06:00-06:15,0,0,0,0,0,0,0,1,0,55.99,26.35,0,0,0,0,0,48.32,24.16,0,24.16,26.35,9.66,0,0,8.78,0,67.64,0,0,0.68,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,0,0,0,102.36,0,9.66,144.94,24.88,0,24.16,26.35,31.11,29.16,0,0,193.26,0,0,12.95,48.32,26.93,0,26.93,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0.3,1732.7500000000002

26,06:15-06:30,0,0,0,0,0,0,0,6,0,55.99,26.35,0,0,0,0,0,48.32,24.16,0,24.16,26.35,9.66,0,0,8.78,0,67.64,0,0,0.68,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,0,0,0,102.36,0,9.66,144.94,24.88,0,24.16,26.35,31.11,29.16,0,0,193.26,0,0,12.95,48.32,26.93,0,26.93,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0.3,1737.7500000000002

27,06:30-06:45,0,0,0,0,0,0,0,11,0,55.99,26.35,0,0,0,0,0,48.32,24.16,0,24.16,26.35,9.66,0,0,8.78,0,67.64,0,0,0.68,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,0,0,0,102.36,0,9.66,144.94,24.88,0,24.16,26.35,31.11,29.16,0,0,193.26,0,0,12.95,48.32,26.93,0,26.93,48.32,11.9,48.32,24.16,62.81,24.16,11.91,6.35,1748.8000000000002

28,06:45-07:00,0,0,0,0,0,0,0,18,0,55.99,26.35,0,0,0,0,0,48.32,24.16,0,24.16,26.35,9.66,0,0,8.78,0,67.64,0,0,0.68,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,0,0,0,102.36,0,9.66,144.94,24.88,0,24.16,26.35,31.11,29.16,0,0,193.26,0,0,12.95,48.32,26.93,0,26.93,48.32,11.9,48.32,24.16,62.81,24.16,11.91,9.36,1758.8100000000002

29,07:00-07:15,0,0,0,0,0,0,0,28,0,55.99,26.35,0,0,0,0,0,48.32,24.16,0,24.16,26.35,9.66,0,0,8.78,0,67.64,0,0,0.87,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,0,0,0,102.36,0,9.66,144.94,24.88,0,24.16,26.35,31.11,29.16,0,0,193.26,0,0,12.76,48.32,26.93,0,26.93,48.32,11.9,48.32,24.16,62.81,24.16,11.91,13.25,1772.7

30,07:15-07:30,0,0,0,0,0,0,0,42,0,55.99,26.35,0,0,0,0,0,48.32,24.16,0,24.16,26.35,9.66,0,0,8.78,0,67.64,0,0,0.87,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,0,0,0,102.36,0,9.66,144.94,24.88,0,24.16,26.35,31.11,29.16,0,0,193.26,0,0,12.76,48.32,26.93,0,26.93,48.32,11.9,48.32,24.16,62.81,24.16,11.91,18.18,1791.63

31,07:30-07:45,0,0,0,0,0,0,0,53,0,55.99,26.35,0,0,0,0,0,48.32,24.16,0,24.16,26.35,9.66,0,0,8.78,0,67.64,0,0,0.87,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,0,0,0,102.36,0,9.66,144.94,24.88,0,24.16,26.35,31.11,29.16,0,0,193.26,0,0,12.76,48.32,26.93,0,26.93,48.32,11.9,48.32,24.16,62.81,24.16,11.91,24.66,1809.1100000000001

32,07:45-08:00,0,0,0,0,0,0,0,67,0,55.99,26.35,0,0,0,0,0,48.32,24.16,0,24.16,26.35,9.66,0,0,8.78,0,67.64,0,0,0.87,0,0,5.8,0,0,8.78,0,0,193.26,0,106.29,192.64,0,0,0,102.36,0,9.66,144.94,24.88,0,24.16,26.35,31.11,29.16,0,0,193.26,0,0,12.76,48.32,26.93,0,26.93,48.32,11.9,48.32,24.16,62.81,24.16,11.91,30.84,1829.29

33,08:00-08:15,0,0,0,0,0,0,0,84,5.49,55.99,43.92,0,0,0,0,0,48.32,24.16,0,24.16,43.92,9.66,0,0,14.64,0,67.64,0,0,0.97,0,0,5.8,0,0,14.64,0,0,193.26,0,106.29,192.64,0,0,0,102.36,0,9.66,144.94,24.88,0,24.16,37.34,31.11,29.16,0,0,193.26,0,0,12.58,48.32,26.93,0,26.93,48.32,11.9,48.32,24.16,62.81,24.16,11.91,37.81,1916.5200000000002

34,08:15-08:30,0,0,0,0,0,0,0,98,5.8,55.99,43.92,0,0,0,0,0,48.32,24.16,0,24.16,43.92,10.63,0,0,14.64,0,67.64,0,0,0.97,0,0,5.8,0,0,14.64,0,0,193.26,0,106.29,192.64,0,0,0,102.36,0,9.66,144.94,24.88,0,24.16,37.34,31.11,29.16,0,0,193.26,0,0,12.58,48.32,26.93,0,26.93,48.32,11.9,48.32,24.16,62.81,24.16,11.91,44.82,1938.8100000000002

35,08:30-08:45,0,0,0,0,0,0,0,112,5.8,55.99,43.92,0,0,0,0,0,48.32,24.16,0,24.16,43.92,10.63,0,0,14.64,0,67.64,0,0,0.97,0,0,5.8,0,0,14.64,0,0,193.26,0,106.29,192.64,0,0,0,102.36,0,9.66,144.94,24.88,0,24.16,37.34,31.11,29.16,0,0,193.26,0,0,12.58,48.32,26.93,0,26.93,48.32,11.9,48.32,24.16,62.81,24.16,11.91,51.84,1959.8300000000002

36,08:45-09:00,0,0,0,0,0,0,0,126,5.8,55.99,43.92,0,0,0,0,0,48.32,24.16,0,24.16,43.92,10.63,0,0,14.64,0,67.64,0,0,0.97,0,0,5.8,0,0,14.64,0,0,193.26,0,106.29,192.64,0,0,0,102.36,0,9.66,144.94,24.88,0,24.16,37.34,31.11,29.16,0,0,193.26,0,0,12.58,48.32,26.93,0,26.93,48.32,11.9,48.32,24.16,62.81,24.16,11.91,58.6,1980.5900000000004

37,09:00-09:15,39.91,14.64,43.92,43.92,193.26,14.64,0,140,8.7,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,10.63,0,0,0,0,67.64,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,12.39,48.32,26.94,0,26.94,48.32,11.9,48.32,24.16,62.81,24.16,11.91,65.43,2050.2200000000003

