Column1,Block,NR/2025/25752/A/63724,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6490,NR/30092023/31122025/SH-07,GNA/SR/2025/04/01/2597,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/7960,WR/2025/27369/A/64352,WR/2025/27361/A/64194,WR/2025/27350/A/63856,NR/2025/25790/A/64186,NR/2025/25792/A/64184,NR/2025/25795/A/64182,NR/2025/25794/A/64183,NR/2025/25924/A/63862,NR/2025/25977/C,NR/30092023/26122029/SH-06,GNARE/NR/2024/12/20/3668,NR/2025/25791/A/64185,GNA/NR/2025/04/01/9334,GNA/WR/2025/04/01/4420,Total
10,02:15-02:30,0,2.89,2.89,9.62,26.93,0,7.19,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,184.76,26.93,0,21.87,2.89,0,723.71

11,02:30-02:45,0,2.89,2.89,9.62,26.93,0,7.19,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,184.76,26.93,0,21.87,2.89,0,723.71

12,02:45-03:00,0,2.89,2.89,9.62,26.93,0,7.19,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,184.76,26.93,0,21.87,2.89,0,723.71

13,03:00-03:15,0,2.89,2.89,9.62,26.93,0,7.19,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,184.76,26.93,0,21.87,2.89,0,723.71

14,03:15-03:30,0,2.89,2.89,9.62,26.93,0,7.19,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,184.76,26.93,0,21.87,2.89,0,723.71

15,03:30-03:45,0,2.89,2.89,9.62,26.93,0,7.19,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,184.76,26.93,0,21.87,2.89,0,723.71

16,03:45-04:00,0,2.89,2.89,9.62,26.93,0,7.19,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,184.76,26.93,0,21.87,2.89,0,723.71

17,04:00-04:15,0,2.89,2.89,9.62,26.93,0,7.09,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,184.76,26.93,0,21.87,2.89,0,723.61

18,04:15-04:30,0,2.89,2.89,9.62,26.93,0,7.09,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,184.76,26.93,0,21.87,2.89,0,723.61

19,04:30-04:45,0,2.89,2.89,9.62,26.93,0,7.09,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,184.76,26.93,0,21.87,2.89,0,723.61

20,04:45-05:00,0,2.89,2.89,9.62,26.93,0,7.09,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,184.76,26.93,0,21.87,2.89,0,723.61

21,05:00-05:15,0,2.89,2.89,9.62,26.93,0,7,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,184.76,26.93,0,21.87,2.89,0,723.52

22,05:15-05:30,0,2.89,2.89,9.62,26.93,0,7,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,184.76,26.93,0,21.87,2.89,0,723.52

23,05:30-05:45,0,2.89,2.89,9.62,26.93,0,7,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,184.76,26.93,0,21.87,2.89,0,723.52

24,05:45-06:00,0,2.89,2.89,9.62,26.93,0,7,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,184.76,26.93,0,21.87,2.89,0,723.52

25,06:00-06:15,0,2.89,2.89,9.62,21.55,0,6.91,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,184.76,30,0,21.87,2.89,0,721.1200000000001

26,06:15-06:30,0,2.89,2.89,9.62,26.26,0,6.91,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,184.76,30,0.31,21.11,2.89,0,725.38

27,06:30-06:45,0,2.89,2.89,9.62,26.26,0,6.91,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,184.76,30,0.88,20.42,2.89,0,725.26

28,06:45-07:00,0,2.89,2.89,9.62,26.26,0,6.91,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,0,30,2.98,19.74,2.89,0,541.9200000000001

29,07:00-07:15,0,2.89,2.89,9.62,26.93,0,6.81,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,0,26.93,6.34,19.04,2.89,0,542.08

30,07:15-07:30,0,2.89,2.89,9.62,26.93,0,6.81,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,0,26.93,10.73,18.37,2.89,0,545.8000000000001

31,07:30-07:45,0,2.89,2.89,9.62,26.93,0,6.81,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,0,26.93,16.56,17.68,2.89,0,550.9399999999999

32,07:45-08:00,0,2.89,2.89,9.62,26.93,0,6.81,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,0,26.93,23.78,17.22,2.89,0,557.7

33,08:00-08:15,3.85,2.89,2.89,9.62,26.93,0,6.73,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,3.85,0,26.93,31.56,17.22,2.89,0,424.9100000000001

34,08:15-08:30,3.85,2.89,2.89,9.62,26.93,0,6.73,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,3.85,91.42,26.93,39.56,17.22,2.89,0,524.33

35,08:30-08:45,3.85,2.89,2.89,9.62,26.93,0,6.73,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,3.85,91.42,26.93,47.83,18.65,2.89,0,534.0300000000001

36,08:45-09:00,3.85,2.89,2.89,9.62,26.93,0,6.73,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,3.85,91.42,26.93,55.91,18.65,2.89,0,542.11

37,09:00-09:15,6.74,2.89,2.89,9.62,26.94,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,115.48,26.94,63.7,18.65,2.89,0,577.73

38,09:15-09:30,6.74,2.89,2.89,9.62,26.94,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,182.84,26.94,70.81,18.65,2.89,0,652.2

39,09:30-09:45,6.74,2.89,2.89,9.62,26.94,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,182.84,26.94,77.59,18.65,2.89,0,658.9800000000001

40,09:45-10:00,6.74,2.89,2.89,9.62,26.94,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,182.84,26.94,83.78,18.66,2.89,0,665.1800000000001

41,10:00-10:15,8.66,2.89,2.89,9.62,26.94,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,182.84,26.94,89.21,19.66,2.89,0,673.5300000000001

42,10:15-10:30,8.66,2.89,2.89,9.62,26.94,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,211.71,26.94,94.5,19.66,2.89,0,707.69

43,10:30-10:45,8.66,2.89,2.89,9.62,26.94,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,211.71,26.94,100,19.67,2.89,0,713.2

44,10:45-11:00,8.66,2.89,2.89,9.62,26.94,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,240.58,26.94,100,19.67,2.89,0,742.07

45,11:00-11:15,8.66,2.89,2.89,9.62,26.94,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,240.58,26.94,100,19.68,2.89,0,742.08

46,11:15-11:30,8.66,2.89,2.89,9.62,26.94,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,240.58,26.94,100,19.68,2.89,0,742.08

47,11:30-11:45,8.66,2.89,2.89,9.62,26.94,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,240.58,26.94,100,19.69,2.89,0,742.0900000000001

48,11:45-12:00,8.66,2.89,2.89,9.62,26.94,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,240.58,26.94,100,19.69,2.89,0,742.0900000000001

49,12:00-12:15,8.66,2.89,2.89,9.62,26.95,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,240.58,26.95,100,19.66,2.89,0,742.08

50,12:15-12:30,8.66,2.89,2.89,9.62,26.95,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,240.58,26.95,100,19.65,2.89,0,742.07

51,12:30-12:45,8.66,2.89,2.89,9.62,26.95,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,240.58,26.95,100,19.65,2.89,0,742.07

52,12:45-13:00,8.66,2.89,2.89,9.62,26.95,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,240.58,26.95,100,19.65,2.89,0,742.07

53,13:00-13:15,8.66,2.89,2.89,9.62,26.95,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,240.58,26.95,100,20.14,2.89,0,742.5600000000001

54,13:15-13:30,8.66,2.89,2.89,9.62,26.95,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,240.58,26.95,100,20.87,2.89,0,743.2900000000001

55,13:30-13:45,8.66,2.89,2.89,9.62,26.95,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,240.58,26.95,100,21.57,2.89,0,743.9900000000001

56,13:45-14:00,8.66,2.89,2.89,9.62,26.95,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,4.81,240.58,26.95,100,21.87,2.89,0,744.2900000000001

57,14:00-14:15,7.7,2.89,2.89,9.62,26.95,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,5.77,240.58,26.95,100,21.87,2.89,0,744.2900000000001

58,14:15-14:30,7.7,2.89,2.89,9.62,26.95,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,5.77,240.58,26.95,100,21.87,2.89,0,744.2900000000001

59,14:30-14:45,7.7,2.89,2.89,9.62,26.95,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,5.77,240.58,26.95,100,21.87,2.89,0,744.2900000000001

60,14:45-15:00,7.7,2.89,2.89,9.62,26.95,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,5.77,211.71,26.95,100,21.87,2.89,0,715.4200000000001

61,15:00-15:15,6.74,2.89,2.89,9.62,26.95,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,5.77,211.71,26.95,100,21.87,2.89,0,714.46

62,15:15-15:30,6.74,2.89,2.89,9.62,26.95,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,5.77,211.71,26.95,92.83,21.87,2.89,0,707.2900000000001

63,15:30-15:45,6.74,2.89,2.89,9.62,26.95,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,5.77,163.59,26.95,87.3,21.87,2.89,0,653.64

64,15:45-16:00,6.74,2.89,2.89,9.62,26.95,0,6.63,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,5.77,163.59,26.95,81.1,21.87,2.89,0,647.44

65,16:00-16:15,3.85,2.89,2.89,9.62,26.95,0,6.73,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,6.74,163.59,26.95,74.03,21.87,2.89,50,688.5500000000001

66,16:15-16:30,3.85,2.89,2.89,9.62,26.95,0,6.73,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,6.74,163.59,26.95,67.5,21.87,2.89,50,682.0200000000001

67,16:30-16:45,3.85,2.89,2.89,9.62,26.95,0,6.73,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,6.74,163.59,26.95,59.92,21.87,2.89,50,674.44

68,16:45-17:00,3.85,2.89,2.89,9.62,26.95,0,6.73,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,6.74,57.74,26.95,52.39,21.87,2.89,50,561.06

69,17:00-17:15,0,2.89,2.89,9.62,26.95,0,6.81,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,6.74,57.74,26.95,38.03,21.87,2.89,50,542.9300000000001

70,17:15-17:30,0,2.89,2.89,9.62,26.95,0,6.81,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,6.74,57.74,26.95,31.57,21.87,2.89,50,536.47

71,17:30-17:45,0,2.89,2.89,9.62,26.95,0,6.81,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,6.74,57.74,26.95,24.7,21.87,2.89,50,529.6

72,17:45-18:00,0,2.89,2.89,9.62,26.95,0,6.81,9.62,48.12,1.92,9.62,36.57,48.12,48.12,0,10.93,32.8,10.93,32.8,6.74,0,26.95,17.93,21.87,2.89,50,465.09000000000003

73,18:00-18:15,0,2.89,2.89,9.62,26.41,0,6.91,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,6.74,0,29.5,12.28,21.87,2.89,50,509.67

74,18:15-18:30,0,2.89,2.89,9.62,26.41,0,6.91,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,6.74,0,29.5,7.71,21.87,2.89,50,505.1

75,18:30-18:45,0,2.89,2.89,9.62,26.41,0,6.91,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,6.74,0,29.5,2.75,21.87,2.89,50,500.14000000000004

76,18:45-19:00,0,2.89,2.89,9.62,26.41,0,6.91,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,6.74,0,29.5,1.33,21.87,2.89,50,498.72

77,19:00-19:15,0,2.89,2.89,9.62,26.41,0,7,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,6.74,232.88,29.5,0.7,21.87,2.89,50,731.0600000000001

78,19:15-19:30,0,2.89,2.89,9.62,26.41,0,7,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,6.74,232.88,29.5,0.34,21.87,2.89,50,730.7

79,19:30-19:45,0,2.89,2.89,9.62,26.41,0,7,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,6.74,232.88,29.5,0,21.87,2.89,50,730.36

80,19:45-20:00,0,2.89,2.89,9.62,26.41,0,7,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,6.74,232.88,29.5,0,21.87,2.89,50,730.36

81,20:00-20:15,0,2.89,2.89,9.62,26.41,0,8.66,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,5.77,232.88,29.5,0,21.87,2.89,50,731.05

82,20:15-20:30,0,2.89,2.89,9.62,26.41,0,8.66,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,5.77,232.88,29.5,0,21.87,2.89,50,731.05

83,20:30-20:45,0,2.89,2.89,9.62,26.94,0,8.66,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,5.77,232.88,26.94,0,21.87,2.89,50,729.02

84,20:45-21:00,0,2.89,2.89,9.62,26.94,0,8.66,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,5.77,232.88,26.94,0,21.87,2.89,50,729.02

85,21:00-21:15,0,2.89,2.89,9.62,26.94,0,9.11,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,5.77,232.88,26.94,0,21.87,2.89,50,729.47

86,21:15-21:30,0,2.89,2.89,9.62,26.94,0,9.11,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,5.77,232.88,26.94,0,21.87,2.89,50,729.47

87,21:30-21:45,0,2.89,2.89,9.62,26.94,0,9.11,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,5.77,232.88,26.94,0,21.87,2.89,50,729.47

88,21:45-22:00,0,2.89,2.89,9.62,26.94,0,9.11,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,5.77,232.88,26.94,0,21.87,2.89,50,729.47

89,22:00-22:15,0,2.89,2.89,9.62,26.94,0,9.11,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,4.81,232.88,26.94,0,21.87,2.89,50,728.5100000000001

90,22:15-22:30,0,2.89,2.89,9.62,26.94,0,9.11,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,4.81,232.88,26.94,0,21.87,2.89,50,728.5100000000001

91,22:30-22:45,0,2.89,2.89,9.62,26.94,0,9.11,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,4.81,232.88,26.94,0,21.87,2.89,50,728.5100000000001

92,22:45-23:00,0,2.89,2.89,9.62,26.94,0,9.11,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,4.81,223.25,26.94,0,21.87,2.89,50,718.8800000000001

93,23:00-23:15,0,2.89,2.89,9.62,26.94,0,9.11,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,3.85,223.25,26.94,0,21.87,2.89,50,717.9200000000001

94,23:15-23:30,0,2.89,2.89,9.62,26.94,0,9.11,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,3.85,223.25,26.94,0,21.87,2.89,50,717.9200000000001

95,23:30-23:45,0,2.89,2.89,9.62,26.94,0,9.11,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,3.85,223.25,26.94,0,21.87,2.89,50,717.9200000000001

96,23:45-24:00,0,2.89,2.89,9.62,26.94,0,9.11,9.62,48.12,1.92,9.62,36.57,48.12,48.12,48.12,10.93,32.8,10.93,32.8,3.85,223.25,26.94,0,21.87,2.89,50,717.9200000000001

