Column1,Block,WR/2025/26426/A/56621,NR/2025/25540/C,WR/2025/26427/A/56624,WR/2025/26582/A/56859,NR/2025/25159/A/56553,NR/2025/25541/C,WR/2025/26499/A/56861,NR/2025/25513/A/56822,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/8036,GNARE/NR/2024/12/20/3668,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/6891,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/3469,NR/30092023/26122029/SH-06,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/5143,Total
3,00:30-00:45,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,32,0,23.02,23.02,5.76,17.27,55.49,5.42,6.71,25.87,200,166.48,889.8399999999999

4,00:45-01:00,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,32,0,23.02,23.02,5.76,17.27,55.49,5.42,6.71,25.87,200,166.48,889.8399999999999

5,01:00-01:15,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,32,0,23.02,23.02,5.76,17.27,55.49,5.42,6.71,25.87,200,166.48,889.8399999999999

6,01:15-01:30,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,32,0,23.02,23.02,5.76,17.27,55.49,5.42,6.71,25.87,200,166.48,889.8399999999999

7,01:30-01:45,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,32,0,23.02,23.02,5.76,17.27,55.49,5.42,6.71,25.87,200,166.48,889.8399999999999

8,01:45-02:00,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,32,0,23.02,23.02,5.76,17.27,55.49,5.42,6.71,25.87,200,166.48,889.8399999999999

9,02:00-02:15,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.32,6.71,26.99,0,166.48,685.8499999999999

10,02:15-02:30,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.32,6.71,26.99,0,166.48,685.8499999999999

11,02:30-02:45,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.32,6.71,26.99,0,166.48,685.8499999999999

12,02:45-03:00,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.32,6.71,26.99,0,166.48,685.8499999999999

13,03:00-03:15,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.24,6.71,26.99,0,166.48,685.77

14,03:15-03:30,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.24,6.71,26.99,0,166.48,685.77

15,03:30-03:45,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.24,6.71,26.99,0,166.48,685.77

16,03:45-04:00,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.24,6.71,26.99,0,166.48,685.77

17,04:00-04:15,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.24,6.71,26.99,0,166.48,685.77

18,04:15-04:30,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.24,6.71,26.99,0,166.48,685.77

19,04:30-04:45,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.24,6.71,26.99,0,166.48,685.77

20,04:45-05:00,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.24,6.71,26.99,0,166.48,685.77

21,05:00-05:15,167.43,0,47.96,47.96,0.48,0,0,0,42,0,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.14,6.71,26.99,0,166.48,685.7199999999999

22,05:15-05:30,167.43,0,47.96,47.96,0.48,0,0,0,42,0,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.14,6.71,26.99,0,166.48,685.7199999999999

23,05:30-05:45,167.43,0,47.96,47.96,0.48,0,0,0,42,0,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.14,6.71,26.99,0,166.48,685.7199999999999

24,05:45-06:00,167.43,0,47.96,47.96,0.48,0,0,0,42,0,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.14,6.71,26.99,0,166.48,685.7199999999999

25,06:00-06:15,167.43,0,0,0,0.53,0,0,0,42,0,23.02,0,32,0,23.02,23.02,5.76,17.27,0,5.14,6.71,18.15,0,0,364.0499999999999

26,06:15-06:30,167.43,0,0,0,0.53,0,0,0,42,0,23.02,0,32,0,23.02,23.02,5.76,17.27,0,5.14,6.71,18.15,0,0,364.0499999999999

27,06:30-06:45,167.43,0,0,0,0.53,0,0,0,42,0,23.02,0.45,32,0,23.02,23.02,5.76,17.27,0,5.14,6.71,32,0,0,378.3499999999999

28,06:45-07:00,167.43,0,0,0,0.53,0,0,0,42,0,23.02,0.45,32,0,23.02,23.02,5.76,17.27,0,5.14,6.71,32,0,0,378.3499999999999

29,07:00-07:15,167.43,0,0,0,0.58,0,40.29,0,0,0,23.02,0,32,0,23.02,23.02,5.76,17.27,0,5.05,6.71,32,0,0,376.15

30,07:15-07:30,167.43,0,0,0,0.58,0,40.29,0,0,0,23.02,1.6,32,0,23.02,23.02,5.76,17.27,0,5.05,6.71,32,0,0,377.74999999999994

31,07:30-07:45,167.43,0,0,0,0.58,0,40.29,0,0,0,23.02,5.94,32,0,23.02,23.02,5.76,17.27,0,5.05,6.71,32,0,0,382.0899999999999

32,07:45-08:00,167.43,0,0,0,0.58,0,40.29,0,0,0,23.02,12.22,32,0,23.02,23.02,5.76,17.27,0,5.05,6.71,32,0,0,388.36999999999995

33,08:00-08:15,0,0,0,0,0.96,0,40.29,0,0,0,23.02,20.24,32,0,23.02,23.02,5.76,17.27,0,5.05,6.71,32,0,0,229.34000000000003

34,08:15-08:30,0,0,0,0,0.96,0,40.29,0,0,0,23.02,28.83,32,0,23.02,23.02,5.76,17.27,0,5.05,6.71,32,0,0,237.93000000000004

35,08:30-08:45,0,0,0,0,0.96,0,40.29,0,0,0,23.02,37.96,26.99,0,23.02,23.02,5.76,17.27,0,5.05,6.71,26.99,0,0,237.04000000000005

36,08:45-09:00,0,0,0,0,0.96,0,40.29,0,0,0,23.02,46.54,26.99,0,23.02,23.02,5.76,17.27,0,5.05,6.71,26.99,0,0,245.62000000000006

37,09:00-09:15,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,54.83,26.99,0,23.02,23.02,5.76,17.27,0,4.96,6.71,26.99,0,0,306.53

38,09:15-09:30,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,62.7,26.99,0,23.02,23.02,5.76,17.27,0,4.96,6.71,26.99,0,0,314.4

39,09:30-09:45,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,70.42,26.99,0,23.02,23.02,5.76,17.27,0,4.96,6.71,26.99,0,0,322.11999999999995

40,09:45-10:00,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,77.43,26.99,0,23.02,23.02,5.76,17.27,0,4.96,6.71,26.99,0,0,329.13

41,10:00-10:15,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,82.1,26.99,0,23.02,23.02,5.76,17.27,0,4.86,6.71,26.99,0,0,333.7

42,10:15-10:30,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,88.2,26.99,0,23.02,23.02,5.76,17.27,0,4.86,6.71,26.99,0,0,339.8

43,10:30-10:45,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,93.4,26.99,0,23.02,23.02,5.76,17.27,0,4.86,6.71,26.99,0,0,344.99999999999994

44,10:45-11:00,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,100,26.99,0,23.02,23.02,5.76,17.27,0,4.86,6.71,26.99,0,0,351.59999999999997

45,11:00-11:15,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,96.67,26.99,0,23.02,23.02,5.76,17.27,0,4.86,6.71,26.99,0,0,348.27

46,11:15-11:30,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,96.67,26.99,0,23.02,23.02,5.76,17.27,0,4.86,6.71,26.99,0,0,348.27

47,11:30-11:45,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,96.67,26.99,0,23.02,23.02,5.76,17.27,0,4.86,6.71,26.99,0,0,348.27

48,11:45-12:00,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,96.67,26.99,0,23.02,23.02,5.76,17.27,0,4.86,6.71,26.99,0,0,348.27

49,12:00-12:15,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,96.67,26.99,0,23.02,23.02,5.76,17.27,0,4.78,6.71,26.99,0,0,348.18999999999994

50,12:15-12:30,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,96.67,26.99,0,23.02,23.02,5.76,17.27,0,4.78,6.71,26.99,0,0,348.18999999999994

51,12:30-12:45,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,96.67,26.99,0,23.02,23.02,5.76,17.27,0,4.78,6.71,26.99,0,0,348.18999999999994

52,12:45-13:00,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,96.67,26.99,0,23.02,23.02,5.76,17.27,0,4.78,6.71,26.99,0,0,348.18999999999994

53,13:00-13:15,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,98.33,26.99,0,23.02,23.02,5.76,17.27,0,4.78,6.71,26.99,0,0,349.8499999999999

54,13:15-13:30,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,98.33,26.99,0,23.02,23.02,5.76,17.27,0,4.78,6.71,26.99,0,0,349.8499999999999

55,13:30-13:45,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,98.33,26.99,0,23.02,23.02,5.76,17.27,0,4.78,6.71,26.99,0,0,349.8499999999999

56,13:45-14:00,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,98.33,26.99,0,23.02,23.02,5.76,17.27,0,4.78,6.71,26.99,0,0,349.8499999999999

57,14:00-14:15,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,98.33,26.99,0,23.02,23.02,5.76,17.27,0,4.68,6.71,26.99,0,0,349.74999999999994

58,14:15-14:30,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,98.33,26.99,0,23.02,23.02,5.76,17.27,0,4.68,6.71,26.99,0,0,349.74999999999994

59,14:30-14:45,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,98.33,26.99,0,23.02,23.02,5.76,17.27,0,4.68,6.71,26.99,0,0,349.74999999999994

60,14:45-15:00,0,14.39,0,0,0.91,38.37,40.29,0,0,0,23.02,98.33,26.99,0,23.02,23.02,5.76,17.27,0,4.68,6.71,26.99,0,0,349.74999999999994

61,15:00-15:15,0,14.39,0,0,0.67,38.37,40.29,0,0,0,23.02,90.88,26.99,0,23.02,23.02,5.76,17.27,0,4.68,6.71,26.99,0,0,342.05999999999995

62,15:15-15:30,0,14.39,0,0,0.67,38.37,40.29,0,0,0,23.02,88.47,26.99,0,23.02,23.02,5.76,17.27,0,4.68,6.71,26.99,0,0,339.65

63,15:30-15:45,0,7.77,0,0,0.67,38.37,40.29,0,0,0,23.02,82.62,26.99,0,23.02,23.02,5.76,17.27,0,4.68,6.71,26.99,0,0,327.18

64,15:45-16:00,0,7.87,0,0,0.67,38.37,40.29,0,0,0,23.02,77.05,26.99,0,23.02,23.02,5.76,17.27,0,4.68,6.71,26.99,0,0,321.71

65,16:00-16:15,0,7.96,0,0,0.53,38.37,40.29,0,0,0,23.02,71.18,26.99,0,23.02,23.02,5.76,17.27,0,4.68,6.71,26.99,0,0,315.79

66,16:15-16:30,0,7.39,0,0,0.53,38.37,40.29,0,0,0,23.02,64.22,26.99,0,23.02,23.02,5.76,17.27,0,4.68,6.71,26.99,0,0,308.26

67,16:30-16:45,0,5.76,0,0,0.53,38.37,40.29,0,0,0,23.02,57.32,26.99,0,23.02,23.02,5.76,17.27,0,4.68,6.71,26.99,0,0,299.73

68,16:45-17:00,0,7,0,0,0.53,38.37,40.29,0,0,0,23.02,49.81,26.99,0,23.02,23.02,5.76,17.27,0,4.68,6.71,26.99,0,0,293.46

69,17:00-17:15,0,0,0,0,0.53,0,40.29,0,0,0,23.02,41.71,26.99,100,23.02,23.02,5.76,17.27,0,4.78,6.71,26.99,0,0,340.09

70,17:15-17:30,0,0,0,0,0.53,0,40.29,0,0,0,23.02,33.64,26.99,100,23.02,23.02,5.76,17.27,0,4.78,6.71,26.99,0,0,332.0199999999999

71,17:30-17:45,0,0,0,0,0.53,0,40.29,0,0,0,23.02,23.84,25.87,100,23.02,23.02,5.76,17.27,0,4.78,6.71,32,0,0,326.10999999999996

72,17:45-18:00,0,0,0,0,0.53,0,40.29,0,0,0,23.02,15.07,25.87,100,23.02,23.02,5.76,17.27,0,4.78,6.71,32,0,0,317.34

73,18:00-18:15,0,0,0,0,0.53,0,40.29,33.57,0,100,23.02,7.54,32,100,23.02,23.02,5.76,17.27,0,4.86,6.71,32,0,0,449.5899999999999

74,18:15-18:30,0,0,0,0,0.53,0,40.29,33.57,0,100,23.02,0.19,32,100,23.02,23.02,5.76,17.27,0,4.86,6.71,32,0,0,442.23999999999995

75,18:30-18:45,0,0,0,0,0.53,0,40.29,33.57,0,100,23.02,0.19,32,100,23.02,23.02,5.76,17.27,0,4.86,6.71,32,50,0,492.23999999999995

76,18:45-19:00,0,0,0,0,0.53,0,40.29,33.57,0,100,23.02,0.19,32,100,23.02,23.02,5.76,17.27,0,4.86,6.71,32,50,0,492.23999999999995

77,19:00-19:15,0,0,0,0,0.62,0,40.29,33.57,0,100,23.02,0.19,32,100,23.02,23.02,5.76,17.27,0,5.05,6.71,32,50,0,492.5199999999999

78,19:15-19:30,0,0,0,0,0.62,0,40.29,33.57,0,100,23.02,0.19,32,100,23.02,23.02,5.76,17.27,0,5.05,6.71,32,50,0,492.5199999999999

79,19:30-19:45,0,0,0,0,0.62,0,40.29,33.57,0,100,23.02,0,32,100,23.02,23.02,5.76,17.27,0,5.05,6.71,32,50,0,492.3299999999999

80,19:45-20:00,0,0,0,0,0.62,0,40.29,33.57,0,100,23.02,0,32,100,23.02,23.02,5.76,17.27,0,5.05,6.71,32,50,0,492.3299999999999

81,20:00-20:15,47.96,0,0,0,0.62,0,40.29,33.57,0,100,23.02,0,32,100,23.02,23.02,5.76,17.27,0,5.14,6.71,32,50,0,540.3799999999999

82,20:15-20:30,47.96,0,0,0,0.62,0,40.29,33.57,0,100,23.02,0,32,100,23.02,23.02,5.76,17.27,0,5.14,6.71,32,50,0,540.3799999999999

83,20:30-20:45,47.96,0,0,0,0.62,0,40.29,33.57,0,100,23.02,0,26.99,100,23.02,23.02,5.76,17.27,0,5.14,6.71,26.99,50,0,530.3599999999999

84,20:45-21:00,47.96,0,0,0,0.62,0,40.29,33.57,0,100,23.02,0,26.99,100,23.02,23.02,5.76,17.27,0,5.14,6.71,26.99,50,0,530.3599999999999

85,21:00-21:15,47.96,0,0,0,0.62,0,40.29,33.57,0,100,23.02,0,26.99,100,23.02,23.02,5.76,17.27,0,5.24,6.71,26.99,50,0,530.4599999999999

86,21:15-21:30,47.96,0,0,0,0.62,0,40.29,33.57,0,100,23.02,0,26.99,100,23.02,23.02,5.76,17.27,0,5.24,6.71,26.99,50,0,530.4599999999999

87,21:30-21:45,47.96,0,0,0,0.62,0,40.29,33.57,0,100,23.02,0,26.99,100,23.02,23.02,5.76,17.27,0,5.24,6.71,26.99,50,0,530.4599999999999

88,21:45-22:00,47.96,0,0,0,0.62,0,40.29,33.57,0,100,23.02,0,26.99,100,23.02,23.02,5.76,17.27,0,5.24,6.71,26.99,50,0,530.4599999999999

89,22:00-22:15,47.96,0,23.98,23.98,0.53,0,40.29,33.57,0,100,23.02,0,26.99,100,23.02,23.02,5.76,17.27,55.49,5.24,6.71,26.99,50,166.48,800.3

90,22:15-22:30,47.96,0,23.98,23.98,0.53,0,40.29,33.57,0,100,23.02,0,26.99,100,23.02,23.02,5.76,17.27,55.49,5.24,6.71,26.99,50,166.48,800.3

91,22:30-22:45,47.96,0,23.98,23.98,0.53,0,40.29,33.57,0,100,23.02,0,26.99,100,23.02,23.02,5.76,17.27,55.49,5.24,6.71,26.99,50,166.48,800.3

92,22:45-23:00,47.96,0,23.98,23.98,0.53,0,40.29,33.57,0,100,23.02,0,26.99,100,23.02,23.02,5.76,17.27,55.49,5.24,6.71,26.99,50,166.48,800.3

93,23:00-23:15,47.96,0,23.98,23.98,0.48,0,40.29,33.57,0,100,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.24,6.71,26.99,50,166.48,700.25

94,23:15-23:30,47.96,0,23.98,23.98,0.48,0,40.29,33.57,0,100,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.24,6.71,26.99,50,166.48,700.25

95,23:30-23:45,47.96,0,23.98,23.98,0.48,0,40.29,33.57,0,100,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.24,6.71,26.99,50,166.48,700.25

96,23:45-24:00,47.96,0,23.98,23.98,0.48,0,40.29,33.57,0,100,23.02,0,26.99,0,23.02,23.02,5.76,17.27,55.49,5.24,6.71,26.99,50,166.48,700.25

