Time,Block,NR/2023/10236/A,NR/2023/11941/F,NR/2023/10229/A,NR/2023/12393/C,NR/2023/11963/F,NR/2023/11862/F,NR/2023/10434/A,NR/2023/10613/A,NR/2023/11952/F,NR/2023/12392/C,NR/2023/12395/C,NR/2023/11962/F,NR/2023/12400/C,NR/2023/12391/C,NR/2023/11476/A,NR/2023/11958/F,NR/2023/11643/A,NR/2023/11957/F,NR/2023/11960/F,NR/2023/11959/F,NR/2023/12373/D,NR/2023/12426/C,NR/2023/10344/A,NR/2023/12429/C,NR/2023/10611/A,NR/2023/10944/A,NR/2023/11961/F,NR/2023/12385/C,NR/2023/11642/A,NR/2023/11330/A,NR/2023/11947/F,NR/2023/11956/F,NR/2023/11342/A,NR/2023/10487/A,NR/2023/11955/F,NR/2023/12375/D,NR/2023/12378/D,NR/2023/12377/D,Total

3,00:30-00:45,213.720000,62.630000,42.740000,11.590000,0.460000,2.890000,24.090000,12.620000,36.350000,0.000000,82.860000,0.460000,28.900000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,29.550000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,958.74

4,00:45-01:00,213.720000,62.630000,42.740000,11.590000,0.460000,2.890000,24.090000,12.620000,36.350000,0.000000,51.070000,0.460000,28.900000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,29.550000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,926.95

5,01:00-01:15,213.720000,62.630000,42.740000,11.590000,0.460000,2.890000,24.090000,12.620000,36.350000,0.000000,21.200000,0.460000,28.900000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,29.550000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,897.08

6,01:15-01:30,213.720000,62.630000,42.740000,11.590000,0.460000,2.890000,24.090000,12.620000,36.350000,0.000000,0.000000,0.460000,20.230000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,29.550000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,867.21

7,01:30-01:45,213.720000,62.630000,42.740000,11.590000,0.460000,2.890000,24.090000,12.620000,36.350000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,29.550000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,846.98

8,01:45-02:00,213.720000,62.630000,42.740000,11.590000,0.460000,2.890000,24.090000,12.620000,36.350000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,29.550000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,846.98

9,02:00-02:15,213.720000,62.630000,42.740000,11.490000,0.460000,2.890000,24.090000,12.620000,36.350000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,29.550000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,846.88

10,02:15-02:30,213.720000,62.630000,42.740000,11.490000,0.460000,2.890000,24.090000,12.620000,36.350000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,29.550000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,846.88

11,02:30-02:45,213.720000,62.630000,42.740000,11.490000,0.460000,2.890000,24.090000,12.620000,36.350000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,29.550000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,846.88

12,02:45-03:00,213.720000,62.630000,42.740000,11.490000,0.460000,2.890000,24.090000,12.620000,36.350000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,29.550000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,846.88

13,03:00-03:15,213.720000,62.630000,42.740000,11.490000,0.460000,2.890000,24.090000,12.620000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,29.550000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,810.53

14,03:15-03:30,213.720000,62.630000,42.740000,11.490000,0.460000,2.890000,24.090000,12.620000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,29.550000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,810.53

15,03:30-03:45,213.720000,62.630000,42.740000,11.490000,0.460000,2.890000,24.090000,12.620000,0.000000,30.000000,0.000000,0.460000,0.000000,10.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,29.550000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,850.53

16,03:45-04:00,213.720000,62.630000,42.740000,11.490000,0.460000,2.890000,24.090000,12.620000,0.000000,30.000000,0.000000,0.460000,0.000000,10.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,29.550000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,850.53

17,04:00-04:15,213.720000,62.630000,42.740000,11.410000,0.460000,2.890000,24.090000,12.620000,0.000000,30.000000,0.000000,0.460000,0.000000,10.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,28.540000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,849.44

18,04:15-04:30,213.720000,62.630000,42.740000,11.410000,0.460000,2.890000,24.090000,12.620000,0.000000,30.000000,0.000000,0.460000,0.000000,10.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,28.540000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,849.44

19,04:30-04:45,213.720000,62.630000,42.740000,11.410000,0.460000,2.890000,24.090000,12.620000,0.000000,30.000000,0.000000,0.460000,0.000000,10.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,28.540000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,849.44

20,04:45-05:00,213.720000,62.630000,42.740000,11.410000,0.460000,2.890000,24.090000,12.620000,0.000000,30.000000,0.000000,0.460000,0.000000,10.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,28.540000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,849.44

21,05:00-05:15,213.720000,62.630000,42.740000,11.310000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,28.540000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,796.72

22,05:15-05:30,213.720000,62.630000,42.740000,11.310000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,28.540000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,796.72

23,05:30-05:45,213.720000,62.630000,42.740000,11.310000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,28.540000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,796.72

24,05:45-06:00,213.720000,62.630000,42.740000,11.310000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,28.540000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,796.72

25,06:00-06:15,213.720000,62.630000,42.740000,11.220000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,719.55

26,06:15-06:30,213.720000,62.630000,42.740000,11.220000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,0,1.5,3.5,724.55

27,06:30-06:45,213.720000,62.630000,42.740000,11.220000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,0,3,7,729.55

28,06:45-07:00,213.720000,62.630000,42.740000,11.220000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,0,6,14,739.55

29,07:00-07:15,213.720000,62.630000,42.740000,11.130000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,26.500000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,0,10.5,24.5,752.42

30,07:15-07:30,213.720000,62.630000,42.740000,11.130000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,26.500000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,0.1,15.6,36.4,769.52

31,07:30-07:45,213.720000,62.630000,42.740000,11.130000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,26.500000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,0.42,22.2,51.8,791.84

32,07:45:08:00,213.720000,62.630000,42.740000,11.130000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,26.500000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,0.86,28.5,66.5,813.28

33,08:00-08:15,213.720000,62.630000,42.740000,11.040000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,26.500000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,1.17,33.6,78.4,830.51

34,08:15-08:30,213.720000,62.630000,42.740000,11.040000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,26.500000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,1.64,40.2,93.8,852.98

35,08:30-08:45,213.720000,62.630000,42.740000,11.040000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,26.500000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,2.51,45.6,106.4,871.85

36,08:45:09:00,213.720000,62.630000,42.740000,11.040000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,26.500000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,2.99,50.4,117.6,888.33

37,09:00:09:15,213.720000,62.630000,42.740000,10.950000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,3.76,54.6,127.4,905.05

38,09:15-09:30,213.720000,62.630000,42.740000,10.950000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,4.53,62.4,145.6,931.82

39,09:30-09:45,213.720000,62.630000,42.740000,10.950000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,4.73,66.6,155.4,946.02

40,09:45-10:00,213.720000,62.630000,42.740000,10.950000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,5.21,71.4,166.6,962.5

41,10:00-10:15,213.720000,62.630000,42.740000,10.850000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,5.59,75,175,974.78

42,10:15-10:30,213.720000,62.630000,42.740000,10.850000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,5.69,77.4,180.6,982.88

43,10:30-10:45,213.720000,62.630000,42.740000,10.850000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,5.69,78,182,984.88

44,10:45-11:00,213.720000,62.630000,42.740000,10.850000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,6.17,78.9,184.1,988.36

45,11:00-11:15,213.720000,62.630000,42.740000,10.760000,0.460000,2.890000,24.090000,0.000000,0.000000,30.000000,0.000000,0.460000,0.000000,10.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,6.94,78.9,184.1,1029.04

46,11:15-11:30,213.720000,62.630000,42.740000,10.760000,0.460000,2.890000,24.090000,0.000000,0.000000,30.000000,0.000000,0.460000,0.000000,10.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,7.14,78.3,182.7,1027.24

47,11:30-11:45,213.720000,62.630000,42.740000,10.760000,0.460000,2.890000,24.090000,0.000000,0.000000,30.000000,0.000000,0.460000,0.000000,10.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,7.81,79.2,184.8,1030.91

48,11:45-12:00,213.720000,62.630000,42.740000,10.760000,0.460000,2.890000,24.090000,0.000000,0.000000,30.000000,0.000000,0.460000,0.000000,10.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,8.01,79.2,184.8,1031.11

49,12:00-12:15,213.720000,62.630000,42.740000,10.670000,0.460000,2.890000,24.090000,0.000000,0.000000,30.000000,0.000000,0.460000,0.000000,10.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,8.1,79.2,184.8,1031.11

50,12:15-12:30,213.720000,62.630000,42.740000,10.670000,0.460000,2.890000,24.090000,0.000000,0.000000,30.000000,0.000000,0.460000,0.000000,10.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,8.2,79.2,184.8,1031.21

51,12:30-12:45,213.720000,62.630000,42.740000,10.670000,0.460000,2.890000,24.090000,0.000000,0.000000,30.000000,0.000000,0.460000,0.000000,10.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,8.29,79.2,184.8,1031.3

52,12:45-13:00,213.720000,62.630000,42.740000,10.670000,0.460000,2.890000,24.090000,0.000000,0.000000,30.000000,0.000000,0.460000,0.000000,10.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,8.58,79.2,184.8,1031.59

53,13:00-13:15,213.720000,62.630000,42.740000,10.580000,0.460000,2.890000,24.090000,0.000000,0.000000,30.000000,0.000000,0.460000,0.000000,10.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,9.02,79.2,184.8,1031.94

54,13:15-13:30,213.720000,62.630000,42.740000,10.580000,0.460000,2.890000,24.090000,0.000000,0.000000,30.000000,0.000000,0.460000,0.000000,10.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,8.68,79.2,184.8,1031.6

55,13:30-13:45,213.720000,62.630000,42.740000,10.580000,0.460000,2.890000,24.090000,0.000000,0.000000,30.000000,0.000000,0.460000,0.000000,10.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,8.49,79.2,184.8,1031.41

56,13:45-14:00,213.720000,62.630000,42.740000,10.580000,0.460000,2.890000,24.090000,0.000000,0.000000,30.000000,0.000000,0.460000,0.000000,10.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,8.2,79.2,184.8,1031.12

57,14:00-14:15,213.720000,62.630000,42.740000,10.480000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,8.1,78.6,183.4,988.92

58,14:15-14:30,213.720000,62.630000,42.740000,10.480000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,8.05,78,182,986.87

