Block,Time Block,KKNPPU2,KOTESHWR,KOLDAM,DADRI_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,FSTPP I & II,JHAJJAR,AURY_LF,ANTA_RF,ANTA_LF,AURY_GF,ANTA_GF,AURY_CRF,DHAULIGNGA,DADRT2,DULHASTI,TelanganaSTPP,TANDA2,ANTA_CRF,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,TANAKPUR,TALST2,TALA,CHAMERA2,BRBCL,CHAMERA1,BSIUL,SINGRAULI_HYDRO,SASAN,SIMHST2,SIMHST1,SINGRAULI,RSTPSU1TO6,RIHAND2,RSTPSU7,SALAL,SEWA2,RIHAND3,KUDGI,MAPS,NLCIIST2,RIHAND1,NLCTS2EXP,RAMPUR,NNTPP,RAPPC,NTPL,PARBATI3,RAPPB,PARBATI2,KGSU1AND2,KGSU3AND4,KHSTPP-II,KKNP,KISHANGANGA,KHSTPP-I,NLCEXP,NJPC,NLCIIST1,NAPP,CHAMERA3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,0,10.02,0,0,0,0,0,0,14.55,481.74,0,0,0,0,0,0,0,658.83,38.13,0,5.26,0,42.33,32.95,0,20.82,0,2.13,38.14,26.34,1.97,0,0,31.27,13.01,30.39,18.83,0.88,389.81,0,0,138.22,0,119.86,0,68.22,18.17,125.85,0,0,0,93.54,0,0.97,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,24.77,0,49.66,22.43,0,0,0,0,0

7,01:30-01:45,0,10.02,0,0,0,0,0,0,14.55,406.16,0,0,0,0,0,0,0,655.94,38.13,0,5.26,0,37.19,32.95,0,17.56,0,2.13,38.14,22.92,1.97,0,0,31.27,11.79,27.05,18.83,0.88,389.81,0,0,138.22,0,119.86,0,68.22,18.17,125.85,0,0,0,93.54,0,0.97,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,24.77,0,49.66,22.43,0,0,0,0,0

8,01:45-02:00,0,10.02,0,0,0,0,0,0,14.55,358.03,0,0,0,0,0,0,0,658.83,38.13,0,5.26,0,42.33,32.95,0,20.82,0,2.13,38.14,26.34,1.97,0,0,31.27,12.63,13.52,18.83,0.88,389.81,0,0,138.22,0,119.86,0,68.22,18.17,125.85,0,0,0,93.54,0,0.97,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,24.77,0,49.66,22.43,0,0,0,0,0

9,02:00-02:15,0,10.02,0,0,0,0,0,0,14.55,271.41,0,0,0,0,0,0,0,658.83,38.13,0,5.26,0,42.33,32.95,0,20.82,0,2.13,38.14,26.34,0.49,0,0,31.27,12.5,0,18.83,0.88,389.81,0,0,138.22,0,119.86,0,68.22,18.17,125.85,0,0,0,93.54,0,0,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,0,0,49.66,22.43,0,0,0,0,0

10,02:15-02:30,0,10.02,0,0,0,0,0,0,14.55,261.78,0,0,0,0,0,0,0,658.83,38.13,0,5.26,0,42.33,32.95,0,20.82,0,2.13,38.14,26.34,0.49,0,0,31.27,10.87,0,18.83,0.88,389.81,0,0,138.22,0,119.86,0,68.22,18.17,125.85,0,0,0,93.54,0,0,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,0,0,49.66,22.43,0,0,0,0,0

11,02:30-02:45,0,10.02,0,0,0,0,0,0,14.55,330.61,0,0,0,0,0,0,0,588.86,38.13,0,5.26,0,42.33,32.95,0,20.82,0,2.13,38.14,26.34,0.49,0,0,31.27,12.22,0,18.83,0.88,389.81,0,0,138.22,0,119.86,0,68.22,18.17,125.85,0,0,0,93.54,0,0,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,0,0,49.66,22.43,0,0,0,0,0

12,02:45-03:00,0,10.02,0,0,0,0,0,0,14.55,369.11,0,0,0,0,0,0,0,588.41,38.13,0,5.26,0,42.33,32.95,0,20.82,0,2.13,38.14,26.34,0.49,0,0,31.27,13.26,0,18.83,0.88,389.81,0,0,138.22,0,119.86,0,68.22,18.17,125.85,0,0,0,93.54,0,0,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,0,0,49.66,22.43,0,0,0,0,0

13,03:00-03:15,0,10.02,0,0,0,0,0,0,14.55,369.11,0,0,0,0,0,0,0,527.91,38.13,0,5.26,0,42.33,32.95,0,20.82,0,2.13,36.62,26.34,1.48,0,0,31.27,13,0,18.83,0.88,389.81,0,0,138.22,0,119.86,0,49.21,18.17,125.85,0,0,0,93.54,0,0,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,0,0,49.66,22.43,0,0,0,0,0

14,03:15-03:30,0,10.02,0,0,0,0,0,0,14.55,369.11,0,0,0,0,0,0,0,460.54,38.13,0,5.26,0,42.33,32.95,0,20.82,0,2.13,36.62,26.34,1.48,0,0,31.27,15.19,0,18.83,0.88,389.81,0,0,138.22,0,119.86,0,49.21,18.17,125.85,0,0,0,93.54,0,0,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,0,0,49.66,22.43,0,0,0,0,0

15,03:30-03:45,0,10.02,0,0,0,0,0,0,14.55,369.11,0,0,0,0,0,0,0,434.7,38.13,0,5.26,0,42.33,32.95,0,20.82,0,2.13,36.62,26.34,1.48,0,0,31.27,14.73,0,18.83,0.88,389.81,0,0,138.22,0,119.86,0,49.21,18.17,125.85,0,0,0,93.54,0,0,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,0,0,49.66,22.43,0,0,0,0,0

16,03:45-04:00,0,10.02,0,0,0,0,0,0,14.55,369.11,0,0,0,0,0,0,0,434.7,38.13,0,5.26,0,42.33,32.95,12.49,20.82,0,2.13,36.62,26.34,1.48,0,0,31.27,16.46,0,18.83,0.88,389.81,0,0,138.22,0,119.86,0,49.21,18.17,125.85,0,0,0,93.54,0,0.93,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,23.69,0,49.66,22.43,0,0,0,0,0

17,04:00-04:15,0,10.02,0,0,0,0,0,0,14.55,339.76,0,0,0,0,0,0,0,434.7,38.13,0,5.26,0,42.33,32.95,12.49,20.82,0,2.13,36.62,26.34,1.48,0,0,31.27,16.38,0,18.83,0.88,394.47,0,0,143.67,0,119.86,0,49.21,18.17,125.85,0,0,0,93.54,0,0.93,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,23.69,0,49.66,22.43,0,0,0,0,0

18,04:15-04:30,0,10.02,0,0,0,0,0,0,14.55,339.76,0,0,0,0,0,0,0,434.7,38.13,0,5.26,0,42.33,32.95,24.99,20.82,0,2.13,36.62,26.34,1.48,0,0,31.27,19.25,0,18.83,0.88,395.22,0,0,144.62,0,119.86,0,49.21,18.17,125.85,0,0,0,93.54,0,0.93,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,23.69,0,49.66,22.43,0,0,0,0,0

19,04:30-04:45,0,10.02,0,0,0,0,0,0,14.55,339.84,0,0,0,0,0,0,0,434.7,38.13,0,5.26,0,42.33,32.95,24.99,20.82,0,2.13,36.62,26.34,1.48,0,0,31.27,19.25,0,18.83,0.88,395.22,0,0,144.62,0,119.86,0,49.21,18.17,125.85,0,0,0,93.54,0,0.93,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,23.69,0,49.66,22.43,0,0,0,0,0

20,04:45-05:00,0,10.02,0,0,0,0,0,0,14.55,339.84,0,0,0,0,0,0,0,434.7,38.13,0,5.26,0,42.33,32.95,24.99,20.82,0,2.13,36.62,26.34,1.48,0,0,31.27,19.25,0,18.83,0.88,395.22,0,0,144.62,0,119.86,0,49.21,18.17,125.85,0,0,0,93.54,0,1.05,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,26.59,0,49.66,22.43,0,0,0,0,0

21,05:00-05:15,0,10.02,0,0,0,0,0,0,14.55,417.91,0,0,0,0,0,0,10.52,475.13,38.13,0,5.26,0,37.03,32.95,24.99,17.56,0,2.13,36.62,22.7,1.48,0,0,31.27,19.25,0,18.83,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,2.1,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,53.19,0,49.66,22.43,0,0,0,0,0

22,05:15-05:30,0,10.02,0,0,0,0,0,0,14.55,463.87,0,0,0,0,0,0,21.04,502.08,38.13,0,5.26,0,42.33,32.95,24.99,20.82,0,2.13,36.62,26.34,1.48,0,0,31.27,19.25,0,18.83,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,2.1,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,53.19,0,49.66,22.43,0,0,0,0,0

23,05:30-05:45,0,10.02,0,0,0,0,0,0,14.55,463.87,0,0,0,0,0,0,21.04,526.14,38.13,0,5.26,0,42.33,32.95,24.99,20.82,0,2.13,36.62,26.34,1.48,0,0,31.27,19.25,0,18.83,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,2.1,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,53.19,0,49.66,22.43,0,0,0,0,0

24,05:45-06:00,0,10.02,0,0,0,0,0,0,14.55,463.87,0,0,0,0,0,0,21.04,574.27,38.13,0,5.26,0,42.33,32.95,24.99,20.82,0,2.13,36.62,26.34,1.48,0,0,31.27,19.25,0,18.83,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,2.1,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,53.19,0,49.66,22.43,0,0,0,0,0

25,06:00-06:15,0,10.02,0,0,0,0,0,0,14.55,463.87,0,0,0,0,0,0,21.04,598.33,38.13,0,5.26,0,42.33,38.26,24.99,20.82,0,2.13,36.62,26.34,1.48,0,0,31.27,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,2.1,0,66.66,0,4.13,0,3.61,0,0,141.09,0,8.13,43.6,0,53.19,0,49.66,22.43,0,0,0,0,0

26,06:15-06:30,0,10.02,0,0,0,0,0,0,14.55,463.87,0,0,0,0,0,0,21.04,658.87,38.13,0,5.26,0,42.33,38.26,24.99,20.82,0,2.13,36.62,26.34,1.48,0,0,31.27,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,2.1,0,66.66,0,4.43,0,11.53,0,0,141.09,0,8.13,43.6,0,53.19,0,49.66,22.43,0,0,0,0,0

27,06:30-06:45,0,10.02,0,0,0,0,0,0,14.55,463.87,0,0,0,0,0,0,21.04,658.87,57.2,0,5.26,0,42.33,38.26,24.99,20.82,0,2.13,36.62,26.34,1.48,0,0,31.27,19.25,0,18.83,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,2.1,0,66.66,0,4.43,0,11.53,0,0,141.09,0,8.13,43.6,0,53.19,0,49.66,22.43,0,0,0,0,0

28,06:45-07:00,0,10.02,0,0,0,0,0,0,14.55,463.87,0,0,0,0,0,0,10.52,658.83,57.2,0,5.26,0,42.33,38.26,24.99,20.82,0,2.13,36.62,26.34,1.48,0,0,31.27,19.25,0,18.83,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,90.44,0,2.1,0,66.66,0,16.23,0,11.53,0,0,141.09,0,8.13,43.6,0,53.19,0,49.66,22.43,0,0,0,0,0

29,07:00-07:15,0,10.02,0,0,0,0,0,0,14.55,463.87,0,0,0,0,0,0,10.52,598.33,57.2,0,5.26,0,42.33,32.95,24.99,20.82,0,2.13,36.62,26.34,1.48,0,0,31.27,19.25,0,18.83,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,2.1,0,66.66,0,16.23,0,11.53,0,0,141.09,0,8.13,43.6,0,53.19,0,49.66,22.43,0,0,0,0,0

30,07:15-07:30,0,10.02,0,0,0,0,0,0,14.55,552.66,0,0,0,0,0,0,10.52,547.32,57.2,0,5.26,0,37.03,32.95,24.99,17.56,0,2.13,36.62,22.7,1.48,0,0,31.27,19.25,0,18.83,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,2.1,0,66.66,0,16.23,0,11.53,0,0,141.09,0,8.13,43.6,0,53.19,0,49.66,33.67,0,0,0,0,0

31,07:30-07:45,0,10.02,0,0,0,0,0,0,14.55,459.68,0,0,0,0,0,0,10.52,499.19,57.2,0,5.26,0,37.03,32.95,24.99,17.56,0,2.13,36.62,22.7,1.48,0,0,31.27,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,2.1,0,66.66,0,16.23,0,11.53,0,0,141.09,0,8.13,43.6,0,53.19,0,49.66,33.67,0,0,0,0,0

32,07:45-08:00,0,10.02,0,0,0,0,0,0,14.55,359.09,0,0,0,0,0,0,10.52,361.4,57.2,0,5.26,0,28.28,32.95,12.49,13.72,0,2.13,36.62,17.57,1.48,0,0,31.27,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,2.1,0,66.66,0,16.23,0,11.53,0,0,141.09,0,8.13,43.6,0,53.19,0,49.66,33.67,0,0,0,0,0

33,08:00-08:15,0,10.02,0,0,0,0,0,0,11.5,359.09,0,0,0,0,0,0,10.52,361.4,38.13,0,3.94,0,23.21,33.48,12.49,11.86,0,1.19,36.62,14.65,1.48,0,0,31.27,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,2.1,0,66.66,0,16.23,0,11.53,0,0,122.04,0,8.13,37.32,0,53.19,0,49.66,33.67,0,0,0,0,0

34,08:15-08:30,0,10.02,0,0,0,0,0,0,10,359.09,0,0,0,0,0,0,10.52,361.4,38.13,0,3.94,0,23.21,38.26,0,11.86,0,1.19,36.62,14.65,1.48,0,0,31.27,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,2.1,0,66.66,0,16.23,0,11.53,0,0,94.01,0,8.13,24.56,0,53.19,0,49.66,11.21,0,0,0,0,0

35,08:30-08:45,0,10.02,0,0,0,0,0,0,10,359.09,0,0,0,0,0,0,10.52,361.4,38.13,0,3.94,0,23.21,32.95,0,11.86,0,1.19,36.62,14.65,1.48,0,0,15.64,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,51.45,18.17,125.85,0,0,0,93.54,0,2.1,0,66.66,0,16.23,0,11.53,0,0,94.01,0,8.13,24.56,0,53.19,0,49.66,0,0,0,0,0,0

36,08:45-09:00,0,10.02,0,0,0,0,0,0,10,359.09,0,0,0,0,0,0,10.52,361.4,38.13,0,3.94,0,23.21,32.95,0,11.86,0,1.19,36.62,14.65,1.48,0,0,15.64,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,51.45,18.17,125.85,0,0,0,93.54,0,2.1,0,66.66,0,16.23,0,11.53,0,0,94.01,0,8.13,24.56,0,53.19,0,49.66,0,0,0,0,0,0

37,09:00-09:15,0,10.02,0,0,0,0,0,0,9.86,359.09,0,0,0,0,0,0,10.52,284.4,38.13,0,3.94,0,23.21,32.95,0,11.86,0,1.19,36.62,14.65,1.48,0,0,15.64,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,51.45,18.17,125.85,0,0,0,93.54,0,2.1,0,66.66,0,16.23,0,11.53,0,0,94.01,0,8.13,28.62,0,53.19,0,49.66,0,0,0,0,0,0

38,09:15-09:30,0,10.02,0,0,0,0,0,0,9.86,359.09,0,0,0,0,0,0,10.52,284.4,38.13,0,3.94,0,23.21,32.95,0,11.86,0,1.19,36.62,14.65,1.48,0,0,15.64,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,51.45,18.17,125.85,0,0,0,93.54,0,2.1,0,66.66,0,16.23,0,11.53,0,0,94.01,0,8.13,28.62,0,53.19,0,49.66,0,0,0,0,0,0

39,09:30-09:45,0,10.02,0,0,0,0,0,0,10,359.09,0,0,0,0,0,0,0,284.4,38.13,0,3.94,0,23.21,32.95,0,11.86,0,1.19,36.62,17.27,1.48,0,0,15.64,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,51.45,18.17,125.85,0,0,0,93.54,0,2.1,0,66.66,0,16.23,0,14.42,0,0,94.01,0,8.13,28.62,0,53.19,0,49.66,0,0,0,0,0,0

40,09:45-10:00,0,10.02,0,0,0,0,0,0,10,359.09,0,0,0,0,0,0,0,284.4,38.13,0,3.94,0,23.21,32.95,0,11.86,0,1.19,36.62,17.27,1.48,0,0,15.64,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,51.45,18.17,125.85,0,0,0,93.54,0,1.05,0,66.66,0,16.23,0,14.42,0,0,94.01,0,8.13,28.62,0,26.59,0,49.66,0,0,0,0,0,0

41,10:00-10:15,0,10.02,0,0,0,0,0,0,11.91,359.09,0,0,0,0,0,0,0,291.14,38.13,0,5.26,0,26.57,32.95,0,12.7,0,2.13,36.62,17.27,1.48,0,0,15.64,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,51.45,18.17,125.85,0,0,0,93.54,0,1.05,0,66.51,0,16.23,0,14.42,0,0,125.73,0,8.13,38.68,0,26.59,0,49.66,0,0,0,0,0,0

42,10:15-10:30,0,10.02,0,0,0,0,0,0,11.91,359.09,0,0,0,0,0,0,0,291.14,38.13,0,5.26,0,26.57,32.95,0,12.7,0,2.13,36.62,17.27,1.48,0,0,0,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,51.45,18.17,125.85,0,0,0,93.54,0,1.05,0,66.51,0,16.23,0,14.42,0,0,125.73,0,8.13,38.68,0,26.59,0,49.66,0,0,0,0,0,0

43,10:30-10:45,0,10.02,0,0,0,0,0,0,11.91,359.09,0,0,0,0,0,0,10.52,291.14,38.13,0,5.26,0,26.57,38.26,0,12.97,0,2.13,33.97,17.27,1.48,0,0,0,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,51.45,18.17,125.85,0,0,0,93.54,0,1.05,0,66.51,0,16.23,0,14.42,0,0,125.73,0,8.13,38.68,0,26.59,0,49.66,0,0,0,0,0,0

44,10:45-11:00,0,10.02,0,0,0,0,0,0,11.91,359.09,0,0,0,0,0,0,10.52,291.14,38.13,0,5.26,0,26.57,38.26,0,12.97,0,2.13,33.97,17.27,1.48,0,0,0,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,51.45,18.17,125.85,0,0,0,93.54,0,1.05,0,66.51,0,16.23,0,14.42,0,0,125.73,0,8.13,38.68,0,26.59,0,49.66,0,0,0,0,0,0

45,11:00-11:15,0,10.02,0,0,0,0,0,0,11.91,359.09,0,0,0,0,0,0,10.52,291.14,38.13,0,5.26,0,26.57,38.26,0,12.97,0,2.13,33.97,17.27,1.48,0,0,0,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,51.45,18.17,125.85,0,0,0,93.54,0,1.05,0,66.51,0,16.23,0,14.42,0,0,125.73,0,8.13,38.68,0,26.59,0,49.66,0,0,0,0,0,0

46,11:15-11:30,0,10.02,0,0,0,0,0,0,11.91,359.09,0,0,0,0,0,0,10.52,291.14,38.13,0,5.26,0,26.57,33.48,0,12.97,0,2.13,33.97,17.27,1.48,0,0,0,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,51.45,18.17,125.85,0,0,0,93.54,0,1.05,0,66.51,0,16.23,0,14.42,0,0,125.73,0,8.13,38.68,0,26.59,0,49.66,0,0,0,0,0,0

47,11:30-11:45,0,10.02,0,0,0,0,0,0,11.91,359.09,0,0,0,0,0,0,10.52,291.14,38.13,0,5.26,0,26.57,33.48,0,12.97,0,2.13,36.62,17.27,1.48,0,0,0,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,1.05,0,66.51,0,16.23,0,14.42,0,0,125.73,0,8.13,38.68,0,26.59,0,49.66,0,0,0,0,0,0

48,11:45-12:00,0,10.02,0,0,0,0,0,0,11.91,359.09,0,0,0,0,0,0,10.52,291.14,38.13,0,5.26,0,26.57,33.48,0,12.97,0,2.13,36.62,17.27,1.48,0,0,0,19.25,0,12.55,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,1.05,0,66.51,0,16.23,0,14.42,0,0,125.73,0,8.13,38.68,0,26.59,0,49.66,0,0,0,0,0,0

49,12:00-12:15,0,10.02,0,0,0,0,0,0,10,359.09,0,0,0,0,0,0,10.52,291.14,38.13,0,3.94,0,26.57,33.48,0,12.97,0,1.33,36.62,17.27,1.48,0,0,0,19.25,0,18.83,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,1.05,0,66.51,0,16.23,0,14.42,0,0,97.69,0,8.13,33.66,0,26.59,0,49.66,0,0,0,0,0,0

50,12:15-12:30,0,10.02,0,0,0,0,0,0,10,359.09,0,0,0,0,0,0,10.52,291.14,38.13,0,3.94,0,26.57,33.48,0,12.97,0,1.33,36.62,17.27,1.48,0,0,0,19.25,0,18.83,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,1.05,0,66.51,0,16.23,0,14.42,0,0,97.69,0,8.13,29.97,0,26.59,0,49.66,0,0,0,0,0,0

51,12:30-12:45,0,10.02,0,0,0,0,0,0,11.91,359.09,0,0,0,0,0,0,12.17,291.14,38.13,0,5.26,0,26.57,33.48,0,12.97,0,2.13,36.62,17.27,1.48,0,0,0,19.25,0,18.83,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,1.05,0,66.51,0,16.23,0,14.42,0,0,125.73,0,8.24,38.68,0,26.59,0,49.66,0,0,0,0,0,0

52,12:45-13:00,0,10.02,0,0,0,0,0,0,11.91,359.09,0,0,0,0,0,0,12.17,291.14,38.13,0,5.26,0,26.57,33.48,0,12.97,0,2.13,36.62,17.27,1.48,0,0,0,19.25,0,18.83,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,1.05,0,66.51,0,16.23,0,14.42,0,0,125.73,0,8.24,38.68,0,26.59,0,49.66,0,0,0,0,0,0

53,13:00-13:15,0,10.02,0,0,0,0,0,0,11.91,359.09,0,0,0,0,0,0,12.17,291.14,38.13,0,5.26,0,26.57,33.48,0,12.97,0,2.13,36.62,17.27,1.48,0,0,0,19.25,0,18.83,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,1.05,0,66.51,0,16.23,0,14.42,0,0,119.5,0,8.24,37.94,0,26.59,0,49.66,0,0,0,0,0,0

54,13:15-13:30,0,10.02,0,0,0,0,0,0,11.91,359.09,0,0,0,0,0,0,12.17,291.14,38.13,0,5.26,0,26.57,33.48,0,12.97,0,2.13,36.62,17.27,1.48,0,0,0,19.25,0,18.83,0.88,395.22,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,1.05,0,66.51,0,16.23,0,14.42,0,0,119.5,0,8.24,37.94,0,26.59,0,49.66,0,0,0,0,0,0

55,13:30-13:45,0,10.02,0,0,0,0,0,0,11.91,359.09,0,0,0,0,0,0,12.17,291.14,38.13,0,5.26,0,26.57,33.48,0,12.97,0,2.13,36.62,17.27,1.48,0,0,0,19.25,0,18.83,0.88,400.55,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,1.05,0,66.51,0,16.23,0,13.71,0,0,119.5,0,8.24,37.94,0,26.59,0,49.66,0,0,0,0,0,0

56,13:45-14:00,0,10.02,0,0,0,0,0,0,11.91,359.09,0,0,0,0,0,0,12.17,291.14,38.13,0,5.26,0,26.57,33.48,0,12.97,0,2.13,36.62,17.27,1.48,0,0,0,19.25,0,18.83,0.88,400.64,0,0,144.62,0,119.86,0,38.59,18.17,125.85,0,0,0,93.54,0,1.05,0,66.51,0,16.23,0,13.71,0,0,119.5,0,8.24,37.94,0,26.59,0,49.66,0,0,0,0,0,0

