Column1,Block,NR/2024/22898/A/35646,NR/2024/22899/A/35644,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/8090,NR/30092023/31122025/SH-07,NR/2024/22839/A/35854,NR/2024/22753/A/35811,NR/2024/22754/A/35812,NR/2024/22872/A/35619,NR/2024/21658/A/35610,NR/2024/22874/A/35859,NR/2024/22734/A/35824,NR/2024/22802/A/35858,NR/2024/22987/C,NR/2024/22832/A/35857,NR/2024/22984/C,NR/2024/22833/A/35856,NR/2024/22979/C,NR/2024/22837/A/35855,NR/2024/22888/A/35826,NR/2024/22985/C,NR/2024/22816/A/35549,NR/2024/22848/A/35834,NR/2024/22860/A/35832,NR/2024/22835/A/35893,NR/2024/22820/A/35540,GNA/NR/2024/09/01/7196,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/05/5848,GNA/NR/2024/09/01/6020,NR/2024/22983/C,Total
9,02:00-02:15,0,0,14.6,12.47,26.8708,12.47,179.67,59.89,8.71,0.68,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,13.55,90.98,4.84,48.4,26.8708,48.4,62.08,32.91,2.42,21.78,24.2,24.74,0,96.79,0,1657.6415999999997

10,02:15-02:30,0,0,14.6,12.47,26.8708,12.47,179.67,59.89,8.71,0.68,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,13.55,90.98,4.84,48.4,26.8708,48.4,62.08,32.91,2.42,21.78,24.2,24.74,0,96.79,0,1657.6415999999997

11,02:30-02:45,0,0,14.6,12.47,26.8708,12.47,179.67,59.89,8.71,0.68,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,13.55,90.98,4.84,48.4,26.8708,48.4,62.08,32.91,2.42,21.78,24.2,24.74,0,96.79,0,1657.6415999999997

12,02:45-03:00,0,0,14.6,12.47,26.8708,12.47,179.67,59.89,8.71,0.68,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,13.55,90.98,4.84,48.4,26.8708,48.4,62.08,32.91,2.42,21.78,24.2,24.74,0,96.79,0,1657.6415999999997

13,03:00-03:15,0,0,14.6,12.47,26.8708,12.47,179.67,59.89,8.71,0.63,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0,1611.1316

14,03:15-03:30,0,0,14.6,12.47,26.8708,12.47,179.67,59.89,8.71,0.63,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0,1611.1316

15,03:30-03:45,0,0,14.6,12.47,26.8708,12.47,179.67,59.89,8.71,0.63,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0,1611.1316

16,03:45-04:00,0,0,14.6,12.47,26.8708,12.47,179.67,59.89,8.71,0.63,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0,1611.1316

17,04:00-04:15,0,0,12.75,12.47,26.8708,12.47,179.67,59.89,8.71,0.58,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0,1609.2315999999998

18,04:15-04:30,0,0,12.75,12.47,26.8708,12.47,179.67,59.89,8.71,0.58,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0,1609.2315999999998

19,04:30-04:45,0,0,12.75,12.47,26.8708,12.47,179.67,59.89,8.71,0.58,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0,1609.2315999999998

20,04:45-05:00,0,0,12.75,12.47,26.8708,12.47,179.67,59.89,8.71,0.58,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0,1609.2315999999998

21,05:00-05:15,0,0,12.75,12.47,26.8708,12.47,179.67,59.89,8.71,0.58,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.17,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0,1566.6516

22,05:15-05:30,0,0,12.75,12.47,26.8708,12.47,179.67,59.89,8.71,0.58,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.17,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0,1566.6516

23,05:30-05:45,0,0,12.75,12.47,26.8708,12.47,179.67,59.89,8.71,0.58,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.17,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0,1566.6516

24,05:45-06:00,0,0,12.75,12.47,26.8708,12.47,179.67,59.89,7.74,0.58,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.17,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0,1565.6816000000001

25,06:00-06:15,0,0,13.68,12.47,26.8708,12.47,0,0,7.74,0.68,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.17,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0,1327.1516000000001

26,06:15-06:30,0,0,13.68,12.47,26.8708,12.47,0,0,7.74,0.68,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.17,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0,1327.1516000000001

27,06:30-06:45,0,0,13.68,12.47,26.8708,12.47,0,0,7.74,0.68,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.17,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0,1327.1516000000001

28,06:45-07:00,0,0,13.68,12.47,26.8708,12.47,0,0,7.74,0.68,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.17,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0.21,1327.3616000000002

29,07:00-07:15,0,0,13.68,12.47,26.8708,12.47,0,0,7.74,0.68,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.17,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0.75,1327.9016000000001

30,07:15-07:30,0,0,13.68,12.47,26.8708,12.47,0,0,7.74,0.68,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.17,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0.93,1328.0816000000002

31,07:30-07:45,0,0,13.68,12.47,26.8708,12.47,0,0,7.74,0.68,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.17,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,1.34,1328.4916

32,07:45-08:00,0,0,13.68,12.47,26.8708,12.47,0,0,7.74,0.68,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.17,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,1.79,1328.9416

33,08:00-08:15,0,0,13.68,12.47,26.8708,12.47,0,0,8.71,0.97,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.17,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,2.26,1330.6716000000001

34,08:15-08:30,0,0,13.68,12.47,26.8708,12.47,0,0,8.71,0.97,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.17,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,2.1,1330.5116

35,08:30-08:45,0,0,13.68,12.47,26.8708,12.47,0,0,8.71,0.97,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,2.39,1330.7816000000003

36,08:45-09:00,0,0,13.68,12.47,26.8708,12.47,0,0,9.68,0.97,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,2.25,1331.6116000000002

37,09:00-09:15,42.59,10.65,15.06,12.47,26.8708,12.47,0,0,9.68,0.97,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,2.38,1386.3616000000002

38,09:15-09:30,42.59,10.65,15.06,12.47,26.8708,12.47,0,0,11.61,0.97,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,3.17,1389.0816

39,09:30-09:45,42.59,10.65,15.06,12.47,26.8708,12.47,0,0,11.61,0.97,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,3.35,1389.2615999999998

40,09:45-10:00,42.59,10.65,15.06,12.47,26.8708,12.47,0,0,11.61,0.97,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,0,84.38,0,90.98,4.84,48.4,26.8708,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,4.25,1390.1616

41,10:00-10:15,42.59,10.65,15.06,12.47,26.8708,12.47,0,0,11.61,0.97,48.4,96.79,62.03,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,48.4,84.38,0,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,4.02,1389.8816

42,10:15-10:30,42.59,10.65,15.06,12.47,26.8708,12.47,0,0,12.58,0.97,48.4,96.79,62.03,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,48.4,84.38,0,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,5.29,1392.1216

43,10:30-10:45,42.59,10.65,15.06,12.47,26.8708,12.47,0,0,12.58,0.97,48.4,96.79,62.03,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,48.4,84.38,0,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,5.21,1392.0416

44,10:45-11:00,42.59,10.65,15.06,12.47,26.8708,12.47,0,0,12.58,0.97,48.4,96.79,62.03,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,48.4,84.38,0,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,5.04,1391.8716

45,11:00-11:15,42.59,10.65,15.06,12.47,26.8708,12.47,0,0,12.58,0.97,48.4,96.79,62.03,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,48.4,84.38,0,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,4.63,1391.4616

46,11:15-11:30,42.59,10.65,15.06,12.47,26.8708,12.47,0,0,12.58,0.97,48.4,96.79,62.03,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,48.4,84.38,0,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,4.55,1391.3816

47,11:30-11:45,42.59,10.65,15.06,12.47,26.8708,12.47,0,0,12.58,0.97,48.4,96.79,62.03,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,48.4,84.38,0,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,4.28,1391.1116

48,11:45-12:00,42.59,10.65,15.06,12.47,26.8708,12.47,0,0,12.58,0.97,48.4,96.79,62.03,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,48.4,84.38,0,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,5.7,1392.5316

49,12:00-12:15,42.59,10.65,15.06,4.84,26.8708,12.47,0,0,12.58,0.97,48.4,96.79,62.03,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,48.4,84.38,0,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,6.85,1386.0516

50,12:15-12:30,42.59,10.65,15.06,4.84,26.8708,12.47,0,0,12.58,0.97,48.4,96.79,62.03,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,48.4,84.38,0,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,7.66,1386.8616000000002

51,12:30-12:45,42.59,10.65,15.06,4.84,26.8708,12.47,0,0,12.58,0.97,48.4,96.79,62.03,0,37.39,109.86,37.39,241.98,37.39,25.15,28.07,48.4,84.38,0,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,7.25,1331.5316

52,12:45-13:00,42.59,10.65,15.06,4.84,26.8708,12.47,0,0,12.58,0.97,48.4,96.79,62.03,0,37.39,109.86,37.39,241.98,37.39,25.15,28.07,48.4,84.38,0,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,4.9,1329.1816000000001

53,13:00-13:15,42.59,10.65,15.06,4.84,26.8708,12.47,0,0,12.58,0.97,48.4,96.79,62.03,0,37.39,109.86,37.39,241.98,37.39,25.15,28.07,48.4,84.38,0,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,4.23,1328.5116

54,13:15-13:30,42.59,10.65,15.06,4.84,26.8708,12.47,0,0,12.58,0.97,48.4,96.79,62.03,0,37.39,109.86,37.39,241.98,37.39,25.15,28.07,48.4,84.38,0,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,3.74,1328.0216

55,13:30-13:45,42.59,10.65,15.06,4.84,26.8708,12.47,0,0,12.58,0.97,48.4,96.79,62.03,0,37.39,109.86,37.39,241.98,37.39,25.15,28.07,48.4,84.38,0,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,3.66,1327.9416

56,13:45-14:00,42.59,10.65,15.06,4.84,26.8708,12.47,0,0,12.58,0.97,48.4,96.79,62.03,0,37.39,109.86,37.39,241.98,37.39,25.15,28.07,48.4,84.38,0,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,5.01,1329.2916

57,14:00-14:15,42.59,10.65,15.06,4.84,26.8708,12.47,0,0,12.58,0.97,48.4,96.79,62.03,0,37.39,109.86,37.39,241.98,37.39,25.15,28.07,48.4,84.38,13.55,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,3.65,1341.4816

58,14:15-14:30,42.59,10.65,15.06,4.84,26.8708,12.47,0,0,12.58,0.97,48.4,96.79,62.03,0,37.39,109.86,37.39,241.98,37.39,25.15,28.07,48.4,84.38,13.55,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,2.75,1340.5816

59,14:30-14:45,42.59,10.65,15.06,4.84,26.8708,12.47,0,0,12.58,0.97,48.4,96.79,62.03,0,37.39,109.86,37.39,241.98,37.39,25.15,28.07,48.4,84.38,13.55,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,3.84,1341.6716

60,14:45-15:00,42.59,10.65,15.06,4.84,26.8708,12.47,0,0,12.58,0.97,48.4,96.79,62.03,0,37.39,109.86,37.39,241.98,37.39,25.15,28.07,48.4,84.38,13.55,90.98,4.84,48.4,26.8708,0,0,0,2.42,21.78,24.2,24.74,0,96.79,4.66,1342.4916

61,15:00-15:15,23.62,10.65,15.06,4.84,26.9071,12.47,0,0,12.58,0.97,48.4,96.79,62.03,18.97,37.39,109.86,37.39,241.98,37.39,25.15,28.07,48.4,84.38,13.55,90.98,4.84,48.4,26.9071,0,0,0,2.42,21.78,24.2,24.74,0,96.79,2.92,1340.8242

62,15:15-15:30,26.81,10.65,15.06,4.84,26.9071,12.47,0,0,12.58,0.97,48.4,96.79,62.03,15.78,37.39,109.86,37.39,241.98,37.39,25.15,28.07,48.4,84.38,13.55,90.98,4.84,48.4,26.9071,0,0,0,2.42,21.78,24.2,24.74,0,96.79,2.74,1340.6442

63,15:30-15:45,29.71,10.65,15.06,4.84,26.9071,12.47,0,0,12.58,0.97,48.4,96.79,62.03,12.87,37.39,164.78,37.39,241.98,37.39,25.15,28.07,48.4,84.38,13.55,90.98,4.84,48.4,26.9071,0,0,0,2.42,21.78,24.2,24.74,0,96.79,1.78,1394.5942

64,15:45-16:00,33.49,10.65,15.06,4.84,26.9071,12.47,0,0,12.58,0.97,48.4,96.79,62.03,9.1,37.39,164.78,37.39,241.98,37.39,25.15,28.07,48.4,84.38,13.55,90.98,4.84,48.4,26.9071,0,0,0,2.42,21.78,24.2,24.74,0,96.79,1.84,1394.6641999999997

65,16:00-16:15,37.26,10.65,15.06,4.84,26.9071,12.47,0,0,12.58,0.87,48.4,96.79,62.03,5.32,37.39,164.78,37.39,241.98,37.39,25.15,28.07,48.4,84.38,13.55,90.98,4.84,48.4,26.9071,0,0,0,2.42,21.78,24.2,24.74,0,96.79,1.78,1394.4942

66,16:15-16:30,33.88,10.65,15.06,4.84,26.9071,12.47,0,0,12.58,0.87,48.4,96.79,62.03,8.71,37.39,164.78,37.39,241.98,37.39,25.15,28.07,48.4,84.38,13.55,90.98,4.84,48.4,26.9071,0,0,0,2.42,21.78,24.2,24.74,0,96.79,2.36,1395.0841999999998

67,16:30-16:45,28.65,10.65,15.06,12.47,26.9071,12.47,0,0,12.58,0.87,48.4,96.79,62.03,13.94,37.39,164.78,37.39,241.98,37.39,25.15,28.07,48.4,84.38,13.55,90.98,4.84,48.4,26.9071,0,0,0,2.42,21.78,24.2,24.74,0,96.79,2.91,1403.2642

68,16:45-17:00,22.75,10.65,15.06,12.47,26.9071,12.47,0,0,12.58,0.87,48.4,96.79,62.03,15.78,37.39,164.78,37.39,241.98,37.39,25.15,28.07,48.4,84.38,13.55,90.98,4.84,48.4,26.9071,0,0,0,2.42,21.78,24.2,24.74,0,96.79,2,1398.2941999999998

69,17:00-17:15,0,0,11.36,12.47,26.9071,12.47,0,0,12.58,0.82,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,0,84.38,13.55,90.98,4.84,48.4,26.9071,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,2.88,1346.2942

70,17:15-17:30,0,0,11.36,12.47,26.9071,12.47,0,0,12.58,0.82,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,0,84.38,13.55,90.98,4.84,48.4,26.9071,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0.86,1344.2741999999998

71,17:30-17:45,0,0,11.36,12.47,26.9071,12.47,0,0,12.58,0.82,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,0,84.38,13.55,90.98,4.84,48.4,26.9071,48.4,62.08,0,2.42,21.78,24.2,24.74,0,96.79,0.53,1343.9442

72,17:45-18:00,0,0,11.36,12.47,26.9071,12.47,0,0,12.58,0.82,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,0,84.38,13.55,90.98,4.84,48.4,26.9071,48.4,96.79,0,2.42,21.78,24.2,24.74,0,96.79,0.46,1378.5842

