Time,Block,NR/2023/16185/A,NR/2023/13150/A,NR/2023/13908/A,NR/2023/13242/A,NR/2023/15770/A,NR/2023/13148/A,NR/2023/16520/F,NR/2023/13383/A,NR/2023/16827/C,NR/2023/13376/A,NR/2023/13385/A,NR/2023/16837/C,NR/2023/13519/A,NR/2023/16830/C,NR/2023/13165/A,NR/2023/16191/A,NR/2023/13253/A,NR/2023/16437/F,NR/2023/16291/F,NR/2023/16815/D,NR/2023/13387/A,NR/2023/13254/A,NR/2023/16724/F,NR/2023/16291/F/II,NR/2023/16798/D,NR/2023/13636/A,NR/2023/16077/A,NR/2023/16829/C,NR/2023/16803/D,NR/2023/16819/D,NR/2023/16073/A,ER/2023/10652/C,NR/2023/16828/C,NR/2023/16814/D,ER/2023/10639/C,WR/2023/18895/C,Total

3,00:30-00:45,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,0.000000,46.110000,0.000000,20.300000,30.620000,9.780000,58.430000,48.340000,22.230000,142.100000,48.340000,193.340000,0.060000,0.000000,100.050000,19.610000,0.000000,0.810000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,0.000000,0,0,0.000000,1.500000,1422.28

4,00:45-01:00,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,0.000000,46.110000,0.000000,20.300000,30.620000,9.780000,58.430000,48.340000,22.230000,142.100000,48.340000,193.340000,0.060000,0.000000,100.050000,19.610000,0.000000,0.810000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,0.000000,0,0,0.000000,1.500000,1422.28

5,01:00-01:15,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,0.000000,46.110000,0.000000,20.300000,30.620000,9.690000,58.430000,0.000000,22.230000,142.100000,48.340000,193.340000,0.160000,0.000000,100.050000,19.610000,0.000000,0.460000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1409.6

6,01:15-01:30,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,0.000000,46.110000,0.000000,20.300000,30.620000,9.690000,58.430000,0.000000,22.230000,142.100000,48.340000,193.340000,0.160000,0.000000,100.050000,19.610000,0.000000,0.460000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1409.6

7,01:30-01:45,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,0.000000,46.110000,0.000000,20.300000,30.620000,9.690000,58.430000,0.000000,22.230000,142.100000,48.340000,193.340000,0.160000,0.000000,100.050000,19.610000,0.000000,0.460000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1409.6

8,01:45-02:00,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,0.000000,46.110000,0.000000,20.300000,30.620000,9.690000,58.430000,0.000000,22.230000,142.100000,48.340000,193.340000,0.160000,0.000000,100.050000,19.610000,0.000000,0.460000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1409.6

9,02:00-02:15,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,0.000000,46.110000,0.000000,20.300000,30.620000,9.600000,58.430000,0.000000,22.230000,142.100000,48.340000,193.340000,0.000000,0.000000,100.050000,19.610000,0.000000,0.630000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1409.52

10,02:15-02:30,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,0.000000,46.110000,0.000000,20.300000,30.620000,9.600000,58.430000,0.000000,22.230000,142.100000,48.340000,193.340000,0.000000,0.000000,100.050000,19.610000,0.000000,0.630000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1409.52

11,02:30-02:45,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,0.000000,46.110000,0.000000,20.300000,30.620000,9.600000,58.430000,0.000000,22.230000,142.100000,48.340000,193.340000,0.000000,0.000000,100.050000,19.610000,0.000000,0.630000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1409.52

12,02:45-03:00,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,0.000000,46.110000,0.000000,20.300000,30.620000,9.600000,58.430000,0.000000,22.230000,142.100000,48.340000,193.340000,0.000000,0.000000,100.050000,19.610000,0.000000,0.630000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1409.52

13,03:00-03:15,77.340000,63.030000,175.050000,29.580000,62.840000,0.000000,0.000000,46.110000,0.000000,20.300000,30.620000,9.500000,0.000000,0.000000,22.230000,142.100000,48.340000,193.340000,0.000000,0.000000,100.050000,19.610000,193.340000,0.630000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1507.86

14,03:15-03:30,77.340000,63.030000,175.050000,29.580000,62.840000,0.000000,0.000000,46.110000,0.000000,20.300000,30.620000,9.500000,0.000000,0.000000,22.230000,142.100000,48.340000,193.340000,0.000000,0.000000,100.050000,19.610000,193.340000,0.630000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1507.86

15,03:30-03:45,77.340000,63.030000,175.050000,29.580000,62.840000,0.000000,0.000000,46.110000,0.000000,20.300000,30.620000,9.500000,0.000000,0.000000,22.230000,142.100000,48.340000,193.340000,0.000000,0.000000,100.050000,19.610000,193.340000,0.630000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1507.86

16,03:45-04:00,77.340000,63.030000,175.050000,29.580000,62.840000,0.000000,0.000000,46.110000,0.000000,20.300000,30.620000,9.500000,0.000000,0.000000,22.230000,142.100000,48.340000,193.340000,0.000000,0.000000,100.050000,19.610000,193.340000,0.630000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1507.86

17,04:00-04:15,77.340000,63.030000,175.050000,29.580000,62.840000,0.000000,0.000000,46.110000,0.000000,20.300000,30.620000,9.420000,0.000000,0.000000,22.230000,142.100000,48.340000,193.340000,0.000000,0.000000,100.050000,19.610000,193.340000,0.580000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1507.73

18,04:15-04:30,77.340000,63.030000,175.050000,29.580000,62.840000,0.000000,0.000000,46.110000,0.000000,20.300000,30.620000,9.420000,0.000000,0.000000,22.230000,142.100000,48.340000,193.340000,0.000000,0.000000,100.050000,19.610000,193.340000,0.580000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1507.73

19,04:30-04:45,77.340000,63.030000,175.050000,29.580000,62.840000,0.000000,0.000000,46.110000,0.000000,20.300000,30.620000,9.420000,0.000000,0.000000,22.230000,142.100000,48.340000,193.340000,0.000000,0.000000,100.050000,19.610000,193.340000,0.580000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1507.73

20,04:45-05:00,77.340000,63.030000,175.050000,29.580000,62.840000,0.000000,0.000000,46.110000,0.000000,20.300000,30.620000,9.420000,0.000000,0.000000,22.230000,142.100000,48.340000,193.340000,0.000000,0.000000,100.050000,19.610000,193.340000,0.580000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1507.73

21,05:00-05:15,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,46.110000,0.000000,20.300000,30.620000,9.320000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.580000,4.830000,18.630000,107.590000,6.050000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1421.3

22,05:15-05:30,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,46.110000,0.000000,20.300000,30.620000,9.320000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.580000,4.830000,18.630000,107.590000,6.050000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1421.3

23,05:30-05:45,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,46.110000,0.000000,20.300000,30.620000,9.320000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.580000,4.830000,18.630000,107.590000,6.050000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1421.3

24,05:45-06:00,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,46.110000,0.000000,20.300000,30.620000,9.320000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.580000,4.830000,18.630000,107.590000,6.050000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1421.3

25,06:00-06:15,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,0.000000,20.300000,30.620000,9.230000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.680000,4.830000,18.630000,0.000000,6.050000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1267.61

26,06:15-06:30,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,0.000000,20.300000,30.620000,9.230000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.680000,4.830000,18.630000,0.000000,6.050000,67.670000,0.000000,24.170000,36.000000,0,0,0.000000,1.500000,1267.61

27,06:30-06:45,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,0.000000,20.300000,30.620000,9.230000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.680000,4.830000,18.630000,0.000000,6.050000,67.670000,0.000000,24.170000,36.000000,0,0.2,0.000000,1.500000,1267.81

28,06:45-07:00,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,0.000000,20.300000,30.620000,9.230000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.680000,4.830000,18.630000,0.000000,6.050000,67.670000,0.000000,24.170000,36.000000,0,0.48,0.000000,1.500000,1268.09

29,07:00-07:15,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,0.000000,20.300000,30.620000,9.140000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.680000,4.830000,18.630000,0.000000,6.050000,67.670000,0.000000,24.170000,0.000000,0,0.69,0.000000,1.500000,1232.21

30,07:15-07:30,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,0.000000,20.300000,30.620000,9.140000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.680000,4.830000,18.630000,0.000000,6.050000,67.670000,0.000000,24.170000,0.000000,0,0.78,0.000000,1.500000,1232.3

31,07:30-07:45,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,0.000000,20.300000,30.620000,9.140000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.680000,4.830000,18.630000,0.000000,6.050000,67.670000,0.000000,24.170000,0.000000,0,1.04,0.000000,1.500000,1232.56

32,07:45:08:00,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,0.000000,20.300000,30.620000,9.140000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.680000,4.830000,18.630000,0.000000,6.050000,67.670000,0.000000,24.170000,0.000000,0,1.34,0.000000,1.500000,1232.86

33,08:00-08:15,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,0.000000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,6.050000,67.670000,0.000000,24.170000,0.000000,0,1.67,0.000000,1.500000,1272.06

34,08:15-08:30,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,0.000000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,6.050000,67.670000,0.000000,24.170000,0.000000,0,2.1,0.000000,1.500000,1272.49

35,08:30-08:45,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,0.000000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,6.050000,67.670000,0.000000,24.170000,0.000000,0,2.47,50.000000,1.500000,1322.86

36,08:45:09:00,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,0.000000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,6.050000,67.670000,0.000000,24.170000,0.000000,0,2.67,50.000000,1.500000,1323.06

37,09:00:09:15,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,6.050000,67.670000,29.000000,24.170000,0.000000,15.95,2.79,50.000000,1.500000,1376.35

38,09:15-09:30,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,6.050000,67.670000,29.000000,24.170000,0.000000,15.95,3.32,50.000000,1.500000,1376.88

39,09:30-09:45,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,8.070000,67.670000,29.000000,24.170000,0.000000,15.95,4.36,50.000000,1.500000,1379.94

40,09:45-10:00,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,8.070000,67.670000,29.000000,24.170000,0.000000,15.95,5.22,50.000000,1.500000,1380.8

41,10:00-10:15,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,8.070000,67.670000,29.000000,24.170000,0.000000,15.95,6.93,50.000000,1.500000,1382.51

42,10:15-10:30,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,8.070000,67.670000,29.000000,24.170000,0.000000,15.95,7.13,50.000000,1.500000,1382.71

43,10:30-10:45,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,8.070000,67.670000,29.000000,24.170000,0.000000,15.95,8.37,50.000000,1.500000,1383.95

44,10:45-11:00,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,9.53,50.000000,1.500000,1387.13

45,11:00-11:15,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,8.94,50.000000,1.500000,1386.54

46,11:15-11:30,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,9.22,50.000000,1.500000,1386.82

47,11:30-11:45,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,8.84,50.000000,1.500000,1386.44

48,11:45-12:00,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,8.93,50.000000,1.500000,1386.53

49,12:00-12:15,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,8.78,50.000000,1.500000,1386.38

50,12:15-12:30,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,8.13,50.000000,1.500000,1385.73

51,12:30-12:45,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,4.91,50.000000,1.500000,1382.51

52,12:45-13:00,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,4.19,50.000000,1.500000,1381.79

53,13:00-13:15,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,5.49,50.000000,1.500000,1383.09

54,13:15-13:30,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,7.85,50.000000,1.500000,1385.45

55,13:30-13:45,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,7.57,50.000000,1.500000,1385.17

56,13:45-14:00,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,5.96,50.000000,1.500000,1383.56

57,14:00-14:15,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,58.430000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,6.25,50.000000,1.500000,1442.28

58,14:15-14:30,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,58.430000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,8.12,50.000000,1.500000,1444.15

59,14:30-14:45,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,58.430000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,7.69,50.000000,1.500000,1443.72

60,14:45-15:00,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.050000,58.430000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,38.670000,100.050000,19.610000,193.340000,0.970000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,6.27,50.000000,1.500000,1442.3

61,15:00-15:15,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.140000,58.430000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.870000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,4.28,50.000000,1.500000,1401.63

