Column1,Time,GNARE/SR/2025/01/13/4532,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,GNA/NR/2025/06/01/4973,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/5280,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/06/01/9719,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/08/2376,GNA/NR/2025/04/01/8456,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/06/07/5932,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/01/2868,NR/01102023/19072037/LT-05,GNA/NR/2025/06/01/9257,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7786,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/8510,GNA/NR/2025/06/01/7663
7,01:30-01:45,27.81,0,0,0,0,0,0,0,0,0,0,0,0,27.33,0,41.67,41.67,27.33,19,82.01,41.02,87.06,11.89,0,11.9,30,13.02,6.93,5.92,29.26,20.75,30,0,0,10.33,5.42,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

8,01:45-02:00,28.01,0,0,0,0,0,0,0,0,0,0,0,0,26.67,0,41.67,41.67,26.67,19,79.99,41.02,87.06,11.89,0,11.9,30,13.02,6.93,5.92,29.26,20.75,30,0,0,10.33,5.42,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

9,02:00-02:15,28.21,0,0,0,0,0,0,0,0,0,0,0,0,25,0,41.67,41.67,25,16.67,75,41.02,87.06,11.89,0,11.9,30,12.75,6.78,5.92,29.26,20.75,30,164.08,0,10.33,5.24,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,0,15.34,41.02

10,02:15-02:30,29.01,0,0,0,0,0,0,0,0,0,0,0,0,24.67,0,41.67,41.67,24.67,16.33,73.99,41.02,87.06,11.89,0,11.9,30,12.75,6.78,5.92,28.26,20.75,30,164.08,0,10.33,5.24,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,0,15.34,41.02

11,02:30-02:45,29.81,0,0,0,0,0,0,0,0,0,0,0,0,24.17,0,41.67,41.67,24.17,19.33,72.49,41.02,87.06,11.89,0,11.9,30,12.75,6.78,5.92,28.26,20.75,30,164.08,0,10.33,5.24,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,0,15.34,41.02

12,02:45-03:00,30.21,0,0,0,0,0,0,0,0,0,0,0,0,23.83,0,41.67,41.67,23.83,19.33,71.51,41.02,87.06,11.89,0,11.9,30,12.75,6.78,5.92,29.26,20.75,30,164.08,0,10.33,5.24,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,0,15.34,41.02

13,03:00-03:15,30.61,0,0,0,0,0,0,0,0,0,0,0,0,23.5,0,41.67,41.67,23.5,18.67,70.5,41.02,87.06,11.89,0,11.9,30,12.57,6.62,5.69,29.26,20.75,30,164.08,0,10.33,5.85,0,-0,0,100.55,28.96,66.14,20.75,0,130.59,133.56,53.57,41.02,0,15.34,41.02

14,03:15-03:30,31.21,0,0,0,0,0,0,0,0,0,0,0,0,23,0,41.67,41.67,23,18.33,69,41.02,87.06,11.89,0,11.9,30,12.57,6.62,5.69,29.26,20.75,30,164.08,0,10.33,5.85,0,-0,0,100.55,28.96,65.06,20.75,0,130.59,133.56,53.57,41.02,0,15.34,41.02

15,03:30-03:45,30.81,0,0,0,0,0,0,0,0,0,0,0,0,22.67,0,41.67,41.67,22.67,17.67,67.99,41.02,87.06,11.89,0,11.9,30,12.57,6.39,5.69,29.26,20.75,30,164.08,0,10.33,5.85,0,-0,0,100.55,28.96,63.97,20.75,0,130.59,133.56,53.57,41.02,0,15.34,41.02

16,03:45-04:00,30.81,0,0,0,0,0,0,0,0,0,0,0,0,22.33,0,41.67,41.67,22.33,17.33,67.01,41.02,87.06,11.89,0,11.9,30,12.57,6.39,5.69,29.26,20.75,30,164.08,0,10.33,5.85,0,-0,0,100.55,28.96,63.65,20.75,0,130.59,133.56,53.57,41.02,0,15.34,41.02

17,04:00-04:15,30.61,0,0,0,0,0,0,0,0,0,0,0,0,20,0,41.67,41.67,20,16.67,60,41.02,87.06,11.89,0,11.9,30,12.37,6.24,5.69,29.26,20.75,30,164.08,0,7.76,5.7,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,0,4.34,41.02

18,04:15-04:30,30.41,0,0,0,0,0,0,0,0,0,0,0,0,19.67,0,41.67,41.67,19.67,16,58.99,41.02,87.06,11.89,0,11.9,30,12.37,6.24,5.69,29.26,20.75,30,164.08,0,7.76,5.7,0,-0,0,100.55,28.96,109.35,20.75,0,130.59,133.56,53.57,41.02,0,4.34,41.02

19,04:30-04:45,30.01,0,0,0,0,0,0,0,0,0,0,0,0,19.17,0,41.67,41.67,19.17,15.67,57.49,41.02,87.06,11.89,0,11.9,30,12.37,6.24,5.69,29.26,20.75,30,164.08,0,7.76,5.7,0,-0,0,100.55,28.96,97.99,20.75,0,130.59,133.56,53.57,41.02,0,4.34,41.02

20,04:45-05:00,29.81,0,0,0,0,0,0,0,0,0,0,0,0,18.83,0,41.67,41.67,18.83,15,56.51,41.02,87.06,11.89,0,11.9,30,12.37,6.24,5.69,28.26,20.75,30,164.08,0,7.76,5.7,0,-0,0,100.55,28.96,84.14,20.75,0,130.59,133.56,53.57,41.02,0,4.34,41.02

21,05:00-05:15,25.61,0,0,0,0,0,0,0,0,0,0,0,0,19.97,0,41.67,41.67,19.97,20,59.92,41.02,87.06,11.89,0,11.9,30,12.19,6.16,5.44,27.25,20.75,30,164.08,0,7.76,5.62,0,-0,0,100.55,28.96,67.39,20.75,0,130.59,133.56,53.57,41.02,0.57,8.62,41.02

22,05:15-05:30,24.41,0,0,0,0,0,0,0,0,0,0,0,0,19.33,0,41.67,41.67,19.33,20,58,41.02,85.64,11.89,0,11.9,30,12.19,6.16,5.44,27.25,20.75,30,164.08,0,7.76,5.62,0,-0,0,100.55,28.96,63.47,20.75,0,130.59,133.56,53.57,41.02,1.16,8.62,41.02

23,05:30-05:45,23.61,0,0,0,0,0,0,0,0,0,0,0,0.21,18.62,0,41.67,41.67,18.62,15.67,55.85,41.02,62.51,11.89,0,11.9,30,12.19,5.77,5.44,29.26,20.75,30,164.08,0,7.76,4.68,0,-0,0,100.55,28.96,63.47,20.75,0,98.62,133.56,53.57,41.02,1.4,7.76,41.02

24,05:45-06:00,22.81,0,0,0,0,0,0,0,0,0,0,0,4.41,17.93,0,41.67,41.67,17.93,15.33,53.76,41.02,69.09,11.89,0,11.9,30,12.19,5.77,5.44,29.26,20.75,30,164.08,0,7.76,4.68,0,-0,0,100.55,28.96,70,20.75,0,98.62,133.56,53.57,41.02,1.92,7.76,41.02

25,06:00-06:15,26.81,3.5,0,8.95,0.3,1,0,1,8.65,0.7,1,0,7.31,17.21,0,41.67,41.67,17.21,16,51.65,41.02,69.09,11.89,0,11.9,30,11.92,5.62,5.44,28.25,20.75,23.64,164.08,0,7.76,4.49,0,-0,0,100.55,28.96,69.58,20.75,0,98.62,133.56,53.57,41.02,1.93,7.76,41.02

26,06:15-06:30,26.61,8.33,0,29.65,0.3,2,1,2,24.84,1.67,2,1,10.78,16.31,0,41.67,41.67,16.31,15.67,48.91,41.02,49.14,11.89,0,11.9,30,11.92,5.62,5.44,28.25,20.75,23.64,164.08,0,7.76,4.49,0,-0,0,100.55,28.96,63.47,20.75,0,90.28,133.56,53.57,41.02,2.34,7.76,41.02

27,06:30-06:45,26.61,13.85,0,32.6,6.35,3,3,3,32.6,2.77,3,2,15.54,15,2.99,41.67,41.67,15,15.33,45,41.02,38.61,11.89,0,11.9,30,11.92,5.62,5.44,27.25,20.75,23.64,164.08,0,7.76,4.49,0.61,-0,0.78,100.55,28.96,63.47,20.75,0.78,90.5,133.56,53.57,41.02,2.92,7.76,41.02

28,06:45-07:00,26.81,20.58,0,32.26,9.36,6,6,5,32.26,4.12,7,3,21.59,15.33,5.99,41.67,41.67,15.33,15,46.01,41.02,38.61,11.89,0,11.9,30,11.92,5.62,5.44,27.25,20.75,23.64,164.08,0,7.76,4.49,0.96,-0,1.23,71.6,28.96,63.47,20.75,1.23,52.12,114.26,53.57,41.02,3.5,7.76,41.02

29,07:00-07:15,30.19,29.61,0,32.11,13.25,9,10,7,32.11,5.92,15,7,28.72,15.67,10,41.67,41.67,15.67,15.33,46.99,41.02,38.61,11.89,0,11.9,30,11.73,5.54,5.44,26.23,20.75,26.26,164.08,0,7.76,4.3,1.37,-0,1.78,53.09,17.37,70.37,20.75,1.78,52.12,119.7,53.57,41.02,4.02,8.12,41.02

30,07:15-07:30,30.79,40.64,0,32.66,18.18,13,15,9,32.66,8.13,19,9,37.12,16,15.99,41.67,41.67,16,15.67,48,41.02,38.61,11.89,0,11.9,30,11.73,5.54,5.44,26.23,20.75,26.26,164.08,0,7.76,4.3,1.86,-0,2.42,53.09,17.37,70.37,20.75,2.42,52.12,102.85,53.57,41.02,3.98,8.12,41.02

31,07:30-07:45,32.5,54.07,0,33,24.66,19,21,14,33,10.81,27,13,46.59,16.33,26,41.67,41.67,16.33,12.67,49.01,41.02,38.61,11.89,0,11.9,30,11.73,5.54,5.44,26.23,20.75,26.26,164.08,0,7.76,4.3,2.44,-0,3.15,53.09,17.37,70.37,20.75,3.15,52.12,83.55,53.57,41.02,3.93,8.12,41.02

32,07:45-08:00,31.71,69.12,0,30.73,30.84,26,27,18,30.73,13.83,33,17,56.22,16.67,30.74,41.67,41.67,16.67,13.33,49.99,41.02,38.61,11.89,0,11.9,30,11.73,5.54,5.44,27.25,20.75,26.26,164.08,0,7.76,4.3,3.47,-0,4.48,53.09,17.37,70.37,20.75,4.48,52.12,75.05,53.57,41.02,3.89,8.12,41.02

33,08:00-08:15,30.82,85.22,0,31.9,37.81,36,33,21,31.9,17.05,40,20,65.25,17,31.9,41.67,41.67,17,14,51,41.02,38.61,11.89,0,11.9,30,11.54,5.46,4.52,27.25,20.75,26.26,164.08,0,7.76,4.12,4.51,-0,5.84,53.09,17.37,70.37,20.75,5.84,52.12,75.05,53.57,41.02,3.89,8.12,41.02

34,08:15-08:30,30.04,101.54,0,33,44.82,43,39,25,33,20.31,47,23,74.18,17.5,33,41.67,41.67,17.5,15.33,52.5,41.02,38.61,11.89,0,11.9,30,11.54,5.46,4.52,28.25,20.75,26.26,164.08,0,7.76,4.12,5.32,-0,6.89,53.09,17.37,70.37,20.75,6.89,52.12,75.05,53.57,41.02,3.89,8.12,41.02

35,08:30-08:45,26.01,118.04,0,33,51.84,49,43,27,33,23.61,53,27,83.63,18.33,33,41.67,41.67,18.33,16,55.01,41.02,38.61,11.89,0,11.9,30,11.54,5.46,4.52,28.25,20.75,26.26,164.08,0,7.76,4.12,6.11,-0,7.91,53.09,17.37,70.37,20.75,7.91,52.12,75.05,53.57,41.02,3.89,8.12,41.02

36,08:45-09:00,25.61,134.12,0,33,58.6,56,49,30,33,26.82,65,32,95.07,19.17,33,41.67,41.67,19.17,16.67,57.49,41.02,38.61,11.89,0,11.9,30,11.54,5.46,4.52,28.25,20.75,26.26,164.08,0,7.76,4.12,6.9,-0,8.94,53.09,17.37,70.37,20.75,8.94,52.12,75.05,53.57,41.02,3.89,8.12,41.02

37,09:00-09:15,23.21,149.57,0,33,64.78,61,54,32,33,29.91,63,32,103.79,17.5,33,41.67,41.67,17.5,17.33,52.5,41.02,38.61,11.89,0,11.9,29.5,11.36,5.39,4.52,28.25,20.75,26.41,164.08,0,7.76,3.93,7.66,-74.86,9.9,53.09,17.37,70.37,20.75,9.9,52.12,75.05,53.57,41.02,0,8.12,41.02

38,09:15-09:30,22.81,164.59,0,33,70.58,65,60,34,33,32.92,70,35,110.89,18.5,33,41.67,41.67,18.5,18.33,55.5,41.02,38.61,11.89,0,11.9,29.5,11.36,5.39,4.52,28.25,20.75,26.41,164.08,0,7.76,3.93,8.37,-74.86,10.83,53.09,17.37,70.37,20.75,10.83,52.12,75.05,53.57,41.02,0,8.12,41.02

39,09:30-09:45,22.01,178.43,0,33,75.86,73,64,36,33,35.69,73,37,116.91,21.33,33,41.67,41.67,21.33,19.33,64.01,41.02,38.61,11.89,0,11.9,29.5,11.36,5.39,4.52,28.25,20.75,26.41,164.08,0,7.76,3.93,9.04,-74.86,11.7,53.09,17.37,70.37,20.75,11.7,52.12,75.05,53.57,41.02,0,8.12,41.02

40,09:45-10:00,21.41,191.27,0,33,80.89,78,69,38,33,38.25,78,39,123.19,21.33,33,41.67,41.67,21.33,20,64.01,41.02,38.61,11.89,0,11.9,29.5,11.36,5.39,4.52,28.25,20.75,26.41,164.08,0,7.76,3.93,9.66,-74.86,12.5,53.09,17.37,70.37,20.75,12.5,52.12,75.05,53.57,41.02,0,8.12,41.02

41,10:00-10:15,22.41,206.95,0,33,85.57,82,72,40,33,41.39,82,41,129.34,21.5,33,41.67,41.67,21.5,21.67,64.5,41.02,38.61,11.89,20.75,11.9,29.5,11.27,5.31,4.36,28.25,20.75,26.41,164.08,0,7.76,3.74,10.23,-74.86,13.24,53.09,17.37,70.37,20.75,13.24,52.12,75.05,53.57,41.02,0,8.12,41.02

42,10:15-10:30,22.01,217.83,0,33,89.79,87,75,41,33,43.57,85,43,134.36,21.5,33,41.67,41.67,21.5,23.33,64.5,41.02,38.61,11.89,20.75,11.9,29.5,11.27,5.31,4.36,28.25,20.75,26.41,164.08,0,7.76,3.74,10.75,-74.86,13.92,53.09,17.37,70.37,20.75,13.92,52.12,75.05,53.57,41.02,0,8.12,41.02

43,10:30-10:45,20.81,227.84,0,33,93.49,91,78,42,33,45.57,90,45,138.16,21.67,33,41.67,41.67,21.67,25,64.99,41.02,38.61,11.89,20.75,11.9,29.5,11.27,5.31,4.36,27.25,20.75,26.41,164.08,0,7.76,3.74,11.23,-74.86,14.54,53.09,17.37,70.37,20.75,14.54,52.12,75.05,53.57,41.02,0,8.12,41.02

44,10:45-11:00,19.41,236.29,0,33,96.17,93,81,43,33,47.26,93,47,141.46,22.33,33,41.67,41.67,22.33,26,67.01,41.02,38.61,11.89,20.75,11.9,29.5,11.27,5.31,4.36,27.25,20.75,26.41,164.08,0,7.76,3.74,11.65,-74.86,15.07,53.09,17.37,70.37,20.75,15.07,52.12,75.05,53.57,41.02,0,8.12,41.02

45,11:00-11:15,16.81,242.5,0,33,99.19,96,84,45,33,48.5,95,47,144.4,23.17,33,41.67,41.67,23.17,26.67,69.49,41.02,38.61,11.89,20.75,11.9,29.5,11.73,4.92,4.36,25.23,20.75,26.41,164.08,0,7.76,3.27,12,-74.86,15.53,53.09,17.37,70.37,20.75,15.53,54.5,94.59,53.57,41.02,0,8.12,41.02

46,11:15-11:30,16.21,245.83,0,33,100,97,85,46,33,49.17,97,48,146.74,24.5,33,41.67,41.67,24.5,27.33,73.5,41.02,38.61,11.89,20.75,11.9,29.5,11.73,4.92,4.36,25.23,20.75,26.41,164.08,0,7.76,3.27,12.3,-74.86,15.91,53.09,17.37,70.37,20.75,15.91,66.92,113.89,53.57,41.02,0,8.12,41.02

47,11:30-11:45,13.61,245.83,0,33,100,98,87,46,33,49.17,97,49,148.24,25.83,33,41.67,41.67,25.83,28.67,77.51,41.02,38.61,11.89,20.75,11.9,29.5,11.73,4.92,4.36,25.23,20.75,26.41,164.08,0,7.76,3.27,12.54,-74.86,16.23,53.09,17.37,70.37,20.75,16.23,52.12,133.56,53.57,41.02,0,8.12,41.02

48,11:45-12:00,13.61,245.83,0,33,100,98,87,46,33,49.17,97,49,146.17,26.83,33,41.67,41.67,26.83,29.33,80.51,41.02,38.61,11.89,20.75,11.9,29.5,11.73,4.92,4.36,25.23,20.75,26.41,164.08,0,7.76,3.27,12.72,-74.86,16.46,53.09,17.37,70.37,20.75,16.46,52.12,133.56,53.57,41.02,0,8.12,41.02

49,12:00-12:15,10,245.83,0,33,100,98,87,46,33,49.17,97,49,147.06,26.17,33,41.67,41.67,26.17,28.67,78.49,41.02,38.61,11.89,20.75,11.9,29,11.64,5.08,4.36,25.23,20.75,26.56,164.08,0,7.76,3.65,12.86,-74.86,16.65,53.09,17.37,70.37,20.75,16.65,52.12,113.89,53.57,41.02,0,8.12,41.02

50,12:15-12:30,9.6,245.83,0,33,100,98,87,46,33,49.17,97,49,148.7,27.17,33,41.67,41.67,27.17,29,81.49,41.02,38.61,11.89,20.75,11.9,29,11.64,5.08,4.36,25.23,20.75,26.56,164.08,0,7.76,3.65,12.95,-74.86,16.76,53.09,17.37,70.37,20.75,16.76,52.12,94.59,53.57,41.02,0,8.12,41.02

51,12:30-12:45,9.6,245.83,0,33,100,98,87,46,33,49.17,97,49,143.88,28.17,33,41.67,41.67,28.17,29.33,84.49,41.02,38.61,11.89,20.75,11.9,29,11.64,5.08,4.36,25.23,20.75,26.56,164.08,0,7.76,3.65,12.99,-74.86,16.82,53.09,17.37,70.37,20.75,16.82,52.12,75.05,53.57,41.02,5.3,8.12,41.02

52,12:45-13:00,9.6,245.83,0,33,100,98,87,46,33,49.17,97,49,140.69,29.17,33,41.67,41.67,29.17,29.67,87.49,41.02,38.61,11.89,20.75,11.9,29,11.64,5.08,4.36,25.23,20.75,26.56,164.08,0,7.76,3.65,12.95,-74.86,16.76,53.09,17.37,70.37,20.75,16.76,52.12,75.05,53.57,41.02,5.3,8.12,41.02

53,13:00-13:15,9.6,245.83,0,33,100,97,87,45,33,49.17,96,48,139.59,30.17,33,41.67,41.67,30.17,28.34,90.49,41.02,38.61,11.89,20.75,11.9,29,11.54,5.31,4.52,26.23,20.75,26.56,164.08,0,7.76,3.84,12.87,-74.86,16.66,53.09,17.37,70.37,20.75,16.66,52.12,75.05,53.57,41.02,5.3,8.12,41.02

54,13:15-13:30,9.6,245.83,0,33,100,96,87,44,33,49.17,95,47,138.11,31,33,41.67,41.67,31,28.66,93,41.02,38.61,11.89,20.75,11.9,29,11.54,5.31,4.52,26.23,20.75,26.56,164.08,0,7.76,3.84,12.75,-74.86,16.49,53.09,17.37,70.37,20.75,16.49,52.12,75.05,53.57,41.02,5.3,8.12,41.02

55,13:30-13:45,9.4,243.35,0,33,100,95,85,43,33,48.67,93,47,136.98,31.67,33,41.67,41.67,31.67,29,94.99,41.02,38.61,11.89,20.75,11.9,29,11.54,5.31,4.52,26.23,20.75,26.56,164.08,0,7.76,3.84,12.54,-74.86,16.24,53.09,17.37,70.37,20.75,16.24,52.12,75.05,53.57,41.02,5.3,8.12,41.02

56,13:45-14:00,9.4,241.84,0,33,100,93,84,42,33,48.37,92,46,134.83,32.5,33,41.67,41.67,32.5,29,97.5,41.02,38.61,11.89,20.75,11.9,29,11.54,5.31,4.52,27.25,20.75,26.56,164.08,0,7.76,3.84,12.28,-74.86,15.9,53.09,17.37,70.37,20.75,15.9,52.12,75.05,53.57,41.02,5.3,8.12,41.02

57,14:00-14:15,9.4,237.72,0,33,98.51,92,81,41,33,47.55,90,45,130.95,33.83,33,41.67,41.67,33.83,29.34,101.51,41.02,38.61,11.89,20.75,11.9,29,11.46,5.46,4.83,25.23,20.75,26.56,164.08,0,7.76,3.84,11.96,-74.86,15.47,53.09,17.37,70.37,20.75,15.47,52.12,75.05,53.57,41.02,5.3,8.12,41.02

58,14:15-14:30,9.4,230.77,0,33,95.88,90,78,41,33,46.16,87,44,127.33,34.5,33,41.67,41.67,34.5,29.34,103.5,41.02,38.61,11.89,20.75,11.9,29,11.46,5.46,4.83,25.23,20.75,26.56,164.08,0,7.76,3.84,11.58,-74.86,14.99,53.09,17.37,70.37,20.75,14.99,52.12,75.05,53.57,41.02,5.3,8.12,41.02

59,14:30-14:45,9.6,223.2,0,33,93.28,89,75,39,33,44.64,87,43,124.84,35.17,33,41.67,41.67,35.17,29.34,105.49,41.02,38.61,11.89,20.75,11.9,29,11.46,5.46,5.06,26.23,20.75,26.56,164.08,0,7.76,3.84,11.14,-74.86,14.42,53.09,17.37,70.37,20.75,14.42,52.12,75.05,53.57,41.02,5.3,8.12,41.02

60,14:45-15:00,10,214.91,0,33,90.24,87,72,38,33,42.98,83,42,123.86,35.33,33,41.67,41.67,35.33,30,106.01,41.02,38.61,11.89,20.75,11.9,29,11.46,5.46,5.06,27.25,20.75,26.56,164.08,0,7.76,3.84,10.57,-74.86,13.68,53.09,17.37,70.37,20.75,13.68,52.12,94.59,53.57,41.02,5.3,8.12,41.02

61,15:00-15:15,15.01,204.32,0,33,86.77,85,69,37,33,40.87,79,39,120.94,35.67,33,41.67,41.67,35.67,30.66,106.99,41.02,38.61,11.89,20.75,11.9,29,11.46,6.16,5.44,28.26,20.75,26.56,164.08,0,7.76,4.02,10.04,-74.86,12.99,82.04,17.37,63.47,20.75,12.99,51.58,113.89,53.57,41.02,5.3,8.12,41.02

62,15:15-15:30,16.01,194.91,0,33,82.39,79,64,36,33,38.98,75,37,112.16,36,33,41.67,41.67,36,31.66,108,41.02,38.61,11.89,20.75,11.9,29,11.46,6.16,5.44,28.26,20.75,26.56,164.08,0,7.76,4.02,9.48,-0,12.28,100.55,17.37,63.47,20.75,12.28,52.12,133.56,53.57,41.02,5.3,8.12,41.02

63,15:30-15:45,17.01,183.52,0,33,77.77,73,60,33,33,36.7,70,35,107.28,36,33,41.67,41.67,36,32,108,41.02,38.61,11.89,20.75,11.9,29,11.46,6.16,5.69,29.26,20.75,26.56,164.08,0,7.76,4.02,8.86,-0,11.46,100.55,17.37,63.47,20.75,11.46,52.12,133.56,53.57,41.02,5.3,8.12,41.02

64,15:45-16:00,17.81,170.5,0,33,73.07,68,55,32,33,34.1,63,32,91.07,36.17,33,41.67,41.67,36.17,32.66,108.49,41.02,38.61,11.89,20.75,11.9,29,11.46,6.16,5.69,29.26,20.75,26.56,164.08,0,7.76,4.02,8.19,-0,10.6,100.55,17.37,63.47,20.75,10.6,52.12,133.56,53.57,41.02,5.3,8.12,41.02

65,16:00-16:15,26.01,163.35,0,33,68.03,61,49,29,33,32.67,59,29,82.65,37.33,25,41.67,41.67,37.33,33.66,112.01,41.02,38.61,11.89,20.75,11.9,29,11.82,6.54,5.92,29.26,20.75,26.56,164.08,0,7.76,4.21,7.58,-0,9.82,100.55,17.37,63.47,20.75,9.82,52.12,133.56,53.57,41.02,5.3,4.34,41.02

