Column1,Time,GNARE/NR/2024/12/20/3668,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,GNARE/SR/2025/01/13/4532,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,GNA/NR/2025/04/01/6216,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/01/5285,GNA/SR/2025/04/01/2597,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/1831,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/1333,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/16/2139,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/4565,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/01/8510,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/7960,NR/30092023/31122025/SH-07
12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,16.41,15.67,36.66,0,36.67,0,46.99,0,11.33,15.67,9.62,86.73,0,9.62,12.06,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.44,4.5,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,30.78,48.08,0,0,9.62,19.23,7.73,30,22.11,30

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,15.61,14.33,35,0,35,0,43.01,0,9,14.33,9.62,86.73,0,9.62,12.06,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.37,4.35,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,30.78,48.08,0,0,9.62,19.23,7.73,25.51,22.11,25.51

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,15.01,14.67,33.34,0,33.33,0,43.99,0,9.33,14.67,9.62,86.73,0,9.62,12.06,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.37,4.35,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,30.78,48.08,0,0,9.62,19.23,7.73,25.51,22.11,25.51

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,10,15.17,32.66,0,32.67,0,45.49,0,9.33,15.17,9.62,86.73,0,9.62,12.06,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.37,4.35,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,30.78,48.08,0,0,9.62,19.23,7.73,25.51,22.11,25.51

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,9.6,15.5,31.66,0,31.67,0,46.5,0,9,15.5,9.62,86.73,0,9.62,12.06,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.37,4.35,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,30.78,48.08,0,0.58,9.62,19.23,7.73,25.51,22.11,25.51

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,7,13,30,0,30,0,39,0,8.67,13,9.62,86.73,0,9.62,11.96,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.52,4.35,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,30.78,48.08,0,1.15,9.62,19.23,7.73,25.51,22.11,25.51

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,7,12.83,29.34,0,29.33,0,38.51,0,8.33,12.83,9.62,86.73,0,9.62,11.96,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.52,4.35,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,30.78,48.08,0,1.15,9.62,19.23,7.73,25.51,22.11,25.51

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,7,12.5,28.34,0,28.33,0,37.5,0,7.67,12.5,9.62,86.73,0,9.62,11.96,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.52,4.35,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,30.78,48.08,0,1.73,9.62,19.23,7.73,25.51,22.11,25.51

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,7,12,27.34,0,27.33,0,36,0,7,12,9.62,86.73,0,9.62,11.96,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.52,4.35,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,30.78,48.08,0,1.73,9.62,19.23,7.73,25.51,22.11,25.51

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,7,9.83,26.34,0,26.33,0,29.51,0,6.67,9.83,9.62,86.73,0,9.62,11.87,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.6,4.18,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,30.28,48.08,0,2.31,9.62,19.23,7.73,25.51,22.11,25.51

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,7,8.5,24.66,0,24.67,0,25.5,0,6.67,8.5,9.62,86.73,0,9.62,11.87,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.6,4.18,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,30.28,48.08,0,2.31,9.62,19.23,7.73,25.51,22.11,25.51

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,7,7.5,23.34,0,23.33,0,22.5,0,6.67,7.5,9.62,86.73,0,9.62,11.87,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.6,4.18,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,30.28,48.08,0,2.88,9.62,19.23,7.73,25.51,22.11,25.51

24,05:45-06:00,0,0,0,0,0,0,0,0,0,0,7,7.5,22,0,22,0,22.5,0,6.67,7.5,9.62,86.73,0,9.62,11.87,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.6,4.18,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,30.28,48.08,0,2.88,9.62,19.23,7.73,25.51,22.11,25.51

25,06:00-06:15,0,0,1,0,1,1.06,0,0,0,0,5,7.5,18.34,0,18.33,3.53,22.5,0,6.67,7.5,9.62,86.73,0,9.62,11.78,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.6,4.5,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,30.78,48.08,0,3.46,9.62,19.23,7.73,13.26,22.11,25.51

26,06:15-06:30,0.3,0.79,5,0,2,3.72,0,0,0,0.16,5,7.5,17.34,0,17.33,8.45,22.5,14.1,6.67,7.5,9.62,86.73,0,9.62,11.78,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.6,4.5,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,29.77,48.08,0,4.04,9.62,19.23,7.73,13.26,22.11,25.51

27,06:30-06:45,0.85,2.99,7,1,3,8.13,1,0,1,0.6,5,7.5,17,1,17,16.39,22.5,23.43,6.67,7.5,9.62,86.73,0,9.62,11.78,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.6,4.5,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,29.77,48.08,0,4.04,9.62,19.23,7.73,0,22.11,30

28,06:45-07:00,2.86,9.11,9,2,4,14.41,4,1,3,1.82,5,7.5,16.66,4,16.67,27.25,22.5,33,6.67,7.5,9.62,86.73,0.98,9.62,11.78,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.6,4.5,0.98,1.92,0,271.86,2.88,114.97,0.98,100.17,10.41,96.15,29.77,48.08,0,4.04,9.62,19.23,7.73,0,22.11,30

29,07:00-07:15,6.09,17.64,13,3,7,22.3,14,6,5,3.53,5,7.5,16,9,16,33,22.5,33,6.67,7.5,9.62,86.73,1.8,9.62,11.68,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.52,4.5,1.8,1.92,0,271.86,2.88,65.97,1.8,100.17,10.41,96.15,28.26,48.08,0,4.04,9.62,19.23,7.73,25.99,22.11,30

30,07:15-07:30,10.31,29.43,19,8,9,31.11,28,12,7,5.89,5,7.5,15.34,14,15.33,33,22.5,33,6.67,7.5,9.62,86.73,2.81,9.62,11.68,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.52,4.5,2.81,1.92,0,271.86,2.88,65.97,2.81,100.17,10.41,96.15,28.26,48.08,0,4.04,9.62,19.23,7.73,25.99,22.11,30

31,07:30-07:45,15.9,44.65,25,13,13,40.38,42,18,12,8.93,5,7.5,15,22,15,33,22.5,33,6.67,7.5,9.62,86.73,3.87,9.62,11.68,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.52,4.5,3.87,1.92,0,271.86,2.88,65.97,3.87,100.17,10.41,96.15,28.26,48.08,0,4.04,9.62,19.23,7.73,30,22.11,30

32,07:45-08:00,22.83,61.21,32,19,16,49.88,56,24,16,12.24,5,7.5,15,28,15,33,22.5,33,6.67,7.5,9.62,86.73,5.02,9.62,11.68,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.52,4.5,5.02,1.92,0,271.86,2.88,65.97,5.02,100.17,10.41,96.15,28.26,48.08,0,4.04,9.62,19.23,7.73,30,22.11,30

33,08:00-08:15,30.31,83.54,39,30,19,59.35,70,30,21,16.71,5,7.5,15,33,15,33,22.5,33,6.67,7.5,9.62,74.55,6.33,9.62,11.6,28.84,14.57,72.11,2.88,72.11,2.88,0,228.75,4.52,4.5,6.33,1.92,0,230.76,2.88,65.97,6.33,100.17,10.41,96.15,28.26,48.08,0,4.04,9.62,19.23,7.73,30,22.11,30

34,08:15-08:30,37.98,104.02,45,39,23,68.78,88,37,25,20.81,5,7.5,15,33,15,33,22.5,33,6.67,7.5,9.62,74.55,7.7,9.62,11.6,28.84,14.57,72.11,2.88,72.11,2.88,0,228.75,4.52,4.5,7.7,1.92,0,192.3,2.88,70.11,7.7,100.17,10.41,96.15,29.27,48.08,0,4.04,9.62,19.23,7.73,30,22.11,30

35,08:30-08:45,45.92,122.55,52,45,26,77.75,105,45,27,24.51,5,7.5,15,33,15,33,22.5,33,6.67,7.5,9.62,74.55,8.96,9.62,11.6,28.84,14.57,72.11,2.88,72.11,2.88,0,228.75,4.52,4.5,8.96,1.92,0,166.34,2.88,70.11,8.96,100.17,10.41,96.15,29.27,48.08,0,4.04,9.62,19.23,7.73,30,22.11,30

36,08:45-09:00,53.68,142.47,59,53,29,90.26,123,52,30,28.5,5,7.5,15,33,15,33,22.5,33,6.67,7.5,9.62,74.55,10.11,9.62,11.6,28.84,14.57,72.11,2.88,72.11,2.88,0,228.75,4.52,4.5,10.11,1.92,0,166.34,2.88,70.11,10.11,100.17,10.41,96.15,29.77,48.08,0,4.04,9.62,19.23,7.73,30,22.11,30

37,09:00-09:15,61.16,161.34,72,66,36,99.22,137,58,32,32.27,5,7.5,14,33,14,33,22.5,33,6.67,7.5,9.62,45.71,11.25,9.62,11.5,28.84,14.57,72.11,2.88,72.11,2.88,0,207.38,4.44,4.5,11.25,1.92,0,166.34,2.88,70.11,11.25,100.17,10.41,96.15,28.76,48.08,0,4.04,9.62,19.23,7.73,26.17,22.11,29.5

38,09:15-09:30,67.99,178.97,80,71,40,107.11,151,64,34,35.8,5,7.5,14,33,14,33,22.5,33,6.67,7.5,9.62,45.71,12.2,9.62,11.5,28.84,14.57,72.11,2.88,72.11,2.88,0,207.38,4.44,4.5,12.2,1.92,0,166.34,2.88,70.11,12.2,100.17,10.41,96.15,28.76,48.08,0,4.04,9.62,19.23,7.73,26.17,22.11,29.5

39,09:30-09:45,77.44,209.42,87,78,43,114.51,165,70,36,41.89,5,7.5,14,33,14,33,22.5,33,6.67,7.5,9.62,45.71,13.16,9.62,11.5,28.84,14.57,72.11,2.88,72.11,2.88,0,207.38,4.44,4.5,13.16,1.92,0,166.34,2.88,70.11,13.16,100.17,10.41,96.15,28.76,48.08,0,4.04,9.62,19.23,7.73,26.17,22.11,29.5

40,09:45-10:00,83.23,225.32,92,85,46,121.52,179,76,39,45.06,5,7.5,14,33,14,33,22.5,33,6.67,7.5,9.62,45.71,14.01,9.62,11.5,28.84,14.57,72.11,2.88,72.11,2.88,0,207.38,4.44,4.5,14.01,1.92,0,166.34,2.88,70.11,14.01,100.17,10.41,96.15,28.76,48.08,0,4.04,9.62,19.23,7.73,26.17,22.11,29.5

41,10:00-10:15,88.86,239.56,100,89,50,127.85,189,81,43,47.91,5,6.67,14,33,14,33,19.99,33,6.67,6.67,9.62,45.71,14.83,9.62,11.41,28.84,14.57,72.11,2.88,72.11,2.88,0,172.11,4.52,4.58,14.83,1.92,0,166.34,2.88,70.11,14.83,79.8,10.41,96.15,28.76,48.08,0,4.04,9.62,19.23,7.73,26.17,22.11,29.5

42,10:15-10:30,94.24,244.17,100,92,50,133.4,196,84,45,48.83,5,6.67,14,33,14,33,19.99,33,6.67,6.67,9.62,45.71,15.53,9.62,11.41,28.84,14.57,72.11,2.88,72.11,2.88,0,172.11,4.52,4.58,15.53,1.92,0,166.34,2.88,70.11,15.53,79.8,10.41,96.15,28.76,48.08,0,4.04,9.62,19.23,7.73,26.17,22.11,29.5

43,10:30-10:45,99.32,246.67,100,94,50,137.97,203,87,47,49.33,5,6.67,14,33,14,33,19.99,33,6.67,6.67,9.62,45.71,16.12,9.62,11.41,28.84,14.57,72.11,2.88,72.11,2.88,0,133.65,4.52,4.58,16.12,1.92,0,166.34,2.88,70.11,16.12,84.61,8.02,96.15,28.76,48.08,0,4.04,9.62,19.23,7.73,26.17,22.11,29.5

44,10:45-11:00,100,246.67,100,97,50,140.99,207,88,48,49.33,5,6.67,14,33,14,33,19.99,33,6.67,6.67,9.62,45.71,16.63,9.62,11.41,28.84,14.57,72.11,2.88,72.11,2.88,0,133.65,4.52,4.58,16.63,1.92,0,192.3,2.88,70.11,16.63,100.17,8.02,96.15,28.76,48.08,0,4.04,9.62,19.23,7.73,26.17,22.11,29.5

45,11:00-11:15,100,246.67,100,98,50,143.23,210,90,48,49.33,5,6.67,14,33,14,33,19.99,33,6.67,6.67,9.62,45.71,17.09,9.62,11.32,28.84,14.57,72.11,2.88,72.11,2.88,0,133.65,4.52,1.94,17.09,1.92,0,192.3,2.88,70.11,17.09,100.17,8.02,96.15,28.76,48.08,0,4.04,9.62,19.23,7.73,26.17,22.11,29.5

46,11:15-11:30,100,246.67,100,98,50,144.89,210,90,49,49.33,5,6.67,14,33,14,33,19.99,33,6.67,6.67,9.62,45.71,17.53,9.62,11.32,28.84,14.57,72.11,2.88,72.11,2.88,0,133.65,4.52,4.18,17.53,1.92,0,211.53,2.88,70.11,17.53,100.17,8.02,96.15,28.76,48.08,0,4.04,9.62,19.23,7.73,26.17,22.11,29.5

47,11:30-11:45,100,246.67,100,98,50,145.28,210,90,49,49.33,5,6.67,14,33,14,33,19.99,33,4,6.67,9.62,45.71,17.57,9.62,11.32,28.84,14.57,72.11,2.88,72.11,2.88,0,150.96,4.52,4.18,17.57,1.92,0,230.76,2.88,70.11,17.57,100.17,8.02,96.15,28.76,48.08,0,4.04,9.62,19.23,7.73,26.17,22.11,29.5

48,11:45-12:00,100,246.67,100,98,50,146.06,210,90,49,49.33,5,6.67,14,33,14,33,19.99,33,4,6.67,9.62,45.71,17.57,9.62,11.32,28.84,14.57,72.11,2.88,72.11,2.88,0,168.92,4.52,4.18,17.57,1.92,0,230.76,2.88,70.11,17.57,100.17,8.02,96.15,28.26,48.08,0,4.04,9.62,19.23,7.73,26.17,22.11,29.5

49,12:00-12:15,100,246.67,100,98,50,146.25,210,90,49,49.33,5,6.67,14,33,14,33,19.99,33,4,6.67,9.62,45.71,17.57,9.62,11.23,28.84,14.57,72.11,2.88,72.11,2.88,0,160.57,4.52,4.18,17.57,1.92,0,271.86,2.88,70.11,17.57,100.17,10.41,96.15,28.26,48.08,0,4.04,9.62,19.23,7.73,26.36,22.11,29

50,12:15-12:30,100,246.67,100,98,50,147.22,210,90,49,49.33,5,6.67,14,33,14,33,19.99,33,4,6.67,9.62,45.71,17.57,9.62,11.23,28.84,14.57,72.11,2.88,72.11,2.88,0,168.92,4.52,4.18,17.57,1.92,0,271.86,2.88,70.11,17.57,100.17,10.41,96.15,28.26,48.08,0,4.04,9.62,19.23,7.73,26.36,22.11,29

51,12:30-12:45,100,246.67,100,98,50,146.54,210,90,49,49.33,5,4.17,14,33,14,33,12.49,33,4,4.17,9.62,46.15,17.57,9.62,11.23,28.84,14.57,72.11,2.88,72.11,2.88,0,197.76,4.52,4.18,17.57,1.92,0,271.86,2.88,70.11,17.57,100.17,10.41,96.15,28.26,48.08,0,4.04,9.62,19.23,7.73,26.36,22.11,29

52,12:45-13:00,100,246.67,100,98,50,146.25,210,90,49,49.33,5,4.17,14,33,14,33,12.49,33,4,4.17,9.62,64.06,17.57,9.62,11.23,28.84,14.57,72.11,2.88,72.11,2.88,0,228.75,4.52,4.18,17.57,1.92,0,271.86,2.88,70.11,17.57,100.17,10.41,96.15,28.26,48.08,0,4.04,9.62,19.23,7.73,26.36,22.11,29

53,13:00-13:15,100,246.67,100,98,50,143.91,210,90,49,49.33,5,4.17,14,33,14,33,12.49,33,2.67,4.17,9.62,64.06,17.57,9.62,11.13,28.84,14.57,72.11,2.88,72.11,2.88,0,228.75,4.6,4.18,17.57,1.92,0,230.76,2.88,70.11,17.57,100.17,10.41,96.15,28.26,48.08,0,4.04,9.62,19.23,7.73,26.36,22.11,29

54,13:15-13:30,100,246.67,100,98,50,144.11,210,90,49,49.33,5.6,4.17,14,33,14,33,12.49,33,2.67,4.17,9.62,64.06,17.57,9.62,11.13,28.84,14.57,72.11,2.88,72.11,2.88,0,228.75,4.6,4.18,17.57,1.92,0,192.3,2.88,70.11,17.57,100.17,10.41,96.15,28.26,48.08,0,4.04,9.62,19.23,7.73,26.36,22.11,29

55,13:30-13:45,100,246.67,100,98,50,140.41,210,90,49,49.33,6.4,4.17,14,33,14,33,12.49,33,0.33,4.17,9.62,64.06,17.3,9.62,11.13,28.84,14.57,72.11,2.88,72.11,2.88,0,193.48,4.6,4.18,17.3,1.92,0,230.76,2.88,70.11,17.3,100.17,10.41,96.15,28.26,48.08,0,4.04,9.62,19.23,7.73,26.36,22.11,29

56,13:45-14:00,100,246.67,93,98,47,137.49,210,90,48,49.33,7,4.17,14,33,14,33,12.49,33,0.33,4.17,9.62,64.06,17.09,9.62,11.13,28.84,14.57,72.11,2.88,72.11,2.88,0,193.48,4.6,4.18,17.09,1.92,0,271.86,2.88,70.11,17.09,100.17,10.41,96.15,29.27,48.08,0,4.04,9.62,19.23,7.73,26.36,22.11,29

57,14:00-14:15,100,246.67,90,97,45,136.03,207,88,47,49.33,7.2,4.17,14,33,14,33,12.49,33,0.33,4.17,9.62,64.06,16.04,9.62,11.04,28.84,14.57,72.11,2.88,72.11,2.88,0,193.48,4.37,4.35,16.04,1.92,0,271.86,2.88,70.11,16.04,100.17,10.41,96.15,28.26,48.08,0,4.04,9.62,19.23,7.73,29.36,22.11,32

58,14:15-14:30,100,246.67,90,95,45,130.28,203,87,46,49.33,8,4.17,14,33,14,33,12.49,33,0.33,4.17,9.62,64.06,15.24,9.62,11.04,28.84,14.57,72.11,2.88,72.11,2.88,0,193.48,4.37,4.35,15.24,1.92,0,271.86,2.88,70.11,15.24,100.17,10.41,96.15,28.26,48.08,0,4.04,9.62,19.23,7.73,29.36,22.11,32

59,14:30-14:45,100,246.67,91,90,46,124.24,193,82,42,49.33,11.41,4.17,14,33,14,33,12.49,33,3.33,4.17,9.62,64.06,14.43,9.62,11.04,28.84,14.57,72.11,2.88,72.11,2.88,0,193.48,4.37,4.35,14.43,1.92,0,271.86,2.88,70.11,14.43,100.17,10.41,96.15,28.26,48.08,0,4.04,9.62,19.23,7.73,29.36,22.11,32

60,14:45-15:00,100,246.67,87,88,43,115.97,182,78,39,49.33,13.01,4.17,14,33,14,33,12.49,33,3.33,4.17,9.62,74.55,13.79,9.62,11.04,28.84,14.57,72.11,2.88,72.11,2.88,0,228.75,4.37,4.35,13.79,1.92,0,271.86,2.88,70.11,13.79,100.17,10.41,96.15,29.27,48.08,0,4.04,9.62,19.23,7.73,29.36,22.11,32

61,15:00-15:15,100,243.33,81,85,41,110.9,172,73,37,48.67,14.01,4.17,14,33,14,33,12.49,33,3.33,4.17,9.62,74.55,12.55,9.62,10.95,28.84,14.57,72.11,2.88,72.11,2.88,0,228.75,4.3,4.35,12.55,1.92,0,271.86,2.88,70.11,12.55,100.17,10.41,96.15,29.77,48.08,0,4.04,9.62,19.23,7.73,27.44,22.11,30.08

