Block,Time,BSIUL,DADRT2,DULHASTI,KOTESHWR,PARBATI3,TelanganaSTPP,UNCHAHAR2,URI2,ANTA_CRF,ANTA_GF,AURY_CRF,DADRI_RF,CHAMERA2,KGSU1AND2,KKNP,KKNPPU2,NLCEXP,NNTPP,SALAL,SIMHST1,SIMHST2,CHAMERA3,JHAJJAR,KGSU3AND4,KHSTPP-I,NLCIIST1,NTPL,RIHAND1,RIHAND2,RSTPSU1TO6,SINGRAULI,TANDA2,ANTA_LF,CHAMERA1,FSTPP I & II,KUDGI,NLCTS2EXP,RAMPUR,RIHAND3,TANAKPUR,TEHRI,URI,NJPC,RAPPB,RAPPC,RSTPSU7,SEWA2,AURY_LF,KOLDAM,UNCHAHAR4,ANTA_RF,BRBCL,DHAULIGNGA,KHSTPP-II,NAPP,NLCIIST2,SINGRAULI_HYDRO,TALA,UNCHAHAR3,VALLURNTECL,AURY_GF,AURY_RF,DADRI_GF,KISHANGANGA,MAPS,SASAN,TALST2,UNCHAHAR1,DADRI_CRF,DADRI_LF
6,01:15-01:30,0,686.07,53.79,38.64,39.35,0,43.71,36.05,0,0,0,79.48,44.22,0,0,0,0,0,83.67,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,9.48,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,11.03,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

7,01:30-01:45,0,686.07,53.79,38.64,32.33,0,43.71,22.16,0,0,0,79.48,44.22,0,0,0,0,0,83.67,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,4.35,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,11.03,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

8,01:45-02:00,0,686.07,53.79,38.64,32.33,0,43.71,22.16,0,0,0,79.48,44.22,0,0,0,0,0,83.67,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,4.35,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,11.03,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

9,02:00-02:15,0,686.07,53.79,38.64,32.33,0,43.71,24.38,0,0,0,79.48,44.22,0,0,0,0,0,83.67,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,4.35,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,11.03,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

10,02:15-02:30,0,686.07,53.79,38.64,32.33,0,43.71,24.38,0,0,0,79.48,44.22,0,0,0,0,0,83.67,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,4.35,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,11.03,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

11,02:30-02:45,0,686.07,53.79,38.64,21.08,0,43.71,24.38,0,0,0,79.48,44.22,0,0,0,0,0,83.67,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,9.48,65.71,38.64,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,11.03,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

12,02:45-03:00,0,686.07,53.79,38.64,21.08,0,43.71,24.38,0,0,0,79.48,44.22,0,0,0,0,0,83.67,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,4.35,65.71,38.64,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,11.03,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

13,03:00-03:15,0,686.07,53.79,38.64,17.99,0,43.71,24.38,0,0,0,79.48,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,4.35,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,11.17,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

14,03:15-03:30,0,686.07,53.79,38.64,17.99,0,43.71,24.38,0,0,0,79.48,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,4.35,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,11.17,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

15,03:30-03:45,0,686.07,53.79,38.64,17.99,0,43.71,24.38,0,0,0,79.48,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,4.35,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,11.17,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

16,03:45-04:00,0,686.07,53.79,38.64,17.99,0,43.71,24.38,0,0,0,79.48,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,9.48,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,11.17,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

17,04:00-04:15,0,686.07,53.79,38.64,30.92,0,43.71,24.38,0,0,0,79.48,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,6.4,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,11.17,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

18,04:15-04:30,0,686.07,53.79,38.64,30.92,0,43.71,24.38,0,0,0,79.48,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,6.4,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,11.17,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

19,04:30-04:45,0,686.07,53.79,38.64,30.92,0,43.71,24.38,0,0,0,79.48,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,6.4,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,10.88,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

20,04:45-05:00,0,686.07,53.79,38.64,30.92,0,43.71,24.38,0,0,0,79.48,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,6.4,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,10.88,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

21,05:00-05:15,0,686.07,53.79,38.64,30.92,0,43.71,24.38,0,0,0,79.48,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,11.53,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,10.73,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

22,05:15-05:30,0,686.07,53.79,38.64,30.92,0,43.71,24.38,0,0,0,79.48,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,6.4,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,10.73,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

23,05:30-05:45,0,686.07,53.79,38.64,11.24,0,43.71,24.38,0,0,0,79.48,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,6.4,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,10.44,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

24,05:45-06:00,0,686.07,53.79,38.64,36.54,0,43.71,24.38,0,0,0,79.48,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,6.4,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,10.44,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

25,06:00-06:15,0,686.07,53.79,38.64,36.54,0,43.71,24.38,0,0,0,76.64,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,6.4,65.71,38.64,167.1,0,60.38,0,0,0,5.35,1.62,47.31,15,40.4,148.3,45.1,0,0.96,10.14,27.05,0,0,76.72,0,4.32,0,399.38,0,20.96,0,0

26,06:15-06:30,0,686.07,53.79,38.64,36.54,0,43.71,24.38,0,0,0,76.64,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,11.53,65.71,38.64,167.1,0,60.38,0,0,0,5.35,1.62,47.31,15,40.4,148.3,45.1,0,0.96,10.29,27.05,0,0,76.72,0,4.32,0,399.38,0,20.96,0,0

27,06:30-06:45,0,686.07,53.79,38.64,36.54,0,43.71,24.38,0,0,0,76.64,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,6.15,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,47.31,15,40.4,148.3,45.1,0,0.96,10,27.05,0,0,76.72,0,4.32,0,399.38,0,20.96,0,0

28,06:45-07:00,0,686.07,53.79,38.64,36.54,0,43.71,24.38,0,0,0,76.64,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,6.15,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,47.31,15,40.4,148.3,45.1,0,0.96,9.85,27.05,0,0,76.72,0,4.32,0,399.38,0,20.96,0,0

29,07:00-07:15,0,686.07,53.79,38.64,36.54,0,43.71,24.38,0,0,0,76.64,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,6.15,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,47.31,15,40.4,148.3,45.1,0,0.96,9.7,27.05,0,0,76.72,0,4.32,0,399.38,0,20.96,0,0

30,07:15-07:30,0,686.07,53.79,38.64,21.08,0,43.71,24.38,0,0,0,76.64,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,6.15,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,47.31,15,40.4,148.3,45.1,0,0.96,9.7,27.05,0,0,76.72,0,4.32,0,399.38,0,20.96,0,0

31,07:30-07:45,0,686.07,53.79,38.64,21.08,0,43.71,36.05,0,0,0,76.64,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,6.15,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,47.31,15,40.4,148.3,45.1,0,0.96,9.7,27.05,0,0,76.72,0,4.32,0,399.38,0,20.96,0,0

32,07:45-08:00,0,686.07,53.79,38.64,21.08,0,43.71,36.05,0,0,0,76.64,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,11.53,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,47.31,15,40.4,148.3,45.1,0,0.96,9.7,27.05,0,0,76.72,0,4.32,0,399.38,0,20.96,0,0

33,08:00-08:15,0,686.07,53.79,38.64,21.08,0,43.71,36.05,0,0,0,76.64,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,5.89,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,46.72,15,40.4,148.3,45.1,0,0.96,9.85,27.05,0,0,76.72,0,4.32,0,399.38,0,20.96,0,0

34,08:15-08:30,0,686.07,53.79,38.64,21.08,0,43.71,36.05,0,0,0,76.64,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,5.89,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,46.72,15,40.4,148.3,45.1,0,0.96,9.85,27.05,0,0,76.72,0,4.32,0,399.38,0,20.96,0,0

35,08:30-08:45,0,686.07,53.79,38.64,30.92,0,43.71,22.16,0,0,0,76.64,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,5.89,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,46.72,15,40.4,148.3,45.1,0,0.96,10,27.05,0,0,76.72,0,4.32,0,399.38,0,20.96,0,0

36,08:45-09:00,0,686.07,53.79,38.64,30.92,0,43.71,22.16,0,0,0,76.64,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,5.89,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,46.72,15,40.4,148.3,45.1,0,0.96,10,27.05,0,0,76.72,0,4.32,0,399.38,0,20.96,0,0

37,09:00-09:15,0,686.07,53.79,38.64,30.92,0,43.71,22.16,0,0,0,76.64,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,86.93,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,5.89,65.71,26.49,167.1,0,60.38,0,0,0,5.35,1.62,46.72,15,40.4,148.3,45.1,0,0.96,10.14,27.05,0,0,76.72,0,4.32,0,388.12,0,20.96,0,0

38,09:15-09:30,0,686.07,53.79,38.64,30.92,0,43.71,22.16,0,0,0,76.64,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,94.65,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,11.53,65.71,26.49,167.1,0,60.38,0,0,0,5.35,1.62,46.72,15,40.4,148.3,45.1,0,0.96,10.29,27.05,0,0,76.72,0,4.32,0,388.12,0,20.96,0,0

39,09:30-09:45,0,686.07,53.79,38.64,21.08,0,43.71,36.05,0,0,0,76.64,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,94.65,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,5.89,65.71,38.64,167.1,0,60.38,0,0,0,5.35,1.62,46.72,15,40.4,148.3,45.1,0,0.96,10.29,27.05,0,0,76.72,0,4.32,0,388.12,0,20.96,0,0

40,09:45-10:00,0,686.07,53.79,38.64,21.08,0,43.71,36.05,0,0,0,76.64,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,94.65,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,5.89,65.71,38.64,167.1,0,60.38,0,0,0,5.35,1.62,46.72,15,40.4,148.3,45.1,0,0.96,10.29,27.05,0,0,76.72,0,4.32,0,388.12,0,20.96,0,0

41,10:00-10:15,6.52,686.07,53.79,28.98,21.08,0,43.71,24.38,0,0,0,73.8,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,94.65,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,6.4,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,46.72,15,40.4,148.3,45.1,0,0.96,10.29,27.05,0,0,76.72,0,4.32,0,388.12,0,20.96,0,0

42,10:15-10:30,6.52,686.07,53.79,28.98,21.08,0,43.71,24.38,0,0,0,73.8,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,94.65,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,5.89,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,46.13,15,40.4,148.3,45.1,0,0.96,10.29,27.05,0,0,76.72,0,4.32,0,388.12,0,20.96,0,0

43,10:30-10:45,13.04,686.07,53.79,28.98,21.08,0,43.71,24.38,0,0,0,73.8,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,94.65,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,5.89,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,46.13,15,40.4,148.3,45.1,0,0.96,10.29,27.05,0,0,76.72,0,4.32,0,388.12,0,20.96,0,0

44,10:45-11:00,13.04,686.07,53.79,28.98,21.08,0,43.71,24.38,0,0,0,73.8,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,94.65,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,11.53,65.71,33.12,167.1,0,60.38,0,0,0,5.35,1.62,46.13,15,40.4,148.3,45.1,0,0.96,10.29,27.05,0,0,76.72,0,4.32,0,388.12,0,20.96,0,0

45,11:00-11:15,13.04,686.07,53.79,28.98,21.08,0,43.71,24.38,0,0,0,73.8,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,94.65,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,7.05,65.71,33.12,167.1,0,60.38,0,5.79,0,5.35,1.62,46.13,15,40.4,148.3,45.1,0,0.96,10.29,27.05,0,0,76.72,0,4.32,0,388.12,0,20.96,0,0

46,11:15-11:30,13.04,686.07,53.79,28.98,21.08,0,43.71,24.38,0,0,0,73.8,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,94.65,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,7.05,65.71,33.12,167.1,0,60.38,0,5.79,0,5.35,1.62,46.13,15,40.4,148.3,45.1,0,0.96,10.29,27.05,0,0,76.72,0,4.32,0,388.12,0,20.96,0,0

47,11:30-11:45,19.56,686.07,53.79,28.98,21.08,0,43.71,29.56,0,0,0,73.8,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,94.65,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,7.05,65.71,33.12,167.1,0,60.38,0,5.79,0,5.35,1.62,46.13,15,40.4,148.3,45.1,0,0.96,10.29,27.05,0,0,76.72,0,4.32,0,388.12,0,20.96,0,0

48,11:45-12:00,19.56,686.07,53.79,28.98,21.08,0,43.71,29.56,0,0,0,73.8,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,94.65,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,7.05,65.71,33.12,167.1,0,60.38,0,5.79,0,5.35,1.62,46.13,15,40.4,148.3,45.1,0,0.96,10.29,27.05,0,0,76.72,0,4.32,0,388.12,0,20.96,0,0

49,12:00-12:15,19.56,686.07,53.79,28.98,21.08,0,43.71,29.56,0,0,0,73.8,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,94.65,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,5.89,65.71,38.64,167.1,0,60.38,0,5.79,0,5.35,1.62,45.53,15,40.4,148.3,45.1,0,0.96,10.29,27.05,0,0,76.47,0,4.32,0,388.12,0,20.96,0,0

50,12:15-12:30,19.56,686.07,53.79,28.98,21.08,0,43.71,29.56,0,0,0,73.8,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,94.65,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,5.89,65.71,38.64,167.1,0,60.38,0,5.79,0,5.35,1.62,45.53,15,40.4,148.3,45.1,0,0.96,10.29,27.05,0,0,76.47,0,4.32,0,388.12,0,20.96,0,0

51,12:30-12:45,19.56,686.07,53.79,28.98,21.08,0,43.71,29.56,0,0,0,73.8,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,94.65,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,7.05,65.71,33.12,167.1,0,60.38,0,5.79,0,5.35,1.62,45.53,15,40.4,148.3,45.1,0,0.96,10.29,27.05,0,0,76.47,0,4.32,0,388.12,0,20.96,0,0

52,12:45-13:00,19.56,686.07,53.79,28.98,21.08,0,43.71,29.56,0,0,0,73.8,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,94.65,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,7.05,65.71,33.12,167.1,0,60.38,0,5.79,0,5.35,1.62,45.53,15,40.4,148.3,45.1,0,0.96,10.29,27.05,0,0,76.47,0,4.32,0,388.12,0,20.96,0,0

53,13:00-13:15,19.56,686.07,50.96,28.98,21.08,0,43.71,29.56,0,0,0,73.8,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,94.65,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,7.05,65.71,30.91,167.1,0,60.38,0,5.79,0,5.35,1.62,45.53,15,40.4,148.3,45.1,0,0.9,9.85,27.05,0,0,76.47,0,4.32,0,388.12,0,20.96,0,0

54,13:15-13:30,19.56,686.07,50.96,28.98,21.08,0,43.71,29.56,0,0,0,73.8,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,94.65,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,7.05,65.71,30.91,167.1,0,60.38,0,5.79,0,5.35,1.62,45.53,15,40.4,148.3,45.1,0,0.9,9.85,27.05,0,0,76.47,0,4.32,0,388.12,0,20.96,0,0

55,13:30-13:45,19.56,686.07,50.96,28.98,21.08,0,43.71,29.56,0,0,0,73.8,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,94.65,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,7.05,65.71,30.91,167.1,0,60.38,0,5.79,0,5.35,1.62,45.53,15,40.4,148.3,45.1,0,0.9,9.85,27.05,0,0,76.47,0,4.32,0,388.12,0,20.96,0,0

56,13:45-14:00,19.56,686.07,50.96,28.98,21.08,0,43.71,29.56,0,0,0,73.8,44.22,0,0,0,0,0,79.6,0,0,32.08,413.83,0,32.17,0,0,94.65,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,7.05,65.71,30.91,167.1,0,60.38,0,5.79,0,5.35,1.62,45.53,15,40.4,148.3,45.1,0,0.9,9.85,27.05,0,0,76.47,0,4.32,0,388.12,0,20.96,0,0

