Column1,Block,NR/2024/22535/A/33269,NR/2024/22718/C,NR/2024/22534/A/33270,NR/2024/21658/A/33222,NR/2024/22715/C,NR/2024/21943/A/33519,NR/2024/21933/A/33209,NR/2024/22042/A/33192,NR/2024/21860/A/33470,NR/2024/21956/A/33522,NR/2024/21814/A/33534,NR/2024/22498/A/33501,NR/2024/21974/A/33533,NR/2024/21938/A/33482,NR/2024/21971/A/33531,NR/2024/22014/A/33193,NR/2024/21983/A/33208,NR/2024/21961/A/33481,NR/2024/21918/A/33487,NR/2024/22279/A/33189,NR/2024/21954/A/33520,NR/2024/21940/A/33521,GNA/NR/2024/08/22/7956,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/2024/21966/A/33420,NR/2024/21911/A/33457,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/jitpl,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/2024/22739/C,NR/2024/22719/C,NR/2024/22720/C,NR/2024/22722/C,NR/2024/22743/C,NR/2024/21968/A/33529,NR/2024/22010/A/33503,NR/2024/21970/A/33530,NR/2024/22623/A/33268,GNA/NR/2024/08/22/6290,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),Total
3,00:30-00:45,0,0,0,0.63,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,38.63,0,0,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,125.54,96.57,12.44,48.28,24.14,1578.7300000000002

4,00:45-01:00,0,0,0,0.63,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,38.63,0,0,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,125.54,96.57,12.44,48.28,24.14,1578.7300000000002

5,01:00-01:15,0,0,0,0.58,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,38.63,0,0,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1453.1400000000003

6,01:15-01:30,0,0,0,0.58,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,38.63,0,0,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1453.1400000000003

7,01:30-01:45,0,0,0,0.58,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,38.63,0,0,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1453.1400000000003

8,01:45-02:00,0,0,0,0.58,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,38.63,0,0,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1453.1400000000003

9,02:00-02:15,0,0,0,0.58,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,38.63,0,3,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1456.1400000000003

10,02:15-02:30,0,0,0,0.58,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,38.63,0,3,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1456.1400000000003

11,02:30-02:45,0,0,0,0.58,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,38.63,0,18.5536,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1471.6936000000003

12,02:45-03:00,0,0,0,0.58,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,38.63,0,18.5536,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1471.6936000000003

13,03:00-03:15,0,0,0,0.58,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.41,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1467.7916000000002

14,03:15-03:30,0,0,0,0.58,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.41,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1467.7916000000002

15,03:30-03:45,0,0,0,0.58,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.41,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1467.7916000000002

16,03:45-04:00,0,0,0,0.58,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.41,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1467.7916000000002

17,04:00-04:15,0,0,0,0.53,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.41,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1467.7416000000003

18,04:15-04:30,0,0,0,0.53,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.41,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1467.7416000000003

19,04:30-04:45,0,0,0,0.53,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.41,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1467.7416000000003

20,04:45-05:00,0,0,0,0.53,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.41,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1467.7416000000003

21,05:00-05:15,0,0,0,0.53,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.41,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1424.2816000000003

22,05:15-05:30,0,0,0,0.53,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.41,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1424.2816000000003

23,05:30-05:45,0,0,0,0.53,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.41,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1424.2816000000003

24,05:45-06:00,0,0,0,0.53,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.41,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,7.73,0,96.57,12.44,48.28,24.14,1423.3216000000002

25,06:00-06:15,0,0,0,0.63,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,7.73,0,96.57,12.44,48.28,24.14,1292.7816000000003

26,06:15-06:30,0,0,0,0.63,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,7.73,0,96.57,12.44,48.28,24.14,1292.7816000000003

27,06:30-06:45,0,0,0,0.63,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,7.73,0,96.57,12.44,48.28,24.14,1292.7816000000003

28,06:45-07:00,0,0.1,0,0.63,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,7.73,0,96.57,12.44,48.28,24.14,1292.8816000000002

29,07:00-07:15,0,0.56,0,0.72,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,7.73,0,96.57,12.44,48.28,24.14,1293.4316000000003

30,07:15-07:30,0,0.86,0,0.72,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,7.73,0,96.57,12.44,48.28,24.14,1293.7316000000003

31,07:30-07:45,0,1.14,0,0.72,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,7.73,0,96.57,12.44,48.28,24.14,1294.0116000000003

32,07:45-08:00,0,1.55,0,0.72,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,7.73,0,96.57,12.44,48.28,24.14,1294.4216000000004

33,08:00-08:15,0,1.86,0,0.97,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1295.9416000000003

34,08:15-08:30,0,1.98,0,0.97,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1296.0616000000002

35,08:30-08:45,0,1.99,0,0.97,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,0,96.57,12.44,48.28,24.14,1296.0716000000002

36,08:45-09:00,0,2.88,0,0.97,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,9.66,0,96.57,12.44,48.28,24.14,1297.9316000000003

37,09:00-09:15,10.62,3.85,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,9.66,0,0,12.44,0,0,1352.0115999999998

38,09:15-09:30,10.62,5.29,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,11.59,0,0,12.44,0,0,1355.3815999999997

39,09:30-09:45,10.62,3.71,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,11.59,0,0,12.44,0,0,1353.8015999999998

40,09:45-10:00,10.62,4.12,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,11.59,0,0,12.44,0,0,1354.2115999999996

41,10:00-10:15,10.62,5.72,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,11.59,0,0,12.44,0,0,1355.8115999999998

42,10:15-10:30,10.62,4.13,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1355.1815999999997

43,10:30-10:45,10.62,5.36,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1356.4115999999997

44,10:45-11:00,10.62,4.11,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1355.1615999999997

45,11:00-11:15,10.62,5.77,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1356.8215999999998

46,11:15-11:30,10.62,6.39,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1357.4415999999997

47,11:30-11:45,10.62,5.27,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1356.3215999999998

48,11:45-12:00,10.62,7.11,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1358.1615999999997

49,12:00-12:15,9.17,7.12,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,15.95,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1356.5315999999998

50,12:15-12:30,9.08,8.83,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,15.95,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1358.1516

51,12:30-12:45,9.08,9.66,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,15.95,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1358.9815999999998

52,12:45-13:00,9.08,7.3,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,15.95,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1356.6216

53,13:00-13:15,8.98,7.31,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,15.95,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1356.5315999999998

54,13:15-13:30,8.98,8.97,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,15.95,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1358.1915999999999

55,13:30-13:45,8.98,7,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,15.95,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1356.2215999999999

56,13:45-14:00,8.98,6.83,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,15.95,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1356.0516

57,14:00-14:15,8.98,4.3,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1353.7115999999996

58,14:15-14:30,8.88,5.21,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,26.8708,26.8708,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1354.5215999999998

59,14:30-14:45,8.79,7.64,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,24.0835,24.0835,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1351.2869999999998

