Block,Time,DADRT2,MAPS,NLCEXP,SASAN,TANAKPUR,UNCHAHAR1,KKNPPU2,NLCIIST1,RAMPUR,RIHAND2,TANDA2,URI2,AURY_LF,DADRI_CRF,CHAMERA1,CHAMERA2,KHSTPP-II,KISHANGANGA,RAPPC,DADRI_GF,KKNP,KOLDAM,NAPP,NJPC,TALA,UNCHAHAR3,CHAMERA3,DHAULIGNGA,NTPL,RIHAND3,RSTPSU7,SALAL,UNCHAHAR2,VALLURNTECL,ANTA_GF,ANTA_LF,AURY_GF,DADRI_RF,KGSU3AND4,KUDGI,SIMHST2,TEHRI,AURY_CRF,DADRI_LF,BRBCL,BSIUL,KGSU1AND2,NLCTS2EXP,PARBATI3,RIHAND1,RSTPSU1TO6,SIMHST1,SINGRAULI,SINGRAULI_HYDRO,UNCHAHAR4,ANTA_CRF,AURY_RF,DULHASTI,FSTPP I & II,JHAJJAR,KHSTPP-I,KOTESHWR,NLCIIST2,NNTPP,RAPPB,SEWA2,TALST2,TelanganaSTPP,URI,ANTA_RF
15,03:30-03:45,683.14,0,0,180,0,20.55,0,0,0,118.76,0,23.54,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,69.72,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.42

16,03:45-04:00,683.14,0,0,180,0,20.55,0,0,0,118.76,0,23.54,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.52

17,04:00-04:15,683.14,0,0,180,0,20.55,0,0,0,118.76,0,23.54,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.52

18,04:15-04:30,683.14,0,0,180,0,20.55,0,0,0,118.76,0,23.54,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.52

19,04:30-04:45,683.14,0,0,180,5.76,20.55,0,0,0,118.76,0,23.54,0,0,0,3.34,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,12.1,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.52

20,04:45-05:00,683.14,0,0,180,5.76,20.55,0,0,0,118.76,0,23.54,0,0,0,13.17,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,12.1,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.52

21,05:00-05:15,683.14,0,0,180,5.76,20.55,0,0,0,118.76,0,23.54,0,0,0,13.17,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,24.19,0,0,20,13.04,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.52

22,05:15-05:30,683.14,0,0,180,5.76,20.55,0,0,0,118.76,0,23.54,0,0,0,13.17,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,36.29,0,0,20,13.04,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.52

23,05:30-05:45,683.14,0,0,180,5.76,20.55,0,0,0,118.76,0,23.54,0,0,13.99,13.17,148.3,0,25.51,0,0,0,20.94,2.84,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,36.29,0,0,20,13.04,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.73

24,05:45-06:00,683.14,0,0,180,5.76,20.55,0,0,0,118.76,0,23.54,0,0,28.05,13.17,148.3,0,25.51,0,0,0,20.94,20.84,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,36.29,0,0,20,13.04,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.73

25,06:00-06:15,683.14,0,0,180,5.76,20.55,0,0,0,118.76,0,23.54,0,0,42.15,13.17,148.3,0,25.51,0,0,0,20.94,41.67,0,26.4,9.68,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,36.29,0,0,20,13.04,0,0,3.82,92,0,0,139.69,0.71,0,0,70.81,16.48,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,39.75,44.73

26,06:15-06:30,683.14,0,0,180,0.25,20.55,0,0,0,118.76,0,23.54,0,0,42.15,13.17,148.3,0,25.51,0,0,0,20.94,58.05,0,26.4,19.35,8.06,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,48.38,0,0,20,13.04,0,0,16.54,92,0,0,139.69,0.71,0,0,70.81,32.96,20.8,434.65,45.53,17.75,0,0,0,16.53,0,0,39.75,44.73

27,06:30-06:45,683.14,0,0,180,0.25,20.55,0,0,0,118.76,0,23.54,0,0,42.15,39.51,148.3,0,25.51,0,0,0,20.94,83.33,0,26.4,29.06,27.41,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,48.38,0,0,20,19.56,0,0,16.54,92,0,0,139.69,0.71,0,0,70.81,49.43,20.8,434.65,45.53,39.05,0,0,0,16.93,0,0,39.75,44.73

28,06:45-07:00,683.14,0,0,180,0.25,20.55,0,0,0,118.76,0,23.54,0,0,42.15,39.51,148.3,0,25.51,0,0,0,20.94,116.95,0,26.4,29.06,27.41,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,49.64,0,0,20,19.56,0,0,16.54,92,0,0,139.69,0.71,0,0,70.81,49.43,20.8,434.65,45.53,39.05,0,0,0,16.93,0,0,39.75,44.73

29,07:00-07:15,683.14,0,0,180,1.79,20.55,0,0,0,118.76,0,23.54,0,0,42.15,39.51,148.3,0,25.51,0,0,0,20.94,116.95,0,26.4,29.06,27.41,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,49.64,0,0,20,19.56,0,0,16.54,92,0,0,139.69,0.71,0,0,70.81,49.43,20.8,434.65,45.53,39.05,0,0,0,16.93,0,0,39.75,44.73

30,07:15-07:30,683.14,0,0,180,1.79,20.55,0,0,0,118.76,0,23.54,0,0,42.15,39.51,148.3,0,25.51,0,0,0,20.94,116.95,0,26.4,29.06,27.41,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,49.64,0,0,20,19.56,0,0,16.54,92,0,0,139.69,0.71,0,0,70.81,49.43,20.8,434.65,45.53,39.05,0,0,0,16.93,0,0,39.75,44.73

31,07:30-07:45,683.14,0,0,180,1.79,20.55,0,0,0,118.76,0,22.2,0,0,42.15,39.51,148.3,0,25.51,0,0,0,20.94,116.95,0,26.4,29.06,27.41,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,49.64,0,0,20,19.56,0,0,16.54,92,0,0,139.69,0.71,0,0,70.81,49.43,20.8,434.65,45.53,39.05,0,0,0,16.93,0,0,39.75,44.73

32,07:45-08:00,683.14,0,0,180,1.79,20.55,0,0,0,118.76,0,22.2,0,0,42.15,39.51,148.3,0,25.51,0,0,0,20.94,116.95,0,26.4,29.06,27.41,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,49.64,0,0,20,19.56,0,0,3.57,92,0,0,139.69,0.71,0,0,70.81,49.43,20.8,434.65,45.53,39.05,0,0,0,16.93,0,0,39.75,44.73

33,08:00-08:15,683.14,0,0,180,1.79,20.55,0,0,0,118.76,0,22.2,0,0,42.15,39.51,148.3,0,25.51,0,0,0,20.94,83.33,0,26.4,29.06,18.27,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,48.63,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,32.96,20.8,434.65,45.53,17.75,0,0,0,16.53,0,0,33.12,44.52

34,08:15-08:30,683.14,0,0,180,1.79,20.55,0,0,0,118.76,0,22.2,0,0,42.15,26.34,148.3,0,25.51,0,0,0,20.94,62.51,0,26.4,19.35,15.98,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,48.63,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,16.48,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.42

35,08:30-08:45,683.14,0,0,180,1.79,20.55,0,0,0,118.76,0,22.2,0,0,42.15,13.17,148.3,0,25.51,0,0,0,20.94,41.67,0,26.4,9.68,1.32,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,48.63,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.42

36,08:45-09:00,683.14,0,0,180,1.79,20.55,0,0,0,118.76,0,22.2,0,0,42.15,13.17,148.3,0,25.51,0,0,0,20.94,41.67,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,36.29,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.42

37,09:00-09:15,683.14,0,0,180,1.79,20.55,0,0,0,118.76,0,22.2,0,0,42.15,13.17,148.3,0,25.51,0,0,0,20.94,19.5,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,36.29,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,37.53,44.21

38,09:15-09:30,683.14,0,0,180,1.79,20.55,0,0,0,118.76,0,22.2,0,0,42.15,13.17,148.3,0,25.51,0,0,0,20.94,18.94,0,26.4,0,0,0,62.16,0,13.95,42.39,0,0,0,0,59.73,0,0,0,36.29,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,37.53,43.99

39,09:30-09:45,683.14,0,0,180,1.79,20.55,0,0,0,118.76,0,22.2,0,0,42.15,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,69.72,42.39,0,0,0,0,59.73,0,0,0,36.29,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,37.53,43.57

40,09:45-10:00,683.14,0,0,180,1.79,20.55,0,0,0,118.76,0,22.2,0,0,42.15,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,69.72,42.39,0,0,0,0,59.73,0,0,0,36.29,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,37.53,43.57

41,10:00-10:15,683.14,0,0,180,1.79,20.55,0,0,0,118.76,0,22.2,0,0,28.05,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,69.72,42.39,0,0,0,0,59.73,0,0,0,36.29,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,43.47

42,10:15-10:30,683.14,0,0,180,1.79,20.55,0,0,0,118.76,0,22.2,0,0,13.99,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,69.72,42.39,0,0,0,0,59.73,0,0,0,24.83,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,43.26

43,10:30-10:45,683.14,0,0,180,1.79,20.55,0,0,0,118.76,0,22.2,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.95,42.39,0,0,0,0,59.73,0,0,0,24.83,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,43.05

44,10:45-11:00,683.14,0,0,180,1.79,20.55,0,0,0,118.76,0,22.2,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,24.83,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,42.84

45,11:00-11:15,683.14,0,0,180,1.79,20.55,0,0,0,118.76,0,32.28,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,24.83,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,42.73

46,11:15-11:30,683.14,0,0,180,1.79,20.55,0,0,0,118.76,0,32.28,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,24.83,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,42.52

47,11:30-11:45,683.14,0,0,180,1.15,20.55,0,0,0,118.76,0,32.28,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,24.83,0,0,20,6.52,0,0,0,92,0,0,139.69,0.73,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,42.52

48,11:45-12:00,683.14,0,0,180,1.15,20.55,0,0,0,118.76,0,32.28,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,24.83,0,0,20,6.52,0,0,0,92,0,0,139.69,0.73,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,42.32

49,12:00-12:15,683.14,0,0,180,1.15,20.55,0,0,0,118.76,0,32.28,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,12.41,0,0,20,6.52,0,0,0,92,0,0,139.69,0.73,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,26.49,42.32

50,12:15-12:30,683.14,0,0,180,1.15,20.55,0,0,0,118.76,0,32.28,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,12.41,0,0,20,6.52,0,0,0,92,0,0,139.69,0.73,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,26.49,42

51,12:30-12:45,683.14,0,0,180,1.15,20.55,0,0,0,118.76,0,22.2,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,6.52,0,0,0,92,0,0,139.69,0.73,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,26.49,41.9

52,12:45-13:00,683.14,0,0,180,1.15,20.55,0,0,0,118.76,0,22.2,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,6.52,0,0,0,92,0,0,139.69,0.73,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,26.49,41.9

53,13:00-13:15,683.14,0,0,180,1.15,20.55,0,0,0,118.76,0,22.2,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,6.52,0,0,0,92,0,0,139.69,0.73,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,41.9

54,13:15-13:30,683.14,0,0,180,1.15,20.55,0,0,0,118.76,0,22.2,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,6.52,0,0,0,92,0,0,139.69,0.73,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,41.68

55,13:30-13:45,683.14,0,0,180,1.15,20.55,0,0,0,118.76,0,22.2,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,6.52,0,0,0,92,0,0,139.69,0.73,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,41.68

56,13:45-14:00,683.14,0,0,180,1.15,20.55,0,0,0,118.76,0,22.2,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,6.52,0,0,0,92,0,0,139.69,0.73,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,41.48

57,14:00-14:15,683.14,0,0,140.62,1.15,20.55,0,0,0,118.76,0,32.28,0,0,0,13.17,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,12.41,0,0,20,6.52,0,0,0,92,0,0,139.69,0.73,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,26.49,41.48

58,14:15-14:30,683.14,0,0,140.62,1.15,20.55,0,0,0,118.76,0,32.28,0,0,0,13.17,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,13.36,42.39,0,0,0,0,59.73,0,0,0,12.41,0,0,20,6.52,0,0,0,92,0,0,139.69,0.73,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,26.49,41.48

59,14:30-14:45,683.14,0,0,140.62,1.15,20.55,0,0,0,118.76,0,32.28,0,0,0,13.17,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,24.83,0,0,20,6.52,0,0,0,92,0,0,139.69,0.73,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,26.49,41.48

60,14:45-15:00,683.14,0,0,140.62,1.15,20.55,0,0,0,118.76,0,32.28,0,0,0,13.17,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,24.83,0,0,20,6.52,0,0,0,92,0,0,139.69,0.73,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,26.49,41.48

61,15:00-15:15,683.14,0,0,140.62,1.15,20.55,0,0,0,118.76,0,32.28,0,0,0,13.17,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,24.83,0,0,20,6.52,0,0,0,92,0,0,139.69,0.73,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,41.48

62,15:15-15:30,683.14,0,0,140.62,1.15,20.55,0,0,0,118.76,0,32.28,0,0,0,13.17,148.3,0,25.51,0,0,0,20.94,2.75,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,24.83,0,0,20,6.52,0,0,0,92,0,0,139.69,0.73,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,41.48

63,15:30-15:45,683.14,0,0,140.62,0,20.55,0,0,0,118.76,0,22.2,0,0,0,13.17,148.3,0,25.51,0,0,0,20.94,20.84,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,24.83,0,0,20,6.52,0,0,0,92,0,0,139.69,0.73,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,41.48

