,,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,MAHARASHTRA,ANDHRA PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,NA,MEGHALAYA,NA,HIMACHAL PRADESH,GOA,MAHARASHTRA,NA,HIMACHAL PRADESH,TAMIL NADU,UTTAR PRADESH,UTTARAKHAND,NA,DELHI,KERALA,HIMACHAL PRADESH,HIMACHAL PRADESH,MP,KARNATAKA,KERALA,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,WEST BENGAL,NA,NA,GOA,NA,HIMACHAL PRADESH,ANDHRA PRADESH,MAHARASHTRA,TAMIL NADU,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,NA,NA,NA,DELHI,
,,B_S_ISPAT_MH,HP,GBHHPL,SHPPBPL,Meghalaya_Ben,KWHEP,CHANJUII,B_S_ISPAT_MH,ITCWIND,SHPPBPL,Meghalaya_Ben,SHPPBPL,JPNIGRIE_JNSTPP,Meghalaya_Ben,JPL-2,SHPPBPL,GOA_Beneficiary,TPC MSEB,JPNIGRIE_JNSTPP,SHPPBPL,TANGEDCO,LAPL-UP,UTTARAKHAND,SKS Raigarh,BYPL,KSEB,SHPPBPL,HP,JP BINA,NSLSUGAR,KSEB,HP,Meghalaya_Ben,HP,IPCL_WB,JPL-2,KAMENG,GOA_Beneficiary,SKS Raigarh,SHPPBPL,ITCWIND,LMEL MSEB,TANGEDCO,GBHHPL,KAMENG,SHPPBPL,SHPPBPL,SORANG_HEP,TS1PL_BKN,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,TS1PL_BKN,BYPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,
,,NDMC,BYPL,DIAPL,MHIL,BYPL,BRPL,TPDDL,NDMC,ITCLH,AISHER,BYPL,BAL224,BRPL,BYPL,BRPL,BMDRC,BRPL,BYPL,TPDDL,MAX-HPTL,BRPL,BYPL,BYPL,NDMC,ASIL_UP,BYPL,UHL,BRPL,BRPL,MES (Delhi),BRPL,BRPL,BYPL,BRPL,NDMC,TPDDL,TPDDL,BRPL,NDMC,BAL184,ITCLH,BYPL,BYPL,DIAPL,BRPL,BAL234,JHPL-DL,TPDDL,BYPL,MES (Delhi),BYPL,BRPL,BRPL,VLSEZ,
,,West-North,North-North,North-North,North-North,North East-East-North,North-North,North-North,West-East-North,South-West-North,North-North,North East-East-North,North-North,West-North,North East-East-North,West-North,North-North,West-East-North,West-North,West-North,North-North,South-West-North,North-North,North-North,West-East-North,North-North,South-East-North,North-North,North-North,West-North,South-West-North,South-East-North,North-North,North East-East-North,North-North,East-North,West-North,North East-East-North,West-North,West-North,North-North,South-East-North,West-North,South-West-North,North-North,North East-East-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,North-East,
36,08:45:09:00,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,18.760000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,5.790000,21.240000,0.950000,1.010000,45.370000,14.7,2.34,25.5,34.3,59.5,65.000000,1682.62

37,09:00:09:15,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,18.760000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,5.790000,21.240000,0.950000,1.010000,45.370000,15.9,3.79,28.5,37.1,66.5,65.000000,1722.21

38,09:15-09:30,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,18.760000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,6.760000,21.240000,0.950000,1.010000,45.370000,21,3.79,27.9,49,65.1,65.000000,1738.18

39,09:30-09:45,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,18.760000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,8.690000,21.240000,0.950000,1.010000,45.370000,21.6,3.38,29.4,50.4,68.6,65.000000,1746.7

40,09:45-10:00,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,18.760000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,8.690000,21.240000,0.950000,1.010000,45.370000,23.1,3.38,31.5,53.9,73.5,65.000000,1758.7

41,10:00-10:15,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,90.750000,8.690000,21.240000,0.950000,1.010000,45.370000,26.1,3.38,31.5,60.9,73.5,65.000000,1854.56

42,10:15-10:30,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,90.750000,8.690000,21.240000,0.950000,1.010000,45.370000,27,3.38,33,63,77,65.000000,1862.56

43,10:30-10:45,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,90.750000,8.690000,21.240000,0.950000,1.010000,45.370000,24,3.86,36,56,84,65.000000,1863.04

44,10:45-11:00,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,90.750000,8.690000,21.240000,0.950000,1.010000,45.370000,24,3.86,36,56,84,65.000000,1863.04

45,11:00-11:15,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,90.750000,8.690000,21.240000,0.950000,1.010000,45.370000,24,4.15,36,56,84,65.000000,1863.33

46,11:15-11:30,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,90.750000,8.690000,21.240000,0.950000,1.010000,45.370000,24,4.05,36,56,84,65.000000,1863.23

47,11:30-11:45,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,90.750000,8.690000,21.240000,0.950000,1.010000,45.370000,24,4.05,36,56,84,65.000000,1863.23

48,11:45-12:00,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,90.750000,8.690000,21.240000,0.950000,1.010000,45.370000,24,5.31,36,56,84,65.000000,1864.49

49,12:00-12:15,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,90.750000,8.690000,21.240000,0.950000,1.010000,45.370000,24,6.28,36,56,84,65.000000,1865.46

50,12:15-12:30,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,90.750000,8.690000,21.240000,0.950000,1.010000,45.370000,24,6.84,36,56,84,65.000000,1866.02

51,12:30-12:45,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,90.750000,8.690000,21.240000,0.950000,1.010000,45.370000,24,9.22,36,56,84,65.000000,1868.4

52,12:45-13:00,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,90.750000,8.690000,21.240000,0.950000,1.010000,45.370000,24,6.76,36,56,84,65.000000,1865.94

53,13:00-13:15,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,90.750000,8.690000,21.240000,0.950000,1.010000,45.370000,24,6.28,36,56,84,65.000000,1865.46

54,13:15-13:30,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,90.750000,8.690000,21.240000,0.950000,1.010000,45.370000,24,4.34,36,56,84,65.000000,1863.52

55,13:30-13:45,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,90.750000,8.690000,21.240000,0.950000,1.010000,45.370000,24,3.86,36,56,84,65.000000,1863.04

56,13:45-14:00,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,90.750000,8.690000,21.240000,0.950000,1.010000,45.370000,21.6,3.86,36,50.4,84,65.000000,1855.04

57,14:00-14:15,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,23.100000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,106.190000,8.690000,21.240000,0.950000,1.010000,45.370000,20.4,3.38,36,47.6,84,65.000000,1889.1

58,14:15-14:30,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,23.100000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,106.190000,8.690000,21.240000,0.950000,1.010000,45.370000,19.8,3.38,36,46.2,84,65.000000,1887.1

59,14:30-14:45,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,23.100000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,106.190000,8.690000,21.240000,0.950000,1.010000,45.370000,18,3.38,36,42,84,0.000000,1816.1

60,14:45-15:00,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,13.870000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,23.100000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,106.190000,8.690000,21.240000,0.950000,1.010000,45.370000,17.1,2.9,36,39.9,84,0.000000,1812.62

61,15:00-15:15,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,18.760000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,23.100000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,106.190000,8.690000,21.240000,0.950000,1.010000,45.370000,14.7,2.9,36,34.3,84,0.000000,1809.51

62,15:15-15:30,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,18.760000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,23.100000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,106.190000,8.690000,21.240000,0.950000,1.010000,45.370000,17.1,1.93,30,39.9,70,0.000000,1796.54

63,15:30-15:45,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,18.760000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,23.100000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,106.190000,8.690000,21.240000,0.950000,1.010000,45.370000,12.6,1.93,30,29.4,70,0.000000,1781.54

64,15:45-16:00,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,18.760000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,23.100000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,106.190000,8.690000,21.240000,0.950000,1.010000,45.370000,9.9,1.93,30,23.1,70,0.000000,1772.54

65,16:00-16:15,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,18.940000,0.000000,0.820000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,23.100000,38.620000,48.270000,0.000000,0.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,106.190000,5.790000,21.240000,0.950000,1.010000,45.370000,8.1,1.93,30,18.9,70,0.000000,1736.56

66,16:15-16:30,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,18.940000,0.000000,0.820000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,23.100000,38.620000,48.270000,0.000000,0.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,106.190000,5.790000,21.240000,0.950000,1.010000,45.370000,9,1.84,27,21,63,0.000000,1729.47

67,16:30-16:45,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,18.940000,0.000000,0.820000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,23.100000,38.620000,48.270000,0.000000,0.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,106.190000,5.790000,21.240000,0.950000,1.010000,45.370000,9,1.84,24,21,56,0.000000,1719.47

68,16:45-17:00,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,18.940000,0.000000,0.820000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,23.100000,38.620000,48.270000,0.000000,0.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,24.140000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,106.190000,5.790000,21.240000,0.950000,1.010000,45.370000,4.5,1.08,24,10.5,56,0.000000,1703.71

69,17:00-17:15,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.120000,0.000000,0.820000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,0.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,48.270000,5.790000,21.240000,0.950000,1.010000,45.370000,4.5,1.08,21,10.5,49,0.000000,1588.73

70,17:15-17:30,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.120000,0.000000,0.820000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,0.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,48.270000,5.790000,21.240000,0.950000,1.010000,45.370000,0,1.08,19.5,0,45.5,0.000000,1568.73

71,17:30-17:45,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.120000,0.000000,0.820000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,0.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,48.270000,5.790000,21.240000,0.950000,1.010000,45.370000,0,0.48,15,0,35,0.000000,1553.13

72,17:45-18:00,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.120000,0.000000,0.820000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,0.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,48.270000,5.790000,21.240000,0.950000,1.010000,45.370000,0,0.19,13.5,0,31.5,0.000000,1547.84

73,18:00-18:15,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.310000,0.000000,0.870000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.980000,0.000000,66.520000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,0.000000,14.240000,0.610000,0.000000,42.470000,4.830000,15.780000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.000000,18.340000,48.270000,5.790000,21.240000,0.950000,1.010000,45.370000,0,0,13.5,0,31.5,0.000000,1633.23

74,18:15-18:30,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.310000,0.000000,0.870000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.980000,0.000000,66.520000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,0.000000,14.240000,0.610000,0.000000,42.470000,4.830000,15.780000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.000000,18.340000,48.270000,5.790000,21.240000,0.950000,1.010000,45.370000,0,0,10.5,0,24.5,0.000000,1623.23

75,18:30-18:45,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.310000,0.000000,0.870000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.980000,0.000000,66.520000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,0.000000,14.240000,0.610000,0.000000,42.470000,4.830000,15.780000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.000000,18.340000,48.270000,3.860000,21.240000,0.950000,1.010000,45.370000,0,0,9,0,21,0.000000,1616.3

76,18:45-19:00,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.310000,0.000000,0.870000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.980000,0.000000,66.520000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,0.000000,14.240000,0.610000,0.000000,42.470000,4.830000,15.780000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.000000,18.340000,48.270000,3.860000,21.240000,0.950000,1.010000,45.370000,1.5,0,6,3.5,14,0.000000,1611.3

77,19:00-19:15,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.400000,0.000000,0.920000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.980000,0.000000,66.520000,48.270000,0.980000,0.000000,0.000000,48.270000,0.000000,0.000000,14.240000,0.610000,0.000000,42.470000,4.830000,15.780000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.000000,0.000000,48.270000,3.860000,21.240000,0.950000,1.010000,45.370000,1.2,0,3,2.8,7,0.000000,1543.48

78,19:15-19:30,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.400000,0.000000,0.920000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.980000,0.000000,66.520000,48.270000,0.980000,0.000000,0.000000,48.270000,0.000000,0.000000,14.240000,0.610000,0.000000,42.470000,4.830000,15.780000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.000000,0.000000,48.270000,3.860000,21.240000,0.950000,1.010000,45.370000,1.2,0,1.8,2.8,4.2,0.000000,1539.48

79,19:30-19:45,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.400000,0.000000,0.920000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.980000,0.000000,66.520000,48.270000,0.980000,0.000000,0.000000,48.270000,0.000000,0.000000,14.240000,0.610000,0.000000,42.470000,4.830000,15.780000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.000000,0.000000,48.270000,3.860000,21.240000,0.950000,1.010000,45.370000,0.9,0,0.6,2.1,1.4,0.000000,1534.48

