Column1,Block,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1899,NR/2024/24295/C,NR/2024/24071/A/45595,NR/2024/24097/A/45590,NR/30092023/26122029/SH-06,NR/2024/23952/A/45680,GNA/NR/2024/12/01/7739,NR/2024/24296/C,NR/2024/24052/A/45596,NR/2024/24060/A/45789,NR/2024/24297/C,NR/2024/24051/A/45597,NR/2024/24146/A/45586,NER/2024/2770/A/45759,WR/2024/25054/A/45766,NR/2024/24088/A/45592,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1599,NR/30092023/31122025/SH-07,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/12/01/1475,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/3428,Total
8,01:45-02:00,25.97,8.66,0,0,7.69,0,0.38,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.92,25.97,8.66,408.98999999999995

9,02:00-02:15,25.97,8.66,0,0,7.69,0,0.38,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.92,25.97,8.66,408.98999999999995

10,02:15-02:30,25.97,8.66,0,0,7.69,0,0.38,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.92,25.97,8.66,408.98999999999995

11,02:30-02:45,25.97,8.66,0,0,7.69,0,0.38,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.92,25.97,8.66,408.98999999999995

12,02:45-03:00,25.97,8.66,0,0,7.69,0,0.38,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.92,25.97,8.66,408.98999999999995

13,03:00-03:15,25.97,8.66,0,0,7.69,0,0.34,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.84,25.97,8.66,408.86999999999995

14,03:15-03:30,25.97,8.66,0,0,7.69,0,0.34,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.84,25.97,8.66,408.86999999999995

15,03:30-03:45,25.97,8.66,0,0,7.69,0,0.34,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.84,25.97,8.66,408.86999999999995

16,03:45-04:00,25.97,8.66,0,0,7.69,0,0.34,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.84,25.97,8.66,408.86999999999995

17,04:00-04:15,25.97,8.66,0,0,7.69,0,0.43,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.84,25.97,8.66,408.96

18,04:15-04:30,25.97,8.66,0,0,7.69,0,0.43,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.84,25.97,8.66,408.96

19,04:30-04:45,25.97,8.66,0,0,7.69,0,0.43,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.84,25.97,8.66,408.96

20,04:45-05:00,25.97,8.66,0,0,7.69,0,0.43,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.84,25.97,8.66,408.96

21,05:00-05:15,25.97,8.66,0,0,7.69,0,0.43,31.71,0,2.89,17.31,0,0,5.77,38.47,0,4.81,150,95.13,0,0,0,25.97,1.84,25.97,8.66,451.2799999999999

22,05:15-05:30,25.97,8.66,0,0,7.69,0,0.43,31.71,0,2.89,17.31,0,0,5.77,38.47,0,4.81,150,95.13,0,0,0,25.97,1.84,25.97,8.66,451.2799999999999

23,05:30-05:45,25.97,8.66,0,0,14.43,0,0.43,31.71,0,2.89,17.31,0,2.89,5.77,38.47,0,4.81,150,95.13,0,0,0,25.97,1.84,25.97,8.66,460.9099999999999

24,05:45-06:00,25.97,8.66,0,0,14.43,0,0.43,31.71,0,2.89,17.31,0,2.89,5.77,38.47,0,4.81,150,95.13,0,0,0,25.97,1.84,25.97,8.66,460.9099999999999

25,06:00-06:15,28.85,8.66,0,0,14.43,0,0.43,0,0,2.89,17.31,0,2.89,5.77,38.47,0,4.81,150,0,0,0,0,28.85,1.92,28.85,8.66,342.7900000000001

26,06:15-06:30,28.85,8.66,0,0,14.43,0,0.43,0,0,2.89,17.31,0,2.89,5.77,38.47,0,4.81,150,0,0,0,0,28.85,1.92,28.85,8.66,342.7900000000001

27,06:30-06:45,31.74,8.66,0,0,14.43,0,0.43,0,0,2.89,17.31,0,2.89,5.77,38.47,0,4.81,150,0,0,0,0,31.74,1.92,31.74,8.66,351.46000000000004

28,06:45-07:00,31.74,8.66,0,0,14.43,0,0.43,0,0,2.89,17.31,0,2.89,5.77,38.47,0,4.81,150,0,0,0,0,31.74,1.92,31.74,8.66,351.46000000000004

29,07:00-07:15,31.74,8.66,0,0,14.43,0,0.53,0,0,2.89,28.85,0,2.89,5.77,38.47,0,4.81,150,0,0,0,0,31.74,1.84,31.74,8.66,363.02

30,07:15-07:30,31.74,8.66,0,0,14.43,0,0.53,0,0,2.89,28.85,0,2.89,5.77,38.47,0,4.81,150,0,0,0,0,31.74,1.84,31.74,8.66,363.02

31,07:30-07:45,34.62,8.66,0,0,14.43,0,0.53,0,0,2.89,28.85,0,2.89,5.77,38.47,0,4.81,150,0,0,0,0,34.62,1.84,34.62,8.66,371.66

32,07:45-08:00,34.62,8.66,0,0,14.43,0,0.53,0,0,2.89,28.85,0,2.89,5.77,38.47,0,4.81,150,0,0,0,0,34.62,1.84,34.62,8.66,371.66

33,08:00-08:15,36.55,11.54,0,0,14.43,0,0.82,0,0,2.89,28.85,0,2.89,5.77,38.47,0,4.81,150,0,0,0,0,36.55,1.84,36.55,11.54,383.5

34,08:15-08:30,36.55,11.54,0,0,14.43,0,0.82,0,0,2.89,28.85,0,2.89,5.77,38.47,0,4.81,150,0,0,0,0,36.55,1.84,36.55,11.54,383.5

35,08:30-08:45,36.55,11.54,0,0,7.69,0,0.82,0,0,2.89,28.85,0,0,5.77,38.47,0,4.81,150,0,0,0,0,36.55,1.84,36.55,11.54,373.87

36,08:45-09:00,36.55,11.54,0,0,7.69,0,0.82,0,0,2.89,28.85,0,0,5.77,38.47,0,4.81,150,0,0,0,0,36.55,1.84,36.55,11.54,373.87

37,09:00-09:15,28.85,8.66,25.49,3.85,7.69,0,0.82,0,16.35,2.89,28.85,8.46,0,5.77,0,0,4.81,150,0,0,0,0,28.85,1.84,28.85,8.66,360.69000000000005

38,09:15-09:30,28.85,8.66,28.08,3.85,7.69,0,0.82,0,16.35,2.89,28.85,8.46,0,5.77,0,0,4.81,150,0,0,0,0,28.85,1.84,28.85,8.66,363.2800000000001

39,09:30-09:45,28.85,8.66,28.08,3.85,7.69,0,0.82,0,16.35,2.89,28.85,8.46,0,5.77,0,0,4.81,150,0,0,0,0,28.85,1.84,28.85,8.66,363.2800000000001

40,09:45-10:00,28.85,8.66,28.08,3.85,7.69,0,0.82,0,16.35,2.89,28.85,8.46,0,5.77,0,0,4.81,150,0,0,0,0,28.85,1.84,28.85,8.66,363.2800000000001

41,10:00-10:15,28.85,8.66,26.74,4.81,7.69,0,0.82,0,16.35,2.89,28.85,8.46,0,5.77,0,0,4.81,150,0,0,0,0,28.85,1.92,28.85,8.66,362.98000000000013

42,10:15-10:30,28.85,8.66,28.08,4.81,7.69,0,0.82,0,16.35,2.89,28.85,8.46,0,5.77,0,0,4.81,150,0,0,0,0,28.85,1.92,28.85,8.66,364.3200000000001

43,10:30-10:45,28.85,8.66,28.08,4.81,7.69,0,0.82,0,16.35,2.89,28.85,8.46,0,5.77,0,0,4.81,150,0,0,0,0,28.85,1.92,28.85,8.66,364.3200000000001

44,10:45-11:00,28.85,8.66,28.08,4.81,7.69,0,0.82,0,16.35,2.89,28.85,8.46,0,5.77,0,0,4.81,150,0,0,0,0,28.85,1.92,28.85,8.66,364.3200000000001

45,11:00-11:15,25.97,8.66,26.55,6.73,7.69,0,0.82,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,25.97,1.84,25.97,8.66,352.13999999999993

46,11:15-11:30,25.97,8.66,26.55,6.73,7.69,0,0.82,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,25.97,1.84,25.97,8.66,352.13999999999993

47,11:30-11:45,25.97,8.66,26.55,6.73,7.69,0,0.82,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,25.97,1.84,25.97,8.66,352.13999999999993

48,11:45-12:00,25.97,8.66,26.55,6.73,7.69,0,0.82,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,25.97,1.84,25.97,8.66,352.13999999999993

49,12:00-12:15,25.97,8.66,26.64,6.73,7.69,0,0.82,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,25.97,1.84,25.97,8.66,352.22999999999996

50,12:15-12:30,25.97,8.66,26.55,6.73,7.69,0,0.82,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,25.97,1.84,25.97,8.66,352.13999999999993

51,12:30-12:45,25.97,8.66,25.39,6.73,7.69,0,0.82,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,25.97,1.84,25.97,8.66,350.97999999999996

52,12:45-13:00,25.97,8.66,25.39,6.73,7.69,0,0.82,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,25.97,1.84,25.97,8.66,350.97999999999996

53,13:00-13:15,25.97,8.66,25.49,5.77,7.69,0,0.77,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,25.97,1.84,25.97,8.66,350.07

54,13:15-13:30,25.97,8.66,25.58,5.77,7.69,0,0.77,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,25.97,1.84,25.97,8.66,350.16

55,13:30-13:45,25.97,8.66,25.68,5.77,7.69,0,0.77,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,25.97,1.84,25.97,8.66,350.25999999999993

56,13:45-14:00,25.97,8.66,25.78,5.77,7.69,0,0.77,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,25.97,1.84,25.97,8.66,350.35999999999996

57,14:00-14:15,25.97,8.66,25.87,4.81,7.69,0,0.77,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,25.97,1.92,25.97,8.66,349.57

58,14:15-14:30,25.97,8.66,25.87,4.81,7.69,0,0.77,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,25.97,1.92,25.97,8.66,349.57

59,14:30-14:45,25.97,8.66,25.97,4.81,7.69,0,0.77,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,25.97,1.92,25.97,8.66,349.67

60,14:45-15:00,25.97,8.66,25.87,4.81,7.69,0,0.77,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,25.97,1.92,25.97,8.66,349.57

61,15:00-15:15,25.97,8.66,22.6,4.81,7.69,0,0.63,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,25.97,1.84,25.97,8.66,346.08

62,15:15-15:30,25.97,8.66,19.04,4.81,7.69,0,0.63,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,25.97,1.84,25.97,8.66,342.52000000000004

63,15:30-15:45,31.74,8.66,26.83,4.81,7.69,0,0.63,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,31.74,1.84,31.74,8.66,367.62

64,15:45-16:00,31.74,8.66,25.01,4.81,7.69,0,0.63,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,31.74,1.84,31.74,8.66,365.8

65,16:00-16:15,31.74,8.66,20.87,2.89,7.69,0,0.48,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,31.74,1.84,31.74,8.66,359.59000000000003

66,16:15-16:30,31.74,8.66,16.54,2.89,7.69,0,0.48,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,31.74,1.84,31.74,8.66,355.26

67,16:30-16:45,36.55,9.62,12.41,2.89,7.69,0,0.48,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,36.55,1.84,36.55,9.62,367.48

68,16:45-17:00,36.55,9.62,8.46,2.89,7.69,0,0.48,0,16.35,3.85,28.85,8.46,0,5.77,0,0,0,150,0,0,0,0,36.55,1.84,36.55,9.62,363.53000000000003

69,17:00-17:15,37.51,12.5,0,0.96,7.69,0,0.48,0,0,3.85,28.85,0,0,5.77,0,0,3.85,150,0,0,0,0,37.51,1.84,37.51,12.5,340.81999999999994

70,17:15-17:30,37.51,12.5,0,0.96,7.69,0,0.48,0,0,3.85,28.85,0,0,5.77,0,0,3.85,150,0,0,0,0,37.51,1.84,37.51,12.5,340.81999999999994

71,17:30-17:45,37.51,12.5,0,0.96,7.69,0,0.48,0,0,3.85,28.85,0,0,5.77,0,0,3.85,150,0,0,0,0,37.51,1.84,37.51,12.5,340.81999999999994

72,17:45-18:00,37.51,12.5,0,0.96,7.69,0,0.48,0,0,3.85,28.85,0,0,5.77,0,0,3.85,150,0,0,0,0,37.51,1.84,37.51,12.5,340.81999999999994

73,18:00-18:15,37.51,12.5,0,0,7.69,0,0.53,0,0,3.85,28.85,0,0,5.77,38.47,38.47,3.85,150,0,0,50,150,37.51,1.92,37.51,12.5,616.93

74,18:15-18:30,37.51,12.5,0,0,7.69,0,0.53,0,0,3.85,28.85,0,0,5.77,38.47,38.47,3.85,150,0,0,50,150,37.51,1.92,37.51,12.5,616.93

75,18:30-18:45,37.51,12.5,0,0,7.69,0,0.53,0,0,3.85,28.85,0,0,5.77,38.47,38.47,3.85,150,0,0,50,150,37.51,1.92,37.51,12.5,616.93

76,18:45-19:00,37.51,12.5,0,0,7.69,0,0.53,0,0,3.85,28.85,0,0,5.77,38.47,38.47,3.85,150,0,0,50,150,37.51,1.92,37.51,12.5,616.93

77,19:00-19:15,37.51,8.66,0,0,7.69,0,0.53,0,0,3.85,28.85,0,0,5.77,38.47,38.47,3.85,150,0,0,50,150,37.51,1.92,37.51,8.66,609.2499999999999

78,19:15-19:30,37.51,8.66,0,0,7.69,0,0.53,0,0,3.85,28.85,0,0,5.77,38.47,38.47,3.85,150,0,0,50,150,37.51,1.92,37.51,8.66,609.2499999999999

79,19:30-19:45,37.51,8.66,0,0,7.69,0,0.53,0,0,3.85,28.85,0,0,5.77,38.47,38.47,3.85,150,0,0,50,150,37.51,1.92,37.51,8.66,609.2499999999999

80,19:45-20:00,37.51,8.66,0,0,7.69,0,0.53,0,0,3.85,28.85,0,0,5.77,38.47,38.47,3.85,150,0,0,50,150,37.51,1.92,37.51,8.66,609.2499999999999

81,20:00-20:15,34.62,8.66,0,0,7.69,0,0.53,0,0,3.85,28.85,0,0,5.77,38.47,38.47,3.85,150,0,0,50,250,34.62,1.92,34.62,8.66,700.5799999999999

82,20:15-20:30,34.62,8.66,0,0,7.69,0,0.53,0,0,3.85,28.85,0,0,5.77,38.47,38.47,3.85,150,0,0,50,250,34.62,1.92,34.62,8.66,700.5799999999999

83,20:30-20:45,34.62,8.66,0,0,7.69,0,0.53,0,0,3.85,28.85,0,0,5.77,38.47,38.47,3.85,150,0,0,50,250,34.62,1.92,34.62,8.66,700.5799999999999

84,20:45-21:00,34.62,8.66,0,0,7.69,0,0.53,0,0,3.85,28.85,0,0,5.77,38.47,38.47,3.85,150,0,0,50,250,34.62,1.92,34.62,8.66,700.5799999999999

85,21:00-21:15,31.74,8.66,0,0,7.69,0,0.53,0,0,3.85,28.85,0,0,5.77,0,38.47,3.85,150,0,0,50,250,31.74,1.92,31.74,8.66,653.4699999999999

86,21:15-21:30,31.74,8.66,0,0,7.69,0,0.53,0,0,3.85,28.85,0,0,5.77,0,38.47,3.85,150,0,0,50,250,31.74,1.92,31.74,8.66,653.4699999999999

87,21:30-21:45,31.74,8.66,0,0,7.69,0,0.53,0,0,3.85,28.85,0,0,5.77,0,38.47,3.85,150,0,0,50,250,31.74,1.92,31.74,8.66,653.4699999999999

88,21:45-22:00,31.74,8.66,0,0,7.69,0,0.53,0,0,3.85,28.85,0,0,5.77,0,38.47,3.85,150,0,0,50,250,31.74,1.92,31.74,8.66,653.4699999999999

89,22:00-22:15,25.97,8.66,0,0,7.69,0,0.48,31.71,0,2.89,28.85,0,0,5.77,0,38.47,0.96,150,95.13,0,50,250,25.97,1.84,25.97,8.66,759.0200000000001

90,22:15-22:30,25.97,8.66,0,0,7.69,0,0.48,31.71,0,2.89,28.85,0,0,5.77,0,38.47,0.96,150,95.13,0,50,250,25.97,1.84,25.97,8.66,759.0200000000001

91,22:30-22:45,25.97,8.66,0,0,7.69,0,0.48,31.71,0,2.89,28.85,0,0,5.77,0,38.47,0.96,150,95.13,0,50,250,25.97,1.84,25.97,8.66,759.0200000000001

92,22:45-23:00,25.97,8.66,0,0,7.69,0,0.48,31.71,0,2.89,28.85,0,0,5.77,0,38.47,0.96,150,95.13,0,50,250,25.97,1.84,25.97,8.66,759.0200000000001

93,23:00-23:15,25.97,8.66,0,0,7.69,0,0.43,31.71,0,2.89,28.85,0,0,5.77,0,38.47,0.96,150,95.13,0,50,250,25.97,1.84,25.97,8.66,758.97

94,23:15-23:30,25.97,8.66,0,0,7.69,0,0.43,31.71,0,2.89,28.85,0,0,5.77,0,38.47,0.96,150,95.13,0,50,250,25.97,1.84,25.97,8.66,758.97

95,23:30-23:45,25.97,8.66,0,0,7.69,0,0.43,31.71,0,2.89,28.85,0,0,5.77,0,38.47,0.96,150,95.13,0,50,250,25.97,1.84,25.97,8.66,758.97

96,23:45-24:00,25.97,8.66,0,0,7.69,0,0.43,31.71,0,2.89,28.85,0,0,5.77,0,38.47,0.96,150,95.13,0,50,250,25.97,1.84,25.97,8.66,758.97

