Block,Time Block,DULHASTI,PARBATI2,CHAMERA3,DHAULIGNGA,DADRT2,FSTPP I & II,KOTESHWR,KOLDAM,CHAMERA1,BSIUL,BRBCL,CHAMERA2,RIHAND3,RIHAND2,RIHAND1,TEHRIPSP,TANDA2,TEHRI,TelanganaSTPP,PARBATI3,RAPPD,RAPPB,RAMPUR,RAPPC,KISHANGANGA,KHSTPP-II,KUDGI,NLCEXP,NLCIIST1,MAPS,NJPC,NTPL,NLCIIST2,NLCTS2EXP,NAPP,NNTPP,KGSU3AND4,KHSTPP-I,KKNP,KKNPPU2,JHAJJAR,KGSU1AND2,RSTPSU7,SIMHST1,SALAL,RSTPSU1TO6,SEWA2,SASAN,TALST2,TANAKPUR,SINGRAULI_HYDRO,TALA,SIMHST2,SINGRAULI,DADRI_GF,DADRI_RF,DADRI_LF,ANTA_LF,AURY_GF,URI2,UNCHAHAR3,ANTA_GF,AURY_CRF,AURY_RF,UNCHAHAR2,URI,ANTA_CRF,DADRI_CRF,ANTA_RF,AURY_LF,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
8,01:45-02:00,56.87,56.16,33.95,42.42,391.91,20.12,10.1,10.3,40.78,12.61,13.29,47.31,89.36,122.04,95.84,0,6.1,28.71,0,66.91,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,44.28,0,0,145.72,0,0,0,82.63,0,0,405.12,0,8.06,1.13,12.23,0,147.48,0,0,0,0,0,36.92,23.47,0,0,0,37.47,49.67,0,0,0,0,21.12,2.31,0,0,0,0,0,0

9,02:00-02:15,56.87,56.16,33.95,21.21,301.46,20.12,10.1,10.3,40.78,12.61,13.4,47.31,89.36,122.04,95.84,0,6.21,28.71,0,66.91,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,44.28,0,0,129.39,0,0,0,82.63,0,0,405.12,0,8.06,1.13,11.66,0,147.48,0,0,0,0,0,36.92,18.84,0,0,0,30.13,49.67,0,0,0,0,14.09,2.31,0,0,0,0,0,0

10,02:15-02:30,56.87,56.16,33.95,21.21,220.2,20.12,10.1,10.3,40.78,12.61,13.39,47.31,89.36,122.04,95.84,0,6.21,28.71,0,66.91,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,44.28,0,0,129.39,0,0,0,82.63,0,0,405.12,0,8.06,1.13,11.66,0,147.48,0,0,0,0,0,36.92,18.84,0,0,0,30.13,49.67,0,0,0,0,14.09,2.31,0,0,0,0,0,0

11,02:30-02:45,56.87,56.16,33.95,21.21,191.18,20.12,10.1,10.3,40.78,12.61,13.31,47.31,89.36,122.04,95.84,0,6.21,28.71,0,66.91,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,44.28,0,0,129.39,0,0,0,82.63,0,0,405.12,0,8.06,1.13,11.95,0,147.48,0,0,0,0,0,36.92,18.84,0,0,0,30.13,49.67,0,0,0,0,14.09,2.31,0,0,0,0,0,0

12,02:45-03:00,56.87,56.16,33.95,21.21,162.16,20.12,10.1,10.3,40.78,12.61,13.37,47.31,89.36,122.04,95.84,0,6.21,28.71,0,66.91,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,44.28,0,0,129.39,0,0,0,82.63,0,0,405.12,0,8.06,1.13,11.95,0,147.48,0,0,0,0,0,36.92,18.84,0,0,0,30.13,49.67,0,0,0,0,14.09,2.31,0,0,0,0,0,0

13,03:00-03:15,56.87,56.16,33.95,21.21,104.11,20.12,10.1,10.3,40.78,12.61,13.36,47.31,89.36,122.04,95.84,0,6.21,28.71,0,74.34,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,44.28,0,0,151.64,0,0,0,80.37,0,0,405.12,0,8.06,1.13,11.95,0,147.48,0,0,0,0,0,36.92,23.47,0,0,0,37.8,49.67,0,0,0,0,18.28,2.31,0,0,0,0,0,0

14,03:15-03:30,56.87,56.16,33.95,21.21,55.74,17.35,10.1,10.3,40.78,12.61,13.71,47.31,89.36,106.17,83.55,0,6.21,28.71,0,74.34,24.71,0,6.81,66,8.43,123.66,0,0,0,0,175.25,0,0,0,24.08,0,0,38.21,0,0,162.28,0,0,0,80.37,0,0,405.12,0,8.06,1.13,11.95,0,128.83,0,0,0,0,0,36.92,23.47,0,0,0,37.8,49.67,0,0,0,0,18.28,2.31,0,0,0,0,0,0

15,03:30-03:45,56.87,56.16,33.95,21.21,55.74,17.35,10.1,10.3,40.78,12.61,16.26,47.31,89.36,120.51,95.2,0,6.21,28.71,0,74.34,24.71,0,6.81,66,8.43,123.65,0,0,0,0,175.25,0,0,0,24.08,0,0,38.21,0,0,162.28,0,0,0,80.37,0,0,405.12,0,8.06,1.13,11.95,0,137.79,0,0,0,0,0,36.92,23.47,0,0,0,37.8,49.67,0,0,0,0,18.28,2.31,0,0,0,0,0,0

16,03:45-04:00,56.87,56.16,33.95,21.21,7.37,17.35,10.1,10.3,40.78,12.61,15.38,47.31,89.36,122.04,95.84,0,6.21,28.71,0,74.34,24.71,0,6.81,66,8.43,142.53,0,0,0,0,175.25,0,0,0,24.08,0,0,38.21,0,0,162.28,0,0,0,80.37,0,0,405.12,0,8.06,1.13,11.95,0,147.48,0,0,0,0,0,36.92,23.47,0,0,0,37.8,49.67,0,0,0,0,18.28,2.31,0,0,0,0,0,0

17,04:00-04:15,56.87,56.16,33.95,21.21,7.37,20.12,10.1,10.3,40.78,12.61,15.6,47.31,89.36,122.04,95.84,0,6.21,28.71,0,74.34,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,44.28,0,0,162.28,0,0,0,80.37,0,0,405.12,0,8.06,1.13,11.95,0,147.48,0,0,0,0,0,36.92,23.47,0,0,0,37.8,49.67,0,0,0,0,18.28,2.31,0,0,0,0,0,0

18,04:15-04:30,56.87,56.16,33.95,21.21,7.37,19.56,10.1,10.3,40.78,12.61,15.58,47.31,89.36,122.04,95.84,0,6.21,28.71,0,66.91,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,38.21,0,0,162.28,0,0,0,80.37,0,0,405.12,0,8.06,1.13,11.95,0,147.48,0,0,0,0,0,36.92,23.47,0,0,0,37.8,49.67,0,0,0,0,18.28,2.31,0,0,0,0,0,0

19,04:30-04:45,56.87,56.16,33.95,21.21,7.37,17.35,10.1,10.3,40.78,12.61,19.09,47.31,89.36,122.04,95.84,0,6.21,28.71,0,66.91,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,38.21,0,0,367.65,0,0,0,80.37,0,0,405.12,0,8.06,1.13,14.22,0,147.48,0,0,0,0,0,36.92,23.47,0,0,0,37.8,49.67,0,0,0,0,18.28,2.31,0,0,0,0,0,0

20,04:45-05:00,56.87,56.16,33.95,21.21,7.37,17.35,10.1,10.3,40.78,12.61,18.22,47.31,89.36,122.04,95.84,0,6.21,28.71,0,66.91,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,38.21,0,0,367.65,0,0,0,80.37,0,0,405.12,0,8.06,1.13,14.22,0,147.48,0,0,0,0,0,36.92,23.47,0,0,0,37.8,49.67,0,0,0,0,18.28,2.31,0,0,0,0,0,0

21,05:00-05:15,56.87,56.16,33.95,21.21,73.96,17.35,10.1,10.3,40.78,12.61,22.1,47.31,128.05,122.04,95.84,0,6.21,28.71,0,71.37,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,38.21,0,0,355.98,0,0,0,80.37,0,0,405.12,0,8.06,1.13,14.22,0,147.48,0,0,0,0,0,36.92,17.21,0,0,0,26.79,49.67,0,0,0,0,12.77,2.31,0,0,0,0,0,0

22,05:15-05:30,56.87,56.16,33.95,21.21,7.39,20.12,10.1,10.3,40.78,12.61,22.03,47.31,128.05,122.04,95.84,0,6.21,28.71,0,71.37,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,44.28,0,0,355.98,0,0,0,80.37,0,0,405.12,0,8.06,1.13,14.22,0,147.48,0,0,0,0,0,36.92,20.73,0,0,0,32.45,49.67,0,0,0,0,15.61,2.31,0,0,0,0,0,0

23,05:30-05:45,56.87,56.16,33.95,21.21,7.39,20.12,10.1,10.3,40.78,12.61,23.46,47.31,128.05,122.04,95.84,0,6.21,28.71,0,74.34,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,44.28,0,0,355.98,0,0,0,80.37,0,0,405.12,0,8.06,1.13,14.22,0,147.48,0,0,0,0,0,36.92,20.73,0,0,0,32.45,49.67,0,0,0,0,15.61,2.31,0,0,0,0,0,0

24,05:45-06:00,56.87,56.16,33.95,21.21,7.39,20.12,10.1,10.3,40.78,12.61,19.09,47.31,128.05,122.04,95.84,0,6.21,28.71,0,74.34,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,44.28,0,0,355.98,0,0,0,80.37,0,0,405.12,0,8.06,1.13,14.22,0,147.48,0,0,0,0,0,36.92,17.21,0,0,0,26.79,49.67,0,0,0,0,12.77,0.97,0,0,0,0,0,0

25,06:00-06:15,56.87,56.16,33.95,21.21,7.39,15.15,10.1,10.3,40.78,12.61,20.03,47.31,128.05,122.04,95.84,0,4.36,28.71,0,74.34,24.71,0,6.81,66,8.43,133.09,0,0,0,0,175.25,0,0,0,24.08,0,0,33.51,0,0,355.98,0,0,0,80.37,0,0,405.12,0,8.06,1.13,14.22,0,147.48,0,0,0,0,0,36.92,17.21,0,0,0,26.79,49.67,0,0,0,0,12.77,0.97,0,0,0,0,0,0

26,06:15-06:30,56.87,56.16,33.95,21.21,7.39,12.37,10.1,10.3,40.78,12.61,23.85,47.31,128.05,122.04,95.84,0,4.36,28.71,0,74.34,24.71,0,6.81,66,8.43,114.32,0,0,0,0,175.25,0,0,0,24.08,0,0,27.45,0,0,355.98,0,0,0,80.37,0,0,405.12,0,8.06,1.13,14.22,0,147.48,0,0,0,0,0,36.92,17.21,0,0,0,26.79,49.67,0,0,0,0,12.77,0.97,0,0,0,0,0,0

27,06:30-06:45,56.87,56.16,33.95,31.82,7.39,12.37,10.1,10.3,40.78,12.61,23.6,47.31,128.05,122.04,53.11,0,4.36,28.71,0,75.83,24.71,0,6.81,66,8.43,94.51,0,0,0,0,175.25,0,0,0,24.08,0,0,27.45,0,0,323.09,0,0,0,80.37,0,0,405.12,0,8.06,1.13,15.07,0,111.08,0,0,0,0,0,36.92,13.29,0,0,0,23.99,49.67,0,0,0,0,10.45,0.97,0,0,0,0,0,0

28,06:45-07:00,56.87,56.16,33.95,31.82,7.39,12.37,10.1,10.3,40.78,12.61,19.15,47.31,128.05,122.04,59.53,0,4.36,28.71,0,75.83,24.71,0,6.81,66,8.43,94.51,0,0,0,0,175.25,0,0,0,24.08,0,0,27.45,0,0,323.09,0,0,0,80.37,0,0,405.12,0,8.06,1.13,15.07,0,129.73,0,0,0,0,0,36.92,13.29,0,0,0,23.99,49.67,0,0,0,0,10.45,0.97,0,0,0,0,0,0

29,07:00-07:15,56.87,56.16,33.95,42.42,7.39,12.37,10.1,10.3,40.78,12.61,19.98,47.31,128.05,122.04,59.53,0,4.36,28.71,0,75.83,24.71,0,6.81,66,8.43,94.51,0,0,0,0,175.25,0,0,0,24.08,0,0,28.11,0,0,323.09,0,0,0,80.37,0,0,405.12,0,6.82,1.13,17.35,0,129.73,0,0,0,0,0,36.92,13.29,0,0,0,23.99,49.67,0,0,0,0,10.45,0.97,0,0,0,0,0,0

30,07:15-07:30,56.87,56.16,33.95,42.42,7.39,12.37,10.1,10.3,40.78,12.61,19.67,47.31,128.05,122.04,59.53,0,4.36,28.71,0,75.83,24.71,0,6.81,66,8.43,94.51,0,0,0,0,175.25,0,0,0,24.08,0,0,28.11,0,0,323.09,0,0,0,80.37,0,0,405.12,0,6.82,1.13,17.35,0,129.73,0,0,0,0,0,36.92,13.29,0,0,0,23.99,49.67,0,0,0,0,10.45,0.97,0,0,0,0,0,0

31,07:30-07:45,56.87,56.16,33.95,42.42,7.39,12.37,10.1,10.3,40.78,18.92,18.68,47.31,128.05,122.04,59.53,0,4.36,28.71,0,75.83,24.71,0,6.81,66,8.43,94.51,0,0,0,0,175.25,0,0,0,24.08,0,0,28.11,0,0,323.09,0,0,0,80.37,0,0,405.12,0,6.82,1.13,17.35,0,129.73,0,0,0,0,0,36.92,13.29,0,0,0,23.99,49.67,0,0,0,0,10.45,0.97,0,0,0,0,0,0

32,07:45-08:00,56.87,56.16,33.95,42.42,7.39,12.37,10.1,10.3,40.78,18.92,17.06,47.31,128.05,122.04,59.53,0,4.36,28.71,0,75.83,24.71,0,6.81,66,8.43,94.51,0,0,0,0,175.25,0,0,0,24.08,0,0,28.11,0,0,323.09,0,0,0,80.37,0,0,405.12,0,6.82,1.13,17.35,0,129.73,0,0,0,0,0,36.92,13.29,0,0,0,23.99,49.67,0,0,0,0,10.45,0.97,0,0,0,0,0,0

33,08:00-08:15,56.87,56.16,33.95,42.42,7.39,12.37,10.1,10.3,40.78,18.92,18.25,47.31,125.34,119.59,88.56,0,4.29,28.71,0,75.83,24.71,0,6.81,66,8.43,94.51,0,0,0,0,175.25,0,0,0,24.08,0,0,28.11,0,0,323.09,0,0,0,80.37,0,0,405.12,0,5.57,1.13,17.35,0,125.22,0,0,0,0,0,36.92,13.29,0,0,0,23.99,49.67,0,0,0,0,10.45,0.97,0,0,0,0,0,0

34,08:15-08:30,56.87,56.16,33.95,42.42,7.39,12.37,10.1,10.3,40.78,18.92,16.8,47.31,125.34,119.59,93.61,0,4.29,19.14,0,75.83,24.71,0,6.81,66,8.43,94.51,0,0,0,0,175.25,0,0,0,24.08,0,0,28.11,0,0,187.66,0,0,0,80.37,0,0,405.12,0,5.57,1.13,17.35,0,140.75,0,0,0,0,0,36.92,13.29,0,0,0,23.99,49.67,0,0,0,0,10.45,0.97,0,0,0,0,0,0

35,08:30-08:45,56.87,56.16,33.95,42.42,7.39,10.04,10.1,10.3,40.78,18.92,19.06,47.31,125.34,119.59,93.61,0,4.29,9.57,0,75.83,24.71,0,6.81,66,8.43,94.51,0,0,0,0,175.25,0,0,0,24.08,0,0,28.11,0,0,187.66,0,0,0,80.37,0,0,405.12,0,5.57,1.13,17.35,0,142.97,0,0,0,0,0,36.92,13.29,0,0,0,23.99,49.67,0,0,0,0,10.45,0.97,0,0,0,0,0,0

36,08:45-09:00,56.87,56.16,33.95,42.42,7.39,10.04,10.1,10.3,40.78,18.92,20.02,47.31,125.34,119.59,93.61,0,4.29,0,0,75.83,24.71,0,6.81,66,8.43,94.51,0,0,0,0,175.25,0,0,0,24.08,0,0,28.11,0,0,187.66,0,0,0,80.37,0,0,405.12,0,5.57,1.13,17.35,0,142.97,0,0,0,0,0,36.92,13.29,0,0,0,23.99,49.67,0,0,0,0,10.45,0.97,0,0,0,0,0,0

37,09:00-09:15,56.87,56.16,33.95,42.42,7.39,10.04,10.1,10.3,27.18,18.92,18.75,47.31,125.34,119.59,93.61,0,4.29,0,0,75.83,24.71,0,6.81,66,8.43,94.51,0,0,0,0,175.25,0,0,0,24.08,0,0,28.11,0,0,187.66,0,0,0,80.37,0,0,405.12,0,5.57,1.13,17.35,0,142.97,0,0,0,0,0,36.92,13.29,0,0,0,23.99,49.67,0,0,0,0,10.45,0.97,0,0,0,0,0,0

38,09:15-09:30,56.87,56.16,33.95,31.82,7.39,10.04,10.1,10.3,27.18,12.61,18.79,47.31,125.34,119.59,93.61,0,4.29,0,0,75.83,24.71,0,6.81,66,8.43,94.51,0,0,0,0,175.25,0,0,0,24.08,0,0,28.11,0,0,129.61,0,0,0,80.37,0,0,405.12,0,5.57,1.13,17.35,0,142.97,0,0,0,0,0,36.92,13.29,0,0,0,23.99,49.67,0,0,0,0,10.45,0.97,0,0,0,0,0,0

39,09:30-09:45,56.87,56.16,33.95,31.82,7.39,10.04,10.1,10.3,27.18,12.61,20.68,47.31,125.34,119.59,93.61,0,4.29,0,0,75.83,24.71,0,6.81,66,8.43,94.51,0,0,0,0,175.25,0,0,0,24.08,0,0,28.11,0,0,129.61,0,0,0,80.37,0,0,405.12,0,5.57,1.13,17.35,0,142.97,0,0,0,0,0,36.92,13.29,0,0,0,23.99,49.67,0,0,0,0,10.45,0.97,0,0,0,0,0,0

40,09:45-10:00,56.87,56.16,33.95,31.82,7.39,10.04,10.1,10.3,27.18,12.61,18.84,47.31,125.34,119.59,93.61,0,4.29,0,0,75.83,24.71,0,6.81,66,8.43,94.51,0,0,0,0,175.25,0,0,0,24.08,0,0,28.11,0,0,129.61,0,0,0,80.37,0,0,405.12,0,5.57,1.13,17.35,0,142.97,0,0,0,0,0,36.92,13.29,0,0,0,23.99,49.67,0,0,0,0,10.45,0.97,0,0,0,0,0,0

41,10:00-10:15,56.87,56.16,33.95,31.82,7.39,10.04,10.1,10.3,27.18,18.92,17.6,47.31,125.34,119.59,93.61,0,4.13,0,0,75.83,24.71,0,6.81,66,8.43,94.83,0,0,0,0,175.25,0,0,0,24.08,0,0,28.11,0,0,129.61,0,0,0,80.37,0,0,405.12,0,5.57,1.13,17.35,0,142.97,0,0,0,0,0,36.92,13.29,0,0,0,23.99,49.67,0,0,0,0,10.45,0.97,0,0,0,0,0,0

42,10:15-10:30,56.87,56.16,33.95,31.82,7.39,10.04,10.1,10.3,27.18,18.92,16.39,47.31,125.34,119.59,93.61,0,4.13,0,0,75.83,24.71,0,6.81,66,8.43,96.7,0,0,0,0,175.25,0,0,0,24.08,0,0,28.11,0,0,129.61,0,0,0,80.37,0,0,405.12,0,5.57,1.13,17.35,0,142.97,0,0,0,0,0,36.92,13.29,0,0,0,23.99,49.67,0,0,0,0,10.45,0.97,0,0,0,0,0,0

43,10:30-10:45,56.87,56.16,33.95,31.82,7.39,10.04,10.1,10.3,27.18,18.92,15.54,47.31,125.34,119.59,93.61,0,4.13,0,0,75.83,24.71,0,6.81,66,8.43,107.65,0,0,0,0,175.25,0,0,0,24.08,0,0,26.26,0,0,129.61,0,0,0,80.37,0,0,405.12,0,5.57,1.13,17.35,0,142.97,0,0,0,0,0,36.92,13.29,0,0,0,23.99,49.67,0,0,0,0,10.45,0.97,0,0,0,0,0,0

44,10:45-11:00,56.87,56.16,33.95,31.82,7.39,10.04,10.1,10.3,27.18,18.92,15.96,47.31,125.34,119.59,93.61,0,4.13,0,0,75.83,24.71,0,6.81,66,8.43,107.65,0,0,0,0,175.25,0,0,0,24.08,0,0,26.26,0,0,129.61,0,0,0,80.37,0,0,405.12,0,5.57,1.13,17.35,0,142.97,0,0,0,0,0,36.92,13.29,0,0,0,23.99,49.67,0,0,0,0,10.45,0.97,0,0,0,0,0,0

45,11:00-11:15,56.87,56.16,33.95,31.82,7.39,10.04,10.1,10.3,27.18,18.92,16.37,47.31,70.43,79.75,57.3,0,4.01,0,0,75.83,24.71,0,6.81,66,8.43,107.65,0,0,0,0,175.25,0,0,0,24.08,0,0,26.27,0,0,129.61,0,0,0,80.37,0,0,405.12,0,5.57,1.13,17.35,0,102.19,0,0,0,0,0,36.92,13.29,0,0,0,23.99,51.26,0,0,0,0,10.45,0.97,0,0,0,0,0,0

46,11:15-11:30,56.87,56.16,33.95,31.82,7.39,10.04,10.1,10.3,27.18,18.92,14.99,47.31,70.43,79.75,57.3,0,4.01,0,0,75.83,24.71,0,6.81,66,8.43,107.65,0,0,0,0,175.25,0,0,0,24.08,0,0,26.27,0,0,129.61,0,0,0,80.37,0,0,405.12,0,5.57,1.13,17.35,0,102.19,0,0,0,0,0,36.92,13.29,0,0,0,23.99,51.26,0,0,0,0,10.45,0.97,0,0,0,0,0,0

47,11:30-11:45,56.87,56.16,33.95,31.82,7.39,10.04,10.1,10.3,13.59,18.92,15.32,47.31,70.43,79.75,57.3,0,3.91,0,0,75.83,24.71,0,6.81,66,8.43,102.95,0,0,0,0,175.25,0,0,0,24.08,0,0,24.69,0,0,129.61,0,0,0,80.37,0,0,405.12,0,11.65,1.13,17.35,0,102.19,0,0,0,0,0,36.92,13.29,0,0,0,23.99,51.26,0,0,0,0,10.45,0.97,0,0,0,0,0,0

48,11:45-12:00,56.87,56.16,33.95,31.82,7.39,10.04,10.1,10.3,0,18.92,18.78,47.31,70.43,79.75,57.3,0,3.91,0,0,75.83,24.71,0,6.81,66,8.43,102.95,0,0,0,0,175.25,0,0,0,24.08,0,0,29.19,0,0,129.61,0,0,0,80.37,0,0,405.12,0,11.65,1.13,17.35,0,92.73,0,0,0,0,0,36.92,13.29,0,0,0,23.99,51.26,0,0,0,0,10.45,0.97,0,0,0,0,0,0

49,12:00-12:15,56.87,56.16,33.95,21.21,7.39,10.04,10.1,10.3,0,18.92,22.36,47.31,70.43,79.75,57.3,0,3.79,0,0,75.83,24.71,0,6.81,66,8.43,101.51,0,0,0,0,175.25,0,0,0,24.08,0,0,28.25,0,0,129.61,0,0,0,80.37,0,0,405.12,0,11.65,1.13,17.35,0,92.73,0,0,0,0,0,36.92,13.29,0,0,0,23.99,51.26,0,0,0,0,10.45,0.97,0,0,0,0,0,0

50,12:15-12:30,56.87,56.16,33.95,21.21,7.39,11.98,10.1,10.3,0,18.92,19.3,47.31,70.43,79.75,57.3,0,3.79,0,0,75.83,24.71,0,6.81,66,8.43,101.51,0,0,0,0,175.25,0,0,0,24.08,0,0,29.41,0,0,129.61,0,0,0,80.37,0,0,405.12,0,11.65,1.13,17.35,0,92.73,0,0,0,0,0,36.92,13.29,0,0,0,23.99,51.26,0,0,0,0,10.45,0.97,0,0,0,0,0,0

51,12:30-12:45,56.87,56.16,33.95,21.21,7.39,11.98,20.2,10.3,0,18.92,21.53,47.31,70.43,79.75,57.3,0,3.72,0,0,75.83,24.71,0,6.81,66,8.43,98.56,0,0,0,0,175.25,0,0,0,24.08,0,0,27.85,0,0,129.61,0,0,0,80.37,0,0,405.12,0,6.82,1.13,19.2,0,92.73,0,0,0,0,0,36.92,13.29,0,0,0,23.99,51.26,0,0,0,0,10.45,0.97,0,0,0,0,0,0

52,12:45-13:00,56.87,56.16,33.95,21.21,7.39,11.98,20.2,10.3,0,18.92,19.32,47.31,70.43,79.75,57.3,0,3.72,0,0,75.83,24.71,0,6.81,66,8.43,98.56,0,0,0,0,175.25,0,0,0,24.08,0,0,27.85,0,0,129.61,0,0,0,80.37,0,0,405.12,0,6.82,1.13,19.2,0,92.73,0,0,0,0,0,36.92,13.29,0,0,0,23.99,51.26,0,0,0,0,10.45,0.97,0,0,0,0,0,0

