Time,Block,NR/01102023/02012046/L_NR_2021_17,NR/2024/21752/C,NR/01102023/14082046/L_NR_2021_16,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21089/A/28362,NR/2024/21113/A/28361,NR/2024/21210/A/28088,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21152/A/28055,NR/2024/21144/A/28139,NR/2024/21072/A/28363,NR/2024/21763/C,NR/16072024/31072024/NR/16072024/31072024/717758,NR/30092023/31122025/SH-07,NR/2024/20931/A/28316,NR/2024/21754/C,NR/2024/21099/A/28091,NR/2024/21150/A/28149,NR/2024/21146/A/28152,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21694/A/28378,NR/2024/21141/A/28090,NR/2024/21567/A/28360,NR/22072024/22072024/IEX_240721_01662,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/20688/A/28268,NR/2024/21087/A/28266,NR/2024/21160/A/28153,NR/2024/20711/A/28442,NR/2024/21238/A/28405,NR/2024/21199/A/28111,NR/2024/21076/A/28399,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/R2,NR/22072024/22072024/IEX_240721_01661,NR/2024/21156/A/28147,NR/30092023/26122029/SH-06,NR/2024/21183/A/28400,NR/2024/21108/A/28385,NR/2024/21764/C,NR/2024/20574/A/28352,NR/2024/21339/A/28083,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21173/A/28267,NR/2024/21159/A/28154,NR/2024/21148/A/28148,NR/2024/21103/A/28387,NR/2024/21153/A/28146,NR/2024/21023/A/28112,NR/2024/21096/A/28388,NR/2024/20573/A/28353,NR/2024/21142/A/28089,NR/2024/21062/A/28348,NR/2024/19779/A/28050,NR/2024/21227/A/28386,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/20966/A/28056,NR/2024/21682/A/28441,NR/2024/21715/A/28273,NR/2024/21075/A/28403,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21158/A/28155,NR/2024/21186/A/28372,Total

3,00:30-00:45,0,0,0,0.000000,14.090000,37.260000,37.260000,12.590000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,38.580000,12.420000,0.000000,47.710000,12.420000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,0.750000,0.000000,90.670000,0.000000,24.120000,144.690000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,17.620000,18.090000,48.230000,0.000000,0.630000,12.200000,0.000000,4.820000,161.090000,9.650000,11.720000,15.140000,0.680000,48.230000,1875.25

4,00:45-01:00,0,0,0,0.000000,14.090000,37.260000,37.260000,15.010000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,38.580000,12.420000,0.000000,47.710000,12.420000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,0.900000,0.000000,90.670000,0.000000,24.120000,144.690000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,21.010000,18.090000,48.230000,0.000000,0.630000,12.200000,0.000000,4.820000,161.090000,9.650000,11.720000,15.140000,0.680000,48.230000,1881.21

5,01:00-01:15,0,0,0,0.000000,14.090000,37.260000,37.260000,22.270000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,38.580000,12.420000,0.000000,47.710000,12.420000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,1.340000,0.000000,90.670000,0.000000,24.120000,96.460000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,31.180000,18.090000,48.230000,0.000000,0.580000,12.200000,0.000000,4.820000,161.090000,9.650000,11.720000,15.140000,0.680000,48.230000,1850.8

6,01:15-01:30,0,0,0,0.000000,14.090000,37.260000,37.260000,23.240000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,38.580000,12.420000,0.000000,47.710000,12.420000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,1.400000,0.000000,90.670000,0.000000,24.120000,96.460000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,32.540000,18.090000,48.230000,0.000000,0.580000,12.200000,0.000000,4.820000,161.090000,9.650000,11.720000,15.140000,0.680000,48.230000,1853.19

7,01:30-01:45,0,0,0,0.000000,14.090000,37.260000,37.260000,24.690000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,38.580000,12.420000,0.000000,47.710000,12.420000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,1.490000,0.000000,90.670000,0.000000,24.120000,96.460000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,34.570000,18.090000,48.230000,0.000000,0.580000,12.200000,0.000000,4.820000,161.090000,9.650000,11.720000,15.140000,0.680000,48.230000,1856.76

8,01:45-02:00,0,0,0,0.000000,14.090000,37.260000,37.260000,26.140000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,38.580000,12.420000,0.000000,47.710000,12.420000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,1.570000,0.000000,90.670000,0.000000,24.120000,96.460000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,36.610000,18.090000,48.230000,0.000000,0.580000,12.200000,0.000000,4.820000,161.090000,9.650000,11.720000,15.140000,0.680000,48.230000,1860.33

9,02:00-02:15,0,0,0,0.000000,14.090000,37.260000,37.260000,32.520000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,38.580000,12.420000,0.000000,47.710000,12.420000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,1.950000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,45.520000,18.090000,48.230000,0.000000,0.580000,0.000000,0.000000,4.820000,161.090000,9.650000,11.720000,15.140000,0.680000,48.230000,1767.34

10,02:15-02:30,0,0,0,0.000000,14.090000,37.260000,37.260000,33.740000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,38.580000,12.420000,0.000000,47.710000,12.420000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.030000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,47.240000,18.090000,48.230000,0.000000,0.580000,0.000000,0.000000,4.820000,161.090000,9.650000,11.720000,15.140000,0.680000,48.230000,1770.36

11,02:30-02:45,0,0,0,0.000000,14.090000,37.260000,37.260000,38.650000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,38.580000,12.420000,0.000000,47.710000,12.420000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.320000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,54.100000,18.090000,48.230000,0.000000,0.580000,0.000000,0.000000,4.820000,241.150000,9.650000,11.720000,15.140000,0.680000,48.230000,1862.48

12,02:45-03:00,0,0,0,0.000000,14.090000,37.260000,37.260000,36.810000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,38.580000,12.420000,0.000000,47.710000,12.420000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.210000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,51.530000,18.090000,48.230000,0.000000,0.580000,0.000000,0.000000,4.820000,241.150000,9.650000,11.720000,15.140000,0.680000,48.230000,1857.96

13,03:00-03:15,0,0,0,0.000000,14.090000,37.260000,37.260000,39.260000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,9.950000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,12.420000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.350000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,54.960000,18.090000,48.230000,0.000000,0.530000,0.000000,0.000000,4.820000,241.150000,8.680000,11.720000,15.140000,0.680000,48.230000,1754.62

14,03:15-03:30,0,0,0,0.000000,14.090000,37.260000,37.260000,44.790000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,9.950000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,12.420000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.690000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,62.700000,18.090000,48.230000,0.000000,0.530000,0.000000,0.000000,4.820000,241.150000,8.680000,11.720000,15.140000,0.680000,48.230000,1768.23

15,03:30-03:45,0,0,0,0.000000,14.090000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,9.950000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,12.420000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,67.520000,18.090000,48.230000,0.000000,0.530000,0.000000,0.000000,4.820000,241.150000,8.680000,11.720000,15.140000,0.680000,48.230000,1776.69

16,03:45-04:00,0,0,0,0.000000,14.090000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,9.950000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,12.420000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,67.520000,18.090000,48.230000,0.000000,0.530000,0.000000,0.000000,4.820000,241.150000,8.680000,11.720000,15.140000,0.680000,48.230000,1776.69

17,04:00-04:15,0,0,0,0.000000,13.630000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,9.950000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,67.520000,18.090000,48.230000,0.000000,0.530000,0.000000,0.000000,4.820000,241.150000,8.680000,11.720000,15.140000,0.680000,48.230000,1771.04

18,04:15-04:30,0,0,0,0.000000,13.630000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,9.950000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,67.520000,18.090000,48.230000,0.000000,0.530000,0.000000,0.000000,4.820000,241.150000,8.680000,11.720000,15.140000,0.680000,48.230000,1771.04

19,04:30-04:45,0,0,0,0.000000,13.630000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,9.950000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,67.520000,18.090000,48.230000,0.000000,0.530000,0.000000,0.000000,4.820000,241.150000,7.720000,11.720000,15.140000,0.680000,48.230000,1770.08

20,04:45-05:00,0,0,0,0.000000,13.630000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,9.950000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,67.520000,18.090000,48.230000,0.000000,0.530000,0.000000,0.000000,4.820000,241.150000,7.720000,11.720000,15.140000,0.680000,48.230000,1770.08

21,05:00-05:15,0,0,0,0.000000,13.630000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,13.950000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,24.120000,18.090000,48.230000,0.000000,0.530000,0.000000,0.000000,4.820000,241.150000,7.720000,11.720000,15.140000,0.680000,48.230000,1730.68

22,05:15-05:30,0,0,0,0.000000,13.630000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,13.950000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,24.120000,18.090000,48.230000,0.000000,0.530000,0.000000,0.000000,4.820000,241.150000,7.720000,11.720000,15.140000,0.680000,48.230000,1730.68

23,05:30-05:45,0,0,0,0.000000,13.630000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,13.950000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,24.120000,18.090000,48.230000,0.000000,0.530000,0.000000,0.000000,4.820000,241.150000,7.720000,11.720000,15.140000,0.680000,48.230000,1730.68

24,05:45-06:00,0,0,0,0.000000,13.630000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,1.350000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,24.120000,18.090000,48.230000,0.000000,0.530000,0.000000,0.000000,4.820000,241.150000,7.720000,11.720000,15.140000,0.680000,48.230000,1718.08

25,06:00-06:15,0,0,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,1.350000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,24.120000,0.000000,48.230000,0.000000,0.680000,0.000000,0.000000,4.820000,241.150000,7.720000,11.720000,15.140000,0.680000,48.230000,1693.65

26,06:15-06:30,0,0,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,1.350000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,24.120000,0.000000,48.230000,0.000000,0.680000,0.000000,0.000000,4.820000,241.150000,7.720000,11.720000,15.140000,0.680000,48.230000,1693.65

27,06:30-06:45,0,0.46,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,1.350000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,24.120000,0.000000,48.230000,0.000000,0.680000,0.000000,0.000000,4.820000,241.150000,8.680000,11.720000,15.140000,0.680000,48.230000,1695.07

28,06:45-07:00,0,0.71,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,1.350000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,24.120000,0.000000,48.230000,0.000000,0.680000,0.000000,0.000000,4.820000,241.150000,8.680000,11.720000,15.140000,0.680000,48.230000,1695.32

