Block,Time Block,DULHASTI,CHAMERA1,BSIUL,BRBCL,CHAMERA3,CHAMERA2,DADRT2,DHAULIGNGA,KGSU1AND2,KGSU3AND4,KHSTPP-II,KISHANGANGA,KHSTPP-I,KKNP,KKNPPU2,KOLDAM,FSTPP I & II,JHAJJAR,KOTESHWR,KUDGI,MAPS,NLCEXP,NJPC,NAPP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAPPB,RAMPUR,RAPPC,RIHAND2,RIHAND1,RSTPSU1TO6,RAPPD,RIHAND3,SASAN,SIMHST1,RSTPSU7,SALAL,SEWA2,SINGRAULI,SINGRAULI_HYDRO,SIMHST2,TALST2,TALA,TANAKPUR,TEHRIPSP,TEHRI,TANDA2,TelanganaSTPP,UNCHAHAR1,UNCHAHAR3,UNCHAHAR2,URI,UNCHAHAR4,VALLURNTECL,URI2,ANTA_LF,ANTA_GF,AURY_CRF,ANTA_CRF,ANTA_RF,DADRI_GF,AURY_GF,DADRI_CRF,AURY_RF,DADRI_LF,AURY_LF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
21,05:00-05:15,53.87,40.57,12.55,24.05,32.67,45.35,73.08,40.87,0,0,114.53,6.79,28.74,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,77.73,0,129.06,1.09,0,0,19.94,11.46,0,46.31,1.47,0,10.85,14.44,24.34,31.88,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,53.87,40.57,12.55,24.05,32.67,45.35,8.14,40.87,0,0,105.4,6.79,28.74,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,77.73,0,129.06,1.09,0,0,19.67,11.46,0,46.31,1.47,0,10.85,14.44,24.34,31.88,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,53.87,40.57,12.55,24.05,32.67,45.35,8.14,40.87,0,0,94.87,6.79,28.74,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,77.73,0,129.06,1.09,0,0,20.94,11.46,0,46.31,1.47,0,10.85,14.44,24.34,31.88,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,53.87,40.57,12.55,24.05,32.67,45.35,8.14,40.87,0,0,94.82,6.79,28.74,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,77.73,0,129.06,1.09,0,0,20.8,11.46,0,46.31,1.47,0,10.85,14.44,24.34,31.88,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,53.87,40.57,12.55,24.05,32.67,45.35,8.14,40.87,0,0,94.82,6.79,28.74,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,97.32,62.72,0,23.78,93.53,327.55,0,0,77.73,0,129.06,1.09,0,0,20.66,11.46,0,46.31,1.47,0,10.85,14.44,24.34,31.88,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

26,06:15-06:30,53.87,40.57,12.55,24.05,32.67,45.35,8.14,40.87,0,0,94.82,6.79,28.74,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,97.32,62.72,0,23.78,93.53,327.55,0,0,77.73,0,129.06,1.09,0,0,25.9,11.46,0,46.31,1.47,0,10.85,14.44,24.34,31.88,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

27,06:30-06:45,53.87,40.57,12.55,24.05,32.67,45.35,8.14,40.87,0,0,94.82,6.79,28.74,0,0,8.3,13.29,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,97.32,62.72,0,23.78,93.53,327.55,0,0,77.73,0,129.06,1.09,0,0,26.31,11.46,0,46.31,1.47,0,10.85,14.44,24.34,31.88,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

28,06:45-07:00,53.87,40.57,12.55,24.05,32.67,45.35,8.14,40.87,0,0,94.82,6.79,28.91,0,0,8.3,13.29,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,97.32,62.72,0,23.78,93.53,327.55,0,0,77.73,0,129.06,1.09,0,0,26.31,11.46,0,34.74,1.47,0,10.85,14.44,24.34,31.88,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

29,07:00-07:15,53.87,40.57,6.28,24.05,32.67,45.35,8.14,40.87,0,0,94.82,6.79,29.11,0,0,8.3,13.29,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,97.32,62.72,0,23.78,93.53,327.55,0,0,77.73,0,129.06,1.09,0,0,27.59,11.46,0,23.15,1.47,0,10.85,14.44,24.34,35.06,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

30,07:15-07:30,53.87,40.57,6.28,24.05,32.67,45.35,8.14,40.87,0,0,94.82,6.79,29.11,0,0,8.3,13.29,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,97.32,62.72,0,23.78,93.53,327.55,0,0,77.73,0,129.06,1.09,0,0,27.73,11.46,0,11.58,1.47,0,10.85,14.44,24.34,35.06,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

31,07:30-07:45,53.87,40.57,6.28,24.05,32.67,45.35,8.14,40.87,0,0,94.82,6.79,29.11,0,0,8.3,13.29,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,97.32,62.72,0,23.78,93.53,327.55,0,0,77.73,0,129.06,1.09,0,0,27.86,11.46,0,0,1.47,0,10.85,14.44,24.34,37.19,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

32,07:45-08:00,53.87,27.05,6.28,24.05,32.67,45.35,8.14,40.87,0,0,94.82,6.79,29.11,0,0,8.3,13.29,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,97.32,62.72,0,23.78,93.53,327.55,0,0,77.73,0,126.54,1.09,0,0,29.14,11.46,0,0,1.47,0,10.85,14.44,24.34,37.19,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

33,08:00-08:15,53.87,13.52,6.28,24.05,32.67,45.35,8.14,40.87,0,0,114.53,6.79,29.11,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,62.72,0,23.78,125.93,327.55,0,0,77.73,0,130.29,1.09,0,0,29.29,11.46,0,0,1.67,0,10.85,14.44,24.36,37.19,2.33,0,27.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

34,08:15-08:30,53.87,0,6.28,24.05,32.67,45.35,8.14,40.87,0,0,114.53,6.79,29.11,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,62.72,0,23.78,125.93,327.55,0,0,77.73,0,130.29,1.09,0,0,29.29,11.46,0,0,1.67,0,10.85,14.44,24.36,37.19,2.33,0,27.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

35,08:30-08:45,53.87,0,6.28,24.05,32.67,45.35,8.14,40.87,0,0,114.53,6.79,29.11,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,62.72,0,23.78,125.93,335.89,0,0,77.73,0,130.29,1.09,0,0,29.57,11.46,0,0,1.67,0,10.85,14.44,24.36,37.19,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

36,08:45-09:00,53.87,0,6.28,24.05,32.67,45.35,8.14,40.87,0,0,114.53,6.79,29.11,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,62.72,0,23.78,125.93,335.89,0,0,77.73,0,130.29,1.09,0,0,29.57,11.46,0,0,1.67,0,10.85,14.44,24.36,37.19,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

37,09:00-09:15,53.87,0,6.28,24.05,32.67,45.35,8.14,40.87,0,0,114.53,6.79,29.11,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,62.72,0,23.78,125.93,335.89,0,0,77.73,0,130.29,1.09,0,0,29.71,11.46,0,0,4.49,0,10.85,14.44,24.36,37.19,2.33,0,37.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

38,09:15-09:30,53.87,0,6.28,24.05,32.67,45.35,8.14,40.87,0,0,114.53,6.79,29.11,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,62.72,0,23.78,125.93,335.89,0,0,77.73,0,130.29,1.09,0,0,29.71,11.46,0,0,4.49,0,10.85,14.44,24.36,37.19,2.33,0,37.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

39,09:30-09:45,53.87,0,6.28,24.05,32.67,45.35,8.14,40.87,0,0,114.53,6.79,29.11,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,62.72,0,23.78,125.93,335.89,0,0,77.73,0,130.29,1.09,0,0,25.35,11.46,0,0,4.49,0,10.85,14.44,24.36,50.4,2.33,0,37.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

40,09:45-10:00,53.87,0,6.28,24.05,32.67,45.35,8.14,40.87,0,0,114.53,6.79,29.11,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,62.72,0,23.78,125.93,335.89,0,0,77.73,0,130.29,1.09,0,0,25.35,11.46,0,0,4.49,0,10.85,14.44,24.36,50.4,2.33,0,37.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

41,10:00-10:15,53.87,0,6.28,24.05,32.67,45.35,8.14,40.87,0,0,114.53,6.79,29.11,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,335.89,0,0,77.73,0,144.27,1.09,0,0,24.93,11.46,0,0,4.49,0,10.85,14.44,24.36,50.4,2.33,0,37.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

42,10:15-10:30,53.87,0,6.28,24.05,32.67,45.35,8.14,40.87,0,0,114.53,6.79,29.11,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,335.89,0,0,77.73,0,144.27,1.09,0,0,24.93,11.46,0,0,4.49,0,10.85,14.44,24.36,50.4,2.33,0,37.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

43,10:30-10:45,53.87,0,6.28,24.05,32.67,45.35,8.14,40.87,0,0,97.52,6.79,26.01,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,335.89,0,0,77.73,0,144.27,1.09,0,0,24.36,11.46,0,0,4.49,0,10.85,14.44,24.36,34.01,2.33,0,26.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

44,10:45-11:00,53.87,0,6.28,24.05,32.67,45.35,8.14,40.87,0,0,97.52,6.79,26.01,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,335.89,0,0,77.73,0,144.27,1.09,0,0,24.36,11.46,0,0,4.49,0,10.85,14.44,24.36,34.01,2.33,0,26.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

45,11:00-11:15,53.87,0,12.55,24.05,32.67,45.35,8.14,40.87,0,0,97.52,6.79,26.01,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,335.89,0,0,77.73,0,144.27,1.09,0,0,24.36,11.46,0,0,4.49,0,10.85,14.44,24.36,36.12,2.33,0,26.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

46,11:15-11:30,53.87,0,12.55,24.05,32.67,45.35,8.14,40.87,0,0,97.52,6.79,26.01,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,335.89,0,0,77.73,0,144.27,1.09,0,0,24.36,11.46,0,0,4.49,0,10.85,14.44,24.36,36.12,2.33,0,26.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

47,11:30-11:45,53.87,0,12.55,24.05,32.67,45.35,8.14,40.87,0,0,97.52,6.79,26.01,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,335.89,0,0,77.73,0,144.27,1.09,0,0,24.36,11.46,0,0,4.49,0,10.85,14.44,24.36,36.12,2.33,0,26.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

48,11:45-12:00,53.87,0,12.55,24.05,32.67,45.35,8.14,40.87,0,0,97.52,6.79,26.01,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,335.89,0,0,77.73,0,144.27,1.09,0,0,24.36,11.46,0,0,4.49,0,10.85,14.44,24.36,36.12,2.33,0,26.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

49,12:00-12:15,53.87,0,12.55,24.05,32.67,45.35,8.14,40.87,0,0,97.52,6.79,26.01,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,335.89,0,0,77.73,0,144.27,1.09,0,0,24.36,11.46,0,0,4.49,0,10.85,14.44,24.36,36.12,2.33,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

50,12:15-12:30,53.87,0,12.55,24.05,32.67,45.35,8.14,40.87,0,0,97.52,6.79,26.01,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,335.89,0,0,77.73,0,144.27,1.09,0,0,24.36,11.46,0,0,4.49,0,10.85,14.44,24.36,36.12,2.33,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

51,12:30-12:45,53.87,0,12.55,24.05,32.67,45.35,8.14,40.87,0,0,97.52,6.79,26.01,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,335.89,0,0,77.73,0,144.27,1.09,0,0,24.36,11.46,0,0,4.49,0,10.85,14.44,24.36,36.12,2.33,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

52,12:45-13:00,53.87,0,12.55,24.05,32.67,45.35,8.14,40.87,0,0,97.52,6.79,26.01,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,335.89,0,0,77.73,0,144.27,1.09,0,0,24.36,11.46,0,0,4.49,0,10.85,14.44,24.36,36.12,2.33,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

53,13:00-13:15,53.3,0,12.55,24.05,32.67,45.35,8.14,40.87,0,0,97.52,6.79,26.01,0,0,8.3,10.47,123.27,9.76,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,335.89,0,0,77.73,0,113.45,1.09,0,0,24.36,11.46,0,0,4.49,0,10.85,14.44,24.36,29.75,2.33,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

