Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/65430,WR/2025/27361/A/65942,WR/2025/27350/A/65566,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/26060/C,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/16/4327,NR/2025/26031/A/65596,GNA/NR/2025/04/01/5285,NR/2025/25955/A/65931,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/1831,NR/2025/25945/A/65934,GNA/NR/2025/04/01/1333,NR/2025/25947/A/65933,NR/2025/25948/A/65932,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/01/4565,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/16/2341,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/7960,NR/30092023/31122025/SH-07,Total
25,06:00-06:15,0,0,24.04,96.15,9.62,9.62,11.78,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,13.26,22.11,25.51,960.4500000000002

26,06:15-06:30,0.3,0,24.04,96.15,9.62,9.62,11.78,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,13.26,22.11,25.51,960.7500000000002

27,06:30-06:45,0.85,0,24.04,96.15,9.62,9.62,11.78,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,0,22.11,30,952.5300000000002

28,06:45-07:00,2.86,0,24.04,96.15,9.62,9.62,11.78,0,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,0,22.11,30,712.2400000000001

29,07:00-07:15,6.09,0,24.04,96.15,9.62,9.62,11.68,67.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,25.99,22.11,30,808.6600000000002

30,07:15-07:30,10.31,0,24.04,96.15,9.62,9.62,11.68,67.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,25.99,22.11,30,812.8800000000002

31,07:30-07:45,15.9,0,24.04,96.15,9.62,9.62,11.68,67.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,30,22.11,30,822.4800000000001

32,07:45-08:00,22.83,0,24.04,96.15,9.62,9.62,11.68,67.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,30,22.11,30,829.4100000000002

33,08:00-08:15,30.31,3.85,24.04,0,9.62,9.62,11.6,115.38,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,30,22.11,30,792.5900000000001

34,08:15-08:30,37.98,3.85,24.04,0,9.62,9.62,11.6,115.38,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,30,22.11,30,800.2600000000002

35,08:30-08:45,45.92,3.85,24.04,0,9.62,9.62,11.6,163.46,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,30,22.11,30,856.2800000000002

36,08:45-09:00,53.68,3.85,24.04,0,9.62,9.62,11.6,163.46,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,30,22.11,30,864.0400000000002

37,09:00-09:15,61.16,6.73,24.04,0,9.62,9.62,11.5,163.46,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.17,22.11,29.5,870.9300000000001

38,09:15-09:30,67.99,6.73,24.04,0,9.62,9.62,11.5,230.76,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.17,22.11,29.5,945.0600000000001

39,09:30-09:45,77.44,6.73,24.04,0,9.62,9.62,11.5,230.76,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.17,22.11,29.5,954.5100000000001

40,09:45-10:00,83.23,6.73,24.04,0,9.62,9.62,11.5,249.99,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.17,22.11,29.5,979.5300000000001

41,10:00-10:15,88.86,8.65,24.04,0,9.62,9.62,11.41,249.99,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.17,22.11,29.5,986.9900000000001

42,10:15-10:30,94.24,8.65,24.04,0,9.62,9.62,11.41,249.99,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.17,22.11,29.5,992.3700000000001

43,10:30-10:45,99.32,8.65,24.04,0,9.62,9.62,11.41,249.99,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.17,22.11,29.5,997.45

44,10:45-11:00,100,8.65,24.04,0,9.62,9.62,11.41,249.99,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.17,22.11,29.5,998.1300000000001

45,11:00-11:15,100,8.65,24.04,0,9.62,9.62,11.32,249.99,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.17,22.11,29.5,998.0400000000001

46,11:15-11:30,100,8.65,24.04,0,9.62,9.62,11.32,249.99,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.17,22.11,29.5,998.0400000000001

47,11:30-11:45,100,8.65,24.04,0,9.62,9.62,11.32,249.99,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.17,22.11,29.5,998.0400000000001

48,11:45-12:00,100,8.65,24.04,0,9.62,9.62,11.32,249.99,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.17,22.11,29.5,998.0400000000001

49,12:00-12:15,100,8.65,24.04,0,9.62,9.62,11.23,166.66,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.36,22.11,29,914.3100000000001

50,12:15-12:30,100,8.65,24.04,0,9.62,9.62,11.23,166.66,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.36,22.11,29,914.3100000000001

51,12:30-12:45,100,8.65,24.04,0,9.62,9.62,11.23,166.66,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.36,22.11,29,914.3100000000001

52,12:45-13:00,100,8.65,24.04,0,9.62,9.62,11.23,166.66,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.36,22.11,29,914.3100000000001

53,13:00-13:15,100,8.65,24.04,0,9.62,9.62,11.13,166.66,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.36,22.11,29,914.2100000000002

54,13:15-13:30,100,8.65,24.04,0,9.62,9.62,11.13,166.66,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.36,22.11,29,914.2100000000002

55,13:30-13:45,100,8.65,24.04,0,9.62,9.62,11.13,166.66,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.36,22.11,29,914.2100000000002

56,13:45-14:00,100,8.65,24.04,0,9.62,9.62,11.13,166.66,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,26.36,22.11,29,914.2100000000002

57,14:00-14:15,100,7.69,24.04,0,9.62,9.62,11.04,166.66,28.84,14.57,72.11,2.88,72.11,5.77,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,29.36,22.11,32,920.1200000000001

58,14:15-14:30,100,7.69,24.04,0,9.62,9.62,11.04,166.66,28.84,14.57,72.11,2.88,72.11,5.77,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,29.36,22.11,32,920.1200000000001

59,14:30-14:45,100,7.69,24.04,0,9.62,9.62,11.04,166.66,28.84,14.57,72.11,2.88,72.11,5.77,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,29.36,22.11,32,920.1200000000001

60,14:45-15:00,100,7.69,24.04,0,9.62,9.62,11.04,141.02,28.84,14.57,72.11,2.88,72.11,5.77,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,29.36,22.11,32,894.4800000000001

61,15:00-15:15,100,6.73,24.04,0,9.62,9.62,10.95,141.02,28.84,14.57,72.11,2.88,72.11,5.77,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,27.44,22.11,30.08,889.5900000000003

62,15:15-15:30,99.98,6.73,24.04,0,9.62,9.62,10.95,141.02,28.84,14.57,72.11,2.88,72.11,5.77,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,27.44,22.11,30.08,889.5700000000003

63,15:30-15:45,95.05,6.73,24.04,0,9.62,9.62,10.95,141.02,28.84,14.57,72.11,2.88,72.11,5.77,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,27.44,22.11,30.08,884.6400000000002

64,15:45-16:00,87.42,6.73,24.04,0,9.62,9.62,10.95,115.38,28.84,14.57,72.11,2.88,72.11,5.77,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,27.44,22.11,30.08,851.3700000000002

65,16:00-16:15,81.88,3.85,24.04,0,9.62,9.62,11.13,115.38,28.84,14.57,72.11,2.88,72.11,6.73,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,29.44,22.11,32.08,898.0900000000003

66,16:15-16:30,74.26,3.85,24.04,0,9.62,9.62,11.13,115.38,28.84,14.57,72.11,2.88,72.11,6.73,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,29.44,22.11,32.08,890.4700000000003

67,16:30-16:45,67.15,3.85,24.04,0,9.62,9.62,11.13,115.38,28.84,14.57,72.11,2.88,72.11,6.73,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,885.8400000000001

68,16:45-17:00,58.62,3.85,24.04,0,9.62,9.62,11.13,51.28,28.84,14.57,72.11,2.88,72.11,6.73,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,813.21

69,17:00-17:15,50.13,0,24.04,0,9.62,9.62,11.32,51.28,28.84,14.57,72.11,2.88,72.11,6.73,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,801.0600000000001

70,17:15-17:30,41.06,0,24.04,0,9.62,9.62,11.32,51.28,28.84,14.57,72.11,2.88,72.11,6.73,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,791.99

71,17:30-17:45,31.75,0,24.04,0,9.62,9.62,11.32,51.28,28.84,14.57,72.11,2.88,72.11,6.73,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,782.6800000000001

72,17:45-18:00,23.58,0,24.04,0,9.62,9.62,11.32,12.82,28.84,14.57,72.11,2.88,72.11,6.73,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,736.0500000000001

73,18:00-18:15,16.38,0,24.04,0,9.62,9.62,11.6,12.82,28.84,14.57,72.11,2.88,72.11,6.73,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,729.13

74,18:15-18:30,10.39,0,24.04,0,9.62,9.62,11.6,12.82,28.84,14.57,72.11,2.88,72.11,6.73,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,723.1400000000001

75,18:30-18:45,5.74,0,24.04,0,9.62,9.62,11.6,12.82,28.84,14.57,72.11,2.88,72.11,6.73,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,718.49

76,18:45-19:00,2.93,0,24.04,0,9.62,9.62,11.6,12.82,28.84,14.57,72.11,2.88,72.11,6.73,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,715.6800000000001

77,19:00-19:15,0,0,24.04,0,9.62,9.62,11.78,180.76,28.84,14.57,72.11,2.88,72.11,6.73,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,880.8700000000001

78,19:15-19:30,0,0,24.04,0,9.62,9.62,11.78,180.76,28.84,14.57,72.11,2.88,72.11,6.73,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,880.8700000000001

79,19:30-19:45,0,0,24.04,0,9.62,9.62,11.78,180.76,28.84,14.57,72.11,2.88,72.11,6.73,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,880.8700000000001

80,19:45-20:00,0,0,24.04,0,9.62,9.62,11.78,180.76,28.84,14.57,72.11,2.88,72.11,6.73,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,880.8700000000001

81,20:00-20:15,0,0,24.04,0,9.62,9.62,12.06,180.76,28.84,14.57,72.11,2.88,72.11,5.77,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,880.1900000000002

82,20:15-20:30,0,0,24.04,0,9.62,9.62,12.06,180.76,28.84,14.57,72.11,2.88,72.11,5.77,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,880.1900000000002

83,20:30-20:45,0,0,24.04,0,9.62,9.62,12.06,180.76,28.84,14.57,72.11,2.88,72.11,5.77,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,880.1900000000002

84,20:45-21:00,0,0,24.04,0,9.62,9.62,12.06,180.76,28.84,14.57,72.11,2.88,72.11,5.77,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,880.1900000000002

85,21:00-21:15,0,0,24.04,0,9.62,9.62,12.24,180.76,28.84,14.57,72.11,2.88,72.11,5.77,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,880.3700000000001

86,21:15-21:30,0,0,24.04,0,9.62,9.62,12.24,180.76,28.84,14.57,72.11,2.88,72.11,5.77,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,880.3700000000001

87,21:30-21:45,0,0,24.04,0,9.62,9.62,12.24,180.76,28.84,14.57,72.11,2.88,72.11,5.77,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,880.3700000000001

88,21:45-22:00,0,0,24.04,0,9.62,9.62,12.24,180.76,28.84,14.57,72.11,2.88,72.11,5.77,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,880.3700000000001

89,22:00-22:15,0,0,24.04,0,9.62,9.62,12.24,180.76,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,879.4100000000001

90,22:15-22:30,0,0,24.04,0,9.62,9.62,12.24,180.76,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,879.4100000000001

91,22:30-22:45,0,0,24.04,0,9.62,9.62,12.24,180.76,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,879.4100000000001

92,22:45-23:00,0,0,24.04,0,9.62,9.62,12.24,164.73,28.84,14.57,72.11,2.88,72.11,4.81,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,50,9.62,19.23,32,22.11,32,863.3800000000002

