Block,Time,DHAULIGNGA,NJPC,NLCTS2EXP,NTPL,RAMPUR,RIHAND3,URI2,AURY_RF,BRBCL,JHAJJAR,KOTESHWR,RAPPB,RAPPC,RSTPSU1TO6,SASAN,TALA,TANAKPUR,ANTA_CRF,ANTA_GF,AURY_LF,DULHASTI,KISHANGANGA,NNTPP,RAPPD,URI,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,KHSTPP-I,PARBATI2,PARBATI3,SEWA2,SIMHST2,SINGRAULI,SINGRAULI_HYDRO,TEHRI,UNCHAHAR3,AURY_CRF,KGSU1AND2,KHSTPP-II,KKNPPU2,NLCEXP,RIHAND1,SALAL,SIMHST1,UNCHAHAR1,DADRI_RF,DADRT2,FSTPP I & II,KGSU3AND4,KUDGI,RSTPSU7,UNCHAHAR4,VALLURNTECL,AURY_GF,DADRI_GF,DADRI_LF,KKNP,KOLDAM,NAPP,NLCIIST1,NLCIIST2,RIHAND2,TALST2,TANDA2,TelanganaSTPP,ANTA_LF,MAPS,TEHRIPSP,UNCHAHAR2,ANTA_RF,DADRI_CRF
7,01:30-01:45,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,30.43,0,65.42,0,418.77,20.52,11.02,0,0,0,38.02,4.48,0,24.02,46.37,0,42.15,47.12,33.94,41.89,0,35.68,15.47,0,113.75,0,72.47,27.69,0,0,98.87,0,0,98.32,83.67,0,21.65,105.39,689.38,18.07,0,0,0,1.68,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,45,52.34,0

8,01:45-02:00,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,30.43,0,65.42,0,418.77,20.4,11.02,0,0,0,38.02,4.48,0,24.02,46.37,0,42.15,47.12,33.94,41.89,0,35.68,15.47,0,113.75,0,72.47,27.69,0,0,98.87,0,0,98.32,83.67,0,21.65,105.39,689.38,18.07,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,45,52.34,0

9,02:00-02:15,42.46,175.79,0,0,5.7,130.84,37.42,80.91,24.99,667.25,20.29,0,65.42,0,418.77,20.29,11.02,0,0,0,38.02,4.48,0,24.02,35.33,0,42.15,47.12,33.94,41.89,0,47.57,15.47,0,113.75,0,72.47,27.69,0,0,98.87,0,0,98.32,83.67,0,21.65,105.39,689.38,18.07,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,45,52.59,0

10,02:15-02:30,42.46,175.79,0,0,5.7,130.84,37.42,80.91,24.99,667.25,20.29,0,65.42,0,418.77,20.2,11.02,0,0,0,38.02,4.48,0,24.02,35.33,0,42.15,47.12,33.94,41.89,0,47.57,15.47,0,113.75,0,72.47,27.69,0,0,98.87,0,0,98.32,83.67,0,21.65,105.39,689.38,18.07,0,0,0,3.05,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,45,52.59,0

11,02:30-02:45,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,20.29,0,65.42,0,418.77,20.13,9.86,0,0,0,38.02,4.48,0,24.02,44.16,0,42.15,47.12,33.94,41.89,0,47.57,15.47,0,113.75,0,72.47,27.69,0,0,98.87,0,0,98.32,83.67,0,21.65,105.39,689.38,18.07,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,45,52.59,0

12,02:45-03:00,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,20.29,0,65.42,0,418.77,20.13,9.86,0,0,0,38.02,4.48,0,24.02,44.16,0,42.15,47.12,33.94,41.89,0,47.57,15.47,0,113.75,0,72.47,27,0,0,98.87,0,0,98.32,83.67,0,21.65,105.39,689.38,18.07,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,44.94,52.59,0

13,03:00-03:15,42.46,175.79,0,0,5.7,130.84,37.42,80.91,24.99,667.25,20.29,0,65.42,0,418.77,20.11,1.79,0,0,0,38.02,4.48,0,24.02,44.16,0,42.15,47.12,33.94,41.89,0,47.57,15.47,0,113.75,0,72.47,27,0,0,98.87,0,0,98.32,80.18,0,21.65,105.39,689.38,18.07,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,43.61,52.59,0

14,03:15-03:30,42.46,175.79,0,0,5.7,130.84,37.42,80.91,24.99,667.25,20.29,0,65.42,0,418.77,20.11,1.79,0,0,0,38.02,4.48,0,24.02,44.16,0,42.15,47.12,33.94,41.89,0,47.57,15.47,0,113.75,0,72.47,27,0,0,98.87,0,0,98.32,80.18,0,21.65,105.39,689.38,18.07,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,43.61,52.59,0

15,03:30-03:45,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,20.29,0,65.42,0,418.77,20.11,1.79,0,0,0,38.02,4.48,0,24.02,44.16,0,42.15,47.12,33.94,41.89,0,37.17,15.47,0,113.75,0,72.47,27.4,0,0,98.87,0,0,98.32,80.18,0,21.65,105.39,689.38,18.07,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,45,52.59,0

16,03:45-04:00,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,20.29,0,65.42,0,418.77,20.11,9.86,0,0,0,38.02,4.48,0,24.02,44.16,0,42.15,47.12,33.94,41.89,0,37.17,15.47,0,113.75,0,72.47,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,105.39,689.38,18.07,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,45,52.59,0

17,04:00-04:15,42.46,175.79,0,0,5.7,130.84,37.42,80.91,24.99,667.25,20.29,0,65.42,0,418.77,20.09,11.02,0,0,0,38.02,4.48,0,24.02,44.16,0,42.15,47.12,33.94,41.89,0,37.17,15.47,0,113.75,0,72.47,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,105.39,689.38,18.07,0,0,0,3.12,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,45,52.85,0

18,04:15-04:30,42.46,175.79,0,0,5.7,130.84,37.42,80.91,24.99,667.25,20.29,0,65.42,0,418.77,20.02,11.02,0,0,0,38.02,4.48,0,24.02,44.16,0,42.15,47.12,33.94,41.89,0,37.17,15.47,0,113.75,0,72.47,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,105.39,689.38,18.07,0,0,0,2.44,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,45,52.85,0

19,04:30-04:45,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,10.14,0,65.42,0,418.77,19.99,9.86,0,0,0,38.02,4.48,0,24.02,39.75,0,42.15,47.12,33.94,41.89,0,41.62,15.47,0,113.75,0,72.47,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,105.39,689.38,18.07,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,45,52.85,0

20,04:45-05:00,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,10.14,0,65.42,0,418.77,19.97,9.86,0,0,0,38.02,4.48,0,24.02,39.75,0,42.15,47.12,33.94,41.89,0,41.62,15.47,0,113.75,0,72.47,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,105.39,689.38,18.07,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,45,52.85,0

21,05:00-05:15,42.46,175.79,0,0,5.7,130.84,37.42,80.91,24.99,667.25,10.14,0,65.42,0,418.77,19.85,9.86,0,0,0,38.02,4.48,0,24.02,39.75,0,42.15,47.12,33.94,41.89,0,41.62,15.47,0,113.75,0,54.36,27,0,0,98.87,0,0,98.32,80.18,0,21.65,105.39,689.38,18.07,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,43.61,52.85,0

22,05:15-05:30,42.46,175.79,0,0,5.7,130.84,37.42,80.91,24.99,667.25,10.14,0,65.42,0,418.77,19.66,9.86,0,0,0,38.02,4.48,0,24.02,39.75,0,42.15,47.12,33.94,41.89,0,41.62,15.47,0,113.75,0,54.36,27,0,0,98.87,0,0,98.32,80.18,0,21.23,105.39,689.38,18.07,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,43.61,52.85,0

23,05:30-05:45,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,10.14,0,65.42,0,418.77,19.38,9.86,0,0,0,38.02,4.48,0,24.02,41.95,0,42.15,47.12,33.94,41.89,0,41.62,15.47,0,113.75,0,54.36,27,0,0,98.87,0,0,98.32,80.18,0,21.23,105.39,689.38,19.04,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,43.61,52.85,0

24,05:45-06:00,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,10.14,0,65.42,0,418.77,19.08,9.86,0,0,0,38.02,4.48,0,24.02,41.95,0,42.15,47.12,33.94,41.89,0,41.62,15.47,0,113.75,0,54.36,27,0,0,98.87,0,0,98.32,80.18,0,21.23,105.39,686.75,19.04,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,43.61,52.85,0

25,06:00-06:15,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,10.14,0,65.42,0,418.77,19.35,11.91,0,0,0,38.02,4.48,0,24.02,41.95,0,42.15,47.12,33.94,39.45,0,37.17,15.47,0,113.75,0,54.36,27,0,0,98.87,0,0,98.32,80.18,0,21.23,105.39,623.14,19.04,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,43.61,52.59,0

26,06:15-06:30,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,629.2,10.14,0,65.42,0,418.77,19.17,11.91,0,0,0,38.02,4.48,0,24.02,41.95,0,42.15,47.12,33.94,39.45,0,37.17,15.47,0,113.75,0,54.36,27,0,0,98.87,0,0,98.32,80.18,0,21.23,105.39,623.14,19.04,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,43.61,52.59,0

27,06:30-06:45,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,624.57,10.14,0,65.42,0,418.77,19.08,11.91,0,0,0,38.02,4.48,0,24.02,52.99,0,42.15,47.12,33.94,39.45,0,37.17,15.47,0,113.75,0,54.36,27,0,0,98.87,0,0,98.32,80.18,0,21.23,105.39,623.14,19.04,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,43.61,52.59,0

28,06:45-07:00,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,10.14,0,65.42,0,418.77,19.05,11.91,0,0,0,38.02,4.48,0,24.02,52.99,0,42.15,47.12,33.94,39.45,0,37.17,15.47,0,113.75,0,54.36,27,0,0,98.87,0,0,98.32,80.18,0,21.23,105.39,623.14,19.04,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,43.61,52.59,0

29,07:00-07:15,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,10.14,0,65.42,0,418.77,19.08,11.91,0,0,0,38.02,4.48,0,24.02,52.99,0,42.15,47.12,33.94,39.45,0,38.65,15.47,0,113.75,0,54.36,27,0,0,98.87,0,0,98.32,80.18,0,21.23,105.39,594.14,19.04,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,43.61,52.59,0

30,07:15-07:30,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,10.14,0,65.42,0,418.77,19.14,11.91,0,0,0,38.02,4.48,0,24.02,52.99,0,42.15,47.12,33.94,39.45,0,38.65,15.47,0,113.75,0,54.36,27,0,0,98.87,0,0,98.32,80.18,0,21.23,105.39,689.38,19.04,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,43.61,52.59,0

31,07:30-07:45,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,10.14,0,65.42,0,418.77,20.37,3.85,0,0,0,38.02,4.48,0,24.02,48.57,0,42.15,47.12,33.94,39.45,0,41.62,15.47,0,113.75,0,54.36,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,105.39,689.38,19.04,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,2.85,0,0,0,0,45,52.59,0

32,07:45-08:00,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,10.14,0,65.42,0,418.77,20.56,3.85,0,0,0,38.02,4.48,0,24.02,48.57,0,42.15,47.12,33.94,39.45,0,41.62,15.47,0,113.75,0,36.24,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,105.39,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,52.59,0

33,08:00-08:15,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,10.14,0,65.42,0,418.77,20.67,3.85,0,0,0,38.02,4.48,0,24.02,48.57,0,42.15,47.12,33.94,39.45,0,41.62,15.47,0,113.75,0,18.12,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,52.09,0

34,08:15-08:30,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,10.14,0,65.42,0,418.77,20.79,3.85,0,0,0,38.02,4.48,0,24.02,48.57,0,42.15,47.12,33.94,39.45,0,41.62,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,52.09,0

35,08:30-08:45,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,10.14,0,65.42,0,418.77,20.87,11.91,0,0,0,38.02,4.59,0,24.02,52.99,0,42.15,47.12,33.94,39.45,0,41.62,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,52.09,0

36,08:45-09:00,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,10.14,0,65.42,0,418.77,20.87,11.91,0,0,0,38.02,4.59,0,24.02,52.99,0,42.15,47.12,33.94,39.45,0,41.62,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,52.09,0

37,09:00-09:15,42.46,175.79,0,0,5.7,130.84,31.17,80.65,24.99,667.25,10.14,0,65.42,0,418.77,21.23,0,0,0,0,38.02,4.59,0,24.02,48.57,0,42.15,47.12,33.94,39.45,0,35.68,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,51.59,0

38,09:15-09:30,42.46,175.79,0,0,5.7,130.84,31.17,80.65,24.99,667.25,10.14,0,65.42,0,418.77,21.26,0,0,0,0,38.02,4.59,0,24.02,48.57,0,42.15,47.12,33.94,39.45,0,35.68,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,51.59,0

39,09:30-09:45,42.46,175.79,0,0,5.7,130.84,32.74,80.65,24.99,667.25,10.14,0,65.42,0,418.77,21.76,0,0,0,0,38.02,4.59,0,24.02,48.57,0,42.15,47.12,33.94,45.53,0,35.68,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,51.59,0

40,09:45-10:00,42.46,175.79,0,0,5.7,130.84,32.74,80.65,24.99,667.25,10.14,0,65.42,0,418.77,21.76,0,0,0,0,38.02,4.59,0,24.02,48.57,0,42.15,47.12,33.94,45.53,0,35.68,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,51.59,0

41,10:00-10:15,42.46,175.79,0,0,5.7,130.84,32.74,80.65,24.99,667.25,10.14,0,65.42,0,418.77,21.76,0,0,0,0,38.02,4.59,0,24.02,52.99,0,42.15,47.12,33.94,45.53,0,35.68,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,50.82,0

42,10:15-10:30,42.46,175.79,0,0,5.7,130.84,32.74,80.65,24.99,667.25,10.14,0,65.42,0,418.77,21.76,0,0,0,0,38.02,4.59,0,24.02,52.99,0,42.15,47.12,33.94,45.53,0,35.68,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,50.82,0

43,10:30-10:45,42.46,175.79,0,0,5.7,130.84,32.74,80.65,24.99,667.25,10.14,0,65.42,0,418.77,21.46,0,0,0,0,38.02,4.59,0,24.02,48.02,0,42.15,47.12,33.94,45.53,0,35.68,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,50.57,0

44,10:45-11:00,42.46,175.79,0,0,5.7,130.84,32.74,80.65,24.99,667.25,10.14,0,65.42,0,418.77,21.46,0,0,0,0,38.02,4.59,0,24.02,48.02,0,42.15,47.12,33.94,45.53,0,35.68,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,50.57,0

45,11:00-11:15,42.46,175.79,0,0,5.7,130.84,32.74,80.65,24.99,667.25,10.14,0,65.42,0,418.77,21.46,0,0,0,0,38.02,4.59,0,24.02,46.37,0,42.15,47.12,33.94,45.53,0,25.28,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,50.06,0

46,11:15-11:30,42.46,175.79,0,0,5.7,130.84,32.74,80.26,24.99,667.25,10.14,0,65.42,0,418.77,21.46,0,0,0,0,38.02,4.59,0,24.02,46.37,0,42.15,47.12,33.94,45.53,3.52,25.28,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,50.06,0

47,11:30-11:45,42.46,175.79,0,0,5.7,130.84,32.74,80.26,24.99,667.25,10.14,0,65.42,0,418.77,21.46,0,0,0,0,38.02,4.59,0,24.02,36.98,0,42.15,47.12,33.94,45.53,7.04,35.68,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,50.06,0

48,11:45-12:00,42.46,175.79,0,0,5.7,130.84,32.74,80.26,24.99,667.25,10.14,0,65.42,0,418.77,22.81,0,0,0,0,38.02,4.59,0,24.02,46.37,0,42.15,47.12,33.94,45.53,12.31,35.68,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,50.06,0

49,12:00-12:15,42.46,175.79,0,0,5.7,130.84,32.74,80.26,24.99,667.25,10.14,0,65.42,0,418.77,22.81,0,0,0,0,38.02,4.59,0,24.02,46.37,0,42.15,47.12,33.94,45.53,12.31,35.68,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,49.81,0

50,12:15-12:30,42.46,175.79,0,0,5.7,130.84,32.74,80.26,24.99,667.25,10.14,0,65.42,0,418.77,22.81,0,0,0,0,38.02,4.59,0,24.02,46.37,0,42.15,47.12,33.94,45.53,12.31,35.68,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,49.81,0

51,12:30-12:45,42.46,175.79,0,0,5.7,130.84,32.74,80.26,24.99,667.25,10.14,0,65.42,0,418.77,22.81,0,0,0,0,38.02,4.59,0,24.02,46.37,0,42.15,47.12,33.94,45.53,0,35.68,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,49.81,0

52,12:45-13:00,42.46,175.79,0,0,5.7,130.84,32.74,80.26,24.99,667.25,10.14,0,65.42,0,418.77,22.81,0,0,0,0,38.02,4.59,0,24.02,46.37,0,42.15,47.12,33.94,45.53,0,35.68,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,49.81,0

53,13:00-13:15,42.46,175.79,0,0,5.7,130.84,32.74,80.26,24.99,667.25,10.14,0,65.42,0,418.77,22.67,0,0,0,0,38.02,4.59,0,24.02,46.37,0,42.15,47.12,33.94,45.53,0,35.68,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,49.56,0

54,13:15-13:30,42.46,175.79,0,0,5.7,130.84,32.74,79.48,24.99,667.25,10.14,0,65.42,0,418.77,22.67,0,0,0,0,38.02,4.59,0,24.02,46.37,0,42.15,47.12,33.94,45.53,0,35.68,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,49.56,0

55,13:30-13:45,42.46,175.79,0,0,5.7,130.84,32.74,79.48,24.99,667.25,10.14,0,65.42,0,418.77,21.19,0,0,0,0,38.02,4.59,0,24.02,47.47,0,42.15,47.12,33.94,45.53,0,35.68,15.47,0,113.75,0,0,27.69,0,0,98.87,0,0,98.32,80.18,0,21.65,102.75,689.38,19.04,0,0,0,3.22,0,0,0,0,0,8.62,24.23,0,0,125.27,0,5.73,0,0,0,0,45,49.06,0

